05-MalPatSaj-market_value,07-silvestri-market_value_apr_2022,05-MalPatSaj-profit,08-slytherin-revenue,07-silvestri-revenue_2022,05-MalPatSaj-assets,05-MalPatSaj-sales
doll_499.86 b,doll_499.86 b,doll_39.37 b,doll_117.9 b,doll_117.93 b,doll_165.99 b,doll_117.93 b
doll_96.42 b,doll_96.42 b,doll_7.81 b,doll_138.6 b,doll_138.62 b,"doll_1,324.62 b",doll_138.62 b
doll_150.95 b,doll_150.95 b,doll_14.58 b,doll_60.2 b,doll_60.22 b,"doll_1,222.23 b",doll_60.22 b
doll_109.32 b,doll_109.32 b,doll_18.74 b,doll_62.8 b,doll_62.81 b,"doll_1,589 b",doll_62.81 b
doll_135.3 b,doll_135.3 b,doll_12.58 b,doll_59.3 b,doll_59.33 b,"doll_2,957.94 b",doll_59.33 b
doll_68.76 b,doll_68.76 b,doll_9.85 b,doll_127.4 b,doll_127.42 b,"doll_2,995.89 b",doll_127.42 b
doll_477.38 b,doll_477.38 b,doll_19.83 b,doll_94.9 b,doll_94.88 b,doll_182.02 b,doll_94.88 b
doll_74.62 b,doll_74.62 b,doll_27.19 b,doll_178.9 b,doll_178.94 b,doll_295.48 b,doll_178.94 b
doll_133.53 b,doll_133.53 b,doll_7.91 b,doll_292 b,doll_291.98 b,doll_240.5 b,doll_291.98 b
doll_271.83 b,doll_271.83 b,doll_21.98 b,doll_81.5 b,doll_81.49 b,doll_181.48 b,doll_81.49 b
doll_71.69 b,doll_71.69 b,doll_20.87 b,doll_96.9 b,doll_96.86 b,doll_418.94 b,doll_96.86 b
doll_80.81 b,doll_80.81 b,doll_11.04 b,doll_384.8 b,doll_384.82 b,doll_292.05 b,doll_384.82 b
doll_147.92 b,doll_147.92 b,doll_13 b,doll_45.2 b,doll_45.24 b,"doll_1,377.94 b",doll_45.24 b
