,city,company,country,datejoined,founded,industry,investors,name,selectinvestors,stage,totalraised,valuation
city,0.0,0.2,0.25,0.1111111111111111,0.14285714285714285,0.16666666666666666,0.125,0.25,0.08333333333333333,0.2,0.1,0.125
company,0.2,0.0,0.25,0.1111111111111111,0.16666666666666666,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.07142857142857142,0.16666666666666666,0.1111111111111111,0.125
country,0.25,0.25,0.0,0.1111111111111111,0.25,0.25,0.14285714285714285,0.16666666666666666,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.14285714285714285
datejoined,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.14285714285714285,0.1,0.1111111111111111,0.125,0.09090909090909091,0.125,0.14285714285714285,0.125
founded,0.14285714285714285,0.16666666666666666,0.25,0.14285714285714285,0.0,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.07692307692307693,0.16666666666666666,0.125,0.125
industry,0.16666666666666666,0.14285714285714285,0.25,0.1,0.14285714285714285,0.0,0.25,0.14285714285714285,0.1,0.14285714285714285,0.09090909090909091,0.14285714285714285
investors,0.125,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.25,0.0,0.125,0.16666666666666666,0.14285714285714285,0.1,0.125
name,0.25,0.16666666666666666,0.16666666666666666,0.125,0.16666666666666666,0.14285714285714285,0.125,0.0,0.07142857142857142,0.3333333333333333,0.1111111111111111,0.125
selectinvestors,0.08333333333333333,0.07142857142857142,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.1,0.16666666666666666,0.07142857142857142,0.0,0.08333333333333333,0.07142857142857142,0.09090909090909091
stage,0.2,0.16666666666666666,0.14285714285714285,0.125,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.08333333333333333,0.0,0.125,0.125
totalraised,0.1,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.125,0.09090909090909091,0.1,0.1111111111111111,0.07142857142857142,0.125,0.0,0.125
valuation,0.125,0.125,0.14285714285714285,0.125,0.125,0.14285714285714285,0.125,0.125,0.09090909090909091,0.125,0.125,0.0
