,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
49,0,0,doll_0.1556 b,doll_0.015619999999999998 b,0,0,doll_0.23979 b,doll_0.13169 b,doll_0.10809999999999999 b
50,0,0,doll_0.020838000000000002 b,doll_0.007068 b,0,0,doll_0.028787 b,doll_0.01047 b,doll_0.018317 b
51,0,0,doll_0.0487 b,doll_0.01304 b,0,0,doll_0.09158799999999999 b,doll_0.025404 b,doll_0.06618399999999999 b
52,0,0,doll_0.029453 b,doll_0.007465 b,0,0,doll_0.083184 b,doll_0.045177 b,doll_0.038007 b
53,0,0,doll_0.07901999999999999 b,doll_0.01986 b,0,0,doll_0.16841 b,doll_0.095391 b,doll_0.073015 b
54,0,0,doll_0.078492 b,doll_0.021547999999999998 b,0,0,doll_0.0019479999999999999 b,doll_0.18761000000000003 b,doll_0.00176 b
55,0,0,doll_0.025370999999999998 b,doll_0.004169 b,0,0,doll_0.075803 b,doll_0.021727 b,doll_0.054076 b
56,0,0,doll_0.087614 b,doll_0.007598 b,0,0,doll_0.18771000000000002 b,doll_0.11127 b,doll_0.076439 b
57,0,0,doll_0.026492 b,doll_0.001444 b,0,0,doll_0.095209 b,doll_0.058131 b,doll_0.037078 b
58,0,0,doll_0.13361 b,doll_0.02206 b,0,0,doll_0.36660000000000004 b,doll_0.0832 b,doll_0.2834 b
59,0,0,doll_0.11638 b,doll_0.01416 b,0,0,doll_0.2759 b,doll_0.09749 b,doll_0.17842 b
60,0,0,doll_0.12093000000000001 b,doll_0.044469 b,0,0,doll_0.004418999999999999 b,doll_0.37151 b,doll_0.004048 b
61,0,0,doll_0.056414 b,doll_0.014566 b,0,0,doll_0.0011149999999999999 b,doll_0.10178 b,doll_0.001014 b
62,0,0,doll_0.16886 b,doll_0.019870000000000002 b,0,0,doll_0.55162 b,doll_0.18386000000000002 b,doll_0.36777 b
63,0,0,doll_0.09728700000000001 b,doll_0.01289 b,0,0,doll_0.069405 b,doll_0.014269 b,doll_0.055136000000000004 b
64,0,0,doll_0.024002 b,doll_0.004797 b,0,0,doll_0.017713 b,doll_0.011246 b,doll_0.006467 b
65,0,0,doll_0.018969999999999997 b,doll_0.002318 b,0,0,doll_0.044772 b,doll_0.013479 b,doll_0.031294 b
66,0,0,doll_0.023222 b,doll_0.007545 b,0,0,doll_0.053606 b,doll_-0.004601 b,doll_0.058207 b
67,0,0,doll_0.048553 b,doll_0.01779 b,0,0,doll_0.001453 b,doll_0.13491 b,doll_0.0013180000000000002 b
68,0,0,doll_0.052877 b,doll_0.024021 b,0,0,doll_0.1318 b,doll_0.067655 b,doll_0.06414 b
69,0,0,doll_0.03356 b,doll_0.00904 b,0,0,doll_0.04124 b,doll_0.009949999999999999 b,doll_0.03129 b
70,0,0,doll_0.018996 b,doll_0.005855000000000001 b,0,0,doll_0.66727 b,doll_0.056261000000000005 b,doll_0.6110099999999999 b
71,0,0,doll_0.037417 b,doll_0.112 b,0,0,doll_0.10536 b,doll_0.039268 b,doll_0.066095 b
72,0,0,doll_0.18064 b,doll_-0.02168 b,0,0,0,0,0
73,0,0,doll_0.045066 b,doll_0.021390999999999997 b,0,0,doll_0.065881 b,doll_0.033759 b,doll_0.032122 b
74,0,0,doll_0.021803999999999997 b,doll_0.006522999999999999 b,0,0,doll_0.063525 b,doll_0.014161 b,doll_0.049364 b
75,0,0,doll_0.018344000000000003 b,doll_0.007769 b,0,0,doll_0.024676 b,doll_0.013333 b,doll_0.011343 b
76,0,0,doll_0.09625 b,doll_0.008409000000000002 b,0,0,doll_0.046735 b,doll_0.0014370000000000001 b,doll_0.045298000000000005 b
77,0,0,doll_0.017068999999999997 b,doll_0.003573 b,0,0,doll_0.14091 b,doll_0.037202 b,doll_0.10371 b
78,0,0,doll_0.030793 b,doll_0.003826 b,0,0,doll_0.08160500000000001 b,doll_0.044035 b,doll_0.00357 b
79,0,0,doll_0.009898 b,doll_0.002695 b,0,0,doll_0.015259 b,doll_0.010359 b,doll_0.004901 b
80,0,0,doll_0.034392000000000006 b,doll_0.005542 b,0,0,doll_0.06447 b,doll_0.018569 b,doll_0.045901000000000004 b
81,0,0,doll_0.20229 b,doll_0.015964 b,0,0,doll_0.001593 b,doll_0.12763 b,doll_0.0014650000000000002 b
82,0,0,doll_0.031405 b,doll_0.009109 b,0,0,doll_0.04129 b,doll_-0.010106 b,doll_0.051396000000000004 b
83,0,0,doll_0.072397 b,doll_0.006437 b,0,0,doll_0.22241999999999998 b,doll_0.052518 b,doll_0.1699 b
84,0,0,doll_0.016434 b,doll_0.003162 b,0,0,doll_0.012419000000000001 b,doll_0.007497 b,doll_0.004921999999999999 b
85,0,0,doll_0.035376 b,doll_0.012230000000000001 b,0,0,doll_0.001363 b,doll_0.078815 b,doll_0.001284 b
