,sales,assets,market_value,profit
239,doll_62.51 b,doll_779.43 b,doll_19.63 b,doll_2.79 b
240,doll_30.4 b,doll_45.33 b,doll_95.68 b,doll_5.01 b
241,doll_48.07 b,doll_68.91 b,doll_63.37 b,doll_2.18 b
242,doll_34.8 b,doll_137.39 b,doll_30.05 b,doll_3.7 b
243,doll_12.4 b,doll_509.07 b,doll_63.03 b,doll_4.98 b
244,doll_51.77 b,doll_64.91 b,doll_25.8 b,doll_13.85 b
245,doll_108.41 b,doll_222.7 b,doll_19.1 b,doll_3.03 b
246,doll_17.86 b,"doll_1,059.17 b",doll_30.22 b,doll_4.41 b
247,doll_39.27 b,doll_133.01 b,doll_47.68 b,doll_1.71 b
248,doll_84.09 b,doll_44.75 b,doll_56.34 b,doll_2.93 b
249,doll_38.47 b,doll_50.07 b,doll_66.42 b,doll_3.26 b
250,doll_57.93 b,doll_507.06 b,doll_20.47 b,doll_2.37 b
251,doll_14.2 b,doll_304.38 b,doll_59.09 b,doll_3.44 b
252,doll_52.1 b,doll_144.17 b,doll_70.06 b,doll_1.18 b
253,doll_19.02 b,doll_264.29 b,doll_30.6 b,doll_4.67 b
254,doll_81.13 b,doll_305.7 b,doll_15.65 b,doll_4.15 b
255,doll_23.74 b,doll_144.94 b,doll_145.27 b,doll_1.46 b
256,doll_33.86 b,doll_560.38 b,doll_19.29 b,doll_3.79 b
257,doll_166.46 b,doll_213.64 b,doll_15.36 b,doll_3.95 b
258,doll_64.98 b,doll_38.91 b,doll_38.75 b,doll_6.52 b
259,doll_13.56 b,doll_648.83 b,doll_40.26 b,doll_4.5 b
260,doll_78.47 b,doll_75.88 b,doll_39.19 b,doll_1.89 b
261,doll_31.21 b,doll_66.29 b,doll_46.27 b,doll_3.29 b
262,doll_26.49 b,doll_99.18 b,doll_169.72 b,doll_1.44 b
263,doll_27.58 b,doll_53.2 b,doll_81.85 b,doll_3.04 b
264,doll_49.49 b,doll_61.51 b,doll_45.14 b,doll_2.51 b
265,doll_16.09 b,doll_473.81 b,doll_35.68 b,doll_3.6 b
266,doll_18.88 b,doll_37.67 b,doll_343.27 b,doll_8.69 b
267,doll_29.54 b,doll_362.53 b,doll_20.7 b,doll_3.4 b
268,doll_125.98 b,doll_79.76 b,doll_49.2 b,doll_1.35 b
269,doll_18.48 b,doll_118.61 b,doll_52.3 b,doll_2.91 b
270,doll_24.31 b,doll_48.83 b,doll_60.97 b,doll_5.11 b
271,doll_23.27 b,doll_52.13 b,doll_82.53 b,doll_3.61 b
272,doll_14.64 b,doll_773.34 b,doll_26.82 b,doll_6.18 b
273,doll_28.93 b,doll_42.27 b,doll_61.35 b,doll_4.65 b
274,doll_43.36 b,doll_57.79 b,doll_34.7 b,doll_3.82 b
275,doll_25.96 b,doll_78.47 b,doll_53.05 b,doll_2.31 b
276,doll_20.77 b,doll_119.92 b,doll_54.88 b,doll_2.07 b
277,doll_257.01 b,doll_63.71 b,doll_47.66 b,doll_1.41 b
278,doll_29.27 b,doll_545.24 b,doll_18.17 b,doll_3.57 b
279,doll_20.65 b,doll_33.64 b,doll_247.8 b,doll_6.09 b
280,doll_27.63 b,doll_49.95 b,doll_57.39 b,doll_3.14 b
281,doll_12.81 b,doll_77.86 b,doll_63.51 b,doll_8.03 b
282,doll_61.01 b,doll_56.24 b,doll_25.82 b,doll_4.16 b
283,doll_52.2 b,doll_58.66 b,doll_31.17 b,doll_2.98 b
284,doll_22.38 b,doll_29.74 b,doll_252.91 b,doll_7.59 b
285,doll_66.66 b,doll_76.95 b,doll_18.03 b,doll_5.77 b
286,doll_19 b,doll_44.91 b,doll_116.05 b,doll_4.19 b
287,doll_89.36 b,doll_51.98 b,doll_30.57 b,doll_2.66 b
288,doll_90.1 b,doll_209.72 b,doll_14.37 b,doll_3.32 b
289,doll_13.96 b,doll_99.59 b,doll_68.82 b,doll_3.29 b
290,doll_137.89 b,doll_51.83 b,doll_41.23 b,doll_1.64 b
291,doll_55.52 b,doll_62.17 b,doll_23.35 b,doll_4.06 b
292,doll_14.6 b,doll_40.04 b,doll_343.32 b,doll_8.13 b
293,doll_50.91 b,doll_45.96 b,doll_37.03 b,doll_2.98 b
294,doll_13.71 b,doll_316.26 b,doll_37.67 b,doll_3.03 b
295,doll_23.43 b,doll_60.01 b,doll_36.07 b,doll_4.45 b
296,doll_46.15 b,doll_36.74 b,doll_34.94 b,doll_5.6 b
297,doll_20.14 b,doll_48.27 b,doll_148.42 b,doll_2.47 b
298,doll_27.79 b,"doll_1,042.44 b",doll_21.62 b,doll_1.78 b
299,doll_221.1 b,doll_57.58 b,doll_33.25 b,doll_1.61 b
300,doll_23.43 b,doll_67.58 b,doll_79.45 b,doll_1.73 b
301,doll_32.57 b,doll_32.45 b,doll_68.15 b,doll_3.81 b
302,doll_30.36 b,doll_28.83 b,doll_89.63 b,doll_4.39 b
303,doll_39.96 b,doll_28.63 b,doll_43.29 b,doll_7.95 b
304,doll_10.15 b,doll_193.5 b,doll_65.71 b,doll_4.06 b
305,doll_48.55 b,doll_28.46 b,doll_73.7 b,doll_3.28 b
306,doll_14.81 b,doll_387.04 b,doll_29.5 b,doll_3.03 b
307,doll_84.17 b,doll_66.22 b,doll_25.89 b,doll_2.06 b
308,doll_33.78 b,doll_70.56 b,doll_23.25 b,doll_4.01 b
309,doll_15.47 b,doll_43.34 b,doll_132.17 b,doll_5.33 b
310,doll_16.62 b,doll_90.95 b,doll_50.58 b,doll_2.49 b
311,doll_11.21 b,doll_251.79 b,doll_55.44 b,doll_2.96 b
312,doll_72.32 b,doll_63.99 b,doll_19.7 b,doll_3.51 b
313,doll_46 b,doll_175.09 b,doll_24.7 b,doll_1.43 b
314,doll_19.78 b,doll_38.24 b,doll_67.97 b,doll_4.66 b
315,doll_51.78 b,doll_525.34 b,doll_16.12 b,doll_1.78 b
316,doll_15.7 b,doll_59.1 b,doll_93.89 b,doll_2.74 b
317,doll_111.7 b,doll_55.59 b,doll_40.23 b,doll_1.31 b
318,doll_49.52 b,doll_36.82 b,doll_33.74 b,doll_3.7 b
319,doll_58.8 b,doll_63.97 b,doll_20.8 b,doll_2.95 b
320,doll_48.22 b,doll_77.8 b,doll_20.28 b,doll_2.69 b
321,doll_29.35 b,doll_65.72 b,doll_30.19 b,doll_2.49 b
322,doll_21.11 b,doll_39.52 b,doll_100.66 b,doll_2.46 b
323,doll_24.15 b,doll_25.43 b,doll_99.65 b,doll_6.55 b
324,doll_47 b,doll_62.32 b,doll_22.61 b,doll_2.77 b
325,doll_37.21 b,doll_36.82 b,doll_41.33 b,doll_3.01 b
326,doll_8.63 b,doll_243.49 b,doll_86.46 b,doll_3.38 b
327,doll_19.81 b,doll_42.58 b,doll_69.46 b,doll_2.84 b
328,doll_20.86 b,doll_35.33 b,doll_70.75 b,doll_3.75 b
329,doll_18.49 b,doll_127.39 b,doll_29.83 b,doll_2.31 b
330,doll_28.65 b,doll_51.65 b,doll_37.97 b,doll_2.24 b
331,doll_57.54 b,doll_74.59 b,doll_14.92 b,doll_5.45 b
332,doll_37.26 b,doll_43.02 b,doll_30.55 b,doll_3.2 b
333,doll_12.8 b,doll_110.61 b,doll_31.69 b,doll_5.42 b
334,doll_58.66 b,doll_28.83 b,doll_46.65 b,doll_2.77 b
335,doll_26.38 b,doll_549.24 b,doll_13.28 b,doll_3.59 b
336,doll_22.38 b,doll_285.02 b,doll_15.72 b,doll_3.8 b
337,doll_100.33 b,"doll_4,229.9 b",doll_880 m,doll_22.18 b
338,doll_44.26 b,doll_81.83 b,doll_20.43 b,doll_2.15 b
339,doll_20.33 b,doll_33.69 b,doll_85.88 b,doll_3.23 b
340,doll_13.89 b,doll_175.98 b,doll_30.97 b,doll_2.76 b
341,doll_19.93 b,doll_53.36 b,doll_72.63 b,doll_1.77 b
342,doll_65.97 b,doll_64.06 b,doll_20.98 b,doll_2.1 b
343,doll_41.89 b,doll_216.84 b,doll_16.51 b,doll_1.81 b
344,doll_22.73 b,doll_122.37 b,doll_21.71 b,doll_2.38 b
345,doll_11.74 b,doll_200.63 b,doll_32.19 b,doll_3.56 b
346,doll_8.25 b,doll_272.35 b,doll_69.08 b,doll_3.31 b
347,doll_18.7 b,doll_52.85 b,doll_51.83 b,doll_2.27 b
348,doll_23.67 b,doll_41.97 b,doll_58.86 b,doll_2.09 b
349,doll_18.34 b,doll_24.68 b,doll_159.94 b,doll_7.74 b
350,doll_12.77 b,doll_117.74 b,doll_50.14 b,doll_2.17 b
351,doll_18.88 b,doll_827.82 b,doll_19.69 b,doll_1.96 b
352,doll_31 b,doll_44.67 b,doll_31.77 b,doll_2.57 b
353,doll_19.38 b,doll_473.06 b,doll_15.09 b,doll_3.55 b
354,doll_28.59 b,doll_58.62 b,doll_20.13 b,doll_4.54 b
355,doll_17.9 b,doll_399.65 b,doll_17.05 b,doll_2.88 b
356,doll_16.65 b,doll_45.71 b,doll_34.51 b,doll_6.47 b
357,doll_27.88 b,doll_44.27 b,doll_27.82 b,doll_3.71 b
358,doll_72.2 b,doll_51.73 b,doll_16.53 b,doll_3.72 b
359,doll_34.22 b,doll_29.06 b,doll_56.92 b,doll_2.4 b
360,doll_26.04 b,doll_93.39 b,doll_52.89 b,doll_1.01 b
361,doll_65.84 b,doll_58.72 b,doll_20.86 b,doll_1.89 b
362,doll_62.24 b,"doll_3,025.59 b",doll_488 m,doll_12.11 b
363,doll_27.86 b,doll_57.87 b,doll_20.48 b,doll_3.72 b
364,doll_21.16 b,doll_50.14 b,doll_30.53 b,doll_3.08 b
