,name,code,rank,marketcap,country,sharePrice,change_1day,change_1year,categories
"0,Apple,AAPL,1,$2.242 T,USA,$140.94,-1.38%,-17.67%,""['Tech', 'Software', 'Dowjones', 'TechHardware', 'Electronics']"""
"1,McDonald,MCD,46,$198.00 B,USA,$270.34,-0.53%,4.01%,""['Restaurantchains', 'Dowjones', 'Food']"""
2,T-Mobile US,TMUS,51,$185.11 B,USA,$148.79,-0.40%,27.01%,['Telecommunication']
"3,Toyota,TM,49,$195.66 B,Japan,$141.86,0.55%,-24.32%,""['Automakers', 'Manufacturing']"""
"4,Cisco,CSCO,47,$197.92 B,USA,$48.18,-0.84%,-17.05%,""['Tech', 'Electronics', 'Networkinghardware', 'Dowjones', 'Telecommunicationsequipment', 'TechHardware']"""
5,Danaher,DHR,50,$195.26 B,USA,$268.24,1.09%,-14.40%,['Conglomerate']
"6,Novartis,NVS,48,$197.31 B,Switzerland,$91.73,1.09%,13.70%,""['Pharmaceuticals', 'Biotech']"""
7,Abbott Laboratories,ABT,52,$182.74 B,USA,$104.81,0.91%,-20.85%,['Medicaldevices']
"8,L'Oréal,OR.PA,45,$199.76 B,France,$373.27,-0.35%,-22.15%,""['Consumergoods', 'CAC40', 'CosmeticsandBeauty']"""
"9,ICBC,1398.HK,42,$211.55 B,China,$0.49,1.05%,-12.50%,""['Banks', 'Financialservices']"""
"10,Broadcom,AVGO,43,$209.99 B,USA,$518.50,-1.39%,-12.18%,""['Semiconductors', 'Tech']"""
"11,Costco,COST,40,$213.32 B,USA,$481.97,0.17%,-11.08%,""['Retail', 'SupermarketChains']"""
"12,Oracle,ORCL,41,$212.40 B,USA,$78.78,-0.16%,-12.52%,""['Tech', 'Software']"""
"13,Astrazeneca,AZN,39,$213.37 B,UK,$68.85,0.42%,25.73%,""['Pharmaceuticals', 'Biotech']"""
"14,Shell,SHEL,44,$204.68 B,UK,$56.35,-0.58%,26.80%,""['OilGas', 'Energy']"""
15,Reliance Industries,RELIANCE.NS,38,$217.56 B,India,$32.16,-0.05%,1.80%,['Conglomerate']
16,Lowe's Companies,LOW,100,$125.10 B,USA,$206.89,2.47%,-19.47%,['Retail']
"17,HDFC Bank,HDB,99,$125.58 B,India,$67.57,-0.95%,0.40%,""['Banks', 'Financialservices']"""
"18,Lockheed Martin,LMT,98,$126.11 B,USA,$481.20,-0.58%,41.88%,""['Aerospace', 'Defensecontractors', 'Aircraftmanufacturers', 'Manufacturing']"""
19,AIA,1299.HK,97,$126.63 B,Hong Kong,$10.76,4.95%,2.28%,['Insurance']
"20,PetroChina,601857.SS,95,$129.07 B,China,$0.74,-0.77%,-5.13%,""['OilGas', 'Energy']"""
"21,Elevance Health,ELV,96,$127.17 B,USA,$529.90,0.28%,28.85%,""['Healthcare', 'Insurance']"""
"22,Unilever,UL,94,$129.33 B,UK,$50.82,-0.68%,-2.92%,""['Food', 'Consumergoods']"""
"23,SAP,SAP,93,$129.89 B,Germany,$107.87,0.09%,-19.80%,""['Tech', 'Software', 'DAX']"""
"24,Union Pacific Corporation,UNP,92,$130.47 B,USA,$212.22,0.51%,-14.24%,""['Railways', 'Transportation', 'Infrastructure']"""
"25,Salesforce,CRM,91,$130.47 B,USA,$130.48,-2.09%,-51.13%,""['Software', 'Dowjones', 'Tech']"""
"26,CM Bank,3968.HK,90,$130.68 B,China,$5.18,2.94%,-37.89%,""['Banks', 'Financialservices']"""
"27,IBM,IBM,89,$132.00 B,USA,$147.27,-0.16%,21.13%,""['Tech', 'Software', 'Dowjones']"""
"28,QUALCOMM,QCOM,88,$132.51 B,USA,$118.21,-1.31%,-35.66%,""['Tech', 'Semiconductors', 'TechHardware']"""
"29,Deere & Company,DE,87,$132.99 B,USA,$440.65,0.55%,21.95%,""['Machinerymanufacturing', 'Manufacturing']"""
"30,Royal Bank Of Canada,RY,86,$134.26 B,Canada,$96.63,-0.23%,-6.27%,""['Banks', 'Financialservices']"""
31,Prosus,PRX.AS,85,$134.29 B,Netherlands,$66.99,1.97%,-21.86%,['Investment']
"32,Meituan,3690.HK,80,$141.73 B,China,$22.90,6.45%,-27.32%,""['Internet', 'Tech', 'ECommerce']"""
"33,CVS Health,CVS,84,$134.39 B,USA,$102.28,1.08%,10.06%,""['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']"""
"34,Netflix,NFLX,82,$137.25 B,USA,$308.42,0.94%,-50.70%,""['Entertainment', 'Internet', 'Tech']"""
35,AT&T,T,81,$137.55 B,USA,$19.30,0.68%,-16.38%,['Telecommunication']
"36,Dior,CDI.PA,83,$134.89 B,France,$747.69,-0.07%,-5.63%,""['Luxurygoods', 'Clothing']"""
"37,ConocoPhillips,COP,78,$143.14 B,USA,$114.88,-0.63%,54.06%,""['OilGas', 'Energy']"""
"38,Agricultural Bank of China,601288.SS,79,$142.89 B,China,$0.42,0.69%,-8.70%,""['Banks', 'Financialservices']"""
39,Ping An Insurance,601318.SS,105,$120.97 B,China,$6.76,0.96%,-14.43%,['Insurance']
"40,3M,MMM,196,$69.83 B,USA,$126.35,1.42%,-28.43%,""['Dowjones', 'GlovesPPE']"""
"41,China Yangtze Power,600900.SS,200,$68.17 B,China,$3.00,-0.10%,-1.96%,""['Electricity', 'Utilitycompanies']"""
42,Humana,HUM,198,$69.52 B,USA,$549.18,0.52%,26.83%,['Insurance']
"43,Iberdrola,IBE.MC,197,$69.79 B,Spain,$11.42,-0.50%,0.62%,""['Electricity', 'Energy']"""
"44,Moderna,MRNA,199,$68.76 B,USA,$179.00,3.15%,-36.60%,""['Pharmaceuticals', 'mRNAtherapeutics', 'Biotech']"""
45,Air Products and Chemicals,APD,194,$70.01 B,USA,$315.58,1.12%,6.64%,['Chemicals']
"46,Mercedes-Benz,MBG.DE,192,$70.56 B,Germany,$65.96,-0.55%,-19.06%,""['Automakers', 'Manufacturing', 'DAX', 'Autonomousdriving']"""
47,Becton Dickinson,BDX,195,$69.84 B,USA,$246.48,0.86%,-1.55%,['Medicaldevices']
"48,Zoetis,ZTS,193,$70.02 B,USA,$150.25,-1.83%,-33.43%,""['Pharmaceuticals', 'Biotech']"""
49,Zurich Insurance Group,ZURN.SW,189,$70.97 B,Switzerland,$478.59,0.09%,12.48%,['Insurance']
"50,Target,TGT,190,$70.77 B,USA,$153.76,-0.83%,-37.40%,""['Retail', 'SupermarketChains']"""
