,name,codice,pricecap,price,country
1043,Terna,TRN.MI,$15.97 B,$7.96,Italy
1044,NVR,NVR,$15.95 B,"$4,992",USA
1045,Jacobs Engineering,J,$15.95 B,$126.01,USA
1046,China Steel,2002A.TW,$15.88 B,$1.52,Taiwan
1047,Symrise,SY1.DE,$15.86 B,$113.49,Germany
1048,Asahi Group,2502.T,$15.83 B,$31.25,Japan
1049,Brookfield Infrastructure Partners,BIP,$15.82 B,$34.53,Bermuda
1050,Avery Dennison,AVY,$15.81 B,$195.34,USA
1051,Snap,SNAP,$15.80 B,$9.80,USA
1052,WSP Global,WSP.TO,$15.80 B,$126.98,Canada
1053,Teleperformance,TEP.PA,$15.78 B,$269.88,France
1054,The Mosaic Company,MOS,$15.77 B,$46.32,USA
1055,PChem (Petronas Chemicals Group),5183.KL,$15.68 B,$1.96,Malaysia
1056,Coles Group,COL.AX,$15.67 B,$11.71,Australia
1057,Suzuki Motor,7269.T,$15.64 B,$32.21,Japan
1058,LKQ Corporation,LKQ,$15.63 B,$58.52,USA
1059,Sonova,SOON.SW,$15.62 B,$255.50,Switzerland
1060,BT Group,BT-A.L,$15.61 B,$1.57,UK
1061,AerCap,AER,$15.61 B,$63.49,Ireland
1062,Hai Di Lao Hot Pot,6862.HK,$15.56 B,$2.79,China
1063,Zscaler,ZS,$15.47 B,$107.30,USA
1064,Formula One Group,FWONK,$15.46 B,$67.01,USA
1065,Fairfax Financial,FFH.TO,$15.46 B,$618.57,Canada
1066,FICO,FICO,$15.43 B,$617.92,USA
1067,ASM International,ASM.AS,$15.36 B,$315.33,Netherlands
1068,Aviva,AV.L,$15.33 B,$5.42,UK
1069,HubSpot,HUBS,$15.33 B,$315.70,USA
1070,Pidilite,PIDILITIND.NS,$15.32 B,$30.15,India
1071,PTC,PTC,$15.32 B,$129.69,USA
1072,Philips,PHG,$15.31 B,$17.30,Netherlands
1073,Abu Dhabi National Oil Company (ADNOC),ADNOCDIST.AE,$15.31 B,$1.23,UAE
1074,Iron Mountain,IRM,$15.30 B,$52.63,USA
1075,Aristocrat,ALL.AX,$15.24 B,$23.19,Australia
1076,Tencent Music,TME,$15.23 B,$8.99,China
1077,Prada,1913.HK,$15.18 B,$5.94,Italy
1078,MGM Resorts,MGM,$15.18 B,$39.54,USA
1079,Teradyne,TER,$15.17 B,$97.44,USA
1080,Zebra Technologies,ZBRA,$15.16 B,$293.70,USA
1081,ASE Group,ASX,$15.11 B,$7.05,Taiwan
1082,Huazhu Hotels,HTHT,$15.10 B,$47.59,China
1083,Coca-Cola FEMSA,KOF,$15.09 B,$70.51,Mexico
1084,Geely,0175.HK,$15.09 B,$1.50,China
1085,Synchrony,SYF,$15.07 B,$33.47,USA
1086,Toshiba,6502.T,$15.07 B,$34.84,Japan
1087,Bunge,BG,$15.04 B,$100.42,USA
1088,Franklin Resources,BEN,$15.04 B,$30.07,USA
1089,JDE Peet's,JDE.F,$15.01 B,$29.87,Netherlands
1090,Shimano,7309.T,$15.00 B,$165.59,Japan
1091,Astra International,ASII.JK,$14.97 B,$0.37,Indonesia
1092,South32,S32.AX,$14.97 B,$3.27,Australia
1093,B3,B3SA3.SA,$14.93 B,$2.58,Brazil
1094,SVB Financial Group,SIVB,$14.93 B,$252.73,USA
1095,CTBC Financial Holding,2891.TW,$14.90 B,$0.76,Taiwan
1096,Daiwa House,1925.T,$14.90 B,$22.73,Japan
1097,Lucid Motors,LCID,$14.90 B,$8.15,USA
1098,Avantor,AVTR,$14.89 B,$22.10,USA
1099,Arca Continental,AC.MX,$14.88 B,$8.53,Mexico
1100,GAC (Guangzhou Automobile Group),601238.SS,$14.74 B,$1.69,China
1101,Tryg,TRYG.CO,$14.74 B,$23.29,Denmark
1102,Siemens Energy,ENR.F,$14.74 B,$20.49,Germany
1103,Zhongsheng Group,0881.HK,$14.73 B,$6.13,China
1104,MFHC,2886.TW,$14.73 B,$1.06,Taiwan
1105,Burlington Stores,BURL,$14.68 B,$225.25,USA
1106,Sompo Holdings,8630.T,$14.67 B,$43.96,Japan
1107,Textron,TXT,$14.66 B,$70.25,USA
1108,China Railway Construction,601186.SS,$14.65 B,$1.16,China
1109,Essex Property Trust,ESS,$14.64 B,$218.54,USA
1110,Multiply Group,MULTIPLY.AE,$14.60 B,$1.30,UAE
1111,Telenor,TEL.OL,$14.59 B,$10.43,Norway
1112,Westlake Chemical,WLK,$14.58 B,$114.39,USA
1113,Apache Corporation,APA,$14.57 B,$45.34,USA
1114,Gen Digital,GEN,$14.57 B,$22.37,USA
1115,Continental,CON.DE,$14.56 B,$72.81,Germany
1116,Bangkok Dusit Medical Services (BDMS),BDMS.BK,$14.54 B,$0.92,Thailand
1117,Healthpeak Properties,PEAK,$14.54 B,$27.05,USA
1118,Almarai,2280.SR,$14.53 B,$14.63,S. Arabia
1119,Splunk,SPLK,$14.53 B,$88.80,USA
1120,Rivian,RIVN,$14.53 B,$16.45,USA
1121,Vedanta,VEDL.NS,$14.50 B,$3.90,India
1122,Nitori Holdings,9843.T,$14.50 B,$128.43,Japan
1123,Aéroports de Paris,ADP.PA,$14.49 B,$146.99,France
1124,Palantir,PLTR,$14.47 B,$6.96,USA
1125,Cloudflare,NET,$14.43 B,$43.93,USA
1126,Evergy,EVRG,$14.43 B,$62.89,USA
1127,Erste Group Bank,EBO.F,$14.43 B,$35.45,Austria
1128,Newcrest Mining,NCM.AX,$14.42 B,$16.14,Australia
1129,Novozymes,NZYM.VI,$14.41 B,$51.38,Denmark
1130,Nomura Research Institute,4307.T,$14.41 B,$24.42,Japan
1131,Inpex,1605.T,$14.39 B,$10.92,Japan
1132,Fleetcor,FLT,$14.35 B,$194.70,USA
1133,Enel Américas,ENELAM.SN,$14.32 B,$0.13,Chile
1134,Shaw Communications,SJR,$14.31 B,$28.65,Canada
1135,Sasa Polyester,SASA.IS,$14.30 B,$6.32,Turkey
1136,Loews Corporation,L,$14.29 B,$60.22,USA
1137,Indian Oil,IOC.NS,$14.29 B,$1.01,India
1138,Volvo Car,VOLCAR-B.ST,$14.26 B,$4.79,Sweden
1139,Shinkin Central Bank,8421.T,$14.23 B,"$2,122",Japan
1140,ABN AMRO,ABN.AS,$14.22 B,$15.85,Netherlands
1141,Sodexo,SW.PA,$14.16 B,$96.68,France
1142,Shionogi,4507.T,$14.14 B,$47.45,Japan
1143,Lamb Weston,LW,$14.12 B,$98.16,USA
1144,Formosa Chemicals & Fibre,1326.TW,$14.08 B,$2.41,Taiwan
1145,ADNOC Drilling Company,ADNOCDRILL.AE,$14.07 B,$0.88,UAE
1146,MTN Group,MTN.JO,$14.06 B,$7.78,South Africa
1147,CK Infrastructure,1038.HK,$14.06 B,$5.58,Hong Kong
1148,Jerónimo Martins,JEM.F,$14.04 B,$22.29,Portugal
1149,Delivery Hero,DHER.F,$14.02 B,$54.52,Germany
1150,SS&C Technologies,SSNC,$14.02 B,$55.67,USA
1151,Viatris,VTRS,$13.99 B,$11.54,USA
1152,Fortum,FORTUM.HE,$13.97 B,$15.74,Finland
1153,Interpublic Group,IPG,$13.97 B,$35.96,USA
1154,Sunny Optical,2382.HK,$13.96 B,$12.74,China
1155,Akamai,AKAM,$13.94 B,$88.70,USA
1156,NetApp,NTAP,$13.93 B,$64.66,USA
1157,Nordson,NDSN,$13.93 B,$243.84,USA
1158,Alliant Energy,LNT,$13.93 B,$55.51,USA
1159,Weichai Power,2338.HK,$13.87 B,$1.49,China
1160,Huaneng Power,600011.SS,$13.87 B,$1.05,China
1161,Everest Re,RE,$13.82 B,$352.91,BM
1162,Carrefour,CA.PA,$13.81 B,$18.88,France
1163,Poste Italiane,PST.MI,$13.79 B,$10.63,Italy
1164,Grab Holdings,GRAB,$13.78 B,$3.58,Singapore
1165,BDO Unibank,BDOUY,$13.77 B,$26.17,Philippines
1166,MongoDB,MDB,$13.68 B,$197.53,USA
1167,Gaming and Leisure Properties,GLPI,$13.66 B,$53.08,USA
1168,Dassault Aviation,AM.PA,$13.66 B,$165.08,France
1169,Carnival,CCL,$13.66 B,$10.51,USA
1170,POOLCORP,POOL,$13.63 B,$349.09,USA
1171,Credit Suisse,CS,$13.62 B,$3.44,Switzerland
1172,Eurofins Scientific,ERF.PA,$13.62 B,$70.72,Luxembourg
1173,International Paper,IP,$13.60 B,$38.25,USA
1174,Power Financial,PWF-PS.TO,$13.55 B,$14.74,Canada
1175,Acciona Energías Renovables,ANE.MC,$13.51 B,$41.05,Spain
1176,Thai Beverage,TBVPF,$13.50 B,$0.52,Thailand
1177,Capitec Bank,CPI.JO,$13.50 B,$116.29,South Africa
1178,New China Life Insurance,601336.SS,$13.48 B,$4.98,China
1179,Corebridge Financial,CRBG,$13.47 B,$20.89,USA
1180,OBIC,4684.T,$13.46 B,$151.89,Japan
1181,QBE Insurance,QBE.AX,$13.45 B,$9.07,Australia
1182,Liberty Media,LSXMB,$13.45 B,$41.18,USA
1183,Bandai Namco,7832.T,$13.44 B,$61.12,Japan
1184,Trimble,TRMB,$13.44 B,$54.51,USA
1185,Leidos,LDOS,$13.44 B,$98.35,USA
1186,Edenred,EDEN.PA,$13.42 B,$53.91,France
1187,Amundi,AMUN.PA,$13.42 B,$65.92,France
1188,Bank of Beijing,601169.SS,$13.41 B,$0.63,China
1189,Axon Enterprise,AXON,$13.38 B,$188.13,USA
1190,Chandra Asri Petrochemical,TPIA.JK,$13.37 B,$0.15,Indonesia
1191,Grasim Industries,GRASIM.NS,$13.35 B,$20.29,India
1192,Siemens Gamesa,GCTAF,$13.34 B,$19.36,Spain
1193,Bio-Rad Laboratories,BIO,$13.33 B,$455.20,USA
1194,Sysmex,6869.T,$13.32 B,$63.56,Japan
1195,Toyota Tsusho,8015.T,$13.31 B,$37.86,Japan
1196,Hindalco Industries,HINDALCO.NS,$13.26 B,$5.95,India
1197,Jack Henry & Associates,JKHY,$13.25 B,$181.76,USA
1198,Resona Holdings,8308.T,$13.25 B,$5.55,Japan
1199,First Horizon National,FHN,$13.23 B,$24.65,USA
1200,TransUnion,TRU,$13.22 B,$68.65,USA
1201,Snap-on,SNA,$13.22 B,$248.81,USA
1202,Cboe,CBOE,$13.20 B,$124.49,USA
1203,Kimco Realty,KIM,$13.20 B,$21.35,USA
1204,Sumitomo Mitsui Trust Holdings,8309.T,$13.20 B,$36.60,Japan
1205,Tyler Technologies,TYL,$13.18 B,$316.76,USA
1206,KPN,KPN.F,$13.18 B,$3.27,Netherlands
1207,China Eastern Airlines,CEA,$13.17 B,$21.60,China
1208,Equity LifeStyle Properties,ELS,$13.17 B,$67.41,USA
1209,Paramount Global,PARA,$13.15 B,$20.06,USA
1210,Stanley Black & Decker,SWK,$13.15 B,$88.91,USA
1211,Celanese,CE,$13.15 B,$121.29,USA
1212,Brookfield Asset Management,BAM,$13.14 B,$31.89,Canada
1213,American Homes 4 Rent,AMH,$13.14 B,$32.46,USA
1214,Bank Leumi,LUMI.TA,$13.12 B,$8.92,Israel
1215,Erie Indemnity,ERIE,$13.10 B,$250.66,USA
1216,Singapore Airlines,C6L.SI,$13.09 B,$4.41,Singapore
1217,Coinbase,COIN,$13.08 B,$49.98,USA
1218,Liberty Broadband,LBRDA,$13.05 B,$87.96,USA
1219,Bureau Veritas,BVI.PA,$13.05 B,$28.86,France
1220,Commerzbank,CBK.F,$13.04 B,$10.38,Germany
1221,bioMérieux,BIM.PA,$13.04 B,$110.18,France
1222,Julius Bär,BAER.SW,$13.02 B,$62.42,Switzerland
1223,Metro,MRU.TO,$13.01 B,$55.31,Canada
1224,Vodacom,5VD.F,$13.00 B,$7.55,South Africa
1225,LG Electronics,LGLG.F,$13.00 B,$17.05,S. Korea
1226,Siam Cement,SCC.BK,$12.95 B,$10.80,Thailand
1227,Adani Power,ADANIPOWER.NS,$12.95 B,$3.36,India
1228,AspenTech,AZPN,$12.95 B,$200.74,USA
1229,Suzano,SUZ,$12.94 B,$9.89,Brazil
1230,Alfa Laval,ALFA.ST,$12.94 B,$31.02,Sweden
1231,Hansoh Pharma,3692.HK,$12.92 B,$2.18,China
1232,Siemens India,SIEMENS.NS,$12.90 B,$36.23,India
1233,Grupo Elektra,XEKT.MC,$12.88 B,$56.47,Mexico
1234,Match Group,MTCH,$12.88 B,$46.13,USA
1235,Banque Saudi Fransi,1050.SR,$12.87 B,$10.74,S. Arabia
1236,Bank Hapoalim,POLI.TA,$12.87 B,$9.63,Israel
1237,Tenaga Nasional,TNABY,$12.84 B,$8.93,Malaysia
1238,MTU Aero Engines,MTX.DE,$12.83 B,$240.88,Germany
1239,Essential Utilities,WTRG,$12.79 B,$48.79,USA
1240,AkzoNobel,AKZA.AS,$12.78 B,$74.05,Netherlands
1241,EQT Corporation,EQT,$12.77 B,$34.81,USA
1242,Advantest,6857.T,$12.77 B,$69.21,Japan
1243,Britannia Industries,BRITANNIA.NS,$12.77 B,$53.04,India
1244,Uni-President Enterprises,1216.TW,$12.76 B,$2.25,Taiwan
1245,Bank of Shanghai,601229.SS,$12.74 B,$0.90,China
1246,Carl Zeiss Meditec,AFXA.F,$12.72 B,$142.27,Germany
1247,Reliance Steel & Aluminum,RS,$12.72 B,$216.80,USA
1248,Unity Software,U,$12.72 B,$31.57,USA
1249,Hubbell,HUBB,$12.69 B,$236.42,USA
1250,Bio-Techne,TECH,$12.69 B,$80.85,USA
1251,Amerco,UHAL,$12.64 B,$64.51,USA
1252,NICE,NICE,$12.64 B,$199.01,Israel
1253,Ambuja Cements,AMBUJACEM.NS,$12.63 B,$6.36,India
1254,SEGRO,SGRO.L,$12.60 B,$10.42,UK
1255,Secom,9735.T,$12.59 B,$58.32,Japan
1256,Worldline,WLN.PA,$12.57 B,$44.68,France
1257,Smith & Nephew,SNN,$12.57 B,$28.58,UK
1258,Camden Property Trust,CPT,$12.56 B,$117.95,USA
1259,Booz Allen Hamilton,BAH,$12.56 B,$94.99,USA
1260,Polestar,PSNY,$12.55 B,$5.95,Sweden
1261,GBL,GBLB.VI,$12.54 B,$85.47,Belgium
1262,Mitsubishi Heavy Industries,7011.T,$12.52 B,$37.32,Japan
1263,Packaging Corporation of America,PKG,$12.52 B,$135.40,USA
1264,Solvay,SOLB.VI,$12.51 B,$111.32,Belgium
1265,Nissan,7201.T,$12.49 B,$3.19,Japan
1266,HeidelbergCement,HEI.DE,$12.48 B,$64.66,Germany
1267,Teva Pharmaceutical Industries,TEVA,$12.48 B,$11.24,Israel
1268,Ovintiv,OVV,$12.48 B,$50.28,USA
1269,Bajaj Auto,BAJAJ-AUTO.NS,$12.48 B,$44.10,India
1270,TDK,6762.T,$12.44 B,$32.82,Japan
1271,Shandong Gold Mining,600547.SS,$12.42 B,$2.96,China
1272,Taiwan Cooperative Financial,5880.TW,$12.42 B,$0.89,Taiwan
1273,Tech Mahindra,TECHM.NS,$12.40 B,$12.73,India
1274,Hana Financial Group,086790.KS,$12.39 B,$42.51,S. Korea
1275,MarketAxess,MKTX,$12.38 B,$329.02,USA
1276,Carlisle Companies,CSL,$12.38 B,$239.43,USA
1277,Telefonica Brasil,VIV,$12.37 B,$7.44,Brazil
1278,Talanx,TLX.DE,$12.36 B,$48.81,Germany
1279,Hua Xia Bank,600015.SS,$12.35 B,$0.78,China
1280,Host Hotels & Resorts,HST,$12.33 B,$17.01,USA
1281,POSCO Chemical,003670.KS,$12.32 B,$159.23,S. Korea
1282,WiseTech Global,WTC.AX,$12.30 B,$37.62,Australia
1283,Sekisui House,1928.T,$12.27 B,$18.54,Japan
1284,Zalando,ZAL.DE,$12.25 B,$47.18,Germany
1285,Exact Sciences,EXAS,$12.25 B,$68.96,USA
1286,Bunzl,BNZL.L,$12.24 B,$36.27,UK
1287,Yonyou,600588.SS,$12.23 B,$3.56,China
1288,Bouygues,EN.PA,$12.23 B,$32.87,France
1289,Chesapeake Energy,CHK,$12.21 B,$91.21,USA
1290,NN Group,NN.AS,$12.20 B,$43.21,Netherlands
1291,Campari,CPR.MI,$12.20 B,$10.69,Italy
1292,Carlyle Group,CG,$12.19 B,$33.53,USA
1293,American Financial Group,AFG,$12.18 B,$143.12,USA
1294,Stora Enso,STEAV.HE,$12.15 B,$16.07,Finland
1295,Brookfield Property Partners,BPYPP,$12.14 B,$18.38,Bermuda
1296,WPP,WPP,$12.14 B,$56.69,UK
1297,Chailease Holding,5871.TW,$12.10 B,$7.65,Taiwan
1298,VF Corporation,VFC,$12.09 B,$31.13,USA
1299,Kirin Holdings,2503.T,$12.08 B,$14.89,Japan
1300,The Toro Company,TTC,$12.08 B,$116.19,USA
1301,Dabur,DABUR.NS,$12.06 B,$6.81,India
1302,IHH Healthcare,Q0F.SI,$12.05 B,$1.37,Malaysia
1303,Unilever Indonesia,UNVR.JK,$12.02 B,$0.32,Indonesia
1304,AECOM,ACM,$11.97 B,$86.40,USA
1305,Croda International,CRDA.L,$11.97 B,$85.76,UK
1306,Bank Albilad,1140.SR,$11.97 B,$11.97,S. Arabia
1307,Power Assets,0006.HK,$11.95 B,$5.61,Hong Kong
1308,Domino's Pizza,DPZ,$11.94 B,$337.44,USA
1309,First Citizens BancShares,FCNCA,$11.94 B,$830.00,USA
1310,Nomura Holdings,NMR,$11.91 B,$3.97,Japan
1311,Graco,GGG,$11.90 B,$70.62,USA
1312,United Therapeutics,UTHR,$11.89 B,$261.04,USA
1313,Arab National Bank,1080.SR,$11.88 B,$7.93,S. Arabia
1314,AVEVA,AVV.L,$11.87 B,$39.33,UK
1315,Entegris,ENTG,$11.86 B,$79.60,USA
1316,Nexi,NEXI.MI,$11.85 B,$9.04,Italy
1317,Rede D'Or Sao Luiz,RDOR3.SA,$11.84 B,$5.16,Brazil
1318,InterContinental Hotels Group,IHG,$11.84 B,$67.49,UK
1319,Charles River Laboratories,CRL,$11.83 B,$232.62,USA
1320,Bank of Baroda,BANKBARODA.NS,$11.83 B,$2.29,India
1321,IndusInd Bank,INDUSINDBK.NS,$11.82 B,$15.25,India
1322,Credicorp,BAP,$11.82 B,$148.68,Bermuda
1323,Western Digital,WDC,$11.82 B,$37.22,USA
1324,Seagate Technology,STX,$11.82 B,$57.26,Ireland
1325,GoDaddy,GDDY,$11.81 B,$75.92,USA
1326,kyowa Kirin,4151.T,$11.80 B,$21.97,Japan
1327,Hainan Airlines,900945.SS,$11.79 B,$0.27,China
1328,Globe Life,GL,$11.79 B,$121.28,USA
1329,Nippon Yūsen,9101.T,$11.77 B,$23.22,Japan
1330,Swire Pacific,0019.HK,$11.75 B,$8.92,Hong Kong
1331,Yara International,YAR.OL,$11.75 B,$46.15,Norway
1332,Boliden,BOL.ST,$11.74 B,$42.93,Sweden
1333,DocuSign,DOCU,$11.73 B,$58.34,USA
1334,Masco,MAS,$11.72 B,$52.00,USA
1335,Aluminum Corporation of China,601600.SS,$11.72 B,$0.73,China
1336,Orient Overseas Container Line,0316.HK,$11.72 B,$17.75,Hong Kong
1337,CNA Financial,CNA,$11.71 B,$43.25,USA
1338,Aramark,ARMK,$11.70 B,$45.31,USA
1339,Renault,RNO.PA,$11.70 B,$40.41,France
1340,Mineral Resources,MIN.AX,$11.69 B,$61.60,Australia
1341,Randstad,RAND.AS,$11.68 B,$63.90,Netherlands
1342,Sino Biopharmaceutical,1177.HK,$11.68 B,$0.62,China
1343,First Financial Holding,2892.TW,$11.66 B,$0.88,Taiwan
1344,Godrej,GODREJCP.NS,$11.63 B,$11.38,India
1345,Vifor Pharma,VIFN.SW,$11.62 B,$179.20,Switzerland
1346,CIMB Group,1023.KL,$11.60 B,$1.33,Malaysia
1347,PulteGroup,PHM,$11.55 B,$50.74,USA
1348,Subaru,7270.T,$11.53 B,$15.04,Japan
1349,E.SUN Bank,2884.TW,$11.52 B,$0.81,Taiwan
1350,Qiagen,QGEN,$11.51 B,$50.56,Netherlands
1351,SCB (Siam Commercial Bank),SCB.BK,$11.50 B,$3.42,Thailand
1352,ZoomInfo,ZI,$11.45 B,$26.01,USA
1353,Saputo,SAP.TO,$11.45 B,$27.34,Canada
1354,Albertsons,ACI,$11.43 B,$21.34,USA
1355,Lufthansa,LHA.DE,$11.42 B,$9.56,Germany
1356,Ryan Specialty Group,RYAN,$11.41 B,$43.88,USA
1357,DLF,DLF.NS,$11.38 B,$4.60,India
1358,REA Group,REA.AX,$11.36 B,$86.05,Australia
1359,Wynn Resorts,WYNN,$11.35 B,$100.25,USA
1360,Informa plc,INF.L,$11.35 B,$8.02,UK
1361,KakaoBank,323410.KS,$11.34 B,$23.80,S. Korea
1362,Impala Platinum,IMP.JO,$11.34 B,$13.40,South Africa
1363,Brambles,BXB.AX,$11.34 B,$8.17,Australia
1364,Regency Centers,REG,$11.33 B,$65.98,USA
1365,Gold Fields,GFI,$11.30 B,$12.69,South Africa
1366,Hotai Motor,2207.TW,$11.30 B,$20.71,Taiwan
1367,Teleflex,TFX,$11.30 B,$240.98,USA
1368,Equitable Holdings,EQH,$11.29 B,$30.53,USA
1369,News Corp,NWS,$11.28 B,$19.82,USA
1370,NiSource,NI,$11.28 B,$27.79,USA
1371,Brenntag,BNR.DE,$11.25 B,$72.83,Germany
1372,Hyatt Hotels,H,$11.24 B,$104.94,USA
1373,Fidelity National Financial,FNF,$11.23 B,$41.30,USA
1374,RPM International,RPM,$11.23 B,$87.06,USA
1375,Lundbergföretagen,LUND-B.ST,$11.22 B,$45.92,Sweden
1376,Kasikornbank,KBANK.BK,$11.20 B,$4.73,Thailand
1377,Okta,OKTA,$11.17 B,$69.76,USA
1378,Industrivarden,INDU-A.ST,$11.16 B,$26.47,Sweden
1379,Rexford Industrial,REXR,$11.16 B,$58.93,USA
1380,Boston Properties,BXP,$11.16 B,$71.20,USA
1381,Deckers Brands,DECK,$11.14 B,$420.92,USA
1382,Acciona,ANA.MC,$11.13 B,$203.52,Spain
1383,Sarepta Therapeutics,SRPT,$11.12 B,$126.70,USA
1384,Sasol,SSL,$11.11 B,$17.35,South Africa
1385,Rolls-Royce Holdings,RR.L,$11.07 B,$1.31,UK
1386,Full Truck Alliance,YMM,$11.06 B,$9.98,China
1387,American Airlines,AAL,$11.06 B,$17.02,USA
1388,Molson Coors,TAP,$11.04 B,$50.76,USA
1389,Cameco,CCJ,$11.03 B,$25.49,Canada
1390,C. H. Robinson,CHRW,$11.02 B,$93.63,USA
1391,Barry Callebaut,BARN.SW,$11.01 B,"$2,009",Switzerland
1392,FinecoBank,FBK.MI,$11.00 B,$18.02,Italy
1393,Eastman Chemical,EMN,$10.96 B,$91.38,USA
1394,Bentley Systems,BSY,$10.95 B,$37.98,USA
1395,Service Corporation International,SCI,$10.94 B,$71.15,USA
1396,AEGON,AEG,$10.93 B,$5.53,Netherlands
1397,SK Innovation,096775.KS,$10.92 B,$78.40,S. Korea
1398,Scentre Group,SCG.AX,$10.92 B,$2.10,Australia
1399,Bill.com,BILL,$10.91 B,$103.31,USA
1400,Gerdau,GGB,$10.91 B,$6.39,Brazil
1401,Hongkong Land,H78.SI,$10.91 B,$4.90,Hong Kong
1402,Western Midstream,WES,$10.90 B,$28.32,USA
1403,Henry Schein,HSIC,$10.89 B,$80.37,USA
1404,Divis Laboratories,DIVISLAB.NS,$10.89 B,$41.02,India
1405,Larsen & Toubro Infotech,LTI.BO,$10.88 B,$62.38,India
1406,Ono Pharmaceutical,4528.T,$10.88 B,$22.28,Japan
1407,Flex,FLEX,$10.88 B,$24.03,Singapore
1408,Vivendi,VIV.PA,$10.87 B,$10.52,France
1409,Ivanhoe Mines,IVN.TO,$10.86 B,$8.95,Canada
1410,Magellan Midstream Partners,MMP,$10.82 B,$52.83,USA
1411,Amdocs,DOX,$10.81 B,$89.51,USA
1412,Emera,EMA.TO,$10.80 B,$40.28,Canada
1413,Paylocity,PCTY,$10.80 B,$194.03,USA
1414,Bank Negara Indonesia,BBNI.JK,$10.79 B,$0.58,Indonesia
1415,Sumitomo Realty & Development,8830.T,$10.79 B,$22.77,Japan
1416,Cleveland-Cliffs,CLF,$10.78 B,$20.92,USA
1417,Darling Ingredients,DAR,$10.76 B,$67.19,USA
1418,Disco Corp.,6146.T,$10.75 B,$298.05,Japan
1419,ENEOS Holdings,5020.T,$10.75 B,$3.56,Japan
1420,Dick's Sporting Goods,DKS,$10.73 B,$128.65,USA
1421,Bilibili,BILI,$10.71 B,$27.97,China
1422,Ramsay Health Care,RHC.AX,$10.70 B,$46.77,Australia
1423,Shree Cement,SHREECEM.NS,$10.68 B,$296.13,India
1424,Bath & Body Works,BBWI,$10.65 B,$46.66,USA
1425,Dynatrace,DT,$10.65 B,$37.01,USA
1426,Sumitomo Metal Mining,5713.T,$10.64 B,$38.75,Japan
1427,Watsco,WSO,$10.64 B,$275.46,USA
1428,Annaly Capital Management,NLY,$10.62 B,$22.70,USA
1429,Pan Pacific,7532.T,$10.59 B,$17.77,Japan
1430,TPG Capital,TPG,$10.59 B,$34.30,USA
1431,Evergreen Marine,2603.TW,$10.58 B,$5.00,Taiwan
1432,Builders FirstSource,BLDR,$10.58 B,$71.93,USA
1433,Turkish Airlines,THYAO.IS,$10.57 B,$7.66,Turkey
1434,Yakult,2267.T,$10.56 B,$67.74,Japan
1435,Five Below,FIVE,$10.56 B,$190.34,USA
1436,Eicher Motors,EICHERMOT.NS,$10.56 B,$38.63,India
1437,Universal Health Services,UHS,$10.55 B,$147.88,USA
1438,Alstom,ALO.PA,$10.55 B,$28.05,France
1439,AGCO,AGCO,$10.54 B,$141.36,USA
1440,Synnex,SNX,$10.53 B,$111.35,USA
1441,Cipla,CIPLA.NS,$10.53 B,$13.04,India
1442,Telia Company,TELIA.ST,$10.52 B,$2.68,Sweden
1443,Crown Holdings,CCK,$10.50 B,$87.57,USA
1444,Korea Electric Power,KEP,$10.50 B,$8.18,S. Korea
1445,Burberry,BRBY.L,$10.50 B,$27.66,UK
1446,Sonic Healthcare,SHL.AX,$10.48 B,$21.80,Australia
1447,Neurocrine Biosciences,NBIX,$10.47 B,$108.99,USA
1448,Sino Land,0083.HK,$10.46 B,$1.30,Hong Kong
1449,Next plc,NXT.L,$10.46 B,$80.95,UK
1450,Fresenius Medical Care,FMS,$10.46 B,$17.83,Germany
1451,Tapestry,TPR,$10.45 B,$43.38,USA
1452,Hua Nan Financial Holdings,2880.TW,$10.45 B,$0.77,Taiwan
1453,HF Sinclair,DINO,$10.44 B,$52.01,USA
1454,Entain,ENT.L,$10.42 B,$17.71,Isle of Man
1455,Spirax-Sarco Engineering,SPX.L,$10.42 B,$141.30,UK
1456,BorgWarner,BWA,$10.41 B,$44.48,USA
1457,GFL Environmental,GFL,$10.40 B,$30.30,Canada
1458,Banco de Chile,BCH,$10.40 B,$20.60,Chile
1459,Ceridian,CDAY,$10.38 B,$67.62,USA
1460,INWIT,INW.MI,$10.38 B,$10.74,Italy
1461,Lamar Advertising,LAMR,$10.38 B,$102.10,USA
1462,Caesars Entertainment,CZR,$10.37 B,$48.37,USA
1463,Samsung Life Insurance,032830.KS,$10.37 B,$57.79,S. Korea
1464,Toast,TOST,$10.36 B,$19.91,USA
1465,Suncorp,SUN.AX,$10.36 B,$8.20,Australia
1466,Juniper Networks,JNPR,$10.36 B,$31.94,USA
1467,LG Corp,003550.KS,$10.36 B,$65.79,S. Korea
1468,Jabil,JBL,$10.35 B,$77.66,USA
1469,Knorr-Bremse,KBX.DE,$10.34 B,$64.16,Germany
1470,Localiza,RENT3.SA,$10.32 B,$10.54,Brazil
1471,Freddie Mac,FMCCT,$10.30 B,$3.20,USA
1472,Galp Energia,GZ5.F,$10.29 B,$13.75,Portugal
1473,CarMax,KMX,$10.27 B,$65.00,USA
1474,Zillow,Z,$10.25 B,$43.45,USA
1475,CapitaLand Mall Trust,C38U.SI,$10.23 B,$1.54,Singapore
1476,PUMA,PUM.DE,$10.23 B,$68.33,Germany
1477,Morningstar,MORN,$10.22 B,$240.92,USA
