,name,codice,pricecap,price,country
77,Dior,CDI.PA,$151.16 B,$837.32,France
78,Tata Consultancy Services,TCS.NS,$150.14 B,$41.03,India
79,Agricultural Bank of China,601288.SS,$149.59 B,$0.43,China
80,Salesforce,CRM,$149.50 B,$149.51,USA
81,Netflix,NFLX,$148.11 B,$332.82,USA
82,Honeywell,HON,$145.63 B,$216.61,USA
83,Raytheon Technologies,RTX,$145.06 B,$98.68,USA
84,Amgen,AMGN,$144.98 B,$271.73,USA
85,HSBC,HSBC,$144.37 B,$36.15,UK
86,Ping An Insurance,601318.SS,$143.44 B,$7.77,China
87,AT&T,T,$139.33 B,$19.55,USA
88,Royal Bank Of Canada,RY,$138.66 B,$100.27,Canada
89,SAP,SAP,$136.85 B,$117.01,Germany
90,QUALCOMM,QCOM,$134.78 B,$120.24,USA
91,Caterpillar,CAT,$134.50 B,$258.46,USA
92,PetroChina,601857.SS,$133.87 B,$0.76,China
93,Bank of China,601988.SS,$133.02 B,$0.48,China
94,AIA,1299.HK,$131.92 B,$11.26,Hong Kong
95,Meituan,3690.HK,$131.24 B,$21.21,China
96,Union Pacific Corporation,UNP,$131.09 B,$213.23,USA
97,China Life Insurance,601628.SS,$130.76 B,$5.59,China
98,IBM,IBM,$130.76 B,$145.89,USA
99,Deere & Company,DE,$130.63 B,$439.63,USA
100,Unilever,UL,$130.24 B,$51.44,UK
101,Lowe's Companies,LOW,$128.29 B,$212.16,USA
102,Boeing,BA,$127.61 B,$214.13,USA
103,Goldman Sachs,GS,$126.64 B,$374.00,USA
104,Commonwealth Bank,CBA.AX,$126.29 B,$74.80,Australia
105,Rio Tinto,RIO,$125.69 B,$77.55,UK
106,HDFC Bank,HDB,$125.51 B,$67.52,India
107,Anheuser-Busch Inbev,BUD,$124.31 B,$60.92,Belgium
108,Intel,INTC,$124.26 B,$30.11,USA
109,Sanofi,SNY,$123.57 B,$49.27,France
110,Starbucks,SBUX,$123.07 B,$107.23,USA
111,Siemens,SIE.DE,$122.91 B,$155.08,Germany
112,Pinduoduo,PDD,$122.64 B,$97.00,China
113,Toronto Dominion Bank,TD,$120.80 B,$66.35,Canada
