,employees_number_2017,employees_number_2020,sector,revenue_2017_eu,name,country,link,revenue_2020_eu,compound_annual_growth_rate_cagr_pct,founding_year,absolute_growth_rate_pct
44,7,63,technology,"757,323",eo charging,uk,,doll_0.01716 b,183.64,2014,"2,182.00"
45,2,9,support services,"110,200",chetariffa.it,italy,,doll_0.0025 b,182.93,2013,"2,164.85"
46,26,90,financial services,"744,092",simply,uk,,doll_0.01648 b,181.52,2017,"2,131.19"
47,24,187,fintech,"387,995",salary finance,uk,,doll_0.00859 b,181.5,2015,"2,130.67"
48,2,10,fintech,"179,204",dbt,sweden,,doll_0.0038399999999999997 b,179.79,2017,"2,090.34"
49,15,140,education,"388,565",tutlo,poland,,doll_0.0077800000000000005 b,179.69,2016,"2,087.98"
50,4,27,ecommerce,"1,186,853",ponera,france,,doll_0.0259 b,179.45,2013,"2,082.38"
51,0,2,energy,"640,056",active energy solutions,greece,,doll_0.01331 b,175.01,2014,"1,979.82"
52,2,8,energy,"103,240",acteam enr,france,,doll_0.00213 b,174.43,2012,"1,966.73"
53,8,70,technology,"3,188,715",everflow,uk,,doll_0.06422 b,172.73,2015,"1,928.53"
54,1,1,retail,"238,216",azure prism,uk,,doll_0.00475 b,171.87,2016,"1,909.48"
55,2,7,transport,"585,280",wr logistics,germany,,doll_0.01166 b,171.11,2017,"1,892.58"
56,14,61,technology,"376,519",iproov,uk,,doll_0.00744 b,170.95,2011,"1,889.07"
57,1,5,advertising,"203,950",spin up,italy,,doll_0.00401 b,169.89,2017,"1,865.84"
58,4,16,retail,"270,090",begreat,germany,,doll_0.00514 b,167.01,2012,"1,803.65"
59,2,17,ecommerce,"369,000",tsunami nutrition*,italy,,doll_0.0069500000000000004 b,166.0,2017,"1,782.11"
60,2,6,interiors,"535,070",matt sleeps,the netherlands,,doll_0.009789999999999998 b,163.5,2016,"1,729.53"
61,28,138,technology,"858,482",tessian,uk,,doll_0.01537 b,162.21,2013,"1,702.70"
62,98,369,financial services,"2,007,000",solarisbank,germany,,doll_0.03594 b,161.62,2016,"1,690.63"
63,2,21,support services,"375,323",m2dg (myflexoffice),france,,doll_0.00663 b,160.45,2016,"1,666.64"
64,2,11,health,"362,320",eukon,italy,,doll_0.00639 b,160.35,2004,"1,664.65"
65,3,13,advertising,"805,870",evolution adv,italy,,doll_0.01418 b,160.07,2016,"1,659.07"
66,47,274,technology,"3,306,795",making science,spain,,doll_0.05767 b,159.33,2001,"1,644.00"
67,45,207,ecommerce,"6,287,460",everli,italy,,doll_0.10925 b,159.01,2014,"1,637.55"
68,12,73,technology,"128,176",appfollow,finland,,doll_0.00221 b,158.37,2014,"1,624.69"
69,40,190,technology,"255,062",synerise,poland,,doll_0.004 b,157.82,2013,"1,613.70"
70,4,8,food & beverage,"330,763",chaikola,poland,,doll_0.0051600000000000005 b,157.37,2010,"1,604.74"
71,4,12,technology,"107,492",scolution,germany,,doll_0.00183 b,157.04,2015,"1,598.31"
72,3,15,energy,"131,164",jl&p,france,,doll_0.00221 b,156.47,2017,"1,586.90"
73,8,50,pharmaceuticals,"1,199,580",efarma.com,italy,,doll_0.020149999999999998 b,156.11,2017,"1,579.82"
74,22,138,technology,"2,474,341",elvie,uk,,doll_0.04081 b,155.16,2013,"1,561.33"
75,1,5,personal & household goods,"270,750",farmarelax,italy,,doll_0.0044599999999999996 b,154.43,2010,"1,546.97"
76,20,99,technology,"742,746",omnisend,uk,,doll_0.01176 b,151.71,2008,"1,494.85"
77,1,5,fashion,"314,150",world trade group,italy,,doll_0.004900000000000001 b,149.82,2017,"1,459.11"
78,2,32,technology,"249,176",besteam conseil,france,,doll_0.00387 b,149.54,2016,"1,453.83"
79,5,96,automobiles,"320,411",motorway,uk,,doll_0.00484 b,147.76,2016,"1,420.90"
80,0,26,technology,"672,821",iso public services,germany,,doll_0.01002 b,146.03,2014,"1,389.24"
81,106,918,energy,"145,398,192",octopus energy,uk,,doll_2.12007 b,144.89,2015,"1,368.58"
82,8,82,cyber security,"387,161",cyberiam*,uk,,doll_0.00564 b,144.8,2017,"1,367.04"
83,2,17,personal & household goods,"245,000",cbweed*,italy,,doll_0.0035 b,142.64,2017,"1,328.57"
84,18,46,automobiles,"518,613",catraport,portugal,,doll_0.00729 b,141.39,2015,"1,306.55"
85,13,106,support services,"262,421",ouihelp,france,,doll_0.00369 b,141.29,2016,"1,304.85"
86,33,67,fintech,"1,702,000",inpay,denmark,,doll_0.0238 b,140.93,2013,"1,298.53"
87,4,10,industrial goods,"188,680",m.g.i. meccaniche generali irpine,italy,,doll_0.00261 b,140.07,2017,"1,283.67"
88,7,80,construction,"7,930,094",glencar construction,uk,,doll_0.10786 b,139.27,2016,"1,269.90"
89,9,23,technology,"925,527",qmee,uk,,doll_0.01257 b,139.17,2010,"1,268.04"
90,1,10,advertising,"422,420",myappfree,italy,,doll_0.0057599999999999995 b,138.97,2015,"1,264.72"
91,8,55,support services,"159,707",investa dienstleistungen,germany,,doll_0.00218 b,138.85,2014,"1,262.58"
92,19,58,batteries,"5,581,858",polarium energy solutions,sweden,,doll_0.07407 b,138.52,2014,"1,257.04"
93,4,5,ecommerce,"113,072",baroni home,italy,,doll_0.0015300000000000001 b,138.36,2016,"1,254.32"
94,6,45,technology,"247,465",dayshape,uk,,doll_0.00332 b,138.19,2013,"1,251.43"
95,3,8,advertising,"139,300",marketers company,italy,,doll_0.00188 b,138.11,2016,"1,249.94"
96,2,5,beauty,"228,076",easo magno,spain,,doll_0.0030600000000000002 b,137.67,2017,"1,242.47"
97,1,10,retail,"684,874",greyfood,germany,,doll_0.00919 b,137.6,2016,"1,241.42"
98,3,9,food & beverage,"171,057",misfits health,uk,,doll_0.00227 b,137.18,2016,"1,234.31"
99,1,5,property,"291,481",meilleursbiens.com,france,,doll_0.0038599999999999997 b,136.67,2010,"1,225.70"
100,5,36,financial services,"882,099",fasanara capital,uk,,doll_0.011529999999999999 b,136.11,2011,"1,216.25"
101,44,122,technology,"664,000",ntechlab,cyprus,,doll_0.00873 b,136.02,2015,"1,214.76"
102,2,5,personal & household goods,"217,460",babylino sensitive,italy,,doll_0.00285 b,135.82,2016,"1,211.43"
103,24,54,technology,"530,667",fastned,the netherlands,,doll_0.006889999999999999 b,135.03,2012,"1,198.37"
104,2,6,health,"427,339",oxray,portugal,,doll_0.00547 b,133.86,2009,"1,179.02"
105,3,4,property,"299,598",zega invest,germany,,doll_0.00379 b,132.91,2017,"1,163.47"
106,2,7,technology,"159,128",abylon consulting,hungary,,doll_0.00172 b,132.47,2016,"1,156.25"
107,20,77,ecommerce,"6,753,191",milrab,norway,,doll_0.0793 b,132.16,2005,"1,151.36"
108,7,55,technology,"242,368",urbantz,belgium,,doll_0.0030299999999999997 b,132.12,2015,"1,150.62"
109,6,32,construction,"1,281,462",tricas construction,uk,,doll_0.015880000000000002 b,131.97,2017,"1,148.16"
110,6,10,technology,"131,691",florence one,italy,,doll_0.00163 b,131.28,2017,"1,137.06"
111,8,35,retail,"620,283",ergotopia,germany,,doll_0.00766 b,131.19,2014,"1,135.70"
112,5,17,chemicals & pharmaceuticals,"252,713",mcule.com kft.,hungary,,doll_0.00268 b,131.03,2011,"1,133.10"
113,9,18,technology,"815,690",filo,italy,,doll_0.01005 b,130.96,2014,"1,132.04"
114,4,11,property,"130,290",homepal,italy,,doll_0.0016 b,130.9,2014,"1,131.09"
115,55,310,technology,"2,201,178",staffbase,germany,,doll_0.02689 b,130.32,2014,"1,121.82"
116,2,4,construction,"207,327",ilon materiel,france,,doll_0.0025099999999999996 b,129.69,2016,"1,111.76"
117,7,25,personal & household goods,"133,200",bio-marine,ireland,,doll_0.00161 b,129.63,2014,"1,110.84"
118,2,18,construction,"241,411",isodeco,france,,doll_0.0029100000000000003 b,129.18,2016,"1,103.81"
119,18,42,support services,"560,150",treedom,italy,,doll_0.00671 b,128.81,2010,"1,097.84"
120,3,20,retail,"712,855",fenstermaxx24,germany,,doll_0.00847 b,128.15,2016,"1,087.64"
121,7,31,construction,"180,824",pohl & sã¶hne gerã¼stbau,germany,,doll_0.00212 b,127.34,2017,"1,075.04"
122,3,13,media,"570,012",yso corp,france,,doll_0.006690000000000001 b,127.25,2013,"1,073.57"
123,2,10,beauty,"156,130",gyada cosmetics,italy,,doll_0.00183 b,127.18,2017,"1,072.49"
124,47,190,technology,"855,321",privitar,uk,,doll_0.00992 b,126.93,2014,"1,068.59"
125,1,25,technology,"288,095",delineate,uk,,doll_0.00333 b,126.7,2015,"1,065.09"
126,75,563,technology,"2,326,082",spyrosoft,poland,,doll_0.02472 b,126.48,2016,"1,061.67"
127,6,37,waste management & recycling,"1,383,205",bio energy solutions,slovakia,,doll_0.01601 b,126.19,2014,"1,057.21"
128,2,51,management consulting,"281,000",increso,italy,,doll_0.00323 b,125.68,2015,"1,049.47"
129,1,46,transport,"777,410",lsg - logistic & service group,italy,,doll_0.00887 b,125.15,2016,"1,041.38"
130,19,125,construction,"2,527,006",energihem,sweden,,doll_0.028 b,124.63,2015,"1,033.39"
131,48,164,technology,"522,712",amity,uk,,doll_0.00574 b,123.72,2012,"1,019.79"
132,4,43,retail,"337,525",goyago,germany,,doll_0.00373 b,122.74,2014,"1,005.08"
133,23,140,support services,"692,440",la regie de portage salarial,france,,doll_0.00764 b,122.61,2016,"1,003.16"
134,5,15,energy,"551,000",dall energy,denmark,,doll_0.00601 b,121.81,2007,991.29
135,5,44,technology,"330,500",appinio,germany,,doll_0.0036 b,121.61,2014,988.35
136,14,33,food & beverage,"455,000",pinsami,italy,,doll_0.004889999999999999 b,120.71,2015,975.16
137,1,1,retail,"1,643,572",aer trading,france,,doll_0.01758 b,120.35,2013,969.96
138,1,4,support services,"205,554",valumen,france,,doll_0.0022 b,120.26,2014,968.54
139,4,14,advertising,"643,299",follow,france,,doll_0.00684 b,119.95,2016,964.02
140,4,173,retail,"628,384",darpdecade,germany,,doll_0.00662 b,119.27,2016,954.24
141,399,1798,technology,"21,098,843",bolt,estonia,,doll_0.22138999999999998 b,118.93,2013,949.32
142,2,5,ecommerce,"160,539",kiteworldshop.com,italy,,doll_0.0016699999999999998 b,118.38,2014,941.48
143,10,19,retail,"2,131,000",peter kenkel,germany,,doll_0.02214 b,118.2,2006,938.81
144,32,292,technology,"1,521,010",templafy,denmark,,doll_0.01549 b,118.11,2014,937.64
145,17,99,support services,"194,780",comservice,italy,,doll_0.00202 b,117.94,2014,935.17
146,1,5,industrial goods,"291,720",falcor presse,italy,,doll_0.003 b,117.38,2017,927.28
147,8,40,technology,"167,000",roomraccoon,the netherlands,,doll_0.00172 b,117.38,2017,927.15
148,37,95,technology,"552,355",signaturit,spain,,doll_0.00564 b,116.95,2013,921.07
149,31,191,fintech,"1,269,382",modulr,uk,,doll_0.01279 b,116.5,2015,914.74
150,17,63,ecommerce,"4,340,517",profishop,germany,,doll_0.04381 b,116.11,2012,909.37
151,2,15,interiors,"249,975",floer,the netherlands,,doll_0.00252 b,116.02,2015,908.11
152,4,12,retail,"156,300",audiosalus,italy,,doll_0.00157 b,115.74,2011,904.15
153,2,26,technology,"204,620",statsbomb,uk,,doll_0.0020299999999999997 b,115.29,2016,897.81
154,2,8,pharmaceuticals,"2,693,390",theras biocare,italy,,doll_0.026629999999999997 b,114.64,2013,888.84
155,32,61,fintech,"3,058,141",stenn,uk,,doll_0.02962 b,114.5,2016,886.94
156,30,180,fashion,"2,456,563",nanushka,hungary,,doll_0.020829999999999998 b,114.33,2012,884.55
157,10,60,support services,"230,800",dpm - deutsches personal management,germany,,doll_0.00227 b,114.18,2016,882.56
158,84,243,fintech,"1,870,109",monese,uk,,doll_0.0182 b,114.0,2013,880.00
159,40,288,technology,"7,450,099",arquimea,spain,,doll_0.07204 b,113.05,2005,867.03
160,4,18,education,"280,390",groupeâ perspective,france,,doll_0.00271 b,112.98,2013,866.15
161,37,155,technology,"1,217,338",funnel,sweden,,doll_0.0115 b,112.98,2014,866.06
162,5,49,health,"529,371",living quarter,germany,,doll_0.005019999999999999 b,111.62,2015,847.68
163,38,287,energy,"7,177,912",svea solar,sweden,,doll_0.06615 b,111.23,2013,842.47
164,6,16,food & beverage,"429,505",bevcraft group,ireland,,doll_0.00405 b,111.21,2016,842.21
165,767,932,technology,"2,096,570",learning technologies group,uk,,doll_0.01945 b,110.61,2013,834.19
166,2,9,health,"479,290",cura farma,italy,,doll_0.00444 b,109.96,2014,825.58
167,2,7,personal & household goods,"735,758",kamado bono,lithuania,,doll_0.0068 b,109.88,2013,824.45
168,3,47,management consulting,"374,200",sipadan,spain,,doll_0.00346 b,109.83,2007,823.89
169,18,45,fintech,"530,785",dateio,czech republic,,doll_0.00471 b,108.95,2013,812.34
170,4,16,property,"533,144",crest investment,germany,,doll_0.004860000000000001 b,108.86,2016,811.16
171,2,19,retail,"308,810",componenti digitali,italy,,doll_0.00281 b,108.67,2017,808.60
172,3,6,property,"252,871",immo-konzepte,germany,,doll_0.00227 b,107.81,2006,797.40
173,3,41,technology,"1,052,796",swipbox,denmark,,doll_0.00939 b,107.4,2014,792.08
174,9,85,media,"3,046,667",nextory,sweden,,doll_0.02653 b,107.29,2015,790.71
175,32,176,technology,"1,057,443",itds polska,poland,,doll_0.00861 b,107.23,2016,789.96
176,4,5,ecommerce,"237,410",savait,italy,,doll_0.00211 b,107.07,2015,787.93
177,3,18,advertising,"1,255,372",adpone,spain,,doll_0.01112 b,106.94,2015,786.15
178,350,1000,cyber security,"18,035,029",nord security,lithuania,,doll_0.15662 b,106.85,2012,785.05
179,25,226,technology,"2,531,000",mews,the netherlands,,doll_0.02239 b,106.81,2012,784.47
180,9,35,education,"551,128",titulae,spain,,doll_0.00487 b,106.75,2015,783.80
181,5,40,ecommerce,"273,552",systeme.io,ireland,,doll_0.0024100000000000002 b,106.48,2016,780.26
182,20,30,aerospace & defence,"299,988",eodh sa,greece,,doll_0.0026 b,105.35,2003,765.91
183,2,5,health,"1,340,430",multix solutions,italy,,doll_0.01159 b,105.23,2015,764.38
184,2,12,technology,"228,982",b2digit,france,,doll_0.00198 b,105.19,2016,763.88
185,5,47,advertising,"570,564",a million ads,uk,,doll_0.00488 b,105.03,2015,761.93
186,5,25,retail,"651,170",woodwatch,the netherlands,,doll_0.0055899999999999995 b,104.76,2013,758.51
187,3,12,construction,"262,280",fenãªtres du doubs,france,,doll_0.0022400000000000002 b,104.36,2010,753.42
188,3,65,construction,"400,000",koesea,germany,,doll_0.0034 b,104.08,2016,750.00
189,14,38,automobiles,"2,133,310",podium advanced technologies,italy,,doll_0.01803 b,103.68,2011,744.97
190,109,166,construction,"2,025,879",spegra,croatia,,doll_0.01706 b,103.61,2010,744.07
191,18,117,industrial goods,"1,815,680",gpainnova,spain,,doll_0.01525 b,103.25,2013,739.66
192,4,23,management consulting,"2,264,940",soluzione tasse,italy,,doll_0.018940000000000002 b,102.97,2016,736.20
193,2,15,retail,"295,731",velocultour,germany,,doll_0.00246 b,102.58,2016,731.33
194,2,7,ecommerce,"305,268",butorpiac.hu,hungary,,doll_0.00218 b,102.55,2011,731.00
195,8,44,technology,"327,218",success solutions,czech republic,,doll_0.00263 b,102.26,2016,727.39
196,1,1,health,"191,679",bug bite thing europe,denmark,,doll_0.00158 b,101.84,1989,722.29
197,4,24,technology,"1,349,733",dexatel,estonia,,doll_0.01109 b,101.78,2015,721.49
198,1,6,construction,"481,510",gemco,italy,,doll_0.00394 b,101.54,2015,718.65
199,none,none,construction,"812,371",lyonnaise de construction et renovation,france,,doll_0.00664 b,101.44,2015,717.46
200,204,702,food & beverage,"26,112,757",gousto,uk,,doll_0.21095 b,101.13,2012,713.62
201,4,6,beauty,"1,575,522",winter in venice,uk,,doll_0.01268 b,100.89,2010,710.72
202,18,72,construction,"7,415,334",infratech bau,germany,,doll_0.06007 b,100.83,2007,710.04
203,3,46,construction,"833,230",4streets building innovation tunnels bridges roads,italy,,doll_0.00674 b,100.74,2016,708.86
204,31,95,fintech,"1,119,178",landbay,uk,,doll_0.00898 b,100.68,2013,708.18
205,3,18,technology,"249,818",degoo,sweden,,doll_0.00197 b,100.67,2012,708.03
206,52,320,food & beverage,"6,280,267",franco fresco,germany,,doll_0.05072 b,100.64,2016,707.67
207,25,84,fintech,"5,026,349",lendable,uk,,doll_0.040310000000000006 b,100.63,2014,707.63
208,2,6,education,"440,369",ulrich mã¼ller wealth academy,germany,,doll_0.00352 b,99.88,2014,698.59
209,19,84,health,"1,315,000",cerascreen,germany,,doll_0.0105 b,99.87,2012,698.46
210,24,43,energy,"8,811,708",eqinov,france,,doll_0.07018 b,99.71,2011,696.48
211,7,12,food & beverage,"1,134,730",serre famiglia pederiva viticoltori dal 1958,italy,,doll_0.00902 b,99.59,1996,695.08
212,68,170,ecommerce,"19,757,296",bloom & wild,uk,,doll_0.1556 b,99.43,2013,693.19
213,9,29,automobiles,"796,207",brã¤utigam,germany,,doll_0.00632 b,99.43,2016,693.15
214,1,7,construction,"2,448,858",newil & bau,finland,,doll_0.019420000000000003 b,99.42,2006,693.05
215,271,411,fintech,"13,157,000",id finance,spain,,doll_0.10363 b,98.97,2015,687.67
216,74,600,health,"10,152,222",kry,sweden,,doll_0.07776000000000001 b,98.61,2014,683.39
217,4,25,technology,"500,440",sixth sense,italy,,doll_0.00392 b,98.54,2015,682.63
218,7,19,cyber security,"506,730",nethive,italy,,doll_0.00396 b,98.46,2014,681.63
219,3,8,financial services,"225,964",latitude investment management,uk,,doll_0.00175 b,98.34,2016,680.23
220,10,68,fintech,"3,989,355",qred,sweden,,doll_0.03041 b,98.29,2015,679.70
221,15,55,technology,"504,357",oculavis,germany,,doll_0.00392 b,98.16,2016,678.11
222,5,30,technology,"548,180",the information lab,italy,,doll_0.00425 b,97.97,2015,675.86
223,6,10,construction,"524,750",md sonnenschutztechnik,germany,,doll_0.004070000000000001 b,97.92,2015,675.34
224,7,43,technology,"274,966",syntio,croatia,,doll_0.00213 b,97.79,2017,673.74
225,3,13,financial services,"214,713",bomae,denmark,,doll_0.00166 b,97.76,2016,673.44
226,6,18,technology,"755,191",gophr,uk,,doll_0.00574 b,97.07,2014,665.31
227,20,110,retail,"7,522,000",memory pc,germany,,doll_0.05738 b,96.85,2012,662.76
228,2,6,retail,"1,556,607",sollis solargroãhandel,germany,,doll_0.011859999999999999 b,96.77,2017,661.92
229,37,123,automobiles,"2,058,315",spotawheel,greece,,doll_0.01565 b,96.62,2015,660.16
230,18,83,personal & household goods,"8,508,398",ooni pizza ovens,uk,,doll_0.06388 b,96.28,2012,656.17
231,10,35,retail,"2,570,000",robovox distributions,germany,,doll_0.01943 b,96.26,2015,655.91
232,92,650,technology,"26,626,422",centralnic group,uk,,doll_0.19726 b,96.18,2000,655.01
233,16,83,transport,"546,226",bernd andert transporte,germany,,doll_0.00411 b,95.88,2003,651.57
234,16,18,technology,"2,708,983",bluewater bio,uk,,doll_0.0202 b,95.84,2007,651.07
235,25,107,technology,"975,140",tecma solutions,italy,,doll_0.00732 b,95.8,2012,650.65
236,21,48,sales & marketing,"316,525",delante,poland,,doll_0.00216 b,95.39,2015,645.92
237,8,15,health,"884,885",intumind,germany,,doll_0.00656 b,95.0,2015,641.45
238,10,15,health,"559,778",saljol,germany,,doll_0.00415 b,94.93,2016,640.72
239,9,20,telecoms,"2,146,950",tkd solutions,germany,,doll_0.01587 b,94.82,2014,639.39
240,5,15,technology,"340,000",kuori,finland,,doll_0.0025 b,94.5,2016,635.85
241,21,42,energy,"1,062,649",ferroamp,sweden,,doll_0.0076500000000000005 b,94.5,2010,635.77
242,6,23,financial services,"621,636",valor real estate partners,uk,,doll_0.00453 b,94.4,2016,634.70
243,2,14,technology,"350,019",anexiti,france,,doll_0.00257 b,94.26,2013,633.03
244,6,23,support services,"330,522",genius,france,,doll_0.00242 b,94.12,2017,631.54
245,3,31,advertising,"410,520",instilla,italy,,doll_0.00299 b,93.91,2015,629.15
246,12,60,ecommerce,"2,051,133",footdistrict,spain,,doll_0.01494 b,93.85,2012,628.49
247,12,36,technology,"674,805",spiideo,sweden,,doll_0.0048 b,93.76,2012,627.38
248,14,118,technology,"670,685",contractpodai,uk,,doll_0.00488 b,93.72,2012,626.96
249,5,15,construction,"255,000",tarhan bauausfã¼hrungen,germany,,doll_0.00185 b,93.62,2017,625.88
250,44,218,technology,"3,417,815",matillion,uk,,doll_0.024579999999999998 b,93.49,2010,624.36
251,2,5,retail,"364,485",extra mile live service,germany,,doll_0.00264 b,93.42,2017,623.62
252,17,173,support services,"15,653,388",littlebig connection,france,,doll_0.11154 b,92.43,2013,612.55
253,15,50,construction,"954,700",spc general service,italy,,doll_0.00679 b,92.3,2011,611.08
254,156,801,technology,"49,833,511",jobandtalent,spain,,doll_0.35287999999999997 b,92.03,2008,608.12
255,14,20,fintech,"2,669,247",financial house,uk,,doll_0.01877 b,92.03,2016,608.11
256,8,42,sales & marketing,"309,471",mylead,poland,,doll_0.002 b,92.02,2013,607.97
257,15,74,technology,"923,730",mia-platform,italy,,doll_0.00652 b,91.78,2016,605.35
258,20,32,health,"1,354,980",tecnimed,italy,,doll_0.009550000000000001 b,91.74,1976,604.94
259,5,22,retail,"335,460",longevity partners,uk,,doll_0.00234 b,91.42,2015,601.43
260,56,345,management consulting,"3,659,630",nexumstp,italy,,doll_0.025670000000000002 b,91.42,2015,601.37
261,3,16,support services,"259,342",g-on,france,,doll_0.00181 b,91.12,2016,598.10
262,3,10,advertising,"219,999",picnic,uk,,doll_0.00151 b,90.45,2016,590.77
263,2,36,technology,"276,750",egomnia,italy,,doll_0.0019 b,90.1,2012,586.95
264,10,40,technology,"657,382",loyaltylion,uk,,doll_0.0044800000000000005 b,90.09,2012,586.89
265,22,142,technology,"18,106,514",remarkable,norway,,doll_0.11579 b,89.59,2016,581.48
266,119,673,management consulting,"4,829,922",kubrick,uk,,doll_0.03261 b,89.46,2016,580.10
267,7,35,technology,"688,860",contrader,italy,,doll_0.00468 b,89.44,2012,579.81
268,39,89,industrial goods,"2,880,891",samont,germany,,doll_0.019579999999999997 b,89.41,2008,579.56
269,1,5,construction,"667,170",sirive,italy,,doll_0.00453 b,89.33,2017,578.64
270,10,15,energy,"21,640,253",multienergia verde,spain,,doll_0.14645 b,89.15,2014,576.76
271,1,6,technology,"226,295",wielandts upmt,belgium,,doll_0.0015300000000000001 b,89.06,2013,575.79
272,4,13,fashion,"991,534",asket,sweden,,doll_0.00653 b,88.81,2015,573.05
273,10,45,transport,"274,790",central warehouse solution,czech republic,,doll_0.0017900000000000001 b,88.44,2015,569.09
274,2,21,advertising,"310,810",chef in camicia,italy,,doll_0.00207 b,88.2,2015,566.63
275,9,28,construction,"4,601,266",piper homes,uk,,doll_0.030440000000000002 b,88.17,2015,566.22
276,12,33,construction,"1,411,811",alturas cubiertas y fachadas,spain,,doll_0.009380000000000001 b,87.96,2014,564.06
277,2,11,automobiles,"1,587,500",autosalon uhingen,germany,,doll_0.010539999999999999 b,87.95,2015,563.94
278,1,5,chemicals & pharmaceuticals,"404,819",yumi beauty,france,,doll_0.00268 b,87.73,2013,561.59
279,2,7,ecommerce,"251,795",for me lab,france,,doll_0.00165 b,87.21,2016,556.12
