,employees_number_2017,employees_number_2020,sector,revenue_2017_eu,name,country,link,revenue_2020_eu,compound_annual_growth_rate_cagr_pct,founding_year,absolute_growth_rate_pct
0,1,218,technology,"507,000",swappie,finland,,doll_0.09761 b,477.43,2016,"19,152.82"
1,10,177,health,"344,428",kilo health,lithuania,,doll_0.05732 b,450.05,2013,"16,541.73"
2,4,32,financial services,"4,325,512",oci,uk,,doll_0.56832 b,409.59,2012,"13,133.13"
3,4,800,technology,"2,652,185",onlyfans,uk,,doll_0.31673 b,393.63,2016,"11,928.05"
4,9,365,energy,"486,165",enpal,germany,,doll_0.05611 b,386.88,2017,"11,441.27"
5,2,9,waste management & recycling,"150,908",mr consulting,germany,,doll_0.01317 b,343.52,2017,"8,624.23"
6,12,57,health,"251,668",thriva,uk,,doll_0.01873 b,321.66,2015,"7,396.77"
7,15,200,industrial goods,"706,700",exotec,france,,doll_0.0476 b,306.86,2015,"6,635.11"
8,1,10,ecommerce,"111,500",winelivery,italy,,doll_0.00734 b,303.73,2015,"6,480.53"
9,5,117,technology,"392,055",instabox,sweden,,doll_0.024480000000000002 b,299.73,2015,"6,287.13"
10,12,180,food & beverage,"680,197",waterdrop,austria,,doll_0.041210000000000004 b,292.74,2016,"5,957.94"
11,2,11,support services,"153,046",one lease,france,,doll_0.00902 b,289.09,2016,"5,790.52"
12,13,251,technology,"155,406",datlas*,italy,,doll_0.00903 b,287.39,2017,"5,713.76"
13,36,224,fintech,"229,201",zego,uk,,doll_0.01216 b,276.63,2016,"5,242.60"
14,5,24,transport,"238,118",hcl-logistics,germany,,doll_0.01139 b,262.97,2017,"4,682.15"
15,4,34,technology,"454,975",popsa,uk,,doll_0.02146 b,262.15,2016,"4,649.68"
16,2,41,technology,"149,397",unit8,switzerland,,doll_0.00723 b,255.1,2017,"4,377.53"
17,6,49,technology,"325,585",luoto company,finland,,doll_0.01434 b,253.14,2016,"4,303.97"
18,9,29,ecommerce,"160,624",journi print,austria,,doll_0.006849999999999999 b,249.41,2014,"4,165.75"
19,23,228,support services,"274,575",portify,france,,doll_0.01158 b,248.11,2017,"4,118.60"
20,8,45,energy,"782,918",tibber,norway,,doll_0.03089 b,247.71,2015,"4,104.02"
21,6,18,fashion,"238,451",rascal industry,poland,,doll_0.00901 b,245.65,2013,"4,029.49"
22,20,509,support services,"207,120",pegaso security,italy,,doll_0.00838 b,243.23,2017,"3,943.64"
23,72,581,fintech,"416,562",tide,uk,,doll_0.01614 b,239.17,2016,"3,801.56"
24,1,1,retail,"363,010",euro top brand,italy,,doll_0.013890000000000001 b,236.96,2017,"3,726.04"
25,6,26,support services,"181,772",bold security group,uk,,doll_0.00624 b,225.75,2011,"3,356.60"
26,10,140,games industry,"214,673",play magnus group,norway,,doll_0.00646 b,213.04,2013,"2,967.63"
27,1,7,financial services,"170,950",blue whale growth fund,uk,,doll_0.00519 b,212.69,2016,"2,957.41"
28,3,65,ecommerce,"263,663",kazidomi,belgium,,doll_0.008039999999999999 b,212.45,2016,"2,950.29"
29,90,800,fintech,"4,044,537",sun finance,latvia,,doll_0.12131 b,210.7,2012,"2,899.26"
30,21,56,financial services,"381,830",credimi,italy,,doll_0.011300000000000001 b,209.33,2015,"2,859.83"
31,8,133,retail,"155,043",sirplus,germany,,doll_0.00454 b,208.23,2017,"2,828.22"
32,6,31,education,"125,682",aihr | academy to innovate hr,the netherlands,,doll_0.0035800000000000003 b,205.53,2016,"2,752.08"
33,9,27,property,"7,403,458",logistics capital partners (lcp),luxembourg,,doll_0.21056 b,205.25,2015,"2,744.13"
34,2,10,property,"210,820",sã¼dwest invest,germany,,doll_0.0058200000000000005 b,202.24,2017,"2,660.84"
35,7,7,property,"2,039,961",corade (plurimmo),france,,doll_0.05602 b,201.7,2000,"2,646.07"
36,4,5,food & beverage,"155,310",carranco,spain,,doll_0.00418 b,199.6,2006,"2,589.10"
37,10,50,health,"182,100",telemedi,poland,,doll_0.00445 b,198.98,2014,"2,572.52"
38,22,56,technology,"229,713",inkitt,germany,,doll_0.0059299999999999995 b,195.49,2014,"2,480.16"
39,1,2,retail,"225,380",h.k.trading,italy,,doll_0.005719999999999999 b,193.9,2016,"2,438.64"
40,16,124,technology,"194,090",attest,uk,,doll_0.004860000000000001 b,193.34,2015,"2,424.14"
41,none,11,property,"101,311",lgm immobilier,france,,doll_0.0025499999999999997 b,193.05,2016,"2,416.78"
42,7,29,management consulting,"100,711",wolfram chain*,the netherlands,,doll_0.0024300000000000003 b,189.02,2017,"2,314.21"
43,3,38,technology,"379,771",rightnow,germany,,doll_0.00895 b,186.72,2017,"2,256.98"
