00-avengers-total_liabilities_in_usd,00-avengers-total_equity_in_usd,00-avengers-total_assets_in_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
doll_1.318.100 m,doll_134.910 m,doll_1.453.000 m,doll_48.553 m,"168,860 million usd"
doll_64.140 m,doll_67.655 m,doll_131.800 m,doll_52.877 m,"56,414 million usd"
doll_31.290 m,doll_9.950 m,doll_41.240 m,doll_33.560 m,"120,930 million usd"
doll_611.010 m,doll_56.261 m,doll_667.270 m,doll_18.996 m,"180,640 million usd"
doll_66.095 m,doll_39.268 m,doll_105.360 m,doll_37.417 m,"37,417 million usd"
,,,doll_180.640 m,"18,996 million usd"
doll_32.122 m,doll_33.759 m,doll_65.881 m,doll_45.066 m,"9,898 million usd"
doll_49.364 m,doll_14.161 m,doll_63.525 m,doll_21.804 m,"30,793 million usd"
doll_11.343 m,doll_13.333 m,doll_24.676 m,doll_18.344 m,"17,069 million usd"
doll_45.298 m,doll_1.437 m,doll_46.735 m,doll_96.250 m,"96,250 million usd"
doll_103.710 m,doll_37.202 m,doll_140.910 m,doll_17.069 m,"18,344 million usd"
doll_3.570 m,doll_44.035 m,doll_81.605 m,doll_30.793 m,"21,804 million usd"
doll_4.901 m,doll_10.359 m,doll_15.259 m,doll_9.898 m,"45,066 million usd"
doll_45.901 m,doll_18.569 m,doll_64.470 m,doll_34.392 m,"30,682 million usd"
doll_1.465.700 m,doll_127.630 m,doll_1.593.300 m,doll_202.290 m,"104,700 million usd"
doll_51.396 m,doll_-10.106 m,doll_41.290 m,doll_31.405 m,"12,726 million usd"
doll_169.900 m,doll_52.518 m,doll_222.420 m,doll_72.397 m,"28,141 million usd"
doll_4.922 m,doll_7.497 m,doll_12.419 m,doll_16.434 m,"35,376 million usd"
doll_1.284.200 m,doll_78.815 m,doll_1.363.000 m,doll_35.376 m,"16,434 million usd"
doll_18.073 m,doll_19.734 m,doll_37.807 m,doll_28.141 m,"72,397 million usd"
doll_11.293 m,doll_16.441 m,doll_27.734 m,doll_12.726 m,"31,405 million usd"
doll_3.877.800 m,doll_352.360 m,doll_4.230.200 m,doll_104.700 m,"202,290 million usd"
doll_35.612 m,doll_42.816 m,doll_78.428 m,doll_30.682 m,"34,392 million usd"
doll_157.920 m,doll_75.075 m,doll_233.000 m,doll_292.110 m,"32,501 million usd"
doll_181.720 m,doll_111.740 m,doll_293.460 m,doll_184.630 m,"380,440 million usd"
doll_104.870 m,doll_48.664 m,doll_153.540 m,doll_68.616 m,"70,765 million usd"
doll_73.368 m,doll_35.946 m,doll_109.310 m,doll_46.385 m,"4,611 million usd"
doll_38.248 m,doll_52.706 m,doll_90.954 m,doll_31.677 m,"5,511 million usd"
doll_1.098 m,doll_15.861 m,doll_16.958 m,doll_5.511 m,"31,677 million usd"
doll_2.206 m,doll_11.133 m,doll_13.340 m,doll_4.611 m,"46,385 million usd"
doll_117.900 m,doll_16.940 m,doll_134.840 m,doll_70.765 m,"68,616 million usd"
doll_159.110 m,doll_205.020 m,doll_364.130 m,doll_380.440 m,"184,630 million usd"
doll_1.252.500 m,doll_76.756 m,doll_1.329.300 m,doll_32.501 m,"292,110 million usd"
doll_63.903 m,doll_18.852 m,doll_82.755 m,doll_57.793 m,"57,793 million usd"
doll_2.759.700 m,doll_198.250 m,doll_2.957.900 m,doll_63.644 m,"80,118 million usd"
doll_13.578 m,doll_12.247 m,doll_25.825 m,doll_23.063 m,"76,991 million usd"
doll_382.340 m,doll_146.110 m,doll_528.450 m,doll_250.120 m,"19,374 million usd"
doll_166.370 m,doll_22.177 m,doll_188.550 m,doll_42.838 m,"123,070 million usd"
