00-avengers-total_liabilities_in_usd,00-avengers-total_equity_in_usd,00-avengers-total_assets_in_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
doll_2.777 m,doll_7.656 m,doll_10.433 m,doll_10.518 m,"3,309 million usd"
doll_552.350 m,doll_17.943 m,doll_570.300 m,doll_5.481 m,"9,010 million usd"
doll_62.605 m,doll_12.745 m,doll_75.350 m,doll_16.101 m,"4,567 million usd"
doll_4.526 m,doll_3.270 m,doll_7.796 m,doll_2.813 m,862 million usd
doll_14.518 m,doll_2.136 m,doll_16.654 m,doll_29.285 m,"29,285 million usd"
doll_80.893 m,doll_8.199 m,doll_89.092 m,doll_2.991 m,"1,222 million usd"
640 million usd,doll_1.047 m,doll_1.688 m,863 million usd,"1,536 million usd"
doll_4.646 m,doll_2.045 m,doll_6.691 m,doll_5.864 m,"2,059 million usd"
doll_5.724 m,doll_4.703 m,doll_10.427 m,doll_10.616 m,"3,820 million usd"
521 million usd,doll_1.580 m,doll_2.101 m,doll_2.360 m,"2,360 million usd"
doll_5.519 m,doll_3.094 m,doll_8.613 m,doll_3.820 m,"10,616 million usd"
doll_1.535 m,275 million usd,doll_1.810 m,doll_2.059 m,"5,864 million usd"
doll_43.039 m,doll_8.293 m,doll_51.332 m,doll_1.536 m,863 million usd
627 million usd,671 million usd,doll_1.298 m,doll_1.222 m,"2,991 million usd"
doll_19.582 m,doll_3.600 m,doll_23.182 m,doll_26.989 m,"26,989 million usd"
doll_10.029 m,doll_3.212 m,doll_13.242 m,doll_14.035 m,"13,850 million usd"
doll_31.083 m,doll_6.137 m,doll_37.220 m,doll_21.155 m,"1,463 million usd"
doll_12.120 m,doll_1.488 m,doll_13.609 m,doll_2.289 m,"8,937 million usd"
doll_13.520 m,doll_3.483 m,doll_17.004 m,doll_2.193 m,"3,310 million usd"
doll_37.388 m,doll_10.278 m,doll_47.666 m,doll_15.878 m,"15,878 million usd"
doll_1.197 m,doll_2.973 m,doll_4.171 m,doll_3.310 m,"2,193 million usd"
doll_49.850 m,doll_10.553 m,doll_60.404 m,doll_8.937 m,"2,289 million usd"
,,,doll_1.463 m,"21,155 million usd"
doll_14.702 m,doll_3.180 m,doll_17.882 m,doll_13.850 m,"14,035 million usd"
doll_1.591 m,doll_1.266 m,doll_2.858 m,doll_1.739 m,"1,739 million usd"
doll_2.168 m,doll_1.481 m,doll_3.649 m,doll_3.784 m,"2,708 million usd"
doll_6.565 m,doll_7.983 m,doll_14.549 m,doll_15.527 m,"6,072 million usd"
doll_247.080 m,doll_30.775 m,doll_277.850 m,doll_24.024 m,"11,093 million usd"
653 million usd,800 million usd,doll_1.454 m,709 million usd,359 million usd
838 million usd,doll_1.527 m,doll_2.366 m,359 million usd,709 million usd
doll_8.981 m,doll_5.074 m,doll_14.055 m,doll_8.658 m,"8,658 million usd"
doll_2.677 m,doll_5.883 m,doll_8.560 m,doll_11.093 m,"24,024 million usd"
doll_2.931 m,doll_2.312 m,doll_5.242 m,doll_6.072 m,"15,527 million usd"
749 million usd,doll_2.643 m,doll_3.392 m,doll_2.708 m,"3,784 million usd"
539 million usd,doll_1.166 m,doll_1.706 m,doll_1.141 m,"1,141 million usd"
doll_13.168 m,doll_4.273 m,doll_17.441 m,doll_8.016 m,53 million usd
doll_2.017 m,doll_1.319 m,doll_3.337 m,doll_2.201 m,"10,069 million usd"
doll_3.281 m,doll_2.196 m,doll_5.477 m,doll_2.353 m,"10,589 million usd"
doll_3.078 m,doll_1.897 m,doll_4.975 m,doll_4.022 m,"5,238 million usd"
doll_10.872 m,doll_3.258 m,doll_14.130 m,doll_5.238 m,"4,022 million usd"
doll_10.088 m,doll_4.091 m,doll_14.179 m,doll_10.589 m,"2,353 million usd"
doll_4.047 m,doll_7.715 m,doll_11.762 m,doll_10.069 m,"2,201 million usd"
364 million usd,565 million usd,929 million usd,53 million usd,"8,016 million usd"
,,,doll_4.152 m,"3,763 million usd"
doll_14.221 m,-352 million usd,doll_13.869 m,doll_3.763 m,"1,820 million usd"
doll_2.450 m,doll_1.905 m,doll_4.354 m,doll_3.329 m,"16,262 million usd"
doll_2.549 m,doll_3.052 m,doll_5.601 m,doll_6.983 m,"3,012 million usd"
doll_1.743 m,doll_2.222 m,doll_3.964 m,doll_1.258 m,"4,948 million usd"
doll_12.028 m,doll_5.841 m,doll_17.869 m,doll_7.985 m,450 million usd
112 million usd,651 million usd,764 million usd,450 million usd,"7,985 million usd"
doll_19.251 m,doll_1.596 m,doll_20.847 m,doll_4.948 m,"1,258 million usd"
doll_3.047 m,doll_2.816 m,doll_5.863 m,doll_3.012 m,"6,983 million usd"
doll_11.268 m,doll_10.943 m,doll_22.211 m,doll_16.262 m,"3,329 million usd"
doll_11.975 m,doll_8.868 m,doll_20.843 m,doll_1.820 m,"5,649 million usd"
doll_3.598 m,doll_4.305 m,doll_7.903 m,doll_5.649 m,"1,497 million usd"
doll_22.762 m,doll_6.689 m,doll_29.452 m,doll_8.594 m,"5,533 million usd"
doll_3.945 m,doll_2.480 m,doll_6.425 m,doll_4.668 m,"5,998 million usd"
304 million usd,doll_2.259 m,doll_2.564 m,199 million usd,"8,434 million usd"
,,,doll_6.759 m,531 million usd
725 million usd,doll_1.334 m,doll_2.059 m,531 million usd,"6,759 million usd"
doll_29.308 m,-106 million usd,doll_29.202 m,doll_8.434 m,199 million usd
doll_4.122 m,doll_6.533 m,doll_10.655 m,doll_5.998 m,"4,668 million usd"
doll_5.980 m,248 million usd,doll_6.229 m,doll_5.533 m,"8,594 million usd"
,,,doll_1.497 m,"1,222 million usd"
doll_1.862 m,doll_1.367 m,doll_3.230 m,doll_1.237 m,"2,529 million usd"
doll_1.759 m,474 million usd,doll_2.234 m,967 million usd,"7,445 million usd"
doll_10.226 m,doll_8.920 m,doll_19.146 m,doll_10.537 m,772 million usd
doll_2.645 m,doll_20.166 m,doll_22.811 m,doll_1.982 m,"14,548 million usd"
doll_41.152 m,doll_38.769 m,doll_79.921 m,doll_8.696 m,"8,696 million usd"
doll_16.823 m,doll_9.827 m,doll_26.650 m,doll_14.548 m,"1,982 million usd"
doll_24.723 m,153 million usd,doll_26.236 m,772 million usd,"10,537 million usd"
doll_17.622 m,doll_5.863 m,doll_23.485 m,doll_7.445 m,967 million usd
doll_19.357 m,doll_3.171 m,doll_22.528 m,doll_2.529 m,"1,237 million usd"
doll_26.365 m,doll_3.195 m,doll_29.560 m,doll_1.222 m,"3,883 million usd"
doll_3.532 m,doll_2.220 m,doll_5.753 m,doll_7.220 m,"24,786 million usd"
doll_6.562 m,doll_10.535 m,doll_17.097 m,doll_16.090 m,389 million usd
doll_2.928 m,-351 million usd,doll_2.576 m,doll_1.146 m,"18,526 million usd"
,,,,801 million usd
doll_5.520 m,doll_5.002 m,doll_10.522 m,doll_11.561 m,"11,561 million usd"
doll_1.013 m,807 million usd,doll_1.820 m,801 million usd,
doll_41.973 m,doll_4.904 m,doll_46.877 m,doll_18.526 m,"1,146 million usd"
doll_4.860 m,doll_8.926 m,doll_13.786 m,389 million usd,"16,090 million usd"
doll_14.612 m,doll_11.000 m,doll_25.612 m,doll_24.786 m,"7,220 million usd"
doll_2.792 m,doll_4.411 m,doll_7.202 m,doll_3.883 m,"7,940 million usd"
doll_4.920 m,doll_2.351 m,doll_7.271 m,doll_7.940 m,"1,567 million usd"
290 million usd,953 million usd,doll_1.244 m,747 million usd,"2,421 million usd"
doll_9.602 m,doll_4.824 m,doll_14.426 m,doll_6.984 m,764 million usd
doll_13.156 m,doll_5.579 m,doll_18.735 m,doll_7.913 m,"2,285 million usd"
doll_4.824 m,doll_3.412 m,doll_8.237 m,doll_5.212 m,"2,027 million usd"
doll_1.235 m,doll_4.679 m,doll_5.914 m,doll_2.027 m,"5,212 million usd"
doll_10.926 m,doll_5.859 m,doll_16.785 m,doll_2.285 m,"7,913 million usd"
doll_5.023 m,doll_5.322 m,doll_10.345 m,764 million usd,"6,984 million usd"
doll_26.268 m,doll_8.527 m,doll_34.795 m,doll_2.421 m,747 million usd
814 million usd,915 million usd,doll_1.728 m,doll_1.567 m,"9,262 million usd"
doll_9.864 m,doll_9.740 m,doll_19.605 m,doll_9.262 m,"5,182 million usd"
501 million usd,doll_1.189 m,doll_1.690 m,514 million usd,"2,877 million usd"
doll_108.560 m,doll_10.039 m,doll_118.600 m,doll_6.113 m,823 million usd
doll_6.940 m,doll_2.101 m,doll_9.041 m,doll_12.293 m,698 million usd
doll_11.082 m,doll_5.101 m,doll_16.183 m,doll_7.506 m,"14,440 million usd"
doll_51.311 m,doll_16.037 m,doll_67.349 m,doll_14.440 m,"7,506 million usd"
doll_1.672 m,doll_1.026 m,doll_2.698 m,698 million usd,"12,293 million usd"
536 million usd,doll_1.082 m,doll_1.618 m,823 million usd,"6,113 million usd"
doll_8.177 m,doll_3.095 m,doll_11.273 m,doll_2.877 m,514 million usd
doll_4.185 m,doll_2.287 m,doll_6.473 m,doll_5.182 m,"69,316 million usd"
doll_1.653 m,doll_2.886 m,doll_4.540 m,doll_2.949 m,"18,347 million usd"
doll_11.201 m,doll_5.522 m,doll_16.723 m,doll_7.447 m,"3,469 million usd"
doll_2.919 m,doll_3.592 m,doll_6.511 m,doll_4.288 m,515 million usd
doll_50.894 m,doll_4.973 m,doll_55.867 m,doll_4.071 m,"1,169 million usd"
doll_4.441 m,doll_2.660 m,doll_7.101 m,doll_1.159 m,"1,159 million usd"
doll_2.118 m,doll_3.841 m,doll_5.960 m,doll_1.169 m,"4,071 million usd"
314 million usd,411 million usd,726 million usd,515 million usd,"4,288 million usd"
doll_3.232 m,doll_2.773 m,doll_6.004 m,doll_3.469 m,"7,447 million usd"
doll_10.666 m,doll_10.175 m,doll_20.841 m,doll_18.347 m,"2,949 million usd"
doll_14.320 m,doll_10.955 m,doll_25.276 m,doll_69.316 m,"5,763 million usd"
doll_4.234 m,doll_1.665 m,doll_5.900 m,doll_5.763 m,"3,475 million usd"
doll_9.527 m,doll_5.688 m,doll_15.214 m,doll_22.353 m,"2,755 million usd"
507 million usd,doll_2.597 m,doll_3.105 m,doll_1.281 m,"1,316 million usd"
651 million usd,doll_7.601 m,doll_8.252 m,177 million usd,782 million usd
916 million usd,736 million usd,doll_1.651 m,doll_1.819 m,"1,819 million usd"
doll_11.653 m,doll_2.722 m,doll_14.376 m,doll_12.095 m,"12,095 million usd"
doll_10.519 m,doll_18.066 m,doll_28.585 m,doll_1.316 m,177 million usd
doll_4.628 m,doll_5.144 m,doll_9.773 m,782 million usd,"1,281 million usd"
doll_41.809 m,doll_5.694 m,doll_47.504 m,doll_2.755 m,"22,353 million usd"
doll_1.058 m,doll_1.057 m,doll_2.116 m,doll_3.475 m,"5,654 million usd"
doll_4.922 m,doll_2.558 m,doll_7.480 m,doll_5.654 m,"3,092 million usd"
doll_51.546 m,doll_6.000 m,doll_57.546 m,0 million usd,"1,338 million usd"
244 million usd,236 million usd,480 million usd,235 million usd,"3,150 million usd"
doll_4.904 m,doll_2.633 m,doll_7.537 m,doll_8.230 m,647 million usd
doll_23.081 m,doll_9.186 m,doll_32.268 m,doll_11.914 m,"34,477 million usd"
doll_14.253 m,doll_5.282 m,doll_19.535 m,doll_34.477 m,"11,914 million usd"
doll_16.297 m,doll_2.432 m,doll_18.729 m,647 million usd,"8,230 million usd"
793 million usd,doll_1.538 m,doll_2.332 m,doll_3.150 m,235 million usd
516 million usd,doll_1.872 m,doll_2.388 m,doll_1.338 m,0 million usd
doll_5.505 m,doll_4.567 m,doll_10.061 m,doll_3.092 m,"11,778 million usd"
doll_4.997 m,doll_5.468 m,doll_10.465 m,doll_11.778 m,509 million usd
494 million usd,doll_1.091 m,doll_1.586 m,doll_1.833 m,"3,864 million usd"
doll_4.462 m,doll_2.723 m,doll_7.185 m,doll_3.653 m,486 million usd
doll_11.687 m,doll_20.654 m,doll_32.341 m,doll_2.853 m,"1,856 million usd"
302 million usd,280 million usd,583 million usd,244 million usd,"7,021 million usd"
doll_17.861 m,doll_9.279 m,doll_27.140 m,doll_7.021 m,244 million usd
doll_5.226 m,doll_1.824 m,doll_7.050 m,doll_1.856 m,"2,853 million usd"
613 million usd,922 million usd,doll_1.534 m,486 million usd,"3,653 million usd"
doll_58.541 m,doll_8.612 m,doll_67.153 m,doll_3.864 m,"1,833 million usd"
82 million usd,556 million usd,638 million usd,509 million usd,491 million usd
788 million usd,doll_1.804 m,doll_2.592 m,491 million usd,845 million usd
604 million usd,doll_2.039 m,doll_2.643 m,doll_1.545 m,609 million usd
doll_428.680 m,doll_8.258 m,doll_436.940 m,doll_32.010 m,"2,437 million usd"
485 million usd,doll_2.296 m,doll_2.781 m,383 million usd,644 million usd
doll_1.624 m,doll_3.355 m,doll_4.980 m,doll_6.571 m,"2,429 million usd"
doll_7.026 m,doll_4.731 m,doll_11.757 m,doll_2.429 m,"6,571 million usd"
doll_1.094 m,520 million usd,doll_1.614 m,644 million usd,383 million usd
doll_58.257 m,doll_5.182 m,doll_63.439 m,doll_2.437 m,"32,010 million usd"
981 million usd,211 million usd,doll_1.192 m,609 million usd,"1,545 million usd"
520 million usd,doll_1.442 m,doll_1.962 m,845 million usd,"11,138 million usd"
doll_5.766 m,doll_3.415 m,doll_9.182 m,doll_11.138 m,"22,831 million usd"
doll_28.421 m,doll_5.489 m,doll_33.911 m,doll_10.187 m,"79,271 million usd"
doll_3.385 m,-293 million usd,doll_3.091 m,doll_2.157 m,"2,764 million usd"
doll_13.223 m,doll_4.062 m,doll_17.286 m,doll_12.917 m,"4,509 million usd"
doll_1.445 m,doll_2.009 m,doll_3.455 m,724 million usd,"9,184 million usd"
doll_14.348 m,doll_4.958 m,doll_19.306 m,doll_9.184 m,724 million usd
doll_3.188 m,doll_6.728 m,doll_9.916 m,doll_4.509 m,"12,917 million usd"
821 million usd,972 million usd,doll_1.793 m,doll_2.764 m,"2,157 million usd"
doll_189.940 m,doll_23.848 m,doll_213.790 m,doll_79.271 m,"10,187 million usd"
doll_6.520 m,doll_4.626 m,doll_11.146 m,doll_22.831 m,"3,895 million usd"
,,,doll_3.895 m,268 million usd
doll_1.544 m,doll_1.105 m,doll_2.649 m,doll_2.769 m,"4,195 million usd"
doll_12.011 m,doll_9.320 m,doll_21.331 m,doll_14.692 m,"8,498 million usd"
doll_1.454 m,doll_5.959 m,doll_7.413 m,doll_2.933 m,731 million usd
doll_5.470 m,doll_7.543 m,doll_13.013 m,900 million usd,522 million usd
184 million usd,doll_1.163 m,doll_1.348 m,522 million usd,900 million usd
462 million usd,doll_4.937 m,doll_5.399 m,731 million usd,"2,933 million usd"
doll_5.719 m,doll_4.296 m,doll_10.015 m,doll_8.498 m,"14,692 million usd"
doll_3.371 m,doll_3.977 m,doll_7.348 m,doll_4.195 m,"2,769 million usd"
82 million usd,784 million usd,867 million usd,268 million usd,"3,299 million usd"
doll_1.378 m,doll_6.132 m,doll_7.510 m,doll_3.299 m,"1,685 million usd"
,,,doll_4.066 m,"1,975 million usd"
doll_9.942 m,doll_8.709 m,doll_18.651 m,667 million usd,"25,316 million usd"
doll_1.559 m,645 million usd,doll_2.204 m,373 million usd,"1,425 million usd"
112 million usd,878 million usd,991 million usd,343 million usd,"5,077 million usd"
doll_9.103 m,doll_2.331 m,doll_11.434 m,doll_5.077 m,343 million usd
doll_33.240 m,doll_3.448 m,doll_36.689 m,doll_1.425 m,373 million usd
doll_106.000 m,doll_20.573 m,doll_126.570 m,doll_25.316 m,667 million usd
doll_1.878 m,doll_2.924 m,doll_4.802 m,doll_1.975 m,"16,667 million usd"
doll_1.210 m,doll_3.958 m,doll_5.169 m,doll_1.685 m,"14,348 million usd"
doll_5.020 m,648 million usd,doll_5.668 m,doll_16.667 m,"2,844 million usd"
191 million usd,doll_1.236 m,doll_1.427 m,849 million usd,"1,213 million usd"
doll_2.481 m,doll_3.474 m,doll_5.955 m,396 million usd,193 million usd
doll_1.663 m,doll_4.578 m,doll_6.241 m,doll_5.551 m,"1,048 million usd"
doll_3.898 m,doll_2.194 m,doll_6.093 m,doll_2.562 m,"2,562 million usd"
doll_3.712 m,doll_7.105 m,doll_10.818 m,doll_1.048 m,"5,551 million usd"
39 million usd,462 million usd,501 million usd,193 million usd,396 million usd
527 million usd,402 million usd,929 million usd,doll_1.213 m,849 million usd
doll_8.888 m,doll_5.113 m,doll_14.002 m,doll_2.844 m,0 million usd
doll_7.708 m,doll_6.802 m,doll_14.509 m,doll_14.348 m,"2,271 million usd"
108 million usd,doll_1.606 m,doll_1.715 m,0 million usd,743 million usd
,,,,"7,393 million usd"
,,,691 million usd,
,,,55 million usd,
,,,,
,,,,55 million usd
,,,,691 million usd
doll_2.951 m,doll_5.203 m,doll_8.154 m,doll_7.393 m,
776 million usd,doll_1.544 m,doll_2.321 m,743 million usd,
doll_3.489 m,doll_2.565 m,doll_6.054 m,doll_2.271 m,
,,,,"4,925 million usd"
doll_3.285 m,doll_3.656 m,doll_6.941 m,doll_1.073 m,405 million usd
289 million usd,250 million usd,539 million usd,663 million usd,687 million usd
doll_3.075 m,doll_2.271 m,doll_5.347 m,doll_4.941 m,"1,918 million usd"
doll_2.674 m,306 million usd,doll_2.981 m,doll_1.597 m,"1,597 million usd"
493 million usd,doll_1.860 m,doll_2.354 m,doll_1.918 m,"4,941 million usd"
591 million usd,675 million usd,doll_1.267 m,687 million usd,663 million usd
263 million usd,458 million usd,721 million usd,405 million usd,"1,073 million usd"
doll_3.786 m,doll_1.013 m,doll_4.800 m,doll_4.925 m,"3,140 million usd"
,,,,"1,281 million usd"
963 million usd,721 million usd,doll_1.684 m,doll_3.140 m,"18,119 million usd"
doll_5.521 m,doll_1.417 m,doll_6.939 m,doll_4.998 m,398 million usd
doll_7.368 m,doll_1.511 m,doll_8.880 m,853 million usd,
doll_5.214 m,doll_1.151 m,doll_6.365 m,doll_2.073 m,"31,850 million usd"
288 million usd,470 million usd,758 million usd,doll_1.502 m,"1,502 million usd"
doll_60.857 m,doll_17.744 m,doll_78.601 m,doll_31.850 m,"2,073 million usd"
,,,,"4,998 million usd"
48 million usd,92 million usd,140 million usd,398 million usd,853 million usd
doll_13.222 m,doll_3.363 m,doll_16.585 m,doll_18.119 m,"5,571 million usd"
720 million usd,731 million usd,doll_1.451 m,doll_1.281 m,"1,894 million usd"
doll_103.350 m,doll_8.883 m,doll_112.230 m,doll_5.571 m,"2,188 million usd"
doll_21.777 m,doll_9.921 m,doll_31.698 m,doll_35.211 m,"1,589 million usd"
doll_17.752 m,doll_2.328 m,doll_20.080 m,doll_18.212 m,"1,213 million usd"
doll_2.417 m,doll_3.573 m,doll_5.990 m,doll_1.699 m,"5,683 million usd"
doll_8.469 m,doll_6.169 m,doll_14.638 m,doll_1.446 m,"1,446 million usd"
doll_2.902 m,doll_2.088 m,doll_4.991 m,doll_5.683 m,"1,699 million usd"
527 million usd,402 million usd,929 million usd,doll_1.213 m,"18,212 million usd"
doll_11.030 m,doll_6.236 m,doll_17.266 m,doll_1.589 m,"35,211 million usd"
doll_1.299 m,doll_1.337 m,doll_2.636 m,doll_2.188 m,
doll_3.776 m,doll_1.996 m,doll_5.773 m,doll_1.894 m,"1,183 million usd"
doll_56.740 m,doll_7.901 m,doll_64.642 m,,"4,276 million usd"
doll_33.490 m,doll_4.541 m,doll_38.031 m,doll_9.570 m,"1,241 million usd"
423 million usd,doll_2.746 m,doll_3.170 m,doll_1.460 m,"2,811 million usd"
doll_5.188 m,doll_2.536 m,doll_7.724 m,doll_6.218 m,"3,438 million usd"
doll_6.416 m,doll_4.851 m,doll_11.267 m,doll_2.006 m,"2,006 million usd"
doll_73.852 m,doll_8.310 m,doll_82.163 m,doll_3.438 m,"6,218 million usd"
doll_14.978 m,doll_5.016 m,doll_19.995 m,doll_2.811 m,"1,460 million usd"
639 million usd,doll_1.234 m,doll_1.873 m,doll_1.241 m,"9,570 million usd"
doll_188.930 m,doll_11.966 m,doll_200.890 m,doll_4.276 m,"4,578 million usd"
298 million usd,426 million usd,724 million usd,doll_1.183 m,"8,880 million usd"
doll_5.537 m,doll_5.970 m,doll_11.507 m,doll_4.578 m,"2,180 million usd"
85 million usd,896 million usd,981 million usd,549 million usd,"1,371 million usd"
doll_3.577 m,doll_2.171 m,doll_5.749 m,doll_3.712 m,"6,744 million usd"
doll_1.248 m,doll_1.945 m,doll_3.193 m,doll_1.619 m,"13,088 million usd"
doll_4.037 m,285 million usd,doll_4.323 m,doll_4.930 m,"4,930 million usd"
doll_3.565 m,doll_4.365 m,doll_7.931 m,doll_13.088 m,"1,619 million usd"
doll_1.484 m,doll_2.365 m,doll_3.849 m,doll_6.744 m,"3,712 million usd"
doll_46.438 m,doll_4.439 m,doll_50.878 m,doll_1.371 m,549 million usd
doll_2.380 m,754 million usd,doll_3.135 m,doll_2.180 m,"5,646 million usd"
doll_7.862 m,doll_3.295 m,doll_11.157 m,doll_8.880 m,"3,064 million usd"
doll_5.947 m,doll_1.770 m,doll_7.718 m,doll_5.646 m,"6,635 million usd"
doll_25.202 m,doll_12.131 m,doll_37.334 m,doll_28.168 m,"5,587 million usd"
474 million usd,383 million usd,857 million usd,674 million usd,"5,265 million usd"
doll_3.893 m,doll_9.392 m,doll_13.286 m,603 million usd,"2,765 million usd"
doll_1.461 m,doll_1.434 m,doll_2.896 m,941 million usd,941 million usd
doll_1.339 m,doll_2.225 m,doll_3.565 m,doll_2.765 m,603 million usd
doll_4.637 m,doll_2.551 m,doll_7.188 m,doll_5.265 m,674 million usd
doll_2.426 m,doll_2.620 m,doll_5.046 m,doll_5.587 m,"28,168 million usd"
doll_5.214 m,doll_5.270 m,doll_10.485 m,doll_6.635 m,"8,910 million usd"
doll_11.577 m,doll_10.029 m,doll_21.607 m,doll_3.064 m,"13,349 million usd"
doll_5.865 m,doll_2.652 m,doll_8.517 m,doll_8.910 m,"8,028 million usd"
doll_73.952 m,doll_4.172 m,doll_78.124 m,doll_2.501 m,"5,608 million usd"
doll_10.352 m,doll_6.351 m,doll_16.703 m,doll_11.736 m,"1,069 million usd"
doll_3.682 m,doll_2.224 m,doll_5.906 m,doll_3.186 m,648 million usd
doll_1.645 m,doll_1.570 m,doll_3.215 m,409 million usd,409 million usd
322 million usd,814 million usd,doll_1.136 m,648 million usd,"3,186 million usd"
doll_1.665 m,265 million usd,doll_1.931 m,doll_1.069 m,"11,736 million usd"
doll_2.520 m,doll_5.647 m,doll_8.167 m,doll_5.608 m,"2,501 million usd"
doll_5.050 m,doll_2.470 m,doll_7.520 m,doll_8.028 m,"9,221 million usd"
doll_17.248 m,doll_4.261 m,doll_21.509 m,doll_13.349 m,"20,810 million usd"
doll_10.684 m,doll_5.767 m,doll_16.451 m,doll_9.221 m,"5,303 million usd"
doll_1.103 m,doll_3.875 m,doll_4.978 m,doll_3.958 m,"2,165 million usd"
doll_1.270 m,doll_1.662 m,doll_2.932 m,doll_1.799 m,"8,008 million usd"
doll_1.042 m,doll_1.206 m,doll_2.248 m,doll_1.507 m,"5,080 million usd"
doll_2.528 m,doll_3.295 m,doll_5.823 m,doll_4.788 m,"4,788 million usd"
doll_58.542 m,doll_12.528 m,doll_71.070 m,doll_5.080 m,"1,507 million usd"
doll_23.881 m,doll_16.205 m,doll_40.086 m,doll_8.008 m,"1,799 million usd"
doll_6.316 m,doll_3.681 m,doll_9.997 m,doll_2.165 m,"3,958 million usd"
doll_1.666 m,doll_1.353 m,doll_3.018 m,doll_5.303 m,462 million usd
doll_50.721 m,doll_12.445 m,doll_63.166 m,doll_20.810 m,"2,846 million usd"
505 million usd,610 million usd,doll_1.115 m,doll_1.208 m,306 million usd
doll_14.764 m,doll_5.375 m,doll_20.139 m,doll_16.265 m,"23,086 million usd"
256 million usd,doll_1.573 m,doll_1.830 m,517 million usd,"11,582 million usd"
502 million usd,doll_1.308 m,doll_1.811 m,696 million usd,726 million usd
doll_3.849 m,doll_3.901 m,doll_7.751 m,726 million usd,696 million usd
doll_4.037 m,doll_8.049 m,doll_12.086 m,doll_11.582 m,517 million usd
doll_8.899 m,doll_4.177 m,doll_13.075 m,doll_23.086 m,"16,265 million usd"
doll_2.860 m,doll_3.868 m,doll_6.729 m,306 million usd,"1,208 million usd"
doll_4.617 m,doll_8.178 m,doll_12.795 m,doll_2.846 m,"3,788 million usd"
doll_1.760 m,-683 million usd,doll_1.077 m,462 million usd,511 million usd
doll_16.211 m,doll_5.497 m,doll_21.708 m,doll_7.339 m,"2,254 million usd"
269 million usd,doll_1.184 m,doll_1.453 m,549 million usd,"1,444 million usd"
472 million usd,433 million usd,905 million usd,702 million usd,"3,089 million usd"
doll_64.793 m,doll_9.430 m,doll_74.224 m,doll_3.022 m,740 million usd
doll_4.627 m,doll_1.813 m,doll_6.440 m,740 million usd,"3,022 million usd"
doll_1.015 m,doll_1.241 m,doll_2.257 m,doll_3.089 m,702 million usd
doll_3.002 m,doll_1.983 m,doll_4.986 m,doll_1.444 m,549 million usd
doll_2.358 m,829 million usd,doll_3.187 m,doll_2.254 m,"7,339 million usd"
doll_1.353 m,879 million usd,doll_2.232 m,511 million usd,"1,731 million usd"
doll_10.685 m,doll_5.891 m,doll_16.576 m,doll_3.788 m,"25,554 million usd"
193 million usd,doll_1.937 m,doll_2.131 m,doll_1.731 m,"1,780 million usd"
doll_11.883 m,doll_6.652 m,doll_18.535 m,doll_8.557 m,"16,678 million usd"
doll_168.080 m,doll_19.659 m,doll_187.730 m,0 million usd,"10,343 million usd"
doll_1.204 m,doll_3.035 m,doll_4.239 m,doll_2.979 m,767 million usd
doll_10.663 m,doll_8.748 m,doll_19.411 m,doll_27.293 m,"27,293 million usd"
147 million usd,doll_1.502 m,doll_1.649 m,767 million usd,"2,979 million usd"
doll_6.644 m,doll_9.070 m,doll_15.714 m,doll_16.678 m,0 million usd
doll_6.389 m,doll_10.447 m,doll_16.836 m,doll_10.343 m,"8,557 million usd"
doll_4.968 m,doll_2.607 m,doll_7.575 m,doll_1.780 m,955 million usd
doll_9.394 m,doll_4.070 m,doll_13.464 m,doll_25.554 m,"2,714 million usd"
doll_5.143 m,doll_5.440 m,doll_10.583 m,955 million usd,"3,094 million usd"
doll_3.406 m,879 million usd,doll_4.285 m,doll_5.504 m,"2,935 million usd"
doll_1.342 m,doll_1.234 m,doll_2.576 m,doll_2.552 m,"1,269 million usd"
doll_8.092 m,doll_2.357 m,doll_10.450 m,900 million usd,"3,234 million usd"
doll_342.930 m,doll_21.033 m,doll_363.960 m,doll_7.294 m,"7,294 million usd"
doll_1.728 m,864 million usd,doll_2.592 m,doll_3.234 m,900 million usd
doll_1.914 m,145 million usd,doll_2.059 m,doll_1.269 m,"2,552 million usd"
632 million usd,doll_5.931 m,doll_6.564 m,doll_2.935 m,"5,504 million usd"
doll_8.333 m,doll_3.965 m,doll_12.298 m,doll_3.094 m,"1,565 million usd"
doll_4.187 m,doll_4.029 m,doll_8.216 m,doll_2.714 m,"10,427 million usd"
doll_3.180 m,doll_1.089 m,doll_4.269 m,doll_1.565 m,407 million usd
doll_10.860 m,doll_3.271 m,doll_14.131 m,doll_14.025 m,"3,107 million usd"
doll_7.052 m,doll_3.465 m,doll_10.517 m,doll_17.556 m,"6,718 million usd"
doll_2.149 m,doll_3.618 m,doll_5.767 m,doll_2.703 m,"24,124 million usd"
doll_8.558 m,doll_3.558 m,doll_12.116 m,doll_5.304 m,"5,304 million usd"
doll_12.400 m,doll_3.436 m,doll_15.836 m,doll_24.124 m,"2,703 million usd"
doll_2.604 m,doll_4.036 m,doll_6.640 m,doll_6.718 m,"17,556 million usd"
doll_30.922 m,doll_7.758 m,doll_38.680 m,doll_3.107 m,"14,025 million usd"
doll_5.577 m,doll_4.105 m,doll_9.683 m,407 million usd,"2,662 million usd"
