,name,country,industry,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020,employees_2020,employees_2017,founded,revenue_2017,website
1575,Marsapet,Germany,Retail,,,3960200.0,26.0,4,2015.0,1061642.0,
1576,Gruppo Tera,Italy,Ecommerce,,,20222750.0,16.0,8,2015.0,5428300.0,
1577,CodicePlastico,Italy,Technology,,,3068430.0,14.0,7,2009.0,824450.0,
1578,Tremend,Romania,Technology,,,20679155.0,426.0,185,2005.0,5772716.0,
1579,Doofinder,Spain,Technology,,,6590434.0,61.0,17,2010.0,1771758.0,
1580,Hostinger,Lithuania,Technology,,,25860664.0,780.0,80,2004.0,6955394.0,
1581,Catalyx,Switzerland,Sales & Marketing,,,6540543.0,39.0,9,2013.0,1627160.0,
1582,Harness Code,Bulgaria,Sales & Marketing,,,2223308.0,9.0,6,2016.0,599612.0,
1583,Nanoprom Chemicals,Italy,Chemicals & Pharmaceuticals,,,2779910.0,17.0,5,2014.0,749940.0,
1584,Elite,Spain,Construction,,,10060550.0,49.0,27,2012.0,2716240.0,
1585,AppUnite,Poland,Technology,,,4424063.0,119.0,26,2012.0,1310532.0,
1586,Eskalia et Nakupenda,France,Retail,,,1515414.0,7.0,2,2006.0,410775.0,
1587,LGX Logistics,Germany,Transport,,,8070059.0,12.0,3,2006.0,2191733.0,
1588,Polipop,Portugal,Industrial Goods,,,3351671.0,22.0,11,2015.0,910392.0,
1589,StampaSi,Italy,Ecommerce,,,2543820.0,10.0,1,2016.0,691110.0,
1590,CAM,Italy,Industrial Goods,,,12280490.0,67.0,45,1984.0,3336600.0,
1591,Plug In Digital,France,Media,,,13767602.0,37.0,12,2012.0,3743740.0,
1592,Predica,Poland,Technology,,,17589082.0,241.0,82,2009.0,5233937.0,
1593,Ocean Transport,Spain,Transport,,,4783846.0,19.0,2,2009.0,1304073.0,
1594,Serinus,UK,Energy,,,19651446.0,75.0,103,1997.0,5474802.0,
1595,DEMV Deutscher Maklerverbund,Germany,Financial Services,,,5012841.0,50.0,20,2009.0,1375943.0,
1596,STI Norland,Spain,Energy,,,199822150.0,221.0,53,1996.0,54990779.0,
1597,HD Elektrotechnik,Germany,Technology,,,4207672.0,76.0,27,2011.0,1158042.0,
1598,Engenie Group,Italy,Technology,,,2025040.0,9.0,1,2017.0,558480.0,
1599,Groupe N.A.T,France,Support Services,,,4180122.0,64.0,25,2016.0,1156596.0,
1600,La Sarraz Pictures,Italy,Media,,,1513710.0,5.0,2,2015.0,419430.0,
1601,Smart-Planet,Germany,Retail,,,4598207.0,9.0,5,2016.0,1276483.0,
1602,Sidea Group,Italy,Management Consulting,,,2429590.0,49.0,8,2015.0,674560.0,
1603,COUTEAUJAPONAIS.COM,France,Retail,,,4579102.0,17.0,5,2004.0,1272558.0,
1604,PHYSIDIA,France,Health,,,16746545.0,58.0,20,2010.0,4656191.0,
1605,Horando Deutschland,Germany,Retail,,,8111269.0,3.0,2,2013.0,2257390.0,
1606,,,,,,,,,,,
1607,Parkster,Sweden,Technology,,,55139984.0,28.0,16,2011.0,15711602.0,
1608,BIOTYFULL,France,Ecommerce,,,20248436.0,13.0,5,2015.0,5642145.0,
1609,Bioksan,Spain,Food & Beverage,,,5914732.0,51.0,14,2014.0,1650756.0,
1610,Trippel,Norway,Support Services,,,3057807.0,118.0,37,1999.0,910070.0,
1611,Yourparkingspace Limited,UK,Technology,,,13863431.0,32.0,15,2013.0,3904618.0,
1612,Carslift,France,Automobiles,,,2226659.0,35.0,1,2012.0,622989.0,
1613,Zimmerei Nordmann,Germany,Construction,,,2074577.0,11.0,5,2009.0,580537.0,
1614,SI Silicone Innovation,Germany,Industrial Goods,,,3640511.0,40.0,20,2015.0,1018843.0,
1615,A.U.E. Genc Warenhandels-UG,Germany,Retail,,,19890000.0,12.0,8,2010.0,5573000.0,
1616,MGvision,Italy,Advertising,,,4010560.0,18.0,10,2010.0,1127170.0,
1617,New General Service,Italy,Support Services,,,1539360.0,26.0,13,2015.0,433540.0,
1618,ANDRE RENOVATION,France,Construction,,,11594389.0,41.0,15,2010.0,3266703.0,
1619,M.D.G. Components Unipersonale,Italy,Industrial Goods,,,2283970.0,14.0,10,2017.0,644440.0,
1620,Amco-Bulgaria,Bulgaria,Retail,,,6298606.0,22.0,5,2011.0,1778274.0,
1621,Symprove,UK,Personal & Household Goods,,,12298843.0,39.0,16,2005.0,3498275.0,
1622,Tecknuovo,UK,Technology,,,26273556.0,22.0,10,2015.0,7477852.0,
1623,Platform.sh,France,Technology,,,22077678.0,217.0,62,2010.0,6242232.0,
1624,ISG Express Logistik,Germany,Transport,,,5822692.0,46.0,5,2011.0,1646307.0,
1625,Manelli Impresa,Italy,Construction,,,43355980.0,173.0,55,2008.0,12259540.0,
1626,SA Formação,Portugal,Education,,,3647652.0,53.0,22,2009.0,1031733.0,
1627,SM SektManufaktur,Germany,Industrial Goods,,,2408586.0,14.0,3,2015.0,681652.0,
1628,Beauty Consult Deutschland,Germany,Health,,,3725665.0,31.0,8,2011.0,1055100.0,
1629,Finauto,Italy,Automobiles,,,11789870.0,8.0,5,1977.0,3350270.0,
1630,AuCOFFRE.com,France,Financial Services,,,114037838.0,21.0,18,2009.0,32428296.0,
1631,Divido,UK,Fintech,,,3786036.0,46.0,37,2014.0,1084616.0,
1632,R&K Ingenieure,Germany,Construction,,,5210500.0,17.0,6,2016.0,1482100.0,
1633,Nephos Technologies,UK,Technology,,,17559447.0,25.0,11,2011.0,5031697.0,
1634,La Vida,UK,Support Services,,,7572128.0,15.0,8,2002.0,2178629.0,
1635,Midstream Lighting,UK,Technology,,,8204844.0,12.0,4,2012.0,2363526.0,
1636,PROPULSE IT,France,Technology,,,6326861.0,2.0,2,2014.0,1809858.0,
1637,Additius Santa Maria,Spain,Agricultural Commodities,,,31757362.0,30.0,25,2012.0,9100083.0,
1638,CONEXIO TELECOM,France,Telecoms,,,1908640.0,15.0,3,2017.0,547084.0,
1639,Tripin,Germany,Retail,,,5465080.0,9.0,5,2012.0,1568506.0,
1640,Continental Wood Kft.,Hungary,Industrial Goods,,,2724073.0,9.0,4,1996.0,910973.0,
1641,GeoTeam,Italy,Energy,,,7623730.0,120.0,71,2008.0,2195780.0,
1642,Leascorp,France,Financial Services,,,18481247.0,7.0,4,2014.0,5325214.0,
1643,Positive Healthcare,UK,Management Consulting,,,6731831.0,19.0,3,2014.0,1954609.0,
1644,Ralph Schmolke,Germany,Retail,,,2281929.0,8.0,4,2010.0,658317.0,
1645,Roomie Milano,Italy,Property,,,3728920.0,10.0,2,2016.0,1079340.0,
1646,Trencadis Corp,Romania,Technology,,,20410511.0,89.0,40,2007.0,6137755.0,
1647,WORTEKS,France,Technology,,,1870845.0,11.0,4,2016.0,541582.0,
1648,REMOVE,France,Construction,,,8988475.0,74.0,27,2015.0,2608093.0,
1649,Citadelo,Czech Republic,Cyber Security,,,1556521.0,27.0,15,2006.0,452557.0,
1650,Grill Autoservice,Germany,Automobiles,,,18141216.0,26.0,13,2017.0,5283415.0,
1651,Inbrooll,Spain,Industrial Goods,,,2663110.0,15.0,8,2013.0,776268.0,
1652,Cross,Germany,Retail,,,88590000.0,4.0,3,2010.0,25858983.0,
1653,B1gas S.p.A,Italy,Energy,,,41474660.0,6.0,2,2010.0,12106480.0,
1654,Filva,Italy,Construction,,,6188900.0,10.0,8,2009.0,1808710.0,
1655,Archingest,Italy,Construction,,,3515000.0,6.0,2,2005.0,1030000.0,
1656,Alpha FX Group,UK,Financial Services,,,51640733.0,124.0,51,2009.0,15241075.0,
1657,lemonads,Switzerland,Advertising,,,4952255.0,50.0,7,2012.0,1451770.0,
1658,Signicat,Norway,Technology,,,42514150.0,213.0,71,2007.0,13309441.0,
1659,Alfred Döpker,Germany,Construction,,,77358225.0,55.0,41,1965.0,22730529.0,
1660,Bavaria-Ei,Germany,Retail,,,13067279.0,88.0,42,2001.0,3842670.0,
1661,Oxylabs.io,Lithuania,Technology,,,25040954.0,245.0,57,2015.0,7381686.0,
1662,A.S.H. Automobile,Germany,Automobiles,,,2333452.0,5.0,2,2014.0,687958.0,
1663,Vascular,Hungary,Health,,,29099679.0,57.0,18,2007.0,9987236.0,
1664,ANDJARO,France,Support Services,,,3189298.0,57.0,30,2015.0,943718.0,
1665,Röhrtaler Wertstoff,Germany,Waste management & recycling,,,3286187.0,34.0,22,2013.0,973460.0,
1666,Autel Karnetic,UK,Technology,,,8520830.0,7.0,6,2016.0,2543343.0,
1667,Discoup.com,Italy,Advertising,,,2075110.0,10.0,8,2013.0,616520.0,
1668,Hellas Direct,Cyprus,Insurance,,,34488971.0,85.0,52,2011.0,10247832.0,
1669,HERRLES,Germany,Automobiles,,,10242075.0,45.0,30,2009.0,3044054.0,
1670,Investmentpunk Academy,Austria,Education,,,3179000.0,12.0,6,2016.0,947000.0,
1671,Born Stahlbau,Germany,Industrial Goods,,,4527093.0,13.0,6,2015.0,1351164.0,
1672,RETTEL Projektbau,Germany,Construction,,,8073458.0,7.0,5,2016.0,2410212.0,
1673,Suntronic,Italy,Energy,,,2347320.0,4.0,2,2005.0,700960.0,
1674,TMT,Italy,Industrial Goods,,,12763524.0,42.0,6,2014.0,3811838.0,
1675,Gedankenburg,Germany,Advertising,,,2950010.0,5.0,2,2015.0,881275.0,
1676,SVOP Special Vehicle Operation,Sweden,Automobiles,,,4526309.0,16.0,6,2013.0,1385662.0,
1677,Glenholme Healthcare Group,UK,Health,,,14845073.0,415.0,132,2011.0,4476517.0,
