04-iGMM-world_rank__jan_07_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,07-silvestri-employees_2022
1,"154,000","154,000","150,000"
2,"65,152","220,000","276,000"
3,"18,975","79,800","100,920"
4,"372,000","156,500","28,000"
5,"77,805","1,335,000","23,874"
6,"99,290","99,290","85,392"
7,"1,335,000","77,805","699,000"
8,"156,500","372,000","45,971"
9,"79,800","18,975","104,323"
10,"220,000","65,152","86,000"
11,"2,300,000","112,771","83,100"
12,"208,000","271,025","15,417"
13,"150,000","21,500","74,207"
14,"500,000","141,700","107,415"
15,"350,000","113,753","128,339"
16,"113,753","350,000","90,000"
17,"141,700","500,000","303,000"
18,"21,500","150,000","105,476"
19,"271,025","208,000","149,000"
20,"112,771","2,300,000","662,575"
21,"101,000","101,000","223,448"
22,"190,000","29,031","95,442"
23,"64,000","276,000","28,025"
24,"28,000","24,000","49,000"
25,"78,500","100,920","99,000"
26,"251,462","251,462","164,000"
27,"100,920","78,500","473,800"
28,"24,000","28,000","166,025"
29,"276,000","64,000","125,888"
30,"29,031","190,000","150,269"
31,"25,988","366,283","58,408"
32,"35,000","80,300","38,553"
33,"73,300","79,500","144,116"
34,"85,392","20,000","60,000"
35,"434,798","23,874","226,291"
36,"23,874","434,798","190,000"
37,"20,000","85,392","21,245"
38,"79,500","73,300","55,000"
39,"80,300","35,000","288,481"
40,"366,283","25,988","151,017"
41,"132,000","42,595","31,000"
42,"699,000","309,000","32,424"
43,"288,000","113,000","34,760"
44,"50,000","12,135","67,000"
44,"130,000","750,000","285,555"
45,"750,000","130,000","52,000"
46,"12,135","50,000","66,438"
47,"113,000","288,000","571,974"
48,"309,000","699,000","40,000"
49,"42,595","132,000","20,054"
50,"45,971","45,971","105,000"
51,"68,000","189,000","315,000"
52,"78,000","118,400","1,750"
53,"121,100","56,606","96,595"
54,"253,871","236,330","45,000"
55,"30,900","30,900","19,789"
56,"236,330","253,871","134,878"
57,"56,606","121,100","120,726"
58,"118,400","78,000","16,821"
59,"189,000","68,000","110,302"
60,"349,671","45,000","80,000"
61,"68,097","104,323","52,930"
62,"203,000","90,867","85,947"
63,"534,000","200,000","71,551"
64,"613,974","33,078","189,512"
65,"33,078","606,331","4,556"
66,"200,000","534,000","43,000"
67,"90,867","203,000","191,189"
68,"104,323","68,097","95,850"
69,"45,000","349,671","217,731"
70,"32,000","86,000","18,500"
71,"83,100","83,100","90,000"
72,"86,000","32,000","50,288"
73,"80,000","15,417","101,000"
74,"32,124","74,207","31,000"
75,"31,000","9,700","33,500"
76,"220,000","220,000","16,218"
77,"9,700","31,000","57,000"
78,"74,207","32,124","14,100"
79,"15,417","80,000","2,980"
80,"99,000","107,415","24,848"
81,"362,000","459,000",
82,"69,900","13,500","62,285"
83,"109,700","58,390","99,538"
