,name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
0,Swappie,Finland,Technology,97611814,507000,218,1,2016
1,Kilo Health,Lithuania,Health,57318766,344428,177,10,2013
2,OCI,UK,Financial Services,568322073,4325512,32,4,2012
3,OnlyFans,UK,Technology,316732986,2652185,800,4,2016
4,Enpal,Germany,Energy,56109613,486165,365,9,2017
5,MR Consulting,Germany,Waste management & recycling,13165586,150908,9,2,2017
6,Thriva,UK,Health,18732563,251668,57,12,2015
7,Exotec,France,Industrial Goods,47597000,706700,200,15,2015
8,Winelivery,Italy,Ecommerce,7337290,111500,10,1,2015
9,Instabox,Sweden,Technology,24484879,392055,117,5,2015
10,Waterdrop,Austria,Food & Beverage,41205930,680197,180,12,2016
11,One Lease,France,Support Services,9015211,153046,11,2,2016
12,Datlas*,Italy,Technology,9034926,155406,251,13,2017
13,Zego,UK,Fintech,12158046,229201,224,36,2016
14,HCL-Logistics,Germany,Transport,11387156,238118,24,5,2017
15,Popsa,UK,Technology,21455864,454975,34,4,2016
16,Unit8,Switzerland,Technology,7234981,149397,41,2,2017
17,Luoto Company,Finland,Technology,14338668,325585,49,6,2016
18,Journi Print,Austria,Ecommerce,6851839,160624,29,9,2014
19,Portify,France,Support Services,11583215,274575,228,23,2017
20,Tibber,Norway,Energy,30886935,782918,45,8,2015
21,Rascal Industry,Poland,Fashion,9008822,238451,18,6,2013
22,Pegaso Security,Italy,Support Services,8375180,207120,509,20,2017
23,Tide,UK,Fintech,16136633,416562,581,72,2016
24,Euro Top Brand,Italy,Retail,13888900,363010,1,1,2017
25,Bold Security Group,UK,Support Services,6238378,181772,26,6,2011
26,Play Magnus Group,Norway,Games industry,6461790,214673,140,10,2013
27,Blue Whale Growth Fund,UK,Financial Services,5189391,170950,7,1,2016
28,Kazidomi,Belgium,Ecommerce,8042499,263663,65,3,2016
29,Sun Finance,Latvia,Fintech,121306296,4044537,800,90,2012
30,Credimi,Italy,Financial Services,11301520,381830,56,21,2015
31,SIRPLUS,Germany,Retail,4540000,155043,133,8,2017
32,AIHR | Academy to Innovate HR,The Netherlands,Education,3584553,125682,31,6,2016
33,Logistics Capital Partners (LCP),Luxembourg,Property,210563743,7403458,27,9,2015
34,Südwest Invest,Germany,Property,5820402,210820,10,2,2017
35,CORADE (Plurimmo),France,Property,56018731,2039961,7,7,2000
36,Carranco,Spain,Food & Beverage,4176440,155310,5,4,2006
37,Telemedi,Poland,Health,4452513,182100,50,10,2014
38,Inkitt,Germany,Technology,5926970,229713,56,22,2014
39,H.K.Trading,Italy,Retail,5721590,225380,2,1,2016
40,Attest,UK,Technology,4864178,194090,124,16,2015
41,LGM IMMOBILIER,France,Property,2549778,101311,11,na,2016
42,Wolfram Chain*,The Netherlands,Management Consulting,2431371,100711,29,7,2017
43,RightNow,Germany,Technology,8951132,379771,38,3,2017
44,EO Charging,UK,Technology,17158962,757323,63,7,2014
45,CheTariffa.it,Italy,Support Services,2495860,110200,9,2,2013
46,Simply,UK,Financial Services,16483836,744092,90,26,2017
47,Salary Finance,UK,Fintech,8593220,387995,187,24,2015
48,DBT,Sweden,Fintech,3837994,179204,10,2,2017
49,Tutlo,Poland,Education,7778203,388565,140,15,2016
50,Ponera,France,Ecommerce,25901607,1186853,27,4,2013
51,Active Energy Solutions,Greece,Energy,13312033,640056,2,0,2014
52,ACTEAM ENR,France,Energy,2133691,103240,8,2,2012
53,Everflow,UK,Technology,64223085,3188715,70,8,2015
54,Azure Prism,UK,Retail,4752777,238216,1,1,2016
55,WR Logistics,Germany,Transport,11662200,585280,7,2,2017
56,iProov,UK,Technology,7435887,376519,61,14,2011
57,Spin Up,Italy,Advertising,4009330,203950,5,1,2017
58,BeGreat,Germany,Retail,5141555,270090,16,4,2012
59,Tsunami Nutrition*,Italy,Ecommerce,6945000,369000,17,2,2017
60,Matt Sleeps,The Netherlands,Interiors,9789240,535070,6,2,2016
61,Tessian,UK,Technology,15365580,858482,138,28,2013
62,Solarisbank,Germany,Financial Services,35938000,2007000,369,98,2016
63,M2DG (MyFlexoffice),France,Support Services,6630617,375323,21,2,2016
64,Eukon,Italy,Health,6393680,362320,11,2,2004
65,Evolution Adv,Italy,Advertising,14175780,805870,13,3,2016
66,Making Science,Spain,Technology,57670541,3306795,274,47,2001
67,Everli,Italy,Ecommerce,109248030,6287460,207,45,2014
68,AppFollow,Finland,Technology,2210636,128176,73,12,2014
69,Synerise,Poland,Technology,3999023,255062,190,40,2013
70,ChaiKola,Poland,Food & Beverage,5158786,330763,8,4,2010
71,Scolution,Germany,Technology,1825546,107492,12,4,2015
72,JL&P,France,Energy,2212606,131164,15,3,2017
73,eFarma.com,Italy,Pharmaceuticals,20150800,1199580,50,8,2017
74,Elvie,UK,Technology,40813930,2474341,138,22,2013
75,Farmarelax,Italy,Personal & Household Goods,4459170,270750,5,1,2010
76,Omnisend,UK,Technology,11761268,742746,99,20,2008
77,World Trade Group,Italy,Fashion,4897950,314150,5,1,2017
78,BESTEAM Conseil,France,Technology,3871782,249176,32,2,2016
79,Motorway,UK,Automobiles,4838407,320411,96,5,2016
80,ISO Public Services,Germany,Technology,10019903,672821,26,0,2014
81,Octopus Energy,UK,Energy,2120071949,145398192,918,106,2015
82,CyberIAM*,UK,Cyber Security,5639335,387161,82,8,2017
83,Cbweed*,Italy,Personal & Household Goods,3500000,245000,17,2,2017
84,Catraport,Portugal,Automobiles,7294549,518613,46,18,2015
85,OUIHELP,France,Support Services,3686617,262421,106,13,2016
86,Inpay,Denmark,Fintech,23803000,1702000,67,33,2013
87,M.G.I. Meccaniche Generali Irpine,Italy,Industrial Goods,2610700,188680,10,4,2017
88,Glencar Construction,UK,Construction,107860442,7930094,80,7,2016
89,Qmee,UK,Technology,12571314,925527,23,9,2010
90,MyAppFree,Italy,Advertising,5764870,422420,10,1,2015
91,Investa Dienstleistungen,Germany,Support Services,2176136,159707,55,8,2014
92,Polarium Energy Solutions,Sweden,Batteries,74065413,5581858,58,19,2014
93,Baroni Home,Italy,Ecommerce,1531358,113072,5,4,2016
