,pricecap,revenue,earnings,share_price,url
150,doll_123.07 b,,,doll_0.44,
151,doll_122.92 b,,,doll_72.69,
152,doll_75.56 b,,,doll_164.16,
153,doll_76.63 b,,,doll_99.52,
154,doll_77.08 b,,,doll_82.35,
155,doll_77.51 b,,,doll_132.51,
156,doll_77.98 b,,,doll_16.72,
157,doll_78.78 b,,,doll_147.96,
158,doll_79.02 b,,,doll_4.19,
159,doll_80.89 b,,,"doll_2,085",
160,doll_80.89 b,,,doll_23.20,
161,doll_81.20 b,,,doll_186.76,
162,doll_82.49 b,,,doll_321.37,
163,doll_81.62 b,,,doll_138.97,
164,doll_82.91 b,,,doll_13.32,
165,doll_82.78 b,,,doll_40.61,
166,doll_83.39 b,,,doll_412.87,
167,doll_83.46 b,,,doll_766.39,
168,doll_83.97 b,,,doll_545.60,
169,doll_84.02 b,,,doll_147.94,
170,doll_84.69 b,,,doll_190.13,
171,doll_85.11 b,,,doll_74.66,
172,doll_85.28 b,,,doll_21.32,
173,doll_85.28 b,,,doll_239.01,
174,doll_85.36 b,,,doll_47.63,
175,doll_85.88 b,,,doll_168.63,
176,doll_86.00 b,,,doll_20.19,
177,doll_86.06 b,,,doll_213.41,
178,doll_86.26 b,,,doll_173.91,
179,doll_70.05 b,,,doll_182.35,
180,doll_70.12 b,,,doll_228.29,
181,doll_70.19 b,,,doll_126.99,
182,doll_70.21 b,,,doll_255.74,
183,doll_70.65 b,,,doll_318.44,
184,doll_71.13 b,,,doll_0.58,
185,doll_71.48 b,,,doll_45.13,
186,doll_71.25 b,,,doll_480.52,
187,doll_71.51 b,,,doll_252.38,
188,doll_71.89 b,,,doll_35.35,
189,doll_72.18 b,,,doll_589.41,
190,doll_72.20 b,,,doll_67.49,
191,doll_73.00 b,,,doll_0.64,
192,doll_73.36 b,,,doll_157.42,
193,doll_73.31 b,,,doll_67.34,
194,doll_73.26 b,,,doll_3.10,
195,doll_74.35 b,,,doll_11.40,
196,doll_74.37 b,,,doll_131.07,
197,doll_74.85 b,,,doll_52.79,
198,doll_75.47 b,,,doll_32.12,
199,doll_69.84 b,,,doll_11.43,
200,doll_69.70 b,,,doll_169.81,
201,doll_57.48 b,,,doll_40.22,
202,doll_57.33 b,,,doll_28.75,
203,doll_58.31 b,,,doll_28.41,
204,doll_58.36 b,,,doll_19.15,
205,doll_58.33 b,,,doll_103.46,
206,doll_58.64 b,,,doll_52.25,
207,doll_58.79 b,,,doll_18.46,
208,doll_59.00 b,,,doll_106.36,
209,doll_58.82 b,,,doll_254.07,
210,doll_59.09 b,,,doll_89.79,
211,doll_59.29 b,,,doll_75.76,
212,doll_59.69 b,,,doll_31.63,
213,doll_59.64 b,,,doll_32.74,
214,doll_59.44 b,,,doll_54.68,
215,doll_59.78 b,,,doll_45.06,
216,doll_60.01 b,,,doll_13.52,
217,doll_60.53 b,,,doll_11.53,
218,doll_60.34 b,,,doll_76.91,
219,doll_61.02 b,,,doll_109.25,
220,doll_60.70 b,,,doll_140.17,
221,doll_61.13 b,,,doll_392.69,
222,doll_61.19 b,,,doll_54.32,
223,doll_61.48 b,,,doll_85.16,
224,doll_61.41 b,,,doll_51.21,
225,doll_61.92 b,,,doll_605.94,
226,doll_61.78 b,,,doll_10.42,
227,doll_62.28 b,,,doll_18.90,
