,Unnamed: 0,market_cap,revenue
141,141,doll_0.5502 b,doll_1.1 b
142,142,doll_0.5614 b,doll_1.1 b
143,143,doll_1.3 b,doll_1.1 b
144,144,doll_2.7 b,doll_1.1 b
145,145,doll_2.1 b,doll_1.1 b
146,146,doll_1.1 b,doll_1.1 b
147,147,doll_0.7562000000000001 b,doll_1.1 b
148,148,doll_2.0 b,doll_1.1 b
149,149,doll_1.2 b,doll_1.1 b
150,150,doll_3.3 b,doll_1.1 b
151,151,doll_4.6 b,doll_1.1 b
152,152,doll_1.7 b,doll_1.1 b
153,153,doll_6.4 b,doll_1.1 b
154,154,doll_0.2897 b,doll_1.1 b
155,155,doll_2.6 b,doll_1.1 b
156,156,doll_0.6427999999999999 b,doll_1.1 b
157,157,doll_5.2 b,doll_1.1 b
158,158,doll_11.4 b,doll_1.1 b
159,159,doll_0.452 b,doll_1.1 b
160,160,0,doll_1.1 b
161,161,doll_1.5 b,doll_1.1 b
162,162,doll_0.8927 b,doll_1.1 b
163,163,doll_3.3 b,doll_1.1 b
164,164,doll_4.0 b,doll_1.1 b
165,165,doll_1.0 b,doll_1.1 b
166,166,doll_0.1997 b,doll_1.1 b
167,167,doll_17.1 b,doll_1.1 b
168,168,doll_2.3 b,doll_1.1 b
169,169,doll_0.8977 b,doll_1.1 b
170,170,doll_5.0 b,doll_1.1 b
171,171,doll_1.8 b,doll_1.1 b
172,172,doll_2.0 b,doll_1.1 b
173,173,doll_1.2 b,doll_1.1 b
174,174,doll_2.8 b,doll_1.1 b
175,175,doll_0.7741 b,doll_1.1 b
176,176,doll_5.4 b,doll_1.1 b
177,177,doll_0.0886 b,doll_1.1 b
178,178,doll_0.14959999999999998 b,doll_1.1 b
179,179,doll_1.7 b,doll_1.1 b
180,180,doll_3.3 b,doll_1.1 b
181,181,doll_0.7305 b,doll_1.1 b
182,182,doll_4.4 b,doll_1.1 b
183,183,doll_3.0 b,doll_1.1 b
184,184,doll_2.1 b,doll_1.1 b
185,185,doll_1.2 b,doll_1.1 b
186,186,doll_0.8227000000000001 b,doll_1.1 b
187,187,doll_16.3 b,doll_1.1 b
188,188,doll_1.2 b,doll_1.1 b
189,189,doll_2.6 b,doll_1.1 b
190,190,doll_0.9454 b,doll_1.1 b
191,191,doll_1.1 b,doll_1.1 b
192,192,doll_1.3 b,doll_1.1 b
193,193,doll_2.6 b,doll_1.1 b
194,194,doll_0.2506 b,doll_1.1 b
195,195,doll_0.5542 b,doll_1.1 b
196,196,doll_1.1 b,doll_1.1 b
197,197,doll_3.5 b,doll_1.1 b
198,198,doll_6.6 b,doll_1.1 b
199,199,doll_1.4 b,doll_1.1 b
200,200,doll_1.1 b,doll_1.1 b
201,201,doll_0.2531 b,doll_1.1 b
202,202,doll_0.9056000000000001 b,doll_1.1 b
203,203,doll_0.8749 b,doll_1.1 b
204,204,doll_0.3832 b,doll_1.1 b
205,205,doll_20.1 b,doll_1.1 b
206,206,doll_0.039700000000000006 b,doll_1.1 b
207,207,doll_0.6617000000000001 b,doll_1.1 b
208,208,doll_0.32480000000000003 b,doll_1.1 b
209,209,doll_1.2 b,doll_1.1 b
210,210,doll_1.0 b,doll_1.1 b
211,211,doll_5.4 b,doll_1.1 b
212,212,doll_1.4 b,doll_1.1 b
213,213,doll_0.9259 b,doll_1.1 b
214,214,doll_3.1 b,doll_1.1 b
215,215,doll_0.21280000000000002 b,doll_1.1 b
216,216,doll_0.8857999999999999 b,doll_1.1 b
217,217,doll_0.6537000000000001 b,doll_1.1 b
218,218,doll_1.2 b,doll_1.1 b
219,219,0,doll_1.1 b
220,220,doll_2.4 b,doll_1.1 b
221,221,doll_12.6 b,doll_1.1 b
222,222,doll_3.7 b,doll_1.1 b
223,223,doll_18.6 b,doll_1.1 b
224,224,doll_5.3 b,doll_1.1 b
225,225,doll_2.2 b,doll_1.1 b
226,226,doll_0.22640000000000002 b,doll_1.1 b
227,227,doll_4.3 b,doll_1.1 b
228,228,doll_3.4 b,doll_1.1 b
229,229,doll_3.6 b,doll_1.1 b
230,230,doll_0.7627 b,doll_1.1 b
231,231,doll_0.8316 b,doll_1.1 b
232,232,doll_5.0 b,doll_1.1 b
233,233,doll_3.6 b,doll_1.1 b
234,234,doll_4.0 b,doll_1.1 b
235,235,doll_0.5336000000000001 b,doll_1.1 b
236,236,doll_0.2689 b,doll_1.1 b
237,237,doll_2.8 b,doll_1.1 b
238,238,doll_1.6 b,doll_1.1 b
239,239,doll_0.6557000000000001 b,doll_1.1 b
240,240,doll_2.5 b,doll_1.1 b
241,241,doll_0.6967000000000001 b,doll_1.1 b
242,242,doll_0.5507000000000001 b,doll_1.1 b
243,243,doll_0.8037000000000001 b,doll_1.1 b
