,revenue_2020_eu
798,doll_3.31 m
799,doll_72.5 m
800,doll_25.45 m
801,doll_45.62 m
802,doll_7.07 m
803,doll_2.25 m
804,doll_11.53 m
805,doll_2.4 m
806,doll_9.98 m
807,doll_33.9 m
808,doll_2.32 m
809,doll_15.14 m
810,doll_5.59 m
811,doll_3.11 m
812,doll_12.47 m
813,doll_4.29 m
814,doll_3.89 m
815,doll_2.12 m
816,doll_5.32 m
817,doll_2.83 m
818,doll_22.56 m
819,doll_20.48 m
820,doll_1.9 m
821,doll_2.41 m
822,doll_3.41 m
823,doll_42.53 m
824,doll_4.05 m
825,doll_10.26 m
826,doll_140.44 m
827,doll_18.1 m
828,doll_42.01 m
829,doll_2.09 m
830,doll_36.22 m
831,doll_9.31 m
832,doll_1.66 m
833,doll_108.76 m
834,doll_2.01 m
835,doll_18.76 m
836,doll_8.1 m
837,doll_55.56 m
838,doll_1.95 m
839,doll_3.04 m
840,doll_6.63 m
841,doll_1.51 m
842,doll_105.15 m
843,doll_6.63 m
844,doll_10.51 m
845,doll_1.87 m
846,doll_7.0 m
847,doll_4.04 m
848,doll_16.75 m
849,doll_11.26 m
850,doll_4.5 m
851,doll_2.89 m
852,doll_1.81 m
853,doll_6.44 m
854,doll_17.89 m
855,doll_1.64 m
856,doll_5.04 m
857,doll_80.07 m
858,doll_5.47 m
859,doll_3.39 m
860,doll_83.04 m
861,doll_4.08 m
862,doll_2.44 m
863,doll_11.83 m
864,doll_6.36 m
865,doll_4.99 m
866,doll_8.79 m
867,doll_1.51 m
868,doll_3.87 m
869,doll_11.28 m
870,doll_7.84 m
871,doll_4.49 m
872,doll_3.02 m
873,doll_3.45 m
874,doll_15.08 m
875,doll_2.79 m
876,doll_30.27 m
877,doll_31.04 m
878,doll_2.32 m
879,doll_9.32 m
880,doll_34.41 m
881,doll_1.58 m
882,doll_2.84 m
883,doll_22.42 m
884,doll_16.26 m
885,doll_3.96 m
886,doll_2.2 m
887,doll_13.17 m
888,doll_5.5 m
889,doll_2.23 m
890,doll_2.15 m
891,doll_83.98 m
892,doll_9.64 m
893,doll_33.08 m
894,doll_16.5 m
895,doll_4.07 m
896,doll_6.97 m
897,doll_25.36 m
898,doll_4.54 m
899,doll_1.58 m
900,doll_2.73 m
901,doll_10.37 m
902,doll_4.06 m
903,doll_68.01 m
904,doll_6.01 m
905,doll_2.24 m
906,doll_6.2 m
907,doll_3.56 m
908,doll_2.36 m
909,doll_3.19 m
910,doll_14.55 m
911,doll_92.8 m
912,doll_4.97 m
913,doll_16.69 m
914,doll_3.35 m
915,doll_4.02 m
916,doll_78.77 m
917,doll_5.39 m
918,doll_5.19 m
919,doll_18.62 m
920,doll_37.61 m
921,doll_9.51 m
922,doll_4.65 m
923,doll_20.39 m
924,doll_1.76 m
925,doll_14.11 m
926,doll_2.38 m
927,doll_2.13 m
928,doll_1.88 m
929,doll_13.44 m
930,doll_1.88 m
931,doll_22.84 m
932,doll_6.67 m
933,doll_15.6 m
934,doll_2.63 m
935,doll_4.64 m
936,doll_1.8 m
937,doll_3.91 m
938,doll_9.25 m
939,doll_29.08 m
940,doll_12.73 m
941,doll_38.96 m
942,doll_18.04 m
943,doll_36.96 m
944,doll_4.41 m
945,doll_6.3 m
946,doll_3.25 m
947,doll_2.41 m
948,doll_2.69 m
949,doll_5.76 m
950,doll_7.45 m
951,doll_4.61 m
952,doll_16.85 m
953,doll_3.07 m
954,doll_6.38 m
955,doll_42.0 m
956,doll_11.65 m
957,doll_2.8 m
958,doll_1.77 m
959,doll_23.58 m
960,doll_6.3 m
961,doll_4.97 m
962,doll_4.85 m
963,doll_1.67 m
964,doll_24.87 m
965,doll_33.14 m
966,doll_10.75 m
967,doll_37.39 m
968,doll_74.72 m
969,doll_5.68 m
970,doll_1.55 m
971,doll_16.2 m
972,doll_7.7 m
973,doll_2.59 m
974,doll_8.86 m
975,doll_62.95 m
976,doll_1.71 m
977,doll_2.6 m
978,doll_23.67 m
979,doll_9.41 m
980,doll_11.67 m
981,doll_2.7 m
982,doll_3.36 m
983,doll_17.29 m
984,doll_5.3 m
985,doll_13.22 m
986,doll_50.74 m
987,doll_2.35 m
988,doll_56.05 m
989,doll_3.41 m
990,doll_19.3 m
991,doll_21.9 m
992,doll_3.53 m
993,doll_2.74 m
994,doll_58.14 m
995,doll_2.09 m
996,doll_1.73 m
997,doll_30.97 m
998,doll_18.85 m
999,doll_24.74 m
1000,doll_97.61 m
1001,doll_57.32 m
1002,doll_568.32 m
1003,doll_316.73 m
1004,doll_56.11 m
1005,doll_13.17 m
1006,doll_18.73 m
1007,doll_47.6 m
1008,doll_7.34 m
1009,doll_24.48 m
1010,doll_41.21 m
1011,doll_9.02 m
1012,doll_9.03 m
1013,doll_12.16 m
1014,doll_11.39 m
1015,doll_21.46 m
1016,doll_7.23 m
1017,doll_14.34 m
1018,doll_6.85 m
1019,doll_11.58 m
1020,doll_30.89 m
1021,doll_9.01 m
1022,doll_8.38 m
1023,doll_16.14 m
1024,doll_13.89 m
1025,doll_6.24 m
1026,doll_6.46 m
1027,doll_5.19 m
1028,doll_8.04 m
1029,doll_121.31 m
1030,doll_11.3 m
1031,doll_4.54 m
1032,doll_3.58 m
1033,doll_210.56 m
1034,doll_5.82 m
1035,doll_56.02 m
1036,doll_4.18 m
1037,doll_4.45 m
1038,doll_5.93 m
1039,doll_5.72 m
1040,doll_4.86 m
1041,doll_2.55 m
1042,doll_2.43 m
1043,doll_8.95 m
1044,doll_17.16 m
1045,doll_2.5 m
1046,doll_16.48 m
1047,doll_8.59 m
1048,doll_3.84 m
1049,doll_7.78 m
1050,doll_25.9 m
1051,doll_13.31 m
1052,doll_2.13 m
1053,doll_64.22 m
1054,doll_4.75 m
1055,doll_11.66 m
1056,doll_7.44 m
1057,doll_4.01 m
1058,doll_5.14 m
1059,doll_6.95 m
1060,doll_9.79 m
1061,doll_15.37 m
1062,doll_35.94 m
1063,doll_6.63 m
1064,doll_6.39 m
1065,doll_14.18 m
1066,doll_57.67 m
1067,doll_109.25 m
1068,doll_2.21 m
1069,doll_4.0 m
1070,doll_5.16 m
1071,doll_1.83 m
1072,doll_2.21 m
1073,doll_20.15 m
1074,doll_40.81 m
1075,doll_4.46 m
1076,doll_11.76 m
1077,doll_4.9 m
1078,doll_3.87 m
1079,doll_4.84 m
1080,doll_10.02 m
1081,doll_2.12 b
1082,doll_5.64 m
1083,doll_3.5 m
1084,doll_7.29 m
1085,doll_3.69 m
1086,doll_23.8 m
1087,doll_2.61 m
1088,doll_107.86 m
1089,doll_12.57 m
1090,doll_5.76 m
1091,doll_2.18 m
1092,doll_74.07 m
1093,doll_1.53 m
1094,doll_3.32 m
1095,doll_1.88 m
1096,doll_3.06 m
1097,doll_9.19 m
1098,doll_2.27 m
1099,doll_3.86 m
1100,doll_11.53 m
1101,doll_8.73 m
1102,doll_2.85 m
1103,doll_6.89 m
1104,doll_5.47 m
1105,doll_3.79 m
1106,doll_1.72 m
1107,doll_79.3 m
1108,doll_3.03 m
1109,doll_15.88 m
1110,doll_1.63 m
1111,doll_7.66 m
1112,doll_2.68 m
1113,doll_10.05 m
1114,doll_1.6 m
1115,doll_26.89 m
1116,doll_2.51 m
1117,doll_1.61 m
1118,doll_2.91 m
1119,doll_6.71 m
1120,doll_8.47 m
1121,doll_2.12 m
1122,doll_6.69 m
1123,doll_1.83 m
1124,doll_9.92 m
1125,doll_3.33 m
1126,doll_24.72 m
1127,doll_16.01 m
1128,doll_3.23 m
1129,doll_8.87 m
1130,doll_28.0 m
1131,doll_5.74 m
1132,doll_3.73 m
1133,doll_7.64 m
1134,doll_6.01 m
1135,doll_3.6 m
1136,doll_4.89 m
1137,doll_17.58 m
1138,doll_2.2 m
1139,doll_6.84 m
1140,doll_6.62 m
1141,doll_221.39 m
1142,doll_1.67 m
1143,doll_22.14 m
1144,doll_15.49 m
1145,doll_2.02 m
1146,doll_3.0 m
1147,doll_1.72 m
1148,doll_5.64 m
1149,doll_12.79 m
1150,doll_43.81 m
1151,doll_2.52 m
1152,doll_1.57 m
1153,doll_2.03 m
1154,doll_26.63 m
1155,doll_29.62 m
1156,doll_20.83 m
1157,doll_2.27 m
1158,doll_18.2 m
1159,doll_72.04 m
1160,doll_2.71 m
1161,doll_11.5 m
1162,doll_5.02 m
1163,doll_66.15 m
1164,doll_4.05 m
1165,doll_19.45 m
1166,doll_4.44 m
1167,doll_6.8 m
1168,doll_3.46 m
1169,doll_4.71 m
1170,doll_4.86 m
1171,doll_2.81 m
1172,doll_2.27 m
1173,doll_9.39 m
1174,doll_26.53 m
1175,doll_8.61 m
1176,doll_2.11 m
1177,doll_11.12 m
1178,doll_156.62 m
1179,doll_22.39 m
1180,doll_4.87 m
1181,doll_2.41 m
1182,doll_2.6 m
1183,doll_11.59 m
1184,doll_1.98 m
1185,doll_4.88 m
1186,doll_5.59 m
1187,doll_2.24 m
1188,doll_3.4 m
1189,doll_18.03 m
1190,doll_17.06 m
1191,doll_15.25 m
1192,doll_18.94 m
1193,doll_2.46 m
1194,doll_2.18 m
1195,doll_2.63 m
1196,doll_1.58 m
1197,doll_11.09 m
1198,doll_3.94 m
1199,doll_6.64 m
1200,doll_210.95 m
1201,doll_12.68 m
1202,doll_60.07 m
1203,doll_6.74 m
1204,doll_8.98 m
1205,doll_1.97 m
1206,doll_50.72 m
1207,doll_40.31 m
1208,doll_3.52 m
1209,doll_10.5 m
1210,doll_70.18 m
1211,doll_9.02 m
1212,doll_155.6 m
1213,doll_6.32 m
1214,doll_19.42 m
1215,doll_103.63 m
1216,doll_77.76 m
1217,doll_3.92 m
1218,doll_3.96 m
1219,doll_1.75 m
1220,doll_30.41 m
1221,doll_3.92 m
1222,doll_4.25 m
1223,doll_4.07 m
1224,doll_2.13 m
1225,doll_1.66 m
1226,doll_5.74 m
1227,doll_57.38 m
1228,doll_11.86 m
1229,doll_15.65 m
1230,doll_63.88 m
1231,doll_19.43 m
1232,doll_197.26 m
1233,doll_4.11 m
1234,doll_20.2 m
1235,doll_7.32 m
1236,doll_2.16 m
1237,doll_6.56 m
1238,doll_4.15 m
1239,doll_15.87 m
1240,doll_2.5 m
1241,doll_7.65 m
1242,doll_4.53 m
1243,doll_2.57 m
1244,doll_2.42 m
1245,doll_2.99 m
1246,doll_14.94 m
1247,doll_4.8 m
