,name,industry,sector,headquarters,founded,type,founders,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
4004,Digea,Broadcast,Digital Provider,Athens,2009,,,,,,,,,
4005,Digital Union,Consumer services,Media,Athens,2008,,,,,,,,,
4006,Dodekanisos Seaways,Industrials,Marine transportation,Rhodes,1990,,,,,,,,,
4007,DryShips Inc,Industrials,Marine transportation,Athens,2004,,,,,,,,,
4008,EAS,Industrials,Defense,Athens,2004,,,,,,,,,
4009,Egnatia Odos S.A.,Industrials,Transportation services,Athens,1997,,,,,,,,,
4010,ELCO,Consumer goods,Household goods,Lykovrysi,1960,,,,,,,,,
4011,Epsa,Consumer goods,Soft drinks,Pilio,1924,,,,,,,,,
4012,Elefsis Shipyards,Industrials,Heavy construction,Eleusis,1962,,,,,,,,,
4013,ELFE,Basic materials,Speciality chemicals,Athens,1961,,,,,,,,,
4014,,,,,,,,,,,,,,
4015,Ellinair,Consumer services,Airlines,Thessaloniki,2013,,,,,,,,,
4016,Energean Oil & Gas,Oil & gas,Exploration & production,Maroussi,2007,,,,,,,,,
4017,Open TV,Consumer services,Broadcasting & entertainment,Koropi,1990,,,,,,,,,
4018,Eskimo (Feidakis Group),Consumer goods,Household goods,Athens,1958,,,,,,,,,
4019,Estia Newspaper S.A.,Consumer services,Media,Athens,1876,,,,,,,,,
4020,ETEM,Basic materials,Aluminium,Athens,1971,,,,,,,,,
4021,Eurobank Ergasias,Financials,Banks,Athens,1990,,,,,,,,,
4022,European Reliance,Financials,Full line insurance,Athens,1977,,,,,,,,,
4023,European Seaways,Industrials,Marine transportation,Athens,1990,,,,,,,,,
4024,Euroseas,Industrials,Marine transportation,Maroussi,1917,,,,,,,,,
4025,Evga S.A.,Consumer goods,Food products,Athens,1934,,,,,,,,,
4026,EYDAP,Utilities,Water,Galatsi,1980,,,,,,,,,
4027,Fage,Consumer services,Food & Beverages,Strassen,1926,,,,,,,,,
4028,Fast Ferries,Industrials,Marine transportation,Piraeus,1998,,,,,,,,,
4029,Flocafé,Consumer services,Restaurants & bars,Athens,1994,,,,,,,,,
4030,Finos Film,Consumer services,Film production,Athens,1943,,,,,,,,,
4031,Fix Brewery,Consumer goods,Brewers,Athens,1864,,,,,,,,,
4032,,,,,,,,,,,,,,
4033,Forthnet,Telecommunications,Fixed line telecom.,Athens,1995,,,,,,,,,
4034,Frigoglass,Industrial,Commercial Refrigeration,Kifissia,1993,,,,,,,,,
4035,GainJet Aviation,Consumer services,Airlines,Athens,2006,,,,,,,,,
4036,Galaxias,Consumer services,Food retailers,Athens,1982,,,,,,,,,
4037,,,,,,,,,,,,,,
4038,Germanos Group,Industrials,Electrical components,Athens,1980,,,,,,,,,
4039,Golden Star Ferries,Industrials,Marine transportation,Andros,2011,,,,,,,,,
4040,Goody's Burger House,Consumer services,Travel & leisure,Athens,1975,,,,,,,,,
4041,Grecotel,Consumer services,Hospitality,Rethymno,-,,,,,,,,,
4042,Greek Internet Exchange,Technology,Internet,Athens,2009,,,,,,,,,
4043,Greek Reporter,Consumer services,Media,-,2008,,,,,,,,,
4044,Greek Wine Cellars,Consumer goods,Beverages,Markopoulo,-,,,,,,,,,
4045,Green Cola Company,Consumer services,Food & Beverages,Orestiada,1959,,,,,,,,,
4046,Green Cookie Records,Consumer services,Media,Thessaloniki,-,,,,,,,,,
4047,Haitoglou Bros,Consumer goods,Food products,Athens,1924,,,,,,,,,
4048,Halyvourgiki Steel,Basic materials,Iron & steel,Athens,1937,,,,,,,,,
4049,Heaven Music,Consumer services,Media,Athens,2001,,,,,,,,,
4050,Hellas Sat,Telecommunications,Space telecommunications,Nicosia,2003,,,,,,,,,
4051,Hellenic Aerospace Industry,Industrials,Aerospace,Tanagra,1975,,,,,,,,,
4052,Hellenic Broadcasting Corporation,Consumer services,Broadcasting,Athens,1938,,,,,,,,,
4053,Hellenic Civil Aviation Authority,Consumer services,Ait traffic management,Glyfada,1931,,,,,,,,,
4054,Hellenic Duty Free Shops,Consumer services,Broadline retailers,Agios Stefanos,1979,,,,,,,,,
4055,Hellenic Electricity Distribution Network Operator,Utilities,Electricity,Athens,2009,,,,,,,,,
4056,Hellenic Petroleum,Oil & gas,Exploration & production,Athens,1958,,,,,,,,,
4057,,,,,,,,,,,,,,
4058,Hellenic Railways Organisation,Infrastructure,Railway,Athens,1971,,,,,,,,,
4059,Asset Development Fund,Financials,Real estate holding,Athens,2011,,,,,,,,,
4060,Hellenic Seaplanes,Consumer services,Travel & Leisure,Athens,2013,,,,,,,,,
4061,Hellenic Seaways,Industrials,Marine transportation,Athens,2005,,,,,,,,,
4062,Hellenic Shipyards Co.,Industrials,Industrial transportation,Skaramagas,1957,,,,,,,,,
4063,Hellenic Space Organization,Technology,Space,Kallithea,2018,,,,,,,,,
4064,Hellenic Sugar Industry,Consumer goods,Food producers,Thessaloniki,1960,,,,,,,,,
4065,Hellenic Vehicle Industry,Industrials,Commercial vehicles,Thessaloniki,1972,,,,,,,,,
4066,Heracles General Cement,Industrials,Building materials & fixtures,Athens,1911,,,,,,,,,
4067,Heron S.A.,Utilities,Conventional electricity,Athens,2000,,,,,,,,,
4068,Hondos Center,Consumer services,Specialty retailers,Athens,1967,,,,,,,,,
4069,Hotel Grande Bretagne,Consumer services,Hotels,Athens,1874,,,,,,,,,
4070,IANOS,Consumer services,Publishing,Thessaloniki,1984,,,,,,,,,
4071,I Avgi,Consumer services,Media,Athens,1952,,,,,,,,,
4072,Ideal Bikes,Consumer goods,Recreational products,Patras,1977,,,,,,,,,
4073,IMC Technologies,Technology,Software,Athens,2004,,,,,,,,,
4074,Interbalkan Medical Center,Consumer services,Health,Thessaloniki,2000,,,,,,,,,
4075,InternetQ,Technology,Software & computer,London,2000,,,,,,,,,
4076,Intracom,Technology,Software,Athens,1977,,,,,,,,,
4077,,,,,,,,,,,,,,
4078,Intralot,Consumer services,Gambling,Athens,1992,,,,,,,,,
4079,Levante Ferries,Consumer goods,Food products,Zante,2015,,,,,,,,,
4080,Izola (Dimitriou Group),Consumer goods,Household goods,Athens,1930,,,,,,,,,
4081,Kefalonian Lines,Industrials,Marine transportation,Cephalonia,2013,,,,,,,,,
4082,IQsoft,Technology,Software,Ioannina,-,,,,,,,,,
4083,Jumbo S.A.,Consumer goods,Toys,Athens,1986,,,,,,,,,
4084,Karelia Fine Tobaccos,Consumer goods,Tobacco,Kalamata,1888,,,,,,,,,
4085,Kathimerini Publishing S.A,Consumer services,Media,Neo Phaliro,1919,,,,,,,,,
4086,,,,,,,,,,,,,,
4087,Korres,Health care,Cosmetics,Athens,1996,,,,,,,,,
4088,Kostoulas,Consumer services,Waste Management,Athens,1986,,,,,,,,,
4089,Kotsovolos,Consumer services,Electronics,Athens,1950,,,,,,,,,
4090,,,,,,,,,,,,,,
4091,LAGIE,Financials,Energy Investment,Athens,2011,,,,,,,,,
4092,Lambrakis Press Group,Consumer services,Publishing,Athens,1922,,,,,,,,,
4093,,,,,,,,,,,,,,
4094,Lavipharm,Health care,Pharmaceuticals,Athens,1911,,,,,,,,,
4095,Levante Ferries,Industrials,Marine transportation,Athens,2014,,,,,,,,,
4096,Libra Group,Conglomerates,–,New York City,2003,,,,,,,,,
4097,Lobby Music,Consumer services,Media,Athens,2010,,,,,,,,,
4098,Loux,Consumer goods,Soft drinks,Patras,1950,,,,,,,,,
4099,Majestic International Cruises,Industrials,Marine transportation,Athens,1980,,,,,,,,,
4100,Makedonia TV,Consumer services,Broadcasting,Thessaloniki,1991,,,,,,,,,
4101,Malamatina,Consumer goods,Beverages,Alexandroupoli,1895,,,,,,,,,
4102,,,,,,,,,,,,,,
4103,MarineTraffic,Technology,Software,Athens,2007,,,,,,,,,
4104,Masoutis,Consumer services,Food retailers,Thessaloniki,1976,,,,,,,,,
4105,,,,,,,,,,,,,,
4106,Metaxa,Consumer goods,Distillers & vintners,Athens,1888,,,,,,,,,
4107,Metka,Industrials,Heavy construction,Athens,1962,,,,,,,,,
4108,Metro S.A.,Consumer services,Wholesalers,Metamorfosi,1976,,,,,,,,,
4109,Mevgal,Consumer goods,Food products,Koufalia,1950,,,,,,,,,
4110,Mikel Coffee Company,Consumer services,Restaurants & bars,Larissa,2008,,,,,,,,,
4111,Minoan Lines,Industrials,Marine transportation,Heraclion,1972,,,,,,,,,
4112,Minos Wines,Consumer goods,Beverages,Crete,1932,,,,,,,,,
4113,Misko,Consumer goods,Food products,Athens,1927,,,,,,,,,
4114,Mythos Brewery,Consumer goods,Beverages,Sindos,1968,,,,,,,,,
4115,Minos EMI,Consumer services,Media,Athens,1931,,,,,,,,,
4116,MLS Innovation S.A.,Technology,Software,Thessaloniki,1989,,,,,,,,,
4117,Moreas Motorway S.A.,Industrials,Transportation services,Athens,2006,,,,,,,,,
4118,Motomarine,Industrials,Commercial vehicles,Koropi,1962,,,,,,,,,
4119,Motor Oil Hellas,Oil & gas,Exploration & production,Athens,1970,,,,,,,,,
4120,Mytilineos Holdings,Conglomerates,–,Maroussi,1990,,,,,,,,,
4121,Naftemporiki,Consumer services,Media,Athens,1924,,,,,,,,,
4122,Namco,Consumer goods,Automobiles & parts,Thessaloniki,1972,,,,,,,,,
4123,Natech,Technology,Software,Ioannina,1983,,,,,,,,,
4124,National Bank of Greece,Financials,Banks,Athens,1841,,,,,,,,,
4125,,,,,,,,,,,,,,
4126,Neorion,Industrials,Commercial vehicles,Ermoupolis,1820,,,,,,,,,
4127,Mega Channel,Consumer services,Media,Athens,1989,,,,,,,,,
4128,Nipponia,Consumer goods,Automobiles & parts,Athens,1992,,,,,,,,,
4129,National Hellenic Research Foundation,Technology,Research,Athens,1958,,,,,,,,,
4130,Nick Silver Pickups,Industrials,Mechanical equipment,Athens,-,,,,,,,,,
4131,Ocean Rig,Oil & gas,Exploration & production,Athens,1996,,,,,,,,,
4132,Optima bank,Financials,Banks,Athens,2000,,,,,,,,,
4133,Olympia Odos consortium,Industrials,Transportation services,Athens,2008,,,,,,,,,
4134,Olympic Air,Consumer services,Airlines,Spata,2009,,,,,,,,,
4135,Olympos,Consumer services,Food & Beverages,Larissa,1965,,,,,,,,,
4136,Olympus Airways,Consumer services,Airlines,Athens,2014,,,,,,,,,
4137,OPAP,Consumer services,Gambling,Athens,1958,,,,,,,,,
4138,Optima bank,Financials,Banks,Athens,2014,,,,,,,,,
4139,Orient Bikes,Consumer goods,Recreational products,Larissa,1987,,,,,,,,,
4140,OTE,Telecommunications,Fixed line telecom.,Maroussi,1949,,,,,,,,,
4141,OTEGlobe,Telecommunications,Broadband and Internet,Athens,2000,,,,,,,,,
4142,Ouzo Plomari,Consumer goods,Beverages,Plomari,1894,,,,,,,,,
4143,Papadopoulos,Consumer goods,Food products,Athens,1930,,,,,,,,,
4144,Papastratos,Consumer goods,Tobacco,Aspropyrgos,1830,,,,,,,,,
4145,Parachute Type foundry,Technology,Type foundry,Athens,2001,,,,,,,,,
4146,PAS Giannina F.C.,Consumer services,Sports,Ioannina,1966,,,,,,,,,
4147,Peiraiki,Consumer goods,Beverages,Drapetsona,-,,,,,,,,,
4148,Petropoulos A.E.B.E.,Consumer goods,Automobiles & parts,Thessaloniki,1922,,,,,,,,,
4149,Piraeus Bank,Financials,Banks,Athens,1916,,,,,,,,,
4150,Porto Carras,Consumer services,Hospitality,Sithonia,1973,,,,,,,,,
4151,Pouliadis Associates Corporation,Technology,Software & computer,Athens,1980-2006,,,,,,,,,
4152,Prapopoulos Bros s.a.,Industrials,Mechanical equipment,Patras,1886,,,,,,,,,
4153,Profile Systems and Software,Technology,Software & computer,Athens,1990,,,,,,,,,
4154,,,,,,,,,,,,,,
4155,Psichogios Publications,Consumer services,Publishing,Athens,1979,,,,,,,,,
4156,Public Power Corporation,Oil & gas,Alternative energy,Athens,1950,,,,,,,,,
4157,Pyramis,Consumer goods,Household goods,Thessaloniki,1959,,,,,,,,,
4158,RCH,Consumer goods,Automobiles & parts,Katerini,2007,,,,,,,,,
4159,Research Acad. Computer Tech. Institute,Technology,Research,Patras,1985,,,,,,,,,
4160,Brink's,Consumer goods,Beverages,Rethymno,2001,,,,,,,,,
4161,ROAR! Rock of Angels Records,Consumer services,Media,Angelochori,2012,,,,,,,,,
4162,Rokas Constructions S.A.,Industrials,Heavy construction,Athens,1958,,,,,,,,,
4163,Santorini Brewing Company,Consumer goods,Beverages,Santorini,2011,,,,,,,,,
4164,Saracakis,Consumer goods,Automobiles & parts,Athens,1922,,,,,,,,,
4165,Seajets,Industrials,Marine transportation,Piraeus,1989,,,,,,,,,
4166,,,,,,,,,,,,,,
4167,Sergal,Consumer services,Food & Beverages,Serres,1964,,,,,,,,,
4168,Sfakianakis,Consumer goods,Automobiles & parts,Athens,1957,,,,,,,,,
4169,Skai Group,Consumer services,Media,Piraeus,1992,,,,,,,,,
4170,Sky Express,Consumer services,Airlines,Athens,2005,,,,,,,,,
4171,Sleaszy Rider Records,Consumer services,Media,Athens,1999,,,,,,,,,
4172,Social Insurance Institute,Financials,Full line insurance,Athens,1934,,,,,,,,,
4173,Softex,Consumer goods,Nondurable products,Athens,1936,,,,,,,,,
4174,Space Internetworking Center,Technology,Research,Xanthi,2010,,,,,,,,,
4175,Spinalonga Records,Consumer services,Media,Athens,2004,,,,,,,,,
4176,Star Channel,Consumer services,Media,Athens,1993,,,,,,,,,
4177,State Aircraft Factory,Industrials,Aerospace & defense,Athens,1917,,,,,,,,,
4178,Superfast Ferries,Industrials,Industrial transportation,Athens,1993,,,,,,,,,
4179,Temax,Industrials,Industrial engineering,Athens,1925,,,,,,,,,
4180,Terkenlis,Consumer goods,Food products,Thessaloniki,1948,,,,,,,,,
4181,Terna Energy,Oil & Gas,Alternative energy,Athens,1997,,,,,,,,,
4182,The Spicy Effect,Consumer services,Media,Athens,2009,,,,,,,,,
4183,Thessaloniki Metro,Consumer services,Travel & leisure,Thessaloniki,2020,,,,,,,,,
4184,Thessaloniki Waterbus,Consumer goods,Food products,Thessaloniki,-,,,,,,,,,
4185,Theon Sensors,Industrials,Defense,Athens,2004,,,,,,,,,
4186,Titan Cement,Industrials,Construction & materials,Brussels,1902,,,,,,,,,
4187,TrainOSE,Consumer services,Travel & leisure,Athens,2005,,,,,,,,,
4188,Tropical,Consumer goods,Automobiles & parts,Athens,1976,,,,,,,,,
4189,Tsantali,Consumer goods,Beverages,Agios Pavlos,1938,,,,,,,,,
4190,Variety Cruises,Industrials,Marine transportation,Athens,2006,,,,,,,,,
4191,Ventouris Ferries,Industrials,Marine transportation,Piraeus,1978,,,,,,,,,
4192,Vegas Oil and Gas,Oil & gas,Exploration & production,Athens,2003,,,,,,,,,
4193,Vianex S.A.,Health care,Biotechnology,Athens,1971,,,,,,,,,
4194,Viohalco,Basic materials,Industrial metals & mining,Brussels,1937,,,,,,,,,
4195,Viva Services,Consumer services,Technology,Athens,1998,,,,,,,,,
4196,Vivartia,Consumer goods,Food producers,Athens,1968,,,,,,,,,
4197,Vodafone Greece,Telecommunications,Mobile telecommunications,Chalandri,1992,,,,,,,,,
4198,Watt+Volt,Utilities,Conventional electricity,Athens,2011,,,,,,,,,
4199,WIND Hellas,Telecommunications,Fixed line telecom.,Athens,1992,,,,,,,,,
4200,Zante Ferries,Industrials,Marine transportation,Piraeus,1991,,,,,,,,,
4201,,,,,,,,,,,,,,
4202,Association of Hungarian Record Companies,Consumer services,Broadcasting & entertainment,Budapest,1992,,,,,,,,,
4203,Balabit,Technology,Computer services,Budapest,2000,,,,,,,,,
4204,BKV Zrt.,Consumer services,Travel & tourism,Budapest,1968,,,,,,,,,
4205,Borsod Brewery,Consumer goods,Brewers,Bőcs,1969,,,,,,,,,
4206,BorsodChem,Basic materials,Specialty chemicals,Budapest,1949,,,,,,,,,
4207,Budapest Aircraft Service,Consumer services,Airlines,Budapest,1991,,,,,,,,,
4208,CBA,Consumer services,Food retailers & wholesalers,Alsónémedi,1992,,,,,,,,,
4209,,,,,,,,,,,,,,
4210,CIB Bank,Financials,Banks,Budapest,1979,,,,,,,,,
4211,,,,,,,,,,,,,,
4212,CityLine Hungary,Consumer services,Airlines,Vecsés,2003,,,,,,,,,
4213,CLS Music,Consumer services,Broadcasting & entertainment,Budapest,2002,,,,,,,,,
4214,,,,,,,,,,,,,,
4215,Corvus Hungary,Industrials,Aerospace,Ballószög,2011,,,,,,,,,
4216,,,,,,,,,,,,,,
4217,Danubius Hotels Group,Consumer services,Hotels,Budapest,1972,,,,,,,,,
4218,,,,,,,,,,,,,,
4219,,,,,,,,,,,,,,
4220,,,,,,,,,,,,,,
4221,FHB Mortgage Bank,Financials,Banks,Budapest,1997,,,,,,,,,
4222,Ganz Works,Consumer goods,Automobiles,Budapest,1844,,,,,,,,,
4223,Richter Gedeon Co.,Health care,Pharmaceuticals,Budapest,1901,,,,,,,,,
4224,Gramy Records,Consumer services,Broadcasting & entertainment,Budapest,1999,,,,,,,,,
4225,Graphisoft,Technology,Software,Budapest,1982,,,,,,,,,
4226,Gundel,Consumer services,Restaurants & bars,Budapest,1910,,,,,,,,,
4227,Győri Keksz,Consumer goods,Food products,Győr,1880,,,,,,,,,
4228,,,,,,,,,,,,,,
4229,Hell Energy,Consumer goods,Food & beverage,Miskolc,2006,,,,,,,,,
4230,Herend Porcelain Manufactory,Consumer goods,Durable household products,Herend,1826,,,,,,,,,
4231,Hungarian National Bank,Financials,Banks,Budapest,1924,,,,,,,,,
4232,Hungarian State Railways,Industrials,Railroads,Budapest,1869,,,,,,,,,
4233,Hungaroton,Consumer services,Broadcasting & entertainment,Budapest,1951,,,,,,,,,
4234,Hunnia Film Studio,Consumer services,Broadcasting & entertainment,Budapest,?,,,,,,,,,
4235,Ikarus Bus,Industrials,Commercial vehicles & trucks,Budapest,1895,,,,,,,,,
4236,International Training Center for Bankers,Financials,Banks,Budapest,1988,,,,,,,,,
4237,Invictus Games,Technology,Software,Debrecen,2000,,,,,,,,,
4238,IP Systems,Technology,Software,Budapest,2008,,,,,,,,,
4239,,,,,,,,,,,,,,
4240,K&H Bank,Financials,Banks,Budapest,1987,,,,,,,,,
4241,,,,,,,,,,,,,,
4242,Magyar Posta,Industrials,Delivery services,Budapest,1867,,,,,,,,,
4243,,,,,,,,,,,,,,
4244,MAL Hungarian Aluminium,Basic materials,Aluminum,Ajka,1995,,,,,,,,,
4245,,,,,,,,,,,,,,
4246,,,,,,,,,,,,,,
4247,MKB Bank,Financials,Banks,Budapest,1950,,,,,,,,,
4248,MOL Group,Oil & gas,Exploration & production,Budapest,1957,,,,,,,,,
4249,MTVA,Consumer services,Broadcasting & entertainment,Budapest,2011,,,,,,,,,
4250,MVK Zrt.,Consumer services,Travel & tourism,Miskolc,1954,,,,,,,,,
4251,,,,,,,,,,,,,,
4252,NeocoreGames,Technology,Software,Budapest,2005,,,,,,,,,
4253,Oncotherm,Health care,Medical equipment,Budapest,1988,,,,,,,,,
4254,Organica Technologies,Utilities,Water,Budapest,1998,,,,,,,,,
4255,Orion Electronics,Industrials,Electronic equipment,Budapest,1913,,,,,,,,,
4256,OTP Bank,Financials,Banks,Budapest,1949,,,,,,,,,
4257,,,,,,,,,,,,,,
4258,Pannonia Film Studio,Consumer services,Broadcasting & entertainment,Budapest,1956,,,,,,,,,
4259,Panrusgáz,Oil & gas,Exploration & production,Budapest,1994,,,,,,,,,
4260,Pécs Brewery,Consumer goods,Brewers,Pécs,1848,,,,,,,,,
4261,Pick Szeged,Consumer goods,Food products,Szeged,1869,,,,,,,,,
4262,Prezi,Technology,Software,Budapest,2009,,,,,,,,,
4263,Puli Space Technologies,Industrials,Aerospace,Budapest,2010,,,,,,,,,
4264,Rába,Consumer goods,Automobiles,Győr,1896,,,,,,,,,
4265,Scarab Research,Technology,Software,Budapest,2009,,,,,,,,,
4266,State Printing Company,Consumer services,Publishing,Budapest,1851,,,,,,,,,
4267,Szerencsejáték Zrt.,Consumer services,Gambling,Budapest,1991,,,,,,,,,
4268,Takarékbank,Financials,Banks,Budapest,1989,,,,,,,,,
4269,ThalesNano,Industrials,Electronic equipment,Budapest,2002,,,,,,,,,
4270,Tisza Cipő,Consumer goods,Clothing & accessories,Martfű,1942,,,,,,,,,
4271,Törley,Consumer goods,Distillers & vintners,Budapest,1882,,,,,,,,,
4272,Travel Service,Consumer services,Airlines,Budapest,2001,,,,,,,,,
4273,TriGránit,Financials,Real estate holding & development,Budapest,1997,,,,,,,,,
4274,,,,,,,,,,,,,,
4275,Turner Broadcasting System Hungary,Consumer services,Broadcasting & entertainment,Budapest,?,,,,,,,,,
4276,,,,,,,,,,,,,,
4277,Videoton,Consumer goods,Consumer electronics,Székesfehérvár,1938,,,,,,,,,
4278,VirusBuster,Technology,Computer services,Budapest,1997,,,,,,,,,
4279,,,,,,,,,,,,,,
4280,Wizz Air,Consumer services,Airlines,Budapest,2003,,,,,,,,,
4281,Zen Studios,Technology,Software,Budapest,2003,,,,,,,,,
4282,Zsolnay,Consumer goods,Durable household products,Pécs,1853,,,,,,,,,
4283,Zwack,Consumer goods,Distillers & vintners,Budapest,1790,,,,,,,,,
4284,,,,,,,,,,,,,,
4285,Abrakebabra Investments,Consumer services,Food Retailers & Wholesalers,Dublin,1982,,,,,,,,,
4286,Accenture,Industrials,Business support services,Dublin,1989,,,,,,,,,
4287,,,,,,,,,,,,,,
4288,,,,,,,,,,,,,,
4289,AerCap,Industrials,Transport,Dublin,2006,,,,,,,,,
4290,Aircoach,Consumer services,Travel & tourism,Dublin,1999,,,,,,,,,
4291,,,,,,,,,,,,,,
4292,Allied Irish Banks (AIB),Financials,Banks,Dublin,1966,,,,,,,,,
4293,An Post,Industrials,Delivery services,Dublin,1984,,,,,,,,,
4294,Apache Pizza,Consumer services,Food Retailers & Wholesalers,Dublin,2006,,,,,,,,,
4295,Aptiv,Industrials,Automotive,Dublin,1994,,,,,,,,,
4296,,,,,,,,,,,,,,
4297,Baltimore Technologies,Technology,Internet,Dublin,1976,,,,,,,,,
4298,Bank of Ireland,Financials,Banks,Dublin,1783,,,,,,,,,
4299,Barry's Tea,Consumer goods,Beverages,Cork,1901,,,,,,,,,
4300,Bewley's,Consumer services,Food Retailers & Wholesalers,Dublin,1840,,,,,,,,,
4301,Bord na Móna,Utilities,Multiutilities,Newbridge,1946,,,,,,,,,
4302,Boylesports,Consumer services,Gambling,Dundalk,1989,,,,,,,,,
4303,,,,,,,,,,,,,,
4304,,,,,,,,,,,,,,
4305,Butlers Chocolates,Consumer goods,Food products,Dublin,1932,,,,,,,,,
4306,BWG Foods,Consumer services,Food retailers & wholesalers,Dublin,1963[3],,,,,,,,,
4307,C&C Group,Consumer goods,Brewers,Dublin,1852,,,,,,,,,
4308,Central Bank of Ireland,Financials,Banks,Dublin,1943,,,,,,,,,
4309,CIÉ,Consumer services,Travel & tourism,Dublin,1945,,,,,,,,,
4310,CityJet,Consumer services,Airlines,Dublin,1992,,,,,,,,,
4311,Communicorp,Consumer services,Broadcasting & Entertainment,Dublin,1989,,,,,,,,,
4312,Covidien,Health care,Medical equipment,Dublin,2007,,,,,,,,,
4313,CRH plc,Industrials,Building materials & fixtures,Dublin,1936,,,,,,,,,
4314,,,,,,,,,,,,,,
4315,,,,,,,,,,,,,,
4316,DCC Plc,Industrials,Business support services,Dublin,1976,,,,,,,,,
4317,,,,,,,,,,,,,,
4318,Digiweb,Telecommunications,Fixed line telecommunications,Dundalk,1997,,,,,,,,,
4319,Doolittles,Consumer services,Food Retailers & Wholesalers,Laghey,2001,,,,,,,,,
4320,,,,,,,,,,,,,,
4321,Dunnes Stores,Consumer services,Broadline retailers,Dublin,1944,,,,,,,,,
4322,Eaton Corporation,Conglomerate,-,Dublin,1911,,,,,,,,,
4323,Eason & Son,Consumer services,Specialty retailers,Dublin,1819,,,,,,,,,
4324,EBS,Financials,Banks,Dublin,1935,,,,,,,,,
4325,Eddie Rocket's,Consumer services,Food Retailers & Wholesalers,Dublin,1989,,,,,,,,,
4326,,,,,,,,,,,,,,
4327,Eir,Telecommunications,Fixed line telecommunications,Dublin,1999,,,,,,,,,
4328,,,,,,,,,,,,,,
4329,,,,,,,,,,,,,,
4330,EQTEC,Utilities,Alternative electricity,Cork,2005,,,,,,,,,
4331,Ervia,Utilities,Gas distribution,Cork,1976,,,,,,,,,
4332,ESB Group,Utilities,Conventional electricity,Dublin,1927,,,,,,,,,
4333,Experian,Financials,Business services,Dublin,1996,,,,,,,,,
4334,FBD Holdings,Financials,Full line insurance,Dublin,1969,,,,,,,,,
4335,FINEOS,Technology,Software,Dublin,1993,,,,,,,,,
4336,,,,,,,,,,,,,,
4337,Four Star Pizza,Consumer services,Food Retailers & Wholesalers,Dublin,1986,,,,,,,,,
4338,Fyffes,Consumer goods,Food products,Dublin,1888,,,,,,,,,
4339,Glanbia,Consumer goods,Food products,Kilkenny,1997,,,,,,,,,
4340,GlenDimplex,Consumer goods,Consumer electronics,Dublin,1973,,,,,,,,,
4341,GoCar,Consumer services,Specialized consumer services,Dublin,2008,,,,,,,,,
4342,Greencore,Consumer goods,Food products,Dublin,1991,,,,,,,,,
4343,Guineys,Consumer services,Apparel retailers,Dublin,1971,,,,,,,,,
4344,Guinness,Consumer goods,Brewers,Dublin,1759,,,,,,,,,
4345,,,,,,,,,,,,,,
4346,,,,,,,,,,,,,,
4347,Horizon Therapeutics,Consumer services,Biopharmaceutical,Dublin,2005,,,,,,,,,
4348,,,,,,,,,,,,,,
4349,Independent News & Media,Consumer services,Publishing,Dublin,1904,,,,,,,,,
4350,Insomnia Coffee Company,Consumer services,Food Retailers & Wholesalers,Dublin,1997,,,,,,,,,
4351,Intel Ireland,Technology,Semiconductors,Leixlip,1989,,,,,,,,,
4352,IONA Technologies,Technology,Software,Dublin,1991,,,,,,,,,
4353,Irish Citylink,Consumer services,Travel & tourism,Dublin,1994,,,,,,,,,
4354,Irish Continental Group,Industrials,Industrial transportation,Dublin,1972,,,,,,,,,
4355,Irish Ferries,Industrials,Industrial transportation,Dublin,1992,,,,,,,,,
4356,Johnson Controls,Industrials,Electrical components & equipment,Cork,1885,,,,,,,,,
4357,KBC Bank Ireland,Financials,Banks,Dublin,1973,,,,,,,,,
4358,Kerry Group,Consumer goods,Food products,Tralee,1972,,,,,,,,,
4359,Kingspan Group,Industrials,Building materials,Dublin,1966,,,,,,,,,
4360,Laya Healthcare,Financials,Life insurance,Little Island,1997,,,,,,,,,
4361,Magnet Networks,Telecommunications,Fixed line telecommunications,Dublin,2004,,,,,,,,,
4362,,,,,,,,,,,,,,
4363,,,,,,,,,,,,,,
4364,Meteor,Telecommunications,Mobile telecommunications,Dublin,1998,,,,,,,,,
4365,,,,,,,,,,,,,,
4366,Musgrave Group,Consumer services,Food retailers & wholesalers,Cork,1876,,,,,,,,,
4367,,,,,,,,,,,,,,
4368,,,,,,,,,,,,,,
4369,Norkom,Technology,Software,Dublin,1998,,,,,,,,,
4370,Northern Ireland Electricity,Utilities,Conventional electricity,Belfast,1991,,,,,,,,,
4371,,,,,,,,,,,,,,
4372,NTR plc,Utilities,Alternative electricity,Dublin,1978,,,,,,,,,
4373,,,,,,,,,,,,,,
4374,,,,,,,,,,,,,,
4375,Openet,Technology,Software,Dublin,1999,,,,,,,,,
4376,Paddy Power,Consumer services,Gambling,Dublin,1988,,,,,,,,,
4377,Pat the Baker,Consumer goods,Baked goods,Granard,1953[6],,,,,,,,,
4378,,,,,,,,,,,,,,
4379,Penneys,Consumer services,Apparel retailers,Dublin,1962,,,,,,,,,
4380,Rabobank Ireland,Financials,Banks,Dublin,1994,,,,,,,,,
4381,Raidió Teilifís Éireann (RTÉ),Consumer services,Broadcasting & Entertainment,Dublin,1960,,,,,,,,,
4382,Ryanair,Consumer services,Airlines,Dublin,1985,,,,,,,,,
4383,Shire,Health care,Pharmaceuticals,Dublin,1986,,,,,,,,,
