,name,industry,sector,headquarters,founded,type,founders,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
2661,Voestalpine,Basic materials,Iron & steel,Linz,1938,,,,,,,,,
2662,Wienerberger,Industrials,Building materials & fixtures,Vienna,1819,,,,,,,,,
2663,Zumtobel Lighting Group,Industrials,Building materials & fixtures,Dornbirn,1950,,,,,,,,,
2664,,,,,,,,,,,,,,
2665,pewag group,Industrials,Industrial machinery,Klagenfurt,1479,,,,,,,,,
2666,AHT Cooling Systems,Industrials,Electronic equipment,Rottenmann,1983,,,,,,,,,
2667,Ammerer Bed Company,Consumer goods,Durable household products,Ried im Innkreis,1763,,,,,,,,,
2668,ams AG,Technology,Semiconductors,Premstätten,1981,,,,,,,,,
2669,Andritz,Industrials,Industrial machinery,Graz,1852,,,,,,,,,
2670,,,,,,,,,,,,,,
2671,Augarten porcelain,Consumer goods,Durable household products,Vienna,1923,,,,,,,,,
2672,AMAG Austria Metall AG,Industrials,Diversified industrials,Braunau am Inn,1938,,,,,,,,,
2673,Austria Wirtschaftsservice Gesellschaft (aws),Financials,Banks,Vienna,1954,,,,,,,,,
2674,Austrian Airlines,Consumer services,Airlines,Schwechat,1957,,,,,,,,,
2675,AVL,Industrials,Business support services,Graz,1948,,,,,,,,,
2676,B&R,Industrials,Electronic equipment,Eggelsberg,1979,,,,,,,,,
2677,Bank Austria,Financials,Banks,Vienna,1855,,,,,,,,,
2678,bauMax,Consumer services,Home improvement retailers,Klosterneuburg,1976,,,,,,,,,
2679,BAWAG,Financials,Banks,Vienna,1922,,,,,,,,,
2680,Bene AG,Consumer goods,Furnishings,Waidhofen an der Ybbs,1790,,,,,,,,,
2681,Bestattung Wien,Consumer services,Specialized consumer services,Vienna,1907,,,,,,,,,
2682,Billa,Consumer services,Food retailers & wholesalers,Wiener Neudorf,1953,,,,,,,,,
2683,Böhler-Uddeholm,Basic materials,Iron & steel,Vienna,1991,,,,,,,,,
2684,Borealis,Basic materials,Commodity chemicals,Vienna,1994,,,,,,,,,
2685,,,,,,,,,,,,,,
2686,Bundesimmobiliengesellschaft (BIG),Financials,Real estate holding & development,Vienna,1992,,,,,,,,,
2687,Cineplexx Cinemas,Consumer services,Recreational services,Vienna,1993,,,,,,,,,
2688,CISC Semiconductor,Technology,Semiconductors,Klagenfurt,1999,,,,,,,,,
2689,Delfortgroup,Basic materials,Paper,Traun,2006,,,,,,,,,
2690,Dependeq,Industrials,Business support services,Vienna,1999,,,,,,,,,
2691,Diamond Aircraft Industries,Consumer goods,Aerospace,Wiener Neustadt,1981,,,,,,,,,
2692,Doka Group,Industrials,Heavy construction,Amstetten,1868,,,,,,,,,
2693,Doppelmayr Garaventa Group,Consumer goods,Recreational products,Wolfurt,1892,,,,,,,,,
2694,Dorotheum,Consumer services,Specialized consumer services,Vienna,1707,,,,,,,,,
2695,Erste Bank,Financials,Banks,Vienna,2008,,,,,,,,,
2696,Fabasoft,Technology,Software,Linz,1988,,,,,,,,,
2697,Fischer,Consumer goods,Recreational products,Ried im Innkreis,1924,,,,,,,,,
2698,Frequentis,Technology,Telecommunications equipment,Vienna,1947,,,,,,,,,
2699,GE Jenbacher,Industrials,Industrial machinery,Jenbach,1959,,,,,,,,,
2700,,,,,,,,,,,,,,
2701,Gessler,Consumer goods,Distillers & vintners,Vienna,1777,,,,,,,,,
2702,Glock Ges.m.b.H.,Industrials,Defense,Deutsch-Wagram,1963,,,,,,,,,
2703,,,,,,,,,,,,,,
2704,Julius Blum,Consumer goods,Furnishings,Höchst,1952,,,,,,,,,
2705,Julius Meinl,Consumer goods,Beverages,Vienna,1862,,,,,,,,,
2706,Kapsch,Technology,Telecommunications equipment,Vienna,1892,,,,,,,,,
2707,Kika,Consumer goods,Furnishings,Vienna,1973[3],,,,,,,,,
2708,Kores,Consumer goods,Nondurable household products,Vienna,1887,,,,,,,,,
2709,KTM,Consumer goods,Automobiles,Mattighofen,1934,,,,,,,,,
2710,Lenzing AG,Basic materials,Commodity chemicals,Lenzing,1938,,,,,,,,,
2711,,,,,,,,,,,,,,
2712,Lyoness,Consumer services,Specialized consumer services,Graz,2003,,,,,,,,,
2713,Magna Steyr,Consumer goods,Automobiles,Graz,2001,,,,,,,,,
2714,Mayr-Melnhof,Industrials,Containers & packaging,Vienna,1950,,,,,,,,,
2715,Neumann International,Industrials,Business training & employment agencies,Vienna,1971,,,,,,,,,
2716,Niki,Consumer services,Airlines,Schwechat,2003,,,,,,,,,
2717,Noctua,Consumer goods,Computer hardware,Vienna,2005,,,,,,,,,
2718,,,,,,,,,,,,,,
2719,ÖBB,Industrials,Railroads,Vienna,1923,,,,,,,,,
2720,,,,,,,,,,,,,,
2721,Onepharm,Health care,Biotechnology,Vienna,2005,,,,,,,,,
2722,Österreichische Industrieholding AG,Financials,Asset managers,Vienna,1967,,,,,,,,,
2723,Österreichische Post,Logistics,Delivery services,Vienna,1999,,,,,,,,,
2724,Palfinger,Industrials,Commercial vehicles & trucks,Salzburg,1932,,,,,,,,,
2725,Pfanner,Consumer goods,Beverages,Lauterach,1856,,,,,,,,,
2726,Piatnik & Söhne,Consumer goods,Recreational products,Vienna,1824,,,,,,,,,
2727,Plansee Group,Basic materials,Commodity chemicals,Breitenwang,1921,,,,,,,,,
2728,,,,,,,,,,,,,,
2729,Raiffeisen,Financials,Banks,Vienna,1927,,,,,,,,,
2730,Red Bull GmbH,Consumer goods,Beverages,Fuschl am See,1987,,,,,,,,,
2731,RHI AG,Industrials,Industrial suppliers,Vienna,1834,,,,,,,,,
2732,Rosenbauer,Industrials,Commercial vehicles & trucks,Leonding,1866,,,,,,,,,
2733,,,,,,,,,,,,,,
2734,Runtastic,Technology,Software,Pasching,2009,,,,,,,,,
2735,Semperit,Basic materials,Commodity chemicals,Vienna,1824,,,,,,,,,
2736,SKIDATA,Industrials,Electronic equipment,Grödig,1977,,,,,,,,,
2737,Steyr Mannlicher,Industrials,Defense,Sankt Ulrich bei Steyr,1864,,,,,,,,,
2738,Steyr Motors GmbH,Industrials,Auto components,Sankt Ulrich bei Steyr,2001,,,,,,,,,
2739,,,,,,,,,,,,,,
2740,Strabag,Industrials,Heavy construction,Vienna,1835,,,,,,,,,
2741,Stroh,Consumer goods,Distillers & vintners,Klagenfurt,1832,,,,,,,,,
2742,Swarovski,Consumer goods,Clothing & accessories,Wattens,1895,,,,,,,,,
2743,Taurob,Robotics,Autonomous robots,Vienna,2010,,,,,,,,,
2744,Telekom Austria,Telecommunications,Fixed line telecommunications,Vienna,1998,,,,,,,,,
2745,,,,,,,,,,,,,,
2746,Tushek&Spigel Supercars,Consumer goods,Automobiles,Graz,2012,,,,,,,,,
2747,Uniqa,Financials,Full line insurance,Vienna,1922,,,,,,,,,
2748,,,,,,,,,,,,,,
2749,Vienna Insurance Group,Financials,Full line insurance,Vienna,1824,,,,,,,,,
2750,Voestalpine,Basic materials,Iron & steel,Linz,1938,,,,,,,,,
2751,Wienerberger,Industrials,Building materials & fixtures,Vienna,1819,,,,,,,,,
2752,Zumtobel Lighting Group,Industrials,Building materials & fixtures,Dornbirn,1950,,,,,,,,,
2753,Abelag Aviation,Consumer services,Airlines,Zaventem,1964,,,,,,,,,
2754,Ablynx,Health care,Biotechnology,Ghent[7],2001,,,,,,,,,
2755,,,,,,,,,,,,,,
2756,AF Compressors,Industrials,Industrial Engineering,Liege,1870,,,,,,,,,
2757,AG Real Estate,Financials,Real estate holding and development,Brussels,1824,,,,,,,,,
2758,Ageas,Financials,Consumer finance,Brussels,1990,,,,,,,,,
2759,Agfa-Gevaert,Technology,Computer services,Mortsel,1867,,,,,,,,,
2760,Agoria,Industrials,Business support services,Brussels,1946,,,,,,,,,
2761,AIM Productions,Technology,Computer services,Hove,1994,,,,,,,,,
2762,Alpro,Consumer goods,Food products,Ghent[8],1980,,,,,,,,,
2763,,,,,,,,,,,,,,
2764,Antwerp Water Works,Utilities,Water,Antwerp,1880,,,,,,,,,
2765,Aquafin,Utilities,Water,Antwerp,1990,,,,,,,,,
2766,,,,,,,,,,,,,,
2767,Associated Weavers,Consumer goods,Clothing and accessories,Ronse,1964,,,,,,,,,
2768,Aveve,Consumer goods,Farming and fishing,Aalter,1890,,,,,,,,,
2769,Aviapartner,Industrials,Delivery services,Brussels,1949,,,,,,,,,
2770,Barco,Technology,Computer hardware,Kortrijk,1934,,,,,,,,,
2771,Base,Industrials,Business support services,Brussels,1993,,,,,,,,,
2772,Beaulieu International Group,Consumer goods,Clothing and accessories,Wielsbeke,1959,,,,,,,,,
2773,Befimmo,Financials,Real estate holding and development,Brussels,1995,,,,,,,,,
2774,Bekaert,Basic materials,Specialty chemicals,Kortrijk,1880,,,,,,,,,
2775,Belgian Beer Café,Consumer services,Restaurants and bars,Leuven,1998,,,,,,,,,
2776,Belgian Investment Company for Developing Countries,Financials,Specialty finance,Brussels,2001,,,,,,,,,
2777,Bpost,Industrials,Delivery services,Brussels,2000,,,,,,,,,
2778,,,,,,,,,,,,,,
2779,Brussels Regional Investment Company,Financials,Specialty finance,Brussels,1984,,,,,,,,,
2780,Cockerill Sambre,Basic materials,Iron and steel,Seraing,1817,,,,,,,,,
2781,Carmeuse,Basic materials,General mining,Louvain-la-Neuve,1860,,,,,,,,,
2782,Cartamundi,Consumer goods,Toys,Turnhout,1970,,,,,,,,,
2783,Cavalier Chocolate,Consumer goods,Food products,Eeklo,1996,,,,,,,,,
2784,,,,,,,,,,,,,,
2785,Cofinimmo,Financials,Real estate services,Brussels,1983,,,,,,,,,
2786,,,,,,,,,,,,,,
2787,Compagnie Maritime Belge,Industrials,Marine transportation,Antwerp,1895,,,,,,,,,
2788,Confiserie Roodthooft,Consumer goods,Food products,Antwerp,1925,,,,,,,,,
2789,Copiepresse,Consumer services,Publishing,Brussels,2000,,,,,,,,,
2790,De Lijn,Consumer services,Travel and tourism,Mechelen,1991,,,,,,,,,
2791,Deceuninck,Basic materials,Commodity chemicals,Hooglede,1937,,,,,,,,,
2792,Delhaize Group,Consumer goods,Food products,Brussels,1867,,,,,,,,,
2793,DEME,Industrials,Heavy construction,Zwijndrecht,1991,,,,,,,,,
2794,D'Ieteren,Consumer services,Specialized consumer services,Brussels,1805,,,,,,,,,
2795,DOMO Group,Consumer goods,Clothing and accessories,Ghent,1992,,,,,,,,,
2796,Ecover,Consumer goods,Nondurable household products,Malle,1979,,,,,,,,,
2797,Effortel,Financials,Financial services,Brussels,2005,,,,,,,,,
2798,ETAP Lighting,Consumer goods,Building materials and fixtures,Malle,1949,,,,,,,,,
2799,Eurogentec,Health care,Biotechnology,Seraing,1985,,,,,,,,,
2800,EVS Broadcast Equipment,Technology,Telecommunications equipment,Liège,1994,,,,,,,,,
2801,,,,,,,,,,,,,,
2802,,,,,,,,,,,,,,
2803,Forrest Group,Basic materials,General mining,Wavre,1922,,,,,,,,,
2804,Gimv,Financials,Equity investment instruments,Brussels,1980[9],,,,,,,,,
2805,Godiva Chocolatier,Consumer goods,Food products,Brussels,1926,,,,,,,,,
2806,,,,,,,,,,,,,,
2807,Groupe Bruxelles Lambert,Industrials,Diversified industrials,Brussels,1902,,,,,,,,,
2808,Guylian,Consumer goods,Food products,Sint-Niklaas,1960,,,,,,,,,
2809,IMEC,Technology,Computer services,Leuven,1984,,,,,,,,,
2810,,,,,,,,,,,,,,
2811,,,,,,,,,,,,,,
2812,,,,,,,,,,,,,,
2813,,,,,,,,,,,,,,
2814,Jonckheere,Industrials,Commercial vehicles and trucks,Roeselare,1881,,,,,,,,,
2815,Katoen Natie,Industrials,Delivery services,Antwerp,1854,,,,,,,,,
2816,KBC Bank,Financials,Banks,Brussels,1985,,,,,,,,,
2817,Keytrade Bank,Financials,Investment services,Brussels,1998,,,,,,,,,
2818,Kinepolis,Consumer services,Recreational services,Ghent,1997,,,,,,,,,
2819,Larian Studios,Technology,Software,Ghent,1996,,,,,,,,,
2820,Libeco-Lagae,Consumer goods,Clothing and accessories,Meulebeke,1997,,,,,,,,,
2821,,,,,,,,,,,,,,
2822,Luciad NV,Technology,Computer services,Leuven,1999,,,,,,,,,
