ambitiobox-headquarter,ariregister-headquarter,disfold-official_name,disfold-ceo,forbes-ceo,valuetoday-ceo
"navi mumbai, maharashtra, india",,abbvie inc.,mr. richard a. gonzalez,,peter wennink
"gurgaon/gurugram, haryana, india",,pfizer inc.,"dr. albert  bourla d.v.m., dvm, ph.d.",,albert bourla
"pune, maharashtra, india",,chevron corporation,mr. michael k. wirth,,daniel zhang
"bangalore,karnataka, india",,"the home depot, inc.",mr. edward p. decker,,severin schwan
"bangalore,karnataka, india",,kweichow moutai co. ltd,,,michael miebach
"mumbai, maharashtra, india",,exxon mobil corporation,mr. darren w. woods,,ulf mark schneider
"mumbai, maharashtra, india",,roche holding ag,dr. severin  schwan ph.d.,,li bao fang
"gurgaon/gurugram, haryana, india",,bank of america corporation,mr. brian thomas moynihan,,shantanu narayen
"london, england",,mastercard incorporated,mr. michael  miebach,,david a. ricks
"minato,tokyo, japan",,"lvmh moët hennessy - louis vuitton, se",mr. bernard  arnault,,john donahoe
"bangalore/bengaluru, karnataka, india",,"samsung electronics co., ltd.",mr. jong-hee  han,,jean paul agon
"bangalore/bengaluru, karnataka, india",,the procter & gamble company,mr. jon r. moeller,,nicolas jimenez
"new delhi, delhi, india",,jpmorgan chase & co.,mr. james  dimon,,bob van dijk
"mumbai, maharashtra, india",,walmart inc.,mr. c. douglas mcmillon,,hock e. tan
"pune, maharashtra, india",,tencent holdings ltd,mr. huateng pony  ma,,chuck robbins
"pune,maharashtra, india",,,mr. joaquin  duato,,james quincey
"stockholm,stockholm county, sweden",,visa inc.,mr. alfred francis kelly jr.,,akio toyoda
"mumbai, maharashtra, india",,unitedhealth group incorporated,sir andrew philip witty,,safra a. catz
"bangalore/bengaluru, karnataka, india",,taiwan semiconductor manufacturing company limited,dr. c. c.  wei,,julie sweet
"mumbai, maharashtra, india",,"meta platforms, inc.",mr. mark elliot zuckerberg,,w. craig jelinek
"hyderabad/secunderabad, telangana, india",,nvidia corporation,mr. jen-hsun  huang,,richard a. gonzalez
"pittsford, new york, united states (usa)",,berkshire hathaway inc.,mr. warren e. buffett,,marc n. casper
"mumbai, maharashtra, india",,"tesla, inc.",mr. elon r. musk,,
"mumbai, maharashtra, india",,"amazon.com, inc.",mr. andrew r. jassy,,"['ted sarandos', 'reed hastings']"
"bangalore,karnataka, india",,alphabet inc.,mr. sundar  pichai,,robert ford
"bangalore/bengaluru, karnataka, india",,saudi arabian oil company,mr. amin h. nasser,,ramon laguarta
"mumbai, maharashtra, india",,microsoft corporation,mr. satya  nadella,,michael wirth
"chiyoda city, tokyo, japan",,medtronic plc,mr. geoffrey straub martha,,lars fruergaard jorgensen
"mumbai, maharashtra, india",,philip morris international inc.,mr. jacek  olczak,,robert m. davis
"mumbai, maharashtra, india",,the charles schwab corporation,mr. walter william bettinger ii,,rainer m. blair
"mumbai, maharashtra, india",,royal bank of canada,mr. david i. mckay,,patrick p. gelsinger
,,"netflix, inc.",mr. wilmot reed hastings jr.,,charles w. scharf
"london, united kingdom (uk)",,,mr. james patrick gorman,,daniel schulman
"new york city,new york, united states",,"t-mobile us, inc.",mr. g. michael sievert,,mukesh ambani
"noida, uttar pradesh, india",,agricultural bank of china ltd,,,marc benioff
"new delhi, delhi, india",,"nextera energy, inc.",mr. john w. ketchum,,hans vestberg
"mumbai, maharashtra, india",,linde plc,mr. sanjiv  lamba,,brian l. roberts
"mumbai, maharashtra, india",,prosus n.v.,mr. bob  van dijk,,
"pune, maharashtra, india",,bristol-myers squibb company,dr. giovanni  caforio m.d.,,james p. gorman
"gurugram, india",,texas instruments incorporated,mr. richard k. templeton,,john t. stankey
,,qualcomm incorporated,mr. cristiano renno amon,,carol b. tome
"noida, india",,at&t inc.,mr. john t. stankey,,rajesh gopinathan
"bangalore/bengaluru, karnataka, india",,union pacific corporation,mr. lance m. fritz,,zeng yuqun
"mumbai, maharashtra, india",,contemporary amperex technology co. ltd,,,chris kempczinski
"kolkata, west bengal, india",,china merchants bank co ltd,mr. huiyu  tian mpa,,huiyu tian
"bangalore/bengaluru, karnataka, india",,mcdonald's corporation,mr. christopher j. kempczinski,,vasant narasimhan
"mumbai, maharashtra, india",,china construction bank corp,,,cristiano r. aman
"kolkata, west bengal, india",,"united parcel service, inc.",ms. carol b. tome,,walter w bettinger ii
"dongguan, guangdong, china",,"salesforce.com, inc.",mr. marc r. benioff,,pascal soriot
"new york, new york, united states (usa)",,adobe inc.,mr. shantanu  narayen,,ben van beurden
"san francisco, california, united states (usa)",,wells fargo & company,mr. charles w. scharf,,mike henry
"ahmedabad, india, india",,intel corporation,mr. patrick p. gelsinger,,lance m. fritz
"delhi,nct, india",,astrazeneca plc,"mr. pascal  soriot d.v.m., m.b.a.",,richard k. templeton
"mumbai, maharashtra, india",,novartis ag,,,marvin ellison
"mumbai, india",,shell plc,mr. ben  van beurden,,james l robo
"mumbai, maharashtra, india",,intuit inc.,mr. sasan k. goodarzi,,sanjiv lamba
"chennai, tamil nadu, india",,"advanced micro devices, inc.",dr. lisa t. su ph.d.,,axel dumas
"hyderabad/secunderabad, telangana, india",,deere & company,mr. john c. may ii,,darius adamczyk
"gurgaon/gurugram, haryana, india",,,mr. paul  hudson,,ma mingzhe
"mumbai, maharashtra, india",,"paypal holdings, inc.",mr. daniel h. schulman,,jacek olczak
"jaipur, rajasthan, india",,sap se,mr. christian  klein,,kenichiro yoshida
"munich,bavaria, germany",,ping an insurance (group) company of china ltd,mr. bo  yao,,lisa su
"san francisco,california, united states",,cvs health corporation,ms. karen sue lynch,,david i. mckay
"houston,texas, united states",,,mr. ryan m. lance,,wang xing
"espoo, southern finland, finland",,honeywell international inc.,mr. darius e. adamczyk,,sasan k. goodarzi
"gurgaon/gurugram, haryana, india",,totalenergies se,mr. patrick  pouyannã©,,
"mumbai, maharashtra, india",,china mobile ltd,mr. xin  dong,,christian klein
"mumbai, maharashtra, india",,hsbc holdings plc,mr. noel paul quinn,,karen s. lynch
"mumbai, maharashtra, india",,bank of china ltd,,,patrick pouyanne
"mumbai, maharashtra, india",,amgen inc.,mr. robert a. bradway,,roland busch
"mumbai, maharashtra, india",,"lowe's companies, inc.",mr. marvin r. ellison,,giovanni caforio
"austin,texas, united states",,commonwealth bank of australia,mr. matthew  comyn,,geoffrey s. martha
"mumbai, maharashtra, india",,petrochina company limited,,,yu nakata
"bangalore, india",,toronto-dominion bank,mr. bharat b. masrani,,tobias lutke
"navi mumbai, maharashtra, india",,hermès international sca,,,pietro beccari
"mumbai, maharashtra, india",,american express company,mr. stephen joseph squeri,,wang dongjin
"mumbai, maharashtra, india",,raytheon technologies corporation,mr. gregory j. hayes,,bharat masrani
"mumbai, maharashtra, india",,,,,alan jope
"gurgaon/gurugram, haryana, india",,airbus se,mr. guillaume m.j.d faury,,noel quinn
"jacksonville,florida, united states",,,mr. joaquim silva e luna,,gary e. dickerson
"mumbai,maharashtra, india",,,mr. oliver  bate,,herbert diess
"chennai, tamil nadu, india",,,mr. evan g. greenberg,,stephen squeri
"hyderabad/secunderabad, telangana, india",,,mr. ola  kallenius,,gregory hayes
"gurgaon,haryana, india",,general electric company,mr. h. lawrence culp jr.,,
"pune, india",,,mr. fabrizio  freda,,larry fink
