ft-revenue_2020_eu,companiesmarketcap-share_price,forbes-profit,companiesmarketcap-pricecap,disfold-market_cap,globaldata-market_cap,valuetoday-annual_net_income_usd,ft-revenue_2017_eu,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,forbes-sales,companiesmarketcap-earnings,forbes-market_value,valuetoday-annual_revenue_usd
doll_8.04 m,doll_163.66,doll_16.14 b,doll_289.42 b,doll_348.72 b,doll_2.6 b,doll_17.970 m,"263,663",,,doll_997.2 m,,doll_185.12 b,,doll_127.32 b,doll_92.575 m
doll_121.31 m,doll_50.91,doll_11.33 b,doll_285.77 b,doll_chf323.52 b,doll_533.6 m,doll_7.634 m,"4,044,537",,,doll_998.0 m,,doll_77.61 b,,doll_125.53 b,doll_15.929 m
doll_11.3 m,doll_232.78,doll_17.97 b,doll_292.41 b,doll_350.84 b,doll_709.7 m,doll_4.822 m,"381,830",,,doll_999.5 m,,doll_131.49 b,,doll_147.05 b,doll_15.785 m
doll_4.54 m,doll_36.08,doll_14.16 b,doll_289.44 b,doll_358.60 b,doll_392.6 m,doll_5.581 m,"155,043",,,doll_1.0 b,,doll_116.39 b,,doll_205.72 b,doll_28.318 m
doll_3.58 m,doll_120.66,doll_10.17 b,doll_331.82 b,doll_€325.15 b,doll_1.9 b,doll_6.046 m,"125,682",,,doll_1.0 b,,doll_129.76 b,,doll_237.78 b,doll_46.710 m
doll_210.56 m,doll_123.49,doll_39.37 b,doll_327.43 b,doll_₩461.587 t,doll_315.3 m,doll_5.066 m,"7,403,458",,,doll_1.0 b,,doll_117.93 b,,doll_499.86 b,doll_35.580 m
doll_5.82 m,doll_46.54,doll_7.81 b,doll_312.57 b,doll_384.60 b,doll_2.0 b,doll_51.206 m,"210,820",,,doll_1.0 b,,doll_138.62 b,,doll_96.42 b,doll_138.160 m
doll_56.02 m,doll_327.99,doll_14.58 b,doll_334.28 b,doll_410.84 b,doll_3.5 b,doll_18.733 m,"2,039,961",,,doll_1.0 b,,doll_60.22 b,,doll_150.95 b,doll_6.866 m
doll_4.18 m,doll_181.03,doll_18.74 b,doll_350.04 b,doll_429.05 b,doll_3.9 b,doll_6.437 m,"155,310",,,doll_1.0 b,,doll_62.81 b,,doll_109.32 b,doll_27.450 m
doll_4.45 m,doll_360.06,doll_12.58 b,doll_346.18 b,hkdoll_3.456 t,doll_769.6 m,doll_11.812 m,"182,100",,,doll_1.0 b,,doll_59.33 b,,doll_135.3 b,doll_51.557 m
doll_5.93 m,doll_150.61,doll_9.85 b,doll_356.90 b,doll_475.93 b,doll_1.1 b,doll_9.771 m,"229,713",,,doll_1.0 b,,doll_127.42 b,,doll_68.76 b,doll_38.655 m
doll_5.72 m,doll_374.76,doll_19.83 b,doll_356.08 b,doll_486.77 b,doll_2.2 b,doll_20.797 m,"225,380",,,doll_1.0 b,,doll_94.88 b,,doll_477.38 b,doll_228.980 m
doll_4.86 m,doll_39.29,doll_27.19 b,doll_378.34 b,doll_488.52 b,0,doll_6.717 m,"194,090",,,doll_1.0 b,,doll_178.94 b,,doll_74.62 b,doll_42.440 m
