ft-revenue_2020_eu,companiesmarketcap-share_price,forbes-profit,companiesmarketcap-pricecap,disfold-market_cap,globaldata-market_cap,valuetoday-annual_net_income_usd,ft-revenue_2017_eu,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,forbes-sales,companiesmarketcap-earnings,forbes-market_value,valuetoday-annual_revenue_usd
doll_4.43 m,doll_18.51,,doll_4.00 b,doll_24.61 b,,,,,,,,,,,
doll_2.22 m,doll_63.26,,doll_4.01 b,doll_24.60 b,,116 million usd,,,,,,,,,doll_1.186 m
doll_2.05 m,doll_9.68,,doll_4.02 b,doll_24.49 b,,174 million usd,,,,,,,,,255 million usd
doll_3.29 m,doll_59.04,,doll_4.02 b,doll_24.45 b,,295 million usd,,,,,,,,,296 million usd
doll_2.02 m,doll_15.68,,doll_4.00 b,doll_24.44 b,,,,,,,,,,,
doll_2.8 m,doll_86.89,,doll_4.02 b,doll_24.42 b,,15 million usd,,,,,,,,,148 million usd
doll_2.33 m,doll_24.26,,doll_3.99 b,,,65 million usd,,,,,,,,,148 million usd
doll_2.34 m,doll_5.56,,doll_4.02 b,doll_24.18 b,,142 million usd,,,,,,,,,doll_1.677 m
doll_70.39 m,doll_17.51,,doll_4.02 b,doll_24.12 b,,100 million usd,,,,,,,,,doll_1.904 m
doll_10.71 m,doll_70.40,,doll_4.00 b,doll_24.12 b,,,,,,,,,,,
doll_3.2 m,doll_21.54,,doll_3.99 b,doll_24.09 b,,,,,,,,,,,
doll_4.86 m,doll_26.40,,doll_3.99 b,doll_24.08 b,,,,,,,,,,,
doll_10.45 m,doll_38.63,,doll_4.03 b,doll_24.08 b,,-51 million usd,,,,,,,,,190 million usd
doll_3.15 m,doll_3.47,,doll_4.05 b,doll_24.05 b,,,,,,,,,,,
doll_8.95 m,doll_35.58,,doll_4.05 b,,,374 million usd,,,,,,,,,739 million usd
doll_3.17 m,doll_33.96,,doll_4.03 b,doll_24.02 b,,43 million usd,,,,,,,,,658 million usd
doll_41.0 m,doll_7.62,,doll_4.06 b,doll_23.97 b,,8 million usd,,,,,,,,,33 million usd
doll_2.91 m,doll_0.07000,,doll_4.04 b,doll_23.94 b,,23 million usd,,,,,,,,,292 million usd
doll_8.71 m,doll_89.20,,doll_4.05 b,doll_23.94 b,,61 million usd,,,,,,,,,doll_1.359 m
doll_2.2 m,doll_0.96,,doll_4.04 b,doll_23.93 b,,36 million usd,,,,,,,,,143 million usd
doll_12.67 m,doll_13.56,,doll_4.02 b,doll_23.93 b,,,,,,,,,,,
doll_2.8 m,doll_87.56,,doll_4.05 b,doll_23.92 b,,,,,,,,,,,
doll_3.70 m,doll_33.08,,doll_4.05 b,doll_23.89 b,,193 million usd,,,,,,,,,425 million usd
doll_4.00 m,doll_47.12,,doll_4.03 b,doll_23.84 b,,40 million usd,,,,,,,,,830 million usd
doll_14.73 m,doll_0.46,,doll_4.03 b,doll_23.82 b,,,,,,,,,,,
doll_3.84 m,doll_17.99,,doll_4.03 b,doll_23.81 b,,71 million usd,,,,,,,,,359 million usd
doll_9.0 m,doll_14.63,,doll_4.05 b,doll_23.78 b,,-77 million usd,,,,,,,,,doll_1.332 m
doll_3.3 m,doll_42.76,,doll_4.05 b,doll_23.73 b,,231 million usd,,,,,,,,,doll_27.253 m
doll_7.22 m,doll_2.66,,doll_4.10 b,doll_23.65 b,,,,,,,,,,,
doll_3.83 m,doll_84.62,,doll_4.08 b,doll_23.64 b,,,,,,,,,,,
doll_4.43 m,doll_124.89,,doll_4.07 b,doll_23.59 b,,,,,,,,,,,
doll_3.7 m,doll_84.68,,doll_4.06 b,doll_23.57 b,,-257 million usd,,,,,,,,,703 million usd
doll_74.21 m,doll_79.26,,doll_4.09 b,doll_23.55 b,,,,,,,,,,,
doll_24.68 m,doll_62.32,,doll_4.07 b,doll_23.51 b,,204 million usd,,,,,,,,,405 million usd
doll_5.89 m,doll_51.08,,doll_4.09 b,,,0 million usd,,,,,,,,,0 million usd
doll_4.79 m,doll_77.18,,doll_4.10 b,doll_23.47 b,,-7 million usd,,,,,,,,,doll_1.307 m
doll_45.77 m,doll_2.73,,doll_4.09 b,doll_23.46 b,,132 million usd,,,,,,,,,doll_4.310 m
doll_5.2 m,doll_34.91,,doll_4.07 b,doll_23.45 b,,187 million usd,,,,,,,,,doll_1.107 m
doll_11.51 m,doll_2.12,,doll_4.11 b,,,361 million usd,,,,,,,,,364 million usd
doll_27.64 m,doll_23.80,,doll_4.06 b,doll_23.44 b,,214 million usd,,,,,,,,,494 million usd
doll_8.27 m,doll_6.20,,doll_4.09 b,doll_23.43 b,,268 million usd,,,,,,,,,doll_1.108 m
doll_2.62 m,doll_16.56,,doll_4.08 b,doll_23.42 b,,45 million usd,,,,,,,,,432 million usd
doll_32.03 m,doll_45.18,,doll_4.10 b,doll_23.40 b,,-55 million usd,,,,,,,,,877 million usd
doll_4.9 m,doll_43.38,,doll_4.10 b,doll_23.35 b,,50 million usd,,,,,,,,,doll_2.149 m
doll_3.16 m,doll_23.59,,doll_4.15 b,doll_23.35 b,,,,,,,,,,,
doll_2.57 m,doll_5.02,,doll_4.11 b,doll_23.34 b,,53 million usd,,,,,,,,,877 million usd
doll_3.53 m,doll_17.32,,doll_4.13 b,doll_23.29 b,,,,,,,,,,,
doll_9.4 m,doll_28.93,,doll_4.12 b,doll_23.27 b,,,,,,,,,,,
doll_4.38 m,doll_73.44,,doll_4.13 b,doll_23.26 b,,,,,,,,,,,
doll_3.54 m,doll_16.80,,doll_4.15 b,doll_23.20 b,,,,,,,,,,,
doll_24.54 m,doll_18.01,,doll_4.14 b,doll_23.18 b,,190 million usd,,,,,,,,,639 million usd
doll_10.4 m,doll_0.37,,doll_4.14 b,doll_23.16 b,,220 million usd,,,,,,,,,641 million usd
doll_5.51 m,doll_45.25,,doll_4.14 b,doll_23.13 b,,16 million usd,,,,,,,,,592 million usd
doll_1.78 m,doll_108.64,,doll_4.12 b,doll_23.09 b,,163 million usd,,,,,,,,,doll_1.831 m
doll_6.2 m,doll_60.36,,doll_4.12 b,doll_23.04 b,,,,,,,,,,,
doll_2.4 m,doll_147.58,,doll_4.15 b,doll_23.00 b,,554 million usd,,,,,,,,,doll_1.082 m
doll_2.96 m,doll_32.16,,doll_3.61 b,doll_22.96 b,,92 million usd,,,,,,,,,doll_1.086 m
doll_16.6 m,doll_11.09,,doll_4.12 b,doll_22.94 b,,,,,,,,,,,
doll_2.25 m,doll_7.44,,doll_4.11 b,doll_22.87 b,,189 million usd,,,,,,,,,doll_4.980 m
doll_2.0 m,doll_22.44,,doll_3.61 b,doll_22.86 b,,53 million usd,,,,,,,,,28 million usd
doll_2.32 m,doll_60.88,,doll_3.65 b,doll_22.83 b,,-139 million usd,,,,,,,,,doll_6.400 m
doll_24.11 m,doll_14.13,,doll_3.61 b,doll_22.78 b,,,,,,,,,,,
doll_27.71 m,doll_92.45,,doll_3.64 b,doll_22.78 b,,-5 million usd,,,,,,,,,doll_2.334 m
doll_2.0 m,doll_26.90,,doll_3.61 b,doll_18.52 b,,,,,,,,,,,
doll_13.37 m,doll_55.47,,doll_3.63 b,doll_22.78 b,,66 million usd,,,,,,,,,626 million usd
doll_34.30 m,doll_9.09,,doll_3.61 b,doll_22.77 b,,236 million usd,,,,,,,,,doll_1.541 m
doll_3.42 m,doll_5.20,,doll_3.63 b,,,,,,,,,,,,
doll_3.95 m,doll_195.55,,doll_3.65 b,doll_22.73 b,,142 million usd,,,,,,,,,doll_1.296 m
doll_15.1 m,doll_75.69,,doll_3.64 b,doll_22.71 b,,233 million usd,,,,,,,,,doll_4.283 m
doll_4.55 m,doll_1.85,,doll_3.62 b,doll_22.65 b,,204 million usd,,,,,,,,,551 million usd
doll_6.36 m,doll_33.62,,doll_3.64 b,doll_22.65 b,,76 million usd,,,,,,,,,530 million usd
doll_7.02 m,doll_2.05,,doll_3.61 b,doll_22.63 b,,90 million usd,,,,,,,,,694 million usd
doll_4.2 m,doll_30.80,,doll_3.64 b,doll_22.62 b,,19 million usd,,,,,,,,,148 million usd
doll_1.82 m,doll_1.18,,doll_3.65 b,doll_22.60 b,,221 million usd,,,,,,,,,532 million usd
doll_12.53 m,doll_37.78,,doll_3.62 b,doll_22.56 b,,,,,,,,,,,
doll_3.23 m,doll_21.44,,doll_3.64 b,doll_22.54 b,,,,,,,,,,,
doll_2.33 m,doll_35.21,,doll_3.65 b,doll_22.53 b,,-181 million usd,,,,,,,,,doll_1.167 m
doll_18.29 m,doll_12.62,,doll_3.66 b,doll_22.51 b,,528 million usd,,,,,,,,,413 million usd
doll_5.91 m,doll_8.07,,doll_3.67 b,doll_22.48 b,,291 million usd,,,,,,,,,215 million usd
doll_2.6 m,doll_11.69,,doll_3.68 b,doll_22.45 b,,,,,,,,,,,
doll_12.03 m,doll_37.66,,doll_3.67 b,doll_22.42 b,,735 million usd,,,,,,,,,doll_7.833 m
doll_2.04 m,doll_10.34,,doll_3.65 b,doll_22.42 b,,-38 million usd,,,,,,,,,doll_1.425 m
doll_11.9 m,doll_33.43,,doll_3.65 b,doll_22.38 b,,-64 million usd,,,,,,,,,998 million usd
doll_1.83 m,doll_3.79,,doll_3.68 b,doll_22.36 b,,,,,,,,,,,
doll_2.3 m,doll_72.87,,doll_3.68 b,doll_22.33 b,,85 million usd,,,,,,,,,387 million usd
doll_23.00 m,doll_66.51,,doll_3.67 b,,,,,,,,,,,,
doll_6.18 m,doll_29.01,,doll_3.68 b,doll_22.30 b,,30 million usd,,,,,,,,,371 million usd
doll_54.14 m,doll_115.34,,doll_3.67 b,,,,,,,,,,,,
doll_1.9 m,doll_80.24,,doll_3.66 b,doll_22.26 b,,3 million usd,,,,,,,,,120 million usd
doll_12.42 m,doll_35.67,,doll_3.67 b,doll_22.25 b,,,,,,,,,,,
doll_3.18 m,doll_21.01,,doll_3.68 b,doll_22.21 b,,,,,,,,,,,
doll_3.31 m,doll_6.74,,doll_3.67 b,doll_22.17 b,,,,,,,,,,,
doll_9.78 m,doll_68.93,,doll_3.69 b,,,547 million usd,,,,,,,,,doll_1.591 m
doll_65.7 m,doll_16.10,,doll_3.69 b,doll_22.08 b,,118 million usd,,,,,,,,,doll_1.524 m
doll_12.15 m,doll_0.48,,doll_3.71 b,doll_22.05 b,,-112 million usd,,,,,,,,,124 million usd
doll_28.91 m,doll_101.83,,doll_3.72 b,doll_22.03 b,,206 million usd,,,,,,,,,278 million usd
doll_72.5 m,doll_7.51,,doll_3.69 b,doll_21.99 b,,135 million usd,,,,,,,,,doll_3.660 m
doll_2.16 m,doll_15.46,,doll_3.71 b,doll_21.99 b,,-392 million usd,,,,,,,,,doll_1.357 m
doll_4.58 m,doll_49.20,,doll_3.72 b,doll_21.95 b,,-32 million usd,,,,,,,,,0 million usd
doll_3.9 m,doll_12.46,,doll_3.70 b,doll_21.93 b,,369 million usd,,,,,,,,,392 million usd
doll_3.09 m,doll_64.93,,doll_3.71 b,doll_21.93 b,,36 million usd,,,,,,,,,509 million usd
doll_31.33 m,doll_49.54,,doll_3.69 b,doll_21.93 b,,-1 million usd,,,,,,,,,358 million usd
doll_25.45 m,doll_20.32,,doll_3.70 b,doll_21.93 b,,-257 million usd,,,,,,,,,38 million usd
doll_8.84 m,doll_17.00,,doll_3.68 b,,,,,,,,,,,,
doll_2.73 m,doll_3.07,,doll_3.68 b,doll_21.87 b,,,,,,,,,,,
doll_4.0 m,doll_53.57,,doll_3.70 b,doll_21.87 b,,-859 million usd,,,,,,,,,doll_1.367 m
doll_5.21 m,doll_57.87,,doll_3.72 b,doll_21.82 b,,-450 million usd,,,,,,,,,doll_3.645 m
doll_22.00 m,doll_39.63,,doll_3.69 b,doll_21.76 b,,175 million usd,,,,,,,,,107 million usd
doll_45.62 m,doll_13.26,,doll_3.72 b,doll_21.74 b,,-244 million usd,,,,,,,,,doll_1.501 m
doll_6.33 m,doll_58.56,,doll_3.74 b,doll_21.71 b,,89 million usd,,,,,,,,,616 million usd
doll_1.9 m,doll_48.73,,doll_3.72 b,doll_21.65 b,,236 million usd,,,,,,,,,672 million usd
doll_36.88 m,doll_6.43,,doll_3.75 b,doll_21.58 b,,-65 million usd,,,,,,,,,doll_2.827 m
doll_7.80 m,doll_17.36,,doll_3.76 b,doll_21.57 b,,28 million usd,,,,,,,,,0 million usd
doll_7.07 m,doll_2.39,,doll_3.74 b,doll_21.51 b,,336 million usd,,,,,,,,,106 million usd
doll_2.25 m,doll_71.32,,doll_3.74 b,doll_21.48 b,,12 million usd,,,,,,,,,38 million usd
doll_10.9 m,doll_29.41,,doll_3.73 b,doll_21.48 b,,224 million usd,,,,,,,,,doll_4.078 m
doll_3.4 m,doll_54.39,,doll_3.74 b,doll_21.46 b,,39 million usd,,,,,,,,,315 million usd
doll_5.78 m,doll_220.56,,doll_3.74 b,doll_21.45 b,,,,,,,,,,,
doll_5.72 m,doll_23.00,,doll_3.75 b,doll_21.43 b,,-499 million usd,,,,,,,,,doll_3.415 m
doll_11.53 m,doll_0.63,,doll_3.76 b,doll_21.41 b,,215 million usd,,,,,,,,,doll_1.033 m
doll_45.84 m,"doll_1,451",,doll_3.73 b,doll_21.40 b,,61 million usd,,,,,,,,,415 million usd
doll_4.02 m,doll_87.53,,doll_3.75 b,doll_21.36 b,,72 million usd,,,,,,,,,doll_2.396 m
doll_48.1 m,doll_32.74,,doll_3.72 b,doll_21.35 b,,171 million usd,,,,,,,,,doll_1.415 m
doll_14.83 m,doll_9.34,,doll_3.74 b,doll_21.34 b,,-66 million usd,,,,,,,,,853 million usd
doll_2.09 m,doll_43.94,,doll_3.78 b,doll_21.32 b,,172 million usd,,,,,,,,,doll_2.463 m
doll_2.4 m,doll_0.27,,doll_3.77 b,doll_21.26 b,,-175 million usd,,,,,,,,,638 million usd
doll_9.98 m,doll_6.21,,doll_3.76 b,doll_21.23 b,,,,,,,,,,,
doll_7.28 m,doll_34.31,,doll_3.76 b,,,,,,,,,,,,
doll_2.05 m,doll_10.31,,doll_3.77 b,doll_21.21 b,,287 million usd,,,,,,,,,189 million usd
doll_5.0 m,doll_6.12,,doll_3.78 b,doll_21.21 b,,-649 million usd,,,,,,,,,doll_1.529 m
doll_2.96 m,doll_1.69,,doll_3.78 b,doll_21.17 b,,60 million usd,,,,,,,,,doll_1.336 m
doll_33.9 m,doll_45.48,,doll_3.80 b,doll_21.13 b,,,,,,,,,,,
doll_4.02 m,doll_8.32,,doll_3.79 b,doll_21.08 b,,-170 million usd,,,,,,,,,doll_1.425 m
doll_5.5 m,doll_115.69,,doll_3.80 b,,,51 million usd,,,,,,,,,doll_1.810 m
doll_3.18 m,doll_66.81,,doll_3.79 b,doll_21.03 b,,50 million usd,,,,,,,,,380 million usd
doll_21.98 m,doll_33.14,,doll_3.80 b,doll_20.93 b,,,,,,,,,,,
doll_2.32 m,doll_448.12,,doll_3.80 b,doll_20.92 b,,54 million usd,,,,,,,,,486 million usd
doll_15.14 m,doll_10.46,,doll_3.80 b,doll_20.88 b,,,,,,,,,,,
doll_44.2 m,doll_46.39,,doll_3.80 b,doll_20.86 b,,146 million usd,,,,,,,,,doll_3.446 m
doll_5.9 m,doll_63.40,,doll_3.79 b,doll_20.81 b,,96 million usd,,,,,,,,,doll_1.565 m
doll_8.6 m,doll_0.99,,doll_3.82 b,doll_20.80 b,,64 million usd,,,,,,,,,694 million usd
doll_3.16 m,doll_32.34,,doll_3.82 b,doll_20.78 b,,,,,,,,,,,
doll_2.99 m,doll_51.24,,doll_3.82 b,doll_20.78 b,,-5 million usd,,,,,,,,,260 million usd
doll_5.59 m,doll_30.89,,doll_3.87 b,doll_20.75 b,,215 million usd,,,,,,,,,doll_4.122 m
doll_9.09 m,doll_16.70,,doll_3.81 b,doll_20.73 b,,124 million usd,,,,,,,,,doll_2.488 m
doll_3.9 m,doll_25.15,,doll_3.81 b,,,132 million usd,,,,,,,,,doll_1.777 m
doll_16.12 m,doll_53.58,,doll_3.85 b,doll_20.65 b,,,,,,,,,,,
doll_3.11 m,doll_18.99,,doll_3.85 b,doll_20.62 b,,16 million usd,,,,,,,,,316 million usd
doll_3.82 m,doll_97.54,,doll_3.86 b,doll_20.61 b,,67 million usd,,,,,,,,,99 million usd
doll_37.5 m,doll_0.08000,,doll_3.84 b,doll_20.58 b,,,,,,,,,,,
doll_48.91 m,doll_38.38,,doll_3.85 b,doll_20.55 b,,,,,,,,,,,
doll_12.47 m,doll_32.69,,doll_3.85 b,doll_20.54 b,,-7 million usd,,,,,,,,,21 million usd
doll_28.64 m,doll_11.00,,doll_3.86 b,doll_20.43 b,,,,,,,,,,,
doll_1.6 m,doll_71.15,,doll_3.86 b,doll_20.41 b,,108 million usd,,,,,,,,,doll_1.107 m
doll_9.66 m,doll_5.61,,doll_3.85 b,doll_20.39 b,,133 million usd,,,,,,,,,406 million usd
doll_4.29 m,doll_0.55,,doll_3.88 b,doll_20.39 b,,-246 million usd,,,,,,,,,-245 million usd
doll_3.89 m,doll_0.04000,,doll_4.19 b,doll_20.39 b,,-19 million usd,,,,,,,,,89 million usd
doll_8.21 m,doll_2.21,,doll_3.88 b,doll_20.38 b,,,,,,,,,,,
doll_25.1 m,doll_108.07,,doll_4.19 b,doll_20.33 b,,-424 million usd,,,,,,,,,doll_2.121 m
doll_7.58 m,doll_34.30,,doll_4.21 b,doll_20.30 b,,630 million usd,,,,,,,,,doll_2.529 m
doll_2.12 m,doll_40.21,,doll_4.20 b,doll_20.27 b,,41 million usd,,,,,,,,,595 million usd
doll_5.32 m,doll_2.36,,doll_4.21 b,doll_20.26 b,,59 million usd,,,,,,,,,233 million usd
doll_1.67 m,doll_55.26,,doll_4.20 b,doll_20.22 b,,139 million usd,,,,,,,,,508 million usd
doll_2.4 m,doll_5.54,,doll_4.19 b,doll_20.21 b,,72 million usd,,,,,,,,,doll_1.046 m
doll_5.85 m,doll_53.81,,doll_4.21 b,doll_20.19 b,,204 million usd,,,,,,,,,doll_3.121 m
doll_2.83 m,doll_19.80,,doll_4.20 b,doll_20.16 b,,53 million usd,,,,,,,,,doll_1.841 m
doll_22.56 m,doll_29.22,,doll_4.20 b,doll_20.15 b,,22 million usd,,,,,,,,,16 million usd
doll_1.61 m,doll_239.00,,doll_4.20 b,doll_20.15 b,,,,,,,,,,,
doll_2.7 m,doll_6.54,,doll_4.21 b,doll_20.15 b,,143 million usd,,,,,,,,,doll_3.389 m
doll_2.5 m,doll_71.68,,doll_4.21 b,doll_20.14 b,,73 million usd,,,,,,,,,937 million usd
doll_3.22 m,doll_190.06,,doll_4.20 b,doll_20.13 b,,206 million usd,,,,,,,,,doll_5.450 m
doll_16.91 m,doll_1.07,,doll_4.21 b,doll_20.10 b,,81 million usd,,,,,,,,,103 million usd
doll_20.48 m,doll_34.57,,doll_4.22 b,doll_20.05 b,,,,,,,,,,,
doll_4.26 m,doll_2.31,,doll_4.23 b,doll_20.02 b,,-360 million usd,,,,,,,,,doll_6.221 m
doll_5.4 m,doll_45.65,,doll_4.26 b,doll_19.98 b,,45 million usd,,,,,,,,,282 million usd
doll_2.51 m,doll_2.99,,doll_4.24 b,doll_19.98 b,,90 million usd,,,,,,,,,239 million usd
doll_1.9 m,doll_120.60,,doll_4.24 b,doll_19.94 b,,,,,,,,,,,
doll_1.84 m,doll_8.96,,doll_4.24 b,doll_19.93 b,,,,,,,,,,,
doll_3.2 m,doll_1.90,,doll_4.23 b,doll_19.87 b,,,,,,,,,,,
doll_8.61 m,doll_51.32,,doll_4.21 b,,,11 million usd,,,,,,,,,doll_2.362 m
doll_6.55 m,doll_16.93,,doll_4.23 b,doll_19.85 b,,,,,,,,,,,
doll_2.41 m,doll_78.49,,doll_4.24 b,doll_19.85 b,,84 million usd,,,,,,,,,438 million usd
doll_3.41 m,doll_14.99,,doll_4.23 b,doll_19.84 b,,,,,,,,,,,
doll_10.36 m,doll_1.22,,doll_4.26 b,doll_19.83 b,,48 million usd,,,,,,,,,doll_1.810 m
doll_2.0 m,doll_49.18,,doll_4.24 b,doll_19.82 b,,165 million usd,,,,,,,,,doll_1.143 m
doll_2.84 m,doll_98.43,,doll_4.26 b,doll_19.82 b,,-37 million usd,,,,,,,,,doll_2.881 m
doll_29.51 m,doll_22.96,,doll_4.24 b,,,166 million usd,,,,,,,,,505 million usd
doll_42.53 m,doll_49.58,,doll_4.25 b,doll_19.75 b,,25 million usd,,,,,,,,,530 million usd
doll_2.44 m,doll_28.07,,doll_4.27 b,doll_19.74 b,,,,,,,,,,,
doll_3.69 m,doll_37.55,,doll_4.27 b,doll_19.73 b,,,,,,,,,,,
doll_20.5 m,doll_113.28,,doll_4.29 b,doll_19.70 b,,263 million usd,,,,,,,,,doll_3.712 m
doll_3.01 m,doll_178.22,,doll_4.27 b,doll_19.69 b,,351 million usd,,,,,,,,,doll_4.325 m
doll_1.65 m,doll_3.62,,doll_4.30 b,doll_19.67 b,,,,,,,,,,,
doll_4.05 m,doll_120.40,,doll_4.30 b,doll_19.67 b,,208 million usd,,,,,,,,,doll_5.452 m
doll_10.26 m,doll_7.14,,doll_4.26 b,doll_19.65 b,,325 million usd,,,,,,,,,327 million usd
doll_11.02 m,doll_8.60,,doll_4.29 b,doll_19.63 b,,,,,,,,,,,
doll_2.0 m,doll_12.55,,doll_4.28 b,doll_19.59 b,,,,,,,,,,,
doll_1.5 m,doll_146.73,,doll_4.29 b,doll_19.55 b,,,,,,,,,,,
doll_32.31 m,doll_15.36,,doll_4.26 b,doll_19.55 b,,,,,,,,,,,
doll_140.44 m,doll_10.90,,doll_4.28 b,doll_19.54 b,,,,,,,,,,,
doll_18.1 m,doll_3.45,,doll_4.30 b,doll_19.54 b,,,,,,,,,,,
doll_50.48 m,doll_15.30,,doll_4.30 b,doll_19.53 b,,16 million usd,,,,,,,,,175 million usd
doll_12.0 m,doll_9.44,,doll_4.29 b,doll_19.53 b,,,,,,,,,,,
doll_4.34 m,doll_24.30,,doll_4.27 b,doll_19.50 b,,,,,,,,,,,
doll_42.01 m,doll_487.61,,doll_4.31 b,doll_19.48 b,,,,,,,,,,,
doll_2.09 m,doll_177.60,,doll_4.32 b,doll_19.46 b,,-18 million usd,,,,,,,,,172 million usd
doll_7.01 m,doll_42.25,,doll_4.34 b,doll_19.44 b,,8 million usd,,,,,,,,,doll_3.152 m
doll_22.0 m,doll_101.30,,doll_4.34 b,doll_19.43 b,,79 million usd,,,,,,,,,770 million usd
doll_1.85 m,doll_86.51,,doll_4.31 b,doll_19.42 b,,,,,,,,,,,
doll_6.64 m,doll_5.12,,doll_4.32 b,doll_19.42 b,,58 million usd,,,,,,,,,doll_1.373 m
doll_36.22 m,doll_9.16,,doll_4.33 b,doll_19.39 b,,,,,,,,,,,
doll_9.31 m,doll_33.39,,doll_4.36 b,doll_19.36 b,,,,,,,,,,,
doll_2.96 m,doll_28.12,,doll_4.36 b,doll_19.27 b,,,,,,,,,,,
doll_3.6 m,doll_113.96,,doll_4.34 b,doll_19.25 b,,,,,,,,,,,
doll_2.85 m,doll_2.97,,doll_4.32 b,,,79 million usd,,,,,,,,,193 million usd
doll_3.96 m,doll_0.51,,doll_4.31 b,doll_19.21 b,,87 million usd,,,,,,,,,741 million usd
doll_1.66 m,doll_35.06,,doll_4.37 b,doll_19.20 b,,-63 million usd,,,,,,,,,515 million usd
doll_108.76 m,doll_0.59,,doll_4.37 b,doll_19.15 b,,,,,,,,,,,
doll_3.87 m,doll_16.20,,doll_4.36 b,doll_19.12 b,,317 million usd,,,,,,,,,doll_7.154 m
doll_3.2 m,doll_99.79,,doll_4.30 b,,,80 million usd,,,,,,,,,doll_1.334 m
doll_21.67 m,doll_9.04,,doll_4.37 b,doll_19.11 b,,21 million usd,,,,,,,,,531 million usd
doll_2.01 m,doll_22.94,,doll_4.37 b,doll_19.03 b,,,,,,,,,,,
doll_18.76 m,doll_24.52,,doll_4.39 b,doll_18.98 b,,-706 million usd,,,,,,,,,-706 million usd
doll_21.1 m,doll_1.82,,doll_4.40 b,doll_18.95 b,,-104 million usd,,,,,,,,,69 million usd
doll_30.37 m,doll_39.06,,doll_4.39 b,doll_18.94 b,,,,,,,,,,,
doll_2.6 m,doll_38.03,,doll_4.37 b,doll_18.93 b,,,,,,,,,,,
doll_880.81 m,doll_75.92,,doll_4.38 b,doll_18.91 b,,203 million usd,,,,,,,,,doll_1.636 m
doll_8.1 m,doll_40.65,,doll_4.37 b,doll_18.90 b,,57 million usd,,,,,,,,,128 million usd
doll_3.04 m,doll_4.10,,doll_4.40 b,doll_18.80 b,,-79 million usd,,,,,,,,,287 million usd
doll_1.8 m,doll_41.00,,doll_4.40 b,doll_18.79 b,,393 million usd,,,,,,,,,doll_11.076 m
doll_13.80 m,doll_63.66,,doll_4.39 b,,,14 million usd,,,,,,,,,doll_2.955 m
doll_55.56 m,doll_35.72,,doll_4.37 b,doll_18.78 b,,-131 million usd,,,,,,,,,102 million usd
doll_26.06 m,doll_0.62,,doll_4.38 b,doll_18.77 b,,-6 million usd,,,,,,,,,doll_1.996 m
doll_5.9 m,doll_23.74,,doll_4.38 b,doll_18.76 b,,,,,,,,,,,
doll_4.8 m,doll_87.02,,doll_4.39 b,doll_18.76 b,,,,,,,,,,,
doll_4.13 m,doll_56.07,,doll_4.38 b,doll_18.75 b,,,,,,,,,,,
doll_1.95 m,doll_33.77,,doll_4.42 b,doll_18.74 b,,161 million usd,,,,,,,,,doll_1.032 m
doll_17.18 m,doll_9.24,,doll_4.41 b,doll_18.72 b,,,,,,,,,,,
doll_1.8 m,doll_1.77,,doll_4.43 b,doll_18.72 b,,108 million usd,,,,,,,,,doll_1.304 m
doll_2.30 m,doll_87.32,,doll_4.41 b,doll_18.69 b,,-157 million usd,,,,,,,,,-146 million usd
doll_3.04 m,doll_6.65,,doll_4.42 b,doll_18.69 b,,280 million usd,,,,,,,,,283 million usd
doll_6.44 m,doll_26.88,,doll_4.45 b,doll_18.67 b,,,,,,,,,,,
doll_25.35 m,doll_1.20,,doll_4.43 b,doll_18.57 b,,332 million usd,,,,,,,,,337 million usd
doll_6.0 m,doll_73.42,,doll_4.46 b,doll_18.49 b,,373 million usd,,,,,,,,,378 million usd
doll_1.69 m,doll_79.63,,doll_4.45 b,doll_18.44 b,,55 million usd,,,,,,,,,452 million usd
doll_25.90 m,doll_7.79,,doll_4.43 b,doll_18.41 b,,-24 million usd,,,,,,,,,114 million usd
doll_6.63 m,doll_39.01,,doll_4.45 b,doll_18.41 b,,-156 million usd,,,,,,,,,0 million usd
doll_5.71 m,doll_2.21,,doll_4.44 b,doll_18.35 b,,doll_-1.184 m,,,,,,,,,doll_4.029 m
doll_10.21 m,doll_19.95,,doll_4.45 b,doll_18.35 b,,,,,,,,,,,
doll_1.7 m,doll_360.60,,doll_4.43 b,doll_18.33 b,,,,,,,,,,,
doll_6.0 m,doll_66.29,,doll_4.44 b,doll_18.32 b,,72 million usd,,,,,,,,,doll_1.510 m
doll_56.36 m,doll_6.14,,doll_4.42 b,doll_18.27 b,,,,,,,,,,,
doll_2.90 m,doll_13.16,,doll_4.47 b,doll_18.27 b,,153 million usd,,,,,,,,,506 million usd
doll_1.51 m,doll_25.16,,doll_4.47 b,doll_18.25 b,,342 million usd,,,,,,,,,718 million usd
doll_105.15 m,doll_27.61,,doll_4.49 b,doll_18.25 b,,-54 million usd,,,,,,,,,doll_2.886 m
doll_5.97 m,doll_0.29,,doll_4.47 b,doll_18.24 b,,173 million usd,,,,,,,,,doll_5.012 m
doll_7.9 m,doll_24.11,,doll_4.50 b,doll_18.23 b,,164 million usd,,,,,,,,,447 million usd
doll_3.29 m,doll_73.70,,doll_4.47 b,doll_18.21 b,,-303 million usd,,,,,,,,,194 million usd
