03-gren-revenue_2017_eu,07-silvestri-revenue_2017,01-DDD-revenue_2017_euro,03-gren-revenue_2020_eu
749940,"749,940","749,940",doll_2.78 m
2716240,"2,716,240","2,716,240",doll_10.06 m
1310532,"1,310,532","1,310,532",doll_4.42 m
410775,"410,775","410,775",doll_1.52 m
2191733,"2,191,733","2,191,733",doll_8.07 m
910392,"910,392","910,392",doll_3.35 m
691110,"691,110","691,110",doll_2.54 m
3336600,"3,336,600","3,336,600",doll_12.28 m
3743740,"3,743,740","3,743,740",doll_13.77 m
5233937,"5,233,937","5,233,937",doll_17.59 m
1304073,"1,304,073","1,304,073",doll_4.78 m
5474802,"5,474,802","5,474,802",doll_19.65 m
1375943,"1,375,943","1,375,943",doll_5.01 m
54990779,"54,990,779","54,990,779",doll_199.82 m
1158042,"1,158,042","1,158,042",doll_4.21 m
558480,"558,480","558,480",doll_2.03 m
1156596,"1,156,596","1,156,596",doll_4.18 m
419430,"419,430","419,430",doll_1.51 m
1276483,"1,276,483","1,276,483",doll_4.6 m
674560,"674,560","674,560",doll_2.43 m
1272558,"1,272,558","1,272,558",doll_4.58 m
4656191,"4,656,191","4,656,191",doll_16.75 m
2257390,"2,257,390","2,257,390",doll_8.11 m
6549376,"6,549,376","6,549,376",doll_21.52 m
15711602,"15,711,602","15,711,602",doll_55.14 m
5642145,"5,642,145","5,642,145",doll_20.25 m
1650756,"1,650,756","1,650,756",doll_5.91 m
910070,"910,070","910,070",doll_3.06 m
3904618,"3,904,618","3,904,618",doll_13.86 m
622989,"622,989","622,989",doll_2.23 m
580537,"580,537","580,537",doll_2.07 m
1018843,"1,018,843","1,018,843",doll_3.64 m
5573000,"5,573,000","5,573,000",doll_19.89 m
1127170,"1,127,170","1,127,170",doll_4.01 m
433540,"433,540","433,540",doll_1.54 m
3266703,"3,266,703","3,266,703",doll_11.59 m
644440,"644,440","644,440",doll_2.28 m
1778274,"1,778,274","1,778,274",doll_6.3 m
3498275,"3,498,275","3,498,275",doll_12.3 m
7477852,"7,477,852","7,477,852",doll_26.27 m
6242232,"6,242,232","6,242,232",doll_22.08 m
1646307,"1,646,307","1,646,307",doll_5.82 m
12259540,"12,259,540","12,259,540",doll_43.36 m
1031733,"1,031,733","1,031,733",doll_3.65 m
681652,"681,652","681,652",doll_2.41 m
1055100,"1,055,100","1,055,100",doll_3.73 m
3350270,"3,350,270","3,350,270",doll_11.79 m
32428296,"32,428,296","32,428,296",doll_114.04 m
1084616,"1,084,616","1,084,616",doll_3.79 m
1482100,"1,482,100","1,482,100",doll_5.21 m
5031697,"5,031,697","5,031,697",doll_17.56 m
2178629,"2,178,629","2,178,629",doll_7.57 m
2363526,"2,363,526","2,363,526",doll_8.2 m
1809858,"1,809,858","1,809,858",doll_6.33 m
9100083,"9,100,083","9,100,083",doll_31.76 m
547084,"547,084","547,084",doll_1.91 m
1568506,"1,568,506","1,568,506",doll_5.47 m
910973,"910,973","910,973",doll_2.72 m
2195780,"2,195,780","2,195,780",doll_7.62 m
5325214,"5,325,214","5,325,214",doll_18.48 m
1954609,"1,954,609","1,954,609",doll_6.73 m
658317,"658,317","658,317",doll_2.28 m
1079340,"1,079,340","1,079,340",doll_3.73 m
6137755,"6,137,755","6,137,755",doll_20.41 m
541582,"541,582","541,582",doll_1.87 m
2608093,"2,608,093","2,608,093",doll_8.99 m
452557,"452,557","452,557",doll_1.56 m
5283415,"5,283,415","5,283,415",doll_18.14 m
776268,"776,268","776,268",doll_2.66 m
25858983,"25,858,983","25,858,983",doll_88.59 m
12106480,"12,106,480","12,106,480",doll_41.47 m
1808710,"1,808,710","1,808,710",doll_6.19 m
1030000,"1,030,000","1,030,000",doll_3.52 m
15241075,"15,241,075","15,241,075",doll_51.64 m
1451770,"1,451,770","1,451,770",doll_4.95 m
13309441,"13,309,441","13,309,441",doll_42.51 m
22730529,"22,730,529","22,730,529",doll_77.36 m
3842670,"3,842,670","3,842,670",doll_13.07 m
7381686,"7,381,686","7,381,686",doll_25.04 m
687958,"687,958","687,958",doll_2.33 m
9987236,"9,987,236","9,987,236",doll_29.1 m
943718,"943,718","943,718",doll_3.19 m
973460,"973,460","973,460",doll_3.29 m
2543343,"2,543,343","2,543,343",doll_8.52 m
616520,"616,520","616,520",doll_2.08 m
10247832,"10,247,832","10,247,832",doll_34.49 m
3044054,"3,044,054","3,044,054",doll_10.24 m
947000,"947,000","947,000",doll_3.18 m
1351164,"1,351,164","1,351,164",doll_4.53 m
2410212,"2,410,212","2,410,212",doll_8.07 m
700960,"700,960","700,960",doll_2.35 m
3811838,"3,811,838","3,811,838",doll_12.76 m
881275,"881,275","881,275",doll_2.95 m
1385662,"1,385,662","1,385,662",doll_4.53 m
4476517,"4,476,517","4,476,517",doll_14.85 m
17203160,"17,203,160","17,203,160",doll_57.45 m
2618069,"2,618,069","2,618,069",doll_8.74 m
2002982,"2,002,982","2,002,982",doll_6.69 m
10518963,"10,518,963","10,518,963",doll_35.11 m
793957,"793,957","793,957",doll_2.65 m
1058063,"1,058,063","1,058,063",doll_3.23 m
1862272,"1,862,272","1,862,272",doll_6.21 m
4461170,"4,461,170","4,461,170",doll_14.86 m
772943,"772,943","772,943",doll_2.55 m
1414501,"1,414,501","1,414,501",doll_4.69 m
660767,"660,767","660,767",doll_2.18 m
4180523,"4,180,523","4,180,523",doll_13.86 m
1926967,"1,926,967","1,926,967",doll_6.39 m
1271353,"1,271,353","1,271,353",doll_4.21 m
4587687,"4,587,687","4,587,687",doll_15.08 m
7265350,"7,265,350","7,265,350",doll_24.05 m
8110160,"8,110,160","8,110,160",doll_26.82 m
1020690,"1,020,690","1,020,690",doll_3.37 m
1163241,"1,163,241","1,163,241",doll_3.51 m
810750,"810,750","810,750",doll_2.68 m
694501,"694,501","694,501",doll_2.27 m
1001740,"1,001,740","1,001,740",doll_3.3 m
9915609,"9,915,609","9,915,609",doll_32.39 m
1226000,"1,226,000","1,226,000",doll_4.03 m
17515305,"17,515,305","17,515,305",doll_57.09 m
1222870,"1,222,870","1,222,870",doll_4.01 m
1825769,"1,825,769","1,825,769",doll_5.99 m
5602279,"5,602,279","5,602,279",doll_18.18 m
2384156,"2,384,156","2,384,156",doll_7.78 m
1794120,"1,794,120","1,794,120",doll_5.86 m
8075796,"8,075,796","8,075,796",doll_26.14 m
3128700,"3,128,700","3,128,700",doll_10.19 m
5244000,"5,244,000","5,244,000",doll_17.05 m
906341,"906,341","906,341",doll_2.95 m
63207258,"63,207,258","63,207,258",doll_205.31 m
10300000,"10,300,000","10,300,000",doll_33.4 m
48580102,"48,580,102","48,580,102",doll_156.23 m
556159,"556,159","556,159",doll_1.8 m
1300000,"1,300,000","1,300,000",doll_4.2 m
834708,"834,708","834,708",doll_2.6 m
1602458,"1,602,458","1,602,458",doll_5.17 m
622800,"622,800","622,800",doll_2.01 m
6882489,"6,882,489","6,882,489",doll_22.02 m
17727950,"17,727,950","17,727,950",doll_57.06 m
2250946,"2,250,946","2,250,946",doll_7.19 m
4020469,"4,020,469","4,020,469",doll_12.93 m
1703819,"1,703,819","1,703,819",doll_5.48 m
10393680,"10,393,680","10,393,680",doll_33.37 m
1172617,"1,172,617","1,172,617",doll_3.76 m
1206770,"1,206,770","1,206,770",doll_3.87 m
5322238,"5,322,238","5,322,238",doll_16.92 m
719638,"719,638","719,638",doll_2.3 m
1094666,"1,094,666","1,094,666",doll_3.5 m
2171492,"2,171,492","2,171,492",doll_6.93 m
1111687,"1,111,687","1,111,687",doll_3.54 m
805029,"805,029","805,029",doll_2.55 m
12127395,"12,127,395","12,127,395",doll_38.37 m
9762332,"9,762,332","9,762,332",doll_30.89 m
879670,"879,670","879,670",doll_2.8 m
1674690,"1,674,690","1,674,690",doll_5.31 m
1344240,"1,344,240","1,344,240",doll_4.26 m
516164,"516,164","516,164",doll_1.64 m
12867410,"12,867,410","12,867,410",doll_40.78 m
3363800,"3,363,800","3,363,800",doll_9.73 m
10181000,"10,181,000","10,181,000",doll_32.17 m
809450,"809,450","809,450",doll_2.55 m
3033150,"3,033,150","3,033,150",doll_9.57 m
16075963,"16,075,963","16,075,963",doll_49.58 m
573070,"573,070","573,070",doll_1.81 m
1484883,"1,484,883","1,484,883",doll_4.39 m
676000,"676,000","676,000",doll_2.13 m
15610826,"15,610,826","15,610,826",doll_49.19 m
8271702,"8,271,702","8,271,702",doll_26.01 m
6615000,"6,615,000","6,615,000",doll_20.75 m
859960,"859,960","859,960",doll_2.7 m
666210,"666,210","666,210",doll_2.09 m
5229000,"5,229,000","5,229,000",doll_16.37 m
2031522,"2,031,522","2,031,522",doll_6.36 m
3342120,"3,342,120","3,342,120",doll_10.46 m
5105700,"5,105,700","5,105,700",doll_15.85 m
3264000,"3,264,000","3,264,000",doll_10.2 m
2601485,"2,601,485","2,601,485",doll_8.12 m
1171373,"1,171,373","1,171,373",doll_3.66 m
18649681,"18,649,681","18,649,681",doll_57.77 m
2531055,"2,531,055","2,531,055",doll_7.88 m
633990,"633,990","633,990",doll_1.97 m
1009846,"1,009,846","1,009,846",doll_3.14 m
1815835,"1,815,835","1,815,835",doll_5.63 m
2177950,"2,177,950","2,177,950",doll_6.74 m
2124990,"2,124,990","2,124,990",doll_6.57 m
4693330,"4,693,330","4,693,330",doll_13.26 m
1290312,"1,290,312","1,290,312",doll_3.98 m
1087520,"1,087,520","1,087,520",doll_3.35 m
2498792,"2,498,792","2,498,792",doll_7.7 m
3080610,"3,080,610","3,080,610",doll_9.48 m
1759490,"1,759,490","1,759,490",doll_5.41 m
667837,"667,837","667,837",doll_2.05 m
1072117,"1,072,117","1,072,117",doll_3.29 m
23141358,"23,141,358","23,141,358",doll_70.39 m
3730405,"3,730,405","3,730,405",doll_10.45 m
1031988,"1,031,988","1,031,988",doll_3.15 m
2850000,"2,850,000","2,850,000",doll_8.71 m
720650,"720,650","720,650",doll_2.2 m
4832212,"4,832,212","4,832,212",doll_14.73 m
1263420,"1,263,420","1,263,420",doll_3.83 m
1944720,"1,944,720","1,944,720",doll_5.89 m
1585727,"1,585,727","1,585,727",doll_4.79 m
2737704,"2,737,704","2,737,704",doll_8.27 m
868406,"868,406","868,406",doll_2.62 m
989785,"989,785","989,785",doll_2.57 m
1173908,"1,173,908","1,173,908",doll_3.54 m
590642,"590,642","590,642",doll_1.78 m
5561585,"5,561,585","5,561,585",doll_16.6 m
8022358,"8,022,358","8,022,358",doll_24.11 m
1140000,"1,140,000","1,140,000",doll_3.42 m
2119022,"2,119,022","2,119,022",doll_6.36 m
1078808,"1,078,808","1,078,808",doll_3.23 m
777849,"777,849","777,849",doll_2.33 m
3973460,"3,973,460","3,973,460",doll_11.9 m
2065220,"2,065,220","2,065,220",doll_6.18 m
1105569,"1,105,569","1,105,569",doll_3.31 m
24429686,"24,429,686","24,429,686",doll_72.5 m
8527777,"8,527,777","8,527,777",doll_25.45 m
15292051,"15,292,051","15,292,051",doll_45.62 m
2370645,"2,370,645","2,370,645",doll_7.07 m
753352,"753,352","753,352",doll_2.25 m
3880663,"3,880,663","3,880,663",doll_11.53 m
808700,"808,700","808,700",doll_2.4 m
3450305,"3,450,305","3,450,305",doll_9.98 m
11484801,"11,484,801","11,484,801",doll_33.9 m
787160,"787,160","787,160",doll_2.32 m
5137900,"5,137,900","5,137,900",doll_15.14 m
1897650,"1,897,650","1,897,650",doll_5.59 m
1126971,"1,126,971","1,126,971",doll_3.11 m
4245861,"4,245,861","4,245,861",doll_12.47 m
1461226,"1,461,226","1,461,226",doll_4.29 m
1326082,"1,326,082","1,326,082",doll_3.89 m
722795,"722,795","722,795",doll_2.12 m
1818032,"1,818,032","1,818,032",doll_5.32 m
964998,"964,998","964,998",doll_2.83 m
7709375,"7,709,375","7,709,375",doll_22.56 m
7000063,"7,000,063","7,000,063",doll_20.48 m
650000,"650,000","650,000",doll_1.9 m
828820,"828,820","828,820",doll_2.41 m
1181642,"1,181,642","1,181,642",doll_3.41 m
14649568,"14,649,568","14,649,568",doll_42.53 m
1395607,"1,395,607","1,395,607",doll_4.05 m
3868483,"3,868,483","3,868,483",doll_10.26 m
48449141,"48,449,141","48,449,141",doll_140.44 m
6246592,"6,246,592","6,246,592",doll_18.1 m
14500000,"14,500,000","14,500,000",doll_42.01 m
723064,"723,064","723,064",doll_2.09 m
12554325,"12,554,325","12,554,325",doll_36.22 m
3226280,"3,226,280","3,226,280",doll_9.31 m
575120,"575,120","575,120",doll_1.66 m
37992902,"37,992,902","37,992,902",doll_108.76 m
698300,"698,300","698,300",doll_2.01 m
6564162,"6,564,162","6,564,162",doll_18.76 m
2818652,"2,818,652","2,818,652",doll_8.1 m
19351090,"19,351,090","19,351,090",doll_55.56 m
685567,"685,567","685,567",doll_1.95 m
1060000,"1,060,000","1,060,000",doll_3.04 m
2329522,"2,329,522","2,329,522",doll_6.63 m
527910,"527,910","527,910",doll_1.51 m
36995102,"36,995,102","36,995,102",doll_105.15 m
2322241,"2,322,241","2,322,241",doll_6.63 m
3686000,"3,686,000","3,686,000",doll_10.51 m
659402,"659,402","659,402",doll_1.87 m
2462478,"2,462,478","2,462,478",doll_7.0 m
1424633,"1,424,633","1,424,633",doll_4.04 m
5915499,"5,915,499","5,915,499",doll_16.75 m
3977562,"3,977,562","3,977,562",doll_11.26 m
1592170,"1,592,170","1,592,170",doll_4.5 m
1022714,"1,022,714","1,022,714",doll_2.89 m
647020,"647,020","647,020",doll_1.81 m
2281929,"2,281,929","2,281,929",doll_6.44 m
6381674,"6,381,674","6,381,674",doll_17.89 m
581520,"581,520","581,520",doll_1.64 m
1799189,"1,799,189","1,799,189",doll_5.04 m
28668484,"28,668,484","28,668,484",doll_80.07 m
1944000,"1,944,000","1,944,000",doll_5.47 m
1207009,"1,207,009","1,207,009",doll_3.39 m
29564866,"29,564,866","29,564,866",doll_83.04 m
1586246,"1,586,246","1,586,246",doll_4.08 m
867960,"867,960","867,960",doll_2.44 m
4608343,"4,608,343","4,608,343",doll_11.83 m
2269510,"2,269,510","2,269,510",doll_6.36 m
1778890,"1,778,890","1,778,890",doll_4.99 m
3137630,"3,137,630","3,137,630",doll_8.79 m
554004,"554,004","554,004",doll_1.51 m
1386701,"1,386,701","1,386,701",doll_3.87 m
4040060,"4,040,060","4,040,060",doll_11.28 m
2809036,"2,809,036","2,809,036",doll_7.84 m
1610149,"1,610,149","1,610,149",doll_4.49 m
1083821,"1,083,821","1,083,821",doll_3.02 m
1241760,"1,241,760","1,241,760",doll_3.45 m
5547537,"5,547,537","5,547,537",doll_15.08 m
1006280,"1,006,280","1,006,280",doll_2.79 m
10925375,"10,925,375","10,925,375",doll_30.27 m
11207566,"11,207,566","11,207,566",doll_31.04 m
838200,"838,200","838,200",doll_2.32 m
3372820,"3,372,820","3,372,820",doll_9.32 m
12479120,"12,479,120","12,479,120",doll_34.41 m
574487,"574,487","574,487",doll_1.58 m
1028730,"1,028,730","1,028,730",doll_2.84 m
8362568,"8,362,568","8,362,568",doll_22.42 m
5908517,"5,908,517","5,908,517",doll_16.26 m
1438184,"1,438,184","1,438,184",doll_3.96 m
800000,"800,000","800,000",doll_2.2 m
4788000,"4,788,000","4,788,000",doll_13.17 m
2003540,"2,003,540","2,003,540",doll_5.5 m
944107,"944,107","944,107",doll_2.23 m
783460,"783,460","783,460",doll_2.15 m
31477723,"31,477,723","31,477,723",doll_83.98 m
3517519,"3,517,519","3,517,519",doll_9.64 m
12074454,"12,074,454","12,074,454",doll_33.08 m
6024830,"6,024,830","6,024,830",doll_16.5 m
1488875,"1,488,875","1,488,875",doll_4.07 m
2550263,"2,550,263","2,550,263",doll_6.97 m
9283620,"9,283,620","9,283,620",doll_25.36 m
1699234,"1,699,234","1,699,234",doll_4.54 m
579436,"579,436","579,436",doll_1.58 m
1010498,"1,010,498","1,010,498",doll_2.73 m
3811605,"3,811,605","3,811,605",doll_10.37 m
1632988,"1,632,988","1,632,988",doll_4.06 m
25003047,"25,003,047","25,003,047",doll_68.01 m
2210651,"2,210,651","2,210,651",doll_6.01 m
823381,"823,381","823,381",doll_2.24 m
2287420,"2,287,420","2,287,420",doll_6.2 m
1314806,"1,314,806","1,314,806",doll_3.56 m
870070,"870,070","870,070",doll_2.36 m
1178653,"1,178,653","1,178,653",doll_3.19 m
5376347,"5,376,347","5,376,347",doll_14.55 m
34291000,"34,291,000","34,291,000",doll_92.8 m
1838120,"1,838,120","1,838,120",doll_4.97 m
6170577,"6,170,577","6,170,577",doll_16.69 m
1238210,"1,238,210","1,238,210",doll_3.35 m
1490280,"1,490,280","1,490,280",doll_4.02 m
29247774,"29,247,774","29,247,774",doll_78.77 m
2006100,"2,006,100","2,006,100",doll_5.39 m
1932580,"1,932,580","1,932,580",doll_5.19 m
7576080,"7,576,080","7,576,080",doll_18.62 m
13997000,"13,997,000","13,997,000",doll_37.61 m
3620585,"3,620,585","3,620,585",doll_9.51 m
2009719,"2,009,719","2,009,719",doll_4.65 m
7606472,"7,606,472","7,606,472",doll_20.39 m
655366,"655,366","655,366",doll_1.76 m
5268390,"5,268,390","5,268,390",doll_14.11 m
888395,"888,395","888,395",doll_2.38 m
794770,"794,770","794,770",doll_2.13 m
702609,"702,609","702,609",doll_1.88 m
5023015,"5,023,015","5,023,015",doll_13.44 m
703190,"703,190","703,190",doll_1.88 m
8552857,"8,552,857","8,552,857",doll_22.84 m
2500644,"2,500,644","2,500,644",doll_6.67 m
5851000,"5,851,000","5,851,000",doll_15.6 m
986286,"986,286","986,286",doll_2.63 m
1741112,"1,741,112","1,741,112",doll_4.64 m
676431,"676,431","676,431",doll_1.8 m
1467195,"1,467,195","1,467,195",doll_3.91 m
3477788,"3,477,788","3,477,788",doll_9.25 m
10944325,"10,944,325","10,944,325",doll_29.08 m
4794822,"4,794,822","4,794,822",doll_12.73 m
14683064,"14,683,064","14,683,064",doll_38.96 m
6801966,"6,801,966","6,801,966",doll_18.04 m
14051407,"14,051,407","14,051,407",doll_36.96 m
1729707,"1,729,707","1,729,707",doll_4.41 m
2395445,"2,395,445","2,395,445",doll_6.3 m
1236098,"1,236,098","1,236,098",doll_3.25 m
910386,"910,386","910,386",doll_2.41 m
1017320,"1,017,320","1,017,320",doll_2.69 m
2199126,"2,199,126","2,199,126",doll_5.76 m
2826571,"2,826,571","2,826,571",doll_7.45 m
1749794,"1,749,794","1,749,794",doll_4.61 m
6398583,"6,398,583","6,398,583",doll_16.85 m
1167000,"1,167,000","1,167,000",doll_3.07 m
2429230,"2,429,230","2,429,230",doll_6.38 m
16000000,"16,000,000","16,000,000",doll_42.0 m
4443710,"4,443,710","4,443,710",doll_11.65 m
1071090,"1,071,090","1,071,090",doll_2.8 m
675645,"675,645","675,645",doll_1.77 m
9009270,"9,009,270","9,009,270",doll_23.58 m
2409730,"2,409,730","2,409,730",doll_6.3 m
1900000,"1,900,000","1,900,000",doll_4.97 m
1897113,"1,897,113","1,897,113",doll_4.85 m
639410,"639,410","639,410",doll_1.67 m
9515000,"9,515,000","9,515,000",doll_24.87 m
12686177,"12,686,177","12,686,177",doll_33.14 m
4117340,"4,117,340","4,117,340",doll_10.75 m
14327610,"14,327,610","14,327,610",doll_37.39 m
28939861,"28,939,861","28,939,861",doll_74.72 m
2233448,"2,233,448","2,233,448",doll_5.68 m
596906,"596,906","596,906",doll_1.55 m
6278456,"6,278,456","6,278,456",doll_16.2 m
2968892,"2,968,892","2,968,892",doll_7.7 m
997518,"997,518","997,518",doll_2.59 m
3417536,"3,417,536","3,417,536",doll_8.86 m
24320734,"24,320,734","24,320,734",doll_62.95 m
661860,"661,860","661,860",doll_1.71 m
1005658,"1,005,658","1,005,658",doll_2.6 m
9161867,"9,161,867","9,161,867",doll_23.67 m
3647000,"3,647,000","3,647,000",doll_9.41 m
4526000,"4,526,000","4,526,000",doll_11.67 m
900686,"900,686","900,686",doll_2.7 m
1302640,"1,302,640","1,302,640",doll_3.36 m
6712146,"6,712,146","6,712,146",doll_17.29 m
2059190,"2,059,190","2,059,190",doll_5.3 m
5144442,"5,144,442","5,144,442",doll_13.22 m
19753150,"19,753,150","19,753,150",doll_50.74 m
916000,"916,000","916,000",doll_2.35 m
21717432,"21,717,432","21,717,432",doll_56.05 m
1332330,"1,332,330","1,332,330",doll_3.41 m
6909799,"6,909,799","6,909,799",doll_19.3 m
8575344,"8,575,344","8,575,344",doll_21.9 m
1382844,"1,382,844","1,382,844",doll_3.53 m
1074130,"1,074,130","1,074,130",doll_2.74 m
22805398,"22,805,398","22,805,398",doll_58.14 m
818658,"818,658","818,658",doll_2.09 m
679440,"679,440","679,440",doll_1.73 m
12153143,"12,153,143","12,153,143",doll_30.97 m
7399729,"7,399,729","7,399,729",doll_18.85 m
9717860,"9,717,860","9,717,860",doll_24.74 m
