03-gren-revenue_2017_eu,07-silvestri-revenue_2017,01-DDD-revenue_2017_euro,03-gren-revenue_2020_eu
2131000,"2,131,000","2,131,000",doll_22.14 m
1521010,"1,521,010","1,521,010",doll_15.49 m
194780,"194,780","194,780",doll_2.02 m
291720,"291,720","291,720",doll_3.0 m
167000,"167,000","167,000",doll_1.72 m
552355,"552,355","552,355",doll_5.64 m
1269382,"1,269,382","1,269,382",doll_12.79 m
4340517,"4,340,517","4,340,517",doll_43.81 m
249975,"249,975","249,975",doll_2.52 m
156300,"156,300","156,300",doll_1.57 m
204620,"204,620","204,620",doll_2.03 m
2693390,"2,693,390","2,693,390",doll_26.63 m
3058141,"3,058,141","3,058,141",doll_29.62 m
2456563,"2,456,563","2,456,563",doll_20.83 m
230800,"230,800","230,800",doll_2.27 m
1870109,"1,870,109","1,870,109",doll_18.2 m
7450099,"7,450,099","7,450,099",doll_72.04 m
280390,"280,390","280,390",doll_2.71 m
1217338,"1,217,338","1,217,338",doll_11.5 m
529371,"529,371","529,371",doll_5.02 m
7177912,"7,177,912","7,177,912",doll_66.15 m
429505,"429,505","429,505",doll_4.05 m
2096570,"2,096,570","2,096,570",doll_19.45 m
479290,"479,290","479,290",doll_4.44 m
735758,"735,758","735,758",doll_6.8 m
374200,"374,200","374,200",doll_3.46 m
530785,"530,785","530,785",doll_4.71 m
533144,"533,144","533,144",doll_4.86 m
308810,"308,810","308,810",doll_2.81 m
252871,"252,871","252,871",doll_2.27 m
1052796,"1,052,796","1,052,796",doll_9.39 m
3046667,"3,046,667","3,046,667",doll_26.53 m
1057443,"1,057,443","1,057,443",doll_8.61 m
237410,"237,410","237,410",doll_2.11 m
1255372,"1,255,372","1,255,372",doll_11.12 m
18035029,"18,035,029","18,035,029",doll_156.62 m
2531000,"2,531,000","2,531,000",doll_22.39 m
551128,"551,128","551,128",doll_4.87 m
273552,"273,552","273,552",doll_2.41 m
299988,"299,988","299,988",doll_2.6 m
1340430,"1,340,430","1,340,430",doll_11.59 m
228982,"228,982","228,982",doll_1.98 m
570564,"570,564","570,564",doll_4.88 m
651170,"651,170","651,170",doll_5.59 m
262280,"262,280","262,280",doll_2.24 m
400000,"400,000","400,000",doll_3.4 m
2133310,"2,133,310","2,133,310",doll_18.03 m
2025879,"2,025,879","2,025,879",doll_17.06 m
1815680,"1,815,680","1,815,680",doll_15.25 m
2264940,"2,264,940","2,264,940",doll_18.94 m
295731,"295,731","295,731",doll_2.46 m
305268,"305,268","305,268",doll_2.18 m
327218,"327,218","327,218",doll_2.63 m
191679,"191,679","191,679",doll_1.58 m
1349733,"1,349,733","1,349,733",doll_11.09 m
481510,"481,510","481,510",doll_3.94 m
812371,"812,371","812,371",doll_6.64 m
26112757,"26,112,757","26,112,757",doll_210.95 m
1575522,"1,575,522","1,575,522",doll_12.68 m
7415334,"7,415,334","7,415,334",doll_60.07 m
833230,"833,230","833,230",doll_6.74 m
1119178,"1,119,178","1,119,178",doll_8.98 m
249818,"249,818","249,818",doll_1.97 m
6280267,"6,280,267","6,280,267",doll_50.72 m
5026349,"5,026,349","5,026,349",doll_40.31 m
440369,"440,369","440,369",doll_3.52 m
1315000,"1,315,000","1,315,000",doll_10.5 m
8811708,"8,811,708","8,811,708",doll_70.18 m
1134730,"1,134,730","1,134,730",doll_9.02 m
19757296,"19,757,296","19,757,296",doll_155.6 m
796207,"796,207","796,207",doll_6.32 m
2448858,"2,448,858","2,448,858",doll_19.42 m
13157000,"13,157,000","13,157,000",doll_103.63 m
