,name,address,country,hhid,industry,sic_code,type,est_of_ownership
11,Esso Italiana Srl,"VIALE CASSALA 57, MILANO, 20143, MILANO, ITALY",IT00902231000,H-IT0009235574,Wholesale Trade,Whol petroleum products (5172),Corporation,1891
12,Poste Italiane Spa,"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY",IT01114601006,H-IT0072035536,"Transportation, Communications, Electric, Gas, and Sanitary Services",U.S. Postal Service (4311),Corporation,1861
13,A2a Spa,"CORSO DI PORTA VITTORIA 4, MILANO, 20122, MILANO, ITALY",IT11957540153,H-IT0072707569,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1996
14,Arrow Electronics Emeasa Srl,"VIALE DELL'INNOVAZIONE 3, MILANO, 20126, MILANO, ITALY",IT03712140965,H-IT0073209457,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2002
15,Edison Spa,"FORO BUONAPARTE 31, MILANO, 20121, MILANO, ITALY",IT08263330014,H-IT0012735906,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1994
16,Ferrovie Dello Stato Italiane Spa,"PIAZZA DELLA CROCE ROSSA 1, ROMA, 00161, ROMA, ITALY",IT06359501001,H-IT0056073372,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1992
17,Prysmian Spa,"VIA CHIESE 6, MILANO, 20126, MILANO, ITALY",IT04866320965,H-IT0073901547,Wholesale Trade,Metals service center (5051),Corporation,2005
18,Leonardo Spa,"PIAZZA MONTE GRAPPA 4, ROMA, 00195, ROMA, ITALY",IT00881841001,H-IT0011199660,Manufacturing,Mfg aircraft (3721),Corporation,1897
19,Generali Italia Spa,"VIA MAROCCHESA 14, MOGLIANO VENETO, 31021, TREVISO, ITALY",IT00885351007,H-IT0008844852,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,1927
20,Enel Energia Spa,"VIA SAN GIOVANNI SUL MURO 9, MILANO, 20121, MILANO, ITALY",IT06655971007,H-IT0049563734,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1962
21,Intesa Sanpaolo Spa,"VIA MONTE DI PIETA' 8, MILANO, 20121, MILANO, ITALY",IT10810700152,H-IT0026290537,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1925
22,Telecom Italia Spa,"VIA GAETANO NEGRI 1, MILANO, 20123, MILANO, ITALY",IT00488410010,H-IT0010336109,"Transportation, Communications, Electric, Gas, and Sanitary Services",Telephone communications (4813),Corporation,1908
23,Poste Vita Spa,"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY",IT05927271006,H-IT0012766704,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1996
24,Fca Italy S.p.a. In Forma Fiat Chrysler Automobiles E In Forma Abbreviato Fiat Group Autom,"CORSO GIOVANNI AGNELLI 200, TORINO, 10135, TORINO, ITALY",IT07973780013,H-IT0075465809,Manufacturing,Mfg motor vehicle/car bodies (3711),Corporation,1978
25,Enel Italia Spa,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY",IT06377691008,H-IT0049563343,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2001
26,Gestore Dei Mercati Energetici Spa,"VIALE MARESCIALLO PILSUDSKI 122/124, ROMA, 00197, ROMA, ITALY",IT06208031002,H-IT0056071078,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2000
27,Amazon Eu S.a Rl,"VIALE MONTE GRAPPA 3/5, MILANO, 20124, MILANO, ITALY",IT08973230967,H-IT0044869029,Retail Trade,Ret mail-order house (5961),Foreign Company,2011
28,Gestore Dei Servizi Energetici - Gse Spa,"VIALE MARESCIALLO PILSUDSKI 92, ROMA, 00197, ROMA, ITALY",IT05754381001,H-IT0008779732,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
29,Eni Spa,"PIAZZALE ENRICO MATTEI 1, ROMA, 00144, ROMA, ITALY",IT00905811006,H-IT0032444168,Manufacturing,Petroleum refiner (2911),Corporation,1953
30,Iveco Spa,"VIA PUGLIA 35, TORINO, 10156, TORINO, ITALY",IT09709770011,H-IT0002560860,Manufacturing,Mfg motor vehicle/car bodies (3711),Corporation,1974
31,Lidl Italia Srl,"VIA AUGUSTO RUFFO 36, ARCOLE, 37040, VERONA, ITALY",IT02275030233,H-IT0061825417,Wholesale Trade,Whol non durable goods (5199),Corporation,1991
32,Webuild Spa,"CENTRO DIREZIONALE MILANOFIORI SNC, ROZZANO, 20089, MILANO, ITALY",IT02895590962,H-IT0008505748,Construction,Heavy construction (1629),Corporation,1959
33,Atlantia Spa,"PIAZZA DI SAN SILVESTRO 8, ROMA, 00187, ROMA, ITALY",IT03731380261,H-IT0072354208,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1950
34,Salini Costruttori Spa,"VIA DEL LAURO 3, MILANO, 20121, MILANO, ITALY",IT00892101007,H-IT0011203706,Construction,Operative builders (1531),Corporation,1972
35,Amazon Web Services Emea Sarl,"VIALE MONTE GRAPPA 3/5, MILANO, 20124, MILANO, ITALY",IT10119840964,H-IT0058458530,Services,Computer related services (7379),Foreign Company,2017
36,Allianz Spa,"PIAZZA TRE TORRI 3, MILANO, 20145, MILANO, ITALY",IT05032630963,H-IT0007923414,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1911
37,Mediolanum Vita Spa,"VIA FRANCESCO SFORZA, BASIGLIO, 20079, MILANO, ITALY",IT01749470157,H-IT0065539494,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,1972
38,Engie Italia Spa,"VIALE FULVIO TESTI 280, MILANO, 20126, MILANO, ITALY",IT06289781004,H-IT0061508462,Services,Engineering services (8711),Corporation,2000
