,name,address,country,hhid,industry,sic_code,type,est_of_ownership
132,Gruppo Unicomm Spa,"VIA ENRICO MATTEI 50, DUEVILLE, 36031, VICENZA, ITALY",IT00169710241,H-IT0027831833,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1969
133,Chiesi Farmaceutici Spa,"VIA PALERMO 26/A, PARMA, 43122, PARMA, ITALY",IT01513360345,H-IT0061929093,Manufacturing,Mfg pharmaceutical preparations (2834),Corporation,1935
134,Valline Srl,"STRADELLO MARCHE 6, PARMA, 43121, PARMA, ITALY",08995890152,H-IT0009252584,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1990
135,Eni Fuel Spa,"VIALE GIORGIO RIBOTTA 51, ROMA, 00144, ROMA, ITALY",IT02701740108,H-IT0008914168,Retail Trade,Gasoline service station (5541),Corporation,1985
136,Comifar Spa,"VIA FRATELLI DI DIO 2, NOVATE MILANESE, 20026, MILANO, ITALY",IT00724400155,H-IT0008052069,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1944
137,Whirlpool Emea Spa,"STRADA PROVINCIALE ARCEVIESE 139/A, FABRIANO, 60044, ANCONA, ITALY",IT00693740425,H-IT0011430680,Manufacturing,Mfg electric housewares/fans (3634),Corporation,1930
138,Bmw Italia Spa,"VIA DELL'UNIONE EUROPEA 1, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT12532500159,H-IT0009532196,Retail Trade,Ret new/used automobiles (5511),Corporation,1973
139,Conad Nord Ovest Societa' Cooperativa A R.l.,"VIA BURE VECCHIA NORD 10, PISTOIA, 51100, PISTOIA, ITALY",IT01977130473,H-IT0216517075,Wholesale Trade,Whol general groceries (5141),Corporation,1964
140,Unicoop Firenze Soc Coop,"VIA SANTA REPARATA 43, FIRENZE, 50129, FIRENZE, ITALY",IT00407780485,H-IT0027424928,"Finance, Insurance, and Real Estate",Real property lessor (6519),Corporation,1891
141,Spesa Intelligente Spa,"VIA CAMPALTO 3/D, SAN MARTINO BUON ALBERGO, 37036, VERONA, ITALY",IT02416840235,H-IT0069606331,Wholesale Trade,Whol groceries (5149),Corporation,1992
142,Banca Monte Dei Paschi Di Siena Spa,"PIAZZA SALIMBENI 3, SIENA, 53100, SIENA, ITALY",IT00884060526,H-IT0028646150,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1472
143,Rai Radiotelevisione Italiana Spa,"VIALE GIUSEPPE MAZZINI 14, ROMA, 00195, ROMA, ITALY",IT06382641006,H-IT0052507467,"Transportation, Communications, Electric, Gas, and Sanitary Services",Television station (4833),Corporation,2001
144,De La Costa Srl,"VIA PORTICI UMBERTO I 5/3, MALCESINE, 37018, VERONA, ITALY",IT04579370232,H-IT0062449729,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2018
145,Calzedonia Holding Spa,"VIA MONTE BALDO 20, VILLAFRANCA DI VERONA, 37062, VERONA, ITALY",IT03742500238,H-IT0002216302,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2008
146,Eurizon Capital Sgr Spa,"PIAZZETTA GIORDANO DELL'AMORE 3, MILANO, 20121, MILANO, ITALY",IT12914730150,H-IT0036432156,"Finance, Insurance, and Real Estate",Investment advisory service (6282),Corporation,1983
147,Finiper Canova Group Spa,"VIA AMILCARE PONCHIELLI 7, MILANO, 20129, MILANO, ITALY",IT06154870965,H-IT0004175387,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2008
148,Bper Banca Spa,"VIA SAN CARLO 8/20, MODENA, 41121, MODENA, ITALY",IT01153230360,H-IT0051823365,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1867
149,Gecos - Generale Di Commercio E Servizi Spa,"VIA DELLE INDUSTRIE 8, SPINEA, 30038, VENEZIA, ITALY",IT01581890272,H-IT0034418431,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1958
150,Gruppo Pam Spa,"VIA DELLE INDUSTRIE 8, SPINEA, 30038, VENEZIA, ITALY",IT01534730278,H-IT0000168572,Wholesale Trade,Whol general groceries (5141),Corporation,1980
151,Ibm Italia Spa,"CIRCONVALLAZIONE IDROSCALO SNC, SEGRATE, 20054, MILANO, ITALY",IT10914660153,H-IT0070576246,Services,Custom computer programming (7371),Corporation,1927
152,Brembo Spa,"VIALE EUROPA 2, STEZZANO, 24040, BERGAMO, ITALY",IT00222620163,H-IT0014781409,Manufacturing,Mfg motor vehicle parts/accessories (3714),Corporation,1971
153,Nuova Fourb Srl,"VIA MONTE ORTIGARA 5, BERGAMO, 24121, BERGAMO, ITALY",IT03165690169,H-IT0002214997,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2004
154,Sky Italia Srl,"VIA MONTE PENICE 7, MILANO, 20138, MILANO, ITALY",IT04619241005,H-IT0071659145,"Transportation, Communications, Electric, Gas, and Sanitary Services",Television station (4833),Corporation,1993
155,Barilla G. E R. Fratelli Spa,"VIA MANTOVA 166, PARMA, 43122, PARMA, ITALY",IT01654010345,H-IT0049411330,Manufacturing,Mfg macaroni/spaghetti (2098),Corporation,1988
156,Alitalia Societa' Aerea Italiana Spa,"VIA ALBERTO NASSETTI PAL.ALFA SNC, FIUMICINO, 00054, ROMA, ITALY",IT13029381004,H-IT0043242537,"Transportation, Communications, Electric, Gas, and Sanitary Services",Scheduled air transportation (4512),Corporation,1999
157,Bolton Group Srl,"VIA GIOVANNI BATTISTA PIRELLI 19, MILANO, 20124, MILANO, ITALY",IT05983890152,H-IT0068385552,Services,Business services (7389),Corporation,1980
158,Factor Holding Srl,"VIA GIOVANNI BATTISTA PIRELLI 19, MILANO, 20124, MILANO, ITALY",IT07224860960,H-IT0020453108,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2010
159,Anas Spa,"VIA MONZAMBANO 10, ROMA, 00185, ROMA, ITALY",IT02133681003,H-IT0049402331,"Transportation, Communications, Electric, Gas, and Sanitary Services",Transportation services (4789),Corporation,1950
160,Maire Tecnimont Spa,"VIA GAETANO DE CASTILLIA 6/A, MILANO, 20124, MILANO, ITALY",IT07673571001,H-IT0074296558,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2003
161,Samsung Electronics Italia Spa,"VIA MIKE BONGIORNO 9, MILANO, 20124, MILANO, ITALY",IT11325690151,H-IT0065500911,Wholesale Trade,Whol appliances/tv/radio (5064),Corporation,1991
162,Renault Italia Spa,"VIA TIBURTINA 1159, ROMA, 00156, ROMA, ITALY",IT05811161008,H-IT0011169516,Retail Trade,Ret new/used automobiles (5511),Corporation,1962
163,Axa Assicurazioni Spa,"CORSO COMO 17, MILANO, 20154, MILANO, ITALY",IT00902170018,H-IT0010264795,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1947
164,Mediamarket Spa,"VIA FURLANELLI 69, VERANO BRIANZA, 20843, MONZA E BRIANZA, ITALY",IT02630120166,H-IT0062356658,Retail Trade,Ret misc general merchandise (5399),Corporation,1990
165,Finarvedi Spa,"PIAZZA LODI 7, CREMONA, 26100, CREMONA, ITALY",IT04587230154,H-IT0020650884,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1979
166,Inalca Spa,"VIA SPILAMBERTO 30/C, CASTELVETRO DI MODENA, 41014, MODENA, ITALY",IT02562260360,H-IT0047540028,Manufacturing,Meat packing plant (2011),Corporation,1988
167,Banca Nazionale Del Lavoro Spa,"VIALE ALTIERO SPINELLI 30, ROMA, 00157, ROMA, ITALY",IT09339391006,H-IT0075933586,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,2007
168,Fastweb Spa,"VIA FRANCESCO CARACCIOLO 51, MILANO, 20155, MILANO, ITALY",IT12878470157,H-IT0073082406,"Transportation, Communications, Electric, Gas, and Sanitary Services",Telephone communications (4813),Corporation,1999
169,Finbre Spa,"VIALE DEL LAVORO 20, BELFIORE, 37050, VERONA, ITALY",IT01907700239,H-IT0053224930,"Finance, Insurance, and Real Estate",Subdivider/developer (6552),Corporation,1986
170,Maxi Di Srl,"VIALE DEL LAVORO 20, BELFIORE, 37050, VERONA, ITALY",IT00542090238,H-IT0037877445,Retail Trade,Ret groceries (5411),Corporation,1975
171,Swisscom Italia Srl,"PIAZZA ADRIANO OLIVETTI 1, MILANO, 20139, MILANO, ITALY",IT09412871007,H-IT0073228761,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2007
172,Zurich Investments Life Spa,"VIA BENIGNO CRESPI 23, MILANO, 20159, MILANO, ITALY",IT08921640150,H-IT0065538978,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1952
173,Arca Vita Spa,"VIA DEL FANTE 21, VERONA, 37122, VERONA, ITALY",IT01947090237,H-IT0056068484,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1987
174,Agricola Tre Valli Societa' Cooperativa,"VIA VALPANTENA 18/G, VERONA, 37142, VERONA, ITALY",IT02447620234,H-IT0050197304,Manufacturing,Poultry processing (2015),Corporation,1983
175,Conad Consorzio Nazionale Dettaglianti Soc Coop,"VIA MICHELINO 59, BOLOGNA, 40127, BOLOGNA, ITALY",IT03320960374,H-IT0017623804,Wholesale Trade,Whol non durable goods (5199),Corporation,1962
176,Sesa Spa,"VIA DELLA PIOVOLA 138, EMPOLI, 50053, FIRENZE, ITALY",IT07116910964,H-IT0021553033,Services,Management consulting services (8742),Corporation,2010
177,Terna Rete Elettrica Nazionale Spa,"VIALE EGIDIO GALBANI 70, ROMA, 00156, ROMA, ITALY",IT05779661007,H-IT0009518258,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
178,Moncler Spa,"VIA ENRICO STENDHAL 47, MILANO, 20144, MILANO, ITALY",IT04642290961,H-IT0002491664,"Finance, Insurance, and Real Estate",Patent owner/lessor (6794),Corporation,2004
179,Michelin Italiana S.a.m.i. Spa,"CORSO GIULIO CESARE 424/95/C, TORINO, 10156, TORINO, ITALY",IT00570070011,H-IT0010302581,Manufacturing,Mfg tires/inner tubes (3011),Corporation,1930
180,Brt Spa,"VIA ENRICO MATTEI 42, BOLOGNA, 40138, BOLOGNA, ITALY",IT04507990150,H-IT0022984526,"Transportation, Communications, Electric, Gas, and Sanitary Services",Trucking operator-non local (4213),Corporation,1979
181,De' Longhi Appliances Srl,"VIA LODOVICO SEITZ 47, TREVISO, 31100, TREVISO, ITALY",IT00698370962,H-IT0009358986,Manufacturing,Mfg electric housewares/fans (3634),Corporation,1968
182,Ford Italia Spa,"VIA DEL SERAFICO 89, ROMA, 00142, ROMA, ITALY",IT00894451004,H-IT0008847908,Retail Trade,Ret new/used automobiles (5511),Corporation,1929
183,So.fi.d.a. Spa,"CONTRADA DELLA MISERICORDIA 14, VICENZA, 36100, VICENZA, ITALY",IT02037780240,H-IT0039940438,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1988
184,Arianna 2001 Spa,"VIA LEOPOLDO SERRA 32, ROMA, 00153, ROMA, ITALY",IT01690551005,H-IT0002323834,Services,Business services (7389),Corporation,1985
185,Recordati Industria Chimica E Farmaceutica Spa,"VIA MATTEO CIVITALI 1, MILANO, 20148, MILANO, ITALY",IT00748210150,H-IT0009754954,Manufacturing,Mfg pharmaceutical preparations (2834),Corporation,1926
186,Leroy Merlin Italia Srl,"STRADA 8 PALAZZO N MILANOFIORI, ROZZANO, 20089, MILANO, ITALY",IT05602710963,H-IT0001474030,Retail Trade,Ret misc general merchandise (5399),Corporation,1993
187,Vittoria Assicurazioni Spa,"VIA IGNAZIO GARDELLA 2, MILANO, 20149, MILANO, ITALY",IT01329510158,H-IT0009852255,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,1921
188,Vanini Holding Srl,"VIA ANSPERTO 7, MILANO, 20123, MILANO, ITALY",IT04626420964,H-IT0024524522,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2004
189,Fedrigoni Spa,"VIA ENRICO FERMI 13/F, VERONA, 37135, VERONA, ITALY",IT01664630223,H-IT0073057495,Manufacturing,Paper mill (2621),Corporation,1961
190,Gruppo Ipg Holding Spa,"VIALE BIANCA MARIA 24, MILANO, 20129, MILANO, ITALY",IT05830220967,H-IT0024173657,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2007
191,Bg Holding Srl,"VIA BORGONUOVO 14, MILANO, 20121, MILANO, ITALY",IT11400920960,H-IT0587875608,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2020
192,Burgo Group Spa,"VIA PIAVE 1, ALTAVILLA VICENTINA, 36077, VICENZA, ITALY",IT13051890153,H-IT0075590115,Manufacturing,Paper mill (2621),Corporation,1905
193,Gruppo Lactalis Italia Srl,"VIA FLAVIO GIOIA 8, MILANO, 20149, MILANO, ITALY",IT04889820967,H-IT0007749643,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2002
194,Megaholding Srl,"STRADA PROVINCIALE 130 ANDRIA-TRANI, TRANI, 76125, BARLETTA ANDRIA TRANI, ITALY",IT01149290726,H-IT0013320254,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1979
195,Betflag Spa,"ZONA INDUSTRIALE DI BARAGIANO SNC, BALVANO, 85050, POTENZA, ITALY",IT01779160769,H-IT0020126247,Services,Amusement/recreation services (7999),Corporation,2010
196,Computer Gross Spa,"VIA DEL PINO 1, EMPOLI, 50053, FIRENZE, ITALY",IT04801490485,H-IT0075070049,Wholesale Trade,Whol computers/peripherals (5045),Corporation,1993
197,Publitalia 80 Concessionaria Pubblicita' Spa,"VIALE EUROPA 46, COLOGNO MONZESE, 20093, MILANO, ITALY",IT04529390157,H-IT0025357808,Services,Advertising representative (7313),Corporation,1979
198,Papiniano Spa,"VIA GUGLIELMO MARCONI 36, BOLOGNA, 40122, BOLOGNA, ITALY",IT03527610376,H-IT0030349982,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1985
199,Ies Italiana Energia E Servizi Spa,"STRADA CIPATA 79, MANTOVA, 46100, MANTOVA, ITALY",IT03123470100,H-IT0036784486,Manufacturing,Petroleum refiner (2911),Corporation,1975
200,Commercianti Indipendenti Associati Soc Coop,"VIA DEI MERCANTI 3, FORLI', 47122, FORLI'-CESENA, ITALY",IT00138950407,H-IT0035389850,Wholesale Trade,Whol general groceries (5141),Corporation,1959
201,Casillo Partecipazioni Spa,"VIA ANTONIO SANT'ELIA, CORATO, 70033, BARI, ITALY",IT05287570724,H-IT0071883754,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1998
202,Otb Spa,"VIA DELL'INDUSTRIA 2, BREGANZE, 36042, VICENZA, ITALY",IT01571110244,H-IT0034407464,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1981
203,Ansaldo Energia Spa,"VIA NICOLA LORENZI 8, GENOVA, 16152, GENOVA, ITALY",IT03279700102,H-IT0009920250,Manufacturing,Mfg turbines/generator sets (3511),Corporation,1953
204,Romeo Gas Spa,"VIA VERIZZO 1030, PIEVE DI SOLIGO, 31053, TREVISO, ITALY",IT12060630964,H-IT0888727319,"Transportation, Communications, Electric, Gas, and Sanitary Services",Gas transmission/distribution (4923),Corporation,2021
205,Sg Distribuzione Srl,"VIA GIORGIO PERLASCA 20/C, FIDENZA, 43036, PARMA, ITALY",IT03000750343,H-IT1038511118,"Transportation, Communications, Electric, Gas, and Sanitary Services",Gas transmission/distribution (4923),Corporation,2022
206,Radicifin Sapa,"VIA GIUSEPPE VERDI 11, BERGAMO, 24121, BERGAMO, ITALY",IT01612320166,H-IT0062801449,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1985
207,Alpha Trading Spa,"VIA BRIGATA LIGURIA 3/19, GENOVA, 16121, GENOVA, ITALY",IT11879090154,H-IT0021467846,Wholesale Trade,Whol petroleum products (5172),Corporation,1985
208,Credit Agricole Italia Spa,"STRADA DELL'UNIVERSITA' 1, PARMA, 43121, PARMA, ITALY",IT02113530345,H-IT0066706513,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1860
209,Manpower Srl,"VIA GIOACCHINO ROSSINI 6/8, MILANO, 20122, MILANO, ITALY",IT11947650153,H-IT0072914947,Services,Help supply services (7363),Corporation,1996
210,Bennet Holding Spa,"PIAZZA DELLA REPUBBLICA 28, MILANO, 20124, MILANO, ITALY",IT07069120967,H-IT0025923595,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2010
211,Finmeg Srl,"PIAZZA DELLA REPUBBLICA 28, MILANO, 20124, MILANO, ITALY",IT05951430965,H-IT0003010643,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2007
212,Bennet Spa,"VIA ENZO RATTI 2, MONTANO LUCINO, 22070, COMO, ITALY",IT07071700152,H-IT0050435167,Retail Trade,Ret groceries (5411),Corporation,1983
213,Servizi In Rete 2001 Srl,"VIA LEOPOLDO SERRA 32, ROMA, 00153, ROMA, ITALY",IT09251361003,H-IT0075759675,Services,Business services (7389),Corporation,1988
214,Cosulich International Srl,"PONTE FRANCESCO MOROSINI 41, GENOVA, 16126, GENOVA, ITALY",IT01764000996,H-IT0020978235,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2007
215,Fratelli Cosulich Spa,"VIA DANTE ALIGHIERI 5, TRIESTE, 34122, TRIESTE, ITALY",IT00051020329,H-IT0010655727,"Transportation, Communications, Electric, Gas, and Sanitary Services",Water freight transportation (4449),Corporation,1948
216,Dolomiti Energia Trading Spa,"VIA FERSINA 23, TRENTO, 38123, TRENTO, ITALY",IT03027910235,H-IT0075537567,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2000
217,Ferrero Commerciale Italia Srl,"PIAZZALE PIETRO FERRERO 1, ALBA, 12051, CUNEO, ITALY",IT03629090048,H-IT0048640867,Wholesale Trade,Whol confectionery (5145),Corporation,2015
218,Arcelormittal Commercial Italy Srl,"ZONA INDUSTRIALE SNC, LUOGOSANO, 83040, AVELLINO, ITALY",IT00947260154,H-IT0039603474,Wholesale Trade,Metals service center (5051),Corporation,1971
219,Arval Service Lease Italia Spa,"VIA DELLE SETTE REGOLE 21, SCANDICCI, 50018, FIRENZE, ITALY",IT04911190488,H-IT0075579588,Services,Passenger car rental (7514),Corporation,1995
220,Reti Televisive Italiane Spa,"VIALE EUROPA 44/46 48, COLOGNO MONZESE, 20093, MILANO, ITALY",IT03976881007,H-IT0029655471,"Transportation, Communications, Electric, Gas, and Sanitary Services",Radio broadcast station (4832),Corporation,1983
221,Caltagirone Spa,"VIA BARBERINI 28, ROMA, 00187, ROMA, ITALY",IT00891131005,H-IT0008049726,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1908
222,Nexi Payments Spa,"CORSO SEMPIONE 55, MILANO, 20149, MILANO, ITALY",IT04107060966,H-IT0074072633,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1985
223,Unicomm Srl,"VIA ADELE BEI 340, CESENA, 47522, FORLI'-CESENA, ITALY",IT01274580248,H-IT0012575569,Retail Trade,Ret mail-order house (5961),Corporation,1980
224,Hdi Assicurazioni Spa,"PIAZZA GUGLIELMO MARCONI 25, ROMA, 00144, ROMA, ITALY",IT04349061004,H-IT0069832633,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,1927
225,Iper Montebello Spa,"VIA MARCO ULPIO TRAIANO 57, MILANO, 20149, MILANO, ITALY",IT03585750155,H-IT0013955748,Retail Trade,Ret groceries (5411),Corporation,1963
226,Egea Ente Gestione Energia E Ambiente Spa,"VIA VIVARO 2, ALBA, 12051, CUNEO, ITALY",IT01817090044,H-IT0016323181,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1924
227,Sdf Spa,"VIALE FRANCESCO CASSANI 14, TREVIGLIO, 24047, BERGAMO, ITALY",IT00215890161,H-IT0008057494,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1927
228,Reply Spa,"VIA CARDINALE GUGLIELMO MASSAIA 83, TORINO, 10147, TORINO, ITALY",IT08013390011,H-IT0051305976,Services,Custom computer programming (7371),Corporation,1997
229,Sdf Holding Spa,"VIA XX SETTEMBRE 58/C, BERGAMO, 24122, BERGAMO, ITALY",IT04261470167,H-IT0058547967,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2017
230,Compagnia Siderurgica Italiana Srl,"ZONA INDUSTRIALE, OSOPPO, 33010, UDINE, ITALY",IT02448660304,H-IT0024431869,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2006
231,Fin.fer. Spa,"ZONA INDUSTRIALE SNC, OSOPPO, 33010, UDINE, ITALY",IT00490250305,H-IT0047159456,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1977
232,Credemvita Spa,"VIA LUIGI SANI 1, REGGIO EMILIA, 42121, REGGIO EMILIA, ITALY",IT01437550351,H-IT0072039167,"Finance, Insurance, and Real Estate",Life insurance carrier (6311),Corporation,1990
233,Ge Italia Holding Srl,"VIA I MAGGIO 99, RIVALTA DI TORINO, 10040, TORINO, ITALY",IT12061090010,H-IT0065323149,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2019
234,Alperia Smart Services Srl,"VIA DODICIVILLE 8, BOLZANO, 39100, BOLZANO, ITALY",IT01745520211,H-IT0069572062,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
235,Ovs Spa,"VIA TERRAGLIO 17, VENEZIA, 30174, VENEZIA, ITALY",IT04240010274,H-IT0042059909,Retail Trade,Ret misc general merchandise (5399),Corporation,2014
236,Candy Hoover Group Srl,"VIA EDEN FUMAGALLI, BRUGHERIO, 20861, MONZA E BRIANZA, ITALY",IT00786860965,H-IT0012031763,Manufacturing,Mfg electric housewares/fans (3634),Corporation,1945
237,Francesco Spa,"VIA DEL RIO 400, CESENA, 47522, FORLI'-CESENA, ITALY",IT03724250406,H-IT0004677358,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2008
238,Amadori Spa,"PIAZZA BORROMEO 14, MILANO, 20123, MILANO, ITALY",IT10139280969,H-IT0058696008,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2017
239,Cooperativa Esercenti Farmacia Soc. Coop. A Rl,"VIA ACHILLE GRANDI 18, BRESCIA, 25125, BRESCIA, ITALY",IT00272680174,H-IT0034820485,Wholesale Trade,Whol drugs/sundries (5122),Cooperative,1934
240,Centauro Srl,"VIA AGOSTINO BERTANI 2, MILANO, 20154, MILANO, ITALY",IT11258310157,H-IT0042957966,"Finance, Insurance, and Real Estate",Subdivider/developer (6552),Corporation,1994
241,Tesya Spa,"VIA PADANA SUPERIORE 19, VIMODRONE, 20055, MILANO, ITALY",IT00156280026,H-IT0009265147,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1952
242,Alpiq Energia Italia Spa,"VIA MAROSTICA 1, MILANO, 20146, MILANO, ITALY",IT12930940155,H-IT0072874368,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
243,Alpiq Italia Srl,"VIA MAROSTICA 1, MILANO, 20146, MILANO, ITALY",IT13264630156,H-IT0074441337,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2000
244,Impresa Pizzarotti & C. Spa,"VIA MADRE ANNA MARIA ADORNI 1, PARMA, 43121, PARMA, ITALY",IT00533290342,H-IT0008738297,Construction,Operative builders (1531),Corporation,1910
245,Autotorino Spa,"VIA STAZIONE 4, COSIO VALTELLINO, 23013, SONDRIO, ITALY",IT10024610155,H-IT0064668533,Retail Trade,Ret new/used automobiles (5511),Corporation,1990
246,Philip Morris Manufacturing & Technology Bologna Spa,"VIA GIACOMO VENTURI 1-2, VALSAMOGGIA, 40053, BOLOGNA, ITALY",IT00737070151,H-IT0009644059,Manufacturing,Mfg chewing/smoking tobacco (2131),Corporation,1962
247,Sanofi Srl,"VIALE LUIGI BODIO 37/B, MILANO, 20158, MILANO, ITALY",IT00832400154,H-IT0055781381,Manufacturing,Mfg pharmaceutical preparations (2834),Corporation,1938
248,Leasys Spa,"CORSO ORBASSANO 367, TORINO, 10137, TORINO, ITALY",IT06714021000,H-IT0058324453,Services,Passenger car rental (7514),Corporation,2000
249,Unilever Italia Mkt. Operations Srl,"VIA PAOLO DI DONO 3/A, ROMA, 00142, ROMA, ITALY",IT06397510964,H-IT0002837900,Wholesale Trade,Whol non durable goods (5199),Corporation,1996
250,Decathlon Italia Srl,"VIA LAVORATORI AUTOBIANCHI 1, DESIO, 20832, MONZA E BRIANZA, ITALY",IT11005760159,H-IT0069732612,Retail Trade,Ret sporting goods/bicycles (5941),Corporation,1991
251,Hb Trading Spa,"PIAZZA GIUSEPPE GARIBALDI 4, SARZANA, 19038, LA SPEZIA, ITALY",IT06076100962,H-IT0003003698,"Transportation, Communications, Electric, Gas, and Sanitary Services",Natural gas distribution (4924),Corporation,2008
252,Eurospin Lazio Spa,"VIA FRANCESCO BARACCA 2/4 6, APRILIA, 04011, LATINA, ITALY",IT04766841003,H-IT0071511059,Retail Trade,Ret groceries (5411),Corporation,1994
253,Megamark Srl,"STRADA PROVINCIALE 130 ANDRIA-TRANI, TRANI, 76125, BARLETTA ANDRIA TRANI, ITALY",IT02969690615,H-IT0003441288,Wholesale Trade,Whol non durable goods (5199),Corporation,2003
254,Acciaierie Venete Spa,"RIVIERA FRANCIA 9/11, PADOVA, 35127, PADOVA, ITALY",IT00224180281,H-IT0050478427,Manufacturing,Blast furnace-steel works (3312),Corporation,1963
255,Parsid Spa,"RIVIERA FRANCIA 9/11, PADOVA, 35127, PADOVA, ITALY",IT04125140287,H-IT0002860651,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2006
256,Cnh Industrial N.v.,"LUNGOSTURA LAZIO 3A, TORINO, 10100, TORINO, ITALY",IT10992060011,H-IT0039145182,"Finance, Insurance, and Real Estate",Holding company (6719),Foreign Company,2013
257,Nestle' Italiana Spa,"VIA DEL MULINO 6, ASSAGO, 20057, MILANO, ITALY",IT00777280157,H-IT0009745254,Manufacturing,Mfg food preparations (2099),Corporation,1913
258,Granarolo Spa,"VIA CADRIANO 27/2, BOLOGNA, 40127, BOLOGNA, ITALY",IT04119190371,H-IT0069012415,Manufacturing,Mfg fluid milk (2026),Corporation,1988
259,Fideuram Intesa Sanpaolo Private Banking Spa,"PIAZZALE GIULIO DOUHET 31, ROMA, 00143, ROMA, ITALY",IT00714540150,H-IT0009534156,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1949
260,C.l.n. Coils Lamiere Nastri Spa,"CORSO SUSA 13/15, CASELETTE, 10040, TORINO, ITALY",IT00521230011,H-IT0009378731,Manufacturing,Blast furnace-steel works (3312),Corporation,1967
261,Ferfina Spa,"VIA SALARIA 1039, ROMA, 00138, ROMA, ITALY",IT00889761003,H-IT0061854905,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1932
262,Finanziaria Dei Dogi Srl,"VIA SALARIA 1039, ROMA, 00138, ROMA, ITALY",IT12018811005,H-IT0006665942,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2012
263,Engineering - Ingegneria Informatica Spa,"PIAZZALE DELL'AGRICOLTURA 24, ROMA, 00144, ROMA, ITALY",IT05724831002,H-IT0018199887,Services,Custom computer programming (7371),Corporation,1980
264,Granlatte Soc Coop Agricola A Rl,"VIA CADRIANO 36, BOLOGNA, 40127, BOLOGNA, ITALY",IT00326280377,H-IT0022450319,"Agriculture, Forestry, and Fishing",Animal specialties farm (0279),Corporation,1957
265,E.on Energia Spa,"VIA DELL'UNIONE 1, MILANO, 20122, MILANO, ITALY",IT03429130234,H-IT0007817320,"Transportation, Communications, Electric, Gas, and Sanitary Services",Natural gas distribution (4924),Corporation,2004
