,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,min_val(int),max_val(int),avg(int),variance,std_dev,cluster
0,00-avengers-id,0.0,1.0,0.5995505617977528,0.0,0.0,0.0,0.7428460778973133,0.0,0.0,0.0,0.0,0.0,1
1,00-avengers-name,0.0,1.0,0.3950842696629213,0.43179600922320194,0.6571118696410847,0.8586402109063539,0.0028972086490904416,0.0,0.0,0.0,0.0,0.0,2
2,00-avengers-address,0.0,1.0,0.9999999999999999,0.16616494317646846,0.40763334404396856,1.0,0.15425045156569145,0.0,0.0,0.0,0.0,0.0,4
3,00-avengers-nation,0.0,1.0,0.24339887640449437,5.154795307205809e-05,0.007179690318673785,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
4,00-avengers-hhid,0.0,1.0,0.26230337078651683,0.0,0.0,0.0,0.8434660804264525,0.0,0.0,0.0,0.0,0.0,1
5,00-avengers-industry,0.0,1.0,0.5060955056179776,0.9999999999999999,0.9999999999999999,0.4802326622891216,0.0,0.0,0.0,0.0,0.0,0.0,6
6,00-avengers-sic_code,0.0,1.0,0.5244943820224719,0.1058917356611133,0.3254101038091984,0.6866251475923386,0.17640689047625585,0.0,0.0,0.0,0.0,0.0,5
7,00-avengers-type,0.0,1.0,0.20912921348314603,0.0017886518656328595,0.04229245636792523,0.0201978243499625,0.0,0.0,0.0,0.0,0.0,0.0,3
8,00-avengers-est_of_ownership,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
