07-silvestri-employees_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,04-iGMM-world_rank__jan_07_2022,04-iGMM-world_rank__jan_2020
"84,740","7,000","73,800",217,153.0
"268,979","21,000","45,000",218,225.0
"25,391","15,700","6,433",219,517.0
"27,200","6,433","15,700",220,287.0
"44,596","45,000","21,000",221,220.0
"9,823","73,800","7,000",221,2707.0
"10,531","8,858","105,000",222,253.0
"2,583","1,750","315,000",223,152.0
"11,864","315,000","1,750",224,622.0
"3,388","105,000","8,858",225,262.0
"14,194","6,058","96,595",226,181.0
"125,364","18,100","43,863",227,258.0
"4,561","75,000","130,170",228,283.0
"80,702","27,300","2,372",229,347.0
"19,000","29,008","42,685",230,331.0
"4,000","42,685","29,008",231,237.0
"91,000","2,372","27,300",232,188.0
"116,000","130,170","75,000",233,165.0
"100,000","43,863","18,100",234,270.0
327,"96,595","6,058",235,382.0
"23,739","11,834","45,000",236,199.0
"23,248","120,726","44,000",237,146.0
"52,200","134,878","74,316",238,174.0
"14,374","33,800","65,000",239,133.0
"3,000","19,789","24,069",240,322.0
"79,051","24,069","19,789",241,345.0
"15,417","65,000","33,800",242,214.0
"118,523","74,316","134,878",243,357.0
"5,353","44,000","120,726",244,249.0
"52,800","45,000","11,834",245,440.0
"11,644","110,302","312,250",245,245.0
"4,700","34,944","5,633",246,884.0
"59,000","2,000","7,986",247,296.0
376,"13,023","289,000",248,377.0
"4,700","16,821","10,944",249,274.0
"4,861","10,944","16,821",250,208.0
"17,883","289,000","13,023",251,315.0
"34,240","7,986","2,000",252,
"4,000","5,633","34,944",253,242.0
"20,000","312,250","110,302",254,172.0
336,"28,239","80,000",255,553.0
"29,000","85,947","49,050",256,106.0
"322,164",,"25,000",256,256.0
"79,207","48,500","47,320",257,176.0
,"52,930","32,873",258,1115.0
"17,121","32,873","52,930",259,203.0
"20,700","47,320","48,500",260,292.0
"17,500","25,000",,261,
"8,300","49,050","85,947",262,390.0
"4,735","80,000","28,239",263,300.0
"30,745","117,356","168,391",264,430.0
"7,120","50,800","71,551",265,311.0
"24,500","47,000","5,661",266,669.0
"4,000","20,875","60,500",267,218.0
"33,004","26,123","186,851",268,248.0
"21,754","186,851","26,123",269,213.0
"115,900","60,500","20,875",270,266.0
"12,000","5,661","47,000",271,239.0
"1,339","71,551","50,800",272,297.0
85,"168,391","117,356",273,365.0
"13,331","10,780","80,369",274,358.0
"22,094","49,000","8,521",275,564.0
"17,813","189,512","29,000",276,277.0
"11,200","10,368",55,276,276.0
"61,053","17,100","76,182",277,261.0
,"76,182","17,100",278,179.0
"38,626",55,"10,368",279,361.0
"6,606","29,000","189,512",280,
"60,000","8,521","49,000",281,343.0
"123,458","80,369","10,780",282,625.0
"46,000","50,000","17,377",283,684.0
"23,693","3,226","11,550",284,538.0
"50,000","5,800","88,000",285,215.0
"78,395","9,819","4,556",286,356.0
"86,195","12,500","239,000",287,256.0
"51,397","239,000","12,500",288,397.0
"42,800","4,556","9,819",289,503.0
"39,602","88,000","5,800",290,321.0
"25,491","11,550","3,226",291,216.0
"51,209","17,377","50,000",292,288.0
"17,237","17,000","43,000",293,223.0
"129,000","41,000","26,969",294,429.0
"75,000","18,500","24,700",295,827.0
"9,000","217,731","191,189",296,170.0
,"95,850","3,730",297,1863.0
"44,500","3,730","95,850",298,435.0
15,"191,189","217,731",299,194.0
"22,448","24,700","18,500",300,301.0
"3,287","26,969","41,000",301,198.0
"412,088","43,000","17,000",302,243.0
"19,399","90,000","90,000",303,379.0
,"33,427","50,288",304,527.0
"6,265","33,500","101,000",305,189.0
"2,243","245,642","47,313",306,
"16,818","31,000","103,100",307,238.0
"12,783","2,700","2,700",308,1091.0
"10,102","103,100","31,000",309,431.0
"26,000","47,313","245,642",310,352.0
"82,600","101,000","33,500",311,291.0
"4,253","50,288","33,427",312,436.0
"34,680","17,209","17,209",313,448.0
"6,735","43,000","7,800",314,281.0
784,"86,700","11,500",315,363.0
"4,362","40,143","16,218",316,569.0
"19,853","281,192","37,506",317,286.0
"17,883","2,800","2,800",318,284.0
"5,500","37,506","281,192",319,458.0
"17,650","16,218","40,143",320,212.0
"350,000","11,500","86,700",321,303.0
"6,250","7,800","43,000",322,285.0
"11,445","2,980","3,900",323,227.0
"26,000","9,709","9,276",324,1432.0
,,"57,000",325,294.0
,"101,000","380,714",326,359.0
"23,527","45,282","14,100",327,1031.0
"43,800","14,100","45,282",328,415.0
"3,300","380,714","101,000",329,488.0
"2,014","57,000",,330,
"11,684","9,276","9,709",331,404.0
"69,619","3,900","2,980",332,901.0
"5,000","15,500","24,848",333,591.0
"10,000","4,553","31,518",334,327.0
"3,700","62,285",,335,
"15,000","45,000","158,000",336,376.0
"24,043","5,300","5,451",337,320.0
"22,236","5,451","5,300",338,
"4,477","158,000","45,000",339,428.0
"1,742",,"62,285",340,193.0
"42,602","31,518","4,553",341,1032.0
"10,313","24,848","15,500",342,494.0
"2,384","6,574","6,574",343,289.0
"5,610","24,158","99,538",344,151.0
"11,785","57,727","76,800",345,190.0
,"63,174","3,228",346,908.0
"32,475","105,615","120,000",347,276.0
"11,000","231,671","231,671",348,800.0
"3,049","120,000","105,615",349,307.0
,"3,228","63,174",350,1482.0
"179,565","76,800","57,727",351,206.0
"1,832","99,538","24,158",352,432.0
"46,724","601,276","601,276",353,355.0
"22,322","23,683","41,000",354,255.0
"11,265","38,600","7,664",355,271.0
"11,000","56,000","3,300",356,211.0
"2,216","211,000","27,500",357,369.0
"23,668","121,925","121,925",358,677.0
,"27,500","211,000",358,358.0
"2,051","3,300","56,000",359,594.0
"7,000","7,664","38,600",360,312.0
,"41,000","23,683",361,340.0
"19,794","28,000","10,473",362,683.0
"5,441","37,245","89,000",363,478.0
"64,734","1,941","31,495",364,230.0
"10,818","9,700","137,284",365,551.0
"52,347","49,100","17,917",366,470.0
"5,500","17,917","49,100",367,310.0
"1,225","137,284","9,700",368,859.0
"5,423","31,495","1,941",369,1828.0
"4,081","89,000","37,245",370,426.0
"31,517","10,473","28,000",371,267.0
"10,045","34,000","6,269",372,844.0
,"15,392","7,130",373,207.0
"17,887","16,361","87,828",374,224.0
"3,700","75,184","24,431",375,247.0
77,"211,374","61,576",376,219.0
"3,495","61,576","211,374",377,265.0
"1,400","24,431","75,184",378,373.0
"6,655","87,828","16,361",379,756.0
"38,967","7,130","15,392",380,635.0
883,"6,269","34,000",381,195.0
504,"8,034","8,034",382,318.0
,"28,051","71,000",383,324.0
,"13,777","36,600",384,280.0
"1,400",,"16,000",385,510.0
"9,000","4,092","33,305",386,772.0
,"9,800","9,800",387,317.0
"55,621","33,305","4,092",388,451.0
"4,530","16,000",,388,
"19,200","36,600","13,777",389,468.0
"5,354","71,000","28,051",390,447.0
"6,800","1,932","18,687",391,273.0
"28,000","18,400","86,800",392,264.0
"72,500","11,380","18,703",393,156.0
,"1,600","92,000",394,232.0
"78,000","79,000","90,000",395,473.0
"14,500","90,000","79,000",396,511.0
,"92,000","1,600",397,1185.0
,"18,703","11,380",398,350.0
"12,757","86,800","18,400",399,412.0
,"18,687","1,932",400,619.0
"9,892","45,000","45,000",401,309.0
"18,110","14,400",710,402,1323.0
,"52,100","4,891",403,620.0
"7,500","83,000","82,997",404,368.0
"2,024","122,000","7,283",405,259.0
"138,353","402,000","402,000",405,
"20,173","7,283","122,000",406,450.0
"18,232","82,997","83,000",407,354.0
40,"4,891","52,100",408,323.0
"61,000","1,160","14,400",409,399.0
,"210,966",282,410,1119.0
909,"75,901","75,901",411,279.0
"260,000",282,"210,966",412,742.0
"5,752","15,000","6,429",413,337.0
,"277,000","95,500",414,290.0
"24,608","2,730","10,350",415,710.0
,"7,763","7,763",416,3230.0
,"10,350","2,730",417,638.0
"1,610","95,500","277,000",418,254.0
,"6,429","15,000",419,502.0
,"7,802","50,319",420,571.0
"6,114","9,500","73,037",421,349.0
650,"25,000","9,300",422,422.0
,"7,600","16,842",423,536.0
"1,892","83,636","9,300",424,806.0
"111,900","9,300","83,636",425,465.0
,"16,842","7,600",426,648.0
"35,455","9,300","25,000",427,505.0
"34,000","73,037","9,500",427,427.0
"16,291","50,319","7,802",427,427.0
"16,264","48,254","330,600",428,452.0
"18,307","19,500","128,146",429,443.0
"1,803","50,000","151,000",430,633.0
"6,029","4,303","36,000",431,389.0
"13,351","7,000","3,030",432,542.0
"11,487","3,030","7,000",433,795.0
,"36,000","4,303",434,721.0
"3,600","151,000","50,000",435,1679.0
"30,264","128,146","19,500",436,613.0
,"330,600","48,254",437,628.0
,"16,688","8,600",438,622.0
"8,500","8,600","16,688",439,306.0
"1,620","72,500","10,164",440,671.0
"32,000","3,200","97,660",441,655.0
,"58,000","8,619",442,442.0
,"18,000","37,000",442,
"5,510","37,000","18,000",443,443.0
"12,773","8,619","58,000",443,
,"97,660","3,200",444,1369.0
,"10,164","72,500",445,614.0
"33,681","17,700","403,000",446,308.0
"130,716","35,700","158,000",447,405.0
"11,700","60,000","12,561",448,741.0
"5,182","17,000","4,537",449,348.0
"9,211","7,529","61,531",450,384.0
,"61,531","7,529",451,535.0
,"4,537","17,000",452,592.0
"1,702","12,561","60,000",453,341.0
"6,624","158,000","35,700",454,370.0
"10,000","403,000","17,700",455,391.0
,,"5,544",456,965.0
628,"39,642","25,000",457,241.0
530,"21,456","26,852",458,1571.0
"39,000","99,299","40,916",459,411.0
,"3,394","464,000",460,400.0
"14,542","464,000","3,394",460,1453.0
"5,700","40,916","99,299",461,904.0
,"26,852","21,456",462,489.0
"6,525","25,000","39,642",463,344.0
,"5,544",,464,
"7,044","35,000","22,540",465,726.0
"110,300","18,700","47,000",466,328.0
"22,209","17,800","28,000",467,302.0
"5,961","6,617","47,000",468,197.0
"29,300","105,000","6,567",469,1204.0
,"6,567","105,000",470,260.0
"7,418","47,000","6,617",471,593.0
,"28,000","17,800",472,507.0
"8,500","47,000","18,700",473,561.0
"300,000","22,540","35,000",474,545.0
"3,030","100,000","142,000",475,491.0
"2,321","110,432","131,000",476,424.0
"3,202","54,640","4,076",477,701.0
"7,000","191,752","12,874",478,758.0
"10,000","51,000","10,622",479,529.0
"16,094","10,622","51,000",480,508.0
"1,100","12,874","191,752",481,521.0
"31,575","4,076","54,640",481,587.0
"31,600","131,000","110,432",482,403.0
"9,638","142,000","100,000",483,552.0
"2,000","7,867","10,800",484,524.0
,"1,567","2,153",485,838.0
,"478,070","35,000",486,474.0
"6,029","12,447","58,000",487,338.0
"2,709","8,256","40,000",488,556.0
"103,598","40,000","8,256",489,421.0
"65,000","58,000","12,447",490,398.0
"18,444","35,000","478,070",491,366.0
"5,500","2,153","1,567",492,969.0
"339,716","10,800","7,867",493,1104.0
"9,520","20,532","79,200",494,479.0
"3,300","3,238","71,504",495,618.0
783,"17,337","41,101",496,383.0
500,"50,479","30,800",497,434.0
,"16,033","101,911",498,251.0
"177,047","101,911","16,033",499,339.0
"28,000","30,800","50,479",500,158.0
,"41,101","17,337",501,686.0
,"71,504","3,238",502,624.0
"58,415","79,200","20,532",503,748.0
"1,023","36,000","1,519",504,640.0
"49,000","23,655",371,505,641.0
,"2,993","18,990",506,725.0
"48,000","27,500","59,052",507,583.0
"9,059","58,200","3,676",508,1677.0
"22,000","3,676","58,200",509,268.0
"104,739","59,052","27,500",510,486.0
"8,578","18,990","2,993",511,992.0
,371,"23,655",512,562.0
"10,500","1,519","36,000",513,497.0
"1,896","3,837","23,100",514,568.0
"4,353","41,000","140,565",515,250.0
482,"44,509","30,538",516,427.0
270,"138,808","37,000",517,372.0
,"4,825","10,529",518,293.0
"1,753","10,529","4,825",519,575.0
"2,050","37,000","138,808",520,471.0
,"30,538","44,509",521,487.0
"11,687","140,565","41,000",522,597.0
"24,000","23,100","3,837",523,650.0
"22,514","23,663","96,500",524,136.0
,"34,352","15,026",525,670.0
"3,934","78,249","289,501",526,771.0
,"167,552","12,591",527,272.0
"37,926","111,247","9,016",528,1007.0
"14,000","9,016","111,247",529,304.0
,"12,591","167,552",530,705.0
,"289,501","78,249",531,792.0
,"15,026","34,352",532,793.0
,"96,500","23,663",533,1027.0
"8,800","204,815",464,534,459.0
"11,423","1,596","76,000",535,626.0
"6,273","26,969","33,300",536,888.0
,37,"24,500",537,660.0
"1,618","1,967","33,916",538,483.0
"13,500","33,916","1,967",539,1281.0
"32,000","24,500",37,540,
"62,000","33,300","26,969",541,761.0
"3,500","76,000","1,596",542,577.0
"10,776",464,"204,815",543,385.0
,"88,846","14,915",544,416.0
,"11,321","59,900",545,388.0
,"11,000",,546,554.0
"9,000",,"101,322",547,500.0
767,"41,000","41,000",548,636.0
,"101,322",,549,1640.0
361,,"11,000",550,492.0
,"59,900","11,321",551,460.0
,"14,915","88,846",552,228.0
"26,932","23,127","23,127",553,682.0
"1,400","19,386","39,000",554,534.0
296,"61,380","24,315",554,554.0
,"803,126","10,000",555,367.0
"1,530","196,159","93,700",556,351.0
"18,153","20,477","34,523",556,556.0
,"34,523","20,477",557,442.0
"87,700","93,700","196,159",558,590.0
"2,945","10,000","803,126",559,269.0
,"24,315","61,380",560,454.0
"12,978","39,000","19,386",561,1084.0
"3,000","13,300","36,860",562,847.0
"48,330","3,400","9,200",563,513.0
"14,866","2,837","3,153",564,2332.0
500,"28,546","6,295",565,815.0
"18,045","171,000","245,472",566,425.0
"3,147","245,472","171,000",567,378.0
,"6,295","28,546",568,313.0
,"3,153","2,837",569,1426.0
,"9,200","3,400",570,1121.0
,"36,860","13,300",571,509.0
"10,234","12,000","70,000",572,
"3,337","90,836","54,700",573,423.0
,"58,300","36,500",574,362.0
751,"45,268","20,500",575,789.0
"2,631","52,600","14,000",576,275.0
,"14,000","52,600",577,353.0
,"20,500","45,268",578,585.0
,"36,500","58,300",579,380.0
"16,400","54,700","90,836",580,457.0
"5,600","70,000","12,000",581,759.0
"46,644","11,107","87,927",582,716.0
"4,353","27,015","4,506",583,750.0
,"5,245","2,540",584,664.0
"8,450","37,125","17,800",585,826.0
"3,978","21,000","465,000",586,675.0
"1,595","465,000","21,000",587,649.0
"11,500","17,800","37,125",588,608.0
,"2,540","5,245",589,
,"4,506","27,015",590,498.0
"2,889","87,927","11,107",591,1168.0
"15,352","12,568","105,000",592,783.0
"22,245","7,970","232,000",593,560.0
"2,155","89,575","24,346",594,467.0
"10,692","3,090","39,500",595,325.0
,"20,507","78,126",596,639.0
"19,962","78,126","20,507",597,762.0
,"39,500","3,090",598,528.0
,"24,346","89,575",599,168.0
"7,428","232,000","7,970",600,711.0
"8,607","105,000","12,568",601,598.0
,"4,783","30,263",602,730.0
"1,800","69,801","51,426",603,1011.0
450,"9,610","2,440",604,2637.0
"10,762","2,877","14,300",605,820.0
,"39,000","47,486",606,330.0
"9,400","47,486","39,000",607,895.0
"1,503","14,300","2,877",608,1109.0
,"2,440","9,610",609,163.0
,"51,426","69,801",610,393.0
"28,400","30,263","4,783",611,543.0
410,"19,112","18,933",612,643.0
"43,310",559,"11,788",613,830.0
,"59,900","12,684",614,512.0
,"13,977","34,209",615,418.0
"4,800","2,400",596,616,1157.0
"1,111",596,"2,400",617,518.0
,"34,209","13,977",618,499.0
,"12,684","59,900",619,566.0
"18,019","11,788",559,620,876.0
218,"18,933","19,112",621,744.0
,"9,367","9,367",622,631.0
,"24,586","48,000",623,541.0
,"137,000","81,592",624,332.0
,"38,087","72,644",625,472.0
,"1,600","2,733",626,622.0
200,"9,964","9,964",627,396.0
"2,094","2,733","1,600",628,1515.0
"2,300","72,644","38,087",629,420.0
"355,000","81,592","137,000",630,462.0
"8,668","48,000","24,586",631,763.0
"2,200","32,218","18,500",632,694.0
"7,385","12,700","10,875",633,346.0
"5,806","28,445","24,589",634,578.0
"72,644","28,800","36,000",635,930.0
,"1,000","10,400",636,1061.0
"3,862","10,400","1,000",637,926.0
"110,000","36,000","28,800",638,931.0
"2,300","24,589","28,445",639,159.0
"22,000","10,875","12,700",640,932.0
,"18,500","32,218",641,537.0
"30,000","19,200","215,000",642,482.0
,"215,000","19,200",643,493.0
"3,163","67,409","28,500",644,567.0
,"2,571","61,200",645,679.0
,"21,869","8,600",646,749.0
,"45,174","5,814",647,903.0
,"5,814","45,174",648,995.0
"1,492","8,600","21,869",649,463.0
,"61,200","2,571",650,816.0
,"28,500","67,409",651,745.0
,"59,258",450,651,651.0
"17,300","4,700","153,000",652,438.0
,"15,000","129,071",653,836.0
,"90,800","15,945",654,496.0
792,"8,211","19,000",655,437.0
"1,449","19,000","8,211",656,1103.0
"2,127","15,945","90,800",657,666.0
,"129,071","15,000",658,
,"153,000","4,700",659,490.0
"3,500",450,"59,258",660,375.0
,916,"5,836",661,572.0
,"7,340","167,743",662,885.0
"30,000","6,400","7,500",663,616.0
,"58,824","199,327",664,687.0
491,"5,100",,665,2381.0
"3,800",,"5,100",666,715.0
"1,300","199,327","58,824",667,1303.0
"2,159","7,500","6,400",668,717.0
396,"167,743","7,340",669,1005.0
"77,000","5,836",916,670,665.0
"18,600","117,500","69,000",671,617.0
,"10,540",,672,2110.0
"7,400","6,200","152,050",673,516.0
,"26,316","24,374",674,805.0
,"10,753","245,472",675,406.0
"13,000","245,472","10,753",676,915.0
"8,500","24,374","26,316",677,539.0
,"152,050","6,200",678,336.0
,,"10,540",679,630.0
"1,500","69,000","117,500",680,732.0
,"6,938","36,726",681,731.0
,"65,017","13,500",682,767.0
,"4,181","11,678",683,408.0
"2,436","9,227","138,036",684,595.0
,"71,300","135,304",685,387.0
,"135,304","71,300",686,612.0
"9,500","138,036","9,227",687,563.0
"4,000","11,678","4,181",688,4841.0
"5,688","13,500","65,017",689,632.0
,"36,726","6,938",690,532.0
,"1,594","7,235",691,1093.0
,"367,321","5,030",692,1102.0
"4,193","73,275","15,500",693,740.0
,"9,372","7,238",694,533.0
,"56,811","14,071",695,506.0
,"14,071","56,811",696,570.0
"45,500","7,238","9,372",697,702.0
"8,500","15,500","73,275",698,803.0
"5,239","5,030","367,321",699,469.0
,"7,235","1,594",700,
,"13,189",,701,1794.0
,,"78,300",702,515.0
"25,767","23,635","7,127",703,784.0
,"15,883",,704,4731.0
"19,000","18,700","1,340",705,
,"1,340","18,700",706,1475.0
"9,938",,"15,883",707,477.0
,"7,127","23,635",708,1899.0
,"78,300",,709,
,,"13,189",710,476.0
,"13,840","57,848",711,867.0
"1,901","52,488","84,512",712,942.0
"3,400","22,000","13,962",713,1398.0
,"26,438","12,558",714,444.0
,"24,300","198,951",715,334.0
"23,458","198,951","24,300",716,770.0
255,"12,558","26,438",717,581.0
,"13,962","22,000",718,929.0
"1,456","84,512","52,488",719,1080.0
"49,882","57,848","13,840",720,1013.0
"1,030","2,972","2,096",721,461.0
,"2,539","44,700",722,246.0
,"24,272","9,000",723,555.0
973,"11,908","10,065",723,1366.0
,"46,600","19,062",724,565.0
,"19,062","46,600",725,606.0
,"10,065","11,908",726,791.0
