00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo
ben van beurden,dai houliang,walter w bettinger ii,walter w bettinger ii,reinhard ploss,steve angel
mike henry,pietro beccari,axel dumas,axel dumas,vagit alekperov,leif johansson
lance m. fritz,gu shu,sanjiv lamba,sanjiv lamba,kurt sievers,axel dumas
richard k. templeton,suzanne nora johnson,james l robo,james l robo,erik engstrom,james l robo
marvin ellison,wang xing,marvin ellison,marvin ellison,pierre-alain ruffieux,andrew mackenzie
james l robo,david i. mckay,richard k. templeton,richard k. templeton,steven van rijswijk,lance m. fritz
sanjiv lamba,hector de j. ruiz,lance m. fritz,lance m. fritz,rolf habben jansen,thomas j engibous
axel dumas,kenichiro yoshida,mike henry,mike henry,michael strugl,marvin ellison
darius adamczyk,jacek olczak,christian klein,christian klein,paul schuler,wang xing
ma mingzhe,peter ma,,,,kenichiro yoshida
jacek olczak,,sasan k. goodarzi,sasan k. goodarzi,kasper rorsted,hector de j. ruiz
kenichiro yoshida,tobias albin lutke,wang xing,wang xing,werner baumann,darius adamczyk
lisa su,yu nakata,david i. mckay,david i. mckay,olivier andries,peter ma
david i. mckay,geoff martha,lisa su,lisa su,carlo messina,david i. mckay
wang xing,dr. caforio,kenichiro yoshida,kenichiro yoshida,david schwimmer,jacek olczak
sasan k. goodarzi,,jacek olczak,jacek olczak,jens bjorn andersen,gu shu
,,ma mingzhe,ma mingzhe,john pettigrew,hasso plattner
christian klein,david w. dorman,darius adamczyk,darius adamczyk,terrence curtin,suzanne nora johnson
karen s. lynch,helge lund,bharat masrani,bharat masrani,claudio descalzi,tobias albin lutke
patrick pouyanne,brian l. roberts,wang dongjin,wang dongjin,,yu nakata
roland busch,hans vestberg,pietro beccari,pietro beccari,charlie nunn,dai houliang
giovanni caforio,marc benioff,tobias lutke,tobias lutke,lance uggla,pietro beccari
geoffrey s. martha,,yu nakata,yu nakata,frank vang-jensen,mr. pouyanne
yu nakata,john j. donahoe,geoffrey s. martha,geoffrey s. martha,charles f. lowrey,dr. caforio
tobias lutke,steven black,giovanni caforio,giovanni caforio,christian sinding,david w. dorman
pietro beccari,patrick p. gelsinger,roland busch,roland busch,,geoff martha
wang dongjin,rainer m. blair,patrick pouyanne,patrick pouyanne,c. s. venkatakrishnan,brian m. levitt
bharat masrani,kenneth c. frazier,karen s. lynch,karen s. lynch,simon a borrows,jim hagemann snabe
alan jope,,alan jope,alan jope,vladimir potanin,liu liange
noel quinn,timotheus hottges,mike sievert,mike sievert,mads nipper,hans dieter potsch
gary e. dickerson,liu liange,gao yingxin,gao yingxin,philippe brassac,stephen j. squeri
herbert diess,laurence d,larry fink,larry fink,gilles andrier,noel quinn
stephen squeri,,,,kevin p. clark,dieter schwarz
gregory hayes,gregory j. hayes,gregory hayes,gregory hayes,jean-marc chery,timotheus hottges
,stephen j. squeri,stephen squeri,stephen squeri,,sanjiv mehta
larry fink,,herbert diess,herbert diess,joachim wenning,thomas j. iannotti
gao yingxin,thomas j. iannotti,gary e. dickerson,gary e. dickerson,nick read,gregory j. hayes
mike sievert,,noel quinn,noel quinn,daniel ek,laurence d
laxman narasimhan,david solomon,david m. solomon,david m. solomon,brian cassin,david solomon
paul hudson,zeng congqin,chen lin,chen lin,rolf eberhard buch,zeng congqin
dave calhoun,john c. dugan,jane fraser,jane fraser,onur genc,robert a. bradway
fabrizio freda,yang jie,li yue,li yue,dominic blakemore,john c. dugan
susan wojcicki,robert a. bradway,robert a. bradway,robert a. bradway,albert manifold,serge weinberg
robert a. bradway,,susan wojcicki,susan wojcicki,veronique penchienati bosetta,yang jie
li yue,william p. lauder,fabrizio freda,fabrizio freda,ola rollen,susan wojcicki
jane fraser,,dave calhoun,dave calhoun,david layton,howard schultz
chen lin,,paul hudson,paul hudson,david j. endicott,william p. lauder
david m. solomon,howard schultz,laxman narasimhan,laxman narasimhan,peter vanacker,dave calhoun
sashidhar jagdishan,,matt comyn,matt comyn,aiman ezzat,catherine livingstone ao
gary s guthart,lee yuan siong,lee yuan siong,lee yuan siong,joachim kreuzburg,javier ferran
john c. may,,ivan menezes,ivan menezes,benoit bazin,lee yuan siong
jakob stausholm,james d. taiclet jr.,tom bartlett,tom bartlett,kevin murphy,atanu chakraborty
arvind krishna,jim umpleby,jim umpleby,jim umpleby,dr. detlef trefzger,craig h. barratt 
