07-silvestri-market_value_jan_2020,03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,03-gren-annual_revenue_usd
doll_26.45 m,doll_9.11 b,doll_1.35 b,doll_31.41 b
doll_43.27 m,doll_15.96 b,doll_2.27 b,doll_202.29 b
doll_32.39 m,doll_5.54 b,doll_1.28 b,doll_34.39 b
doll_56.98 m,doll_10.8 b,doll_1.02 b,doll_32.5 b
doll_8.12 m,doll_13.41 b,doll_1.48 b,doll_380.44 b
doll_58.76 m,doll_5.45 b,doll_93.28 m,doll_70.77 b
doll_30.14 m,doll_2.91 b,doll_46.91 m,doll_4.61 b
doll_34.48 m,doll_2.21 b,doll_85.88 m,doll_5.51 b
doll_50.49 m,doll_5.04 b,doll_1.54 b,doll_31.68 b
doll_11.6 m,doll_6.99 b,doll_1.52 b,doll_46.38 b
0,doll_6.79 b,doll_1.09 b,doll_68.62 b
doll_42.11 m,doll_16.03 b,doll_1.45 b,doll_184.63 b
doll_13.98 m,doll_7.91 b,doll_98.69 m,doll_292.11 b
doll_49.7 m,doll_6.67 b,doll_1.52 b,doll_57.79 b
doll_43.38 m,doll_3.02 b,doll_68.37 m,doll_80.12 b
doll_42.59 m,doll_33.27 b,doll_1.51 b,doll_76.99 b
doll_29.03 m,doll_5.9 b,doll_79.27 m,doll_19.37 b
doll_24.59 m,0.0,0,doll_123.07 b
doll_24.83 m,doll_3.86 b,doll_1.31 b,doll_64.39 b
0,doll_8.06 b,doll_1.03 b,doll_42.84 b
doll_42.93 m,doll_14.84 b,doll_1.11 b,doll_250.12 b
doll_51.93 m,doll_5.89 b,doll_57.11 m,doll_23.06 b
doll_26.47 m,doll_12.61 b,doll_1.61 b,doll_63.64 b
doll_30.29 m,doll_21.64 b,doll_1.02 b,doll_64.99 b
doll_29.36 m,doll_3.4 b,doll_70.61 m,doll_9.63 b
doll_38.37 m,doll_20.76 b,doll_1.78 b,doll_71.89 b
doll_40.78 m,doll_18.25 b,doll_1.73 b,doll_133.26 b
doll_32.17 m,doll_5.89 b,doll_1.44 b,doll_25.98 b
doll_53.72 m,0.0,0,0.0
doll_21.6 m,doll_2.39 b,doll_74.72 m,doll_17.74 b
doll_24.32 m,doll_-4202.0 m,doll_1.87 b,doll_62.29 b
doll_27.56 m,doll_6.86 b,doll_1.27 b,doll_43.17 b
doll_27.03 m,doll_4.2 b,doll_1.07 b,doll_29.06 b
doll_20.9 m,doll_7.46 b,doll_99.26 m,doll_16.56 b
doll_15.44 m,doll_7.43 b,doll_1.32 b,doll_47.52 b
doll_22.56 m,doll_3.83 b,doll_1.04 b,doll_18.2 b
doll_20.27 m,doll_2.57 b,doll_1.02 b,doll_9.36 b
doll_20.31 m,doll_6.49 b,doll_82.9 m,doll_50.97 b
doll_31.91 m,doll_5.74 b,doll_1.2 b,doll_57.35 b
doll_39.39 m,doll_21.09 b,doll_1.15 b,doll_63.49 b
doll_30.75 m,doll_5.96 b,doll_55.32 m,doll_43.93 b
doll_23.05 m,doll_1.7 b,doll_68.35 m,doll_5.71 b
doll_34.93 m,doll_4.83 b,doll_98.69 m,doll_12.74 b
doll_33.92 m,doll_2.94 b,doll_56.23 m,doll_4.76 b
doll_14.38 m,doll_230.0 m,doll_54.61 m,doll_5.9 b
doll_29.97 m,doll_-6520.0 m,doll_1.03 b,doll_74.2 b
doll_39.78 m,doll_6.95 b,doll_64.86 m,doll_106.0 b
doll_42.23 m,doll_5.74 b,doll_1.17 b,doll_44.66 b
doll_33.73 m,doll_8.0 b,doll_1.28 b,doll_133.17 b
doll_22.29 m,doll_4.67 b,doll_1.63 b,doll_54.3 b
doll_25.71 m,doll_4.65 b,doll_1.05 b,doll_51.68 b
doll_27.66 m,doll_34.22 b,doll_93.96 m,doll_168.3 b
doll_24.33 m,doll_3.02 b,doll_67.31 m,doll_8.3 b
doll_26.32 m,doll_3.53 b,doll_57.46 m,doll_31.85 b
doll_14.07 m,0.0,0,doll_49.1 b
doll_28.63 m,0.0,0,doll_6.94 b
doll_44.27 m,doll_8.08 b,doll_72.09 m,doll_45.83 b
doll_32.61 m,doll_-559.0 m,doll_60.89 m,doll_149.5 b
doll_31.31 m,doll_5.86 b,doll_61.7 m,doll_27.7 b
0,doll_6.1 b,doll_77.55 m,0.0
doll_21.64 m,doll_-352.0 m,0,doll_5.99 b
doll_35.1 m,doll_4.64 b,doll_1.17 b,doll_57.47 b
doll_35.21 m,0.0,0,doll_110.0 b
doll_18.12 m,0.0,0,doll_17.0 b
doll_15.5 m,doll_-2046.0 m,doll_18.55 m,doll_9.96 b
doll_23.57 m,doll_5.92 b,doll_1.03 b,doll_35.35 b
doll_29.86 m,doll_7.28 b,doll_1.06 b,doll_114.04 b
doll_24.67 m,doll_2.97 b,doll_43.8 m,doll_16.31 b
doll_21.98 m,doll_3.37 b,doll_52.67 m,doll_21.7 b
doll_21.99 m,doll_8.62 b,doll_94.78 m,doll_88.71 b
doll_21.06 m,doll_4.68 b,doll_91.41 m,doll_34.02 b
doll_21.83 m,doll_3.5 b,doll_84.01 m,doll_19.45 b
doll_29.11 m,doll_2.95 b,doll_73.44 m,doll_16.05 b
doll_33.0 m,doll_1.17 b,doll_87.41 m,doll_10.96 b
doll_10.36 m,doll_2.04 b,doll_63.77 m,doll_7.78 b
doll_32.4 m,doll_1.99 b,doll_78.9 m,doll_17.11 b
doll_16.86 m,doll_6.32 b,doll_1.12 b,doll_67.04 b
doll_15.36 m,doll_3.24 b,doll_1.11 b,doll_27.71 b
doll_27.46 m,doll_17.94 b,doll_37.35 m,doll_136.34 b
doll_25.97 m,doll_7.57 b,doll_1.29 b,doll_157.74 b
doll_20.34 m,doll_2.25 b,doll_87.47 m,doll_10.49 b
doll_19.59 m,doll_3.93 b,doll_44.41 m,doll_6.83 b
doll_39.29 m,0.0,0,doll_91.69 b
doll_19.45 m,doll_5.41 b,doll_70.23 m,doll_19.14 b
doll_26.59 m,doll_6.15 b,doll_75.65 m,doll_46.63 b
doll_5.79 m,doll_4.61 b,doll_44.35 m,doll_17.23 b
doll_24.58 m,doll_4.3 b,doll_80.52 m,doll_28.72 b
doll_22.02 m,doll_443.0 m,doll_17.55 m,doll_31.45 b
doll_37.79 m,doll_4.6 b,doll_78.32 m,doll_119.89 b
doll_20.13 m,doll_-679.0 m,0,doll_1.22 b
doll_27.8 m,doll_2.46 b,doll_92.43 m,doll_21.11 b
doll_18.74 m,0.0,doll_39.05 m,doll_212.87 b
doll_23.65 m,0.0,0,doll_47.6 b
doll_18.41 m,doll_10.46 b,doll_74.76 m,0.0
doll_22.07 m,doll_7.61 b,doll_93.97 m,doll_22.72 b
doll_14.38 m,doll_10.02 b,doll_53.41 m,doll_127.0 b
doll_15.33 m,0.0,0,doll_114.7 b
doll_15.15 m,doll_2.17 b,doll_62.23 m,doll_20.95 b
doll_37.1 m,doll_3.97 b,doll_58.25 m,doll_75.73 b
doll_14.14 m,doll_8.56 b,doll_67.45 m,doll_88.74 b
doll_24.02 m,doll_8.9 b,doll_1.01 b,doll_33.62 b
doll_28.41 m,doll_2.77 b,doll_61.3 m,doll_203.83 b
doll_21.86 m,doll_6.22 b,doll_82.71 m,doll_27.3 b
doll_33.89 m,doll_1.61 b,doll_66.78 m,doll_21.84 b
doll_14.97 m,doll_3.28 b,doll_74.35 m,doll_48.55 b
doll_20.84 m,doll_1.39 b,doll_44.98 m,doll_7.32 b
doll_14.76 m,doll_7.22 b,doll_69.04 m,doll_23.77 b
doll_10.22 m,doll_3.19 b,doll_35.04 m,doll_14.62 b
doll_19.26 m,doll_3.91 b,doll_65.41 m,doll_11.56 b
doll_24.67 m,doll_6.03 b,doll_75.81 m,doll_22.26 b
