07-silvestri-market_value_jan_2020,03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,03-gren-annual_revenue_usd
,doll_100.0 m,doll_7.71 m,doll_2.42 b
,doll_244.0 m,doll_13.15 m,doll_3.23 b
,doll_103.0 m,doll_6.49 m,doll_12.42 b
,doll_427.0 m,doll_4.94 m,doll_11.53 b
,doll_4.69 b,doll_2.21 m,doll_1.64 b
,doll_512.0 m,doll_4.97 m,doll_1.14 b
,doll_120.0 m,doll_2.33 m,doll_822.0 m
,doll_334.0 m,doll_10.68 m,doll_3.4 b
,doll_179.0 m,doll_6.44 m,doll_1.5 b
,doll_393.0 m,doll_6.97 m,doll_12.47 b
,0.0,doll_6.41 m,0.0
,doll_4.63 b,doll_10.69 m,doll_1.64 b
,doll_-63.0 m,doll_6.43 m,doll_1.21 b
,doll_-1296.0 m,doll_5.68 m,doll_5.15 b
,0.0,0,0.0
,doll_6.0 m,doll_6.38 m,doll_1.58 b
,doll_135.0 m,doll_6.09 m,doll_331.0 m
,doll_439.0 m,doll_7.09 m,doll_5.75 b
,doll_449.0 m,doll_6.49 m,doll_184.0 m
,doll_108.0 m,doll_6.17 m,doll_2.59 b
,doll_-268.0 m,doll_6.07 m,doll_24.48 b
,doll_1.16 b,doll_8.05 m,0.0
,doll_607.0 m,doll_6.31 m,doll_2.92 b
,doll_584.0 m,0,doll_10.83 b
,doll_573.0 m,doll_8.32 m,doll_23.19 b
,doll_193.0 m,doll_12.2 m,doll_6.12 b
,doll_2.13 b,doll_6.38 m,doll_4.23 b
,doll_648.0 m,doll_8.17 m,doll_13.69 b
,0.0,doll_9.55 m,0.0
,doll_758.0 m,doll_8.38 m,doll_16.25 b
,doll_749.0 m,doll_3.03 m,doll_912.0 m
,doll_2.04 b,doll_1.73 m,doll_48.79 b
,doll_418.0 m,doll_8.89 m,doll_5.91 b
,doll_300.0 m,doll_0.49 m,doll_675.0 m
,doll_-186.0 m,doll_17.75 m,doll_1.23 b
,doll_69.0 m,doll_3.92 m,doll_482.0 m
,doll_497.0 m,doll_0.97 m,doll_6.88 b
,doll_914.0 m,doll_5.22 m,doll_19.48 b
,doll_129.0 m,doll_2.17 m,doll_1.05 b
,doll_315.0 m,doll_5.31 m,doll_2.04 b
,doll_878.0 m,doll_7.47 m,doll_2.58 b
,doll_271.0 m,doll_4.41 m,doll_476.0 m
,doll_2.1 b,doll_10.76 m,doll_31.85 b
,doll_81.0 m,doll_6.41 m,doll_3.94 b
,doll_648.0 m,doll_5.83 m,doll_15.65 b
,doll_6.0 m,doll_9.3 m,doll_1.79 b
,doll_293.0 m,doll_7.92 m,doll_1.69 b
,doll_164.0 m,0,doll_29.49 b
,doll_3.35 b,doll_10.18 m,doll_20.16 b
,doll_389.0 m,doll_1.9 m,doll_1.83 b
,doll_78.0 m,doll_5.38 m,doll_2.19 b
,doll_618.0 m,doll_7.55 m,doll_3.8 b
,doll_-9756.0 m,doll_11.25 m,doll_5.21 b
,doll_-171.0 m,doll_6.18 m,doll_550.0 m
,doll_1.18 b,doll_2.25 m,doll_20.18 b
,doll_64.0 m,doll_2.77 m,doll_6.42 b
,doll_283.0 m,doll_3.35 m,doll_1.52 b
,doll_-61.0 m,doll_9.44 m,doll_1.66 b
,doll_51.0 m,doll_3.47 m,doll_525.0 m
,doll_301.0 m,doll_8.45 m,doll_2.93 b
,doll_622.0 m,doll_7.01 m,doll_4.03 b
,doll_247.0 m,doll_2.47 m,doll_2.72 b
,doll_508.0 m,doll_6.53 m,doll_11.55 b
,doll_799.0 m,doll_4.42 m,doll_33.88 b
,doll_-1214.0 m,doll_6.34 m,doll_991.0 m
,doll_41.0 m,doll_6.26 m,doll_1.95 b
,doll_329.0 m,doll_10.76 m,doll_5.28 b
,doll_88.0 m,0,doll_6.88 b
,0.0,doll_8.82 m,0.0
,doll_-314.0 m,doll_12.39 m,doll_19.74 b
,doll_155.0 m,doll_5.56 m,doll_2.73 b
,doll_1.34 b,doll_10.75 m,doll_13.93 b
,doll_240.0 m,doll_4.16 m,doll_6.15 b
,doll_833.0 m,doll_5.25 m,doll_8.79 b
,doll_185.0 m,doll_2.22 m,doll_4.77 b
,doll_824.0 m,doll_9.99 m,doll_4.78 b
,doll_1.43 b,doll_7.2 m,doll_25.29 b
,doll_201.0 m,doll_0.71 m,doll_666.0 m
,doll_1.02 b,doll_4.13 m,doll_858.0 m
,doll_59.0 m,doll_10.08 m,doll_2.08 b
,doll_-267.0 m,0,doll_33.0 m
,doll_1.05 b,doll_12.71 m,doll_25.69 b
,doll_795.0 m,doll_10.18 m,doll_4.25 b
,doll_-218.0 m,doll_4.24 m,doll_174.0 m
,doll_428.0 m,doll_6.97 m,doll_2.26 b
,doll_617.0 m,doll_8.86 m,doll_16.66 b
,doll_192.0 m,doll_6.77 m,doll_562.0 m
,doll_274.0 m,doll_6.29 m,doll_5.28 b
,doll_305.0 m,doll_5.63 m,doll_3.39 b
,doll_1.53 b,doll_9.77 m,doll_8.59 b
,doll_181.0 m,doll_4.23 m,doll_6.32 b
,doll_676.0 m,doll_5.53 m,doll_1.94 b
,doll_1.02 b,doll_8.37 m,doll_800.0 m
,doll_505.0 m,doll_3.58 m,doll_3.7 b
,doll_116.0 m,doll_3.85 m,doll_773.0 m
,doll_600.0 m,doll_6.88 m,doll_9.38 b
,doll_189.0 m,doll_4.74 m,doll_983.0 m
,doll_871.0 m,doll_1.61 m,doll_6.71 b
,doll_1.1 b,doll_7.67 m,doll_740.0 m
,doll_903.0 m,doll_5.45 m,doll_5.46 b
,doll_631.0 m,doll_11.52 m,doll_152.0 m
,doll_475.0 m,doll_4.35 m,doll_1.26 b
,doll_1.04 b,0,doll_8.45 b
,doll_229.0 m,doll_9.74 m,doll_1.33 b
,doll_241.0 m,doll_8.65 m,doll_1.73 b
,doll_150.0 m,doll_3.25 m,doll_1.15 b
,doll_-1098.0 m,doll_3.97 m,doll_6.59 b
,doll_511.0 m,doll_3.8 m,doll_515.0 m
,doll_118.0 m,doll_3.84 m,doll_695.0 m
,doll_272.0 m,doll_9.18 m,doll_2.49 b
,doll_342.0 m,0,doll_2.21 b
,doll_135.0 m,doll_10.41 m,doll_3.25 b
,doll_237.0 m,doll_5.2 m,doll_524.0 m
,doll_87.0 m,doll_4.89 m,doll_396.0 m
,doll_544.0 m,doll_6.38 m,doll_9.52 b
,doll_319.0 m,0,doll_2.39 b
,doll_593.0 m,doll_6.54 m,doll_5.85 b
,doll_196.0 m,doll_5.42 m,doll_2.04 b
,doll_134.0 m,doll_5.42 m,doll_705.0 m
,doll_72.0 m,doll_7.54 m,doll_870.0 m
,doll_508.0 m,doll_7.42 m,doll_547.0 m
,doll_-631.0 m,doll_7.71 m,doll_1.66 b
,doll_698.0 m,doll_5.54 m,doll_3.24 b
,doll_904.0 m,doll_7.18 m,doll_2.89 b
,doll_780.0 m,doll_8.69 m,doll_1.35 b
,doll_314.0 m,doll_4.4 m,doll_10.52 b
,doll_118.0 m,doll_5.78 m,doll_173.0 m
,doll_-40.0 m,doll_6.17 m,doll_5.31 b
,doll_428.0 m,doll_11.13 m,doll_6.64 b
,doll_727.0 m,doll_7.04 m,doll_1.98 b
,doll_613.0 m,doll_8.95 m,doll_1.77 b
,doll_805.0 m,doll_8.42 m,doll_5.07 b
,doll_268.0 m,doll_6.09 m,doll_2.14 b
,doll_70.0 m,doll_6.37 m,doll_1.75 b
,doll_270.0 m,doll_3.12 m,doll_1.15 b
,doll_255.0 m,doll_16.0 m,doll_2.29 b
,doll_817.0 m,doll_7.23 m,doll_12.27 b
,doll_166.0 m,doll_5.52 m,doll_3.32 b
,doll_-345.0 m,doll_7.63 m,doll_1.01 b
,doll_293.0 m,doll_5.09 m,doll_4.71 b
,doll_1.95 b,doll_8.01 m,doll_13.15 b
,doll_103.0 m,0,doll_1.78 b
,doll_714.0 m,doll_6.83 m,doll_1.91 b
,doll_270.0 m,doll_6.25 m,doll_8.45 b
,doll_94.0 m,doll_8.43 m,doll_399.0 m
,doll_42.0 m,doll_3.88 m,doll_587.0 m
,doll_198.0 m,doll_3.56 m,doll_1.71 b
,doll_312.0 m,doll_8.37 m,doll_2.79 b
,doll_163.0 m,doll_3.26 m,doll_2.62 b
,doll_155.0 m,doll_7.11 m,doll_1.46 b
,doll_1.05 b,doll_6.72 m,doll_2.4 b
,doll_437.0 m,doll_4.99 m,doll_2.27 b
,doll_324.0 m,doll_5.3 m,doll_789.0 m
,doll_781.0 m,0,doll_13.9 b
,doll_340.0 m,0,doll_10.96 b
,doll_560.0 m,0,doll_1.41 b
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,doll_1.91 b
,0.0,doll_8.42 m,0.0
,doll_-532.0 m,doll_6.45 m,doll_1.11 b
,0.0,doll_1.15 m,0.0
,doll_1.79 b,doll_7.04 m,doll_17.74 b
,doll_657.0 m,doll_5.05 m,doll_8.12 b
,doll_514.0 m,0,doll_6.02 b
,doll_440.0 m,doll_8.56 m,doll_885.0 m
,doll_2.12 b,doll_3.89 m,doll_720.0 m
,0.0,doll_3.26 m,doll_3.41 b
,doll_189.0 m,doll_4.69 m,doll_18.66 b
,doll_242.0 m,doll_7.37 m,doll_2.67 b
,doll_2.1 b,doll_10.93 m,doll_12.71 b
,doll_362.0 m,doll_13.81 m,doll_13.98 b
,doll_3.57 b,doll_5.68 m,doll_3.77 b
,doll_963.0 m,doll_4.43 m,doll_3.5 b
,doll_800.0 m,doll_8.16 m,doll_13.96 b
,doll_125.0 m,doll_4.73 m,doll_831.0 m
,doll_391.0 m,0,doll_3.56 b
,doll_-493.0 m,doll_5.53 m,doll_670.0 m
,doll_258.0 m,doll_5.04 m,doll_4.16 b
,doll_227.0 m,doll_5.78 m,doll_499.0 m
,doll_-19.0 m,doll_6.11 m,doll_428.0 m
,doll_306.0 m,doll_8.37 m,doll_3.46 b
,doll_355.0 m,doll_8.97 m,doll_10.42 b
,doll_438.0 m,doll_2.83 m,doll_7.08 b
,doll_249.0 m,doll_6.98 m,doll_272.0 m
,doll_108.0 m,doll_9.3 m,doll_19.28 b
,doll_737.0 m,doll_7.76 m,doll_3.65 b
,doll_134.0 m,doll_4.62 m,doll_2.81 b
,doll_330.0 m,doll_9.8 m,doll_8.53 b
,doll_416.0 m,doll_8.54 m,doll_1.06 b
,doll_313.0 m,doll_2.33 m,doll_2.93 b
,doll_122.0 m,doll_5.26 m,doll_811.0 m
,doll_184.0 m,doll_7.69 m,doll_553.0 m
,doll_839.0 m,doll_5.41 m,doll_16.14 b
,doll_567.0 m,doll_6.78 m,doll_14.37 b
,doll_1.06 b,doll_3.4 m,doll_4.66 b
,doll_952.0 m,doll_4.68 m,doll_9.15 b
,doll_197.0 m,0,doll_1.22 b
,doll_-71.0 m,doll_7.73 m,doll_237.0 m
,doll_211.0 m,doll_5.35 m,doll_1.73 b
,doll_283.0 m,doll_2.42 m,doll_2.08 b
,doll_388.0 m,doll_9.67 m,doll_804.0 m
,doll_1.05 b,doll_4.41 m,doll_588.0 m
,doll_645.0 m,doll_6.35 m,doll_24.87 b
,doll_253.0 m,doll_4.76 m,doll_2.29 b
,doll_-418.0 m,doll_10.08 m,doll_701.0 m
,doll_338.0 m,doll_0.48 m,doll_2.47 b
,doll_2.98 b,doll_3.98 m,doll_22.48 b
,doll_179.0 m,doll_7.24 m,doll_363.0 m
,doll_585.0 m,doll_2.92 m,doll_3.5 b
,doll_-40.0 m,doll_7.37 m,doll_572.0 m
,doll_215.0 m,doll_6.28 m,doll_618.0 m
,doll_263.0 m,doll_4.36 m,doll_4.42 b
,doll_725.0 m,doll_4.75 m,doll_2.31 b
,doll_771.0 m,doll_13.13 m,doll_7.07 b
,doll_94.0 m,doll_7.28 m,doll_440.0 m
,doll_1.37 b,doll_7.76 m,doll_25.84 b
,doll_156.0 m,0,doll_2.41 b
,doll_981.0 m,0,doll_4.16 b
,doll_332.0 m,doll_3.68 m,doll_3.31 b
,doll_956.0 m,doll_5.26 m,doll_1.95 b
,doll_274.0 m,doll_3.26 m,doll_1.5 b
,doll_-83.0 m,0,doll_1.07 b
,doll_155.0 m,doll_4.76 m,doll_2.87 b
,doll_410.0 m,0,doll_2.73 b
,doll_206.0 m,doll_4.97 m,doll_1.0 b
,doll_-74.0 m,doll_5.43 m,doll_245.0 m
,doll_-582.0 m,doll_17.89 m,doll_72.0 m
,doll_4.96 b,doll_4.5 m,doll_6.41 b
,doll_389.0 m,doll_5.68 m,doll_3.22 b
,doll_49.0 m,doll_6.24 m,doll_3.89 b
,doll_990.0 m,doll_11.16 m,doll_10.09 b
,doll_263.0 m,doll_6.32 m,doll_3.08 b
,doll_933.0 m,0,doll_2.55 b
,doll_319.0 m,doll_6.65 m,doll_99.0 m
,doll_588.0 m,doll_6.83 m,doll_1.35 b
,doll_52.0 m,doll_5.99 m,doll_738.0 m
,doll_327.0 m,doll_5.88 m,doll_5.76 b
,doll_450.0 m,doll_4.52 m,doll_6.1 b
,doll_301.0 m,doll_5.52 m,doll_953.0 m
,doll_302.0 m,doll_8.75 m,doll_5.33 b
,doll_339.0 m,doll_3.87 m,doll_12.95 b
,doll_622.0 m,doll_20.0 m,doll_2.77 b
,doll_471.0 m,doll_2.06 m,doll_378.0 m
,doll_538.0 m,doll_5.65 m,doll_776.0 m
,doll_397.0 m,doll_10.35 m,doll_2.55 b
,doll_126.0 m,doll_3.15 m,doll_7.51 b
,doll_664.0 m,doll_5.14 m,doll_2.29 b
,doll_83.0 m,doll_1.35 m,doll_295.0 m
,doll_1.32 b,doll_5.85 m,doll_2.24 b
,doll_42.0 m,doll_5.24 m,doll_774.0 m
,doll_965.0 m,doll_8.0 m,doll_24.32 b
,doll_140.0 m,doll_9.36 m,doll_1.38 b
,doll_149.0 m,doll_4.58 m,doll_958.0 m
,doll_188.0 m,doll_3.89 m,doll_624.0 m
,doll_568.0 m,doll_9.11 m,doll_2.77 b
,doll_445.0 m,doll_7.7 m,doll_3.95 b
,doll_1.15 b,doll_2.52 m,doll_2.61 b
,doll_275.0 m,doll_12.15 m,doll_1.17 b
,doll_-127.0 m,doll_6.07 m,doll_37.52 b
,doll_166.0 m,doll_7.51 m,doll_6.23 b
,doll_-113.0 m,doll_7.4 m,doll_632.0 m
,doll_3.36 b,doll_3.85 m,doll_30.7 b
,doll_112.0 m,doll_4.36 m,doll_50.89 b
,doll_234.0 m,doll_3.26 m,doll_1.81 b
,doll_304.0 m,doll_5.05 m,doll_1.51 b
,doll_115.0 m,doll_2.71 m,doll_2.7 b
,doll_154.0 m,doll_6.68 m,doll_536.0 m
,doll_109.0 m,doll_3.5 m,doll_1.58 b
,doll_1.29 b,doll_4.77 m,doll_6.26 b
,doll_278.0 m,doll_2.43 m,doll_2.45 b
,doll_741.0 m,doll_2.9 m,doll_6.29 b
,doll_205.0 m,0,doll_1.68 b
,doll_340.0 m,doll_2.83 m,doll_2.51 b
,doll_487.0 m,doll_13.51 m,doll_4.26 b
,doll_221.0 m,doll_9.93 m,doll_871.0 m
,doll_121.0 m,doll_8.11 m,doll_200.0 m
,doll_39.0 m,doll_0.12 m,doll_125.0 m
,doll_593.0 m,doll_5.38 m,doll_42.04 b
,doll_89.0 m,doll_8.98 m,doll_1.13 b
,doll_551.0 m,doll_3.34 m,doll_3.54 b
,doll_702.0 m,doll_8.28 m,doll_36.23 b
,doll_219.0 m,doll_9.29 m,doll_2.07 b
,doll_1.89 b,doll_4.42 m,doll_10.11 b
,doll_463.0 m,doll_3.41 m,doll_3.37 b
,doll_540.0 m,doll_2.63 m,doll_18.21 b
,doll_592.0 m,doll_6.13 m,doll_2.42 b
,doll_97.0 m,doll_7.83 m,doll_1.05 b
,doll_77.0 m,doll_5.97 m,doll_1.13 b
,doll_1.97 b,doll_2.56 m,doll_12.0 b
,doll_272.0 m,doll_6.54 m,doll_4.91 b
,doll_287.0 m,doll_6.83 m,doll_8.76 b
,doll_1.07 b,0,doll_1.51 b
,doll_-471.0 m,doll_7.67 m,doll_625.0 m
,doll_258.0 m,doll_2.12 m,doll_3.81 b
,doll_519.0 m,doll_7.89 m,doll_1.1 b
,doll_-662.0 m,0,doll_8.02 b
,doll_817.0 m,doll_10.93 m,doll_14.61 b
,doll_318.0 m,doll_10.95 m,doll_179.0 m
,doll_1.13 b,doll_8.03 m,doll_483.0 m
,doll_631.0 m,doll_1.74 m,doll_4.71 b
,doll_642.0 m,doll_7.42 m,doll_1.08 b
,doll_1.12 b,doll_4.38 m,doll_81.78 b
,doll_217.0 m,doll_8.12 m,doll_2.22 b
,doll_337.0 m,doll_10.36 m,doll_240.0 m
,doll_208.0 m,doll_1.57 m,doll_2.25 b
,doll_224.0 m,doll_3.03 m,doll_1.41 b
,doll_252.0 m,doll_5.51 m,doll_3.6 b
,doll_742.0 m,doll_4.8 m,doll_3.92 b
,doll_130.0 m,doll_3.74 m,doll_441.0 m
,doll_721.0 m,doll_8.0 m,doll_14.97 b
,doll_379.0 m,doll_19.07 m,doll_2.56 b
,doll_440.0 m,doll_2.38 m,doll_668.0 m
,doll_108.0 m,0,doll_1.46 b
,doll_936.0 m,doll_2.69 m,doll_11.58 b
,doll_837.0 m,doll_9.18 m,doll_1.17 b
,doll_36.0 m,doll_8.36 m,doll_178.0 m
,doll_59.0 m,doll_5.45 m,doll_553.0 m
,doll_81.0 m,doll_4.94 m,doll_188.0 m
,doll_198.0 m,0,doll_708.0 m
,doll_478.0 m,0,doll_6.18 b
,doll_317.0 m,doll_6.3 m,doll_1.66 b
,doll_328.0 m,0,doll_7.95 b
,0.0,doll_7.35 m,0.0
,doll_174.0 m,doll_9.22 m,doll_265.0 m
,doll_493.0 m,doll_2.41 m,doll_8.2 b
,doll_-6.0 m,doll_8.09 m,0.0
,doll_357.0 m,doll_1.95 m,doll_4.54 b
,0.0,doll_0.5 m,doll_1.85 b
,doll_367.0 m,doll_9.78 m,doll_1.45 b
,doll_31.0 m,doll_4.4 m,doll_14.78 b
,doll_205.0 m,doll_11.58 m,doll_1.09 b
,doll_132.0 m,doll_9.39 m,doll_494.0 m
,doll_1.15 b,doll_5.41 m,doll_25.42 b
,doll_71.0 m,doll_5.72 m,doll_3.85 b
,doll_637.0 m,doll_0.07 m,doll_4.22 b
,doll_576.0 m,doll_2.21 m,doll_4.85 b
,doll_180.0 m,0,doll_456.0 m
,doll_271.0 m,0,doll_4.63 b
,doll_-152.0 m,doll_3.54 m,doll_135.0 m
,doll_86.0 m,0,doll_554.0 m
,doll_308.0 m,doll_4.19 m,doll_2.58 b
,doll_903.0 m,doll_4.52 m,doll_77.1 b
,0.0,doll_10.43 m,0.0
,doll_660.0 m,doll_2.62 m,doll_2.81 b
,doll_375.0 m,doll_7.97 m,doll_1.62 b
,doll_637.0 m,doll_5.76 m,doll_3.38 b
,doll_-989.0 m,doll_28.22 m,doll_9.96 b
,doll_1.15 b,doll_5.09 m,doll_604.0 m
,doll_-58.0 m,doll_1.95 m,doll_535.0 m
,doll_1.31 b,doll_9.13 m,doll_4.97 b
,doll_5.19 b,doll_8.2 m,doll_33.55 b
,doll_1.3 b,0,doll_14.92 b
,doll_4.17 b,doll_5.69 m,doll_20.27 b
,doll_753.0 m,doll_6.07 m,doll_6.33 b
,doll_134.0 m,doll_4.98 m,doll_783.0 m
,doll_946.0 m,0,doll_46.9 b
,doll_-1455.0 m,doll_5.81 m,doll_16.23 b
,doll_221.0 m,doll_7.08 m,doll_3.73 b
,doll_-1.0 m,doll_0.73 m,doll_6.0 m
,doll_-386.0 m,doll_3.15 m,doll_89.0 m
,doll_360.0 m,doll_2.22 m,doll_12.82 b
,doll_496.0 m,doll_12.24 m,doll_13.32 b
,0.0,doll_2.94 m,0.0
,doll_223.0 m,doll_7.75 m,doll_609.0 m
,doll_623.0 m,doll_4.16 m,doll_4.06 b
,doll_106.0 m,0,doll_2.1 b
,doll_165.0 m,doll_5.1 m,doll_1.64 b
,doll_-595.0 m,doll_3.52 m,doll_6.02 b
,doll_188.0 m,doll_4.08 m,doll_420.0 m
,0.0,doll_5.15 m,doll_250.0 m
,doll_754.0 m,doll_3.21 m,doll_10.12 b
,doll_300.0 m,doll_1.6 m,doll_1.89 b
,doll_-30.0 m,doll_2.27 m,doll_567.0 m
,doll_72.0 m,doll_6.45 m,doll_475.0 m
,doll_785.0 m,doll_7.58 m,doll_3.9 b
,doll_216.0 m,doll_6.76 m,doll_1.02 b
,doll_633.0 m,doll_8.7 m,doll_4.61 b
,doll_1.41 b,doll_10.5 m,doll_2.03 b
,doll_70.0 m,doll_2.96 m,0.0
,doll_256.0 m,doll_1.01 m,doll_16.67 b
,doll_563.0 m,doll_6.35 m,doll_6.26 b
,doll_156.0 m,doll_7.38 m,doll_5.45 b
,doll_181.0 m,doll_4.85 m,doll_1.14 b
,doll_429.0 m,doll_7.51 m,doll_186.0 m
,doll_152.0 m,doll_3.63 m,doll_1.45 b
,doll_-86.0 m,doll_2.73 m,doll_17.23 b
,doll_540.0 m,0,doll_1.51 b
,doll_293.0 m,doll_5.82 m,doll_1.5 b
,doll_297.0 m,doll_3.95 m,doll_6.61 b
,doll_163.0 m,doll_7.9 m,doll_1.3 b
,doll_324.0 m,doll_6.39 m,doll_3.56 b
,doll_-104.0 m,doll_3.35 m,doll_2.8 b
,doll_143.0 m,0,doll_3.42 b
,doll_938.0 m,0,doll_19.43 b
,doll_421.0 m,doll_4.82 m,doll_2.55 b
,doll_258.0 m,doll_3.88 m,doll_1.48 b
,doll_1.41 b,doll_6.98 m,doll_2.03 b
,doll_4.64 b,doll_6.82 m,doll_10.73 b
,doll_383.0 m,doll_3.33 m,doll_9.9 b
,doll_325.0 m,doll_7.03 m,doll_3.62 b
,doll_386.0 m,doll_6.53 m,doll_1.02 b
,doll_290.0 m,doll_5.91 m,doll_3.63 b
,doll_323.0 m,doll_6.34 m,doll_1.74 b
,doll_1.2 b,doll_4.14 m,doll_663.0 m
,doll_87.0 m,doll_7.99 m,doll_2.59 b
,doll_704.0 m,doll_3.95 m,doll_43.33 b
,doll_294.0 m,doll_1.55 m,doll_1.84 b
,doll_565.0 m,doll_7.51 m,doll_2.41 b
,doll_709.0 m,doll_5.28 m,doll_9.81 b
,doll_-250.0 m,doll_3.13 m,doll_785.0 m
,doll_176.0 m,doll_2.83 m,doll_874.0 m
,doll_-422.0 m,doll_0.62 m,doll_8.0 m
,doll_1.58 b,doll_8.6 m,doll_6.15 b
,doll_53.0 m,0,doll_548.0 m
,doll_723.0 m,doll_6.44 m,doll_12.16 b
,doll_249.0 m,doll_3.21 m,doll_1.59 b
,doll_88.0 m,doll_6.9 m,doll_2.62 b
,doll_-86.0 m,doll_6.21 m,doll_4.19 b
,doll_1.09 b,doll_6.21 m,doll_14.75 b
,doll_137.0 m,doll_4.61 m,doll_982.0 m
,doll_645.0 m,doll_3.14 m,doll_7.57 b
,doll_-797.0 m,doll_9.19 m,doll_1.58 b
,doll_117.0 m,doll_1.42 m,doll_6.89 b
,doll_151.0 m,doll_0.69 m,doll_1.42 b
,doll_71.0 m,doll_5.57 m,doll_549.0 m
,doll_435.0 m,doll_3.66 m,doll_2.32 b
,doll_179.0 m,doll_3.87 m,doll_758.0 m
,doll_126.0 m,doll_3.32 m,doll_760.0 m
,doll_351.0 m,doll_2.69 m,doll_1.24 b
,doll_67.0 m,doll_4.22 m,doll_466.0 m
,doll_65.0 m,doll_1.64 m,doll_716.0 m
,doll_129.0 m,doll_3.46 m,doll_1.01 b
,0.0,doll_2.02 m,0.0
,doll_284.0 m,doll_6.73 m,doll_794.0 m
,doll_-79.0 m,doll_3.18 m,doll_1.61 b
,doll_109.0 m,doll_8.03 m,doll_630.0 m
,doll_-57.0 m,doll_6.33 m,doll_3.48 b
,doll_491.0 m,doll_5.84 m,doll_2.42 b
,doll_551.0 m,doll_4.78 m,doll_6.42 b
,doll_656.0 m,doll_4.08 m,doll_2.17 b
,doll_963.0 m,doll_6.97 m,doll_11.54 b
,doll_-340.0 m,doll_5.89 m,doll_5.31 b
,doll_89.0 m,0,doll_4.11 b
,doll_-106.0 m,0,doll_1.49 b
,doll_503.0 m,0,doll_12.98 b
,doll_681.0 m,doll_3.78 m,doll_13.27 b
,doll_62.0 m,doll_4.37 m,doll_207.0 m
,doll_918.0 m,doll_4.97 m,doll_14.76 b
,doll_123.0 m,doll_8.31 m,doll_1.16 b
,doll_374.0 m,doll_5.15 m,doll_1.86 b
,doll_18.0 m,0,doll_7.34 b
,doll_-524.0 m,doll_4.05 m,doll_15.85 b
,doll_844.0 m,doll_7.82 m,doll_22.73 b
,0.0,doll_7.03 m,0.0
,doll_1.22 b,doll_4.97 m,doll_1.27 b
,doll_658.0 m,doll_3.94 m,doll_16.2 b
,doll_90.0 m,doll_7.14 m,doll_2.36 b
,0.0,doll_7.76 m,0.0
,doll_249.0 m,doll_4.91 m,doll_1.38 b
,doll_579.0 m,doll_5.75 m,doll_1.1 b
,doll_-153.0 m,doll_1.89 m,doll_447.0 m
,doll_201.0 m,doll_8.04 m,doll_598.0 m
,doll_2.68 b,doll_8.59 m,doll_5.57 b
,doll_913.0 m,doll_10.32 m,doll_43.63 b
,doll_97.0 m,doll_3.02 m,doll_377.0 m
,doll_302.0 m,doll_5.43 m,doll_615.0 m
,doll_70.0 m,doll_3.01 m,doll_3.0 b
,doll_-2856.0 m,doll_5.09 m,doll_5.07 b
,doll_212.0 m,doll_3.08 m,doll_1.41 b
,doll_1.04 b,doll_4.17 m,doll_10.87 b
,doll_176.0 m,doll_5.14 m,doll_2.33 b
,0.0,doll_2.55 m,0.0
,doll_261.0 m,doll_2.6 m,doll_1.63 b
,doll_602.0 m,doll_1.09 m,doll_4.86 b
,doll_448.0 m,doll_1.43 m,doll_4.76 b
,doll_42.0 m,doll_4.02 m,doll_159.0 m
,doll_465.0 m,doll_4.48 m,doll_18.22 b
,doll_339.0 m,doll_3.77 m,doll_2.51 b
,doll_97.0 m,doll_8.28 m,doll_1.47 b
,doll_286.0 m,doll_3.48 m,doll_2.25 b
,doll_182.0 m,0,doll_1.76 b
,doll_150.0 m,doll_2.99 m,doll_1.66 b
,doll_250.0 m,doll_1.38 m,doll_1.55 b
,doll_1.38 b,doll_7.21 m,doll_4.55 b
,doll_1.02 b,doll_2.33 m,doll_19.5 b
,doll_-823.0 m,doll_5.73 m,doll_1.36 b
,doll_15.0 m,doll_8.26 m,doll_322.0 m
,0.0,doll_3.54 m,0.0
,doll_185.0 m,doll_6.74 m,doll_1.18 b
,doll_1.83 b,doll_4.03 m,doll_6.02 b
,doll_182.0 m,doll_7.49 m,doll_1.71 b
,doll_-64.0 m,doll_1.72 m,doll_4.56 b
,doll_410.0 m,doll_2.87 m,doll_5.12 b
,doll_439.0 m,doll_7.56 m,doll_7.57 b
,doll_-1139.0 m,doll_5.53 m,doll_1.94 b
,doll_171.0 m,doll_6.01 m,doll_1.3 b
,doll_219.0 m,doll_7.74 m,doll_3.22 b
,doll_387.0 m,doll_3.52 m,doll_15.23 b
,doll_286.0 m,doll_4.02 m,doll_3.96 b
,doll_378.0 m,doll_5.65 m,doll_5.68 b
,doll_65.0 m,doll_8.4 m,doll_918.0 m
,doll_129.0 m,doll_6.44 m,doll_719.0 m
,doll_-149.0 m,doll_3.53 m,doll_477.0 m
,doll_400.0 m,0,doll_2.19 b
,doll_65.0 m,doll_3.41 m,doll_4.3 b
,doll_553.0 m,doll_6.7 m,doll_7.48 b
,0.0,0,0.0
,doll_228.0 m,doll_4.45 m,doll_585.0 m
,doll_44.0 m,doll_3.64 m,doll_228.0 m
,doll_252.0 m,doll_3.63 m,doll_83.0 m
,doll_204.0 m,doll_3.62 m,doll_13.44 b
,doll_381.0 m,doll_1.32 m,doll_6.54 b
,doll_325.0 m,0,doll_4.34 b
