,link,rank,name,ceo,founded,revenue,country,industry
2537,https://www.value.today/company/klepierre-sa,2430,klepierre sa,not found,1990,doll_1.352 m,france,"['real estate', 'infrastructure', 'commercial properties', 'investments', 'property investments', 'retail', 'construction']"
2538,https://www.value.today/company/toromont-industries,2427,toromont industries,not found,1961,doll_3.081 m,canada,"['industries', 'machinery manufacturing', 'manufacturing']"
2539,https://www.value.today/company/intouch-holdings-public-company,2429,intouch holdings public company,not found,1983,99 million usd,thailand,"['communication services', 'telecom', 'technology', 'mobile services', 'media', 'advertising']"
2540,https://www.value.today/company/gsw-immobilien-ag,2438,gsw immobilien ag,not found,1924,378 million usd,germany,['real estate']
2541,https://www.value.today/company/nihon-ma-center,2443,nihon m&a center,not found,1991,295 million usd,japan,"['financial services', 'stock markets, trading, capital markets']"
2542,https://www.value.today/company/caseys-general-stores,2436,casey's general stores,not found,1959,doll_12.952 m,usa,"['consumer defensive', 'retail', 'restaurants', 'food products']"
2543,https://www.value.today/company/grupo-aeroportuario-del-pacifico,2434,grupo aeroportuario del pacifico,not found,1998,953 million usd,mexico,"['industries', 'infrastructure', 'transportation', 'airports operating']"
2544,https://www.value.today/company/zhuzhou-kibing-group,2442,zhuzhou kibing group,not found,1988,doll_2.287 m,china,"['industries', 'solar power devices', 'glass products', 'construction materials', 'home improvement', 'building products and equipment']"
2545,https://www.value.today/company/janus-henderson-group,2437,janus henderson group,not found,2017,doll_2.767 m,uk,"['financial services', 'investments', 'asset management']"
2546,https://www.value.today/company/pirelli-c,2435,pirelli & c,not found,1872,doll_5.329 m,italy,"['consumer cyclical', 'tyres', 'automobile parts', 'automobile']"
2547,https://www.value.today/company/swiss-prime-site-ag,2439,swiss prime site ag,not found,1999,776 million usd,switzerland,"['real estate', 'investments', 'property investments']"
2548,https://www.value.today/company/magazine-luiza,2441,magazine luiza,not found,1957,doll_7.510 m,brazil,"['consumer cyclical', 'retail']"
2549,https://www.value.today/company/taiyo-yuden,2440,taiyo yuden,not found,1950,doll_2.551 m,japan,"['technology', 'electronics', 'capital goods']"
2550,https://www.value.today/company/health,2453,by-health,not found,1995,doll_1.166 m,china,"['consumer defensive', 'healthcare products', 'fmcg', 'package foods', 'food products']"
2551,https://www.value.today/company/berkeley-group-holdings,2450,berkeley group holdings,not found,1976,doll_2.766 m,uk,"['consumer cyclical', 'real estate', 'construction', 'property investments']"
2552,https://www.value.today/company/bank-chengdu,2452,bank of chengdu,not found,1996,doll_2.609 m,china,"['financial services', 'banking services']"
2553,https://www.value.today/company/shanghai-raas-blood-products,2449,shanghai raas blood products,not found,1988,624 million usd,china,"['healthcare', 'pharmaceutical', 'biotechnology', 'technology', 'healthcare products']"
2554,https://www.value.today/company/mercari,2445,mercari,not found,2013,774 million usd,japan,"['consumer cyclical', 'ecommerce', 'internet or mobile app based business', 'retail']"
2555,https://www.value.today/company/globus-medical,2448,globus medical,not found,2003,958 million usd,usa,"['healthcare', 'medical equipment', 'healthcare products']"
2556,https://www.value.today/company/lg-display,2446,lg display,not found,1999,doll_24.318 m,south korea,"['technology', 'electronics', 'consumer electronics']"
2557,https://www.value.today/company/pt-indofood-cbp-sukses-makmur-tbk,2451,pt indofood cbp sukses makmur tbk,not found,1990,doll_3.954 m,indonesia,"['consumer defensive', 'food products', 'fmcg', 'package foods']"
2558,https://www.value.today/company/avic-heavy-machinery,2447,avic heavy machinery,not found,1996,doll_1.380 m,china,"['industries', 'industry machinery']"
2559,https://www.value.today/company/standard-life-aberdeen,2444,abrdn plc,not found,1825,doll_2.236 m,uk,"['financial services', 'asset management', 'investments']"
2560,https://www.value.today/company/toho,2460,toho,not found,1932,doll_1.808 m,japan,"['communication services', 'entertainment', 'movies / entertainment']"
2561,https://www.value.today/company/nanjing-king-friend-biochemical-pharmaceutical-co.-ltd,2463,nanjing king-friend biochemical pharmaceutical co. ltd,not found,not found,536 million usd,china,"['healthcare', 'pharmaceutical', 'healthcare products']"
2562,https://www.value.today/company/acs-actividades-de-construccion-y-servicios,2457,acs actividades de construccion y servicios,not found,1997,doll_30.703 m,spain,"['industries', 'infrastructure', 'construction', 'engineering services']"
2563,https://www.value.today/company/trend-micro,2461,trend micro,not found,1989,doll_1.507 m,japan,"['technology', 'software and it', 'security systems and solutions', 'defense products', 'software and it infrastructure']"
2564,https://www.value.today/company/shandong-linglong-tyre,2462,shandong linglong tyre,not found,1975,doll_2.704 m,china,"['consumer cyclical', 'tyres', 'automobile parts', 'automobile']"
2565,https://www.value.today/company/post-holdings,2455,post holdings,not found,1895,doll_6.226 m,usa,"['consumer defensive', 'fmcg', 'food products', 'consumer non durables', 'package foods']"
2566,https://www.value.today/company/performance-food-group-company,2458,performance food group company,not found,1875,doll_50.894 m,usa,"['consumer defensive', 'retail', 'food chains / distributor', 'food service']"
2567,https://www.value.today/company/dominos-pizza-enterprises,2464,domino's pizza enterprises,not found,1983,doll_1.581 m,australia,"['consumer cyclical', 'retail', 'food products', 'food service', 'restaurants']"
2568,https://www.value.today/company/shanghai-junshi-biosciences,2456,shanghai junshi biosciences,not found,2012,632 million usd,china,"['healthcare', 'biotechnology', 'biopharmaceutical']"
2569,https://www.value.today/company/thyssenkrupp-ag,2454,thyssenkrupp ag,not found,1999,doll_37.519 m,germany,"['industries', 'engineering products', 'technology', 'tools and equipment', 'capital goods', 'metal fabrication products']"
2570,https://www.value.today/company/lynas-rare-earths-limited,2472,lynas rare earths limited,not found,1983,200 million usd,malaysia,"['basic materials', 'mining']"
2571,https://www.value.today/company/kghm-polska-miedz,2465,kghm polska miedz,not found,1961,doll_6.259 m,poland,"['basic materials', 'mining', 'copper mining', 'silver mining', 'nickel', 'gold mining', 'molybdenum', 'platinum', 'lead']"
2572,https://www.value.today/company/plains-all-american-pipeline,2474,plains all american pipeline,not found,1998,doll_42.043 m,usa,"['energy', 'oil and gas', 'utilities', 'gas utilities', 'oil and gas pipeline transport']"
2573,https://www.value.today/company/angel-yeast-co.-ltd,2468,angel yeast co. ltd,not found,not found,doll_1.676 m,china,"['consumer defensive', 'food products', 'fmcg', 'package foods']"
2574,https://www.value.today/company/ming-yang-smart-energy-group,2470,ming yang smart energy group,not found,not found,doll_4.263 m,china,"['industries', 'industry machinery', 'power equipment', 'machinery manufacturing']"
2575,https://www.value.today/company/envista-holdings-corporation,2469,envista holdings corporation,not found,2018,doll_2.508 m,usa,"['healthcare', 'medical equipment']"
2576,https://www.value.today/company/airtac-international-group,2471,airtac international group,not found,1988,871 million usd,taiwan,"['industries', 'machinery manufacturing', 'manufacturing', 'industry machinery']"
2577,https://www.value.today/company/kuang-chi-technologies,2473,kuang-chi technologies,not found,2010,125 million usd,china,"['consumer cyclical', 'automobile parts', 'automobile']"
2578,https://www.value.today/company/skechers-u,2467,skechers,not found,1992,doll_6.285 m,usa,"['consumer cyclical', 'clothing', 'readymade clothing', 'apparels and accessories', 'textile', 'consumer non durables', 'footwear', 'shoes']"
2579,https://www.value.today/company/fluidra,2466,fluidra,not found,1969,doll_2.446 m,spain,"['industries', 'infrastructure', 'industry machinery']"
2580,https://www.value.today/company/omnicell,2484,omnicell,not found,1992,doll_1.132 m,usa,"['healthcare', 'computers hardware', 'technology', 'software and it', 'healthcare technology and information']"
2581,https://www.value.today/company/torrent-pharmaceuticals,2483,torrent pharmaceuticals,not found,1959,doll_1.054 m,india,"['healthcare', 'pharmaceutical', 'healthcare products']"
2582,https://www.value.today/company/sharp-corporation,2481,sharp corporation,not found,1912,doll_18.210 m,japan,"['technology', 'electronics', 'consumer electronics', 'air conditioners', 'washing machines', 'refrigerators', 'microwave ovens', 'telecom equipment', 'network hardware and software', 'networking products / solutions', 'internet of things']"
2583,https://www.value.today/company/new-york-times-company,2478,new york times company,not found,1851,doll_2.074 m,usa,"['communication services', 'paper and pulp', 'consumer services', 'news papers / magazines', 'media', 'publishing']"
2584,https://www.value.today/company/china-cinda-asset-management,2479,china cinda asset management,not found,1999,doll_10.108 m,china,"['financial services', 'asset management']"
2585,https://www.value.today/company/x5-retail-group,2477,x5 retail group,not found,2006,doll_36.232 m,russia,"['consumer defensive', 'retail']"
2586,https://www.value.today/company/neurocrine-biosciences,2475,neurocrine biosciences,not found,1992,doll_1.133 m,usa,"['healthcare', 'pharmaceutical', 'biopharmaceutical', 'biotechnology', 'technology', 'healthcare products']"
2587,https://www.value.today/company/aib-group,2482,aib group,not found,1966,doll_2.419 m,ireland,"['financial services', 'banking services']"
2588,https://www.value.today/company/hulic,2476,hulic,not found,1931,doll_3.539 m,japan,"['real estate', 'property investments', 'rent / lease services']"
2589,https://www.value.today/company/boyd-gaming-corporation,2480,boyd gaming corporation,not found,1975,doll_3.369 m,usa,"['consumer cyclical', 'hotels', 'consumer services']"
2590,https://www.value.today/company/innolux-corporation,2485,innolux corporation,not found,2003,doll_12.004 m,taiwan,"['technology', 'electronics', 'computers hardware', 'capital goods']"
2591,https://www.value.today/company/great-eastern-holdings,2493,great eastern holdings,not found,1899,doll_14.605 m,singapore,"['financial services', 'insurance']"
2592,https://www.value.today/company/prosperity-bancshares,2491,prosperity bancshares,not found,1983,doll_1.098 m,usa,"['financial services', 'banking services']"
2593,https://www.value.today/company/opendoor-technologies-inc.,2492,opendoor technologies inc.,not found,2014,doll_8.021 m,usa,"['real estate', 'internet or mobile app based business', 'technology']"
2594,https://www.value.today/company/growthpoint-properties-australia,2494,growthpoint properties australia,not found,2009,179 million usd,australia,"['real estate', 'property investments']"
2595,https://www.value.today/company/china-merchants-port-holdings-company,2488,china merchants port holdings company,not found,1991,doll_1.511 m,hong kong,"['industries', 'conglomerate', 'transportation', 'freight transport', 'marine transportation', 'shipping']"
2596,https://www.value.today/company/natera,2489,natera,not found,2004,625 million usd,usa,"['healthcare', 'healthcare products', 'health care diagnostics']"
2597,https://www.value.today/company/medibank-private,2486,medibank private,not found,1997,doll_4.910 m,australia,"['financial services', 'insurance']"
