00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
"4,669 million usd","6,946 million usd",6946000000.0
"8,000 million usd","5,740 million usd",5740000000.0
"5,740 million usd","8,000 million usd",8000000000.0
"6,946 million usd","4,669 million usd",4669000000.0
"-6,520 million usd","4,654 million usd",4654000000.0
230 million usd,"34,221 million usd",34221000000.0
"2,939 million usd","3,024 million usd",3024000000.0
,"3,531 million usd",3531000000.0
"4,643 million usd",,
-352 million usd,,
"6,104 million usd","8,079 million usd",8079000000.0
"5,861 million usd",-559 million usd,-559000000.0
-559 million usd,"5,861 million usd",5861000000.0
"8,079 million usd","6,104 million usd",6104000000.0
,-352 million usd,-352000000.0
,"4,643 million usd",4643000000.0
"3,531 million usd",,
"2,948 million usd",,
"3,499 million usd","-2,046 million usd",-2046000000.0
"4,677 million usd","5,921 million usd",5921000000.0
"8,618 million usd","7,284 million usd",7284000000.0
"3,367 million usd","2,968 million usd",2968000000.0
"2,968 million usd","3,367 million usd",3367000000.0
"7,284 million usd","8,618 million usd",8618000000.0
"5,921 million usd","4,677 million usd",4677000000.0
"-2,046 million usd","3,499 million usd",3499000000.0
,"2,948 million usd",2948000000.0
"1,165 million usd","1,165 million usd",1165000000.0
,"2,037 million usd",2037000000.0
"3,931 million usd","1,994 million usd",1994000000.0
"2,254 million usd","6,315 million usd",6315000000.0
"7,565 million usd","3,242 million usd",3242000000.0
"17,937 million usd","17,937 million usd",17937000000.0
"3,242 million usd","7,565 million usd",7565000000.0
"6,315 million usd","2,254 million usd",2254000000.0
"1,994 million usd","3,931 million usd",3931000000.0
"2,037 million usd",,
,"5,409 million usd",5409000000.0
,"6,151 million usd",6151000000.0
"2,464 million usd","4,605 million usd",4605000000.0
-679 million usd,"4,300 million usd",4300000000.0
"4,602 million usd",443 million usd,443000000.0
443 million usd,"4,602 million usd",4602000000.0
"4,300 million usd",-679 million usd,-679000000.0
"4,605 million usd","2,464 million usd",2464000000.0
"6,151 million usd",,
"5,409 million usd",,
"6,225 million usd","10,456 million usd",10456000000.0
"2,773 million usd","7,605 million usd",7605000000.0
"8,903 million usd","10,019 million usd",10019000000.0
"8,562 million usd",,
"3,966 million usd","2,166 million usd",2166000000.0
"2,166 million usd","3,966 million usd",3966000000.0
,"8,562 million usd",8562000000.0
