00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
457 million usd,653 million usd,653000000.0
750 million usd,753 million usd,753000000.0
147 million usd,-290 million usd,-290000000.0
368 million usd,368 million usd,368000000.0
417 million usd,911 million usd,911000000.0
846 million usd,-472 million usd,-472000000.0
242 million usd,5 million usd,5000000.0
684 million usd,-16 million usd,-16000000.0
641 million usd,641 million usd,641000000.0
-16 million usd,684 million usd,684000000.0
5 million usd,242 million usd,242000000.0
-472 million usd,846 million usd,846000000.0
911 million usd,417 million usd,417000000.0
395 million usd,401 million usd,401000000.0
"1,140 million usd",653 million usd,653000000.0
653 million usd,"1,943 million usd",1943000000.0
401 million usd,"1,140 million usd",1140000000.0
"1,943 million usd",395 million usd,395000000.0
"1,202 million usd",385 million usd,385000000.0
579 million usd,472 million usd,472000000.0
292 million usd,292 million usd,292000000.0
472 million usd,579 million usd,579000000.0
385 million usd,"1,202 million usd",1202000000.0
266 million usd,271 million usd,271000000.0
629 million usd,289 million usd,289000000.0
-73 million usd,279 million usd,279000000.0
"1,988 million usd",232 million usd,232000000.0
816 million usd,"1,781 million usd",1781000000.0
"1,781 million usd",816 million usd,816000000.0
232 million usd,"1,988 million usd",1988000000.0
279 million usd,-73 million usd,-73000000.0
289 million usd,629 million usd,629000000.0
271 million usd,266 million usd,266000000.0
"1,057 million usd",362 million usd,362000000.0
362 million usd,"1,057 million usd",1057000000.0
833 million usd,"1,305 million usd",1305000000.0
"-1,993 million usd",397 million usd,397000000.0
421 million usd,864 million usd,864000000.0
262 million usd,-266 million usd,-266000000.0
-266 million usd,262 million usd,262000000.0
864 million usd,421 million usd,421000000.0
397 million usd,"-1,993 million usd",-1993000000.0
"1,305 million usd",833 million usd,833000000.0
259 million usd,127 million usd,127000000.0
682 million usd,444 million usd,444000000.0
"1,045 million usd","1,045 million usd",1045000000.0
444 million usd,682 million usd,682000000.0
127 million usd,259 million usd,259000000.0
285 million usd,"3,919 million usd",3919000000.0
"1,011 million usd","1,766 million usd",1766000000.0
304 million usd,304 million usd,304000000.0
"1,766 million usd","1,011 million usd",1011000000.0
"3,919 million usd",285 million usd,285000000.0
895 million usd,895 million usd,895000000.0
"1,361 million usd","3,214 million usd",3214000000.0
872 million usd,"1,031 million usd",1031000000.0
377 million usd,838 million usd,838000000.0
922 million usd,543 million usd,543000000.0
421 million usd,421 million usd,421000000.0
543 million usd,922 million usd,922000000.0
838 million usd,377 million usd,377000000.0
"1,031 million usd",872 million usd,872000000.0
"3,214 million usd","1,361 million usd",1361000000.0
556 million usd,134 million usd,134000000.0
"3,034 million usd",207 million usd,207000000.0
740 million usd,563 million usd,563000000.0
-35 million usd,374 million usd,374000000.0
732 million usd,598 million usd,598000000.0
598 million usd,732 million usd,732000000.0
374 million usd,-35 million usd,-35000000.0
563 million usd,740 million usd,740000000.0
207 million usd,"3,034 million usd",3034000000.0
134 million usd,556 million usd,556000000.0
"1,030 million usd","1,030 million usd",1030000000.0
640 million usd,"1,004 million usd",1004000000.0
392 million usd,345 million usd,345000000.0
191 million usd,283 million usd,283000000.0
93 million usd,800 million usd,800000000.0
372 million usd,372 million usd,372000000.0
800 million usd,93 million usd,93000000.0
283 million usd,191 million usd,191000000.0
345 million usd,392 million usd,392000000.0
"1,004 million usd",640 million usd,640000000.0
,,
498 million usd,317 million usd,317000000.0
-223 million usd,-653 million usd,-653000000.0
"-1,396 million usd",629 million usd,629000000.0
487 million usd,"1,033 million usd",1033000000.0
307 million usd,307 million usd,307000000.0
"1,033 million usd",487 million usd,487000000.0
629 million usd,"-1,396 million usd",-1396000000.0
-653 million usd,-223 million usd,-223000000.0
317 million usd,498 million usd,498000000.0
-73 million usd,-73 million usd,-73000000.0
387 million usd,335 million usd,335000000.0
"-1,269 million usd",249 million usd,249000000.0
235 million usd,-25 million usd,-25000000.0
-271 million usd,588 million usd,588000000.0
616 million usd,616 million usd,616000000.0
588 million usd,-271 million usd,-271000000.0
-25 million usd,235 million usd,235000000.0
249 million usd,"-1,269 million usd",-1269000000.0
335 million usd,387 million usd,387000000.0
"2,670 million usd","2,670 million usd",2670000000.0
657 million usd,,
820 million usd,-480 million usd,-480000000.0
597 million usd,897 million usd,897000000.0
577 million usd,15 million usd,15000000.0
"-2,816 million usd","-2,816 million usd",-2816000000.0
15 million usd,577 million usd,577000000.0
897 million usd,597 million usd,597000000.0
-480 million usd,820 million usd,820000000.0
,657 million usd,657000000.0
354 million usd,354 million usd,354000000.0
"2,988 million usd",282 million usd,282000000.0
"1,078 million usd",202 million usd,202000000.0
"1,995 million usd",463 million usd,463000000.0
"1,056 million usd",611 million usd,611000000.0
"2,085 million usd","2,085 million usd",2085000000.0
611 million usd,"1,056 million usd",1056000000.0
463 million usd,"1,995 million usd",1995000000.0
202 million usd,"1,078 million usd",1078000000.0
282 million usd,"2,988 million usd",2988000000.0
429 million usd,429 million usd,429000000.0
770 million usd,159 million usd,159000000.0
121 million usd,418 million usd,418000000.0
-355 million usd,537 million usd,537000000.0
453 million usd,"2,389 million usd",2389000000.0
850 million usd,850 million usd,850000000.0
"2,389 million usd",453 million usd,453000000.0
537 million usd,-355 million usd,-355000000.0
418 million usd,121 million usd,121000000.0
159 million usd,770 million usd,770000000.0
222 million usd,222 million usd,222000000.0
943 million usd,"-4,326 million usd",-4326000000.0
946 million usd,25 million usd,25000000.0
"1,462 million usd",709 million usd,709000000.0
533 million usd,153 million usd,153000000.0
544 million usd,544 million usd,544000000.0
153 million usd,533 million usd,533000000.0
709 million usd,"1,462 million usd",1462000000.0
25 million usd,946 million usd,946000000.0
"-4,326 million usd",943 million usd,943000000.0
"1,604 million usd","1,604 million usd",1604000000.0
-226 million usd,553 million usd,553000000.0
104 million usd,150 million usd,150000000.0
373 million usd,135 million usd,135000000.0
787 million usd,512 million usd,512000000.0
-164 million usd,-164 million usd,-164000000.0
512 million usd,787 million usd,787000000.0
135 million usd,373 million usd,373000000.0
150 million usd,104 million usd,104000000.0
553 million usd,-226 million usd,-226000000.0
128 million usd,128 million usd,128000000.0
978 million usd,475 million usd,475000000.0
195 million usd,,
126 million usd,"2,799 million usd",2799000000.0
128 million usd,-288 million usd,-288000000.0
249 million usd,249 million usd,249000000.0
-288 million usd,128 million usd,128000000.0
"2,799 million usd",126 million usd,126000000.0
,195 million usd,195000000.0
475 million usd,978 million usd,978000000.0
674 million usd,674 million usd,674000000.0
104 million usd,90 million usd,90000000.0
"1,629 million usd",819 million usd,819000000.0
962 million usd,483 million usd,483000000.0
228 million usd,365 million usd,365000000.0
473 million usd,473 million usd,473000000.0
365 million usd,228 million usd,228000000.0
483 million usd,962 million usd,962000000.0
819 million usd,"1,629 million usd",1629000000.0
90 million usd,104 million usd,104000000.0
"1,161 million usd","1,161 million usd",1161000000.0
95 million usd,500 million usd,500000000.0
212 million usd,"1,733 million usd",1733000000.0
277 million usd,979 million usd,979000000.0
-84 million usd,401 million usd,401000000.0
"1,606 million usd","1,606 million usd",1606000000.0
401 million usd,-84 million usd,-84000000.0
979 million usd,277 million usd,277000000.0
"1,733 million usd",212 million usd,212000000.0
500 million usd,95 million usd,95000000.0
40 million usd,190 million usd,190000000.0
373 million usd,-265 million usd,-265000000.0
464 million usd,223 million usd,223000000.0
"1,333 million usd",848 million usd,848000000.0
"1,977 million usd",474 million usd,474000000.0
474 million usd,"1,977 million usd",1977000000.0
848 million usd,"1,333 million usd",1333000000.0
223 million usd,464 million usd,464000000.0
-265 million usd,373 million usd,373000000.0
190 million usd,40 million usd,40000000.0
238 million usd,238 million usd,238000000.0
101 million usd,"1,940 million usd",1940000000.0
215 million usd,"1,774 million usd",1774000000.0
"1,285 million usd",173 million usd,173000000.0
88 million usd,615 million usd,615000000.0
252 million usd,252 million usd,252000000.0
615 million usd,88 million usd,88000000.0
"1,774 million usd","1,285 million usd",1285000000.0
"1,940 million usd",215 million usd,215000000.0
173 million usd,101 million usd,101000000.0
"-1,523 million usd","-1,523 million usd",-1523000000.0
"1,126 million usd",123 million usd,123000000.0
"1,036 million usd",345 million usd,345000000.0
593 million usd,503 million usd,503000000.0
201 million usd,483 million usd,483000000.0
112 million usd,112 million usd,112000000.0
483 million usd,201 million usd,201000000.0
503 million usd,593 million usd,593000000.0
345 million usd,"1,036 million usd",1036000000.0
123 million usd,"1,126 million usd",1126000000.0
"1,005 million usd","1,005 million usd",1005000000.0
488 million usd,"2,607 million usd",2607000000.0
703 million usd,224 million usd,224000000.0
220 million usd,0 million usd,0.0
"1,379 million usd",-524 million usd,-524000000.0
749 million usd,749 million usd,749000000.0
-524 million usd,"1,379 million usd",1379000000.0
0 million usd,220 million usd,220000000.0
224 million usd,703 million usd,703000000.0
"2,607 million usd",488 million usd,488000000.0
152 million usd,152 million usd,152000000.0
"1,466 million usd","1,088 million usd",1088000000.0
"1,443 million usd",977 million usd,977000000.0
529 million usd,210 million usd,210000000.0
631 million usd,"-1,295 million usd",-1295000000.0
193 million usd,193 million usd,193000000.0
"-1,295 million usd",631 million usd,631000000.0
210 million usd,529 million usd,529000000.0
977 million usd,"1,443 million usd",1443000000.0
"1,088 million usd","1,466 million usd",1466000000.0
802 million usd,802 million usd,802000000.0
373 million usd,300 million usd,300000000.0
"-3,232 million usd",399 million usd,399000000.0
143 million usd,-300 million usd,-300000000.0
"2,123 million usd",-691 million usd,-691000000.0
-39 million usd,-39 million usd,-39000000.0
-691 million usd,"2,123 million usd",2123000000.0
-300 million usd,143 million usd,143000000.0
399 million usd,"-3,232 million usd",-3232000000.0
300 million usd,373 million usd,373000000.0
"1,005 million usd","1,005 million usd",1005000000.0
"3,992 million usd",312 million usd,312000000.0
973 million usd,"2,051 million usd",2051000000.0
283 million usd,856 million usd,856000000.0
419 million usd,"-8,649 million usd",-8649000000.0
-403 million usd,-403 million usd,-403000000.0
"-8,649 million usd",419 million usd,419000000.0
856 million usd,283 million usd,283000000.0
"2,051 million usd",973 million usd,973000000.0
312 million usd,"3,992 million usd",3992000000.0
"4,344 million usd","4,344 million usd",4344000000.0
932 million usd,492 million usd,492000000.0
236 million usd,181 million usd,181000000.0
538 million usd,-381 million usd,-381000000.0
-60 million usd,274 million usd,274000000.0
"-1,136 million usd","-1,136 million usd",-1136000000.0
274 million usd,-60 million usd,-60000000.0
-381 million usd,538 million usd,538000000.0
181 million usd,236 million usd,236000000.0
492 million usd,932 million usd,932000000.0
534 million usd,534 million usd,534000000.0
650 million usd,32 million usd,32000000.0
721 million usd,-222 million usd,-222000000.0
989 million usd,102 million usd,102000000.0
688 million usd,,
,,
,688 million usd,688000000.0
102 million usd,989 million usd,989000000.0
-222 million usd,721 million usd,721000000.0
32 million usd,650 million usd,650000000.0
173 million usd,173 million usd,173000000.0
471 million usd,23 million usd,23000000.0
-25 million usd,364 million usd,364000000.0
871 million usd,"2,680 million usd",2680000000.0
493 million usd,-156 million usd,-156000000.0
845 million usd,845 million usd,845000000.0
-156 million usd,493 million usd,493000000.0
"2,680 million usd",871 million usd,871000000.0
364 million usd,-25 million usd,-25000000.0
23 million usd,471 million usd,471000000.0
518 million usd,518 million usd,518000000.0
123 million usd,,
261 million usd,695 million usd,695000000.0
680 million usd,"3,118 million usd",3118000000.0
295 million usd,395 million usd,395000000.0
759 million usd,759 million usd,759000000.0
395 million usd,295 million usd,295000000.0
"3,118 million usd",680 million usd,680000000.0
695 million usd,261 million usd,261000000.0
,123 million usd,123000000.0
931 million usd,931 million usd,931000000.0
"1,030 million usd",278 million usd,278000000.0
271 million usd,102 million usd,102000000.0
"-1,453 million usd","1,413 million usd",1413000000.0
787 million usd,680 million usd,680000000.0
382 million usd,382 million usd,382000000.0
680 million usd,787 million usd,787000000.0
"1,413 million usd","-1,453 million usd",-1453000000.0
102 million usd,"1,030 million usd",1030000000.0
278 million usd,271 million usd,271000000.0
455 million usd,"-1,071 million usd",-1071000000.0
-129 million usd,975 million usd,975000000.0
975 million usd,-129 million usd,-129000000.0
"-1,071 million usd",455 million usd,455000000.0
-771 million usd,"1,162 million usd",1162000000.0
613 million usd,262 million usd,262000000.0
96 million usd,309 million usd,309000000.0
309 million usd,96 million usd,96000000.0
262 million usd,613 million usd,613000000.0
"1,162 million usd",-771 million usd,-771000000.0
210 million usd,210 million usd,210000000.0
578 million usd,349 million usd,349000000.0
323 million usd,573 million usd,573000000.0
980 million usd,408 million usd,408000000.0
-379 million usd,104 million usd,104000000.0
286 million usd,286 million usd,286000000.0
104 million usd,-379 million usd,-379000000.0
408 million usd,980 million usd,980000000.0
573 million usd,323 million usd,323000000.0
349 million usd,578 million usd,578000000.0
200 million usd,200 million usd,200000000.0
409 million usd,776 million usd,776000000.0
936 million usd,-47 million usd,-47000000.0
-180 million usd,366 million usd,366000000.0
55 million usd,-155 million usd,-155000000.0
304 million usd,304 million usd,304000000.0
-155 million usd,55 million usd,55000000.0
366 million usd,-180 million usd,-180000000.0
-47 million usd,936 million usd,936000000.0
776 million usd,409 million usd,409000000.0
"1,959 million usd","1,959 million usd",1959000000.0
169 million usd,807 million usd,807000000.0
207 million usd,297 million usd,297000000.0
282 million usd,744 million usd,744000000.0
"1,528 million usd",982 million usd,982000000.0
,,
982 million usd,"1,528 million usd",1528000000.0
744 million usd,282 million usd,282000000.0
297 million usd,207 million usd,207000000.0
807 million usd,169 million usd,169000000.0
,,
-826 million usd,21 million usd,21000000.0
130 million usd,"1,897 million usd",1897000000.0
291 million usd,271 million usd,271000000.0
109 million usd,377 million usd,377000000.0
295 million usd,295 million usd,295000000.0
377 million usd,109 million usd,109000000.0
271 million usd,291 million usd,291000000.0
"1,897 million usd",130 million usd,130000000.0
21 million usd,-826 million usd,-826000000.0
"1,139 million usd","1,139 million usd",1139000000.0
-203 million usd,452 million usd,452000000.0
"1,065 million usd",596 million usd,596000000.0
"1,090 million usd",802 million usd,802000000.0
744 million usd,"2,947 million usd",2947000000.0
"1,513 million usd","1,513 million usd",1513000000.0
"2,947 million usd",744 million usd,744000000.0
802 million usd,"1,090 million usd",1090000000.0
596 million usd,"1,065 million usd",1065000000.0
452 million usd,-203 million usd,-203000000.0
696 million usd,696 million usd,696000000.0
962 million usd,131 million usd,131000000.0
-60 million usd,580 million usd,580000000.0
144 million usd,183 million usd,183000000.0
337 million usd,363 million usd,363000000.0
418 million usd,418 million usd,418000000.0
363 million usd,337 million usd,337000000.0
183 million usd,144 million usd,144000000.0
580 million usd,-60 million usd,-60000000.0
131 million usd,962 million usd,962000000.0
"2,187 million usd","2,187 million usd",2187000000.0
339 million usd,733 million usd,733000000.0
856 million usd,285 million usd,285000000.0
-102 million usd,"1,674 million usd",1674000000.0
-66 million usd,551 million usd,551000000.0
417 million usd,417 million usd,417000000.0
551 million usd,-66 million usd,-66000000.0
"1,674 million usd",-102 million usd,-102000000.0
285 million usd,856 million usd,856000000.0
733 million usd,339 million usd,339000000.0
257 million usd,257 million usd,257000000.0
"1,167 million usd",315 million usd,315000000.0
993 million usd,215 million usd,215000000.0
"1,196 million usd",497 million usd,497000000.0
319 million usd,21 million usd,21000000.0
21 million usd,319 million usd,319000000.0
"1,416 million usd","1,416 million usd",1416000000.0
497 million usd,"1,196 million usd",1196000000.0
215 million usd,993 million usd,993000000.0
315 million usd,"1,167 million usd",1167000000.0
200 million usd,200 million usd,200000000.0
"1,690 million usd",-7 million usd,418000000.0
378 million usd,"1,540 million usd",-7000000.0
199 million usd,572 million usd,1540000000.0
369 million usd,214 million usd,572000000.0
214 million usd,369 million usd,214000000.0
572 million usd,199 million usd,369000000.0
"1,540 million usd",378 million usd,199000000.0
-7 million usd,"1,690 million usd",378000000.0
418 million usd,-755 million usd,1690000000.0
-755 million usd,"1,567 million usd",-755000000.0
466 million usd,615 million usd,1567000000.0
"2,275 million usd",486 million usd,615000000.0
256 million usd,687 million usd,486000000.0
667 million usd,269 million usd,687000000.0
269 million usd,667 million usd,269000000.0
687 million usd,256 million usd,667000000.0
486 million usd,"2,275 million usd",256000000.0
615 million usd,466 million usd,2275000000.0
"1,567 million usd",538 million usd,466000000.0
538 million usd,87 million usd,538000000.0
858 million usd,506 million usd,87000000.0
376 million usd,743 million usd,506000000.0
"1,597 million usd",-948 million usd,743000000.0
816 million usd,184 million usd,-948000000.0
184 million usd,816 million usd,184000000.0
-948 million usd,"1,597 million usd",816000000.0
743 million usd,376 million usd,1597000000.0
506 million usd,858 million usd,376000000.0
87 million usd,449 million usd,858000000.0
310 million usd,98 million usd,449000000.0
173 million usd,"-1,048 million usd",98000000.0
989 million usd,219 million usd,-1048000000.0
731 million usd,753 million usd,219000000.0
149 million usd,149 million usd,753000000.0
753 million usd,731 million usd,149000000.0
219 million usd,989 million usd,731000000.0
"-1,048 million usd",173 million usd,989000000.0
98 million usd,310 million usd,173000000.0
449 million usd,"1,473 million usd",310000000.0
664 million usd,"1,780 million usd",1473000000.0
"3,825 million usd",17 million usd,1780000000.0
"-1,743 million usd","-2,414 million usd",17000000.0
,135 million usd,-2414000000.0
211 million usd,211 million usd,135000000.0
135 million usd,,211000000.0
"-2,414 million usd","-1,743 million usd",
17 million usd,"3,825 million usd",-1743000000.0
"1,780 million usd",664 million usd,3825000000.0
"1,473 million usd",153 million usd,664000000.0
153 million usd,373 million usd,153000000.0
5 million usd,507 million usd,373000000.0
468 million usd,342 million usd,507000000.0
542 million usd,264 million usd,342000000.0
234 million usd,338 million usd,264000000.0
338 million usd,234 million usd,338000000.0
264 million usd,542 million usd,234000000.0
342 million usd,468 million usd,542000000.0
507 million usd,5 million usd,468000000.0
373 million usd,"5,172 million usd",5000000.0
"5,172 million usd",336 million usd,5172000000.0
-265 million usd,896 million usd,336000000.0
"1,167 million usd",217 million usd,896000000.0
"1,519 million usd",-125 million usd,217000000.0
359 million usd,"1,369 million usd",-125000000.0
"1,369 million usd",359 million usd,1369000000.0
-125 million usd,"1,519 million usd",359000000.0
217 million usd,"1,167 million usd",1519000000.0
896 million usd,-265 million usd,1167000000.0
336 million usd,906 million usd,-265000000.0
551 million usd,921 million usd,906000000.0
"1,467 million usd",798 million usd,921000000.0
688 million usd,95 million usd,798000000.0
-136 million usd,-81 million usd,95000000.0
735 million usd,735 million usd,-81000000.0
-81 million usd,-136 million usd,735000000.0
95 million usd,688 million usd,-136000000.0
798 million usd,"1,467 million usd",688000000.0
921 million usd,551 million usd,1467000000.0
906 million usd,553 million usd,551000000.0
553 million usd,238 million usd,553000000.0
"1,122 million usd",601 million usd,238000000.0
310 million usd,493 million usd,601000000.0
"1,552 million usd",267 million usd,493000000.0
132 million usd,132 million usd,267000000.0
-90 million usd,-90 million usd,132000000.0
493 million usd,"1,552 million usd",-90000000.0
267 million usd,310 million usd,1552000000.0
601 million usd,"1,122 million usd",310000000.0
238 million usd,822 million usd,1122000000.0
822 million usd,798 million usd,822000000.0
261 million usd,198 million usd,798000000.0
83 million usd,451 million usd,198000000.0
435 million usd,"-4,506 million usd",451000000.0
"1,034 million usd","1,108 million usd",-4506000000.0
"1,108 million usd","1,034 million usd",1108000000.0
"-4,506 million usd",435 million usd,1034000000.0
451 million usd,83 million usd,435000000.0
198 million usd,261 million usd,83000000.0
798 million usd,"2,261 million usd",261000000.0
"2,261 million usd",287 million usd,2261000000.0
-406 million usd,738 million usd,287000000.0
785 million usd,101 million usd,738000000.0
767 million usd,958 million usd,101000000.0
77 million usd,868 million usd,958000000.0
868 million usd,77 million usd,868000000.0
958 million usd,767 million usd,77000000.0
101 million usd,785 million usd,767000000.0
738 million usd,-406 million usd,785000000.0
287 million usd,78 million usd,-406000000.0
78 million usd,-81 million usd,78000000.0
117 million usd,-53 million usd,-81000000.0
"-1,096 million usd","1,162 million usd",-53000000.0
83 million usd,108 million usd,1162000000.0
306 million usd,93 million usd,108000000.0
93 million usd,306 million usd,93000000.0
108 million usd,83 million usd,306000000.0
"1,162 million usd","-1,096 million usd",83000000.0
-53 million usd,117 million usd,-1096000000.0
-81 million usd,897 million usd,117000000.0
897 million usd,"1,060 million usd",897000000.0
"1,372 million usd",899 million usd,1060000000.0
335 million usd,238 million usd,899000000.0
894 million usd,535 million usd,238000000.0
102 million usd,403 million usd,535000000.0
403 million usd,102 million usd,403000000.0
535 million usd,894 million usd,102000000.0
238 million usd,335 million usd,894000000.0
899 million usd,"1,372 million usd",335000000.0
"1,060 million usd",253 million usd,1372000000.0
253 million usd,62 million usd,253000000.0
229 million usd,789 million usd,62000000.0
"1,263 million usd",995 million usd,789000000.0
468 million usd,-574 million usd,995000000.0
702 million usd,118 million usd,-574000000.0
118 million usd,702 million usd,118000000.0
-574 million usd,468 million usd,702000000.0
995 million usd,"1,263 million usd",468000000.0
789 million usd,229 million usd,1263000000.0
62 million usd,488 million usd,229000000.0
488 million usd,475 million usd,488000000.0
-142 million usd,252 million usd,475000000.0
"1,242 million usd","1,584 million usd",252000000.0
-405 million usd,525 million usd,1584000000.0
133 million usd,-296 million usd,525000000.0
-296 million usd,133 million usd,-296000000.0
525 million usd,-405 million usd,133000000.0
"1,584 million usd","1,242 million usd",-405000000.0
252 million usd,426 million usd,1242000000.0
475 million usd,"1,232 million usd",-142000000.0
426 million usd,775 million usd,426000000.0
204 million usd,252 million usd,1232000000.0
171 million usd,64 million usd,775000000.0
280 million usd,"1,171 million usd",252000000.0
227 million usd,227 million usd,64000000.0
"1,171 million usd",280 million usd,1171000000.0
64 million usd,171 million usd,227000000.0
252 million usd,204 million usd,280000000.0
775 million usd,-45 million usd,171000000.0
"1,232 million usd",190 million usd,204000000.0
-45 million usd,-66 million usd,-45000000.0
,638 million usd,190000000.0
"-2,520 million usd",,-66000000.0
-845 million usd,,638000000.0
,,
,-845 million usd,
,"-2,520 million usd",
638 million usd,,-845000000.0
-66 million usd,,-2520000000.0
190 million usd,,
,512 million usd,
247 million usd,102 million usd,
110 million usd,254 million usd,512000000.0
466 million usd,546 million usd,102000000.0
249 million usd,249 million usd,254000000.0
546 million usd,466 million usd,546000000.0
254 million usd,110 million usd,249000000.0
102 million usd,247 million usd,466000000.0
512 million usd,189 million usd,110000000.0
,129 million usd,247000000.0
189 million usd,4 million usd,189000000.0
119 million usd,240 million usd,129000000.0
-252 million usd,,4000000.0
159 million usd,"-1,669 million usd",240000000.0
139 million usd,139 million usd,
"-1,669 million usd",159 million usd,-1669000000.0
,119 million usd,139000000.0
240 million usd,-252 million usd,159000000.0
4 million usd,"1,084 million usd",119000000.0
129 million usd,160 million usd,-252000000.0
"1,084 million usd",232 million usd,1084000000.0
797 million usd,176 million usd,160000000.0
644 million usd,252 million usd,232000000.0
93 million usd,360 million usd,176000000.0
422 million usd,422 million usd,252000000.0
360 million usd,93 million usd,360000000.0
252 million usd,644 million usd,422000000.0
176 million usd,797 million usd,93000000.0
232 million usd,604 million usd,644000000.0
160 million usd,153 million usd,797000000.0
604 million usd,692 million usd,604000000.0
"-1,019 million usd",149 million usd,153000000.0
278 million usd,325 million usd,692000000.0
600 million usd,"1,048 million usd",149000000.0
49 million usd,49 million usd,325000000.0
"1,048 million usd",600 million usd,1048000000.0
325 million usd,278 million usd,49000000.0
149 million usd,"-1,019 million usd",600000000.0
692 million usd,49 million usd,278000000.0
153 million usd,499 million usd,-1019000000.0
49 million usd,-143 million usd,49000000.0
152 million usd,435 million usd,499000000.0
614 million usd,316 million usd,-143000000.0
109 million usd,408 million usd,435000000.0
624 million usd,624 million usd,316000000.0
408 million usd,109 million usd,408000000.0
316 million usd,614 million usd,624000000.0
435 million usd,152 million usd,109000000.0
-143 million usd,418 million usd,614000000.0
499 million usd,"-1,155 million usd",152000000.0
418 million usd,"1,301 million usd",418000000.0
829 million usd,405 million usd,-1155000000.0
174 million usd,213 million usd,1301000000.0
"1,118 million usd",316 million usd,405000000.0
348 million usd,348 million usd,213000000.0
316 million usd,"1,118 million usd",316000000.0
213 million usd,174 million usd,348000000.0
405 million usd,829 million usd,1118000000.0
"1,301 million usd","1,296 million usd",174000000.0
"-1,155 million usd",876 million usd,829000000.0
"1,296 million usd",343 million usd,1296000000.0
927 million usd,726 million usd,876000000.0
413 million usd,287 million usd,343000000.0
529 million usd,102 million usd,726000000.0
157 million usd,157 million usd,287000000.0
102 million usd,529 million usd,102000000.0
287 million usd,413 million usd,157000000.0
726 million usd,927 million usd,529000000.0
343 million usd,"1,241 million usd",413000000.0
876 million usd,626 million usd,927000000.0
"1,241 million usd",231 million usd,1241000000.0
158 million usd,-71 million usd,626000000.0
160 million usd,"1,202 million usd",231000000.0
405 million usd,"1,607 million usd",-71000000.0
464 million usd,464 million usd,1202000000.0
"1,607 million usd",405 million usd,1607000000.0
"1,202 million usd",160 million usd,464000000.0
-71 million usd,158 million usd,405000000.0
231 million usd,-846 million usd,160000000.0
626 million usd,860 million usd,158000000.0
104 million usd,"1,082 million usd",-846000000.0
718 million usd,646 million usd,860000000.0
-163 million usd,"1,534 million usd",1082000000.0
204 million usd,290 million usd,646000000.0
290 million usd,204 million usd,1534000000.0
"1,534 million usd",-163 million usd,290000000.0
646 million usd,718 million usd,204000000.0
"1,082 million usd",104 million usd,-163000000.0
860 million usd,599 million usd,718000000.0
-846 million usd,-347 million usd,104000000.0
470 million usd,294 million usd,599000000.0
174 million usd,-99 million usd,-347000000.0
15 million usd,247 million usd,294000000.0
946 million usd,447 million usd,-99000000.0
447 million usd,946 million usd,247000000.0
247 million usd,15 million usd,447000000.0
-99 million usd,174 million usd,946000000.0
294 million usd,470 million usd,15000000.0
-347 million usd,355 million usd,174000000.0
599 million usd,"1,187 million usd",470000000.0
355 million usd,16 million usd,355000000.0
231 million usd,"3,298 million usd",1187000000.0
"2,928 million usd",-124 million usd,16000000.0
272 million usd,135 million usd,3298000000.0
"1,068 million usd","1,068 million usd",-124000000.0
135 million usd,272 million usd,135000000.0
"3,298 million usd","2,928 million usd",1068000000.0
-124 million usd,231 million usd,272000000.0
16 million usd,628 million usd,2928000000.0
"1,187 million usd",-30 million usd,231000000.0
628 million usd,-329 million usd,628000000.0
497 million usd,783 million usd,-30000000.0
232 million usd,-117 million usd,-329000000.0
620 million usd,276 million usd,783000000.0
"1,882 million usd","1,882 million usd",-117000000.0
276 million usd,620 million usd,276000000.0
-117 million usd,232 million usd,1882000000.0
783 million usd,497 million usd,620000000.0
-329 million usd,244 million usd,232000000.0
-30 million usd,"2,773 million usd",497000000.0
244 million usd,"1,025 million usd",244000000.0
953 million usd,752 million usd,2773000000.0
382 million usd,25 million usd,1025000000.0
421 million usd,613 million usd,752000000.0
61 million usd,61 million usd,25000000.0
613 million usd,421 million usd,613000000.0
25 million usd,382 million usd,61000000.0
752 million usd,953 million usd,421000000.0
"1,025 million usd",958 million usd,382000000.0
"2,773 million usd","1,351 million usd",953000000.0
958 million usd,503 million usd,958000000.0
,336 million usd,1351000000.0
328 million usd,143 million usd,503000000.0
444 million usd,560 million usd,336000000.0
278 million usd,278 million usd,143000000.0
560 million usd,444 million usd,560000000.0
143 million usd,328 million usd,278000000.0
336 million usd,,444000000.0
503 million usd,"1,067 million usd",328000000.0
"1,351 million usd",70 million usd,
"1,067 million usd",-5 million usd,1067000000.0
"4,690 million usd",,70000000.0
427 million usd,313 million usd,-5000000.0
103 million usd,100 million usd,
244 million usd,244 million usd,313000000.0
100 million usd,103 million usd,100000000.0
313 million usd,427 million usd,244000000.0
,"4,690 million usd",103000000.0
-5 million usd,512 million usd,427000000.0
70 million usd,120 million usd,4690000000.0
512 million usd,334 million usd,512000000.0
,179 million usd,120000000.0
"-1,296 million usd",393 million usd,334000000.0
-63 million usd,,179000000.0
"4,630 million usd","4,630 million usd",393000000.0
,-63 million usd,
393 million usd,"-1,296 million usd",4630000000.0
179 million usd,,-63000000.0
334 million usd,6 million usd,-1296000000.0
120 million usd,135 million usd,
6 million usd,439 million usd,6000000.0
573 million usd,449 million usd,135000000.0
