07-silvestri-employees_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,03-gren-employees_number
"6,735","43,000","7,800",7800.0
784,"86,700","11,500",11500.0
"4,362","40,143","16,218",16218.0
"19,853","281,192","37,506",37506.0
"17,883","2,800","2,800",2800.0
"5,500","37,506","281,192",281192.0
"17,650","16,218","40,143",40143.0
"350,000","11,500","86,700",86700.0
"6,250","7,800","43,000",43000.0
"11,445","2,980","3,900",3900.0
"26,000","9,709","9,276",9276.0
,,"57,000",57000.0
,"101,000","380,714",380714.0
"23,527","45,282","14,100",14100.0
"43,800","14,100","45,282",45282.0
"3,300","380,714","101,000",101000.0
"2,014","57,000",,
"11,684","9,276","9,709",9709.0
"69,619","3,900","2,980",2980.0
"5,000","15,500","24,848",24848.0
"10,000","4,553","31,518",31518.0
"3,700","62,285",,
"15,000","45,000","158,000",158000.0
"24,043","5,300","5,451",5451.0
"22,236","5,451","5,300",5300.0
"4,477","158,000","45,000",45000.0
"1,742",,"62,285",62285.0
"42,602","31,518","4,553",4553.0
"10,313","24,848","15,500",15500.0
"2,384","6,574","6,574",6574.0
"5,610","24,158","99,538",99538.0
"11,785","57,727","76,800",76800.0
,"63,174","3,228",3228.0
"32,475","105,615","120,000",120000.0
"11,000","231,671","231,671",231671.0
"3,049","120,000","105,615",105615.0
,"3,228","63,174",63174.0
"179,565","76,800","57,727",57727.0
"1,832","99,538","24,158",24158.0
"46,724","601,276","601,276",601276.0
"22,322","23,683","41,000",41000.0
"11,265","38,600","7,664",7664.0
"11,000","56,000","3,300",3300.0
"2,216","211,000","27,500",27500.0
"23,668","121,925","121,925",121925.0
,"27,500","211,000",211000.0
"2,051","3,300","56,000",56000.0
"7,000","7,664","38,600",38600.0
,"41,000","23,683",23683.0
"19,794","28,000","10,473",10473.0
"5,441","37,245","89,000",89000.0
"64,734","1,941","31,495",31495.0
"10,818","9,700","137,284",137284.0
"52,347","49,100","17,917",17917.0
"5,500","17,917","49,100",49100.0
"1,225","137,284","9,700",9700.0
"5,423","31,495","1,941",1941.0
"4,081","89,000","37,245",37245.0
"31,517","10,473","28,000",28000.0
"10,045","34,000","6,269",6269.0
,"15,392","7,130",7130.0
"17,887","16,361","87,828",87828.0
"3,700","75,184","24,431",24431.0
77,"211,374","61,576",61576.0
"3,495","61,576","211,374",211374.0
"1,400","24,431","75,184",75184.0
"6,655","87,828","16,361",16361.0
"38,967","7,130","15,392",15392.0
883,"6,269","34,000",34000.0
504,"8,034","8,034",8034.0
,"28,051","71,000",71000.0
,"13,777","36,600",36600.0
"1,400",,"16,000",16000.0
"9,000","4,092","33,305",33305.0
,"9,800","9,800",9800.0
"55,621","33,305","4,092",4092.0
"4,530","16,000",,
"19,200","36,600","13,777",13777.0
"5,354","71,000","28,051",28051.0
"6,800","1,932","18,687",18687.0
"28,000","18,400","86,800",86800.0
"72,500","11,380","18,703",18703.0
,"1,600","92,000",92000.0
"78,000","79,000","90,000",90000.0
"14,500","90,000","79,000",79000.0
,"92,000","1,600",1600.0
,"18,703","11,380",11380.0
"12,757","86,800","18,400",18400.0
,"18,687","1,932",1932.0
"9,892","45,000","45,000",45000.0
"18,110","14,400",710,1160.0
,"52,100","4,891",4891.0
"7,500","83,000","82,997",82997.0
"2,024","122,000","7,283",7283.0
"138,353","402,000","402,000",402000.0
"20,173","7,283","122,000",122000.0
"18,232","82,997","83,000",83000.0
40,"4,891","52,100",52100.0
"61,000","1,160","14,400",14400.0
,"210,966",282,282.0
909,"75,901","75,901",75901.0
"260,000",282,"210,966",210966.0
"5,752","15,000","6,429",6429.0
,"277,000","95,500",95500.0
"24,608","2,730","10,350",10350.0
,"7,763","7,763",7763.0
,"10,350","2,730",2730.0
"1,610","95,500","277,000",277000.0
,"6,429","15,000",15000.0
,"7,802","50,319",50319.0
"6,114","9,500","73,037",73037.0
650,"25,000","9,300",9300.0
,"7,600","16,842",16842.0
"1,892","83,636","9,300",9300.0
"111,900","9,300","83,636",83636.0
,"16,842","7,600",7600.0
"35,455","9,300","25,000",25000.0
"34,000","73,037","9,500",9500.0
"16,291","50,319","7,802",7802.0
"16,264","48,254","330,600",330600.0
"18,307","19,500","128,146",128146.0
"1,803","50,000","151,000",151000.0
"6,029","4,303","36,000",36000.0
"13,351","7,000","3,030",3030.0
"11,487","3,030","7,000",7000.0
,"36,000","4,303",4303.0
"3,600","151,000","50,000",50000.0
"30,264","128,146","19,500",19500.0
,"330,600","48,254",48254.0
,"16,688","8,600",8600.0
"8,500","8,600","16,688",16688.0
"1,620","72,500","10,164",10164.0
"32,000","3,200","97,660",97660.0
,"58,000","8,619",8619.0
,"18,000","37,000",37000.0
"5,510","37,000","18,000",18000.0
"12,773","8,619","58,000",58000.0
,"97,660","3,200",3200.0
,"10,164","72,500",72500.0
"33,681","17,700","403,000",403000.0
"130,716","35,700","158,000",158000.0
"11,700","60,000","12,561",12561.0
"5,182","17,000","4,537",4537.0
"9,211","7,529","61,531",61531.0
,"61,531","7,529",7529.0
,"4,537","17,000",17000.0
"1,702","12,561","60,000",60000.0
"6,624","158,000","35,700",35700.0
"10,000","403,000","17,700",17700.0
,,"5,544",5544.0
628,"39,642","25,000",25000.0
530,"21,456","26,852",26852.0
"39,000","99,299","40,916",40916.0
,"3,394","464,000",464000.0
"14,542","464,000","3,394",3394.0
"5,700","40,916","99,299",99299.0
,"26,852","21,456",21456.0
"6,525","25,000","39,642",39642.0
,"5,544",,
"7,044","35,000","22,540",22540.0
"110,300","18,700","47,000",47000.0
"22,209","17,800","28,000",28000.0
"5,961","6,617","47,000",47000.0
"29,300","105,000","6,567",6567.0
,"6,567","105,000",105000.0
"7,418","47,000","6,617",6617.0
,"28,000","17,800",17800.0
"8,500","47,000","18,700",18700.0
"300,000","22,540","35,000",35000.0
"3,030","100,000","142,000",142000.0
"2,321","110,432","131,000",131000.0
"3,202","54,640","4,076",4076.0
"7,000","191,752","12,874",12874.0
"10,000","51,000","10,622",10622.0
"16,094","10,622","51,000",51000.0
"1,100","12,874","191,752",191752.0
"31,575","4,076","54,640",54640.0
"31,600","131,000","110,432",110432.0
"9,638","142,000","100,000",100000.0
"2,000","7,867","10,800",10800.0
,"1,567","2,153",2153.0
,"478,070","35,000",35000.0
"6,029","12,447","58,000",58000.0
"2,709","8,256","40,000",40000.0
"103,598","40,000","8,256",8256.0
"65,000","58,000","12,447",12447.0
"18,444","35,000","478,070",478070.0
"5,500","2,153","1,567",1567.0
"339,716","10,800","7,867",7867.0
"9,520","20,532","79,200",79200.0
"3,300","3,238","71,504",71504.0
783,"17,337","41,101",41101.0
500,"50,479","30,800",30800.0
,"16,033","101,911",101911.0
"177,047","101,911","16,033",16033.0
"28,000","30,800","50,479",50479.0
,"41,101","17,337",17337.0
,"71,504","3,238",3238.0
"58,415","79,200","20,532",20532.0
"1,023","36,000","1,519",1519.0
"49,000","23,655",371,371.0
,"2,993","18,990",18990.0
"48,000","27,500","59,052",59052.0
"9,059","58,200","3,676",3676.0
"22,000","3,676","58,200",58200.0
"104,739","59,052","27,500",27500.0
"8,578","18,990","2,993",2993.0
,371,"23,655",23655.0
"10,500","1,519","36,000",36000.0
"1,896","3,837","23,100",23100.0
"4,353","41,000","140,565",140565.0
482,"44,509","30,538",30538.0
270,"138,808","37,000",37000.0
,"4,825","10,529",10529.0
"1,753","10,529","4,825",4825.0
"2,050","37,000","138,808",138808.0
,"30,538","44,509",44509.0
"11,687","140,565","41,000",41000.0
"24,000","23,100","3,837",3837.0
"22,514","23,663","96,500",96500.0
,"34,352","15,026",15026.0
"3,934","78,249","289,501",289501.0
,"167,552","12,591",12591.0
"37,926","111,247","9,016",9016.0
"14,000","9,016","111,247",111247.0
,"12,591","167,552",167552.0
,"289,501","78,249",78249.0
,"15,026","34,352",34352.0
,"96,500","23,663",23663.0
"8,800","204,815",464,464.0
"11,423","1,596","76,000",76000.0
"6,273","26,969","33,300",33300.0
,37,"24,500",24500.0
"1,618","1,967","33,916",33916.0
"13,500","33,916","1,967",1967.0
"32,000","24,500",37,37.0
"62,000","33,300","26,969",26969.0
"3,500","76,000","1,596",1596.0
"10,776",464,"204,815",204815.0
,"88,846","14,915",14915.0
,"11,321","59,900",59900.0
,"11,000",,
"9,000",,"101,322",101322.0
767,"41,000","41,000",41000.0
,"101,322",,
361,,"11,000",11000.0
,"59,900","11,321",11321.0
,"14,915","88,846",88846.0
"26,932","23,127","23,127",23127.0
"1,400","19,386","39,000",39000.0
296,"61,380","24,315",24315.0
,"803,126","10,000",10000.0
"1,530","196,159","93,700",93700.0
"18,153","20,477","34,523",34523.0
,"34,523","20,477",20477.0
"87,700","93,700","196,159",196159.0
"2,945","10,000","803,126",803126.0
,"24,315","61,380",61380.0
"12,978","39,000","19,386",19386.0
"3,000","13,300","36,860",36860.0
"48,330","3,400","9,200",9200.0
"14,866","2,837","3,153",3153.0
500,"28,546","6,295",6295.0
"18,045","171,000","245,472",245472.0
"3,147","245,472","171,000",171000.0
,"6,295","28,546",28546.0
,"3,153","2,837",2837.0
,"9,200","3,400",3400.0
,"36,860","13,300",13300.0
"10,234","12,000","70,000",70000.0
"3,337","90,836","54,700",54700.0
,"58,300","36,500",36500.0
751,"45,268","20,500",20500.0
"2,631","52,600","14,000",14000.0
,"14,000","52,600",52600.0
,"20,500","45,268",45268.0
,"36,500","58,300",58300.0
"16,400","54,700","90,836",90836.0
"5,600","70,000","12,000",12000.0
"46,644","11,107","87,927",87927.0
"4,353","27,015","4,506",4506.0
,"5,245","2,540",2540.0
"8,450","37,125","17,800",17800.0
"3,978","21,000","465,000",465000.0
"1,595","465,000","21,000",21000.0
"11,500","17,800","37,125",37125.0
,"2,540","5,245",5245.0
,"4,506","27,015",27015.0
"2,889","87,927","11,107",11107.0
"15,352","12,568","105,000",105000.0
"22,245","7,970","232,000",232000.0
"2,155","89,575","24,346",24346.0
"10,692","3,090","39,500",39500.0
,"20,507","78,126",78126.0
"19,962","78,126","20,507",20507.0
,"39,500","3,090",3090.0
,"24,346","89,575",89575.0
"7,428","232,000","7,970",7970.0
"8,607","105,000","12,568",12568.0
,"4,783","30,263",30263.0
"1,800","69,801","51,426",51426.0
450,"9,610","2,440",2440.0
"10,762","2,877","14,300",14300.0
,"39,000","47,486",47486.0
"9,400","47,486","39,000",39000.0
"1,503","14,300","2,877",2877.0
,"2,440","9,610",9610.0
,"51,426","69,801",69801.0
"28,400","30,263","4,783",4783.0
410,"19,112","18,933",18933.0
"43,310",559,"11,788",11788.0
,"59,900","12,684",12684.0
,"13,977","34,209",34209.0
"4,800","2,400",596,596.0
"1,111",596,"2,400",2400.0
,"34,209","13,977",13977.0
,"12,684","59,900",59900.0
"18,019","11,788",559,559.0
218,"18,933","19,112",19112.0
,"9,367","9,367",9367.0
,"24,586","48,000",48000.0
,"137,000","81,592",81592.0
,"38,087","72,644",72644.0
,"1,600","2,733",2733.0
200,"9,964","9,964",9964.0
"2,094","2,733","1,600",1600.0
"2,300","72,644","38,087",38087.0
"355,000","81,592","137,000",137000.0
"8,668","48,000","24,586",24586.0
"2,200","32,218","18,500",18500.0
"7,385","12,700","10,875",10875.0
"5,806","28,445","24,589",24589.0
"72,644","28,800","36,000",36000.0
,"1,000","10,400",10400.0
"3,862","10,400","1,000",1000.0
"110,000","36,000","28,800",28800.0
"2,300","24,589","28,445",28445.0
"22,000","10,875","12,700",12700.0
,"18,500","32,218",32218.0
"30,000","19,200","215,000",215000.0
,"215,000","19,200",19200.0
"3,163","67,409","28,500",28500.0
,"2,571","61,200",61200.0
,"21,869","8,600",8600.0
,"45,174","5,814",5814.0
,"5,814","45,174",45174.0
"1,492","8,600","21,869",21869.0
,"61,200","2,571",2571.0
,"28,500","67,409",67409.0
,"59,258",450,450.0
"17,300","4,700","153,000",153000.0
,"15,000","129,071",129071.0
,"90,800","15,945",15945.0
792,"8,211","19,000",19000.0
"1,449","19,000","8,211",8211.0
"2,127","15,945","90,800",90800.0
,"129,071","15,000",15000.0
,"153,000","4,700",4700.0
"3,500",450,"59,258",59258.0
,916,"5,836",5836.0
,"7,340","167,743",167743.0
"30,000","6,400","7,500",7500.0
,"58,824","199,327",199327.0
491,"5,100",,
"3,800",,"5,100",5100.0
"1,300","199,327","58,824",58824.0
"2,159","7,500","6,400",6400.0
396,"167,743","7,340",7340.0
"77,000","5,836",916,916.0
"18,600","117,500","69,000",69000.0
,"10,540",,
"7,400","6,200","152,050",152050.0
,"26,316","24,374",24374.0
,"10,753","245,472",245472.0
"13,000","245,472","10,753",10753.0
"8,500","24,374","26,316",26316.0
,"152,050","6,200",6200.0
,,"10,540",10540.0
"1,500","69,000","117,500",117500.0
,"6,938","36,726",36726.0
,"65,017","13,500",13500.0
,"4,181","11,678",11678.0
"2,436","9,227","138,036",138036.0
,"71,300","135,304",135304.0
,"135,304","71,300",71300.0
"9,500","138,036","9,227",9227.0
"4,000","11,678","4,181",4181.0
"5,688","13,500","65,017",65017.0
,"36,726","6,938",6938.0
,"1,594","7,235",7235.0
,"367,321","5,030",5030.0
"4,193","73,275","15,500",15500.0
,"9,372","7,238",7238.0
,"56,811","14,071",14071.0
,"14,071","56,811",56811.0
"45,500","7,238","9,372",9372.0
"8,500","15,500","73,275",73275.0
"5,239","5,030","367,321",367321.0
,"7,235","1,594",1594.0
,"13,189",,
,,"78,300",78300.0
"25,767","23,635","7,127",7127.0
,"15,883",,
"19,000","18,700","1,340",1340.0
,"1,340","18,700",18700.0
"9,938",,"15,883",15883.0
,"7,127","23,635",23635.0
,"78,300",,
,,"13,189",13189.0
,"13,840","57,848",57848.0
"1,901","52,488","84,512",84512.0
"3,400","22,000","13,962",13962.0
,"26,438","12,558",12558.0
,"24,300","198,951",198951.0
"23,458","198,951","24,300",24300.0
255,"12,558","26,438",26438.0
,"13,962","22,000",22000.0
"1,456","84,512","52,488",52488.0
"49,882","57,848","13,840",13840.0
"1,030","2,972","2,096",2096.0
,"2,539","44,700",44700.0
,"24,272","9,000",9000.0
973,"11,908","10,065",10065.0
,"46,600","19,062",19062.0
,"19,062","46,600",46600.0
,"10,065","11,908",11908.0
361,"9,000","24,272",24272.0
"7,587","44,700","2,539",2539.0
,"2,096","2,972",2972.0
"12,000","29,378","19,169",19169.0
,"31,653","320,618",320618.0
,"26,000","40,000",40000.0
"28,000","142,150","4,742",4742.0
,"24,500","9,800",9800.0
,"9,800","24,500",24500.0
,"4,742","142,150",142150.0
"10,021","40,000","26,000",26000.0
,"320,618","31,653",31653.0
"45,000","19,169","29,378",29378.0
"97,639","146,518","66,674",66674.0
700,"33,300","5,054",5054.0
,"2,847","22,892",22892.0
"13,832","139,677","93,300",93300.0
969,"9,813","4,013",4013.0
"11,836","4,013","9,813",9813.0
,"93,300","139,677",139677.0
167,"22,892","2,847",2847.0
"1,162","5,054","33,300",33300.0
820,"66,674","146,518",146518.0
"4,407","11,216","42,000",42000.0
626,"26,000","2,545",2545.0
"1,354","15,000","2,413",2413.0
,"1,550","87,346",87346.0
"31,000","11,912","6,000",6000.0
,"6,000","11,912",11912.0
"3,500","87,346","1,550",1550.0
"4,081","2,413","15,000",15000.0
,"2,545","26,000",26000.0
,"42,000","11,216",11216.0
"2,245","43,293","5,500",5500.0
,"7,082","75,000",75000.0
,,"26,000",26000.0
75,"85,700","209,000",209000.0
,"14,800","19,285",19285.0
"1,049","19,285","14,800",14800.0
"7,484","209,000","85,700",85700.0
"8,000","26,000",,
800,"75,000","7,082",7082.0
"25,000","5,500","43,293",43293.0
630,"25,000","200,000",200000.0
"1,900","9,900","46,316",46316.0
,"37,769","20,000",20000.0
"4,900","14,802",,
,"26,400","311,269",311269.0
"1,983","311,269","26,400",26400.0
,,"14,802",14802.0
"40,141","20,000","37,769",37769.0
"12,160","46,316","9,900",9900.0
,"200,000","25,000",25000.0
"3,593","5,800",,
"6,519","8,700","5,630",5630.0
,"20,000","84,000",84000.0
"4,993","1,900","9,372",9372.0
"1,699","1,545","55,100",55100.0
900,"55,100","1,545",1545.0
