07-silvestri-employees_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,03-gren-employees_number
"150,000","154,000","154,000",154000.0
"276,000","65,152","220,000",220000.0
"100,920","18,975","79,800",79800.0
"28,000","372,000","156,500",156500.0
"23,874","77,805","1,335,000",1335000.0
"85,392","99,290","99,290",99290.0
"699,000","1,335,000","77,805",77805.0
"45,971","156,500","372,000",372000.0
"104,323","79,800","18,975",18975.0
"86,000","220,000","65,152",65152.0
"83,100","2,300,000","112,771",112771.0
"15,417","208,000","271,025",271025.0
"74,207","150,000","21,500",21500.0
"107,415","500,000","141,700",141700.0
"128,339","350,000","113,753",113753.0
"90,000","113,753","350,000",350000.0
"303,000","141,700","500,000",500000.0
"105,476","21,500","150,000",150000.0
"149,000","271,025","208,000",208000.0
"662,575","112,771","2,300,000",2300000.0
"223,448","101,000","101,000",101000.0
"95,442","190,000","29,031",29031.0
"28,025","64,000","276,000",276000.0
"49,000","28,000","24,000",24000.0
"99,000","78,500","100,920",100920.0
"164,000","251,462","251,462",251462.0
"473,800","100,920","78,500",78500.0
"166,025","24,000","28,000",28000.0
"125,888","276,000","64,000",64000.0
"150,269","29,031","190,000",190000.0
"58,408","25,988","366,283",366283.0
"38,553","35,000","80,300",80300.0
"144,116","73,300","79,500",79500.0
"60,000","85,392","20,000",20000.0
"226,291","434,798","23,874",23874.0
"190,000","23,874","434,798",434798.0
"21,245","20,000","85,392",85392.0
"55,000","79,500","73,300",73300.0
"288,481","80,300","35,000",35000.0
"151,017","366,283","25,988",25988.0
"31,000","132,000","42,595",42595.0
"32,424","699,000","309,000",309000.0
"34,760","288,000","113,000",113000.0
"67,000","50,000","12,135",12135.0
"285,555","130,000","750,000",750000.0
"52,000","750,000","130,000",130000.0
"66,438","12,135","50,000",50000.0
"571,974","113,000","288,000",288000.0
"40,000","309,000","699,000",699000.0
"20,054","42,595","132,000",132000.0
"105,000","45,971","45,971",45971.0
"315,000","68,000","189,000",189000.0
"1,750","78,000","118,400",118400.0
"96,595","121,100","56,606",56606.0
"45,000","253,871","236,330",236330.0
"19,789","30,900","30,900",30900.0
"134,878","236,330","253,871",253871.0
"120,726","56,606","121,100",121100.0
"16,821","118,400","78,000",78000.0
"110,302","189,000","68,000",68000.0
"80,000","349,671","45,000",45000.0
"52,930","68,097","104,323",104323.0
"85,947","203,000","90,867",90867.0
"71,551","534,000","200,000",200000.0
"189,512","613,974","33,078",33078.0
"4,556","33,078","606,331",606331.0
"43,000","200,000","534,000",534000.0
"191,189","90,867","203,000",203000.0
"95,850","104,323","68,097",68097.0
"217,731","45,000","349,671",349671.0
"18,500","32,000","86,000",86000.0
"90,000","83,100","83,100",83100.0
"50,288","86,000","32,000",32000.0
"101,000","80,000","15,417",15417.0
"31,000","32,124","74,207",74207.0
"33,500","31,000","9,700",9700.0
"16,218","220,000","220,000",220000.0
"57,000","9,700","31,000",31000.0
"14,100","74,207","32,124",32124.0
"2,980","15,417","80,000",80000.0
"24,848","99,000","107,415",107415.0
,"362,000","459,000",459000.0
"62,285","69,900","13,500",13500.0
"99,538","109,700","58,390",58390.0
"76,800","15,500","85,301",85301.0
"105,615","85,301","15,500",15500.0
"24,158","58,390","109,700",109700.0
"56,000","13,500","69,900",69900.0
"23,683","459,000","362,000",362000.0
"89,000","107,415","99,000",99000.0
"31,495","295,000","89,464",89464.0
"1,941","105,476","476,223",476223.0
"61,576","303,000","128,339",128339.0
"16,000","32,200","7,000",7000.0
"28,051","90,000","8,380",8380.0
"18,687","8,380","90,000",90000.0
"1,160","7,000","32,200",32200.0
,"128,339","303,000",303000.0
"83,000","476,223","105,476",105476.0
282,"89,464","295,000",295000.0
"75,901","149,000","149,000",149000.0
"6,429","223,448","75,000",75000.0
"73,037","27,000","306,322",306322.0
"16,842","662,575","16,500",16500.0
"151,000","64,000","500,000",500000.0
"48,254","174,000","174,000",174000.0
"37,000","500,000","64,000",64000.0
"39,642","16,500","662,575",662575.0
"105,000","306,322","27,000",27000.0
"6,617","75,000","223,448",223448.0
"17,800","383,000","43,900",43900.0
"10,622","95,442","26,348",26348.0
"110,432","141,014","223,400",223400.0
"478,070","62,000","454,332",454332.0
"79,200",,"24,200",24200.0
"101,911","24,200",,
"20,532","454,332","62,000",62000.0
"1,519","223,400","141,014",141014.0
"23,655","26,348","95,442",95442.0
"4,825","43,900","383,000",383000.0
"289,501","161,027","49,245",49245.0
"9,016","9,793","23,000",23000.0
"167,552","75,600","28,025",28025.0
"34,352","49,000","5,618",5618.0
"78,249","375,300","107,700",107700.0
"33,916","107,700","375,300",375300.0
"59,900","5,618","49,000",49000.0
"101,322","28,025","75,600",75600.0
"23,127","23,000","9,793",9793.0
"20,477","49,245","161,027",161027.0
"61,380","22,850","2,053",2053.0
"19,386","473,800","16,881",16881.0
"9,200","93,700","168,000",168000.0
"171,000","164,000","409,000",409000.0
"52,600","104,160","99,000",99000.0
"90,836","99,000","104,160",104160.0
"87,927","409,000","164,000",164000.0
"37,125","168,000","93,700",93700.0
"232,000","16,881","473,800",473800.0
"78,126","2,053","22,850",22850.0
"12,568","122,000","166,025",166025.0
"2,877","125,888","26,037",26037.0
"48,000","6,132","18,800",18800.0
"81,592","63,900","10,100",10100.0
"72,644","43,000","314,906",314906.0
"19,200","314,906","43,000",43000.0
,"10,100","63,900",63900.0
"67,409","18,800","6,132",6132.0
"153,000","26,037","125,888",125888.0
"19,000","166,025","122,000",122000.0
"167,743","56,000","60,000",60000.0
"7,340","38,553","33,800",33800.0
916,"27,558","95,000",95000.0
"152,050","303,350","150,269",150269.0
"10,540","58,408","345,218",345218.0
"117,500","346,845","58,408",58408.0
"36,726","150,269","303,350",303350.0
"13,500","95,000","27,558",27558.0
"15,500","33,800","38,553",38553.0
"7,238","60,000","56,000",56000.0
"367,321","19,400","19,400",19400.0
"18,700","400,000","12,100",12100.0
"13,189","13,716","43,000",43000.0
"84,512","25,000","114,000",114000.0
"13,840","60,000","144,116",144116.0
"19,062","183,000","183,000",183000.0
"46,600","144,116","60,000",60000.0
"11,908","114,000","25,000",25000.0
"19,169","43,000","13,716",13716.0
"142,150","12,100","400,000",400000.0
"29,378","300,000","59,426",59426.0
"66,674","90,640","32,721",32721.0
"5,054","6,000","14,100",14100.0
"9,813","2,495","79,000",79000.0
"26,000","226,291","224,300",224300.0
"311,269","224,300","226,291",226291.0
"14,802","79,000","2,495",2495.0
"84,000","14,100","6,000",6000.0
"19,498","32,721","90,640",90640.0
"33,200","59,426","300,000",300000.0
"15,016","14,400","190,000",190000.0
"19,933","288,481","68,796",68796.0
"383,233","55,000","157,000",157000.0
"2,653","21,245","155,000",155000.0
"171,450","152,000","49,370",49370.0
"114,042","49,370","152,000",152000.0
"15,500","155,000","21,245",21245.0
"13,876","157,000","55,000",55000.0
"8,771","68,796","288,481",288481.0
"40,010","190,000","14,400",14400.0
"48,770","1,800","151,017",151017.0
"22,000","52,641","320,000",320000.0
"94,000","22,604","24,700",24700.0
"15,900","14,479","89,488",89488.0
,"89,488","14,479",14479.0
"36,597","24,700","22,604",22604.0
"90,500","320,000","52,641",52641.0
"99,700","151,017","1,800",1800.0
781,"32,424","31,000",31000.0
"3,073","31,000","32,424",32424.0
"12,489","17,400","149,239",149239.0
,"3,795","61,626",61626.0
"13,000","20,919","295,371",295371.0
"9,591","285,555","34,760",34760.0
"23,293","5,000","67,000",67000.0
"20,465","67,000","5,000",5000.0
"14,508","34,760","285,555",285555.0
"17,373","295,371","20,919",20919.0
"46,000","61,626","3,795",3795.0
"37,960","149,239","17,400",17400.0
"1,395","114,000","81,000",81000.0
"31,700","13,334","232,000",232000.0
"22,000","27,605","11,200",11200.0
"128,000","29,300","58,786",58786.0
"236,386","4,370","52,000",52000.0
"20,000","52,000","4,370",4370.0
"18,000","58,786","29,300",29300.0
355,"11,200","27,605",27605.0
"18,515","232,000","13,334",13334.0
"6,527","81,000","114,000",114000.0
"64,016","20,054","66,438",66438.0
"55,000","384,065","194,527",194527.0
"1,566","40,000","4,077",4077.0
"30,300","235,000","132,700",132700.0
"17,512",,"571,974",571974.0
"1,996","571,974",,
"32,200","132,700","235,000",235000.0
"8,006","4,077","40,000",40000.0
"528,748","194,527","384,065",384065.0
"12,236","66,438","20,054",20054.0
"84,740","7,000","73,800",73800.0
"268,979","21,000","45,000",45000.0
"25,391","15,700","6,433",6433.0
"27,200","6,433","15,700",15700.0
"44,596","45,000","21,000",21000.0
"9,823","73,800","7,000",7000.0
"10,531","8,858","105,000",105000.0
"2,583","1,750","315,000",315000.0
"11,864","315,000","1,750",1750.0
"3,388","105,000","8,858",8858.0
"14,194","6,058","96,595",96595.0
"125,364","18,100","43,863",43863.0
"4,561","75,000","130,170",130170.0
"80,702","27,300","2,372",2372.0
"19,000","29,008","42,685",42685.0
"4,000","42,685","29,008",29008.0
"91,000","2,372","27,300",27300.0
"116,000","130,170","75,000",75000.0
"100,000","43,863","18,100",18100.0
327,"96,595","6,058",6058.0
"23,739","11,834","45,000",45000.0
"23,248","120,726","44,000",44000.0
"52,200","134,878","74,316",74316.0
"14,374","33,800","65,000",65000.0
"3,000","19,789","24,069",24069.0
"79,051","24,069","19,789",19789.0
"15,417","65,000","33,800",33800.0
"118,523","74,316","134,878",134878.0
"5,353","44,000","120,726",120726.0
"52,800","45,000","11,834",11834.0
"11,644","110,302","312,250",312250.0
"4,700","34,944","5,633",5633.0
"59,000","2,000","7,986",7986.0
376,"13,023","289,000",289000.0
"4,700","16,821","10,944",10944.0
"4,861","10,944","16,821",16821.0
"17,883","289,000","13,023",13023.0
"34,240","7,986","2,000",2000.0
"4,000","5,633","34,944",34944.0
"20,000","312,250","110,302",110302.0
336,"28,239","80,000",80000.0
"29,000","85,947","49,050",49050.0
"322,164",,"25,000",25000.0
"79,207","48,500","47,320",47320.0
,"52,930","32,873",32873.0
"17,121","32,873","52,930",52930.0
"20,700","47,320","48,500",48500.0
"17,500","25,000",,
"8,300","49,050","85,947",85947.0
"4,735","80,000","28,239",28239.0
"30,745","117,356","168,391",168391.0
"7,120","50,800","71,551",71551.0
"24,500","47,000","5,661",5661.0
"4,000","20,875","60,500",60500.0
"33,004","26,123","186,851",186851.0
"21,754","186,851","26,123",26123.0
"115,900","60,500","20,875",20875.0
"12,000","5,661","47,000",47000.0
"1,339","71,551","50,800",50800.0
85,"168,391","117,356",117356.0
"13,331","10,780","80,369",80369.0
"22,094","49,000","8,521",8521.0
"17,813","189,512","29,000",29000.0
"11,200","10,368",55,55.0
"61,053","17,100","76,182",76182.0
,"76,182","17,100",17100.0
"38,626",55,"10,368",10368.0
"6,606","29,000","189,512",189512.0
"60,000","8,521","49,000",49000.0
"123,458","80,369","10,780",10780.0
"46,000","50,000","17,377",17377.0
"23,693","3,226","11,550",11550.0
"50,000","5,800","88,000",88000.0
"78,395","9,819","4,556",4556.0
"86,195","12,500","239,000",239000.0
"51,397","239,000","12,500",12500.0
"42,800","4,556","9,819",9819.0
"39,602","88,000","5,800",5800.0
"25,491","11,550","3,226",3226.0
"51,209","17,377","50,000",50000.0
"17,237","17,000","43,000",43000.0
"129,000","41,000","26,969",26969.0
"75,000","18,500","24,700",24700.0
"9,000","217,731","191,189",191189.0
,"95,850","3,730",3730.0
"44,500","3,730","95,850",95850.0
15,"191,189","217,731",217731.0
"22,448","24,700","18,500",18500.0
"3,287","26,969","41,000",41000.0
"412,088","43,000","17,000",17000.0
"19,399","90,000","90,000",90000.0
,"33,427","50,288",50288.0
"6,265","33,500","101,000",101000.0
"2,243","245,642","47,313",47313.0
"16,818","31,000","103,100",103100.0
"12,783","2,700","2,700",2700.0
"10,102","103,100","31,000",31000.0
"26,000","47,313","245,642",245642.0
"82,600","101,000","33,500",33500.0
"4,253","50,288","33,427",33427.0
"34,680","17,209","17,209",17209.0
