08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
883 million usd,,"11,908 million usd","1,580 million usd",1580000000.0
"1,580 million usd",,"13,463 million usd",883 million usd,883000000.0
"11,908 million usd",,905 million usd,905 million usd,905000000.0
"2,953 million usd",,883 million usd,"13,463 million usd",13463000000.0
"13,463 million usd",,"1,580 million usd","11,908 million usd",11908000000.0
"2,907 million usd",,"2,907 million usd","5,299 million usd",5299000000.0
"1,012 million usd",,"12,453 million usd","1,179 million usd",1179000000.0
"3,873 million usd",,"1,396 million usd","1,037 million usd",1037000000.0
"1,037 million usd",,"18,835 million usd","1,012 million usd",1012000000.0
"1,179 million usd",,"3,873 million usd","17,525 million usd",17525000000.0
"12,453 million usd",,"17,525 million usd","3,873 million usd",3873000000.0
"5,299 million usd",,"1,012 million usd","18,835 million usd",18835000000.0
"18,835 million usd",,"1,037 million usd","1,396 million usd",1396000000.0
"17,525 million usd",,"1,179 million usd","12,453 million usd",12453000000.0
"1,396 million usd",,"5,299 million usd","2,907 million usd",2907000000.0
not found,,,"1,942 million usd",1942000000.0
"8,511 million usd",,"1,942 million usd",,
"144,776 million thb for year ending december-2020",,"8,511 million usd","2,029 million usd",2029000000.0
"3,493 million usd",,"29,882 million usd","3,493 million usd",3493000000.0
"29,882 million usd",,"4,810 million usd","12,425 million usd",12425000000.0
"11,447 million usd",,"11,447 million usd",,
"1,942 million usd",,,"11,447 million usd",11447000000.0
"12,425 million usd",,"12,425 million usd","4,810 million usd",4810000000.0
"2,029 million usd",,"3,493 million usd","29,882 million usd",29882000000.0
"4,810 million usd",,"2,029 million usd","8,511 million usd",8511000000.0
"9,850 million usd",,551 million usd,"1,909 million usd",1909000000.0
"3,792 million usd",,"26,508 million usd","4,571 million usd",4571000000.0
"79,696 million usd",,"12,601 million usd","12,601 million usd",12601000000.0
"26,508 million usd",,"4,571 million usd","26,508 million usd",26508000000.0
"4,571 million usd",,"1,909 million usd",551 million usd,551000000.0
"1,909 million usd",,"1,846 million usd","79,696 million usd",79696000000.0
"1,846 million usd",,"43,116 million usd","9,850 million usd",9850000000.0
"12,601 million usd",,"3,792 million usd","3,792 million usd",3792000000.0
"43,116 million usd",,"9,850 million usd","43,116 million usd",43116000000.0
551 million usd,,"79,696 million usd","1,846 million usd",1846000000.0
"1,620 million usd",,"1,822 million usd","1,822 million usd",1822000000.0
"18,408 million usd",,"4,285 million usd","18,408 million usd",18408000000.0
"1,801 million usd",,"1,801 million usd","21,994 million usd",21994000000.0
"3,647 million usd",,"3,647 million usd","18,746 million usd",18746000000.0
"4,285 million usd",,"1,620 million usd","3,823 million usd",3823000000.0
"4,251 million usd",,"4,251 million usd","4,251 million usd",4251000000.0
"3,823 million usd",,"3,823 million usd","1,620 million usd",1620000000.0
"18,746 million usd",,"18,746 million usd","3,647 million usd",3647000000.0
"21,994 million usd",,"21,994 million usd","1,801 million usd",1801000000.0
"1,822 million usd",,"18,408 million usd","4,285 million usd",4285000000.0
"4,631 million usd",,"7,557 million usd",681 million usd,681000000.0
"5,326 million usd",,"13,486 million usd","1,475 million usd",1475000000.0
"7,557 million usd",,"16,192 million usd","4,631 million usd",4631000000.0
"16,192 million usd",,"5,326 million usd","23,498 million usd",23498000000.0
"7,144 million usd",,"7,144 million usd","6,461 million usd",6461000000.0
"13,486 million usd",,"6,461 million usd","7,144 million usd",7144000000.0
"6,461 million usd",,"23,498 million usd","5,326 million usd",5326000000.0
681 million usd,,"4,631 million usd","16,192 million usd",16192000000.0
"23,498 million usd",,"1,475 million usd","13,486 million usd",13486000000.0
"1,475 million usd",,681 million usd,"7,557 million usd",7557000000.0
"1,610 million usd",,"4,725 million usd","4,725 million usd",4725000000.0
"1,316 million usd",,"1,610 million usd","1,930 million usd",1930000000.0
"2,726 million usd",,"1,316 million usd","1,793 million usd",1793000000.0
"4,725 million usd",,"1,745 million usd","3,433 million usd",3433000000.0
"1,793 million usd",,965 million usd,"3,661 million usd",3661000000.0
"3,661 million usd",,"2,726 million usd","2,726 million usd",2726000000.0
"3,433 million usd",,"3,661 million usd",965 million usd,965000000.0
965 million usd,,"3,433 million usd","1,745 million usd",1745000000.0
"1,930 million usd",,"1,793 million usd","1,316 million usd",1316000000.0
"1,745 million usd",,"1,930 million usd","1,610 million usd",1610000000.0
"2,153 million usd",,"4,674 million usd","4,674 million usd",4674000000.0
"15,154 million usd",,"15,154 million usd","2,373 million usd",2373000000.0
"3,217 million usd",,"1,338 million usd","6,453 million usd",6453000000.0
"2,373 million usd",,"18,374 million usd","2,153 million usd",2153000000.0
"6,707 million usd",,"6,707 million usd","11,200 million usd",11200000000.0
"6,453 million usd",,"3,217 million usd","3,217 million usd",3217000000.0
"11,200 million usd",,"11,200 million usd","6,707 million usd",6707000000.0
"18,374 million usd",,"2,153 million usd","18,374 million usd",18374000000.0
"1,338 million usd",,"6,453 million usd","1,338 million usd",1338000000.0
"4,674 million usd",,"2,373 million usd","15,154 million usd",15154000000.0
867 million usd,,"2,007 million usd","2,007 million usd",2007000000.0
"2,007 million usd",,"1,787 million usd","5,030 million usd",5030000000.0
"2,637 million usd",,"2,527 million usd",867 million usd,867000000.0
204 million usd,,536 million usd,35 million usd,35000000.0
"1,787 million usd",,204 million usd,"2,637 million usd",2637000000.0
"3,462 million usd",,"3,462 million usd","3,462 million usd",3462000000.0
"5,030 million usd",,"2,637 million usd",204 million usd,204000000.0
35 million usd,,35 million usd,536 million usd,536000000.0
536 million usd,,867 million usd,"2,527 million usd",2527000000.0
"2,527 million usd",,"5,030 million usd","1,787 million usd",1787000000.0
not found,,"42,957 million usd","42,957 million usd",42957000000.0
"42,957 million usd",,"2,079 million usd",,
686 million usd,,"4,601 million usd","4,381 million usd",4381000000.0
"11,628 million usd",,"11,628 million usd",686 million usd,686000000.0
"3,699 million usd",,"3,699 million usd","1,507 million usd",1507000000.0
"3,582 million usd",,"3,582 million usd","3,582 million usd",3582000000.0
"2,079 million usd",,"1,507 million usd","3,699 million usd",3699000000.0
"4,601 million usd",,686 million usd,"11,628 million usd",11628000000.0
"1,507 million usd",,"4,381 million usd","4,601 million usd",4601000000.0
"4,381 million usd",,,"2,079 million usd",2079000000.0
"8,363 million usd",,"6,357 million usd","6,357 million usd",6357000000.0
"20,444 million usd",,"20,444 million usd","6,604 million usd",6604000000.0
"36,278 million usd",,"3,575 million usd","1,081 million usd",1081000000.0
"6,548 million usd",,"6,548 million usd","8,363 million usd",8363000000.0
"3,575 million usd",,"8,931 million usd","3,490 million usd",3490000000.0
"8,931 million usd",,"36,278 million usd","36,278 million usd",36278000000.0
"6,357 million usd",,"3,490 million usd","8,931 million usd",8931000000.0
"6,604 million usd",,"8,363 million usd","6,548 million usd",6548000000.0
"3,490 million usd",,"1,081 million usd","3,575 million usd",3575000000.0
"1,081 million usd",,"6,604 million usd","20,444 million usd",20444000000.0
"8,582 million usd",,"12,152 million usd","12,152 million usd",12152000000.0
488 million usd,,"8,582 million usd",488 million usd,488000000.0
"12,152 million usd",,"1,393 million usd","6,280 million usd",6280000000.0
"1,393 million usd",,428 million usd,"14,838 million usd",14838000000.0
428 million usd,,"3,585 million usd","2,974 million usd",2974000000.0
"14,838 million usd",,"5,639 million usd","5,639 million usd",5639000000.0
"5,639 million usd",,"2,974 million usd","3,585 million usd",3585000000.0
"3,585 million usd",,"14,838 million usd",428 million usd,428000000.0
"2,974 million usd",,"6,280 million usd","1,393 million usd",1393000000.0
"6,280 million usd",,488 million usd,"8,582 million usd",8582000000.0
"6,228 million usd",,"4,187 million usd","4,187 million usd",4187000000.0
"4,187 million usd",,"4,482 million usd","47,778 million usd",47778000000.0
"1,205 million usd",,"3,093 million usd","1,205 million usd",1205000000.0
"43,258 million usd",,"43,258 million usd","6,228 million usd",6228000000.0
"1,216 million usd",,"1,216 million usd","1,865 million usd",1865000000.0
"3,093 million usd",,"10,045 million usd","10,045 million usd",10045000000.0
"4,482 million usd",,"1,865 million usd","1,216 million usd",1216000000.0
"10,045 million usd",,"6,228 million usd","43,258 million usd",43258000000.0
"47,778 million usd",,"1,205 million usd","3,093 million usd",3093000000.0
"1,865 million usd",,"47,778 million usd","4,482 million usd",4482000000.0
"80,027 million usd",,"80,027 million usd","80,027 million usd",80027000000.0
"9,762 million usd",,"1,078 million usd","3,764 million usd",3764000000.0
"1,078 million usd",,882 million usd,"1,732 million usd",1732000000.0
"2,251 million usd",,"2,416 million usd",631 million usd,631000000.0
631 million usd,,"9,762 million usd","2,251 million usd",2251000000.0
"1,732 million usd",,"1,145 million usd","1,145 million usd",1145000000.0
"1,145 million usd",,"2,251 million usd","9,762 million usd",9762000000.0
"3,764 million usd",,631 million usd,"2,416 million usd",2416000000.0
882 million usd,,"1,732 million usd",882 million usd,882000000.0
"2,416 million usd",,"3,764 million usd","1,078 million usd",1078000000.0
"3,142 million usd",,670 million usd,670 million usd,670000000.0
780 million usd,,"11,618 million usd","4,904 million usd",4904000000.0
"4,904 million usd",,780 million usd,,
452 million usd,,"3,142 million usd","7,713 million usd",7713000000.0
not found,,452 million usd,378 million usd,378000000.0
748 million usd,,748 million usd,748 million usd,748000000.0
670 million usd,,378 million usd,452 million usd,452000000.0
378 million usd,,"7,713 million usd","3,142 million usd",3142000000.0
"7,713 million usd",,,780 million usd,780000000.0
"11,618 million usd",,"4,904 million usd","11,618 million usd",11618000000.0
"2,988 million usd",,"20,070 million usd","20,070 million usd",20070000000.0
237 million usd,,237 million usd,852 million usd,852000000.0
"20,070 million usd",,"6,894 million usd","2,988 million usd",2988000000.0
"2,867 million usd",,"4,070 million usd","2,867 million usd",2867000000.0
"3,785 million usd",,"3,785 million usd",990 million usd,990000000.0
"5,394 million usd",,"5,394 million usd","5,394 million usd",5394000000.0
"6,894 million usd",,990 million usd,"3,785 million usd",3785000000.0
"4,070 million usd",,"2,867 million usd","4,070 million usd",4070000000.0
990 million usd,,"2,988 million usd","6,894 million usd",6894000000.0
852 million usd,,852 million usd,237 million usd,237000000.0
"3,964 million usd",,"3,964 million usd","3,964 million usd",3964000000.0
"2,417 million usd",,"7,747 million usd","3,620 million usd",3620000000.0
"7,336 million usd",,"1,312 million usd","6,153 million usd",6153000000.0
"3,399 million usd",,"2,417 million usd","50,927 million usd",50927000000.0
"6,153 million usd",,"7,336 million usd","2,752 million usd",2752000000.0
"1,312 million usd",,"3,399 million usd","3,399 million usd",3399000000.0
"7,747 million usd",,"2,752 million usd","7,336 million usd",7336000000.0
"2,752 million usd",,"50,927 million usd","2,417 million usd",2417000000.0
"50,927 million usd",,"6,153 million usd","1,312 million usd",1312000000.0
"3,620 million usd",,"3,620 million usd","7,747 million usd",7747000000.0
"2,433 million usd",,990 million usd,"9,056 million usd",9056000000.0
"4,194 million usd",,"19,263 million usd","2,433 million usd",2433000000.0
"9,056 million usd",,"4,194 million usd",822 million usd,822000000.0
"26,406 million usd",,"4,642 million usd","5,844 million usd",5844000000.0
"4,642 million usd",,"26,406 million usd",0 million usd,0.0
"5,844 million usd",,0 million usd,"26,406 million usd",26406000000.0
990 million usd,,"5,844 million usd","4,642 million usd",4642000000.0
822 million usd,,822 million usd,"4,194 million usd",4194000000.0
0 million usd,,"2,433 million usd","19,263 million usd",19263000000.0
"19,263 million usd",,"9,056 million usd",990 million usd,990000000.0
"9,308 million usd",,"1,129 million usd","1,129 million usd",1129000000.0
"5,506 million usd",,"2,354 million usd","46,124 million usd",46124000000.0
"1,234 million usd",,"1,234 million usd","5,506 million usd",5506000000.0
"4,735 million usd",,"9,313 million usd","2,147 million usd",2147000000.0
"9,313 million usd",,320 million usd,"9,308 million usd",9308000000.0
320 million usd,,"4,735 million usd","4,735 million usd",4735000000.0
"2,147 million usd",,"9,308 million usd",320 million usd,320000000.0
"46,124 million usd",,"5,506 million usd","9,313 million usd",9313000000.0
"1,129 million usd",,"46,124 million usd","1,234 million usd",1234000000.0
"2,354 million usd",,"2,147 million usd","2,354 million usd",2354000000.0
"1,296 million usd",,"1,296 million usd","1,296 million usd",1296000000.0
"3,124 million usd",,"8,245 million usd",779 million usd,779000000.0
"28,586 million usd",,"28,586 million usd","3,124 million usd",3124000000.0
"5,558 million usd",,"5,558 million usd","8,203 million usd",8203000000.0
"5,436 million usd",,"5,436 million usd","1,852 million usd",1852000000.0
"3,031 million usd",,"3,031 million usd","3,031 million usd",3031000000.0
"1,852 million usd",,"1,852 million usd","5,436 million usd",5436000000.0
779 million usd,,"8,203 million usd","5,558 million usd",5558000000.0
"8,245 million usd",,"3,124 million usd","28,586 million usd",28586000000.0
"8,203 million usd",,779 million usd,"8,245 million usd",8245000000.0
"24,575 million usd",,"10,279 million usd","10,279 million usd",10279000000.0
569 million usd,,"3,250 million usd",623 million usd,623000000.0
"11,866 million usd",,"24,575 million usd",569 million usd,569000000.0
984 million usd,,"2,280 million usd",35 million usd,35000000.0
35 million usd,,"11,866 million usd",984 million usd,984000000.0
"2,151 million usd",,"2,151 million usd","2,151 million usd",2151000000.0
"10,279 million usd",,984 million usd,"11,866 million usd",11866000000.0
623 million usd,,35 million usd,"2,280 million usd",2280000000.0
"3,250 million usd",,569 million usd,"24,575 million usd",24575000000.0
"2,280 million usd",,623 million usd,"3,250 million usd",3250000000.0
865 million usd,,"2,580 million usd","2,580 million usd",2580000000.0
"2,580 million usd",,"2,256 million usd","2,923 million usd",2923000000.0
"10,490 million usd",,"10,490 million usd","11,244 million usd",11244000000.0
"4,899 million usd",,"4,899 million usd",865 million usd,865000000.0
"12,401 million usd",,"12,401 million usd","12,077 million usd",12077000000.0
"2,256 million usd",,"2,292 million usd","2,292 million usd",2292000000.0
"12,077 million usd",,"12,077 million usd","12,401 million usd",12401000000.0
"11,244 million usd",,865 million usd,"4,899 million usd",4899000000.0
"2,923 million usd",,"11,244 million usd","10,490 million usd",10490000000.0
"2,292 million usd",,"2,923 million usd","2,256 million usd",2256000000.0
"3,098 million usd",,"4,143 million usd","4,143 million usd",4143000000.0
551 million usd,,"3,098 million usd",551 million usd,551000000.0
621 million usd,,"9,312 million usd","4,194 million usd",4194000000.0
"5,583 million usd",,"1,784 million usd",621 million usd,621000000.0
"4,143 million usd",,"5,583 million usd","5,469 million usd",5469000000.0
"2,994 million usd",,"2,994 million usd","2,994 million usd",2994000000.0
"1,784 million usd",,"5,469 million usd","5,583 million usd",5583000000.0
"4,194 million usd",,621 million usd,"1,784 million usd",1784000000.0
"9,312 million usd",,"4,194 million usd","9,312 million usd",9312000000.0
"5,469 million usd",,551 million usd,"3,098 million usd",3098000000.0
"10,318 million usd",,"10,279 million usd","10,279 million usd",10279000000.0
"2,010 million usd",,"10,318 million usd","2,840 million usd",2840000000.0
"15,311 million usd",,"7,985 million usd","9,188 million usd",9188000000.0
"2,840 million usd",,"2,010 million usd","6,684 million usd",6684000000.0
"6,684 million usd",,0 million usd,"15,311 million usd",15311000000.0
0 million usd,,"1,606 million usd","1,606 million usd",1606000000.0
"9,188 million usd",,"15,311 million usd",0 million usd,0.0
"10,279 million usd",,"6,684 million usd","2,010 million usd",2010000000.0
"7,985 million usd",,"9,188 million usd","7,985 million usd",7985000000.0
"1,606 million usd",,"2,840 million usd","10,318 million usd",10318000000.0
"12,018 million usd",,"11,227 million usd","11,227 million usd",11227000000.0
"11,227 million usd",,"3,753 million usd","4,778 million usd",4778000000.0
599 million usd,,"2,211 million usd",599 million usd,599000000.0
"25,787 million usd",,"12,018 million usd","6,010 million usd",6010000000.0
"2,672 million usd",,"25,787 million usd","2,672 million usd",2672000000.0
"6,010 million usd",,"4,953 million usd","4,953 million usd",4953000000.0
"4,778 million usd",,"2,672 million usd","25,787 million usd",25787000000.0
"4,953 million usd",,"6,010 million usd","12,018 million usd",12018000000.0
"2,211 million usd",,599 million usd,"2,211 million usd",2211000000.0
"3,753 million usd",,"4,778 million usd","3,753 million usd",3753000000.0
"18,906 crores inr for 2020.",,"2,630 million usd","2,630 million usd",2630000000.0
326 million usd,,"4,741 million usd",173 million usd,173000000.0
"2,630 million usd",,"15,106 million usd","3,028 million usd",3028000000.0
"3,758 million usd",,"12,642 million usd",326 million usd,326000000.0
"12,642 million usd",,"3,758 million usd",,
"3,028 million usd",,,,
173 million usd,,,"3,758 million usd",3758000000.0
"15,106 million usd",,326 million usd,"12,642 million usd",12642000000.0
not found,,"3,028 million usd","15,106 million usd",15106000000.0
"4,741 million usd",,173 million usd,"4,741 million usd",4741000000.0
219 million usd,,"13,340 million usd","13,340 million usd",13340000000.0
"13,033 million usd",,"7,740 million usd",219 million usd,219000000.0
"3,791 million usd",,745 million usd,"3,791 million usd",3791000000.0
745 million usd,,"5,259 million usd","8,256 million usd",8256000000.0
"8,256 million usd",,0 million usd,"1,819 million usd",1819000000.0
0 million usd,,"13,033 million usd","13,033 million usd",13033000000.0
"1,819 million usd",,"1,819 million usd",0 million usd,0.0
"7,740 million usd",,"8,256 million usd","5,259 million usd",5259000000.0
"13,340 million usd",,"3,791 million usd",745 million usd,745000000.0
"5,259 million usd",,219 million usd,"7,740 million usd",7740000000.0
"2,684 million usd",,"3,353 million usd","3,353 million usd",3353000000.0
"11,869 million usd",,776 million usd,,
"3,670 million usd",,951 million usd,"3,670 million usd",3670000000.0
"3,000 million usd",,"3,000 million usd","11,869 million usd",11869000000.0
"3,353 million usd",,"2,684 million usd","31,614 million usd",31614000000.0
not found,,"3,117 million usd","3,117 million usd",3117000000.0
"3,117 million usd",,"31,614 million usd","2,684 million usd",2684000000.0
776 million usd,,"11,869 million usd","3,000 million usd",3000000000.0
"31,614 million usd",,"3,670 million usd",951 million usd,951000000.0
951 million usd,,,776 million usd,776000000.0
"1,187 million usd",,"1,187 million usd","1,187 million usd",1187000000.0
"3,630 million usd",,326 million usd,"2,848 million usd",2848000000.0
"2,460 million usd",,"1,393 million usd",939 million usd,939000000.0
"19,120 million usd",,"19,120 million usd","14,093 million usd",14093000000.0
"2,848 million usd",,"2,460 million usd","3,630 million usd",3630000000.0
326 million usd,,867 million usd,867 million usd,867000000.0
867 million usd,,"3,630 million usd","2,460 million usd",2460000000.0
"1,393 million usd",,"14,093 million usd","19,120 million usd",19120000000.0
"14,093 million usd",,939 million usd,326 million usd,326000000.0
939 million usd,,"2,848 million usd","1,393 million usd",1393000000.0
"1,518 million usd",,"1,430 million usd","2,776 million usd",2776000000.0
308 million usd,,308 million usd,"3,134 million usd",3134000000.0
"1,430 million usd",,"3,134 million usd",308 million usd,308000000.0
"3,738 million usd",,"2,776 million usd","1,430 million usd",1430000000.0
"3,012 million usd",,"3,211 million usd","3,012 million usd",3012000000.0
"3,134 million usd",,"4,329 million usd","3,738 million usd",3738000000.0
"1,297 million usd",,"1,297 million usd","1,518 million usd",1518000000.0
"3,211 million usd",,"1,518 million usd","1,297 million usd",1297000000.0
"2,776 million usd",,"3,738 million usd","4,329 million usd",4329000000.0
"4,329 million usd",,"3,012 million usd","3,211 million usd",3211000000.0
404 million usd,,"1,268 million usd","1,268 million usd",1268000000.0
"3,618 million usd",,"3,618 million usd",404 million usd,404000000.0
"1,614 million usd",,"1,879 million usd","1,701 million usd",1701000000.0
"1,268 million usd",,"13,436 million usd","1,975 million usd",1975000000.0
"1,879 million usd",,725 million usd,"1,083 million usd",1083000000.0
"1,701 million usd",,"1,614 million usd","1,614 million usd",1614000000.0
"13,436 million usd",,"1,083 million usd",725 million usd,725000000.0
"1,083 million usd",,"1,975 million usd","13,436 million usd",13436000000.0
725 million usd,,"1,701 million usd","1,879 million usd",1879000000.0
"1,975 million usd",,404 million usd,"3,618 million usd",3618000000.0
"9,009 million usd",,"4,098 million usd","4,098 million usd",4098000000.0
768 million usd,,"3,959 million usd","5,667 million usd",5667000000.0
"4,098 million usd",,676 million usd,655 million usd,655000000.0
"8,931 million usd",,768 million usd,"8,931 million usd",8931000000.0
655 million usd,,0 million usd,252 million usd,252000000.0
"3,959 million usd",,"9,009 million usd","9,009 million usd",9009000000.0
0 million usd,,252 million usd,0 million usd,0.0
252 million usd,,"8,931 million usd",768 million usd,768000000.0
"5,667 million usd",,655 million usd,676 million usd,676000000.0
676 million usd,,"5,667 million usd","3,959 million usd",3959000000.0
"3,317 million usd",,"13,632 million usd","13,632 million usd",13632000000.0
"2,733 million usd",,"3,317 million usd","2,584 million usd",2584000000.0
"2,669 million usd",,"1,317 million usd","2,669 million usd",2669000000.0
"1,317 million usd",,"3,703 million usd","5,112 million usd",5112000000.0
"3,703 million usd",,"18,353 million usd","2,733 million usd",2733000000.0
"2,584 million usd",,331 million usd,331 million usd,331000000.0
"5,112 million usd",,"2,733 million usd","18,353 million usd",18353000000.0
331 million usd,,"5,112 million usd","3,703 million usd",3703000000.0
"13,632 million usd",,"2,669 million usd","1,317 million usd",1317000000.0
"18,353 million usd",,"2,584 million usd","3,317 million usd",3317000000.0
402 million usd,,,,
not found,,"7,524 million usd",387 million usd,387000000.0
387 million usd,,497 million usd,"1,058 million usd",1058000000.0
"5,353 million usd",,"1,605 million usd",402 million usd,402000000.0
"1,058 million usd",,"7,865 million usd","5,353 million usd",5353000000.0
"1,605 million usd",,933 million usd,933 million usd,933000000.0
497 million usd,,"5,353 million usd","7,865 million usd",7865000000.0
"7,865 million usd",,402 million usd,"1,605 million usd",1605000000.0
933 million usd,,"1,058 million usd",497 million usd,497000000.0
"7,524 million usd",,387 million usd,"7,524 million usd",7524000000.0
"5,481 million usd",,"4,181 million usd","4,181 million usd",4181000000.0
"16,101 million usd",,862 million usd,"2,813 million usd",2813000000.0
"9,010 million usd",,"4,567 million usd","16,101 million usd",16101000000.0
0 million usd,,"9,010 million usd","5,481 million usd",5481000000.0
"4,181 million usd",,"3,309 million usd","10,518 million usd",10518000000.0
"2,813 million usd",,0 million usd,0 million usd,0.0
"4,567 million usd",,"10,518 million usd","3,309 million usd",3309000000.0
862 million usd,,"5,481 million usd","9,010 million usd",9010000000.0
"10,518 million usd",,"16,101 million usd","4,567 million usd",4567000000.0
"3,309 million usd",,"2,813 million usd",862 million usd,862000000.0
"2,360 million usd",,"29,285 million usd","29,285 million usd",29285000000.0
"2,059 million usd",,"2,991 million usd","1,222 million usd",1222000000.0
"29,285 million usd",,863 million usd,"1,536 million usd",1536000000.0
"1,222 million usd",,"5,864 million usd","2,059 million usd",2059000000.0
"5,864 million usd",,"10,616 million usd","3,820 million usd",3820000000.0
"10,616 million usd",,"2,360 million usd","2,360 million usd",2360000000.0
863 million usd,,"3,820 million usd","10,616 million usd",10616000000.0
"1,536 million usd",,"2,059 million usd","5,864 million usd",5864000000.0
"2,991 million usd",,"1,536 million usd",863 million usd,863000000.0
"3,820 million usd",,"1,222 million usd","2,991 million usd",2991000000.0
"14,035 million usd",,"26,989 million usd","26,989 million usd",26989000000.0
"21,155 million usd",,"14,035 million usd","13,850 million usd",13850000000.0
"3,310 million usd",,"21,155 million usd","1,463 million usd",1463000000.0
"1,463 million usd",,"2,289 million usd","8,937 million usd",8937000000.0
"8,937 million usd",,"2,193 million usd","3,310 million usd",3310000000.0
"2,193 million usd",,"15,878 million usd","15,878 million usd",15878000000.0
"13,850 million usd",,"3,310 million usd","2,193 million usd",2193000000.0
"15,878 million usd",,"8,937 million usd","2,289 million usd",2289000000.0
"26,989 million usd",,"1,463 million usd","21,155 million usd",21155000000.0
"2,289 million usd",,"13,850 million usd","14,035 million usd",14035000000.0
"2,708 million usd",,"1,739 million usd","1,739 million usd",1739000000.0
"15,527 million usd",,"3,784 million usd","2,708 million usd",2708000000.0
709 million usd,,"15,527 million usd","6,072 million usd",6072000000.0
"11,093 million usd",,"24,024 million usd","11,093 million usd",11093000000.0
359 million usd,,709 million usd,359 million usd,359000000.0
"8,658 million usd",,359 million usd,709 million usd,709000000.0
"6,072 million usd",,"8,658 million usd","8,658 million usd",8658000000.0
"24,024 million usd",,"11,093 million usd","24,024 million usd",24024000000.0
"1,739 million usd",,"6,072 million usd","15,527 million usd",15527000000.0
"3,784 million usd",,"2,708 million usd","3,784 million usd",3784000000.0
"3,763 million usd",,"1,141 million usd","1,141 million usd",1141000000.0
"10,589 million usd",,"8,016 million usd",53 million usd,4152000000.0
"2,353 million usd",,"2,201 million usd","10,069 million usd",53000000.0
"5,238 million usd",,"2,353 million usd","10,589 million usd",10069000000.0
"8,016 million usd",,"4,022 million usd","5,238 million usd",10589000000.0
53 million usd,,"5,238 million usd","4,022 million usd",5238000000.0
"1,141 million usd",,"10,589 million usd","2,353 million usd",4022000000.0
"4,022 million usd",,"10,069 million usd","2,201 million usd",2353000000.0
"10,069 million usd",,53 million usd,"8,016 million usd",2201000000.0
"2,201 million usd",,"4,152 million usd","3,763 million usd",8016000000.0
"6,983 million usd",,"3,763 million usd","1,820 million usd",3763000000.0
"4,948 million usd",,"3,329 million usd","16,262 million usd",1820000000.0
"16,262 million usd",,"6,983 million usd","3,012 million usd",16262000000.0
"1,820 million usd",,"1,258 million usd","4,948 million usd",3012000000.0
"3,012 million usd",,"7,985 million usd",450 million usd,4948000000.0
"1,258 million usd",,450 million usd,"7,985 million usd",450000000.0
450 million usd,,"4,948 million usd","1,258 million usd",7985000000.0
"5,649 million usd",,"3,012 million usd","6,983 million usd",1258000000.0
"3,329 million usd",,"16,262 million usd","3,329 million usd",6983000000.0
"7,985 million usd",,"1,820 million usd","5,649 million usd",3329000000.0
"4,668 million usd",,"5,649 million usd","1,497 million usd",5649000000.0
"1,497 million usd",,"8,594 million usd","5,533 million usd",1497000000.0
199 million usd,,"4,668 million usd","5,998 million usd",5533000000.0
"6,759 million usd",,199 million usd,"8,434 million usd",5998000000.0
531 million usd,,"6,759 million usd",531 million usd,8434000000.0
"8,434 million usd",,531 million usd,"6,759 million usd",531000000.0
"5,533 million usd",,"8,434 million usd",199 million usd,6759000000.0
"8,594 million usd",,"5,998 million usd","4,668 million usd",199000000.0
"5,998 million usd",,"5,533 million usd","8,594 million usd",4668000000.0
"1,222 million usd",,"1,497 million usd","1,222 million usd",8594000000.0
"8,696 million usd",,"1,237 million usd","2,529 million usd",1222000000.0
"3,883 million usd",,967 million usd,"7,445 million usd",2529000000.0
967 million usd,,"10,537 million usd",772 million usd,7445000000.0
"1,237 million usd",,"1,982 million usd","14,548 million usd",772000000.0
"7,445 million usd",,"8,696 million usd","8,696 million usd",14548000000.0
"2,529 million usd",,"14,548 million usd","1,982 million usd",8696000000.0
"10,537 million usd",,772 million usd,"10,537 million usd",1982000000.0
"14,548 million usd",,"7,445 million usd",967 million usd,10537000000.0
"1,982 million usd",,"2,529 million usd","1,237 million usd",967000000.0
772 million usd,,"1,222 million usd","3,883 million usd",1237000000.0
"1,146 million usd",,"7,220 million usd","24,786 million usd",3883000000.0
"16,090 million usd",,"16,090 million usd",389 million usd,24786000000.0
801 million usd,,"1,146 million usd","18,526 million usd",389000000.0
not found,,,801 million usd,18526000000.0
"24,786 million usd",,"11,561 million usd","11,561 million usd",801000000.0
"18,526 million usd",,801 million usd,,11561000000.0
389 million usd,,"18,526 million usd","1,146 million usd",
"11,561 million usd",,389 million usd,"16,090 million usd",1146000000.0
"7,940 million usd",,"24,786 million usd","7,220 million usd",16090000000.0
"7,220 million usd",,"3,883 million usd","7,940 million usd",7220000000.0
"5,212 million usd",,"7,940 million usd","1,567 million usd",7940000000.0
747 million usd,,747 million usd,"2,421 million usd",1567000000.0
"2,027 million usd",,"6,984 million usd",764 million usd,2421000000.0
"9,262 million usd",,"7,913 million usd","2,285 million usd",764000000.0
"2,285 million usd",,"5,212 million usd","2,027 million usd",2285000000.0
"2,421 million usd",,"2,027 million usd","5,212 million usd",2027000000.0
764 million usd,,"2,285 million usd","7,913 million usd",5212000000.0
"7,913 million usd",,764 million usd,"6,984 million usd",7913000000.0
"6,984 million usd",,"2,421 million usd",747 million usd,6984000000.0
