08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
"18,344 million usd","24,545 million usd","30,793 million usd","21,804 million usd",21804000000.0
"96,250 million usd","4,776 million usd","9,898 million usd","45,066 million usd",45066000000.0
"28,141 million usd","9,835 million usd","34,392 million usd","30,682 million usd",30682000000.0
"72,397 million usd",387 million usd,"202,290 million usd","104,700 million usd",104700000000.0
"16,434 million usd","23,400 million usd","31,405 million usd","12,726 million usd",12726000000.0
"34,392 million usd","48,577 million usd","72,397 million usd","28,141 million usd",28141000000.0
"202,290 million usd","16,677 million usd","16,434 million usd","35,376 million usd",35376000000.0
"35,376 million usd","22,427 million usd","35,376 million usd","16,434 million usd",16434000000.0
"31,405 million usd","8,823 million usd","28,141 million usd","72,397 million usd",72397000000.0
"104,700 million usd","26,981 million usd","12,726 million usd","31,405 million usd",31405000000.0
"30,682 million usd","21,730 million usd","104,700 million usd","202,290 million usd",202290000000.0
"12,726 million usd","14,293 million usd","30,682 million usd","34,392 million usd",34392000000.0
"4,611 million usd","84,380 million usd","292,110 million usd","32,501 million usd",32501000000.0
"5,511 million usd","18,970 million usd","184,630 million usd","380,440 million usd",380440000000.0
"380,440 million usd",0 million usd,"68,616 million usd","70,765 million usd",70765000000.0
"70,765 million usd","1,860 million usd","46,385 million usd","4,611 million usd",4611000000.0
"184,630 million usd",0 million usd,"31,677 million usd","5,511 million usd",5511000000.0
"46,385 million usd","26,500 million usd","5,511 million usd","31,677 million usd",31677000000.0
"292,110 million usd",150 million usd,"4,611 million usd","46,385 million usd",46385000000.0
"31,677 million usd","1,275 million usd","70,765 million usd","68,616 million usd",68616000000.0
"32,501 million usd",0 million usd,"380,440 million usd","184,630 million usd",184630000000.0
"68,616 million usd","4,882 million usd","32,501 million usd","292,110 million usd",292110000000.0
"76,991 million usd","17,852 million usd","57,793 million usd","57,793 million usd",57793000000.0
"250,120 million usd","11,496 million usd","63,644 million usd","80,118 million usd",80118000000.0
"42,838 million usd",0 million usd,"23,063 million usd","76,991 million usd",76991000000.0
"63,644 million usd","7,105 million usd","250,120 million usd","19,374 million usd",19374000000.0
"123,070 million usd","15,618 million usd","42,838 million usd","123,070 million usd",123070000000.0
"80,118 million usd","13,249 million usd","64,388 million usd","64,388 million usd",64388000000.0
"57,793 million usd","14,136 million usd","123,070 million usd","42,838 million usd",42838000000.0
"23,063 million usd","76,540 million usd","19,374 million usd","250,120 million usd",250120000000.0
"64,388 million usd","53,685 million usd","76,991 million usd","23,063 million usd",23063000000.0
"19,374 million usd","10,654 million usd","80,118 million usd","63,644 million usd",63644000000.0
"64,989 million usd","6,288 million usd","29,060 million usd","64,989 million usd",64989000000.0
"9,635 million usd","3,622 million usd","43,171 million usd","9,635 million usd",9635000000.0
"25,979 million usd",0 million usd,"62,286 million usd","71,887 million usd",71887000000.0
"71,887 million usd","23,442 million usd","17,737 million usd","133,260 million usd",133260000000.0
"43,171 million usd","30,981 million usd",,"25,979 million usd",25979000000.0
"133,260 million usd","26,758 million usd","25,979 million usd",,
not found,"4,784 million usd","133,260 million usd","17,737 million usd",17737000000.0
"29,060 million usd","2,688 million usd","71,887 million usd","62,286 million usd",62286000000.0
"17,737 million usd","8,291 million usd","9,635 million usd","43,171 million usd",43171000000.0
"62,286 million usd","16,693 million usd","64,989 million usd","29,060 million usd",29060000000.0
"16,562 million usd","20,012 million usd","12,743 million usd","16,562 million usd",16562000000.0
"18,200 million usd","3,180 million usd","5,710 million usd","47,525 million usd",47525000000.0
"47,525 million usd","48,664 million usd","43,932 million usd","18,200 million usd",18200000000.0
"12,743 million usd","22,792 million usd","63,495 million usd","9,356 million usd",9356000000.0
"5,710 million usd","34,867 million usd","57,350 million usd","50,971 million usd",50971000000.0
"50,971 million usd",0 million usd,"50,971 million usd","57,350 million usd",57350000000.0
"43,932 million usd",0 million usd,"9,356 million usd","63,495 million usd",63495000000.0
"57,350 million usd","24,393 million usd","18,200 million usd","43,932 million usd",43932000000.0
"63,495 million usd","9,201 million usd","47,525 million usd","5,710 million usd",5710000000.0
"9,356 million usd","93,076 million usd","16,562 million usd","12,743 million usd",12743000000.0
"54,304 million usd","11,586 million usd","8,297 million usd","4,759 million usd",4759000000.0
"4,759 million usd","7,962 million usd","168,300 million usd","5,896 million usd",5896000000.0
"133,170 million usd",0 million usd,"51,682 million usd","74,196 million usd",74196000000.0
"106,000 million usd","63,768 million usd","54,304 million usd","106,000 million usd",106000000000.0
"168,300 million usd","22,113 million usd","133,170 million usd","44,655 million usd",44655000000.0
"51,682 million usd","18,591 million usd","44,655 million usd","133,170 million usd",133170000000.0
"44,655 million usd","24,467 million usd","106,000 million usd","54,304 million usd",54304000000.0
"8,297 million usd","10,406 million usd","74,196 million usd","51,682 million usd",51682000000.0
"5,896 million usd","83,312 million usd","5,896 million usd","168,300 million usd",168300000000.0
"74,196 million usd","77,335 million usd","4,759 million usd","8,297 million usd",8297000000.0
"6,936 million usd","2,875 million usd","110,000 million usd","31,853 million usd",31853000000.0
"49,100 million usd","2,437 million usd","57,468 million usd","49,100 million usd",49100000000.0
"31,853 million usd","9,976 million usd","5,991 million usd","6,936 million usd",6936000000.0
"anthem annual revenues for december-2019 ending is 104,213 million usd","17,151 million usd",,"45,828 million usd",45828000000.0
"57,468 million usd","92,763 million usd","27,705 million usd","149,500 million usd",149500000000.0
"110,000 million usd","46,173 million usd","149,500 million usd","27,705 million usd",27705000000.0
"45,828 million usd",833 million usd,"45,828 million usd",,
"5,991 million usd","28,525 million usd","6,936 million usd","5,991 million usd",5991000000.0
"27,705 million usd","20,892 million usd","49,100 million usd","57,468 million usd",57468000000.0
"149,500 million usd","2,942 million usd","31,853 million usd","110,000 million usd",110000000000.0
"114,040 million usd","76,571 million usd","16,046 million usd","17,000 million usd",17000000000.0
"9,955 million usd","2,148 million usd","19,445 million usd","9,955 million usd",9955000000.0
"17,000 million usd",0 million usd,"34,022 million usd","35,355 million usd",35355000000.0
"88,706 million usd",0 million usd,"88,706 million usd","114,040 million usd",114040000000.0
"34,022 million usd","24,398 million usd","21,695 million usd","16,311 million usd",16311000000.0
"21,695 million usd","26,222 million usd","16,311 million usd","21,695 million usd",21695000000.0
"16,046 million usd","7,707 million usd","114,040 million usd","88,706 million usd",88706000000.0
"19,445 million usd","4,874 million usd","35,355 million usd","34,022 million usd",34022000000.0
"35,355 million usd",0 million usd,"9,955 million usd","19,445 million usd",19445000000.0
"16,311 million usd","4,899 million usd","17,000 million usd","16,046 million usd",16046000000.0
"27,708 million usd","72,299 million usd","10,958 million usd","10,958 million usd",10958000000.0
"10,493 million usd","3,237 million usd","91,686 million usd","7,776 million usd",7776000000.0
"91,686 million usd","46,001 million usd","6,835 million usd","17,108 million usd",17108000000.0
"67,044 million usd","25,306 million usd","10,493 million usd","67,044 million usd",67044000000.0
"6,835 million usd","4,163 million usd","157,740 million usd","27,708 million usd",27708000000.0
"17,108 million usd","11,888 million usd","136,340 million usd","136,340 million usd",136340000000.0
"10,958 million usd","8,998 million usd","27,708 million usd","157,740 million usd",157740000000.0
"7,776 million usd","3,678 million usd","67,044 million usd","10,493 million usd",10493000000.0
"157,740 million usd","5,258 million usd","17,108 million usd","6,835 million usd",6835000000.0
"136,340 million usd","46,859 million usd","7,776 million usd","91,686 million usd",91686000000.0
"28,720 million usd","17,177 million usd","47,600 million usd","19,135 million usd",19135000000.0
"47,600 million usd","11,944 million usd","212,870 million usd","46,634 million usd",46634000000.0
"31,453 million usd","1,177 million usd","21,111 million usd","17,227 million usd",17227000000.0
"212,870 million usd","14,823 million usd","1,219 million usd","28,720 million usd",28720000000.0
"17,227 million usd","8,100 million usd","119,890 million usd","31,453 million usd",31453000000.0
"19,135 million usd","41,347 million usd","31,453 million usd","119,890 million usd",119890000000.0
"46,634 million usd","7,901 million usd","28,720 million usd","1,219 million usd",1219000000.0
"21,111 million usd","24,179 million usd","17,227 million usd","21,111 million usd",21111000000.0
"1,219 million usd","24,519 million usd","46,634 million usd","212,870 million usd",212870000000.0
"119,890 million usd","15,167 million usd","19,135 million usd","47,600 million usd",47600000000.0
0 million usd,"4,799 million usd","27,305 million usd",0 million usd,0.0
"114,700 million usd","123,860 million usd","203,830 million usd","22,721 million usd",22721000000.0
"20,955 million usd","7,841 million usd","33,620 million usd","127,000 million usd",127000000000.0
"75,731 million usd","2,339 million usd","88,744 million usd","114,700 million usd",114700000000.0
"127,000 million usd","28,500 million usd","75,731 million usd","20,955 million usd",20955000000.0
"22,721 million usd","43,283 million usd","20,955 million usd","75,731 million usd",75731000000.0
"88,744 million usd","7,160 million usd","114,700 million usd","88,744 million usd",88744000000.0
"27,305 million usd","58,239 million usd","127,000 million usd","33,620 million usd",33620000000.0
"33,620 million usd","2,554 million usd","22,721 million usd","203,830 million usd",203830000000.0
"203,830 million usd","9,862 million usd",0 million usd,"27,305 million usd",27305000000.0
"21,842 million usd",0 million usd,"18,471 million usd","21,842 million usd",21842000000.0
"23,771 million usd","5,853 million usd","22,259 million usd","48,549 million usd",48549000000.0
"7,774 million usd","6,809 million usd","11,564 million usd","7,318 million usd",7318000000.0
"7,318 million usd","5,150 million usd","14,622 million usd","23,771 million usd",23771000000.0
"18,471 million usd","1,950 million usd","23,771 million usd","14,622 million usd",14622000000.0
"48,549 million usd",0 million usd,"7,318 million usd","11,564 million usd",11564000000.0
"11,564 million usd","25,553 million usd","48,549 million usd","22,259 million usd",22259000000.0
"22,259 million usd","24,558 million usd","21,842 million usd","18,471 million usd",18471000000.0
"14,622 million usd","1,255 million usd","7,774 million usd","40,963 million usd",40963000000.0
"40,963 million usd","28,844 million usd","40,963 million usd","7,774 million usd",7774000000.0
"43,000 million usd","10,139 million usd","16,080 million usd","49,966 million usd",49966000000.0
"25,714 million usd","-2,986 million usd","22,577 million usd","19,944 million usd",19944000000.0
"49,966 million usd","4,584 million usd","12,522 million usd","43,000 million usd",43000000000.0
"19,915 million usd","23,031 million usd",0 million usd,"19,915 million usd",19915000000.0
"12,522 million usd","32,138 million usd","6,340 million usd","25,714 million usd",25714000000.0
"16,080 million usd","8,405 million usd","25,714 million usd","6,340 million usd",6340000000.0
