07-silvestri-market_value_jan_2020,04-iGMM-market_value__jan_1st_2020
14.376 billion usd,53.408 billion usd
15.334 billion usd,
15.152 billion usd,62.234 billion usd
37.098 billion usd,58.254 billion usd
14.142 billion usd,67.450 billion usd
24.020 billion usd,100.584 billion usd
28.411 billion usd,61.298 billion usd
21.859 billion usd,82.713 billion usd
33.894 billion usd,66.781 billion usd
14.969 billion usd,74.346 billion usd
20.839 billion usd,44.976 billion usd
14.759 billion usd,69.038 billion usd
10.218 billion usd,35.037 billion usd
19.263 billion usd,65.409 billion usd
24.674 billion usd,75.805 billion usd
26.305 billion usd,6.581 billion usd
14.474 billion usd,70.056 billion usd
23.664 billion usd,14.536 billion usd
19.795 billion usd,58.284 billion usd
10.630 billion usd,54.378 billion usd
12.904 billion usd,
28.364 billion usd,45.102 billion usd
15.774 billion usd,70.861 billion usd
27.097 billion usd,58.923 billion usd
14.554 billion usd,90.327 billion usd
17.388 billion usd,56.453 billion usd
23.832 billion usd,66.907 billion usd
9.088 billion usd,62.839 billion usd
6.720 billion usd,56.531 billion usd
21.918 billion usd,
22.579 billion usd,80.849 billion usd
26.625 billion usd,93.507 billion usd
26.749 billion usd,47.672 billion usd
22.766 billion usd,72.372 billion usd
25.459 billion usd,51.583 billion usd
12.967 billion usd,68.535 billion usd
22.219 billion usd,39.412 billion usd
13.801 billion usd,
15.322 billion usd,82.055 billion usd
10.135 billion usd,60.810 billion usd
10.161 billion usd,56.888 billion usd
23.870 billion usd,71.902 billion usd
18.589 billion usd,47.723 billion usd
9.200 billion usd,
22.070 billion usd,49.818 billion usd
15.043 billion usd,49.329 billion usd
4.853 billion usd,88.375 billion usd
15.771 billion usd,43.995 billion usd
30.742 billion usd,77.757 billion usd
18.068 billion usd,57.753 billion usd
18.424 billion usd,29.851 billion usd
12.049 billion usd,48.841 billion usd
15.609 billion usd,58.436 billion usd
15.924 billion usd,
13.640 billion usd,53.280 billion usd
5.604 billion usd,77.998 billion usd
14.488 billion usd,24.983 billion usd
17.350 billion usd,51.605 billion usd
12.794 billion usd,68.457 billion usd
22.203 billion usd,52.609 billion usd
11.469 billion usd,48.986 billion usd
22.328 billion usd,42.694 billion usd
,44.283 billion usd
8.745 billion usd,55.707 billion usd
,66.703 billion usd
34.556 billion usd,73.437 billion usd
17.603 billion usd,50.932 billion usd
,39.556 billion usd
23.062 billion usd,63.052 billion usd
11.854 billion usd,79.163 billion usd
12.842 billion usd,70.061 billion usd
11.312 billion usd,86.290 billion usd
11.391 billion usd,44.914 billion usd
10.824 billion usd,42.904 billion usd
12.993 billion usd,59.947 billion usd
14.853 billion usd,42.021 billion usd
13.796 billion usd,54.028 billion usd
14.074 billion usd,35.063 billion usd
12.178 billion usd,
8.271 billion usd,18.188 billion usd
16.524 billion usd,47.924 billion usd
8.203 billion usd,39.928 billion usd
15.945 billion usd,50.314 billion usd
13.897 billion usd,61.322 billion usd
11.115 billion usd,45.199 billion usd
7.527 billion usd,
8.899 billion usd,55.267 billion usd
13.156 billion usd,70.793 billion usd
6.933 billion usd,28.030 billion usd
16.828 billion usd,104.102 billion usd
13.429 billion usd,
13.104 billion usd,69.166 billion usd
7.317 billion usd,14.010 billion usd
11.894 billion usd,62.111 billion usd
18.383 billion usd,48.223 billion usd
21.055 billion usd,
5.218 billion usd,39.310 billion usd
13.404 billion usd,47.524 billion usd
19.043 billion usd,35.779 billion usd
10.914 billion usd,46.416 billion usd
11.972 billion usd,23.491 billion usd
10.541 billion usd,58.779 billion usd
14.321 billion usd,54.237 billion usd
14.286 billion usd,60.286 billion usd
20.544 billion usd,51.512 billion usd
10.573 billion usd,55.326 billion usd
14.834 billion usd,47.732 billion usd
10.528 billion usd,40.839 billion usd
12.543 billion usd,41.675 billion usd
12.362 billion usd,27.473 billion usd
17.404 billion usd,49.824 billion usd
14.020 billion usd,
10.574 billion usd,51.615 billion usd
7.366 billion usd,68.696 billion usd
14.823 billion usd,41.284 billion usd
11.248 billion usd,
29.337 billion usd,43.008 billion usd
10.498 billion usd,24.877 billion usd
9.381 billion usd,23.044 billion usd
10.978 billion usd,28.971 billion usd
17.247 billion usd,59.883 billion usd
11.824 billion usd,42.029 billion usd
9.469 billion usd,52.749 billion usd
13.656 billion usd,38.886 billion usd
34.413 billion usd,30.692 billion usd
8.501 billion usd,44.919 billion usd
12.111 billion usd,59.696 billion usd
14.598 billion usd,48.785 billion usd
8.471 billion usd,57.941 billion usd
16.359 billion usd,35.784 billion usd
10.843 billion usd,19.464 billion usd
7.946 billion usd,71.788 billion usd
5.051 billion usd,
10.983 billion usd,35.336 billion usd
10.820 billion usd,64.245 billion usd
19.584 billion usd,47.441 billion usd
11.419 billion usd,63.103 billion usd
17.256 billion usd,54.756 billion usd
13.626 billion usd,39.779 billion usd
,29.405 billion usd
6.199 billion usd,66.226 billion usd
,
11.273 billion usd,55.620 billion usd
12.062 billion usd,14.295 billion usd
12.764 billion usd,35.769 billion usd
12.237 billion usd,42.406 billion usd
13.721 billion usd,48.354 billion usd
7.612 billion usd,35.255 billion usd
11.262 billion usd,34.437 billion usd
8.904 billion usd,49.438 billion usd
8.767 billion usd,41.067 billion usd
8.649 billion usd,27.306 billion usd
9.391 billion usd,48.848 billion usd
8.780 billion usd,48.912 billion usd
14.230 billion usd,33.668 billion usd
6.854 billion usd,60.604 billion usd
12.537 billion usd,47.003 billion usd
9.809 billion usd,48.912 billion usd
8.891 billion usd,57.254 billion usd
11.288 billion usd,10.644 billion usd
12.149 billion usd,47.989 billion usd
11.853 billion usd,41.640 billion usd
12.576 billion usd,15.139 billion usd
12.384 billion usd,37.306 billion usd
8.007 billion usd,31.659 billion usd
8.254 billion usd,
13.404 billion usd,38.300 billion usd
7.310 billion usd,17.611 billion usd
11.430 billion usd,26.539 billion usd
12.624 billion usd,44.407 billion usd
10.427 billion usd,
7.678 billion usd,39.939 billion usd
9.720 billion usd,44.920 billion usd
4.154 billion usd,
3.573 billion usd,35.894 billion usd
11.808 billion usd,64.440 billion usd
9.647 billion usd,15.110 billion usd
15.006 billion usd,31.263 billion usd
11.799 billion usd,48.633 billion usd
7.677 billion usd,78.085 billion usd
10.715 billion usd,65.788 billion usd
,17.508 billion usd
9.515 billion usd,49.984 billion usd
11.576 billion usd,19.982 billion usd
4.614 billion usd,46.651 billion usd
1.390 billion usd,10.336 billion usd
14.132 billion usd,61.575 billion usd
6.152 billion usd,35.743 billion usd
8.338 billion usd,42.097 billion usd
9.269 billion usd,53.029 billion usd
6.432 billion usd,50.747 billion usd
14.483 billion usd,60.876 billion usd
9.246 billion usd,40.682 billion usd
21.151 billion usd,23.170 billion usd
2.426 billion usd,
10.940 billion usd,26.448 billion usd
4.504 billion usd,45.833 billion usd
5.841 billion usd,43.268 billion usd
8.067 billion usd,23.045 billion usd
3.423 billion usd,32.389 billion usd
16.830 billion usd,56.976 billion usd
5.627 billion usd,28.149 billion usd
13.134 billion usd,32.676 billion usd
2.547 billion usd,46.497 billion usd
7.447 billion usd,18.976 billion usd
7.952 billion usd,8.123 billion usd
10.112 billion usd,36.165 billion usd
10.233 billion usd,51.323 billion usd
11.242 billion usd,19.116 billion usd
9.849 billion usd,61.468 billion usd
7.500 billion usd,57.914 billion usd
10.505 billion usd,54.291 billion usd
5.270 billion usd,58.757 billion usd
22.188 billion usd,51.530 billion usd
5.800 billion usd,40.135 billion usd
10.007 billion usd,21.360 billion usd
5.686 billion usd,24.567 billion usd
,64.093 billion usd
13.215 billion usd,45.006 billion usd
9.741 billion usd,44.702 billion usd
3.777 billion usd,49.604 billion usd
8.208 billion usd,30.142 billion usd
10.770 billion usd,20.890 billion usd
8.477 billion usd,45.058 billion usd
15.334 billion usd,34.250 billion usd
4.763 billion usd,
8.667 billion usd,33.002 billion usd
8.876 billion usd,34.476 billion usd
8.046 billion usd,50.487 billion usd
6.393 billion usd,51.535 billion usd
11.262 billion usd,75.771 billion usd
5.080 billion usd,56.810 billion usd
6.309 billion usd,32.525 billion usd
7.334 billion usd,30.043 billion usd
8.826 billion usd,
4.145 billion usd,42.492 billion usd
11.052 billion usd,37.450 billion usd
,25.218 billion usd
11.873 billion usd,46.563 billion usd
10.460 billion usd,11.604 billion usd
,25.169 billion usd
11.433 billion usd,40.692 billion usd
7.122 billion usd,52.320 billion usd
9.049 billion usd,
4.808 billion usd,34.376 billion usd
6.103 billion usd,42.108 billion usd
7.380 billion usd,44.829 billion usd
7.629 billion usd,38.787 billion usd
8.371 billion usd,13.982 billion usd
7.046 billion usd,49.697 billion usd
12.666 billion usd,21.784 billion usd
7.080 billion usd,43.383 billion usd
2.166 billion usd,48.488 billion usd
5.906 billion usd,22.456 billion usd
6.687 billion usd,3.909 billion usd
5.096 billion usd,24.383 billion usd
12.014 billion usd,53.053 billion usd
4.919 billion usd,30.719 billion usd
,27.134 billion usd
13.908 billion usd,42.590 billion usd
7.417 billion usd,36.477 billion usd
9.392 billion usd,29.034 billion usd
1.751 billion usd,19.863 billion usd
6.731 billion usd,33.255 billion usd
5.495 billion usd,24.038 billion usd
8.646 billion usd,30.530 billion usd
7.545 billion usd,
8.006 billion usd,
7.606 billion usd,34.037 billion usd
6.713 billion usd,34.865 billion usd
6.199 billion usd,24.587 billion usd
8.510 billion usd,39.374 billion usd
6.203 billion usd,28.564 billion usd
6.030 billion usd,20.181 billion usd
4.730 billion usd,22.220 billion usd
7.185 billion usd,
10.370 billion usd,25.399 billion usd
5.148 billion usd,24.827 billion usd
9.813 billion usd,
8.757 billion usd,46.834 billion usd
8.353 billion usd,23.383 billion usd
5.236 billion usd,23.854 billion usd
6.343 billion usd,
,
6.269 billion usd,
8.495 billion usd,
4.235 billion usd,11.156 billion usd
6.939 billion usd,25.366 billion usd
7.778 billion usd,46.584 billion usd
13.154 billion usd,38.280 billion usd
4.970 billion usd,21.817 billion usd
6.975 billion usd,42.652 billion usd
6.173 billion usd,39.502 billion usd
8.173 billion usd,29.035 billion usd
5.219 billion usd,26.474 billion usd
5.825 billion usd,43.203 billion usd
2.773 billion usd,40.426 billion usd
6.528 billion usd,39.303 billion usd
9.994 billion usd,16.339 billion usd
,55.301 billion usd
9.771 billion usd,9.689 billion usd
6.294 billion usd,37.776 billion usd
8.371 billion usd,38.775 billion usd
3.852 billion usd,10.492 billion usd
7.535 billion usd,17.558 billion usd
5.418 billion usd,31.547 billion usd
6.094 billion usd,42.927 billion usd
7.631 billion usd,
3.875 billion usd,22.111 billion usd
8.565 billion usd,44.405 billion usd
5.676 billion usd,47.212 billion usd
8.372 billion usd,63.553 billion usd
6.978 billion usd,12.949 billion usd
4.617 billion usd,51.930 billion usd
3.399 billion usd,26.472 billion usd
6.781 billion usd,30.293 billion usd
4.408 billion usd,27.642 billion usd
5.346 billion usd,28.418 billion usd
3.979 billion usd,31.447 billion usd
7.371 billion usd,36.373 billion usd
6.281 billion usd,22.703 billion usd
3.264 billion usd,21.225 billion usd
5.256 billion usd,29.359 billion usd
4.967 billion usd,30.276 billion usd
11.156 billion usd,29.805 billion usd
,26.613 billion usd
5.988 billion usd,38.366 billion usd
6.653 billion usd,28.069 billion usd
4.516 billion usd,29.609 billion usd
8.753 billion usd,19.219 billion usd
5.523 billion usd,32.516 billion usd
10.352 billion usd,43.379 billion usd
8.000 billion usd,27.841 billion usd
9.112 billion usd,36.492 billion usd
12.155 billion usd,38.789 billion usd
5.048 billion usd,40.778 billion usd
2.714 billion usd,16.268 billion usd
0.120 billion usd,14.152 billion usd
9.285 billion usd,32.175 billion usd
,25.224 billion usd
7.887 billion usd,39.532 billion usd
10.928 billion usd,35.618 billion usd
3.743 billion usd,53.720 billion usd
3.027 billion usd,43.295 billion usd
4.801 billion usd,75.506 billion usd
2.375 billion usd,22.987 billion usd
7.350 billion usd,24.950 billion usd
9.394 billion usd,21.601 billion usd
7.969 billion usd,24.318 billion usd
5.087 billion usd,24.306 billion usd
5.806 billion usd,22.140 billion usd
7.085 billion usd,26.791 billion usd
2.939 billion usd,
2.268 billion usd,51.243 billion usd
7.380 billion usd,31.750 billion usd
6.391 billion usd,15.752 billion usd
3.351 billion usd,27.556 billion usd
3.878 billion usd,30.903 billion usd
6.979 billion usd,27.338 billion usd
7.025 billion usd,53.825 billion usd
7.511 billion usd,35.969 billion usd
5.283 billion usd,40.142 billion usd
,48.016 billion usd
3.868 billion usd,27.033 billion usd
3.320 billion usd,32.646 billion usd
6.335 billion usd,31.667 billion usd
6.967 billion usd,26.322 billion usd
4.049 billion usd,24.023 billion usd
7.823 billion usd,85.662 billion usd
,23.408 billion usd
5.430 billion usd,20.904 billion usd
5.144 billion usd,50.703 billion usd
4.025 billion usd,15.435 billion usd
7.493 billion usd,46.981 billion usd
8.397 billion usd,22.564 billion usd
3.637 billion usd,20.313 billion usd
4.767 billion usd,20.269 billion usd
3.793 billion usd,15.155 billion usd
4.342 billion usd,33.588 billion usd
9.323 billion usd,24.849 billion usd
7.970 billion usd,18.029 billion usd
4.642 billion usd,23.719 billion usd
2.906 billion usd,31.905 billion usd
5.211 billion usd,12.044 billion usd
6.723 billion usd,
3.609 billion usd,21.182 billion usd
4.141 billion usd,26.987 billion usd
4.175 billion usd,39.486 billion usd
1.848 billion usd,37.179 billion usd
2.464 billion usd,39.388 billion usd
,
3.463 billion usd,30.747 billion usd
1.111 billion usd,24.551 billion usd
6.446 billion usd,9.225 billion usd
6.710 billion usd,31.341 billion usd
2.904 billion usd,33.585 billion usd
4.336 billion usd,57.177 billion usd
7.056 billion usd,23.047 billion usd
6.160 billion usd,29.095 billion usd
4.595 billion usd,
5.699 billion usd,40.766 billion usd
7.231 billion usd,42.433 billion usd
5.416 billion usd,27.560 billion usd
1.841 billion usd,34.932 billion usd
7.186 billion usd,26.542 billion usd
7.911 billion usd,51.090 billion usd
,33.917 billion usd
5.823 billion usd,14.376 billion usd
2.171 billion usd,19.097 billion usd
7.909 billion usd,29.967 billion usd
5.968 billion usd,6.073 billion usd
,19.737 billion usd
8.426 billion usd,36.211 billion usd
4.422 billion usd,39.782 billion usd
4.010 billion usd,45.624 billion usd
5.588 billion usd,10.701 billion usd
4.075 billion usd,13.941 billion usd
2.980 billion usd,30.147 billion usd
6.583 billion usd,
6.580 billion usd,36.452 billion usd
7.213 billion usd,41.104 billion usd
3.381 billion usd,20.475 billion usd
4.460 billion usd,50.291 billion usd
1.621 billion usd,42.232 billion usd
8.073 billion usd,26.730 billion usd
6.322 billion usd,39.698 billion usd
,33.729 billion usd
6.670 billion usd,21.218 billion usd
9.060 billion usd,22.288 billion usd
4.162 billion usd,21.503 billion usd
,23.604 billion usd
4.424 billion usd,19.465 billion usd
4.958 billion usd,23.222 billion usd
4.042 billion usd,24.025 billion usd
6.922 billion usd,25.713 billion usd
3.042 billion usd,
4.020 billion usd,30.826 billion usd
6.198 billion usd,13.424 billion usd
7.603 billion usd,20.657 billion usd
6.775 billion usd,27.665 billion usd
2.367 billion usd,33.099 billion usd
3.596 billion usd,44.644 billion usd
6.152 billion usd,24.333 billion usd
3.101 billion usd,21.172 billion usd
2.684 billion usd,29.359 billion usd
5.078 billion usd,71.942 billion usd
3.482 billion usd,22.441 billion usd
3.198 billion usd,26.318 billion usd
3.531 billion usd,21.992 billion usd
2.720 billion usd,15.404 billion usd
1.678 billion usd,5.172 billion usd
5.755 billion usd,19.604 billion usd
5.839 billion usd,44.331 billion usd
5.201 billion usd,17.836 billion usd
4.157 billion usd,14.069 billion usd
4.824 billion usd,73.916 billion usd
5.714 billion usd,39.266 billion usd
4.497 billion usd,28.477 billion usd
3.353 billion usd,24.180 billion usd
6.228 billion usd,19.414 billion usd
5.921 billion usd,30.006 billion usd
