07-silvestri-market_value_jan_2020,04-iGMM-market_value__jan_1st_2020
2.486 billion usd,20.037 billion usd
3.031 billion usd,16.972 billion usd
3.632 billion usd,18.557 billion usd
3.873 billion usd,14.630 billion usd
,12.944 billion usd
2.734 billion usd,
2.387 billion usd,18.087 billion usd
,15.837 billion usd
2.756 billion usd,22.555 billion usd
2.951 billion usd,38.161 billion usd
,18.740 billion usd
3.403 billion usd,22.540 billion usd
3.693 billion usd,
,23.649 billion usd
3.476 billion usd,22.939 billion usd
3.288 billion usd,23.315 billion usd
1.887 billion usd,16.852 billion usd
2.999 billion usd,
4.557 billion usd,
3.661 billion usd,18.407 billion usd
2.458 billion usd,13.897 billion usd
4.047 billion usd,19.609 billion usd
,22.066 billion usd
4.647 billion usd,18.226 billion usd
3.173 billion usd,
3.149 billion usd,5.498 billion usd
0.589 billion usd,18.339 billion usd
0.645 billion usd,14.376 billion usd
1.254 billion usd,37.348 billion usd
2.153 billion usd,15.364 billion usd
4.061 billion usd,35.711 billion usd
2.307 billion usd,11.049 billion usd
2.984 billion usd,15.334 billion usd
3.222 billion usd,9.169 billion usd
3.964 billion usd,17.186 billion usd
1.531 billion usd,15.152 billion usd
13.756 billion usd,25.773 billion usd
1.915 billion usd,11.695 billion usd
2.285 billion usd,19.810 billion usd
2.427 billion usd,16.977 billion usd
2.500 billion usd,29.810 billion usd
3.666 billion usd,22.342 billion usd
3.492 billion usd,39.210 billion usd
3.928 billion usd,16.416 billion usd
2.108 billion usd,35.099 billion usd
,20.696 billion usd
1.658 billion usd,16.643 billion usd
2.981 billion usd,6.999 billion usd
3.440 billion usd,29.352 billion usd
2.484 billion usd,21.386 billion usd
3.788 billion usd,37.098 billion usd
2.400 billion usd,27.080 billion usd
1.692 billion usd,18.630 billion usd
6.198 billion usd,40.302 billion usd
2.299 billion usd,20.224 billion usd
2.719 billion usd,4.613 billion usd
,14.142 billion usd
1.562 billion usd,3.251 billion usd
,19.187 billion usd
3.769 billion usd,24.020 billion usd
3.731 billion usd,15.045 billion usd
3.340 billion usd,15.429 billion usd
4.102 billion usd,17.951 billion usd
,19.001 billion usd
1.681 billion usd,31.891 billion usd
2.734 billion usd,4.969 billion usd
2.174 billion usd,15.836 billion usd
3.148 billion usd,26.877 billion usd
2.474 billion usd,25.438 billion usd
,23.238 billion usd
4.908 billion usd,13.866 billion usd
2.658 billion usd,28.411 billion usd
2.155 billion usd,10.820 billion usd
1.884 billion usd,21.911 billion usd
9.680 billion usd,19.839 billion usd
0.551 billion usd,39.673 billion usd
0.486 billion usd,21.859 billion usd
1.461 billion usd,
1.985 billion usd,15.329 billion usd
,33.894 billion usd
2.668 billion usd,8.814 billion usd
2.321 billion usd,20.050 billion usd
1.542 billion usd,15.682 billion usd
2.547 billion usd,20.923 billion usd
,14.969 billion usd
4.402 billion usd,16.190 billion usd
3.355 billion usd,20.839 billion usd
0.744 billion usd,10.218 billion usd
1.680 billion usd,14.759 billion usd
1.459 billion usd,
1.671 billion usd,6.390 billion usd
1.956 billion usd,15.143 billion usd
2.855 billion usd,23.517 billion usd
,6.889 billion usd
2.643 billion usd,19.263 billion usd
4.564 billion usd,24.674 billion usd
2.614 billion usd,16.542 billion usd
1.430 billion usd,5.631 billion usd
5.159 billion usd,12.156 billion usd
3.615 billion usd,19.048 billion usd
3.863 billion usd,26.305 billion usd
2.812 billion usd,14.474 billion usd
0.860 billion usd,23.664 billion usd
,19.795 billion usd
,23.071 billion usd
3.189 billion usd,26.366 billion usd
2.465 billion usd,12.526 billion usd
3.353 billion usd,20.880 billion usd
6.650 billion usd,10.630 billion usd
5.055 billion usd,12.904 billion usd
,5.355 billion usd
1.491 billion usd,7.046 billion usd
4.409 billion usd,28.364 billion usd
2.826 billion usd,15.774 billion usd
0.830 billion usd,16.539 billion usd
0.787 billion usd,21.977 billion usd
3.137 billion usd,10.347 billion usd
2.153 billion usd,
1.589 billion usd,24.835 billion usd
2.776 billion usd,18.120 billion usd
,17.703 billion usd
3.838 billion usd,27.097 billion usd
1.402 billion usd,26.223 billion usd
1.800 billion usd,22.340 billion usd
2.859 billion usd,14.554 billion usd
1.290 billion usd,19.253 billion usd
1.234 billion usd,26.864 billion usd
2.613 billion usd,14.406 billion usd
1.575 billion usd,26.108 billion usd
5.101 billion usd,20.750 billion usd
2.449 billion usd,15.536 billion usd
4.824 billion usd,21.093 billion usd
,12.908 billion usd
,10.945 billion usd
2.081 billion usd,22.934 billion usd
,23.940 billion usd
2.467 billion usd,17.388 billion usd
2.097 billion usd,26.815 billion usd
,22.542 billion usd
2.896 billion usd,13.909 billion usd
2.118 billion usd,19.008 billion usd
3.399 billion usd,23.549 billion usd
3.784 billion usd,26.548 billion usd
3.904 billion usd,26.057 billion usd
4.048 billion usd,10.773 billion usd
,25.292 billion usd
1.863 billion usd,33.899 billion usd
3.556 billion usd,23.832 billion usd
,23.713 billion usd
2.233 billion usd,12.516 billion usd
3.439 billion usd,20.136 billion usd
,18.979 billion usd
,
1.729 billion usd,
2.795 billion usd,9.088 billion usd
1.817 billion usd,10.531 billion usd
3.292 billion usd,20.762 billion usd
2.325 billion usd,24.973 billion usd
0.645 billion usd,16.900 billion usd
14.605 billion usd,34.034 billion usd
0.898 billion usd,6.720 billion usd
,19.537 billion usd
1.107 billion usd,7.385 billion usd
,20.739 billion usd
2.514 billion usd,12.972 billion usd
1.029 billion usd,21.918 billion usd
,19.153 billion usd
2.957 billion usd,22.579 billion usd
1.161 billion usd,26.625 billion usd
2.181 billion usd,10.352 billion usd
,15.173 billion usd
3.015 billion usd,19.160 billion usd
1.847 billion usd,16.603 billion usd
0.980 billion usd,26.749 billion usd
0.867 billion usd,22.766 billion usd
,28.869 billion usd
1.945 billion usd,25.459 billion usd
7.101 billion usd,12.967 billion usd
1.464 billion usd,22.219 billion usd
2.794 billion usd,13.801 billion usd
1.851 billion usd,18.659 billion usd
,15.322 billion usd
,
,
,23.900 billion usd
,8.966 billion usd
,
,13.381 billion usd
,9.306 billion usd
,25.637 billion usd
,19.014 billion usd
,10.135 billion usd
,14.699 billion usd
,22.868 billion usd
,21.455 billion usd
,15.783 billion usd
,16.346 billion usd
,6.351 billion usd
,23.008 billion usd
,
,10.161 billion usd
,10.372 billion usd
,8.741 billion usd
,18.468 billion usd
,15.224 billion usd
,2.123 billion usd
,20.676 billion usd
,15.058 billion usd
,
,23.870 billion usd
,10.495 billion usd
,15.516 billion usd
,36.577 billion usd
,12.494 billion usd
,4.393 billion usd
,18.589 billion usd
,1.753 billion usd
,16.536 billion usd
,9.200 billion usd
,17.334 billion usd
,9.339 billion usd
,14.358 billion usd
,16.859 billion usd
,38.669 billion usd
,22.070 billion usd
,2.607 billion usd
,28.227 billion usd
,15.043 billion usd
,4.853 billion usd
,
,15.972 billion usd
,
,17.388 billion usd
,19.744 billion usd
,7.860 billion usd
,14.410 billion usd
,5.538 billion usd
,19.928 billion usd
,15.771 billion usd
,22.622 billion usd
,21.884 billion usd
,16.132 billion usd
,11.092 billion usd
,30.742 billion usd
,18.068 billion usd
,11.807 billion usd
,47.927 billion usd
,18.424 billion usd
,15.449 billion usd
,15.699 billion usd
,8.575 billion usd
,19.650 billion usd
,12.049 billion usd
,21.099 billion usd
,4.440 billion usd
,26.117 billion usd
,10.907 billion usd
,14.194 billion usd
,19.318 billion usd
,6.300 billion usd
,24.468 billion usd
,
,
,
,27.701 billion usd
,15.609 billion usd
,11.141 billion usd
,15.924 billion usd
,10.515 billion usd
,11.912 billion usd
,13.640 billion usd
,5.604 billion usd
,15.430 billion usd
,8.152 billion usd
,25.140 billion usd
,12.892 billion usd
,3.632 billion usd
,12.647 billion usd
,17.760 billion usd
,24.122 billion usd
,12.050 billion usd
,14.661 billion usd
,14.488 billion usd
,3.226 billion usd
,9.836 billion usd
,21.357 billion usd
,12.375 billion usd
,19.477 billion usd
,3.976 billion usd
,15.962 billion usd
,17.227 billion usd
,26.155 billion usd
,11.172 billion usd
,10.703 billion usd
,17.670 billion usd
,19.801 billion usd
,17.350 billion usd
,5.410 billion usd
,16.386 billion usd
,9.300 billion usd
,24.102 billion usd
,17.369 billion usd
,14.263 billion usd
,
,4.769 billion usd
,
,12.794 billion usd
,
,13.714 billion usd
,
,6.234 billion usd
,20.714 billion usd
,13.837 billion usd
,14.066 billion usd
,18.218 billion usd
,14.028 billion usd
,9.299 billion usd
,12.668 billion usd
,
,19.113 billion usd
,17.956 billion usd
,8.674 billion usd
,22.203 billion usd
,12.172 billion usd
,22.328 billion usd
,11.469 billion usd
,8.214 billion usd
,14.828 billion usd
,6.647 billion usd
,17.833 billion usd
,6.060 billion usd
,13.869 billion usd
,
,8.745 billion usd
,9.947 billion usd
,14.425 billion usd
,26.156 billion usd
,12.443 billion usd
,
,12.083 billion usd
,19.195 billion usd
,7.808 billion usd
,17.420 billion usd
,12.628 billion usd
,34.556 billion usd
,16.288 billion usd
,19.268 billion usd
,22.290 billion usd
,17.603 billion usd
,0.267 billion usd
,
,
,23.788 billion usd
,10.606 billion usd
,9.489 billion usd
,15.248 billion usd
,11.497 billion usd
,18.699 billion usd
,19.104 billion usd
,
,23.062 billion usd
,11.854 billion usd
,15.626 billion usd
,17.928 billion usd
,10.785 billion usd
,12.928 billion usd
,13.732 billion usd
,
,19.486 billion usd
,14.759 billion usd
,14.093 billion usd
,11.657 billion usd
,8.893 billion usd
,11.136 billion usd
,
,45.569 billion usd
,6.163 billion usd
,6.792 billion usd
,17.906 billion usd
,10.568 billion usd
,13.733 billion usd
,15.299 billion usd
,11.962 billion usd
,
,12.928 billion usd
,9.756 billion usd
,13.922 billion usd
,13.938 billion usd
,
,11.439 billion usd
,12.798 billion usd
,5.051 billion usd
,12.842 billion usd
,22.542 billion usd
,0.158 billion usd
,11.312 billion usd
,10.735 billion usd
,10.101 billion usd
,16.814 billion usd
,9.198 billion usd
,17.530 billion usd
,
,13.982 billion usd
,13.638 billion usd
,4.266 billion usd
,11.391 billion usd
,13.130 billion usd
,
,11.613 billion usd
,10.448 billion usd
,10.378 billion usd
,10.824 billion usd
,11.397 billion usd
,21.840 billion usd
,9.547 billion usd
,14.832 billion usd
,15.906 billion usd
,14.957 billion usd
,12.993 billion usd
,14.853 billion usd
,9.117 billion usd
,
,16.879 billion usd
,10.379 billion usd
,17.784 billion usd
,13.411 billion usd
,13.796 billion usd
,10.971 billion usd
,14.074 billion usd
,15.235 billion usd
,8.319 billion usd
,8.700 billion usd
,12.178 billion usd
,8.117 billion usd
,12.007 billion usd
,12.308 billion usd
,5.735 billion usd
,4.438 billion usd
,8.300 billion usd
,21.758 billion usd
,13.367 billion usd
,18.260 billion usd
,17.273 billion usd
,9.606 billion usd
,
,10.168 billion usd
,16.524 billion usd
,8.271 billion usd
,16.594 billion usd
,17.504 billion usd
,11.739 billion usd
,14.030 billion usd
,9.090 billion usd
,7.188 billion usd
,7.427 billion usd
,11.126 billion usd
,8.203 billion usd
,15.945 billion usd
,1.354 billion usd
,12.534 billion usd
,7.197 billion usd
,5.604 billion usd
,
,13.897 billion usd
,12.046 billion usd
,11.115 billion usd
,12.163 billion usd
,16.873 billion usd
,10.787 billion usd
,7.527 billion usd
,8.899 billion usd
,9.868 billion usd
,13.404 billion usd
,13.156 billion usd
,13.844 billion usd
,8.388 billion usd
,13.578 billion usd
,13.003 billion usd
,9.261 billion usd
,
,5.295 billion usd
,12.494 billion usd
,9.924 billion usd
,18.974 billion usd
,18.644 billion usd
,20.412 billion usd
,3.067 billion usd
,16.828 billion usd
,6.933 billion usd
,21.620 billion usd
,14.012 billion usd
,11.897 billion usd
,14.824 billion usd
,3.760 billion usd
,13.429 billion usd
,10.590 billion usd
,6.783 billion usd
,24.306 billion usd
,9.776 billion usd
,15.331 billion usd
,13.104 billion usd
,8.854 billion usd
,7.317 billion usd
,5.911 billion usd
,11.894 billion usd
,20.547 billion usd
,10.814 billion usd
,17.434 billion usd
,7.059 billion usd
,
,1.627 billion usd
,18.383 billion usd
,5.155 billion usd
,11.894 billion usd
,29.510 billion usd
,19.073 billion usd
,16.072 billion usd
,22.879 billion usd
,
,
,1.644 billion usd
,21.055 billion usd
,5.218 billion usd
,7.087 billion usd
,5.210 billion usd
,13.404 billion usd
,19.043 billion usd
,10.914 billion usd
,
,9.695 billion usd
,21.196 billion usd
,2.950 billion usd
,11.798 billion usd
,
,11.972 billion usd
,10.541 billion usd
,14.728 billion usd
,16.001 billion usd
,15.051 billion usd
,4.969 billion usd
,9.570 billion usd
,19.623 billion usd
,14.321 billion usd
,15.764 billion usd
,7.314 billion usd
,14.286 billion usd
,
,13.304 billion usd
,22.721 billion usd
,20.544 billion usd
,14.455 billion usd
,14.850 billion usd
,10.573 billion usd
,13.200 billion usd
,8.832 billion usd
,14.834 billion usd
,10.528 billion usd
,14.876 billion usd
,3.048 billion usd
,12.118 billion usd
,5.834 billion usd
,19.835 billion usd
,16.951 billion usd
,17.005 billion usd
,12.357 billion usd
,12.543 billion usd
,11.537 billion usd
,9.869 billion usd
,
,20.870 billion usd
,12.881 billion usd
,12.362 billion usd
,17.404 billion usd
,2.949 billion usd
,
,11.728 billion usd
,13.807 billion usd
,14.020 billion usd
,16.704 billion usd
,16.961 billion usd
,10.574 billion usd
,19.790 billion usd
,19.210 billion usd
,11.746 billion usd
,7.366 billion usd
,8.253 billion usd
,16.730 billion usd
,12.834 billion usd
,18.510 billion usd
,13.031 billion usd
,3.080 billion usd
,8.260 billion usd
,11.041 billion usd
,19.065 billion usd
,5.523 billion usd
,10.347 billion usd
,17.432 billion usd
,14.398 billion usd
,8.805 billion usd
,14.823 billion usd
,12.240 billion usd
,6.875 billion usd
,11.248 billion usd
,24.832 billion usd
,13.057 billion usd
,29.337 billion usd
,10.498 billion usd
,11.833 billion usd
,2.278 billion usd
,19.275 billion usd
,6.589 billion usd
,6.601 billion usd
,16.704 billion usd
,9.381 billion usd
,
,
,
,
,10.831 billion usd
,14.720 billion usd
,7.188 billion usd
,14.192 billion usd
,10.521 billion usd
,7.694 billion usd
,
,38.433 billion usd
,29.829 billion usd
,10.978 billion usd
,11.537 billion usd
,17.247 billion usd
,11.824 billion usd
,9.469 billion usd
,14.370 billion usd
,4.663 billion usd
,0.925 billion usd
,10.622 billion usd
,14.294 billion usd
,6.580 billion usd
,13.416 billion usd
,5.811 billion usd
,9.516 billion usd
,0.625 billion usd
,11.750 billion usd
,
,6.955 billion usd
,7.133 billion usd
,12.705 billion usd
,6.415 billion usd
,13.656 billion usd
,13.627 billion usd
,5.596 billion usd
,22.727 billion usd
,7.517 billion usd
,4.175 billion usd
,8.571 billion usd
,11.094 billion usd
,15.060 billion usd
,14.680 billion usd
,18.001 billion usd
,8.920 billion usd
,34.413 billion usd
,16.282 billion usd
,8.501 billion usd
,14.456 billion usd
,10.692 billion usd
,10.657 billion usd
,8.074 billion usd
,12.111 billion usd
,14.598 billion usd
,8.412 billion usd
,6.830 billion usd
,9.786 billion usd
,6.812 billion usd
,11.442 billion usd
,10.717 billion usd
,
,13.988 billion usd
,13.885 billion usd
,8.656 billion usd
,16.696 billion usd
,8.471 billion usd
,23.914 billion usd
,16.359 billion usd
,11.291 billion usd
,6.027 billion usd
,16.332 billion usd
,10.843 billion usd
,8.508 billion usd
,10.782 billion usd
,9.443 billion usd
,9.238 billion usd
,14.749 billion usd
,9.338 billion usd
,9.408 billion usd
,11.569 billion usd
,7.946 billion usd
,7.448 billion usd
,5.051 billion usd
,9.158 billion usd
,10.983 billion usd
,16.587 billion usd
,14.662 billion usd
,6.030 billion usd
,13.000 billion usd
,10.820 billion usd
,10.248 billion usd
,
,3.075 billion usd
,8.444 billion usd
,13.067 billion usd
,
,19.001 billion usd
,8.821 billion usd
,19.584 billion usd
,10.053 billion usd
,9.031 billion usd
,10.267 billion usd
,15.587 billion usd
,19.268 billion usd
,15.841 billion usd
,
,5.459 billion usd
,11.419 billion usd
,15.144 billion usd
,6.091 billion usd
,10.298 billion usd
,7.909 billion usd
,11.744 billion usd
,8.616 billion usd
,14.941 billion usd
,6.451 billion usd
,15.856 billion usd
,17.256 billion usd
,8.100 billion usd
,
,1.669 billion usd
,16.048 billion usd
,10.482 billion usd
,13.246 billion usd
,
,13.626 billion usd
,7.742 billion usd
,
,11.880 billion usd
,8.943 billion usd
,6.199 billion usd
,5.965 billion usd
,12.579 billion usd
,5.731 billion usd
,
,13.571 billion usd
,11.273 billion usd
,9.806 billion usd
,5.338 billion usd
,4.798 billion usd
,8.688 billion usd
,10.539 billion usd
,9.405 billion usd
,10.720 billion usd
,
,1.021 billion usd
,13.909 billion usd
,13.543 billion usd
,
,
,12.062 billion usd
,
,12.764 billion usd
,12.237 billion usd
,9.100 billion usd
,13.302 billion usd
,8.141 billion usd
,18.200 billion usd
,10.759 billion usd
,
,11.900 billion usd
,13.721 billion usd
,12.288 billion usd
,10.434 billion usd
,13.987 billion usd
,
,8.217 billion usd
,7.993 billion usd
,11.197 billion usd
,
,9.530 billion usd
,7.612 billion usd
,8.907 billion usd
,11.701 billion usd
,11.262 billion usd
,13.244 billion usd
,9.820 billion usd
,8.904 billion usd
,8.767 billion usd
,10.391 billion usd
,5.224 billion usd
,8.649 billion usd
,8.242 billion usd
,5.662 billion usd
,9.391 billion usd
,12.215 billion usd
,4.495 billion usd
,
,9.831 billion usd
,8.541 billion usd
,8.780 billion usd
,14.230 billion usd
,10.718 billion usd
,9.809 billion usd
,6.854 billion usd
,12.537 billion usd
,11.291 billion usd
,13.790 billion usd
,8.891 billion usd
,11.987 billion usd
,18.259 billion usd
,9.682 billion usd
,6.834 billion usd
,9.201 billion usd
,12.800 billion usd
,11.288 billion usd
,9.815 billion usd
,10.480 billion usd
,12.149 billion usd
,11.853 billion usd
,5.709 billion usd
,14.315 billion usd
,15.273 billion usd
,10.248 billion usd
,12.576 billion usd
,4.521 billion usd
,5.860 billion usd
,7.326 billion usd
,10.862 billion usd
,11.220 billion usd
,14.657 billion usd
,12.546 billion usd
,9.870 billion usd
,12.384 billion usd
,7.220 billion usd
,6.708 billion usd
,8.007 billion usd
,9.598 billion usd
,13.404 billion usd
,8.254 billion usd
,7.379 billion usd
,17.060 billion usd
,13.184 billion usd
,17.138 billion usd
,7.310 billion usd
,12.238 billion usd
,11.430 billion usd
,22.778 billion usd
,12.624 billion usd
,5.154 billion usd
,10.427 billion usd
,7.678 billion usd
,
,10.241 billion usd
,10.930 billion usd
,22.266 billion usd
,12.227 billion usd
,4.531 billion usd
,22.703 billion usd
,6.979 billion usd
,9.713 billion usd
,14.581 billion usd
,10.026 billion usd
,12.023 billion usd
,8.860 billion usd
,9.720 billion usd
,13.619 billion usd
,6.061 billion usd
,2.926 billion usd
,21.438 billion usd
,11.141 billion usd
,4.154 billion usd
,
,6.211 billion usd
,0.783 billion usd
,9.087 billion usd
,9.869 billion usd
,
,
,0.889 billion usd
,2.354 billion usd
,8.631 billion usd
,21.626 billion usd
,9.606 billion usd
,9.276 billion usd
,9.746 billion usd
,8.683 billion usd
,3.573 billion usd
,
,10.071 billion usd
,11.491 billion usd
,8.486 billion usd
,3.494 billion usd
,10.040 billion usd
,10.104 billion usd
,2.314 billion usd
,4.007 billion usd
,7.776 billion usd
,6.990 billion usd
,9.075 billion usd
,13.843 billion usd
,11.808 billion usd
,2.094 billion usd
,
,2.351 billion usd
,9.647 billion usd
,15.006 billion usd
,15.841 billion usd
,7.496 billion usd
,8.961 billion usd
,11.799 billion usd
,13.138 billion usd
,9.219 billion usd
,14.798 billion usd
,5.374 billion usd
,2.556 billion usd
,14.430 billion usd
,7.726 billion usd
,5.732 billion usd
,
,7.677 billion usd
,
,
,10.715 billion usd
,5.463 billion usd
,
,4.844 billion usd
,20.510 billion usd
,
,8.210 billion usd
,
,5.056 billion usd
,5.099 billion usd
,
,1.420 billion usd
,9.648 billion usd
,4.503 billion usd
,6.622 billion usd
,9.515 billion usd
,11.576 billion usd
,9.596 billion usd
,9.609 billion usd
,4.614 billion usd
,12.374 billion usd
,8.152 billion usd
,1.390 billion usd
,7.780 billion usd
,6.601 billion usd
,2.433 billion usd
,14.132 billion usd
,21.358 billion usd
,3.182 billion usd
,
,7.814 billion usd
,6.152 billion usd
,9.784 billion usd
,10.261 billion usd
,1.515 billion usd
,6.062 billion usd
,
,8.338 billion usd
,12.284 billion usd
,4.468 billion usd
,9.367 billion usd
,8.917 billion usd
,6.698 billion usd
,2.915 billion usd
,9.269 billion usd
,24.153 billion usd
,6.432 billion usd
,9.612 billion usd
,8.366 billion usd
,
,2.451 billion usd
,3.529 billion usd
,14.483 billion usd
,
,9.246 billion usd
,9.320 billion usd
,8.696 billion usd
,8.602 billion usd
,1.336 billion usd
,21.151 billion usd
,12.945 billion usd
,10.100 billion usd
,5.742 billion usd
,11.723 billion usd
,2.426 billion usd
,2.068 billion usd
,
,
,10.940 billion usd
,11.334 billion usd
,4.504 billion usd
,11.850 billion usd
,6.126 billion usd
,13.193 billion usd
,8.954 billion usd
,19.844 billion usd
,5.841 billion usd
,11.166 billion usd
,5.392 billion usd
,9.849 billion usd
,11.601 billion usd
,8.067 billion usd
,3.423 billion usd
,8.445 billion usd
,8.454 billion usd
,8.016 billion usd
,
,7.990 billion usd
,14.275 billion usd
,11.274 billion usd
,7.547 billion usd
,16.830 billion usd
,5.320 billion usd
,12.150 billion usd
,5.627 billion usd
,8.959 billion usd
,7.431 billion usd
,13.134 billion usd
,2.547 billion usd
,7.447 billion usd
,6.895 billion usd
,9.521 billion usd
,1.021 billion usd
,
,9.004 billion usd
,5.478 billion usd
,0.428 billion usd
,7.104 billion usd
,7.952 billion usd
,10.681 billion usd
,13.625 billion usd
,13.766 billion usd
,17.283 billion usd
,10.112 billion usd
,
,9.162 billion usd
,3.733 billion usd
,
,0.037 billion usd
,4.028 billion usd
,12.425 billion usd
,10.233 billion usd
,4.628 billion usd
,6.697 billion usd
,0.028 billion usd
,5.710 billion usd
,9.015 billion usd
,4.320 billion usd
,11.242 billion usd
,9.849 billion usd
,15.297 billion usd
,
,11.441 billion usd
,10.825 billion usd
,8.267 billion usd
,7.942 billion usd
,7.500 billion usd
,6.576 billion usd
,13.628 billion usd
,6.682 billion usd
,4.518 billion usd
,10.459 billion usd
,5.714 billion usd
,10.505 billion usd
,7.253 billion usd
,
,7.960 billion usd
,7.119 billion usd
,2.265 billion usd
,9.479 billion usd
,9.995 billion usd
,5.270 billion usd
,
,22.188 billion usd
,6.292 billion usd
,
,5.800 billion usd
,3.335 billion usd
,7.709 billion usd
,3.855 billion usd
,3.904 billion usd
,10.985 billion usd
,7.182 billion usd
,8.121 billion usd
,6.816 billion usd
,8.837 billion usd
,8.535 billion usd
,6.957 billion usd
,9.842 billion usd
,9.662 billion usd
,7.906 billion usd
,9.924 billion usd
,4.167 billion usd
,12.339 billion usd
,10.007 billion usd
,3.414 billion usd
,5.686 billion usd
,
,10.412 billion usd
,3.740 billion usd
,
,13.215 billion usd
,8.518 billion usd
,15.019 billion usd
,9.741 billion usd
,7.624 billion usd
,11.344 billion usd
,14.321 billion usd
,
,5.687 billion usd
,3.777 billion usd
,1.874 billion usd
,4.907 billion usd
,
,
,8.208 billion usd
,7.545 billion usd
,10.281 billion usd
,5.603 billion usd
,6.592 billion usd
,8.664 billion usd
,1.627 billion usd
,16.615 billion usd
,4.682 billion usd
,10.770 billion usd
,8.946 billion usd
,10.120 billion usd
,3.044 billion usd
,8.477 billion usd
,6.647 billion usd
,15.334 billion usd
,12.197 billion usd
,5.370 billion usd
,6.396 billion usd
,4.763 billion usd
,10.935 billion usd
,3.469 billion usd
,8.667 billion usd
,8.341 billion usd
,9.328 billion usd
,4.364 billion usd
,4.517 billion usd
,5.108 billion usd
,10.000 billion usd
,6.309 billion usd
,10.328 billion usd
,6.582 billion usd
,6.145 billion usd
,10.798 billion usd
,8.876 billion usd
,8.046 billion usd
,11.262 billion usd
,6.393 billion usd
,2.214 billion usd
,5.347 billion usd
,10.282 billion usd
,12.772 billion usd
,
,8.401 billion usd
,
,11.289 billion usd
,6.309 billion usd
,5.080 billion usd
,9.132 billion usd
,6.715 billion usd
,7.334 billion usd
,8.104 billion usd
,2.196 billion usd
,8.411 billion usd
,3.537 billion usd
,8.826 billion usd
,4.145 billion usd
,15.416 billion usd
,7.948 billion usd
,11.412 billion usd
,2.169 billion usd
,4.103 billion usd
,6.089 billion usd
,11.052 billion usd
,
,9.518 billion usd
,11.873 billion usd
,10.460 billion usd
,7.635 billion usd
,6.066 billion usd
,6.227 billion usd
,10.717 billion usd
,7.848 billion usd
,7.627 billion usd
,4.395 billion usd
,
,9.745 billion usd
,5.468 billion usd
,
,11.215 billion usd
,20.787 billion usd
,5.675 billion usd
,14.728 billion usd
,10.313 billion usd
,7.868 billion usd
,11.433 billion usd
,7.122 billion usd
,5.547 billion usd
,11.626 billion usd
,4.433 billion usd
,9.049 billion usd
,
,12.553 billion usd
,
,0.111 billion usd
,4.808 billion usd
,2.752 billion usd
,
,11.712 billion usd
,8.202 billion usd
,10.332 billion usd
,7.427 billion usd
,10.588 billion usd
,6.103 billion usd
,7.054 billion usd
,9.682 billion usd
,5.683 billion usd
,3.328 billion usd
,6.103 billion usd
,9.069 billion usd
,1.271 billion usd
,5.779 billion usd
,9.190 billion usd
,4.022 billion usd
,4.312 billion usd
,4.668 billion usd
,
,7.122 billion usd
,8.814 billion usd
,6.541 billion usd
,2.628 billion usd
,3.575 billion usd
,4.009 billion usd
,12.794 billion usd
,10.228 billion usd
,9.362 billion usd
,6.050 billion usd
,7.509 billion usd
,3.764 billion usd
,14.826 billion usd
,10.109 billion usd
,8.799 billion usd
,2.912 billion usd
,10.893 billion usd
,7.380 billion usd
,6.968 billion usd
,9.349 billion usd
,5.805 billion usd
,1.012 billion usd
,6.402 billion usd
,4.817 billion usd
,12.517 billion usd
,6.979 billion usd
,11.645 billion usd
,7.629 billion usd
,
,8.371 billion usd
,6.936 billion usd
,7.046 billion usd
,10.440 billion usd
,1.057 billion usd
,8.363 billion usd
,9.319 billion usd
,
,7.920 billion usd
,6.115 billion usd
,
,
,
,4.087 billion usd
,11.212 billion usd
,
,12.666 billion usd
,5.086 billion usd
,6.524 billion usd
,7.080 billion usd
,2.839 billion usd
,5.847 billion usd
,3.426 billion usd
,11.959 billion usd
,6.235 billion usd
,
,0.996 billion usd
,
,6.791 billion usd
,7.619 billion usd
,8.083 billion usd
,7.120 billion usd
,
,5.682 billion usd
,7.046 billion usd
,
,2.166 billion usd
,7.967 billion usd
,5.970 billion usd
,5.906 billion usd
,2.647 billion usd
,8.374 billion usd
,3.820 billion usd
,6.758 billion usd
,12.875 billion usd
,7.620 billion usd
,
,
,7.288 billion usd
,6.687 billion usd
,3.102 billion usd
,7.080 billion usd
,6.893 billion usd
,
,
,8.305 billion usd
,6.378 billion usd
,7.554 billion usd
,6.202 billion usd
,
,
,5.096 billion usd
,9.149 billion usd
,9.880 billion usd
,7.959 billion usd
,
,
,
,
,
,
,
,5.877 billion usd
,4.515 billion usd
,12.014 billion usd
,9.822 billion usd
,5.431 billion usd
,4.919 billion usd
,5.092 billion usd
,8.541 billion usd
,
,1.510 billion usd
,13.908 billion usd
,7.417 billion usd
,6.960 billion usd
,12.395 billion usd
,6.680 billion usd
,8.652 billion usd
,
,9.392 billion usd
,8.984 billion usd
,2.148 billion usd
,7.058 billion usd
,14.523 billion usd
,5.901 billion usd
,9.277 billion usd
,8.914 billion usd
,1.751 billion usd
,1.871 billion usd
,6.731 billion usd
,7.351 billion usd
,5.997 billion usd
,7.749 billion usd
,3.580 billion usd
,5.495 billion usd
,9.499 billion usd
,8.646 billion usd
,8.864 billion usd
,7.758 billion usd
,4.685 billion usd
,11.043 billion usd
,7.545 billion usd
,4.498 billion usd
,6.115 billion usd
,7.636 billion usd
