00-avengers-headquarters_continent
americas
asia
americas
americas
americas
americas
americas
americas
asia
americas
americas
americas
europe
americas
americas
asia
americas
americas
americas
asia
americas
americas
americas
europe
americas
asia
europe
americas
europe
asia
americas
americas
americas
europe
asia
europe
americas
americas
americas
asia
americas
europe
americas
americas
americas
asia
americas
americas
americas
americas
europe
americas
americas
americas
americas
americas
asia
americas
americas
americas
asia
americas
americas
americas
asia
asia
americas
asia
europe
americas
americas
europe
europe
oceania
americas
americas
americas
americas
europe
europe
americas
asia
americas
asia
americas
americas
asia
americas
asia
europe
americas
europe
europe
americas
europe
asia
americas
europe
asia
americas
europe
europe
americas
europe
americas
americas
europe
americas
asia
americas
americas
europe
americas
americas
americas
americas
asia
americas
asia
americas
asia
americas
americas
europe
americas
americas
americas
europe
asia
oceania
americas
europe
americas
europe
asia
europe
americas
americas
americas
americas
americas
europe
americas
americas
americas
asia
americas
americas
americas
europe
americas
europe
asia
asia
europe
asia
europe
americas
asia
asia
americas
europe
asia
oceania
europe
americas
europe
americas
americas
americas
europe
europe
americas
americas
europe
asia
americas
americas
asia
americas
americas
europe
europe
europe
americas
asia
americas
americas
americas
europe
americas
americas
americas
asia
americas
americas
americas
europe
europe
europe
europe
americas
americas
europe
americas
europe
europe
europe
americas
asia
asia
asia
americas
americas
americas
europe
asia
americas
americas
americas
europe
asia
europe
americas
asia
europe
asia
asia
asia
europe
americas
asia
americas
oceania
americas
americas
americas
europe
europe
europe
asia
americas
americas
americas
asia
asia
asia
asia
americas
europe
americas
europe
europe
americas
europe
asia
americas
americas
americas
europe
europe
oceania
americas
americas
europe
americas
americas
asia
americas
europe
asia
europe
asia
americas
europe
asia
asia
europe
americas
europe
asia
americas
americas
americas
asia
americas
asia
americas
europe
asia
asia
americas
europe
americas
americas
asia
americas
asia
americas
asia
americas
asia
americas
asia
americas
americas
europe
americas
americas
asia
asia
americas
europe
europe
europe
americas
europe
americas
asia
europe
europe
asia
europe
asia
europe
oceania
americas
asia
europe
europe
oceania
americas
americas
oceania
asia
americas
oceania
europe
americas
americas
europe
americas
asia
americas
americas
europe
asia
europe
asia
americas
americas
asia
europe
americas
americas
asia
americas
europe
americas
europe
asia
europe
asia
asia
europe
asia
americas
asia
europe
europe
asia
europe
asia
europe
americas
asia
americas
americas
asia
asia
asia
asia
europe
americas
americas
asia
asia
europe
europe
americas
americas
asia
americas
asia
asia
europe
asia
asia
americas
americas
asia
europe
americas
asia
americas
americas
asia
europe
americas
asia
americas
americas
asia
americas
americas
americas
americas
asia
asia
europe
americas
americas
americas
europe
oceania
europe
americas
asia
americas
europe
asia
europe
europe
americas
americas
asia
asia
americas
americas
europe
americas
americas
americas
asia
americas
americas
europe
americas
europe
asia
europe
americas
asia
americas
americas
americas
americas
europe
asia
americas
americas
americas
americas
americas
americas
americas
europe
americas
americas
oceania
americas
americas
americas
americas
americas
asia
americas
asia
americas
americas
americas
europe
asia
asia
americas
asia
americas
asia
americas
asia
americas
americas
europe
europe
europe
americas
asia
americas
americas
americas
americas
europe
americas
europe
americas
europe
asia
asia
americas
americas
americas
asia
europe
americas
asia
americas
americas
americas
americas
americas
europe
americas
asia
americas
asia
europe
americas
asia
asia
europe
americas
europe
americas
americas
asia
asia
asia
americas
americas
europe
americas
americas
asia
asia
europe
americas
americas
asia
asia
americas
americas
europe
europe
europe
asia
europe
americas
europe
asia
americas
asia
americas
asia
asia
americas
europe
americas
asia
americas
americas
asia
americas
americas
asia
asia
europe
asia
europe
asia
europe
europe
europe
asia
americas
europe
europe
americas
asia
americas
americas
americas
americas
asia
asia
europe
asia
americas
americas
europe
asia
americas
europe
asia
asia
europe
americas
americas
asia
americas
americas
asia
oceania
americas
europe
americas
americas
americas
americas
americas
europe
europe
americas
americas
americas
americas
europe
asia
asia
europe
americas
americas
asia
americas
europe
americas
asia
americas
americas
asia
americas
americas
americas
americas
asia
americas
oceania
asia
americas
americas
americas
americas
asia
americas
asia
americas
americas
americas
europe
europe
europe
asia
americas
africa
americas
oceania
americas
asia
americas
asia
americas
europe
oceania
europe
americas
