00-avengers-total_liabilities_in_usd
"8,836 million usd"
"1,515 million usd"
"3,862 million usd"
201 million usd
644 million usd
"339,310 million usd"
"1,030 million usd"
"15,853 million usd"
"12,111 million usd"
"3,320 million usd"
"6,974 million usd"
"345,460 million usd"
"6,308 million usd"
"2,637 million usd"
400 million usd
"6,321 million usd"
"5,694 million usd"
"1,959 million usd"
336 million usd
"17,046 million usd"
"3,499 million usd"
750 million usd
"5,006 million usd"
""
"46,153 million usd"
"11,762 million usd"
"11,968 million usd"
"6,922 million usd"
"30,443 million usd"
"27,516 million usd"
"11,701 million usd"
"13,629 million usd"
""
"104,130 million usd"
"4,940 million usd"
"1,307 million usd"
"8,982 million usd"
"4,224 million usd"
"1,631 million usd"
"12,074 million usd"
"5,692 million usd"
"21,485 million usd"
"295,090 million usd"
"20,698 million usd"
483 million usd
"36,915 million usd"
"8,582 million usd"
"489,590 million usd"
"4,003 million usd"
"4,871 million usd"
457 million usd
"11,414 million usd"
"1,699 million usd"
"14,577 million usd"
"15,439 million usd"
"14,681 million usd"
"2,391 million usd"
"6,660 million usd"
"36,913 million usd"
414 million usd
"15,961 million usd"
"9,639 million usd"
104 million usd
"41,198 million usd"
806 million usd
"7,529 million usd"
"1,119 million usd"
""
"11,896 million usd"
"12,490 million usd"
"14,714 million usd"
"38,070 million usd"
"13,592 million usd"
"4,938 million usd"
"16,360 million usd"
"2,469 million usd"
195 million usd
"1,446 million usd"
"480,290 million usd"
"8,078 million usd"
83 million usd
"2,623 million usd"
""
"1,943 million usd"
"1,374 million usd"
"10,808 million usd"
961 million usd
"2,488 million usd"
"5,346 million usd"
"3,209 million usd"
"5,863 million usd"
"70,260 million usd"
817 million usd
"12,476 million usd"
"2,018 million usd"
"17,437 million usd"
"1,642 million usd"
"4,070 million usd"
"8,427 million usd"
"3,601 million usd"
657 million usd
"1,688 million usd"
"1,494 million usd"
"9,931 million usd"
"367,030 million usd"
"41,968 million usd"
241 million usd
573 million usd
"10,169 million usd"
544 million usd
"9,473 million usd"
781 million usd
"5,557 million usd"
"4,186 million usd"
733 million usd
"1,582 million usd"
"5,911 million usd"
"9,083 million usd"
"5,947 million usd"
"10,479 million usd"
""
"4,848 million usd"
""
""
"72,387 million usd"
"3,297 million usd"
"4,682 million usd"
"17,077 million usd"
"19,080 million usd"
341 million usd
"8,970 million usd"
"5,702 million usd"
"8,271 million usd"
"41,661 million usd"
"40,422 million usd"
"2,883 million usd"
"17,790 million usd"
"4,169 million usd"
"6,765 million usd"
"7,335 million usd"
"143,940 million usd"
"3,694 million usd"
"10,029 million usd"
163 million usd
"8,945 million usd"
""
"8,360 million usd"
"86,719 million usd"
"2,398 million usd"
""
"15,994 million usd"
"53,830 million usd"
"6,427 million usd"
353 million usd
"41,086 million usd"
"1,434 million usd"
"6,197 million usd"
"4,888 million usd"
"1,721 million usd"
"13,386 million usd"
"26,252 million usd"
"8,678 million usd"
263 million usd
573 million usd
598 million usd
"2,275 million usd"
"85,345 million usd"
"1,073 million usd"
"5,249 million usd"
"73,782 million usd"
"4,617 million usd"
"23,984 million usd"
""
"29,745 million usd"
"6,146 million usd"
"9,101 million usd"
""
"6,537 million usd"
"12,464 million usd"
"19,130 million usd"
"4,421 million usd"
"1,388 million usd"
"179,530 million usd"
"2,120 million usd"
"16,102 million usd"
"46,804 million usd"
"51,020 million usd"
"170,830 million usd"
"55,033 million usd"
"2,837 million usd"
"46,474 million usd"
"4,177 million usd"
"4,205 million usd"
"17,584 million usd"
"14,412 million usd"
"6,226 million usd"
"9,459 million usd"
"7,800 million usd"
"22,126 million usd"
"7,802 million usd"
"8,958 million usd"
"1,571 million usd"
"202,380 million usd"
"3,423 million usd"
"4,260 million usd"
512 million usd
"1,528 million usd"
"1,131 million usd"
"1,678 million usd"
617 million usd
"2,250 million usd"
"2,499 million usd"
"11,717 million usd"
"2,407 million usd"
"12,426 million usd"
"6,413 million usd"
""
""
"1,962 million usd"
"12,552 million usd"
"4,723 million usd"
"6,428 million usd"
"5,796 million usd"
"1,867 million usd"
"3,156 million usd"
"1,810 million usd"
"8,214 million usd"
"4,830 million usd"
"12,611 million usd"
112 million usd
391 million usd
"1,708 million usd"
566 million usd
8 million usd
"1,421 million usd"
"1,463 million usd"
"54,552 million usd"
"120,530 million usd"
"2,577 million usd"
"6,537 million usd"
"4,532 million usd"
0 million usd
"3,527 million usd"
"6,714 million usd"
"9,988 million usd"
""
"22,310 million usd"
"13,485 million usd"
"1,657 million usd"
"66,921 million usd"
"10,098 million usd"
"32,640 million usd"
"1,913 million usd"
"4,978 million usd"
"3,367 million usd"
"1,446 million usd"
"10,365 million usd"
"5,878 million usd"
689 million usd
578 million usd
"3,749 million usd"
"12,128 million usd"
"63,594 million usd"
"9,627 million usd"
"1,420 million usd"
438 million usd
"5,542 million usd"
"4,603 million usd"
"3,337 million usd"
"16,976 million usd"
"7,300 million usd"
"6,462 million usd"
"1,710 million usd"
"1,987 million usd"
"4,528 million usd"
"119,920 million usd"
"117,310 million usd"
""
672 million usd
"2,903 million usd"
"7,517 million usd"
""
"3,050 million usd"
166 million usd
566 million usd
"2,331 million usd"
608 million usd
"16,365 million usd"
518 million usd
"3,794 million usd"
"1,996 million usd"
"2,943 million usd"
503 million usd
"2,131 million usd"
""
"2,658 million usd"
"18,248 million usd"
"2,006 million usd"
"17,189 million usd"
"132,880 million usd"
"1,995 million usd"
"1,860 million usd"
"519,110 million usd"
"2,291 million usd"
"1,802 million usd"
"4,195 million usd"
"94,434 million usd"
"29,441 million usd"
"1,316 million usd"
"2,565 million usd"
"16,806 million usd"
"2,922 million usd"
"1,026 million usd"
"95,235 million usd"
"333,160 million usd"
"1,845 million usd"
530 million usd
"8,709 million usd"
"2,440 million usd"
"1,719 million usd"
"74,553 million usd"
"528,030 million usd"
""
"3,549 million usd"
"3,535 million usd"
"2,378 million usd"
"1,161 million usd"
"5,811 million usd"
993 million usd
"22,820 million usd"
220 million usd
"4,570 million usd"
"6,898 million usd"
"65,729 million usd"
"441,750 million usd"
"2,675 million usd"
"2,390 million usd"
"2,961 million usd"
"16,121 million usd"
"5,480 million usd"
"14,477 million usd"
489 million usd
808 million usd
"4,106 million usd"
"1,309 million usd"
180 million usd
"13,954 million usd"
"3,889 million usd"
"12,802 million usd"
"1,229 million usd"
"28,046 million usd"
"11,409 million usd"
"5,509 million usd"
""
184 million usd
"12,073 million usd"
"2,068 million usd"
"3,737 million usd"
"6,610 million usd"
"16,884 million usd"
"5,055 million usd"
"2,266 million usd"
"21,391 million usd"
"5,376 million usd"
"11,608 million usd"
"73,593 million usd"
"13,781 million usd"
"2,200 million usd"
"36,990 million usd"
995 million usd
"3,600 million usd"
746 million usd
"18,582 million usd"
483 million usd
"3,051 million usd"
318 million usd
"14,201 million usd"
"5,623 million usd"
"14,898 million usd"
685 million usd
"35,418 million usd"
"4,585 million usd"
"47,134 million usd"
"4,979 million usd"
"5,191 million usd"
"2,080 million usd"
"6,120 million usd"
"58,533 million usd"
"1,325 million usd"
"12,397 million usd"
"32,067 million usd"
"5,208 million usd"
492 million usd
"1,896 million usd"
"1,573 million usd"
"2,894 million usd"
"4,677 million usd"
"2,785 million usd"
"9,802 million usd"
"6,895 million usd"
"4,370 million usd"
""
""
94 million usd
"9,040 million usd"
"2,838 million usd"
"9,021 million usd"
"64,793 million usd"
775 million usd
"140,900 million usd"
"9,326 million usd"
"96,938 million usd"
""
"381,090 million usd"
"2,598 million usd"
"1,593 million usd"
"12,811 million usd"
283 million usd
"5,041 million usd"
"3,571 million usd"
"1,280 million usd"
"57,187 million usd"
"19,760 million usd"
"3,407 million usd"
"8,134 million usd"
""
"1,640 million usd"
"3,296 million usd"
"1,209 million usd"
"29,491 million usd"
""
304 million usd
"6,317 million usd"
"3,449 million usd"
"1,378 million usd"
"1,760 million usd"
"156,730 million usd"
229 million usd
"115,310 million usd"
"39,675 million usd"
"6,503 million usd"
"9,239 million usd"
584 million usd
"1,673 million usd"
"1,396 million usd"
"1,214 million usd"
450 million usd
"2,136 million usd"
"1,166 million usd"
"10,701 million usd"
"2,287 million usd"
"20,602 million usd"
410 million usd
817 million usd
"111,790 million usd"
"5,178 million usd"
"3,779 million usd"
"1,785 million usd"
"8,245 million usd"
411 million usd
724 million usd
"6,184 million usd"
292 million usd
"16,851 million usd"
548 million usd
"2,380 million usd"
"15,734 million usd"
"3,668 million usd"
336 million usd
943 million usd
"9,321 million usd"
""
"6,130 million usd"
"20,275 million usd"
899 million usd
"71,476 million usd"
""
"19,178 million usd"
362 million usd
"5,160 million usd"
"4,244 million usd"
747 million usd
"4,302 million usd"
"5,314 million usd"
"12,811 million usd"
""
"1,004 million usd"
"1,227 million usd"
"107,710 million usd"
"8,528 million usd"
"27,668 million usd"
"195,760 million usd"
"2,777 million usd"
"552,350 million usd"
"62,605 million usd"
"4,526 million usd"
"14,518 million usd"
"80,893 million usd"
640 million usd
"4,646 million usd"
"5,724 million usd"
521 million usd
"5,519 million usd"
"1,535 million usd"
"43,039 million usd"
627 million usd
"19,582 million usd"
"10,029 million usd"
"31,083 million usd"
"12,120 million usd"
"13,520 million usd"
"37,388 million usd"
"1,197 million usd"
"49,850 million usd"
""
"14,702 million usd"
"1,591 million usd"
"2,168 million usd"
"6,565 million usd"
"247,080 million usd"
653 million usd
838 million usd
"8,981 million usd"
"2,677 million usd"
"2,931 million usd"
749 million usd
539 million usd
"13,168 million usd"
"2,017 million usd"
"3,281 million usd"
"3,078 million usd"
"10,872 million usd"
"10,088 million usd"
"4,047 million usd"
364 million usd
""
"14,221 million usd"
"2,450 million usd"
"2,549 million usd"
"1,743 million usd"
"12,028 million usd"
112 million usd
"19,251 million usd"
"3,047 million usd"
"11,268 million usd"
"11,975 million usd"
"3,598 million usd"
"22,762 million usd"
"3,945 million usd"
304 million usd
""
725 million usd
"29,308 million usd"
"4,122 million usd"
"5,980 million usd"
""
"1,862 million usd"
"1,759 million usd"
"10,226 million usd"
"2,645 million usd"
"41,152 million usd"
"16,823 million usd"
"24,723 million usd"
"17,622 million usd"
"19,357 million usd"
"26,365 million usd"
"3,532 million usd"
"6,562 million usd"
"2,928 million usd"
""
"5,520 million usd"
"1,013 million usd"
"41,973 million usd"
"4,860 million usd"
"14,612 million usd"
"2,792 million usd"
"4,920 million usd"
290 million usd
"9,602 million usd"
"13,156 million usd"
"4,824 million usd"
"1,235 million usd"
"10,926 million usd"
"5,023 million usd"
"26,268 million usd"
814 million usd
"9,864 million usd"
501 million usd
"108,560 million usd"
"6,940 million usd"
"11,082 million usd"
"51,311 million usd"
"1,672 million usd"
536 million usd
"8,177 million usd"
"4,185 million usd"
"1,653 million usd"
"11,201 million usd"
"2,919 million usd"
"50,894 million usd"
"4,441 million usd"
"2,118 million usd"
314 million usd
"3,232 million usd"
"10,666 million usd"
"14,320 million usd"
"4,234 million usd"
"9,527 million usd"
507 million usd
651 million usd
916 million usd
"11,653 million usd"
"10,519 million usd"
"4,628 million usd"
"41,809 million usd"
"1,058 million usd"
"4,922 million usd"
"51,546 million usd"
244 million usd
"4,904 million usd"
"23,081 million usd"
"14,253 million usd"
"16,297 million usd"
793 million usd
516 million usd
"5,505 million usd"
"4,997 million usd"
494 million usd
"4,462 million usd"
"11,687 million usd"
302 million usd
"17,861 million usd"
"5,226 million usd"
613 million usd
"58,541 million usd"
82 million usd
788 million usd
604 million usd
"428,680 million usd"
485 million usd
"1,624 million usd"
"7,026 million usd"
"1,094 million usd"
"58,257 million usd"
981 million usd
520 million usd
"5,766 million usd"
"28,421 million usd"
"3,385 million usd"
"13,223 million usd"
"1,445 million usd"
"14,348 million usd"
"3,188 million usd"
821 million usd
"189,940 million usd"
"6,520 million usd"
""
"1,544 million usd"
"12,011 million usd"
"1,454 million usd"
"5,470 million usd"
184 million usd
462 million usd
"5,719 million usd"
"3,371 million usd"
82 million usd
"1,378 million usd"
""
"9,942 million usd"
"1,559 million usd"
112 million usd
"9,103 million usd"
"33,240 million usd"
"106,000 million usd"
"1,878 million usd"
"1,210 million usd"
"5,020 million usd"
191 million usd
"2,481 million usd"
"1,663 million usd"
"3,898 million usd"
"3,712 million usd"
39 million usd
527 million usd
"8,888 million usd"
"7,708 million usd"
108 million usd
""
""
""
""
""
""
"2,951 million usd"
776 million usd
"3,489 million usd"
""
"3,285 million usd"
289 million usd
"3,075 million usd"
"2,674 million usd"
493 million usd
591 million usd
263 million usd
"3,786 million usd"
""
963 million usd
"5,521 million usd"
"7,368 million usd"
"5,214 million usd"
288 million usd
"60,857 million usd"
""
48 million usd
"13,222 million usd"
720 million usd
"103,350 million usd"
"21,777 million usd"
"17,752 million usd"
"2,417 million usd"
"8,469 million usd"
"2,902 million usd"
527 million usd
"11,030 million usd"
"1,299 million usd"
"3,776 million usd"
"56,740 million usd"
"33,490 million usd"
423 million usd
"5,188 million usd"
"6,416 million usd"
"73,852 million usd"
"14,978 million usd"
639 million usd
"188,930 million usd"
298 million usd
"5,537 million usd"
85 million usd
"3,577 million usd"
"1,248 million usd"
"4,037 million usd"
"3,565 million usd"
"1,484 million usd"
"46,438 million usd"
"2,380 million usd"
"7,862 million usd"
"5,947 million usd"
"25,202 million usd"
474 million usd
"3,893 million usd"
"1,461 million usd"
"1,339 million usd"
"4,637 million usd"
"2,426 million usd"
"5,214 million usd"
"11,577 million usd"
"5,865 million usd"
"73,952 million usd"
"10,352 million usd"
"3,682 million usd"
"1,645 million usd"
322 million usd
"1,665 million usd"
"2,520 million usd"
"5,050 million usd"
"17,248 million usd"
"10,684 million usd"
"1,103 million usd"
"1,270 million usd"
"1,042 million usd"
"2,528 million usd"
"58,542 million usd"
"23,881 million usd"
"6,316 million usd"
"1,666 million usd"
"50,721 million usd"
505 million usd
"14,764 million usd"
256 million usd
502 million usd
"3,849 million usd"
"4,037 million usd"
"8,899 million usd"
"2,860 million usd"
"4,617 million usd"
"1,760 million usd"
"16,211 million usd"
269 million usd
472 million usd
"64,793 million usd"
"4,627 million usd"
"1,015 million usd"
"3,002 million usd"
"2,358 million usd"
"1,353 million usd"
"10,685 million usd"
193 million usd
"11,883 million usd"
"168,080 million usd"
"1,204 million usd"
"10,663 million usd"
147 million usd
"6,644 million usd"
"6,389 million usd"
"4,968 million usd"
"9,394 million usd"
"5,143 million usd"
"3,406 million usd"
"1,342 million usd"
"8,092 million usd"
"342,930 million usd"
"1,728 million usd"
"1,914 million usd"
632 million usd
"8,333 million usd"
"4,187 million usd"
"3,180 million usd"
"10,860 million usd"
"7,052 million usd"
"2,149 million usd"
"8,558 million usd"
"12,400 million usd"
"2,604 million usd"
"30,922 million usd"
"5,577 million usd"
"97,343 million usd"
"2,645 million usd"
""
"1,371 million usd"
"1,779 million usd"
"2,371 million usd"
"49,318 million usd"
"1,455 million usd"
"7,569 million usd"
"7,157 million usd"
"4,623 million usd"
"4,903 million usd"
926 million usd
"21,509 million usd"
"119,840 million usd"
"2,171 million usd"
"4,281 million usd"
"2,442 million usd"
""
39 million usd
"1,263 million usd"
"33,158 million usd"
""
"11,146 million usd"
"1,177 million usd"
"1,552 million usd"
""
"6,797 million usd"
477 million usd
756 million usd
240 million usd
"3,576 million usd"
"8,812 million usd"
"5,816 million usd"
"1,217 million usd"
"158,690 million usd"
"41,726 million usd"
"4,223 million usd"
"2,354 million usd"
"6,680 million usd"
880 million usd
"12,878 million usd"
"7,252 million usd"
609 million usd
"12,775 million usd"
"23,092 million usd"
"57,858 million usd"
"75,487 million usd"
""
"67,497 million usd"
"163,010 million usd"
592 million usd
"14,304 million usd"
"5,519 million usd"
"23,475 million usd"
"1,984 million usd"
"1,804 million usd"
"2,216 million usd"
182 million usd
"26,551 million usd"
"1,663 million usd"
"3,645 million usd"
"19,017 million usd"
498 million usd
"5,338 million usd"
"15,981 million usd"
"1,971 million usd"
"8,254 million usd"
""
"8,252 million usd"
"1,664 million usd"
"12,596 million usd"
"7,942 million usd"
"17,905 million usd"
"4,671 million usd"
"1,466 million usd"
"3,958 million usd"
"2,142 million usd"
203 million usd
"1,487 million usd"
523 million usd
"2,368 million usd"
"3,098 million usd"
"6,242 million usd"
"19,095 million usd"
"12,945 million usd"
"1,319 million usd"
"29,563 million usd"
""
"3,930 million usd"
"1,998 million usd"
"29,014 million usd"
"3,925 million usd"
179 million usd
"2,017 million usd"
"17,141 million usd"
254 million usd
"145,380 million usd"
"20,986 million usd"
384 million usd
"13,969 million usd"
"70,304 million usd"
"1,951 million usd"
"9,644 million usd"
"5,776 million usd"
"79,364 million usd"
"3,704 million usd"
"18,088 million usd"
985 million usd
"6,785 million usd"
"2,505 million usd"
"87,679 million usd"
"7,890 million usd"
"4,047 million usd"
"5,026 million usd"
"67,957 million usd"
"1,400 million usd"
"4,825 million usd"
"5,798 million usd"
"5,530 million usd"
"1,623 million usd"
"3,294 million usd"
"7,819 million usd"
77 million usd
"3,555 million usd"
"1,709 million usd"
""
"2,880 million usd"
167 million usd
96 million usd
"95,539 million usd"
"14,758 million usd"
"6,277 million usd"
"2,948 million usd"
"2,438 million usd"
"5,090 million usd"
251 million usd
"4,417 million usd"
236 million usd
"3,966 million usd"
"3,510 million usd"
"4,873 million usd"
"5,659 million usd"
"2,460 million usd"
719 million usd
"8,467 million usd"
"44,885 million usd"
"52,020 million usd"
"4,330 million usd"
"27,335 million usd"
"1,234 million usd"
"2,518 million usd"
788 million usd
"3,620 million usd"
"2,264 million usd"
"1,065 million usd"
"4,266 million usd"
"1,661 million usd"
"1,225 million usd"
"3,461 million usd"
"10,603 million usd"
"2,661 million usd"
"3,918 million usd"
"11,377 million usd"
"1,443 million usd"
"1,651 million usd"
717 million usd
"19,918 million usd"
"1,237 million usd"
"11,449 million usd"
"2,287 million usd"
"38,840 million usd"
"10,263 million usd"
"1,918 million usd"
"27,064 million usd"
""
""
""
""
""
""
"77,201 million usd"
"19,364 million usd"
"7,324 million usd"
""
"2,692 million usd"
"6,619 million usd"
"1,097 million usd"
"16,369 million usd"
""
745 million usd
296 million usd
885 million usd
"41,239 million usd"
"8,522 million usd"
"1,530 million usd"
"1,522 million usd"
"14,070 million usd"
"1,743 million usd"
928 million usd
"2,383 million usd"
"279,290 million usd"
"6,334 million usd"
"59,422 million usd"
367 million usd
139 million usd
"3,786 million usd"
"5,731 million usd"
"6,657 million usd"
"2,703 million usd"
"8,550 million usd"
"3,018 million usd"
624 million usd
"13,808 million usd"
"4,069 million usd"
475 million usd
"1,258 million usd"
"1,561 million usd"
"1,637 million usd"
"3,602 million usd"
"7,108 million usd"
"2,219 million usd"
"76,375 million usd"
"1,530 million usd"
"5,724 million usd"
857 million usd
859 million usd
"1,282 million usd"
"2,928 million usd"
"18,031 million usd"
"2,999 million usd"
"1,900 million usd"
"1,383 million usd"
622 million usd
775 million usd
"1,702 million usd"
"6,959 million usd"
"1,467 million usd"
"64,405 million usd"
988 million usd
"6,566 million usd"
331 million usd
395 million usd
"69,119 million usd"
"1,292 million usd"
"34,034 million usd"
"6,637 million usd"
"1,634 million usd"
"11,881 million usd"
191 million usd
150 million usd
"14,464 million usd"
"7,200 million usd"
"4,510 million usd"
"2,079 million usd"
"3,264 million usd"
"8,837 million usd"
"1,806 million usd"
"5,623 million usd"
"9,704 million usd"
"3,616 million usd"
"1,271 million usd"
194 million usd
215 million usd
"1,621 million usd"
"20,377 million usd"
"1,624 million usd"
"4,735 million usd"
58 million usd
"1,193 million usd"
"5,774 million usd"
"4,065 million usd"
846 million usd
"9,078 million usd"
"32,351 million usd"
485 million usd
"9,672 million usd"
"29,131 million usd"
388 million usd
"95,181 million usd"
"5,859 million usd"
"1,582 million usd"
"6,765 million usd"
"2,516 million usd"
"1,035 million usd"
"3,231 million usd"
"2,086 million usd"
"4,387 million usd"
"1,391 million usd"
409 million usd
"2,583 million usd"
430 million usd
"5,435 million usd"
"217,460 million usd"
"1,025 million usd"
"19,705 million usd"
"12,424 million usd"
698 million usd
"18,637 million usd"
118 million usd
93 million usd
"1,600 million usd"
583 million usd
"9,457 million usd"
"2,885 million usd"
"1,805 million usd"
"5,595 million usd"
995 million usd
895 million usd
"106,950 million usd"
"10,850 million usd"
"31,406 million usd"
"1,081 million usd"
"4,813 million usd"
"42,933 million usd"
"20,220 million usd"
"6,715 million usd"
"3,662 million usd"
"1,370 million usd"
"73,661 million usd"
"7,258 million usd"
"1,876 million usd"
"9,381 million usd"
"2,542 million usd"
"4,322 million usd"
"3,213 million usd"
"6,295 million usd"
189 million usd
"114,060 million usd"
718 million usd
""
"1,284 million usd"
44 million usd
""
"4,577 million usd"
"34,168 million usd"
"10,150 million usd"
"5,019 million usd"
63 million usd
348 million usd
435 million usd
"3,823 million usd"
"3,897 million usd"
"472,490 million usd"
319 million usd
690 million usd
"6,336 million usd"
"1,085 million usd"
"8,468 million usd"
"4,666 million usd"
""
"6,949 million usd"
""
"1,883 million usd"
"3,181 million usd"
"96,979 million usd"
297 million usd
"2,528 million usd"
"3,388 million usd"
"3,252 million usd"
"9,125 million usd"
"13,686 million usd"
"14,875 million usd"
"8,806 million usd"
"9,955 million usd"
"135,420 million usd"
"18,986 million usd"
729 million usd
886 million usd
"9,690 million usd"
"4,369 million usd"
658 million usd
940 million usd
""
"9,434 million usd"
"7,685 million usd"
647 million usd
5 million usd
"3,847 million usd"
"36,703 million usd"
"55,171 million usd"
"4,323 million usd"
118 million usd
"2,267 million usd"
"2,705 million usd"
"5,586 million usd"
""
228 million usd
"13,737 million usd"
"1,139 million usd"
"2,227 million usd"
"6,086 million usd"
841 million usd
707 million usd
"13,189 million usd"
"3,986 million usd"
"10,039 million usd"
"5,266 million usd"
"4,513 million usd"
"1,434 million usd"
"1,692 million usd"
591 million usd
"10,393 million usd"
"2,731 million usd"
"3,247 million usd"
"3,056 million usd"
621 million usd
"1,967 million usd"
"81,598 million usd"
"76,119 million usd"
"20,124 million usd"
"1,919 million usd"
"6,672 million usd"
615 million usd
812 million usd
"55,970 million usd"
"8,733 million usd"
"3,183 million usd"
"5,249 million usd"
"4,513 million usd"
430 million usd
"3,194 million usd"
354 million usd
"7,733 million usd"
222 million usd
""
"1,083 million usd"
"5,314 million usd"
"6,090 million usd"
"2,820 million usd"
"17,494 million usd"
"3,603 million usd"
"2,522 million usd"
"3,899 million usd"
"3,155 million usd"
"5,128 million usd"
"15,999 million usd"
"6,885 million usd"
""
"6,830 million usd"
"1,026 million usd"
359 million usd
"22,763 million usd"
""
825 million usd
684 million usd
127 million usd
"18,727 million usd"
924 million usd
""
"3,767 million usd"
"10,228 million usd"
"1,020 million usd"
"3,639 million usd"
"13,645 million usd"
"23,078 million usd"
"5,875 million usd"
"4,635 million usd"
"4,768 million usd"
"6,656 million usd"
279 million usd
"64,948 million usd"
""
"61,095 million usd"
"24,906 million usd"
"4,512 million usd"
"1,446 million usd"
685 million usd
"4,665 million usd"
47 million usd
"69,308 million usd"
742 million usd
"14,172 million usd"
"118,610 million usd"
"4,533 million usd"
461 million usd
"21,694 million usd"
"1,107 million usd"
""
"13,772 million usd"
"7,713 million usd"
269 million usd
"2,231 million usd"
"3,331 million usd"
""
"6,020 million usd"
"74,644 million usd"
578 million usd
"24,266 million usd"
"3,488 million usd"
148 million usd
"14,642 million usd"
959 million usd
"1,226 million usd"
"8,024 million usd"
"2,111 million usd"
"2,622 million usd"
"1,102 million usd"
"8,198 million usd"
"8,841 million usd"
67 million usd
"14,266 million usd"
"6,394 million usd"
"4,465 million usd"
"2,065 million usd"
"1,990 million usd"
"301,700 million usd"
"42,436 million usd"
""
121 million usd
"4,388 million usd"
"9,467 million usd"
"1,317 million usd"
""
523 million usd
"6,937 million usd"
"4,974 million usd"
"6,444 million usd"
"18,640 million usd"
985 million usd
791 million usd
"15,169 million usd"
"2,299 million usd"
"3,413 million usd"
"1,183 million usd"
"3,101 million usd"
"4,852 million usd"
"1,143 million usd"
0 million usd
""
"5,412 million usd"
185 million usd
""
""
""
""
405 million usd
"1,436 million usd"
"3,575 million usd"
""
"182,280 million usd"
""
872 million usd
"4,306 million usd"
"3,056 million usd"
"1,337 million usd"
"10,885 million usd"
403 million usd
""
""
""
959 million usd
""
"1,748 million usd"
358 million usd
279 million usd
495 million usd
"22,203 million usd"
526 million usd
"8,851 million usd"
"17,691 million usd"
"2,068 million usd"
"2,149 million usd"
237 million usd
"37,157 million usd"
682 million usd
"2,178 million usd"
966 million usd
"3,014 million usd"
"56,346 million usd"
"1,173 million usd"
"37,157 million usd"
"4,857 million usd"
66 million usd
"3,292 million usd"
"6,899 million usd"
"2,745 million usd"
"8,470 million usd"
"4,324 million usd"
100 million usd
"15,420 million usd"
596 million usd
222 million usd
"1,690 million usd"
"2,723 million usd"
""
646 million usd
578 million usd
"1,487 million usd"
"3,663 million usd"
625 million usd
967 million usd
272 million usd
339 million usd
"8,248 million usd"
857 million usd
"2,743 million usd"
191 million usd
"9,498 million usd"
"1,365 million usd"
"20,331 million usd"
"6,210 million usd"
240 million usd
294 million usd
"4,383 million usd"
704 million usd
"8,107 million usd"
"1,094 million usd"
""
749 million usd
"3,083 million usd"
162 million usd
"16,403 million usd"
"2,651 million usd"
405 million usd
""
301 million usd
"4,078 million usd"
265 million usd
506 million usd
0 million usd
"1,077 million usd"
"2,556 million usd"
""
"1,883 million usd"
"2,424 million usd"
"15,258 million usd"
685 million usd
"10,637 million usd"
"1,785 million usd"
"7,905 million usd"
919 million usd
464 million usd
"12,399 million usd"
"14,033 million usd"
"1,793 million usd"
157 million usd
"35,523 million usd"
"49,464 million usd"
"8,497 million usd"
"2,203 million usd"
536 million usd
561 million usd
"8,566 million usd"
"2,211 million usd"
400 million usd
"1,455 million usd"
"1,587 million usd"
"15,433 million usd"
633 million usd
"11,921 million usd"
"7,529 million usd"
385 million usd
""
523 million usd
"8,765 million usd"
428 million usd
"4,654 million usd"
"7,274 million usd"
335 million usd
"2,358 million usd"
"4,053 million usd"
244 million usd
"19,274 million usd"
"1,694 million usd"
"2,013 million usd"
451 million usd
209 million usd
"21,685 million usd"
"2,751 million usd"
"9,457 million usd"
"65,405 million usd"
"27,072 million usd"
"36,443 million usd"
245 million usd
138 million usd
"3,650 million usd"
103 million usd
"38,362 million usd"
"12,349 million usd"
"38,319 million usd"
254 million usd
"2,473 million usd"
"7,487 million usd"
"2,428 million usd"
"18,055 million usd"
"9,351 million usd"
"3,331 million usd"
"8,906 million usd"
"1,169 million usd"
"6,913 million usd"
644 million usd
"1,318 million usd"
"2,836 million usd"
"1,842 million usd"
405 million usd
"14,192 million usd"
"1,453 million usd"
"21,809 million usd"
"15,685 million usd"
"11,921 million usd"
69 million usd
"11,475 million usd"
"3,860 million usd"
"2,637 million usd"
421 million usd
"4,845 million usd"
"3,191 million usd"
"3,705 million usd"
""
654 million usd
"2,645 million usd"
"32,805 million usd"
"4,553 million usd"
"1,208 million usd"
"2,285 million usd"
"6,368 million usd"
161 million usd
700 million usd
"4,794 million usd"
"5,678 million usd"
"3,463 million usd"
"4,573 million usd"
"10,100 million usd"
647 million usd
"2,889 million usd"
"6,469 million usd"
"4,912 million usd"
"5,291 million usd"
"2,021 million usd"
"3,025 million usd"
522 million usd
"7,372 million usd"
"12,773 million usd"
"9,643 million usd"
"5,943 million usd"
"2,948 million usd"
"9,940 million usd"
"7,779 million usd"
866 million usd
"1,991 million usd"
"1,844 million usd"
110 million usd
951 million usd
"16,543 million usd"
"11,611 million usd"
713 million usd
"3,097 million usd"
249 million usd
"5,455 million usd"
"1,019 million usd"
873 million usd
"1,643 million usd"
"3,096 million usd"
"12,574 million usd"
"32,043 million usd"
"18,613 million usd"
"1,301 million usd"
""
"1,417 million usd"
"4,262 million usd"
"76,713 million usd"
788 million usd
"68,431 million usd"
447 million usd
76 million usd
957 million usd
"8,139 million usd"
"3,062 million usd"
""
"12,476 million usd"
