10-DeBiGa-market_cap,10-DeBiGa-revenue
doll_6.2 b,doll_1.2 b
doll_2.3 b,doll_1.2 b
doll_1.8 b,doll_1.2 b
doll_402.5 m,doll_1.2 b
0,doll_1.2 b
doll_1.5 b,doll_1.2 b
doll_459.4 m,doll_1.2 b
doll_2.4 b,doll_1.2 b
doll_1.6 b,doll_1.2 b
doll_794.8 m,doll_1.2 b
doll_3.1 b,doll_1.2 b
doll_4.0 b,doll_1.2 b
0,doll_1.2 b
doll_1.1 b,doll_1.2 b
doll_1.5 b,doll_1.2 b
doll_6.8 b,doll_1.2 b
doll_3.6 b,doll_1.2 b
doll_5.2 b,doll_1.2 b
doll_6.7 b,doll_1.2 b
doll_1.5 b,doll_1.2 b
doll_1.7 b,doll_1.2 b
doll_6.3 b,doll_1.2 b
doll_20.5 b,doll_1.2 b
doll_797.6 m,doll_1.2 b
doll_2.6 b,doll_1.2 b
doll_3.3 b,doll_1.2 b
doll_1.1 b,doll_1.2 b
doll_9.1 b,doll_1.2 b
0,doll_1.2 b
doll_1.1 b,doll_1.2 b
0,doll_1.2 b
doll_561.2 m,doll_1.2 b
doll_1.3 b,doll_1.2 b
doll_119.3 m,doll_1.2 b
doll_3.8 b,doll_1.2 b
doll_2.1 b,doll_1.2 b
doll_790.9 m,doll_1.2 b
doll_1.3 b,doll_1.2 b
doll_1.1 b,doll_1.2 b
doll_1.3 b,doll_1.2 b
doll_22.4 b,doll_1.2 b
doll_2.5 b,doll_1.2 b
doll_603.2 m,doll_1.2 b
doll_5.6 b,doll_1.2 b
doll_2.5 b,doll_1.2 b
doll_1.1 b,doll_1.2 b
doll_1.9 b,doll_1.2 b
doll_1.1 b,doll_1.2 b
doll_3.8 b,doll_1.2 b
0,doll_1.2 b
doll_19.9 b,doll_1.2 b
0,doll_1.2 b
0,doll_1.2 b
doll_2.8 b,doll_1.2 b
doll_4.1 b,doll_1.2 b
doll_1.2 b,doll_1.2 b
doll_269.7 m,doll_1.2 b
0,doll_1.2 b
doll_3.1 b,doll_1.2 b
doll_157.1 m,doll_1.2 b
doll_1.2 b,doll_1.2 b
doll_18.7 b,doll_1.2 b
doll_8.0 b,doll_1.2 b
doll_228.5 m,doll_1.2 b
doll_2.9 b,doll_1.2 b
0,doll_1.2 b
doll_1.5 b,doll_1.2 b
doll_2.6 b,doll_1.2 b
doll_5.0 b,doll_1.2 b
doll_1.5 b,doll_1.2 b
doll_2.6 b,doll_1.2 b
doll_2.9 b,doll_1.2 b
doll_3.1 b,doll_1.2 b
doll_480.8 m,doll_1.2 b
doll_4.5 b,doll_1.2 b
doll_294.8 m,doll_1.2 b
doll_3.0 b,doll_1.2 b
doll_11.0 b,doll_1.2 b
doll_1.1 b,doll_1.2 b
doll_3.2 b,doll_1.2 b
doll_2.5 b,doll_1.2 b
doll_13.3 b,doll_1.2 b
doll_776.5 m,doll_1.2 b
doll_1.4 b,doll_1.2 b
doll_39.5 m,doll_1.2 b
doll_45.1 b,doll_1.2 b
doll_5.5 b,doll_1.2 b
doll_2.4 b,doll_1.2 b
doll_3.2 b,doll_1.2 b
doll_1.3 b,doll_1.2 b
doll_2.4 b,doll_1.2 b
doll_1.9 b,doll_1.2 b
doll_2.4 b,doll_1.2 b
doll_810.7 m,doll_1.2 b
doll_8.2 b,doll_1.2 b
doll_177.0 m,doll_1.2 b
doll_3.8 b,doll_1.2 b
doll_2.8 b,doll_1.2 b
doll_4.6 b,doll_1.2 b
doll_581.7 m,doll_1.2 b
doll_2.1 b,doll_1.2 b
doll_754.2 m,doll_1.2 b
doll_7.6 b,doll_1.2 b
doll_2.6 b,doll_1.2 b
doll_1.5 b,doll_1.2 b
doll_2.5 b,doll_1.2 b
0,doll_1.2 b
0,doll_1.2 b
doll_5.4 b,doll_1.2 b
doll_6.1 b,doll_1.2 b
doll_9.8 b,doll_1.2 b
doll_1.2 b,doll_1.2 b
doll_8.6 b,doll_1.2 b
