,column_name,type_of_data,type_of_string,avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,min_val(int),max_val(int),avg(int),variance,std_dev,cluster
37,05-MalPatSaj_marketcap,0.0,0.75,0.20327517451955676,0.0010991129108990014,0.033152871834865254,0.9971263226610961,0.39067224080084234,0.0,0.0,0.0,0.0,0.0,3
38,05-MalPatSaj_price,0.0,0.75,0.17476260244817327,0.0019452358155438916,0.04410482757639908,0.0,0.5101898326805318,0.0,0.0,0.0,0.0,0.0,4
39,05-MalPatSaj_country,0.0,1.0,0.08386038615560838,0.02183190240916984,0.1477562262957803,0.05177939161908477,0.0,0.0,0.0,0.0,0.0,0.0,1
40,06-MarScoToc_name,0.0,1.0,0.2512784053051226,0.21866205395816948,0.46761314562164474,0.6176286801783535,0.003629071545738219,0.0,0.0,0.0,0.0,0.0,6
41,06-MarScoToc_master_cap,0.0,0.75,0.20266464408562765,0.0010327644949468529,0.03213665344971149,1.0,0.3878326383653301,0.0,0.0,0.0,0.0,0.0,3
42,06-MarScoToc_country,0.0,1.0,0.08593249615544135,0.028503108742215347,0.16882863721008753,0.05230410830584756,0.0,0.0,0.0,0.0,0.0,0.0,1
43,06-MarScoToc_rank,0.0,0.5,0.1588324235688095,0.0007976864556310553,0.028243343563237256,0.0,0.5810267621845805,0.0,0.0,0.0,0.0,0.0,4
44,06-MarScoToc_share_price,0.0,0.75,0.17616443555930225,0.0018029537262224298,0.04246120259981375,0.0,0.5171093701707958,0.0,0.0,0.0,0.0,0.0,4
45,09-wissel_url,0.0,1.0,1.0,0.36927337341833455,0.6076786761260713,0.0003196803308423582,0.0011583932291927927,0.0,0.0,0.0,0.0,0.0,9
46,09-wissel_id,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0460717749757515e-09,2.158125432351888e-07,6.779232664187434e-16,2.603695962317305e-08,2
47,09-wissel_name,0.0,1.0,0.253372555110281,0.21975805912489543,0.4687835951960088,0.6070383910864818,0.003355605037322798,0.0,0.0,0.0,0.0,0.0,6
48,09-wissel_company_code,0.0,1.0,0.08333278249688923,0.021372458707720334,0.14619322387758038,0.0,0.04643636770835974,0.0,0.0,0.0,0.0,0.0,1
49,09-wissel_marketcap,0.0,0.75,0.20434930699149975,0.0013825374343207442,0.03718248827500312,0.9923454410636277,0.3937180861812506,0.0,0.0,0.0,0.0,0.0,3
50,09-wissel_share_price,0.0,0.75,0.1756437091810007,0.0020412877743890053,0.045180612815554036,0.0,0.5132276360680326,0.0,0.0,0.0,0.0,0.0,4
51,09-wissel_earnings,0.0,0.75,0.20766604057278307,0.0022868839263903485,0.047821375203880835,0.9779400818084195,0.3751432848256206,0.0,0.0,0.0,0.0,0.0,3
52,09-wissel_revenue,0.0,0.75,0.20341043333652176,0.0011974606780211876,0.03460434478531833,0.9966841296489111,0.373547691490513,0.0,0.0,0.0,0.0,0.0,3
53,09-wissel_shares,0.0,1.0,0.19991171124370677,0.006005934866413138,0.07749796685341584,0.0,0.37276116037158796,0.0,0.0,0.0,0.0,0.0,13
54,09-wissel_employees,0.0,1.0,0.08947041935435614,0.0032179028986649497,0.056726562549346764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
