01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,07-silvestri-revenue_2017
"139,300","1,249.94","139,300"
"228,076","1,242.47","228,076"
"684,874","1,241.42","684,874"
"171,057","1,234.31","171,057"
"291,481","1,225.70","291,481"
"882,099","1,216.25","882,099"
"664,000","1,214.76","664,000"
"217,460","1,211.43","217,460"
"530,667","1,198.37","530,667"
"427,339","1,179.02","427,339"
"299,598","1,163.47","299,598"
"159,128","1,156.25","159,128"
"6,753,191","1,151.36","6,753,191"
"242,368","1,150.62","242,368"
"1,281,462","1,148.16","1,281,462"
"131,691","1,137.06","131,691"
"620,283","1,135.70","620,283"
"252,713","1,133.10","252,713"
"815,690","1,132.04","815,690"
"130,290","1,131.09","130,290"
"2,201,178","1,121.82","2,201,178"
"207,327","1,111.76","207,327"
"133,200","1,110.84","133,200"
"241,411","1,103.81","241,411"
"560,150","1,097.84","560,150"
"712,855","1,087.64","712,855"
"180,824","1,075.04","180,824"
"570,012","1,073.57","570,012"
"156,130","1,072.49","156,130"
"855,321","1,068.59","855,321"
"288,095","1,065.09","288,095"
"2,326,082","1,061.67","2,326,082"
"1,383,205","1,057.21","1,383,205"
"281,000","1,049.47","281,000"
"777,410","1,041.38","777,410"
"2,527,006","1,033.39","2,527,006"
"522,712","1,019.79","522,712"
"337,525","1,005.08","337,525"
"692,440","1,003.16","692,440"
"551,000",991.29,"551,000"
"330,500",988.35,"330,500"
"455,000",975.16,"455,000"
"1,643,572",969.96,"1,643,572"
"205,554",968.54,"205,554"
"643,299",964.02,"643,299"
"628,384",954.24,"628,384"
"21,098,843",949.32,"21,098,843"
"160,539",941.48,"160,539"
"2,131,000",938.81,"2,131,000"
"1,521,010",937.64,"1,521,010"
"194,780",935.17,"194,780"
"291,720",927.28,"291,720"
"167,000",927.15,"167,000"
"552,355",921.07,"552,355"
"1,269,382",914.74,"1,269,382"
"4,340,517",909.37,"4,340,517"
"249,975",908.11,"249,975"
"156,300",904.15,"156,300"
"204,620",897.81,"204,620"
"2,693,390",888.84,"2,693,390"
"3,058,141",886.94,"3,058,141"
"2,456,563",884.55,"2,456,563"
"230,800",882.56,"230,800"
"1,870,109",880.00,"1,870,109"
"7,450,099",867.03,"7,450,099"
"280,390",866.15,"280,390"
"1,217,338",866.06,"1,217,338"
"529,371",847.68,"529,371"
"7,177,912",842.47,"7,177,912"
"429,505",842.21,"429,505"
"2,096,570",834.19,"2,096,570"
"479,290",825.58,"479,290"
"735,758",824.45,"735,758"
"374,200",823.89,"374,200"
"530,785",812.34,"530,785"
"533,144",811.16,"533,144"
"308,810",808.60,"308,810"
"252,871",797.40,"252,871"
"1,052,796",792.08,"1,052,796"
"3,046,667",790.71,"3,046,667"
"1,057,443",789.96,"1,057,443"
"237,410",787.93,"237,410"
"1,255,372",786.15,"1,255,372"
"18,035,029",785.05,"18,035,029"
"2,531,000",784.47,"2,531,000"
"551,128",783.80,"551,128"
"273,552",780.26,"273,552"
"299,988",765.91,"299,988"
"1,340,430",764.38,"1,340,430"
"228,982",763.88,"228,982"
"570,564",761.93,"570,564"
"651,170",758.51,"651,170"
"262,280",753.42,"262,280"
"400,000",750.00,"400,000"
"2,133,310",744.97,"2,133,310"
"2,025,879",744.07,"2,025,879"
"1,815,680",739.66,"1,815,680"
"2,264,940",736.20,"2,264,940"
"295,731",731.33,"295,731"
"305,268",731.00,"305,268"
"327,218",727.39,"327,218"
"191,679",722.29,"191,679"
"1,349,733",721.49,"1,349,733"
"481,510",718.65,"481,510"
"812,371",717.46,"812,371"
"26,112,757",713.62,"26,112,757"
"1,575,522",710.72,"1,575,522"
"7,415,334",710.04,"7,415,334"
"833,230",708.86,"833,230"
"1,119,178",708.18,"1,119,178"
"249,818",708.03,"249,818"
"6,280,267",707.67,"6,280,267"
"5,026,349",707.63,"5,026,349"
"440,369",698.59,"440,369"
"1,315,000",698.46,"1,315,000"
"8,811,708",696.48,"8,811,708"
"1,134,730",695.08,"1,134,730"
"19,757,296",693.19,"19,757,296"
"796,207",693.15,"796,207"
"2,448,858",693.05,"2,448,858"
"13,157,000",687.67,"13,157,000"
"10,152,222",683.39,"10,152,222"
"500,440",682.63,"500,440"
"506,730",681.63,"506,730"
"225,964",680.23,"225,964"
"3,989,355",679.70,"3,989,355"
"504,357",678.11,"504,357"
"548,180",675.86,"548,180"
"524,750",675.34,"524,750"
"274,966",673.74,"274,966"
"214,713",673.44,"214,713"
"755,191",665.31,"755,191"
"7,522,000",662.76,"7,522,000"
"1,556,607",661.92,"1,556,607"
"2,058,315",660.16,"2,058,315"
"8,508,398",656.17,"8,508,398"
"2,570,000",655.91,"2,570,000"
"26,626,422",655.01,"26,626,422"
"546,226",651.57,"546,226"
"2,708,983",651.07,"2,708,983"
"975,140",650.65,"975,140"
"316,525",645.92,"316,525"
"884,885",641.45,"884,885"
"559,778",640.72,"559,778"
"2,146,950",639.39,"2,146,950"
"340,000",635.85,"340,000"
"1,062,649",635.77,"1,062,649"
"621,636",634.70,"621,636"
"350,019",633.03,"350,019"
"330,522",631.54,"330,522"
"410,520",629.15,"410,520"
"2,051,133",628.49,"2,051,133"
"674,805",627.38,"674,805"
"670,685",626.96,"670,685"
"255,000",625.88,"255,000"
"3,417,815",624.36,"3,417,815"
"364,485",623.62,"364,485"
"15,653,388",612.55,"15,653,388"
"954,700",611.08,"954,700"
"49,833,511",608.12,"49,833,511"
"2,669,247",608.11,"2,669,247"
"309,471",607.97,"309,471"
"923,730",605.35,"923,730"
"1,354,980",604.94,"1,354,980"
"335,460",601.43,"335,460"
