01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,07-silvestri-revenue_2017
"8,022,358",200.58,"8,022,358"
"1,140,000",200.43,"1,140,000"
"2,119,022",200.06,"2,119,022"
"1,078,808",199.77,"1,078,808"
"777,849",199.75,"777,849"
"3,973,460",199.43,"3,973,460"
"2,065,220",199.36,"2,065,220"
"1,105,569",199.23,"1,105,569"
"24,429,686",198.91,"24,429,686"
"8,527,777",198.41,"8,527,777"
"15,292,051",198.30,"15,292,051"
"2,370,645",198.07,"2,370,645"
"753,352",198.06,"753,352"
"3,880,663",197.11,"3,880,663"
"808,700",196.84,"808,700"
"3,450,305",195.91,"3,450,305"
"11,484,801",195.21,"11,484,801"
"787,160",194.81,"787,160"
"5,137,900",194.68,"5,137,900"
"1,897,650",194.60,"1,897,650"
"1,126,971",194.37,"1,126,971"
"4,245,861",193.76,"4,245,861"
"1,461,226",193.45,"1,461,226"
"1,326,082",193.40,"1,326,082"
"722,795",192.95,"722,795"
"1,818,032",192.85,"1,818,032"
"964,998",192.84,"964,998"
"7,709,375",192.62,"7,709,375"
"7,000,063",192.57,"7,000,063"
"650,000",192.31,"650,000"
"828,820",190.97,"828,820"
"1,181,642",190.48,"1,181,642"
"14,649,568",190.28,"14,649,568"
"1,395,607",190.17,"1,395,607"
"3,868,483",190.02,"3,868,483"
"48,449,141",189.88,"48,449,141"
"6,246,592",189.78,"6,246,592"
"14,500,000",189.70,"14,500,000"
"723,064",188.94,"723,064"
"12,554,325",188.54,"12,554,325"
"3,226,280",188.49,"3,226,280"
"575,120",188.42,"575,120"
"37,992,902",188.32,"37,992,902"
"698,300",188.19,"698,300"
"6,564,162",187.81,"6,564,162"
"2,818,652",187.45,"2,818,652"
"19,351,090",187.14,"19,351,090"
"685,567",186.89,"685,567"
"1,060,000",186.79,"1,060,000"
"2,329,522",186.71,"2,329,522"
"527,910",186.54,"527,910"
"36,995,102",186.27,"36,995,102"
"2,322,241",185.36,"2,322,241"
"3,686,000",185.24,"3,686,000"
"659,402",184.26,"659,402"
"2,462,478",184.14,"2,462,478"
"1,424,633",183.54,"1,424,633"
"5,915,499",183.23,"5,915,499"
"3,977,562",183.17,"3,977,562"
"1,592,170",182.86,"1,592,170"
"1,022,714",182.41,"1,022,714"
"647,020",182.41,"647,020"
"2,281,929",182.39,"2,281,929"
"6,381,674",182.36,"6,381,674"
"581,520",182.02,"581,520"
"1,799,189",181.97,"1,799,189"
"28,668,484",181.29,"28,668,484"
"1,944,000",181.27,"1,944,000"
"1,207,009",180.95,"1,207,009"
"29,564,866",180.89,"29,564,866"
"1,586,246",180.88,"1,586,246"
"867,960",180.66,"867,960"
"4,608,343",180.55,"4,608,343"
"2,269,510",180.41,"2,269,510"
"1,778,890",180.39,"1,778,890"
"3,137,630",180.22,"3,137,630"
"554,004",179.79,"554,004"
"1,386,701",179.35,"1,386,701"
"4,040,060",179.23,"4,040,060"
"2,809,036",179.21,"2,809,036"
"1,610,149",178.97,"1,610,149"
"1,083,821",178.52,"1,083,821"
"1,241,760",178.13,"1,241,760"
"5,547,537",178.05,"5,547,537"
"1,006,280",177.33,"1,006,280"
"10,925,375",177.06,"10,925,375"
"11,207,566",176.94,"11,207,566"
"838,200",176.53,"838,200"
"3,372,820",176.29,"3,372,820"
"12,479,120",175.75,"12,479,120"
"574,487",175.70,"574,487"
"1,028,730",175.61,"1,028,730"
"8,362,568",175.59,"8,362,568"
"5,908,517",175.27,"5,908,517"
"1,438,184",175.07,"1,438,184"
"800,000",175.00,"800,000"
"4,788,000",174.98,"4,788,000"
"2,003,540",174.64,"2,003,540"
"944,107",174.60,"944,107"
"783,460",174.56,"783,460"
"31,477,723",174.26,"31,477,723"
"3,517,519",174.00,"3,517,519"
"12,074,454",173.97,"12,074,454"
"6,024,830",173.95,"6,024,830"
"1,488,875",173.47,"1,488,875"
"2,550,263",173.33,"2,550,263"
"9,283,620",173.12,"9,283,620"
"1,699,234",172.99,"1,699,234"
"579,436",172.45,"579,436"
"1,010,498",172.17,"1,010,498"
"3,811,605",172.09,"3,811,605"
"1,632,988",172.02,"1,632,988"
"25,003,047",172.00,"25,003,047"
"2,210,651",171.87,"2,210,651"
"823,381",171.71,"823,381"
"2,287,420",171.14,"2,287,420"
"1,314,806",170.86,"1,314,806"
"870,070",170.85,"870,070"
"1,178,653",170.83,"1,178,653"
"5,376,347",170.63,"5,376,347"
"34,291,000",170.62,"34,291,000"
"1,838,120",170.53,"1,838,120"
"6,170,577",170.52,"6,170,577"
"1,238,210",170.39,"1,238,210"
"1,490,280",169.82,"1,490,280"
"29,247,774",169.30,"29,247,774"
"2,006,100",168.86,"2,006,100"
"1,932,580",168.79,"1,932,580"
"7,576,080",168.70,"7,576,080"
"13,997,000",168.68,"13,997,000"
"3,620,585",168.54,"3,620,585"
"2,009,719",168.48,"2,009,719"
"7,606,472",168.03,"7,606,472"
"655,366",168.01,"655,366"
"5,268,390",167.88,"5,268,390"
"888,395",167.73,"888,395"
"794,770",167.60,"794,770"
"702,609",167.55,"702,609"
"5,023,015",167.54,"5,023,015"
"703,190",167.28,"703,190"
"8,552,857",167.07,"8,552,857"
"2,500,644",166.79,"2,500,644"
"5,851,000",166.67,"5,851,000"
"986,286",166.56,"986,286"
"1,741,112",166.38,"1,741,112"
"676,431",166.18,"676,431"
"1,467,195",166.16,"1,467,195"
"3,477,788",166.08,"3,477,788"
"10,944,325",165.71,"10,944,325"
"4,794,822",165.43,"4,794,822"
"14,683,064",165.35,"14,683,064"
"6,801,966",165.29,"6,801,966"
"14,051,407",164.93,"14,051,407"
"1,729,707",164.83,"1,729,707"
"2,395,445",164.78,"2,395,445"
"1,236,098",164.77,"1,236,098"
"910,386",164.38,"910,386"
"1,017,320",163.97,"1,017,320"
"2,199,126",163.93,"2,199,126"
"2,826,571",163.42,"2,826,571"
"1,749,794",163.42,"1,749,794"
"6,398,583",163.27,"6,398,583"
"1,167,000",162.65,"1,167,000"
"2,429,230",162.51,"2,429,230"
"16,000,000",162.50,"16,000,000"
"4,443,710",162.17,"4,443,710"
"1,071,090",161.84,"1,071,090"
"675,645",161.81,"675,645"
"9,009,270",161.72,"9,009,270"
"2,409,730",161.63,"2,409,730"
"1,900,000",161.58,"1,900,000"
"1,897,113",161.54,"1,897,113"
"639,410",161.45,"639,410"
"9,515,000",161.37,"9,515,000"
"12,686,177",161.21,"12,686,177"
"4,117,340",161.11,"4,117,340"
"14,327,610",160.94,"14,327,610"
"28,939,861",160.04,"28,939,861"
"2,233,448",159.98,"2,233,448"
"596,906",159.92,"596,906"
"6,278,456",159.81,"6,278,456"
"2,968,892",159.49,"2,968,892"
"997,518",159.42,"997,518"
"3,417,536",159.33,"3,417,536"
"24,320,734",158.84,"24,320,734"
"661,860",158.58,"661,860"
"1,005,658",158.40,"1,005,658"
"9,161,867",158.39,"9,161,867"
"3,647,000",157.99,"3,647,000"
"4,526,000",157.87,"4,526,000"
"900,686",157.82,"900,686"
"1,302,640",157.62,"1,302,640"
"6,712,146",157.55,"6,712,146"
"2,059,190",157.40,"2,059,190"
"5,144,442",157.07,"5,144,442"
"19,753,150",156.87,"19,753,150"
"916,000",156.44,"916,000"
"21,717,432",156.27,"21,717,432"
"1,332,330",155.74,"1,332,330"
"6,909,799",155.48,"6,909,799"
"8,575,344",155.39,"8,575,344"
"1,382,844",155.23,"1,382,844"
"1,074,130",155.02,"1,074,130"
"22,805,398",154.94,"22,805,398"
"818,658",154.86,"818,658"
"679,440",154.82,"679,440"
"12,153,143",154.81,"12,153,143"
"7,399,729",154.80,"7,399,729"
"9,717,860",154.60,"9,717,860"
