07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct
"10,518,963",10518963,"10,518,963",233.75
"793,957",793957,"793,957",233.68
"1,058,063",1058063,"1,058,063",233.32
"1,862,272",1862272,"1,862,272",233.23
"4,461,170",4461170,"4,461,170",233.18
"772,943",772943,"772,943",232.57
"1,414,501",1414501,"1,414,501",231.75
"660,767",660767,"660,767",231.73
"4,180,523",4180523,"4,180,523",231.45
"1,926,967",1926967,"1,926,967",231.36
"1,271,353",1271353,"1,271,353",231.14
"4,587,687",4587687,"4,587,687",231.05
"7,265,350",7265350,"7,265,350",231.00
"8,110,160",8110160,"8,110,160",230.75
"1,020,690",1020690,"1,020,690",230.22
"1,163,241",1163241,"1,163,241",230.16
"810,750",810750,"810,750",230.03
"694,501",694501,"694,501",229.61
"1,001,740",1001740,"1,001,740",229.36
"9,915,609",9915609,"9,915,609",229.03
"1,226,000",1226000,"1,226,000",228.55
"17,515,305",17515305,"17,515,305",228.30
"1,222,870",1222870,"1,222,870",228.26
"1,825,769",1825769,"1,825,769",227.87
"5,602,279",5602279,"5,602,279",226.81
"2,384,156",2384156,"2,384,156",226.39
"1,794,120",1794120,"1,794,120",226.35
"8,075,796",8075796,"8,075,796",226.05
"3,128,700",3128700,"3,128,700",225.69
"5,244,000",5244000,"5,244,000",225.10
"906,341",906341,"906,341",225.06
"63,207,258",63207258,"63,207,258",224.82
"10,300,000",10300000,"10,300,000",224.27
"48,580,102",48580102,"48,580,102",223.91
"556,159",556159,"556,159",223.16
"1,300,000",1300000,"1,300,000",223.08
"834,708",834708,"834,708",222.96
"1,602,458",1602458,"1,602,458",222.78
"622,800",622800,"622,800",222.59
"6,882,489",6882489,"6,882,489",222.24
"17,727,950",17727950,"17,727,950",221.85
"2,250,946",2250946,"2,250,946",221.77
"4,020,469",4020469,"4,020,469",221.73
"1,703,819",1703819,"1,703,819",221.69
"10,393,680",10393680,"10,393,680",221.08
"1,172,617",1172617,"1,172,617",220.83
"1,206,770",1206770,"1,206,770",220.60
"5,322,238",5322238,"5,322,238",220.27
"719,638",719638,"719,638",219.98
"1,094,666",1094666,"1,094,666",219.37
"2,171,492",2171492,"2,171,492",219.33
"1,111,687",1111687,"1,111,687",218.82
"805,029",805029,"805,029",218.78
"12,127,395",12127395,"12,127,395",218.69
"9,762,332",9762332,"9,762,332",218.67
"879,670",879670,"879,670",218.66
"1,674,690",1674690,"1,674,690",217.27
"1,344,240",1344240,"1,344,240",217.21
"516,164",516164,"516,164",217.08
"12,867,410",12867410,"12,867,410",216.91
"3,363,800",3363800,"3,363,800",216.15
"10,181,000",10181000,"10,181,000",216.03
"809,450",809450,"809,450",215.54
"3,033,150",3033150,"3,033,150",215.48
"16,075,963",16075963,"16,075,963",215.40
"573,070",573070,"573,070",215.35
"1,484,883",1484883,"1,484,883",215.26
"676,000",676000,"676,000",215.24
"15,610,826",15610826,"15,610,826",215.10
"8,271,702",8271702,"8,271,702",214.45
"6,615,000",6615000,"6,615,000",213.62
"859,960",859960,"859,960",213.53
"666,210",666210,"666,210",213.26
"5,229,000",5229000,"5,229,000",213.00
"2,031,522",2031522,"2,031,522",212.89
"3,342,120",3342120,"3,342,120",212.86
"5,105,700",5105700,"5,105,700",212.60
"3,264,000",3264000,"3,264,000",212.59
"2,601,485",2601485,"2,601,485",212.23
"1,171,373",1171373,"1,171,373",212.06
"18,649,681",18649681,"18,649,681",211.97
"2,531,055",2531055,"2,531,055",211.33
"633,990",633990,"633,990",210.73
"1,009,846",1009846,"1,009,846",210.64
"1,815,835",1815835,"1,815,835",209.88
"2,177,950",2177950,"2,177,950",209.36
"2,124,990",2124990,"2,124,990",209.01
"4,693,330",4693330,"4,693,330",208.73
"1,290,312",1290312,"1,290,312",208.55
"1,087,520",1087520,"1,087,520",208.24
"2,498,792",2498792,"2,498,792",208.20
"3,080,610",3080610,"3,080,610",207.77
"1,759,490",1759490,"1,759,490",207.54
"667,837",667837,"667,837",206.87
"1,072,117",1072117,"1,072,117",206.86
"23,141,358",23141358,"23,141,358",206.37
"3,730,405",3730405,"3,730,405",206.10
"1,031,988",1031988,"1,031,988",205.70
"2,850,000",2850000,"2,850,000",205.51
"720,650",720650,"720,650",205.44
"4,832,212",4832212,"4,832,212",204.74
"1,263,420",1263420,"1,263,420",203.53
"1,944,720",1944720,"1,944,720",202.87
"1,585,727",1585727,"1,585,727",202.35
"2,737,704",2737704,"2,737,704",202.23
"868,406",868406,"868,406",201.99
"989,785",989785,"989,785",201.67
"1,173,908",1173908,"1,173,908",201.37
"590,642",590642,"590,642",201.07
"5,561,585",5561585,"5,561,585",200.64
"8,022,358",8022358,"8,022,358",200.58
"1,140,000",1140000,"1,140,000",200.43
"2,119,022",2119022,"2,119,022",200.06
"1,078,808",1078808,"1,078,808",199.77
"777,849",777849,"777,849",199.75
"3,973,460",3973460,"3,973,460",199.43
"2,065,220",2065220,"2,065,220",199.36
"1,105,569",1105569,"1,105,569",199.23
"24,429,686",24429686,"24,429,686",198.91
"8,527,777",8527777,"8,527,777",198.41
"15,292,051",15292051,"15,292,051",198.30
"2,370,645",2370645,"2,370,645",198.07
"753,352",753352,"753,352",198.06
"3,880,663",3880663,"3,880,663",197.11
"808,700",808700,"808,700",196.84
"3,450,305",3450305,"3,450,305",195.91
"11,484,801",11484801,"11,484,801",195.21
"787,160",787160,"787,160",194.81
"5,137,900",5137900,"5,137,900",194.68
"1,897,650",1897650,"1,897,650",194.60
"1,126,971",1126971,"1,126,971",194.37
"4,245,861",4245861,"4,245,861",193.76
"1,461,226",1461226,"1,461,226",193.45
"1,326,082",1326082,"1,326,082",193.40
"722,795",722795,"722,795",192.95
"1,818,032",1818032,"1,818,032",192.85
"964,998",964998,"964,998",192.84
"7,709,375",7709375,"7,709,375",192.62
"7,000,063",7000063,"7,000,063",192.57
"650,000",650000,"650,000",192.31
"828,820",828820,"828,820",190.97
"1,181,642",1181642,"1,181,642",190.48
"14,649,568",14649568,"14,649,568",190.28
"1,395,607",1395607,"1,395,607",190.17
"3,868,483",3868483,"3,868,483",190.02
"48,449,141",48449141,"48,449,141",189.88
"6,246,592",6246592,"6,246,592",189.78
"14,500,000",14500000,"14,500,000",189.70
"723,064",723064,"723,064",188.94
"12,554,325",12554325,"12,554,325",188.54
"3,226,280",3226280,"3,226,280",188.49
"575,120",575120,"575,120",188.42
"37,992,902",37992902,"37,992,902",188.32
"698,300",698300,"698,300",188.19
"6,564,162",6564162,"6,564,162",187.81
"2,818,652",2818652,"2,818,652",187.45
"19,351,090",19351090,"19,351,090",187.14
"685,567",685567,"685,567",186.89
"1,060,000",1060000,"1,060,000",186.79
"2,329,522",2329522,"2,329,522",186.71
"527,910",527910,"527,910",186.54
"36,995,102",36995102,"36,995,102",186.27
"2,322,241",2322241,"2,322,241",185.36
"3,686,000",3686000,"3,686,000",185.24
"659,402",659402,"659,402",184.26
"2,462,478",2462478,"2,462,478",184.14
"1,424,633",1424633,"1,424,633",183.54
"5,915,499",5915499,"5,915,499",183.23
"3,977,562",3977562,"3,977,562",183.17
"1,592,170",1592170,"1,592,170",182.86
"1,022,714",1022714,"1,022,714",182.41
"647,020",647020,"647,020",182.41
"2,281,929",2281929,"2,281,929",182.39
"6,381,674",6381674,"6,381,674",182.36
"581,520",581520,"581,520",182.02
"1,799,189",1799189,"1,799,189",181.97
"28,668,484",28668484,"28,668,484",181.29
"1,944,000",1944000,"1,944,000",181.27
"1,207,009",1207009,"1,207,009",180.95
"29,564,866",29564866,"29,564,866",180.89
"1,586,246",1586246,"1,586,246",180.88
"867,960",867960,"867,960",180.66
"4,608,343",4608343,"4,608,343",180.55
"2,269,510",2269510,"2,269,510",180.41
"1,778,890",1778890,"1,778,890",180.39
"3,137,630",3137630,"3,137,630",180.22
"554,004",554004,"554,004",179.79
"1,386,701",1386701,"1,386,701",179.35
"4,040,060",4040060,"4,040,060",179.23
"2,809,036",2809036,"2,809,036",179.21
"1,610,149",1610149,"1,610,149",178.97
"1,083,821",1083821,"1,083,821",178.52
"1,241,760",1241760,"1,241,760",178.13
"5,547,537",5547537,"5,547,537",178.05
"1,006,280",1006280,"1,006,280",177.33
"10,925,375",10925375,"10,925,375",177.06
"11,207,566",11207566,"11,207,566",176.94
"838,200",838200,"838,200",176.53
"3,372,820",3372820,"3,372,820",176.29
"12,479,120",12479120,"12,479,120",175.75
"574,487",574487,"574,487",175.70
"1,028,730",1028730,"1,028,730",175.61
"8,362,568",8362568,"8,362,568",175.59
"5,908,517",5908517,"5,908,517",175.27
"1,438,184",1438184,"1,438,184",175.07
"800,000",800000,"800,000",175.00
"4,788,000",4788000,"4,788,000",174.98
"2,003,540",2003540,"2,003,540",174.64
"944,107",944107,"944,107",174.60
"783,460",783460,"783,460",174.56
"31,477,723",31477723,"31,477,723",174.26
"3,517,519",3517519,"3,517,519",174.00
"12,074,454",12074454,"12,074,454",173.97
"6,024,830",6024830,"6,024,830",173.95
"1,488,875",1488875,"1,488,875",173.47
"2,550,263",2550263,"2,550,263",173.33
"9,283,620",9283620,"9,283,620",173.12
"1,699,234",1699234,"1,699,234",172.99
"579,436",579436,"579,436",172.45
"1,010,498",1010498,"1,010,498",172.17
"3,811,605",3811605,"3,811,605",172.09
"1,632,988",1632988,"1,632,988",172.02
"25,003,047",25003047,"25,003,047",172.00
"2,210,651",2210651,"2,210,651",171.87
"823,381",823381,"823,381",171.71
"2,287,420",2287420,"2,287,420",171.14
"1,314,806",1314806,"1,314,806",170.86
"870,070",870070,"870,070",170.85
"1,178,653",1178653,"1,178,653",170.83
"5,376,347",5376347,"5,376,347",170.63
"34,291,000",34291000,"34,291,000",170.62
"1,838,120",1838120,"1,838,120",170.53
"6,170,577",6170577,"6,170,577",170.52
"1,238,210",1238210,"1,238,210",170.39
"1,490,280",1490280,"1,490,280",169.82
"29,247,774",29247774,"29,247,774",169.30
"2,006,100",2006100,"2,006,100",168.86
"1,932,580",1932580,"1,932,580",168.79
"7,576,080",7576080,"7,576,080",168.70
"13,997,000",13997000,"13,997,000",168.68
"3,620,585",3620585,"3,620,585",168.54
"2,009,719",2009719,"2,009,719",168.48
"7,606,472",7606472,"7,606,472",168.03
"655,366",655366,"655,366",168.01
"5,268,390",5268390,"5,268,390",167.88
"888,395",888395,"888,395",167.73
"794,770",794770,"794,770",167.60
"702,609",702609,"702,609",167.55
"5,023,015",5023015,"5,023,015",167.54
"703,190",703190,"703,190",167.28
"8,552,857",8552857,"8,552,857",167.07
"2,500,644",2500644,"2,500,644",166.79
"5,851,000",5851000,"5,851,000",166.67
"986,286",986286,"986,286",166.56
"1,741,112",1741112,"1,741,112",166.38
"676,431",676431,"676,431",166.18
"1,467,195",1467195,"1,467,195",166.16
"3,477,788",3477788,"3,477,788",166.08
"10,944,325",10944325,"10,944,325",165.71
"4,794,822",4794822,"4,794,822",165.43
"14,683,064",14683064,"14,683,064",165.35
"6,801,966",6801966,"6,801,966",165.29
"14,051,407",14051407,"14,051,407",164.93
"1,729,707",1729707,"1,729,707",164.83
"2,395,445",2395445,"2,395,445",164.78
"1,236,098",1236098,"1,236,098",164.77
"910,386",910386,"910,386",164.38
"1,017,320",1017320,"1,017,320",163.97
"2,199,126",2199126,"2,199,126",163.93
"2,826,571",2826571,"2,826,571",163.42
"1,749,794",1749794,"1,749,794",163.42
"6,398,583",6398583,"6,398,583",163.27
"1,167,000",1167000,"1,167,000",162.65
"2,429,230",2429230,"2,429,230",162.51
"16,000,000",16000000,"16,000,000",162.50
"4,443,710",4443710,"4,443,710",162.17
"1,071,090",1071090,"1,071,090",161.84
"675,645",675645,"675,645",161.81
"9,009,270",9009270,"9,009,270",161.72
"2,409,730",2409730,"2,409,730",161.63
"1,900,000",1900000,"1,900,000",161.58
"1,897,113",1897113,"1,897,113",161.54
"639,410",639410,"639,410",161.45
"9,515,000",9515000,"9,515,000",161.37
"12,686,177",12686177,"12,686,177",161.21
"4,117,340",4117340,"4,117,340",161.11
"14,327,610",14327610,"14,327,610",160.94
"28,939,861",28939861,"28,939,861",160.04
"2,233,448",2233448,"2,233,448",159.98
"596,906",596906,"596,906",159.92
"6,278,456",6278456,"6,278,456",159.81
"2,968,892",2968892,"2,968,892",159.49
"997,518",997518,"997,518",159.42
"3,417,536",3417536,"3,417,536",159.33
"24,320,734",24320734,"24,320,734",158.84
"661,860",661860,"661,860",158.58
"1,005,658",1005658,"1,005,658",158.40
"9,161,867",9161867,"9,161,867",158.39
"3,647,000",3647000,"3,647,000",157.99
"4,526,000",4526000,"4,526,000",157.87
"900,686",900686,"900,686",157.82
"1,302,640",1302640,"1,302,640",157.62
"6,712,146",6712146,"6,712,146",157.55
"2,059,190",2059190,"2,059,190",157.40
"5,144,442",5144442,"5,144,442",157.07
"19,753,150",19753150,"19,753,150",156.87
"916,000",916000,"916,000",156.44
"21,717,432",21717432,"21,717,432",156.27
"1,332,330",1332330,"1,332,330",155.74
"6,909,799",6909799,"6,909,799",155.48
"8,575,344",8575344,"8,575,344",155.39
"1,382,844",1382844,"1,382,844",155.23
"1,074,130",1074130,"1,074,130",155.02
"22,805,398",22805398,"22,805,398",154.94
"818,658",818658,"818,658",154.86
"679,440",679440,"679,440",154.82
"12,153,143",12153143,"12,153,143",154.81
"7,399,729",7399729,"7,399,729",154.80
"9,717,860",9717860,"9,717,860",154.60
