07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct
"376,519",376519,"376,519","1,889.07"
"203,950",203950,"203,950","1,865.84"
"270,090",270090,"270,090","1,803.65"
"369,000",369000,"369,000","1,782.11"
"535,070",535070,"535,070","1,729.53"
"858,482",858482,"858,482","1,702.70"
"2,007,000",2007000,"2,007,000","1,690.63"
"375,323",375323,"375,323","1,666.64"
"362,320",362320,"362,320","1,664.65"
"805,870",805870,"805,870","1,659.07"
"3,306,795",3306795,"3,306,795","1,644.00"
"6,287,460",6287460,"6,287,460","1,637.55"
"128,176",128176,"128,176","1,624.69"
"255,062",255062,"255,062","1,613.70"
"330,763",330763,"330,763","1,604.74"
"107,492",107492,"107,492","1,598.31"
"131,164",131164,"131,164","1,586.90"
"1,199,580",1199580,"1,199,580","1,579.82"
"2,474,341",2474341,"2,474,341","1,561.33"
"270,750",270750,"270,750","1,546.97"
"742,746",742746,"742,746","1,494.85"
"314,150",314150,"314,150","1,459.11"
"249,176",249176,"249,176","1,453.83"
"320,411",320411,"320,411","1,420.90"
"672,821",672821,"672,821","1,389.24"
"145,398,192",145398192,"145,398,192","1,368.58"
"387,161",387161,"387,161","1,367.04"
"245,000",245000,"245,000","1,328.57"
"518,613",518613,"518,613","1,306.55"
"262,421",262421,"262,421","1,304.85"
"1,702,000",1702000,"1,702,000","1,298.53"
"188,680",188680,"188,680","1,283.67"
"7,930,094",7930094,"7,930,094","1,269.90"
"925,527",925527,"925,527","1,268.04"
"422,420",422420,"422,420","1,264.72"
"159,707",159707,"159,707","1,262.58"
"5,581,858",5581858,"5,581,858","1,257.04"
"113,072",113072,"113,072","1,254.32"
"247,465",247465,"247,465","1,251.43"
"139,300",139300,"139,300","1,249.94"
"228,076",228076,"228,076","1,242.47"
"684,874",684874,"684,874","1,241.42"
"171,057",171057,"171,057","1,234.31"
"291,481",291481,"291,481","1,225.70"
"882,099",882099,"882,099","1,216.25"
"664,000",664000,"664,000","1,214.76"
"217,460",217460,"217,460","1,211.43"
"530,667",530667,"530,667","1,198.37"
"427,339",427339,"427,339","1,179.02"
"299,598",299598,"299,598","1,163.47"
"159,128",159128,"159,128","1,156.25"
"6,753,191",6753191,"6,753,191","1,151.36"
"242,368",242368,"242,368","1,150.62"
"1,281,462",1281462,"1,281,462","1,148.16"
"131,691",131691,"131,691","1,137.06"
"620,283",620283,"620,283","1,135.70"
"252,713",252713,"252,713","1,133.10"
"815,690",815690,"815,690","1,132.04"
"130,290",130290,"130,290","1,131.09"
"2,201,178",2201178,"2,201,178","1,121.82"
"207,327",207327,"207,327","1,111.76"
"133,200",133200,"133,200","1,110.84"
"241,411",241411,"241,411","1,103.81"
"560,150",560150,"560,150","1,097.84"
"712,855",712855,"712,855","1,087.64"
"180,824",180824,"180,824","1,075.04"
"570,012",570012,"570,012","1,073.57"
"156,130",156130,"156,130","1,072.49"
"855,321",855321,"855,321","1,068.59"
"288,095",288095,"288,095","1,065.09"
"2,326,082",2326082,"2,326,082","1,061.67"
"1,383,205",1383205,"1,383,205","1,057.21"
"281,000",281000,"281,000","1,049.47"
"777,410",777410,"777,410","1,041.38"
"2,527,006",2527006,"2,527,006","1,033.39"
"522,712",522712,"522,712","1,019.79"
"337,525",337525,"337,525","1,005.08"
"692,440",692440,"692,440","1,003.16"
"551,000",551000,"551,000",991.29
"330,500",330500,"330,500",988.35
"455,000",455000,"455,000",975.16
"1,643,572",1643572,"1,643,572",969.96
"205,554",205554,"205,554",968.54
