03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu,07-silvestri-revenue_2020,08-slytherin-revenue
742746.0,doll_11.76 m,doll_11.76 m,doll_11.76 m,doll_7.20 m
314150.0,doll_4.9 m,doll_4.9 m,doll_4.9 m,doll_8.47 m
249176.0,doll_3.87 m,doll_3.87 m,doll_3.87 m,doll_2.16 m
320411.0,doll_4.84 m,doll_4.84 m,doll_4.84 m,doll_9.02 m
672821.0,doll_10.02 m,doll_10.02 m,doll_10.02 m,doll_43.21 m
145398192.0,doll_2120.07 m,doll_2.12 b,doll_2120.07 m,doll_40.9 m
387161.0,doll_5.64 m,doll_5.64 m,doll_5.64 m,doll_5.18 m
245000.0,doll_3.5 m,doll_3.5 m,doll_3.5 m,doll_30.01 m
518613.0,doll_7.29 m,doll_7.29 m,doll_7.29 m,doll_107.40 m
262421.0,doll_3.69 m,doll_3.69 m,doll_3.69 m,doll_34.64 m
1702000.0,doll_23.8 m,doll_23.8 m,doll_23.8 m,doll_73.76 m
188680.0,doll_2.61 m,doll_2.61 m,doll_2.61 m,doll_9.03 m
7930094.0,doll_107.86 m,doll_107.86 m,doll_107.86 m,doll_14.33 m
925527.0,doll_12.57 m,doll_12.57 m,doll_12.57 m,doll_64.4 m
422420.0,doll_5.76 m,doll_5.76 m,doll_5.76 m,doll_24.31 m
159707.0,doll_2.18 m,doll_2.18 m,doll_2.18 m,doll_5.45 m
5581858.0,doll_74.07 m,doll_74.07 m,doll_74.07 m,doll_10.11 m
113072.0,doll_1.53 m,doll_1.53 m,doll_1.53 m,doll_7.07 m
247465.0,doll_3.32 m,doll_3.32 m,doll_3.32 m,doll_12.47 m
139300.0,doll_1.88 m,doll_1.88 m,doll_1.88 m,doll_80.32 m
228076.0,doll_3.06 m,doll_3.06 m,doll_3.06 m,doll_12.16 m
684874.0,doll_9.19 m,doll_9.19 m,doll_9.19 m,doll_22.7 m
171057.0,doll_2.27 m,doll_2.27 m,doll_2.27 m,doll_7.3 m
291481.0,doll_3.86 m,doll_3.86 m,doll_3.86 m,doll_8.62 m
882099.0,doll_11.53 m,doll_11.53 m,doll_11.53 m,doll_1.43 m
664000.0,doll_8.73 m,doll_8.73 m,doll_8.73 m,doll_144.86 m
217460.0,doll_2.85 m,doll_2.85 m,doll_2.85 m,doll_1.86 m
530667.0,doll_6.89 m,doll_6.89 m,doll_6.89 m,doll_1.89 m
427339.0,doll_5.47 m,doll_5.47 m,doll_5.47 m,doll_8.35 m
299598.0,doll_3.79 m,doll_3.79 m,doll_3.79 m,doll_11.39 m
159128.0,doll_1.72 m,doll_1.72 m,doll_1.72 m,doll_271.48 m
6753191.0,doll_79.3 m,doll_79.3 m,doll_79.3 m,doll_9.16 m
242368.0,doll_3.03 m,doll_3.03 m,doll_3.03 m,doll_28.7 m
1281462.0,doll_15.88 m,doll_15.88 m,doll_15.88 m,doll_14.54 m
131691.0,doll_1.63 m,doll_1.63 m,doll_1.63 m,doll_5.62 m
620283.0,doll_7.66 m,doll_7.66 m,doll_7.66 m,doll_3.77 m
252713.0,doll_2.68 m,doll_2.68 m,doll_2.68 m,doll_20.56 m
815690.0,doll_10.05 m,doll_10.05 m,doll_10.05 m,doll_26.85 m
130290.0,doll_1.6 m,doll_1.6 m,doll_1.6 m,doll_13.04 m
2201178.0,doll_26.89 m,doll_26.89 m,doll_26.89 m,doll_21.46 m
207327.0,doll_2.51 m,doll_2.51 m,doll_2.51 m,doll_35.35 m
133200.0,doll_1.61 m,doll_1.61 m,doll_1.61 m,doll_43.7 m
241411.0,doll_2.91 m,doll_2.91 m,doll_2.91 m,doll_3.23 m
560150.0,doll_6.71 m,doll_6.71 m,doll_6.71 m,doll_35.34 m
712855.0,doll_8.47 m,doll_8.47 m,doll_8.47 m,doll_15.84 m
180824.0,doll_2.12 m,doll_2.12 m,doll_2.12 m,doll_3.05 m
570012.0,doll_6.69 m,doll_6.69 m,doll_6.69 m,doll_7.23 m
156130.0,doll_1.83 m,doll_1.83 m,doll_1.83 m,doll_6.7 m
855321.0,doll_9.92 m,doll_9.92 m,doll_9.92 m,doll_36.1 m
288095.0,doll_3.33 m,doll_3.33 m,doll_3.33 m,doll_67.91 m
2326082.0,doll_24.72 m,doll_24.72 m,doll_24.72 m,doll_37.92 m
1383205.0,doll_16.01 m,doll_16.01 m,doll_16.01 m,doll_13.85 m
281000.0,doll_3.23 m,doll_3.23 m,doll_3.23 m,doll_12.64 m
777410.0,doll_8.87 m,doll_8.87 m,doll_8.87 m,doll_5.21 m
2527006.0,doll_28.0 m,doll_28.0 m,doll_28.0 m,doll_1.47 m
522712.0,doll_5.74 m,doll_5.74 m,doll_5.74 m,doll_13.62 m
337525.0,doll_3.73 m,doll_3.73 m,doll_3.73 m,doll_14.34 m
692440.0,doll_7.64 m,doll_7.64 m,doll_7.64 m,doll_6.85 m
551000.0,doll_6.01 m,doll_6.01 m,doll_6.01 m,doll_8.81 m
330500.0,doll_3.6 m,doll_3.6 m,doll_3.6 m,doll_6.7 m
455000.0,doll_4.89 m,doll_4.89 m,doll_4.89 m,doll_30.07 m
1643572.0,doll_17.58 m,doll_17.58 m,doll_17.58 m,doll_79.68 m
205554.0,doll_2.2 m,doll_2.2 m,doll_2.2 m,doll_13.45 m
643299.0,doll_6.84 m,doll_6.84 m,doll_6.84 m,doll_1.70 m
628384.0,doll_6.62 m,doll_6.62 m,doll_6.62 m,doll_14.73 m
21098843.0,doll_221.39 m,doll_221.39 m,doll_221.39 m,doll_1.93 m
160539.0,doll_1.67 m,doll_1.67 m,doll_1.67 m,doll_6.56 m
2131000.0,doll_22.14 m,doll_22.14 m,doll_22.14 m,doll_21.85 m
1521010.0,doll_15.49 m,doll_15.49 m,doll_15.49 m,doll_11.58 m
194780.0,doll_2.02 m,doll_2.02 m,doll_2.02 m,doll_30.89 m
291720.0,doll_3.0 m,doll_3.0 m,doll_3.0 m,doll_148.23 m
167000.0,doll_1.72 m,doll_1.72 m,doll_1.72 m,doll_7.07 m
