05-MalPatSaj-notes,02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters
architecture,lisbon,copenhagen,heidenheim an der brenz
"transportation, energy",oeiras,copenhagen,heidenheim an der brenz
lighting,setúbal,aarhus,heidenheim an der brenz
drug stores,lisbon,allerød,heidenheim an der brenz
software consultancy,lisbon,copenhagen,team disney building
conglomerate,lisbon,copenhagen,team disney building
software consultancy,matosinhos,gladsaxe,team disney building
pornographic magazines,lisbon,copenhagen,team disney building
film studio,viseu,copenhagen,"addison, texas"
media group,ílhavo,gladsaxe,sarjapur road
private equity advising,warsaw,copenhagen,aschheim
pharmaceuticals,turek,copenhagen,haidian district
biotech,warsaw,copenhagen,haidian district
financial services,wronki,copenhagen,haidian district
power and natural gas,rzeszów,fredericia,"hohhot, inner mongolia"
sports,warsaw,copenhagen,"hamamatsu, shizuoka"
pharmaceuticals,warsaw,vejle,moscow
pharmaceuticals,bełchatów,holbæk,moscow
photography,kostrzyn,copenhagen,moscow
law firm,bochnia,copenhagen,moscow
postal,lublin voivodeship,copenhagen,moscow
engineering,kraków,copenhagen,"pune, india"
local utility company,łomża,roskilde,"pune, india"
porcelain,warsaw,copenhagen,
brewery,warsaw,faxe,bradford
financial services,kraków,copenhagen,hsinchu science park
logistics,elbląg,copenhagen,
financial services,warsaw,copenhagen,
tobacco,poznań,copenhagen,
architecture,łódź,copenhagen,
sporting goods,chrzanów,copenhagen,
health sector equipment,bielsko-biała,vallensbæk,
fashion retailer,warszawa,copenhagen,
international information management,kraśnik,århus,
telecommunications,katowice,copenhagen,
"defense, aerospace",gaworzyce,lystrup,
plastic bricks,warsaw,billund,
shipping,polkowice,copenhagen,
"brewery, part of carlsberg group",tarnów,fredericia,
shipping,gdańsk,middelfart,
windows,gubin,hørsholm,
wind turbines,ruda śląska,aarhus,
oil and gas wells,warsaw,allerød,
hearing aids,katowice,lynge,
health care,warsaw,ledøje-smørum,
film studio,warsaw,hvidovre,
brewery,jastrzębie-zdrój,tartu,
airline,lubin,tallinn,
oil & gas,warsaw,tallinn,
software development,kłodawa,tallinn,
"cable, isp",poznań,tallinn,
"airline, defunct 2016",katowice,tallinn,
apparel,poznań,tallinn,
shipbuilding,wrocław,tallinn,
"ride-hailing, food delivery, micromobility",warsaw,tallinn,
"helicopter airline, defunct 2016",gdańsk,tallinn,
energy company,wadowice,tallinn,
natural gas company,warsaw,tallinn,
national railway company,warsaw,tallinn,
electrical distribution,brzesko,tallinn,
passenger rail operator,warsaw,tallinn,
mining,warsaw,jõhvi,
engineering support,bydgoszcz,jõhvi,
"airline, defunct 2008",warsaw,tallinn,
"domain provider, defunct 2008",płock,tartu,
pianos,warsaw,tallinn,
recording studio,warsaw,tallinn,
payments,warsaw,tartu,
passenger rail operator,warsaw,tallinn[10],
confectionery producer,warsaw,lehmja,
distillery,warsaw,tallinn,
recording studio,warsaw,tallinn,
shale oil producer,szczecin,auvere,
software development,warsaw,tallinn,
gas station chain,warsaw,tartu[11],
postal service,narew,tallinn,
book publisher,białystok,tallinn,
medical diagnostics,warsaw,tartu,
meat,konstancin-jeziorna,roodevälja,
ferry traffic,pudliszki,kuressaare,
brewery,warsaw,saku,
bank,warszawa,tallinn,
supermarkets,bolechowo,tallinn,
broadcaster,bydgoszcz,tallinn,
logistics,warsaw,tallinn,
"cable network, tv channel, isp, security service",warsaw,tallinn,
ferry traffic,warsaw,tallinn,
public transport operator in tallinn,warsaw,tallinn,
publisher,warsaw,tallinn,
grain,tymbark,tartu,
telecommunications services,rakszawa,tallinn,
electronic components,wieliczka,tallinn,
recording studio,poznań,tallinn,
shopping center,tarnów,tallinn,
book publisher,utrecht,tallinn,
shale extractor,utrecht,kohtla-järve,
electrical distribution,amsterdam,narva,
software development,amsterdam,tartu,
fiber materials,heerenveen,helsinki,
finance,the hague,helsinki,
state alcoholic beverage retailer,zaandam,helsinki,
digital media,amsterdam,helsinki,
alcoholic beverages,zoeterwoude,helsinki,
sporting equipment,the hague,helsinki,
finance,amsterdam,mariehamn,
computer software,amsterdam,espoo,
electronics,veldhoven,oulu,
cargo-handling machinery,the hague,helsinki,
computer security testing,amsterdam,oulu,
telecommunications services,veenendaal,helsinki,
shipping,veendam,helsinki,
disc jockey hardware,lieshout,espoo,
telecommunications services,uden,helsinki,
food and restaurants,utrecht,helsinki,
electricity transmission,amsterdam,helsinki,
airline,amsterdam,vantaa,
shipping,amsterdam,helsinki,
"kitchen, garden, and outdoors equipment",amsterdam,helsinki,
energy,lijnden,espoo,
computer software,eindhoven,helsinki,
beverages,gorinchem,helsinki,
fast food restaurants,breda,turku,
food,lelystad,turku,
online business banking,utrecht,helsinki,
food packaging,heerlen,espoo,
chemicals,amsterdam,helsinki,
welding,amsterdam,lahti,
retailing,amsterdam,helsinki,
elevators and escalators,delft,helsinki,
lifting equipment,amsterdam,hyvinkää,
restaurants,haarlem,helsinki,
construction,heerlen,helsinki,
fashion design,amersfoort,helsinki,
"paper, pulp, timber",leidschendam,helsinki,
equipment and services for process industries,amsterdam,helsinki,
"petroleum, biofuels",enschede,espoo,
telecommunications infrastructure and equipment,amsterdam,espoo,
part of nokia,amsterdam,espoo,
boots,leiden,helsinki,
tyres,amsterdam,nokia,
beverages,amsterdam,helsinki,
finance and insurance,de bilt,helsinki,
pharmaceuticals,groningen,espoo,
steel,hilversum,helsinki,
mineral and metals processing technology,rotterdam,espoo,
military technology,leiden,helsinki,
dental and medical technology,amsterdam,helsinki,
energy,schiphol-rijk,helsinki,
fitness equipment,amsterdam,kempele,
forestry vehicles,veghel,vieremä,
nuclear waste management,amsterdam,eurajoki,
postal service,amstelveen,helsinki,
consulting and engineering,amstelveen,vantaa,
it for energy companies,the hague,helsinki,
food,best,raisio,
steel products,amsterdam,helsinki,
video games,arnhem,espoo,
"retailing, hotels",amsterdam,helsinki,
insurance,schiphol-oost,helsinki,
books and magazines,utrecht,helsinki,
"shipping, part of tallink (estonia)",amsterdam,helsinki,
heavy duty trucks & military vehicles,amsterdam,helsinki,
investments,amsterdam,helsinki[7],
computer software,eindhoven,helsinki,
petroleum,venlo,helsinki,
construction,lainate,oulu,
retailing,eindhoven,helsinki,
"network security, defunct, now part of forcepoint (usa)",the hague,helsinki,
"paper, pulp, timber",amsterdam,helsinki,
convenience and care nonwovens,maastricht,helsinki,
video games,utrecht,helsinki,
"technical sports equipment, part of amer sports",diemen,vantaa,
nickel mining,bunnik,espoo,
information technology,papendrecht,helsinki,
paints,gouda,vantaa,
"paper, pulp, timber, biofuels",schiphol,helsinki,
variable-speed ac drives,rotterdam,vaasa,
environmental measuring technology,schiedam,vantaa,
food,heemstede,helsinki,
car assembly,utrecht,uusikaupunki,
industrial equipment,amsterdam,espoo,
tractors,zeewolde,äänekoski,
storefront and online retail,naarden,helsinki,
shipping,hilversum,mariehamn,
rail transport,amsterdam,helsinki,
power plants and marine propulsion systems,alphen aan den rijn,helsinki,
helium,hengelo,voikoski[8],
construction,amsterdam,helsinki,
hotels,hoofddorp,paris,
"aviation, defunct 1933",amsterdam,toulouse,
"military contractor, defunct 2000",amsterdam,paris[7],
part of air france–klm,schiphol-oost,tremblay-en-france,
aviation,zeist,tremblay-en-france,
aeronautical products,dordrecht,toulouse,
industrial gas,schiphol-rijk,paris,
"defunct 2016, now part of nokia (finland)",heerenveen,boulogne-billancourt,
cosmetics,valkenswaard,paris,
railway transport,born,saint-ouen,
"engineering consulting, part of capgemini",amsterdam,paris,
"sports events, part of éditions philippe amaury",amsterdam,issy-les-moulineaux,
"aerospace, defense and security",haarlem,issy-les-moulineaux,
"commercial launch provider, part of arianegroup",rotterdam,courcouronnes,
video games,maastricht,lyon,
french - german television,amersfoort,strasburg,
"aerospace manufacturer, defunct 2013",zwolle,paris,
web analytics,utrecht,bordeaux,
"video games, formerly known as infogrames",amsterdam,paris,
"property consultancy, defunct 2009",alphen aan den rijn,levallois-perret,
software and it consulting,alphen aan den rijn,bezons,
"retail food, supermarkets",luqa,croix,
"life, property insurance",swatar,paris,
sports equipment,santa venera,lyon,
"glassware, fine crystal",valletta,paris,
film and tv production and distribution,valletta,paris,
"defunct 1974, now part of crédit agricole",marsa,paris,
cheese,valletta,paris,
banking group,valletta,paris,
logistics,marsa,puteaux,
food,luqa,villeneuve d'ascq,
part of bouygues,pietà,paris,
"telecommunications, industrials, travel & leisure",birkirkara,paris,
ferries,st julian's,roscoff,
part of bugatti rimac (croatia),marsa,molsheim,
"television, part of vivendi",birkirkara,issy-les-moulineaux,
technology consulting,gżira,paris,
hypermarkets,luqa,boulogne-billancourt,
"jewelry, watches",munsbach,saint-ouen,
clothing retailer,luxembourg city,paris,
fashion,luxembourg city,neuilly-sur-seine,
"lingerie, apparel",luxembourg city,cachan,
luxury goods,luxembourg city,paris,
part of stellantis (netherlands),luxembourg city,rueil-malmaison,
shipping,leudelange,marseille,
,luxembourg city,cestas,
banking network,luxembourg city,montrouge,
"commercial bank, now hsbc france part of hsbc (uk)",bascharage,paris,
banking group,bereldange,paris,
europe's second largest home furnishment company,sandweiler,saint-priest,
"bank, part of groupe bpce",strassen,charenton-le-pont,
"defunct, now part of crédit agricole",luxembourg city,paris,
online advertising,luxembourg city,paris,
food and dairy,mamer,paris,
aviation,luxembourg city,paris,
software,luxembourg city,vélizy-villacoublay,
"jewelry, watches",luxembourg city,paris,
clothing and sportswear,luxembourg city,villeneuve-d'ascq,
"franco-belgian, defunct",luxembourg city,paris,
luxury goods,howald,paris,
food services and facilities,luxembourg city,paris,
"newspaper, television",luxembourg city,boulogne-billancourt,
luxury goods,luxembourg city,paris,
power generation,luxembourg city,paris,
merged into totalenergies in 2003.,luxembourg city,courbevoie[9],
merger of gaz de france and suez,sandweiler,la défense,
"optical equipment, part of essilorluxottica",doncols,charenton-le-pont,
satellite provider,luxembourg city,paris,
retail chain,leudelange,ivry-sur-seine,
nuclear reactors,howald,courbevoie,
"isp, part of iliad sa",luxembourg city,paris,
department store chain,capellen,paris,
"video games, part of vivendi",luxembourg city,paris,
domain name registrar,luxembourg city,paris,
film studio,luxembourg city,neuilly-sur-seine,
"defunct 2002, now part of merck serono (germany)",luxembourg city,paris,
"infrastructure, operates channel tunnel",lintgen,paris,
bank,kirchberg,paris,
part of atos,luxembourg city,les clayes-sous-bois,
retailer,betzdorf,saint-étienne,
"publisher, part of lagardère group",luxembourg city,paris,
"magazine publisher, part of lagardère group",luxembourg city,paris,
advertising and pr,luxembourg city,paris,
luxury goods,luxembourg city,paris,
diversified manufacturing,luxembourg city,paris,
telecom,luxembourg city,paris,
display and advertising equipment,bertrange,neuilly-sur-seine,
transport group,jonava,paris,
luxury goods (formly known as ppr),alytus,paris,
postal services,vilnius,paris,
pharma and cosmetics,vilnius,paris,
clothing,vilnius,troyes,
dairy,vilnius,laval,
"construction and concrete, part of lafargeholcim",vilnius,paris,
outdoor equipment,vilnius,paris,
media conglomerate,klaipėda,paris,
"cosmetics, part of l'oréal",šiauliai,paris,
sportswear,vilnius,entzheim,
"automobiles, defunct 1931",karmėlava,suresnes,
cosmetics,vilnius,clichy,
part of lvmh,vilnius,paris,
luxury goods group,šiauliai,paris,
"software, defunct 2015",panevėžys,paris,
forklifts,vilnius,metz,
ferries,vilnius,marseille,
"defunct 2000, now eads astrium",vilnius,toulouse,
"defunct 2003, now part of lagardère group",vilnius,romorantin-lanthenay,
"bicycle parts, part of salomon group",vilnius,annecy,
video games,kaunas,montrouge,
tires,vilnius,clermont-ferrand,
"video games, part of anuman",vilnius,montreuil,
clothing,kaunas,saint-sauveur-de-montagut,
"animation production, defunct 2014",vilnius,paris,
shipyards,kaunas,paris,
pharma,vilnius,valbonne,
car parts and repairs,riga,lesquin,
telecom,sigulda,paris,
"uranium, nuclear fuel, nuclear recycling",riga,courbevoie,
"sporting goods, part of lafuma",riga,mérignac,
manufacturing,ventspils,paris,
"cinema, film equipment and production",riga,paris,
"offshoring, business support",riga,orléans,
distilled beverages,riga,paris,
"car manufacturer, part of stellantis (netherlands)",cēsis,rueil-malmaison,
merged with fiat chrysler automobiles to form stellantis,riga,rueil-malmaison,
marketing and pr,riga,paris,
video games,riga,paris,
public transport,riga,paris,
car manufacturer,riga,boulogne-billancourt,
commercial equipment,riga,paris,
"chemicals, part of solvay s.a. (belgium)",riga,la défense,
"chemical, merged with hoechst ag to form aventis",riga,paris,
aircraft engines,riga,paris,
"defunct 2005, now safran",riga,paris,
building materials,riga,la défense,
sports equipment,riga,épagny-metz-tessy,
formed by merger of sanofi-synthélabo and aventis (the original incarnation of sanofi was established in 1973),riga,paris,
energy and automation equipment,riga,rueil-malmaison,
logistics,riga,puteaux,
cosmetic retailer,riga,paris,
pharmaceuticals,riga,suresnes,
"telecom, isp",riga,paris,
wireless devices,riga,labège,
passenger rail,riga,saint-denis,
"engines, part of safran",olaine,courcouronnes,
consumer goods,riga,clichy,
banking and financial services,riga,la défense,
food services and facilities,riga,issy-les-moulineaux,
"it consulting, part of capgemini",riga,paris,
consulting and development,riga,annecy,
"utilities, defunct 2008",riga,paris,
media support,riga,issy-les-moulineaux,
"business support, merged into technipfmc (uk)",riga,paris,
media holdings,riga,boulogne-billancourt,
aerospace electrical,riga,la défense,
merged into thales group,mārupe,paris,
petrolueum,riga,courbevoie,
video games,turin,rennes,
water utilities and treatment,brescia,paris,
construction,turin,rueil-malmaison,
mass media,gornate-olona,paris,
"pens, part of sanford l.p. (us)",varese,paris,
yogurt,rome,boulogne-billancourt,
watches,rome,glashütte,
banking and financial services,alessandria,wiesbaden,
shoes & sports apparel & accessories manufacturer,villafranca di verona,herzogenaurach,
discount retail chains,fiumicino,essen,
insurance and asset management,veggiano,munich,
automotive manufacturer,venegono superiore,buchloe,
chemicals,rome,wesel,
part of bp,omegna,bochum,
insurance,turin,düsseldorf,
machinery and injection molding,fiumicino,loßburg,
defunct 2009,milan,essen,
"telecom, part of vodafone (uk)",asolo,eschborn,
fashion,morrovalle,cologne,
"auto manufacturer, part of volkswagen group",rome,ingolstadt,
confectionery,rome,berlin,
copper manufacturing,genoa,hamburg,
"defunct, now part of audi",genoa,neckarsulm,
digital publishing,noale,berlin,
medical devices and pharma,milan,melsungen,
film studio,milan,potsdam,
biscuits and cakes,segrate,hanover,
largest chemical producer in the world.,pregnana milanese,ludwigshafen,
film studio,trieste,grünwald,
chemicals and pharmaceuticals,monza,leverkusen,
agribusiness conglomerate,milan,munich,
automotive parts,rozzano,schiltach,
information technology services,rome,neckarsulm,
alcoholic beverages,turin,bremen,
part of mahle gmbh,campogalliano,stuttgart,
audio systems,novedrate,willich,
cosmetics,san mauro pascoli,hamburg,
software holding company,genoa,berlin,
automotive parts,siena,hanover,
mass media,rome,gütersloh,
audio electronics,milan,heilbronn,
"construction, engineering and services",verona,mannheim,
shoes manufacturer,forlì,neustadt,
brewery,parma,bitburg,
biotechnology,san zenone degli ezzelini,mainz,
"shipyard, part of lürssen",urbino,hamburg,
"music, part of bertelsmann",pesaro,berlin,
automotive,viareggio,munich,
pharmaceuticals,ponzano veneto,ingelheim am rhein,
mechanical engineering,montano lucino,boppard,
automotive modifications and tuning,brescia,bottrop,
"razors and small appliances, part of procter & gamble (us)",lucca,kronberg,
chemical distribution,rignano sull'arno,mülheim,
musical instruments,vigasio,berlin,
engineering and export,milan,hamburg,
firearms,rimini,ulm,
optical systems,lissone,oberkochen,
biotechnology,rimini,tübingen,
"pharmaceuticals, defunct 2017, now part of mckesson",assemini,stuttgart,
cinemas,biella,lübeck,
"circus, entertainment",udine,munich,
agricultural machinery,induno olona,harsewinkel,
banking,livorno,frankfurt,
"leisure airline, part of thomas cook group (uk)",fiumicino,frankfurt,
"auto parts and supplies, part of schaeffler group",carpi,hanover,
"materials and coatings, part of bayer",milan,leverkusen,
multinational automotive firm,potenza picena,stuttgart,
"low-cost airline, defunct 2008",montegranaro,munich,
"pharma, consumer goods, logistics",milan,bad homburg vor der höhe,
weekly news magazine,alessandria,hamburg,
state railways,cavarzere,berlin,
banking,vicenza,frankfurt,
securities marketplace,parma,frankfurt,
"phonogramm producer, producer of the first compact disc, now part of universal music group (us)",florence,hanover,
largest fairground in the world,milan,hanover,
real estate financing bank,brescia,unterschleißheim,
postal services,stezzano,bonn,
telecommunications,rome,bonn,
financial advice,pordenone,frankfurt,
mechanical engineering,turin,cologne,
"logistics, part of deutsche post",perugia,bonn,
machinery,bologna,eppingen,
avionics,sansepolcro,überlingen,
arms,rome,überlingen,
"metals, forges",casale monferrato,röthenbach an der pegnitz,
guitar amplifiers,fiumicino,bad steben,
online dance music retail store,varese,vachendorf,
"defunct 1932, now part of audi",rome,?,
perfume and cosmetics retailer,capolona,hagen,
scissors and razors,milan,solingen,
food producer,vicenza,bielefeld,
medical technology,milan,lübeck,
"now part of commerzbank, defunct 2009",sovico,frankfurt,
plant and machinery construction,brugherio,stuttgart,
financials,rome,frankfurt,
electric power,bologna,essen,
part of staedtler,padua,neumarkt in der oberpfalz,
electric motors and fans,milan,mulfingen,
writing instruments,milan,ahrensburg,
supermarkets,turin,berlin,
automotive parts,milan,dettingen an der erms,
electric power,modena,karlsruhe,
electronics,milan,oberhaching,
"rocket parts, defunct 1977",milan,bremen,
electronics,meda,munich,
"mobile network, part of telefónica germany",recanati,düsseldorf,
part of lufthansa,como,düsseldorf,
specialty chemicals,parma,essen,
writing instruments,milan,stein,
power tools,turin,schwäbisch gmünd,
"industrial services, machinery",san lazzaro di savena,essen,
automation,milan,esslingen am neckar,
construction sets,cambiago,waldachtal,
cookware manufacturer,modena,idar-oberstein,
defunct helicopter manufacturer,settala,hoykenkamp,
"aircraft manufacturer, defunct 1964",turin,bremen,
backpacks,ancona,cologne,
"automobile manufacturer, part of ford motor company (us)",milan,cologne,
"automobile manufacturer, part of ford motor company (us)",bologna,cologne,
family holding company,casalecchio di reno,duisburg,
airports,mercato san severino,frankfurt,
telecommunications,mantua,büdelsdorf,
health care,genoa,bad homburg vor der höhe,
part of fresenius,castelfidardo,bad homburg vor der höhe,
"consumer goods, telecommunications, industrials",molvena,weinheim,
"frozen foods, foodservice, commercial catering",varano de' melegari,bremerhaven,
lubricants,valenza,mannheim,
garden tools,buttrio,ulm,
machinery and technology for refrigeration and livestock farming,caldonazzo,düsseldorf,
furniture manufacturer,novara,frankenberg,
part of lufthansa,fara san martino,cologne,
mineral water,milan,gerolstein,
packaging products,modena,düsseldorf,
automotive parts,cabiate,untergruppenbach,
market research,treviso,nuremberg,
biotechnology,milan,martinsried,
"electronics, part of koç holding (turkey)",francofonte,nuremberg,
"publishing house, part of bertelsmann",caerano di san marco,hamburg,
electronics,breganze,monheim,
shipping,milan,hamburg,
"aircraft manufacturer, defunct 1969",macchia d'isernia,hamburg,
reinsurance firm,bologna,hanover,
shipping,bologna,hamburg,
confectionery,brixen,bonn,
arms,milan,oberndorf am neckar,
building materials,genoa,heidelberg,
printing machines,recanati,heidelberg,
"aircraft manufacturer, defunct 1965",perugia,warnemünde,
automotive parts,naples,lippstadt,
"consumer goods, industrial goods",rome,düsseldorf,
engineering,modena,hanau,
tunnel boring machines,rome,schwanau,
construction,milan,essen,
"chemicals, defunct 2004",torrile,frankfurt,
"mining, steel, defunct 1991",milan,dortmund,
"defunct 1945, now part of audi",milan,köln-ehrenfeld cologne,
management consulting,milan,stuttgart,
shipbuilding,genoa,kiel,
publishing and mass media,milan,offenburg,
luxury fashion,calto,metzingen,
"finance and insurance, part of unicredit (italy)",cormano,munich,
nationalized holding company,milan,munich,
automotive supplier,sesto san giovanni,berlin,
defunct 2012,gardone val trompia,frankfurt,
semiconductor manufacturer,barzago,neubiberg,
defunct 1990,osimo,berlin,
kitchenware,sacile,solingen,
vacuum technology,verona,glatten,
camping and outdoor,milan,idstein,
shoes & sports apparel & accessories manufacturer,rome,mulfingen,
optoelectronics engineering,maranello,jena,
fashion,alba,hamburg,
watches,forlì,schramberg,
"aircraft manufacturer, defunct 1969",rome,dessau,
fertilisers,turin,kassel,
cleaning equipment,trieste,winnenden,
"sugar confectionery market, part of katjes group",lecco,emmerich am rhein,
"hypermarket, part of schwarz gruppe",turin,neckarsulm,
paints,turin,diedorf,
financial services,bergamo,frankfurt,
metal distribution,vicenza,duisburg,
"food brand, part of unilever (uk/netherlands)",algund,heilbronn,
braking systems,brescia,munich,
printing machines,milan,würzburg,
mechanical engineering,monza,hamburg,
"mechanical engineering, part of chemchina (china)",arcugnano,munich,
brewery,gallarate,kreuztal,
mechanical engineering,bologna,neutraubling,
mechanical engineering,milan,frankenthal,
automation,canelli,augsburg,
writing instruments,castelnuovo del garda,heidelberg,
chemicals,milan,cologne,
optical imaging,novi ligure,wetzlar,
"cameras, defunct 1962",milan,wetzlar,
cable and harnessing manufacturing,rome,nuremberg,
part of schwarz gruppe,montebelluna,neckarsulm,
textile machinery,missaglia,lindau,
machine translation,pontedera,pasing,
camera manufacturer,genoa,munich,
consumer electronics,scafati,kronach,
"brewery, part of anheuser-busch inbev (belgium)",venice,munich,
"airline catering, part of lufthansa",turin,neu-isenburg,
"leisure airline, defunct 2009",palermo,düsseldorf,
largest german airline,courmayeur,cologne,
shipyard,milan,bremen-vegesack,
trucks and industrial vehicles,milan,ulm,
"software publisher, part of bellevue investments",rome,berlin,
automotive parts,florence,stuttgart,
"automotive, mechanical engineering, part of volkswagen group",milan,munich,
"now part of vodafone, thyssenkrupp, siemens, salzgitter ag",cuneo,düsseldorf,
alcohol,bologna,wolfenbüttel,
shoes manufacturer,naples,kirchanschöring,
musical instruments,turin,gutenstetten,
musical instruments,trieste,geretsried,
porcelain,parma,meissen,
coffee,fabriano,minden,
industrial plugs and connectors,milan,kirchhundem,
"automobile and engine manufacturing, part of daimler ag",sarzana,affalterbach,
"automotive, part of daimler ag",turin,stuttgart,
pharmaceuticals,venice,darmstadt,
"aircraft manufacturer, defunct 1968",bresso,augsburg,
diversified retailer,milan,düsseldorf,
"electronics manufacturer, defunct 2014",rome,zirndorf,
shipbuilding,bergamo,papenburg,
domestic appliances,moncalieri,gütersloh,
luxury goods,castel san pietro terme,hamburg,
reinsurance,turin,munich,
dairy,turin,fischach,
software,naples,munich,
software,milan,karlsruhe,
"supermarkets, part of edeka",albiate,maxhütte-haidhof,
sugar,bologna,braunschweig,
"now part of audi, defunct",milan,neckarsulm,
"automotive, part of groupe psa (france)",ziano di fiemme,rüsselsheim am main,
defunct 1999,omegna,berlin,
lighting,sant'agata bolognese,munich,
mail order company,milan,hamburg,
"wheel chairs, prosthetics",turin,duderstadt,
"brewery, part of brau holding international",cavriago,munich,
"chemicals, energy, logistics",turin,duisburg,
"supermarkets, part of rewe group",breganze,cologne,
defunct 2002,pompei,frankfurt,
automation,rome,blomberg,
"part of edeka, defunct 2009",milan,mülheim,
"high performance vehicles, part of volkswagen group",ritten,stuttgart,
mass media,quarona,unterföhring,
software design and consulting,treviso,karlsruhe,
shoes & sports apparel & accessories manufacturer,naples,herzogenaurach,
concrete pumps,milan,aichtal,
"brewery, part of dr. oetker",crespellano,radeberg,
vehicle seating,corbetta,stuttgart,
tobacco and cigarette,samarate,hamburg,
polymer-based products supplier,san lazzaro di savena,rehau,
"supermarkets, retail",bologna,cologne,
defense and automotive,cassola,düsseldorf,
"automotive parts, part of rheinmetall",milan,neckarsulm,
"luggage and travel accessories, acquired by lvmh in 2016",milan,cologne,
chocolates,turin,waldenbuch,
"automotive parts, home appliances, engineering, computing",bologna,waldenbuch,
electronics,valdagno,munich,
bicycles,modena,bocholt,
pharmacies,bologna,burgwedel,
engineering,reggio emilia,essen,
automotive,gricignano di aversa,pfaffenhausen,
electric generation and distribution,milan,essen,
"radios, defunct 1980",milan,triberg im schwarzwald,
steel producer,florence,salzgitter,
enterprise software,olbia,walldorf,
online advertising,san vendemiano,cologne,
aviation engines,milan,ober-olm,
automotive parts,calderara di reno,herzogenaurach,
musical instruments,faenza,postbauer-heng,
"defunct 2006, now part of bayer",varese,berlin,
trailers and truck bodies,milan,horstmar,
"industrial glass, part of carl-zeiss-stiftung",abbiategrasso,mainz,
writing instruments,milan,heroldsberg,
supermarket holding company,milan,neckarsulm,
medical technology,manerbio,kleinostheim,
skin care products,giavera del montello,boppard,
medical scales and measuring instruments,pesaro,hamburg,
audio electronics,turin,wedemark,
household appliances,milan,sundern,
electric motors,trento,bruchsal,
chemicals,mandello del lario,wiesbaden,
"industrials, energy, health care",bologna,berlin,
firearms,bergamo,eckernförde,
engineering simulation software,pesaro,munich[4],
marine propulsion by wind energy,montechiarugolo,hamburg,
"automotive, part of daimler ag",varese,böblingen,
enterprise software,turin,darmstadt,
photovoltaics,santeramo in colle,bonn,
musical instruments,somma lombardo,berlin,
in-vehicle equipment,turin,zusmarshausen,
writing instruments,bergamo,nuremberg,
musical instruments,giavera del montello,hamburg,
"forestry equipment, garden tools",monticelli brusati,waiblingen,
sugar,pace del mela,mannheim,
"flavours, gustatory and cosmetic substances",milan,holzminden,
commercial insurance,san lazzaro di savena,hanover,
"consumer goods, retail",milan,hamburg,
defunct 1967,cesena,berlin,
retail holding company,ivrea,mülheim,
wheels and castors,bologna,cologne,
fishkeeping supplies,ronco scrivia,melle,
industrial gas production and plant engineering,roveredo in piano,munich,
"steel, engineering, shipyards",verolengo,duisburg,
"hotel and travel search, part of expedia, inc. (us)",cormano,düsseldorf,
machine tools,rome,ditzingen,
part of deutsche telekom,san martino di lupari,frankfurt,
"hospitality, tourism",san cesario sul panaro,hanover,
shoes & sports apparel & accessories manufacturer,vicenza,balingen,
clothing,milan,rastede,
audio electronics,modena,tutzing,
bitters,collecchio,rheinberg,
isp,arzano,montabaur,
"clothing, mountain sports equipment",settimo milanese,tettnang,
software,arcore,stuttgart,
brewery,brescia,meschede,
defunct 1981,lainate,bremen,
heating systems,viareggio,allendorf (eder),
ceramics,vittorio veneto,mettlach,
mechanical engineering,gallarate,heidenheim an der brenz,
automotive,agordo,wolfsburg,
part of volkswagen group,perugia,wolfsburg,
real estate,genoa,bochum,
railway systems engineering,pontedera,werdohl,
chemicals,treviso,munich,
construction equipment,cambiano,munich,
electrical components,milan,minden,
brewery,milan,warstein,
hair care and cosmetics,venice,darmstadt,
tools,rome,wuppertal,
defunct 1964,rome,bremen,
office furniture,milan,bad münder,
part of basf,milan,kassel,
payment solutions,milan,aschheim,
mechanical engineering,rome,igersheim,
construction,parabiago,stuttgart,
computer manufacturer,milan,hüllhorst,
fasteners,milan,künzelsau,
kitchen knives,prato,solingen,
automotive parts,pozzuolo del friuli,friedrichshafen,
electrical components,turin,künzelsau,
broadcasting & religion,bologna,thessaloniki,
olive oil,padua,chania,
wine,milan,patras,
infrastructure,florence,athens,
airline,san pellegrino terme,athens,
supervises and maintains motorway 1,sarroch,athens,
shipping,milan,glyfada,
construction,rome,marousi,
"capital markets, investments",milan,athens,
airline,venice,athens,
food retailers & wholesalers,cologno monzese,athens,
biscuits,sesto calende,thessaloniki,
bank,trieste,athens,
record producer,pomezia,athens,
broadcasting & entertainment,colleferro,athens,
"nonferrous metals, aluminium",guastalla,kilkis,
"aluminium, part of mytilineos holdings",san donato milanese,marousi,
airline,naples,athens,
marine transportation,rome,chania,
media agencies,turin,athens,
subsidiary of ant1 group,cesena,athens,
charcuterie business,lugo,athens,
shipping,volpiano,athens,
"construction, energy",volpiano,dordrecht,
software,inverigo,athens,
"stocks, bonds, derivatives & co2",turin,athens,
mass transit,gardone val trompia,athens,
new agency,milan,athens,
mass transit,cesena,athens,
athens subway,modena,athens,
shipping and oil transportation,naples,athens,
bank,sant'elpidio a mare,athens,
ferry service,milan,athens,
supervises athens' ringroad,livorno,athens,
mmorpg,bergamo,athens,
oil transportation,porta nuova,maroussi,
central bank,bologna,athens,
frozen foods,arezzo,thessaloniki,
supermarkets,milan,athens,
taxi service,milan,athens,
