05-MalPatSaj-notes,02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters
"bikes, now part of magna steyr",linköping,graz,"hamilton, bermuda"
banking,tumba,vienna,"minato-ku, tokyo"
beverages,visby,fuschl am see,mumbai
fireproof industry,stockholm,vienna,ballsbridge
fire vehicles,docksta,leonding,
"aircraft, marine & vehicle engines, now part of bombardier recreational products",borlänge,gunskirchen,
smartphone apps,malmö,pasching,
rubber products,nacka,vienna,new york city
access systems,stockholm,grödig,new york city
weapons and cars; see magna steyr,mölnlycke,sankt ulrich bei steyr,ludwigshafen
diesel engines,stockholm,sankt ulrich bei steyr,
"tractors, now part of cnh industrial",stockholm,floridsdorf,lausanne
construction,gothenburg,vienna,columbus
rum,malmö,klagenfurt,columbus
jewelry and optical instruments,borås,wattens,leverkusen
robots for hazardous environments,kista,vienna,leverkusen
telecom,stockholm,vienna,istanbul
"multi-day group tours, tour booking service",stockholm,vienna,istanbul
super sport cars,stockholm,graz,istanbul
insurance,gothenburg,vienna,"richfield, minnesota"
"utilities, hydroelectric",eskilstuna,vienna,nelson mandela road
insurance,stockholm,vienna,nelson mandela road
steelmaker,lund,linz,nelson mandela road
bricks,habo,vienna,"burleigh heads, queensland"
lighting,stockholm,dornbirn,"burleigh heads, queensland"
charter airline,örnsköldsvik,zaventem,"burleigh heads, queensland"
biopharma,uddevalla,ghent[7],"burleigh heads, queensland"
"construction, real estate, financial services",stockholm,antwerp,"burleigh heads, queensland"
compressors,stockholm,liege,broadcasting house
real estate,helsingborg,brussels,boulevard des italiens
financing,växjö,brussels,"framingham, massachusetts"
digital imaging and it solutions,stockholm,mortsel,boeing building
trade association,falkenberg,brussels,boeing building
it,gothenburg,hove,"birmingham, alabama"
soy products,hässleholm,ghent[8],"birmingham, alabama"
"breweries, distributors; see also inbev brands",solna,leuven,"birmingham, alabama"
water utility,stockholm,antwerp,"birmingham, alabama"
wastewater,gothenburg,antwerp,"birmingham, alabama"
"cargo airline, part of asl airlines ireland",stockholm,liège,london
textile,torsång,ronse,london
agriculture,älvdalen,aalter,london
ground handling,landskrona,brussels,london
display manufacturer,ellös,kortrijk,london
communications and design,stockholm,brussels,london
textiles,gothenburg,wielsbeke,buckinghamshire
real estate,köping,brussels,ch??-ku
metal transformations and coatings,hestra,kortrijk,ch??-ku
cafe/restaurant,stockholm,leuven,ch??-ku
financial ngo,halmstad,brussels,shibuya
postal services,höganäs,brussels,capital one tower
"flag carrier airline, part of lufthansa (germany)",stockholm,brussels,minnetonka
financing,mattighofen,brussels,sandweiler
partially defunct in 1998,stockholm,seraing,piarco
lime and limestone mining,hudiksvall,louvain-la-neuve,copenhagen
games,uppsala,turnhout,copenhagen
chocolatier,stockholm,eeklo,"irving, texas"
"farm equipment, defunct 1991",linköping,zedelgem,toronto
real estate,malmö,brussels,hyderabad
"retail, supermarkets",uppsala,halle,santiago
shipping,solna,antwerp,santiago
confectioner,stockholm,antwerp,beijing
newspaper,stockholm,brussels,beijing
state-owned public transportation,gothenburg,mechelen,london
pvc,stockholm,hooglede,"fort lauderdale, florida"
food,stockholm,brussels,"san ramon, california"
infrastructure,malmö,zwijndrecht,"san ramon, california"
automotive services,stockholm,brussels,china resources headquarters
textiles,stockholm,ghent,china resources headquarters
cleaning products,stockholm,malle,shekou
money movement,stockholm,brussels,shekou
lighting,malung,malle,388390 greenwich st.
biotech,jonsered,seraing,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)"
broadcasting equipment,stockholm,liège,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)"
"computers, previously a part of ferranti (uk)",stockholm,antwerp,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)"
"natural gas, subsidiary of suez",malmö,brussels,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)"
mining,ängelholm,wavre,park avenue
investing,stockholm,brussels,park avenue
chocolatier,kopparberg,brussels,park avenue
"printing, document management",kosta,turnhout,park avenue
industrial holdings,halmstad,brussels,panama city
chocolatier,järna,sint-niklaas,panama city
technology research center,stockholm,leuven,panama city
"automotive, revived in 2009",stockholm,liège,panama city
"diagnostics, ivd",stockholm,ghent,panama city
"construction, maritime maintenance",stockholm,aalst,"broomfield, colorado"
"pharma, subsidiary of johnson & johnson",stockholm,beerse,paradeplatz
buses,gothenburg,roeselare,cummins corporate office building
logistics,stockholm,antwerp,london
bank,luleå,brussels,hyderabad
investments,stockholm,brussels,"dallas, texas"
movie theaters,stockholm,ghent,"dallas, texas"
game developer,motala,ghent,"dallas, texas"
textiles,uppsala,meulebeke,kita-ku
"retail, supermarkets",västerås,charleroi,kita-ku
geographic information systems (gis),stockholm,leuven,lagos
3d printing solutions,malmö,leuven,lagos
mining,gothenburg,beerse,boulevard haussmann
electronics,solna,ostend,boulevard haussmann
design consulting,täby,brussels,boulevard haussmann
passenger rail,stockholm,brussels,villeneuve d'ascq
industrial holding,stockholm,gerpinnes,villeneuve d'ascq
mining,gothenburg,balen,villeneuve d'ascq
wireless technology,vansbro,leuven,london
book publishing,uppsala,turnhout,"atlanta, georgia"
"mobile network, part of proximus group",henån,brussels,deutsche bank twin towers
state-owned telecommunications,kista,brussels,london
investments,stockholm,liège,london
aluminium,solna,duffel,london
financial services group,gothenburg,brussels,"midland, michigan"
bicycles,stockholm,paal,"burnaby, british columbia"
ball manufacturing,stockholm,péruwelz,"burnaby, british columbia"
electronics,stockholm,leuven,"burnaby, british columbia"
textiles,stockholm,oostrozebeke,"ann arbor township, michigan"
helicopters,trollhättan,brussels,frisco
investing,stockholm,brussels,"wilmington, delaware"
