01-DDD-valuation,04-iGMM-valuation
doll_1b,doll_3.4
doll_1b,doll_3.36
doll_1b,doll_3.35
doll_1b,doll_3.35
doll_1b,doll_3.35
doll_1b,doll_3.34
doll_1b,doll_3.31
doll_1b,doll_3.3
doll_1b,doll_3.3
doll_1b,doll_3.3
doll_1b,doll_3.3
doll_1b,doll_3.3
doll_1b,doll_3.25
doll_1b,doll_3.24
doll_1b,doll_3.21
doll_1b,doll_3.2
doll_1b,doll_3.2
doll_1b,doll_3.2
doll_1b,doll_3.2
doll_1b,doll_3.2
doll_1b,doll_3.2
doll_1b,doll_3.2
doll_1b,doll_3.2
doll_1b, doll_3.2
doll_1b,doll_3.2
doll_1b,doll_3.2
doll_1b,doll_3.15
doll_1b,doll_3.1
doll_1b,doll_3.1
doll_1b,doll_3.1
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3.2
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1b,doll_3
doll_1.01b,doll_3.1
doll_1b,doll_3
doll_1.01b,doll_3
doll_1.02b,doll_3
doll_1.03b,doll_3
doll_1.02b,doll_3
doll_1.05b,doll_3.3
doll_1.05b,doll_3
doll_1.05b,doll_3
doll_1.05b,doll_3
doll_1.05b,doll_3
doll_1.04b,doll_3
doll_1.07b,doll_3
doll_1.07b,doll_3
doll_1.08b,doll_3
doll_1.08b,doll_2.92
doll_1.07b,doll_2.92
doll_1.05b,doll_2.9
doll_1.1b,doll_2.9
doll_1.05b,doll_2.85
doll_1.08b,doll_2.85
doll_1.07b,doll_2.85
doll_1.1b,doll_2.8
doll_1.1b,doll_2.8
doll_1.1b,doll_2.77
doll_1.1b,doll_2.75
doll_1.1b,doll_2.75
doll_1.1b,doll_2.75
doll_1.1b,doll_2.74
doll_1.1b,doll_3.95
doll_1.1b,doll_2.7
doll_1.1b,doll_2.7
doll_1.1b,doll_2.7
doll_1.1b,doll_2.7
doll_1.1b,doll_2.7
doll_1.1b,doll_2.66
doll_1.1b,doll_2.6
doll_1.1b,doll_2.62
doll_1.1b,doll_2.6
doll_1.1b,doll_2.6
doll_1.1b,doll_2.6
doll_1.1b,doll_2.6
doll_1.1b,doll_2
doll_1.1b,doll_2.62
doll_1.1b,doll_2.6
doll_1.1b,doll_2.55
doll_1.1b,doll_2.59
doll_1.1b,doll_2.5
doll_1.1b,doll_2.5
doll_1.1b,doll_2.5
doll_1b,doll_2.5
doll_1.1b,doll_2.5
doll_1.1b,doll_2.5
doll_1.1b,doll_2.5
doll_1.1b,doll_2.5
doll_1.1b,doll_2.5
doll_1.1b,doll_2.5
doll_1.1b,doll_2.5
doll_1.1b,doll_2.68
doll_1.1b,doll_2.5
doll_1.1b,doll_2.5
 doll_1.1b,doll_2.5
 doll_1b,doll_2.5
doll_1.12b,doll_2.5
doll_1.12b,doll_2.5
doll_1.13b,doll_2.5
doll_1.1b,doll_2.5
 doll_1.12 b,doll_2.5
 doll_1.1b,doll_2.45
doll_1.15b,doll_2.45
doll_1.15b,doll_2.45
doll_1.15b,doll_2.44
doll_1.15b,doll_2.41
doll_1.17b,doll_2.41
 doll_1.16 b,doll_2.41
doll_1.16b,doll_2.4
doll_1.17b,doll_2.4
doll_1.18b,doll_2.4
 doll_1.16 b,doll_2.4
doll_1.15b,doll_2.4
doll_1.17b,doll_2.4
doll_1.19b,doll_2.4
doll_1.15b,doll_2.4
doll_1.19b,doll_2.4
doll_1.2b,doll_2.4
doll_1.2b,doll_2.62
doll_1.2b,doll_2.62
doll_1.2b,doll_2.35
doll_1.2b,doll_2.35
doll_1.15b,doll_2.34
doll_1.2b,doll_2.32
doll_1.2b,doll_2.31
doll_1.2b,doll_2.3
doll_1.2b,doll_2.85
doll_1.2b,doll_2.3
doll_1.2b,doll_2.3
doll_1.2b,doll_2.3
doll_1.2b,doll_2.27
doll_1.2b,doll_2.25
doll_1.4b,doll_2.25
doll_1.2b,doll_2.25
doll_1.2b,doll_2.2
doll_1.2b,doll_2.2
doll_1.2b,doll_2.2
doll_1.2b,doll_2.2
doll_1.2b,doll_2.2
doll_1.2b,doll_2.2
doll_1.2b,doll_2.2
doll_1.2b,doll_2.2
doll_1.2b,doll_2.2
doll_1.2b, doll_2.20 
doll_1.2b,doll_2.19
doll_1.2b,doll_2.19
doll_1.2b,doll_2.18
doll_1.2b,doll_2.17
doll_1.2b,doll_2.17
doll_1.2b,doll_2.17
 doll_1.22 b,doll_2
doll_1.22b,doll_2.15
doll_1.22b,doll_2.15
doll_1.2b,doll_2.1
doll_1.2b,doll_2.1
doll_1.2b,doll_2.1
doll_1.3b,doll_2.1
