07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro
"262,421",262421,"3,686,617"
"1,702,000",1702000,"23,803,000"
"188,680",188680,"2,610,700"
"7,930,094",7930094,"107,860,442"
"925,527",925527,"12,571,314"
"422,420",422420,"5,764,870"
"159,707",159707,"2,176,136"
"5,581,858",5581858,"74,065,413"
"113,072",113072,"1,531,358"
"247,465",247465,"3,320,479"
"139,300",139300,"1,880,460"
"228,076",228076,"3,061,854"
"684,874",684874,"9,187,050"
"171,057",171057,"2,266,155"
"291,481",291481,"3,864,176"
"882,099",882099,"11,527,860"
"664,000",664000,"8,730,000"
"217,460",217460,"2,851,840"
"530,667",530667,"6,890,000"
"427,339",427339,"5,465,756"
"299,598",299598,"3,785,340"
"159,128",159128,"1,721,315"
"6,753,191",6753191,"79,302,201"
"242,368",242368,"3,031,099"
"1,281,462",1281462,"15,880,745"
"131,691",131691,"1,629,099"
"620,283",620283,"7,664,825"
"252,713",252713,"2,683,264"
"815,690",815690,"10,049,610"
"130,290",130290,"1,603,990"
"2,201,178",2201178,"26,894,501"
"207,327",207327,"2,512,300"
"133,200",133200,"1,612,837"
"241,411",241411,"2,906,133"
"560,150",560150,"6,709,720"
"712,855",712855,"8,466,121"
"180,824",180824,"2,124,763"
"570,012",570012,"6,689,503"
"156,130",156130,"1,830,610"
"855,321",855321,"9,923,965"
"288,095",288095,"3,332,661"
"2,326,082",2326082,"24,721,755"
"1,383,205",1383205,"16,006,537"
"281,000",281000,"3,230,000"
"777,410",777410,"8,873,180"
"2,527,006",2527006,"28,004,684"
"522,712",522712,"5,743,440"
"337,525",337525,"3,729,920"
"692,440",692440,"7,638,731"
"551,000",551000,"6,013,000"
"330,500",330500,"3,597,000"
"455,000",455000,"4,892,000"
"1,643,572",1643572,"17,575,388"
"205,554",205554,"2,196,424"
"643,299",643299,"6,844,818"
"628,384",628384,"6,624,660"
"21,098,843",21098843,"221,393,889"
"160,539",160539,"1,671,984"
"2,131,000",2131000,"22,137,000"
"1,521,010",1521010,"15,486,451"
"194,780",194780,"2,016,300"
"291,720",291720,"2,996,770"
"167,000",167000,"1,715,334"
"552,355",552355,"5,639,953"
"1,269,382",1269382,"12,789,098"
"4,340,517",4340517,"43,812,068"
"249,975",249975,"2,520,013"
"156,300",156300,"1,569,480"
"204,620",204620,"2,027,170"
"2,693,390",2693390,"26,633,230"
"3,058,141",3058141,"29,615,571"
"2,456,563",2456563,"20,825,934"
"230,800",230800,"2,267,760"
"1,870,109",1870109,"18,196,451"
"7,450,099",7450099,"72,044,361"
"280,390",280390,"2,709,000"
"1,217,338",1217338,"11,499,031"
"529,371",529371,"5,016,731"
"7,177,912",7177912,"66,146,911"
"429,505",429505,"4,046,859"
"2,096,570",2096570,"19,446,429"
"479,290",479290,"4,436,220"
"735,758",735758,"6,801,734"
"374,200",374200,"3,457,203"
"530,785",530785,"4,710,733"
"533,144",533144,"4,857,817"
"308,810",308810,"2,805,850"
"252,871",252871,"2,269,276"
"1,052,796",1052796,"9,391,760"
"3,046,667",3046667,"26,534,087"
"1,057,443",1057443,"8,609,941"
"237,410",237410,"2,108,040"
"1,255,372",1255372,"11,124,512"
"18,035,029",18035029,"156,623,915"
"2,531,000",2531000,"22,386,000"
"551,128",551128,"4,870,863"
"273,552",273552,"2,407,982"
"299,988",299988,"2,597,612"
"1,340,430",1340430,"11,586,460"
"228,982",228982,"1,978,128"
"570,564",570564,"4,882,837"
"651,170",651170,"5,590,390"
"262,280",262280,"2,238,347"
"400,000",400000,"3,400,000"
"2,133,310",2133310,"18,025,740"
"2,025,879",2025879,"17,059,791"
"1,815,680",1815680,"15,245,617"
"2,264,940",2264940,"18,939,430"
"295,731",295731,"2,458,500"
"305,268",305268,"2,184,336"
"327,218",327218,"2,633,664"
"191,679",191679,"1,577,878"
"1,349,733",1349733,"11,087,980"
"481,510",481510,"3,941,900"
"812,371",812371,"6,640,842"
"26,112,757",26112757,"210,945,370"
"1,575,522",1575522,"12,682,062"
"7,415,334",7415334,"60,067,088"
"833,230",833230,"6,739,630"
"1,119,178",1119178,"8,980,496"
"249,818",249818,"1,973,775"
"6,280,267",6280267,"50,723,858"
"5,026,349",5026349,"40,305,193"
"440,369",440369,"3,516,744"
"1,315,000",1315000,"10,499,782"
"8,811,708",8811708,"70,183,744"
"1,134,730",1134730,"9,022,020"
"19,757,296",19757296,"155,595,726"
"796,207",796207,"6,315,124"
"2,448,858",2448858,"19,420,672"
"13,157,000",13157000,"103,634,000"
"10,152,222",10152222,"77,764,611"
"500,440",500440,"3,916,570"
"506,730",506730,"3,960,770"
"225,964",225964,"1,750,466"
"3,989,355",3989355,"30,414,122"
"504,357",504357,"3,924,472"
"548,180",548180,"4,253,110"
"524,750",524750,"4,068,621"
"274,966",274966,"2,127,532"
"214,713",214713,"1,662,487"
"755,191",755191,"5,738,336"
"7,522,000",7522000,"57,375,000"
"1,556,607",1556607,"11,860,100"
"2,058,315",2058315,"15,646,588"
"8,508,398",8508398,"63,879,414"
"2,570,000",2570000,"19,427,000"
"26,626,422",26626422,"197,260,279"
"546,226",546226,"4,105,262"
"2,708,983",2708983,"20,201,424"
"975,140",975140,"7,319,870"
"316,525",316525,"2,160,094"
"884,885",884885,"6,560,962"
"559,778",559778,"4,146,403"
"2,146,950",2146950,"15,874,245"
"340,000",340000,"2,501,902"
"1,062,649",1062649,"7,645,003"
"621,636",621636,"4,534,588"
"350,019",350019,"2,565,735"
"330,522",330522,"2,417,902"
"410,520",410520,"2,993,310"
"2,051,133",2051133,"14,942,262"
"674,805",674805,"4,799,358"
"670,685",670685,"4,875,622"
"255,000",255000,"1,851,000"
"3,417,815",3417815,"24,580,709"
"364,485",364485,"2,637,501"
"15,653,388",15653388,"111,538,883"
"954,700",954700,"6,788,660"
"49,833,511",49833511,"352,879,165"
"2,669,247",2669247,"18,766,625"
"309,471",309471,"2,004,501"
"923,730",923730,"6,515,510"
"1,354,980",1354980,"9,551,790"
"335,460",335460,"2,336,243"
"3,659,630",3659630,"25,667,400"
"259,342",259342,"1,810,459"
"219,999",219999,"1,508,869"
"276,750",276750,"1,901,140"
"657,382",657382,"4,483,296"
"18,106,514",18106514,"115,793,390"
"4,829,922",4829922,"32,614,354"
"688,860",688860,"4,682,960"
"2,880,891",2880891,"19,577,339"
"667,170",667170,"4,527,690"
"21,640,253",21640253,"146,453,604"
"226,295",226295,"1,529,270"
"991,534",991534,"6,525,278"
"274,790",274790,"1,788,545"
"310,810",310810,"2,071,960"
"4,601,266",4601266,"30,436,232"
"1,411,811",1411811,"9,375,243"
"1,587,500",1587500,"10,540,000"
"404,819",404819,"2,678,257"
"251,795",251795,"1,652,073"
"5,033,032",5033032,"32,265,912"
"3,241,629",3241629,"21,249,638"
"436,610",436610,"2,856,530"
"6,936,038",6936038,"45,227,730"
"461,000",461000,"3,002,729"
"656,172",656172,"4,105,688"
"1,034,093",1034093,"6,686,617"
"449,771",449771,"2,914,738"
"4,954,590",4954590,"32,039,000"
"4,979,484",4979484,"32,168,909"
"422,610",422610,"2,701,410"
"322,050",322050,"2,001,844"
"304,833",304833,"1,946,703"
"789,058",789058,"4,967,568"
"5,361,088",5361088,"33,651,532"
"4,653,721",4653721,"28,993,287"
"245,974",245974,"1,528,900"
"11,756,712",11756712,"73,514,217"
"1,765,457",1765457,"11,029,402"
"318,940",318940,"1,989,950"
"385,266",385266,"2,391,019"
"3,733,539",3733539,"22,885,804"
"923,000",923000,"5,695,000"
"598,678",598678,"3,687,780"
"4,174,549",4174549,"24,995,030"
"737,936",737936,"4,534,346"
"698,300",698300,"4,283,930"
"551,848",551848,"3,383,802"
"1,277,410",1277410,"7,790,420"
"1,644,899",1644899,"10,000,511"
"5,643,295",5643295,"33,902,755"
"685,370",685370,"4,131,370"
"1,002,579",1002579,"6,037,461"
"1,043,440",1043440,"6,255,970"
"1,122,907",1122907,"6,305,237"
"1,091,925",1091925,"6,484,822"
"492,860",492860,"2,916,337"
"916,511",916511,"5,355,215"
"1,207,613",1207613,"7,103,702"
"1,396,400",1396400,"8,208,450"
"2,484,783",2484783,"14,597,418"
"521,250",521250,"3,059,130"
"2,076,139",2076139,"12,171,118"
"580,644",580644,"3,403,055"
"3,380,420",3380420,"19,798,875"
"853,561",853561,"4,981,938"
"352,000",352000,"2,051,370"
"287,985",287985,"1,673,382"
"877,275",877275,"5,087,783"
"441,260",441260,"2,556,640"
"473,344",473344,"2,720,319"
"7,007,000",7007000,"40,546,000"
"638,739",638739,"3,669,217"
"347,190",347190,"1,994,200"
"349,641",349641,"2,003,989"
"332,372",332372,"1,900,000"
"493,000",493000,"2,818,000"
"3,185,180",3185180,"18,168,170"
"2,423,113",2423113,"13,816,792"
"631,500",631500,"3,598,050"
"2,267,165",2267165,"12,824,155"
"408,336",408336,"2,306,045"
"2,884,392",2884392,"16,388,546"
"558,820",558820,"3,174,000"
"338,300",338300,"1,914,500"
"1,644,134",1644134,"9,235,946"
"3,878,370",3878370,"21,818,000"
"9,719,653",9719653,"54,150,622"
"2,610,679",2610679,"14,641,523"
"419,240",419240,"2,344,440"
"2,696,485",2696485,"15,049,845"
"1,600,000",1600000,"8,900,000"
"751,071",751071,"4,058,269"
"532,690",532690,"2,943,020"
"12,709,000",12709000,"70,179,000"
"289,766",289766,"1,596,167"
"539,486",539486,"2,941,537"
"910,963",910963,"4,989,872"
"318,370",318370,"1,740,660"
"348,129",348129,"1,881,768"
"1,418,769",1418769,"7,050,124"
"2,982,238",2982238,"16,067,551"
"856,790",856790,"4,640,710"
"4,253,600",4253600,"22,952,660"
"4,893,654",4893654,"26,199,717"
"1,349,250",1349250,"7,264,130"
"635,400",635400,"3,400,580"
"1,013,181",1013181,"5,402,302"
"1,481,398",1481398,"7,825,138"
"564,910",564910,"3,004,290"
"20,436,426",20436426,"108,500,233"
"2,127,151",2127151,"11,218,211"
"7,339,330",7339330,"38,428,858"
"461,671",461671,"2,409,255"
"4,176,347",4176347,"21,793,194"
"569,646",569646,"2,971,846"
"391,540",391540,"2,037,320"
"6,035,116",6035116,"31,396,438"
"826,430",826430,"4,297,790"
"3,013,629",3013629,"15,639,618"
"655,000",655000,"3,396,000"
"2,635,420",2635420,"12,468,548"
"1,454,711",1454711,"7,342,811"
"2,148,122",2148122,"11,067,681"
"1,304,060",1304060,"6,673,050"
"1,090,920",1090920,"5,581,540"
"2,577,297",2577297,"13,085,484"
"4,356,500",4356500,"22,072,700"
"340,309",340309,"1,718,442"
"846,360",846360,"4,266,770"
"1,061,327",1061327,"5,339,538"
"792,093",792093,"3,980,920"
"4,641,712",4641712,"22,436,395"
"2,408,187",2408187,"12,062,697"
"5,629,906",5629906,"28,140,196"
"2,163,006",2163006,"10,802,997"
"7,671,961",7671961,"38,002,441"
"770,031",770031,"3,812,785"
"303,615",303615,"1,514,111"
"11,728,040",11728040,"58,422,800"
"341,370",341370,"1,696,320"
"608,053",608053,"3,019,110"
"520,998",520998,"2,576,602"
"6,863,940",6863940,"31,852,584"
"1,965,560",1965560,"9,694,310"
"1,543,824",1543824,"7,519,236"
"464,354",464354,"2,277,791"
"3,284,400",3284400,"16,089,160"
"700,007",700007,"3,428,464"
"3,915,724",3915724,"19,169,652"
"1,127,652",1127652,"5,512,134"
"1,401,463",1401463,"6,806,664"
"681,460",681460,"3,306,191"
"3,035,269",3035269,"14,674,011"
"1,468,200",1468200,"7,064,900"
"2,663,699",2663699,"12,806,965"
"2,601,157",2601157,"12,489,032"
"329,298",329298,"1,577,296"
"2,136,626",2136626,"10,168,214"
"5,602,132",5602132,"26,446,798"
"1,459,655",1459655,"6,937,737"
"411,858",411858,"1,951,232"
"1,201,964",1201964,"5,206,032"
"3,954,351",3954351,"18,356,623"
"1,906,790",1906790,"9,018,160"
"437,747",437747,"2,064,141"
"595,800",595800,"2,800,000"
"1,541,070",1541070,"7,161,145"
"4,163,750",4163750,"19,458,114"
"766,510",766510,"3,580,500"
"3,688,264",3688264,"17,078,846"
"2,508,842",2508842,"11,604,670"
"1,982,251",1982251,"9,220,216"
"6,328,462",6328462,"25,335,854"
"443,694",443694,"2,062,749"
"1,081,079",1081079,"4,999,802"
"496,790",496790,"2,297,210"
"110,835,763",110835763,"468,257,487"
"573,145",573145,"2,643,580"
"790,712",790712,"3,646,507"
"22,060,642",22060642,"101,726,265"
"12,200,275",12200275,"56,122,322"
"699,907",699907,"3,211,868"
"1,297,717",1297717,"5,922,043"
"1,050,660",1050660,"4,828,920"
"16,861,349",16861349,"83,632,640"
"934,994",934994,"4,285,766"
"736,000",736000,"3,366,730"
"1,061,360",1061360,"4,842,410"
"1,114,200",1114200,"5,083,140"
"32,824,451",32824451,"148,505,285"
"398,676",398676,"1,816,274"
"45,981,552",45981552,"191,601,076"
"3,389,300",3389300,"15,377,000"
"3,525,720",3525720,"15,901,220"
"1,698,358",1698358,"7,007,093"
"645,633",645633,"2,910,737"
"1,128,243",1128243,"5,078,464"
"505,520",505520,"2,262,490"
"516,640",516640,"2,310,000"
"775,341",775341,"3,445,698"
"771,504",771504,"3,394,214"
"1,492,190",1492190,"6,607,564"
"361,790",361790,"1,601,000"
"8,935,361",8935361,"39,355,846"
"1,389,534",1389534,"6,107,018"
"857,590",857590,"3,769,100"
"544,943",544943,"2,391,654"
"1,593,667",1593667,"6,984,956"
"2,091,995",2091995,"9,085,936"
"9,235,130",9235130,"40,391,360"
"743,130",743130,"3,249,140"
"1,119,494",1119494,"4,853,930"
"1,062,010",1062010,"4,603,740"
"2,199,640",2199640,"9,501,888"
"452,091",452091,"1,952,000"
"2,510,930",2510930,"10,827,070"
"630,660",630660,"2,718,640"
"969,930",969930,"4,168,220"
"499,815",499815,"2,132,001"
"667,467",667467,"2,843,048"
"691,140",691140,"2,964,852"
"441,271",441271,"1,891,361"
"917,735",917735,"3,932,792"
"1,134,256",1134256,"4,851,997"
"1,702,165",1702165,"7,260,096"
"3,163,540",3163540,"13,479,380"
"948,813",948813,"4,011,415"
"20,298,288",20298288,"93,438,770"
"4,195,789",4195789,"17,453,187"
"2,286,000",2286000,"9,719,750"
"19,489,369",19489369,"82,238,372"
"8,933,769",8933769,"34,677,235"
"799,170",799170,"3,375,810"
"9,145,411",9145411,"38,599,408"
"5,394,020",5394020,"22,704,300"
"28,378,990",28378990,"119,161,137"
"1,084,812",1084812,"4,546,110"
"666,118",666118,"2,789,489"
"21,841,341",21841341,"89,332,521"
"2,708,258",2708258,"11,320,706"
"376,440",376440,"1,573,480"
"473,640",473640,"1,979,050"
"2,606,296",2606296,"10,807,048"
"5,688,822",5688822,"23,501,473"
"2,013,403",2013403,"8,358,760"
"1,137,450",1137450,"4,715,363"
"1,280,989",1280989,"5,302,985"
"451,196",451196,"1,862,632"
"815,449",815449,"3,268,813"
"6,450,759",6450759,"26,386,701"
"1,064,498",1064498,"4,319,146"
"868,552",868552,"3,328,791"
"5,381,108",5381108,"21,974,565"
"1,201,900",1201900,"4,899,200"
"1,016,480",1016480,"4,133,980"
"1,177,860",1177860,"4,785,480"
"657,377",657377,"2,443,117"
"3,450,000",3450000,"14,000,000"
"102,139,979",102139979,"411,390,748"
"1,685,348",1685348,"6,774,867"
"3,119,000",3119000,"12,609,000"
"1,865,319",1865319,"7,532,293"
"524,552",524552,"1,822,227"
"1,081,844",1081844,"4,363,977"
"572,798",572798,"2,243,594"
"2,357,096",2357096,"9,485,173"
"679,247",679247,"2,727,392"
"871,779",871779,"3,499,555"
"762,200",762200,"3,059,440"
"700,823",700823,"2,810,120"
"1,518,678",1518678,"5,993,895"
"1,184,000",1184000,"4,706,000"
"3,118,698",3118698,"12,120,207"
"1,267,224",1267224,"5,034,595"
"574,323",574323,"2,280,542"
"29,718,000",29718000,"117,997,000"
"571,513",571513,"2,252,358"
"855,283",855283,"3,368,822"
"732,924",732924,"2,902,148"
"663,100",663100,"2,625,660"
"1,334,213",1334213,"5,248,908"
"2,492,730",2492730,"9,752,760"
"842,600",842600,"3,293,860"
"2,189,720",2189720,"8,559,263"
"621,500",621500,"2,415,110"
"21,052,232",21052232,"81,775,452"
"488,940",488940,"1,898,000"
"8,605,113",8605113,"32,103,084"
"721,090",721090,"2,793,340"
"3,847,000",3847000,"14,896,000"
"3,465,675",3465675,"13,309,945"
"531,960",531960,"2,050,130"
"3,386,414",3386414,"13,028,856"
"30,862,156",30862156,"117,817,156"
"2,159,010",2159010,"8,233,616"
"1,190,000",1190000,"4,570,000"
"5,923,571",5923571,"22,704,275"
"5,422,583",5422583,"20,779,890"
"2,593,649",2593649,"9,933,867"
"1,293,181",1293181,"4,527,970"
"628,388",628388,"2,404,398"
"3,848,262",3848262,"14,690,408"
"2,295,632",2295632,"8,750,671"
"2,202,906",2202906,"8,383,859"
"5,924,389",5924389,"22,373,295"
"416,960",416960,"1,580,450"
"9,838,779",9838779,"37,248,117"
"4,985,758",4985758,"18,743,704"
"499,484",499484,"1,863,819"
"8,392,541",8392541,"31,463,692"
"10,982,110",10982110,"41,130,000"
"2,229,273",2229273,"8,340,824"
"19,088,830",19088830,"71,290,680"
"1,174,770",1174770,"4,383,254"
"1,061,642",1061642,"3,960,200"
"5,428,300",5428300,"20,222,750"
"824,450",824450,"3,068,430"
"5,772,716",5772716,"20,679,155"
"1,771,758",1771758,"6,590,434"
"6,955,394",6955394,"25,860,664"
"1,627,160",1627160,"6,540,543"
"599,612",599612,"2,223,308"
"749,940",749940,"2,779,910"
"2,716,240",2716240,"10,060,550"
"1,310,532",1310532,"4,424,063"
"410,775",410775,"1,515,414"
"2,191,733",2191733,"8,070,059"
"910,392",910392,"3,351,671"
"691,110",691110,"2,543,820"
"3,336,600",3336600,"12,280,490"
"3,743,740",3743740,"13,767,602"
"5,233,937",5233937,"17,589,082"
"1,304,073",1304073,"4,783,846"
"5,474,802",5474802,"19,651,446"
"1,375,943",1375943,"5,012,841"
"54,990,779",54990779,"199,822,150"
"1,158,042",1158042,"4,207,672"
"558,480",558480,"2,025,040"
"1,156,596",1156596,"4,180,122"
"419,430",419430,"1,513,710"
"1,276,483",1276483,"4,598,207"
"674,560",674560,"2,429,590"
"1,272,558",1272558,"4,579,102"
"4,656,191",4656191,"16,746,545"
"2,257,390",2257390,"8,111,269"
"6,549,376",6549376,"21,520,495"
"15,711,602",15711602,"55,139,984"
"5,642,145",5642145,"20,248,436"
"1,650,756",1650756,"5,914,732"
"910,070",910070,"3,057,807"
"3,904,618",3904618,"13,863,431"
"622,989",622989,"2,226,659"
"580,537",580537,"2,074,577"
"1,018,843",1018843,"3,640,511"
"5,573,000",5573000,"19,890,000"
"1,127,170",1127170,"4,010,560"
"433,540",433540,"1,539,360"
"3,266,703",3266703,"11,594,389"
"644,440",644440,"2,283,970"
"1,778,274",1778274,"6,298,606"
"3,498,275",3498275,"12,298,843"
"7,477,852",7477852,"26,273,556"
"6,242,232",6242232,"22,077,678"
"1,646,307",1646307,"5,822,692"
"12,259,540",12259540,"43,355,980"
"1,031,733",1031733,"3,647,652"
"681,652",681652,"2,408,586"
"1,055,100",1055100,"3,725,665"
"3,350,270",3350270,"11,789,870"
"32,428,296",32428296,"114,037,838"
"1,084,616",1084616,"3,786,036"
"1,482,100",1482100,"5,210,500"
"5,031,697",5031697,"17,559,447"
"2,178,629",2178629,"7,572,128"
"2,363,526",2363526,"8,204,844"
"1,809,858",1809858,"6,326,861"
"9,100,083",9100083,"31,757,362"
"547,084",547084,"1,908,640"
"1,568,506",1568506,"5,465,080"
"910,973",910973,"2,724,073"
"2,195,780",2195780,"7,623,730"
"5,325,214",5325214,"18,481,247"
"1,954,609",1954609,"6,731,831"
"658,317",658317,"2,281,929"
"1,079,340",1079340,"3,728,920"
"6,137,755",6137755,"20,410,511"
"541,582",541582,"1,870,845"
"2,608,093",2608093,"8,988,475"
"452,557",452557,"1,556,521"
"5,283,415",5283415,"18,141,216"
"776,268",776268,"2,663,110"
"25,858,983",25858983,"88,590,000"
"12,106,480",12106480,"41,474,660"
"1,808,710",1808710,"6,188,900"
"1,030,000",1030000,"3,515,000"
"15,241,075",15241075,"51,640,733"
"1,451,770",1451770,"4,952,255"
"13,309,441",13309441,"42,514,150"
"22,730,529",22730529,"77,358,225"
"3,842,670",3842670,"13,067,279"
"7,381,686",7381686,"25,040,954"
"687,958",687958,"2,333,452"
"9,987,236",9987236,"29,099,679"
"943,718",943718,"3,189,298"
"973,460",973460,"3,286,187"
"2,543,343",2543343,"8,520,830"
"616,520",616520,"2,075,110"
"10,247,832",10247832,"34,488,971"
"3,044,054",3044054,"10,242,075"
"947,000",947000,"3,179,000"
"1,351,164",1351164,"4,527,093"
"2,410,212",2410212,"8,073,458"
"700,960",700960,"2,347,320"
"3,811,838",3811838,"12,763,524"
"881,275",881275,"2,950,010"
"1,385,662",1385662,"4,526,309"
"4,476,517",4476517,"14,845,073"
"17,203,160",17203160,"57,451,279"
"2,618,069",2618069,"8,743,069"
"2,002,982",2002982,"6,687,402"
"10,518,963",10518963,"35,107,348"
"793,957",793957,"2,649,288"
"1,058,063",1058063,"3,226,645"
"1,862,272",1862272,"6,205,559"
"4,461,170",4461170,"14,863,628"
"772,943",772943,"2,552,248"
"1,414,501",1414501,"4,692,660"
"660,767",660767,"2,176,368"
"4,180,523",4180523,"13,856,500"
"1,926,967",1926967,"6,385,196"
"1,271,353",1271353,"4,209,975"
"4,587,687",4587687,"15,079,425"
"7,265,350",7265350,"24,048,302"
"8,110,160",8110160,"26,824,140"
"1,020,690",1020690,"3,370,490"
"1,163,241",1163241,"3,513,741"
"810,750",810750,"2,675,750"
"694,501",694501,"2,272,847"
"1,001,740",1001740,"3,299,330"
"9,915,609",9915609,"32,392,546"
"1,226,000",1226000,"4,028,000"
"17,515,305",17515305,"57,093,437"
"1,222,870",1222870,"4,014,220"
"1,825,769",1825769,"5,986,199"
"5,602,279",5602279,"18,178,322"
"2,384,156",2384156,"7,781,600"
"1,794,120",1794120,"5,855,040"
"8,075,796",8075796,"26,143,857"
"3,128,700",3128700,"10,189,790"
"5,244,000",5244000,"17,048,000"
"906,341",906341,"2,946,126"
"63,207,258",63207258,"205,312,456"
"10,300,000",10300000,"33,400,000"
"48,580,102",48580102,"156,232,906"
"556,159",556159,"1,797,294"
"1,300,000",1300000,"4,200,000"
"834,708",834708,"2,595,034"
"1,602,458",1602458,"5,172,479"
"622,800",622800,"2,009,090"
"6,882,489",6882489,"22,020,382"
"17,727,950",17727950,"57,057,180"
"2,250,946",2250946,"7,191,249"
"4,020,469",4020469,"12,934,943"
"1,703,819",1703819,"5,480,946"
"10,393,680",10393680,"33,371,870"
"1,172,617",1172617,"3,762,160"
"1,206,770",1206770,"3,868,940"
"5,322,238",5322238,"16,923,940"
"719,638",719638,"2,302,685"
"1,094,666",1094666,"3,495,981"
"2,171,492",2171492,"6,934,182"
"1,111,687",1111687,"3,544,255"
"805,029",805029,"2,547,992"
"12,127,395",12127395,"38,373,430"
"9,762,332",9762332,"30,887,883"
"879,670",879670,"2,803,150"
"1,674,690",1674690,"5,313,290"
"1,344,240",1344240,"4,264,120"
"516,164",516164,"1,636,674"
"12,867,410",12867410,"40,777,823"
"3,363,800",3363800,"9,729,642"
"10,181,000",10181000,"32,175,000"
"809,450",809450,"2,554,140"
"3,033,150",3033150,"9,569,120"
"16,075,963",16075963,"49,576,899"
"573,070",573070,"1,807,173"
"1,484,883",1484883,"4,392,988"
"676,000",676000,"2,131,000"
"15,610,826",15610826,"49,190,436"
"8,271,702",8271702,"26,010,474"
"6,615,000",6615000,"20,745,690"
"859,960",859960,"2,696,270"
"666,210",666210,"2,087,000"
"5,229,000",5229000,"16,367,000"
"2,031,522",2031522,"6,356,404"
"3,342,120",3342120,"10,456,300"
"5,105,700",5105700,"15,846,632"
"3,264,000",3264000,"10,203,000"
"2,601,485",2601485,"8,122,686"
"1,171,373",1171373,"3,655,345"
"18,649,681",18649681,"57,766,084"
"2,531,055",2531055,"7,879,983"
"633,990",633990,"1,970,000"
"1,009,846",1009846,"3,136,947"
"1,815,835",1815835,"5,626,849"
"2,177,950",2177950,"6,737,600"
"2,124,990",2124990,"6,566,530"
"4,693,330",4693330,"13,256,472"
"1,290,312",1290312,"3,981,300"
"1,087,520",1087520,"3,352,210"
"2,498,792",2498792,"7,701,275"
"3,080,610",3080610,"9,481,040"
"1,759,490",1759490,"5,411,160"
"667,837",667837,"2,049,365"
"1,072,117",1072117,"3,289,892"
"23,141,358",23141358,"70,393,894"
"3,730,405",3730405,"10,446,862"
"1,031,988",1031988,"3,154,795"
"2,850,000",2850000,"8,707,000"
"720,650",720650,"2,201,160"
"4,832,212",4832212,"14,725,853"
"1,263,420",1263420,"3,834,910"
"1,944,720",1944720,"5,889,890"
"1,585,727",1585727,"4,794,423"
"2,737,704",2737704,"8,274,214"
"868,406",868406,"2,622,506"
"989,785",989785,"2,571,079"
"1,173,908",1173908,"3,537,769"
"590,642",590642,"1,778,249"
