07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro
"507,000",507000,"97,611,814"
"344,428",344428,"57,318,766"
"4,325,512",4325512,"568,322,073"
"2,652,185",2652185,"316,732,986"
"486,165",486165,"56,109,613"
"150,908",150908,"13,165,586"
"251,668",251668,"18,732,563"
"706,700",706700,"47,597,000"
"111,500",111500,"7,337,290"
"392,055",392055,"24,484,879"
"680,197",680197,"41,205,930"
"153,046",153046,"9,015,211"
"155,406",155406,"9,034,926"
"229,201",229201,"12,158,046"
"238,118",238118,"11,387,156"
"454,975",454975,"21,455,864"
"149,397",149397,"7,234,981"
"325,585",325585,"14,338,668"
"160,624",160624,"6,851,839"
"274,575",274575,"11,583,215"
"782,918",782918,"30,886,935"
"238,451",238451,"9,008,822"
"207,120",207120,"8,375,180"
"416,562",416562,"16,136,633"
"363,010",363010,"13,888,900"
"181,772",181772,"6,238,378"
"214,673",214673,"6,461,790"
"170,950",170950,"5,189,391"
"263,663",263663,"8,042,499"
"4,044,537",4044537,"121,306,296"
"381,830",381830,"11,301,520"
"155,043",155043,"4,540,000"
"125,682",125682,"3,584,553"
"7,403,458",7403458,"210,563,743"
"210,820",210820,"5,820,402"
"2,039,961",2039961,"56,018,731"
"155,310",155310,"4,176,440"
"182,100",182100,"4,452,513"
"229,713",229713,"5,926,970"
"225,380",225380,"5,721,590"
"194,090",194090,"4,864,178"
"101,311",101311,"2,549,778"
"100,711",100711,"2,431,371"
"379,771",379771,"8,951,132"
"757,323",757323,"17,158,962"
"110,200",110200,"2,495,860"
"744,092",744092,"16,483,836"
"387,995",387995,"8,593,220"
"179,204",179204,"3,837,994"
"388,565",388565,"7,778,203"
"1,186,853",1186853,"25,901,607"
"640,056",640056,"13,312,033"
"103,240",103240,"2,133,691"
"3,188,715",3188715,"64,223,085"
"238,216",238216,"4,752,777"
"585,280",585280,"11,662,200"
"376,519",376519,"7,435,887"
"203,950",203950,"4,009,330"
"270,090",270090,"5,141,555"
"369,000",369000,"6,945,000"
"535,070",535070,"9,789,240"
"858,482",858482,"15,365,580"
"2,007,000",2007000,"35,938,000"
"375,323",375323,"6,630,617"
"362,320",362320,"6,393,680"
"805,870",805870,"14,175,780"
"3,306,795",3306795,"57,670,541"
"6,287,460",6287460,"109,248,030"
"128,176",128176,"2,210,636"
"255,062",255062,"3,999,023"
"330,763",330763,"5,158,786"
"107,492",107492,"1,825,546"
"131,164",131164,"2,212,606"
"1,199,580",1199580,"20,150,800"
"2,474,341",2474341,"40,813,930"
"270,750",270750,"4,459,170"
"742,746",742746,"11,761,268"
"314,150",314150,"4,897,950"
"249,176",249176,"3,871,782"
"320,411",320411,"4,838,407"
"672,821",672821,"10,019,903"
"145,398,192",145398192,"2,120,071,949"
"387,161",387161,"5,639,335"
"245,000",245000,"3,500,000"
"518,613",518613,"7,294,549"
