07-silvestri-employees_2020,03-gren-employees_number_2020,01-DDD-number_of_employees_2020
98.0,98.0,98
76.0,76.0,76
40.0,40.0,40
67.0,67.0,67
15.0,15.0,15
11.0,11.0,11
504.0,504.0,504
4.0,4.0,4
22.0,22.0,22
85.0,85.0,85
234.0,234.0,234
16.0,16.0,16
26.0,26.0,26
133.0,133.0,133
62.0,62.0,62
92.0,92.0,92
58.0,58.0,58
21.0,21.0,21
180.0,180.0,180
65.0,65.0,65
10.0,10.0,10
120.0,120.0,120
204.0,204.0,204
46.0,46.0,46
25.0,25.0,25
74.0,74.0,74
6.0,6.0,6
59.0,59.0,59
806.0,806.0,806
30.0,30.0,30
40.0,40.0,40
17.0,17.0,17
72.0,72.0,72
8.0,8.0,8
86.0,86.0,86
8.0,8.0,8
12.0,12.0,12
18.0,18.0,18
8.0,8.0,8
27.0,27.0,27
25.0,25.0,25
25.0,25.0,25
164.0,164.0,164
8.0,8.0,8
30.0,30.0,30
60.0,60.0,60
27.0,27.0,27
202.0,202.0,202
48.0,48.0,48
30.0,30.0,30
19.0,19.0,19
97.0,97.0,97
104.0,104.0,104
27.0,27.0,27
47.0,47.0,47
8.0,8.0,8
90.0,90.0,90
118.0,118.0,118
9.0,9.0,9
260.0,260.0,260
62.0,62.0,62
94.0,94.0,94
20.0,20.0,20
20.0,20.0,20
42.0,42.0,42
6.0,6.0,6
1177.0,1177.0,1177
10.0,10.0,10
6.0,6.0,6
7.0,7.0,7
130.0,130.0,130
8.0,8.0,8
62.0,62.0,62
14.0,14.0,14
195.0,195.0,195
30.0,30.0,30
24.0,24.0,24
16.0,16.0,16
3.0,3.0,3
1038.0,1038.0,1038
60.0,60.0,60
773.0,773.0,773
38.0,38.0,38
70.0,70.0,70
12.0,12.0,12
11.0,11.0,11
11.0,11.0,11
32.0,32.0,32
13.0,13.0,13
23.0,23.0,23
33.0,33.0,33
46.0,46.0,46
17.0,17.0,17
210.0,210.0,210
92.0,92.0,92
8.0,8.0,8
29.0,29.0,29
2.0,2.0,2
8.0,8.0,8
81.0,81.0,81
6.0,6.0,6
43.0,43.0,43
37.0,37.0,37
81.0,81.0,81
15.0,15.0,15
137.0,137.0,137
5.0,5.0,5
19.0,19.0,19
8.0,8.0,8
25.0,25.0,25
22.0,22.0,22
9.0,9.0,9
25.0,25.0,25
62.0,62.0,62
27.0,27.0,27
160.0,160.0,160
49.0,49.0,49
551.0,551.0,551
45.0,45.0,45
27.0,27.0,27
147.0,147.0,147
637.0,637.0,637
7.0,7.0,7
84.0,84.0,84
18.0,18.0,18
57.0,57.0,57
74.0,74.0,74
55.0,55.0,55
65.0,65.0,65
40.0,40.0,40
8.0,8.0,8
4.0,4.0,4
87.0,87.0,87
324.0,324.0,324
11.0,11.0,11
43.0,43.0,43
4.0,4.0,4
30.0,30.0,30
70.0,70.0,70
21.0,21.0,21
24.0,24.0,24
41.0,41.0,41
4.0,4.0,4
57.0,57.0,57
10.0,10.0,10
18.0,18.0,18
56.0,56.0,56
96.0,96.0,96
399.0,399.0,399
22.0,22.0,22
25.0,25.0,25
6.0,6.0,6
3.0,3.0,3
9.0,9.0,9
24.0,24.0,24
80.0,80.0,80
4.0,4.0,4
31.0,31.0,31
13.0,13.0,13
25.0,25.0,25
21.0,21.0,21
65.0,65.0,65
25.0,25.0,25
20.0,20.0,20
35.0,35.0,35
7.0,7.0,7
5.0,5.0,5
12.0,12.0,12
13.0,13.0,13
5.0,5.0,5
9.0,9.0,9
5.0,5.0,5
12.0,12.0,12
33.0,33.0,33
9.0,9.0,9
233.0,233.0,233
10.0,10.0,10
41.0,41.0,41
29.0,29.0,29
36.0,36.0,36
