08-slytherin-employees,07-silvestri-employees_2017,03-gren-employees_number_2017,01-DDD-number_of_employees_2017
16,,,
72,,,
6,,,
87,,,
109,,,
90,,,
13,,,
82,,,
49,,,
43,,,
100,,,
5,,,
34,,,
15,,,
3,,,
278,,,
6,,,
63,,,
24,,,
11,,,
36,,,
89,,,
6,,,
7,,,
20,,,
96,,,
8,,,
9,,,
12,,,
143,,,
10,,,
27,,,
11,,,
85,,,
7,,,
98,,,
150,,,
104,,,
19,,,
14,,,
1000,,,
14,,,
10,,,
21,,,
120,,,
73,,,
17,,,
7,,,
6,,,
52,,,
6,,,
12,,,
37,,,
5,,,
7,,,
10,,,
18,,,
41,,,
5,,,
32,,,
108,,,
10,,,
25,,,
16,,,
14,,,
9,,,
7,,,
65,,,
10,,,
16,,,
101,,,
90,,,
75,,,
9,,,
8,,,
20,,,
1,,,
3970,,,
400,,,
40,,,
4,,,
37,,,
28,,,
13,,,
92,,,
13,,,
57,,,
46,,,
50,,,
15,,,
49,,,
63,,,
130,,,
26,,,
45,,,
47,,,
7,,,
28,,,
57,,,
9,,,
2,,,
50,,,
28,,,
14,,,
2,,,
4,,,
17,,,
8,,,
57,,,
41,,,
303,,,
10,,,
40,,,
12,,,
14,,,
16,,,
493,,,
12,,,
12,,,
6,,,
7,,,
123,,,
70,,,
37,,,
38,,,
650,,,
6,,,
32,,,
4,,,
not found,,,
8,,,
54,,,
381,,,
13,,,
118,,,
232,,,
73,,,
153,,,
33,,,
20,,,
18,,,
108,,,
6,,,
42,,,
120,,,
16,,,
4,,,
10,,,
7,,,
2,,,
53,,,
1,,,
21,,,
134,,,
6,,,
119,,,
12,,,
57,,,
135,,,
26,,,
95,,,
10,,,
5,,,
25,,,
86,,,
18,,,
88,,,
not found,,,
134,,,
16,,,
1,,,
418,,,
20,,,
64,,,
9,,,
63,,,
8,,,
32,,,
31,,,
36,,,
19,,,
20,,,
44,,,
262,,,
34,,,
7,,,
14,,,
98,,,
30,,,
35,,,
16,,,
76,,,
40,,,
16,,,
30,,,
11,,,
21,,,
67,,,
14,,,
213,,,
101,,,
15,,,
2,,,
60,,,
18,,,
11,,,
146,,,
20,,,
24,,,
46,,,
504,,,
55,,,
4,,,
9,,,
4,,,
22,,,
7,,,
10,,,
7,,,
20,,,
24,,,
85,,,
51,,,
135,,,
8,,,
16,,,
234,,,
16,,,
27,,,
11,,,
32,,,
26,,,
133,,,
107,,,
2,,,
64,,,
4,,,
62,,,
92,,,
29,,,
23,,,
85,,,
10,,,
58,,,
93,,,
9,,,
40,,,
21,,,
180,,,
95,,,
15,,,
37,,,
65,,,
30,,,
206,,,
51,,,
10,,,
29,,,
197,,,
32,,,
120,,,
204,,,
3,,,
12,,,
16,,,
46,,,
25,,,
62,,,
50,,,
38,,,
74,,,
6,,,
57,,,
12882,,,
5,,,
59,,,
65,,,
12,,,
32,,,
210,,,
806,,,
30,,,
16,,,
12,,,
97,,,
40,,,
37,,,
32,,,
27,,,
17,,,
9,,,
110,,,
19,,,
72,,,
20,,,
6,,,
154,,,
8,,,
48,,,
16,,,
85,,,
86,,,
4,,,
73,,,
85,,,
8,,,
26,,,
5,,,
20,,,
12,,,
34,,,
40,,,
10,,,
18,,,
235,,,
133,,,
104,,,
8,,,
7,,,
1,,,
627,,,
27,,,
7,,,
7,,,
14,,,
25,,,
44,,,
169,,,
93,,,
25,,,
31,,,
70,,,
180,,,
164,,,
18,,,
305,,,
20,,,
8,,,
30,,,
18,,,
10,,,
2,,,
60,,,
21,,,
69,,,
2,,,
27,,,
21,,,
76,,,
28,,,
202,,,
12,,,
3,,,
24,,,
48,,,
14,,,
18,,,
37,,,
30,,,
121,,,
78,,,
30,,,
19,,,
49,,,
10,,,
60,,,
97,,,
7,,,
30,,,
25,,,
104,,,
37,,,
29,,,
83,,,
27,,,
2,,,
18,,,
32,,,
47,,,
31,,,
400,,,
134,,,
8,,,
136,,,
2,,,
6,,,
90,,,
37,,,
25,,,
28,,,
118,,,
31,,,
37,,,
5,,,
9,,,
76,,,
25,,,
31,,,
260,,,
21,,,
44,,,
9,,,
62,,,
56,,,
34,,,
15,,,
94,,,
12,,,
129,,,
24,,,
20,,,
94,,,
90,,,
79,,,
20,,,
82,,,
52,,,
213,,,
42,,,
1900,,,
7,,,
28,,,
6,,,
380,,,
12,,,
106,,,
1177,,,
55,,,
22,,,
40,,,
10,,,
20,,,
21,,,
35,,,
6,,,
5,,,
19,,,
34,,,
7,,,
79,,,
577,,,
10,,,
130,,,
24,,,
110,,,
90,,,
8,,,
62,,,
11,,,
180,,,
50,,,
28,,,
14,,,
195,,,
96,,,
11,,,
9,,,
30,,,
49,,,
171,,,
25,,,
24,,,
3,,,
25,,,
39,,,
16,,,
43,,,
90,,,
60,,,
3,,,
8,,,
19,,,
15,,,
1038,,,
302,,,
280,,,
19,,,
60,,,
149,,,
100,,,
65,,,
773,,,
123,,,
35,,,
26,,,
38,,,
85,,,
62,,,
23,,,
70,,,
218,,,
8,,,
10,,,
12,,,
4,,,
42,,,
9,,,
11,,,
45,,,
6,,,
20,,,
11,,,
4,,,
115,,,
6,,,
32,,,
9,,,
4,,,
360,,,
13,,,
175,,,
11,,,
31,,,
23,,,
33,,,
55,,,
6,,,
33,,,
39,,,
12,,,
29,,,
46,,,
30,,,
100,,,
12,,,
17,,,
5,,,
34,,,
17,,,
210,,,
47,,,
8,,,
3,,,
92,,,
4,,,
3,,,
6,,,
950,,,
8,,,
89,,,
1,,,
108,,,
29,,,
55,,,
7,,,
15,,,
2,,,
33,,,
11,,,
125,,,
8,,,
18,,,
42,,,
91,,,
81,,,
230,,,
39,,,
101,,,
23,,,
6,,,
43,,,
3,,,
16,,,
35,,,
37,,,
167,,,
24,,,
44,,,
7,,,
81,,,
9,,,
183,,,
18,,,
92,,,
15,,,
137,,,
8,,,
42,,,
67,,,
48,,,
5,,,
19,,,
19,,,
11,,,
8,,,
328,,,
8,,,
25,,,
12,,,
27,,,
26,,,
44,,,
22,,,
209,,,
33,,,
7,,,
295,,,
9,,,
25,,,
72,,,
220,,,
25,,,
62,,,
6,,,
39,,,
12,,,
27,,,
48,,,
64,,,
168,,,
160,,,
57,,,
4,,,
91,,,
49,,,
41,,,
8,,,
18,,,
198,,,
551,,,
45,,,
7,,,
6,,,
15,,,
7,,,
27,,,
147,,,
15,,,
23,,,
84,,,
11,,,
637,,,
18,,,
75,,,
18,,,
7,,,
56,,,
7,,,
9,,,
84,,,
71,,,
195,,,
6,,,
4,,,
18,,,
57,,,
15,,,
24,,,
181,,,
16,,,
74,,,
13,,,
75,,,
25,,,
5,,,
55,,,
39,,,
58,,,
17,,,
65,,,
40,,,
41,,,
113,,,
17,,,
154,,,
8,,,
4,,,
45,,,
3,,,
55,,,
156,,,
87,,,
52,,,
45,,,
24,,,
29,,,
324,,,
52,,,
not found,,,
37,,,
11,,,
43,,,
75,,,
12,,,
50,,,
4,,,
30,,,
90,,,
236,,,
15,,,
7,,,
70,,,
12,,,
46,,,
62,,,
10,,,
21,,,
24,,,
474,,,
64,,,
4,,,
41,,,
30,,,
45,,,
22,,,
53,,,
4,,,
11,,,
15,,,
15,,,
57,,,
18,,,
1,,,
30,,,
130,,,
60,,,
10,,,
34,,,
133,,,
82,,,
31,,,
18,,,
76,,,
18,,,
141,,,
57,,,
56,,,
96,,,
340,,,
50,,,
10,,,
399,,,
3,,,
not found,,,
485,,,
4,,,
242,,,
22,,,
52,,,
20,,,
19,,,
231,,,
25,,,
6,,,
101,,,
11,,,
24,,,
38,,,
251,,,
3,,,
50,,,
7,,,
3,,,
9,,,
300,,,
60,,,
104,,,
24,,,
14,,,
70,,,
100,,,
80,,,
20,,,
699,,,
23,,,
4,,,
91,,,
4,,,
242,,,
24,,,
31,,,
13,,,
89,,,
10,,,
35,,,
25,,,
21,,,
21,,,
32,,,
146,,,
6,,,
65,,,
25,,,
27,,,
65,,,
37,,,
20,,,
6,,,
2400,,,
2,,,
35,,,
7,,,
30,,,
11,,,
6,,,
5,,,
12,,,
25,,,
9,,,
115,,,
13,,,
5,,,
160,,,
254,,,
15,,,
4,,,
19,,,
9,,,
14,,,
215,,,
35,,,
5,,,
8,,,
19,,,
2929,,,
12,,,
33,,,
14,,,
1,,,
33,,,
9,,,
764,,,
12,,,
219,,,
233,,,
40,,,
1,,,
7,,,
10,,,
40,,,
7,,,
33,,,
41,,,
11,,,
53,,,
19,,,
29,,,
36,,,
19,,,
13,,,
4,,,
72,,,
17,,,
5,,,
70,,,
60,,,
28,,,
48,,,
11,,,
20,,,
94,,,
26,,,
21,,,
16,,,
194,,,
66,,,
70,,,
10,,,
7,,,
14,,,
90,,,
26,,,
29,,,
12,,,
not found,,,
81,,,
24,,,
65,,,
4,,,
8,,,
44,,,
31,,,
not found,,,
21,,,
15,,,
1258,,,
146,,,
11,,,
44,,,
59,,,
32,,,
35,,,
5,,,
15,,,
27,,,
14,,,
18,,,
17,,,
45,,,
9,,,
20,,,
45,,,
34,,,
10,,,
10,,,
17,,,
53,,,
18,,,
13,,,
11,,,
3,,,
364,,,
35,,,
7,,,
9,,,
30,,,
12,,,
50,,,
129,,,
170,,,
33,,,
6,,,
3,,,
18,,,
40,,,
135,,,
20,,,
7,,,
15,,,
14,,,
12,,,
127,,,
50,,,
26,,,
40,,,
7,,,
167,,,
16,,,
90,,,
12,,,
37,,,
14,,,
25,,,
90,,,
13,,,
21,,,
130,,,
426,,,
61,,,
4,,,
34,,,
140,,,
28,,,
780,,,
39,,,
14,,,
445,,,
9,,,
95,,,
30,,,
9,,,
62,,,
42,,,
59,,,
17,,,
49,,,
35,,,
32,,,
25,,,
119,,,
141,,,
208,,,
13,,,
108,,,
25,,,
7,,,
11,,,
109,,,
52,,,
29,,,
12,,,
7,,,
1098,,,
23,,,
71,,,
22,,,
48,,,
13,,,
4,,,
5,,,
10,,,
44,,,
25,,,
310,,,
67,,,
37,,,
4,,,
61,,,
32,,,
5534,,,
9,,,
241,,,
19,,,
40,,,
14,,,
47,,,
75,,,
42,,,
612,,,
19,,,
75,,,
50,,,
221,,,
10,,,
81,,,
25,,,
83,,,
76,,,
9,,,
31,,,
25,,,
59,,,
64,,,
5,,,
13,,,
14,,,
18,,,
36,,,
9,,,
49,,,
3,,,
8,,,
15,,,
138,,,
17,,,
58,,,
1,,,
6,,,
22,,,
3,,,
79,,,
37,,,
23,,,
14,,,
10,,,
11,,,
28,,,
13,,,
30,,,
329,,,
10,,,
23,,,
51,,,
8,,,
2,,,
15,,,
73,,,
118,,,
32,,,
180,,,
45,,,
43,,,
35,,,
11,,,
13,,,
6,,,
39,,,
45,,,
40,,,
12,,,
262,,,
89,,,
12,,,
18,,,
26,,,
91,,,
32,,,
96,,,
28,,,
41,,,
14,,,
37,,,
14,,,
2,,,
22,,,
39,,,
6,,,
6,,,
229,,,
71,,,
22,,,
217,,,
42,,,
94,,,
114,,,
16,,,
46,,,
25,,,
100,,,
34,,,
41,,,
173,,,
53,,,
35,,,
5,,,
27,,,
14,,,
31,,,
36,,,
552,,,
14,,,
112,,,
102,,,
2,,,
8,,,
21,,,
24,,,
35,,,
139,,,
732,,,
46,,,
17,,,
12,,,
17,,,
17,,,
39,,,
25,,,
15,,,
23,,,
116,,,
17,,,
73,,,
12,,,
2,,,
47,,,
101,,,
22,,,
20,,,
186,,,
30,,,
206,,,
78,,,
27,,,
40,,,
15,,,
8,,,
50,,,
163,,,
58,,,
78,,,
9,,,
9,,,
45,,,
8,,,
116,,,
120,,,
7,,,
131,,,
6,,,
4,,,
22,,,
90,,,
19,,,
24,,,
400,,,
103,,,
8,,,
10,,,
20,,,
25,,,
19,,,
21,,,
89,,,
11,,,
77,,,
70,,,
80,,,
22,,,
42,,,
74,,,
27,,,
30,,,
17,,,
490,,,
14,,,
26,,,
200,,,
53,,,
48,,,
15,,,
4,,,
72,,,
7,,,
68,,,
98,,,
6,,,
10,,,
8,,,
2,,,
8,,,
6,,,
124,,,
97,,,
265,,,
24,,,
40,,,
50,,,
19,,,
12,,,
186,,,
4,,,
431,,,
213,,,
8,,,
33,,,
59,,,
10,,,
109,,,
45,,,
55,,,
88,,,
45,,,
20,,,
139,,,
5,,,
245,,,
5,,,
5,,,
1100,,,
1,,,
103,,,
20,,,
57,,,
22,,,
74,,,
35,,,
117,,,
3,,,
57,,,
34,,,
40,,,
128,,,
11,,,
21,,,
7,,,
56,,,
33,,,
25,,,
20,,,
10,,,
85,,,
92,,,
20,,,
79,,,
45,,,
5,,,
77,,,
8,,,
8,,,
12,,,
149,,,
113,,,
3,,,
8,,,
230,,,
13,,,
91,,,
33,,,
18,,,
117,,,
11,,,
7,,,
4,,,
38,,,
24,,,
80,,,
7,,,
3,,,
42,,,
5,,,
121,,,
9,,,
17,,,
16,,,
415,,,
25,,,
66,,,
13,,,
24,,,
720,,,
106,,,
50,,,
11,,,
25,,,
62,,,
45,,,
54,,,
200,,,
127,,,
42,,,
10,,,
9,,,
18,,,
10,,,
47,,,
35,,,
185,,,
19,,,
75,,,
61,,,
40,,,
27,,,
220,,,
7,,,
13,,,
35,,,
21,,,
30,,,
5,,,
346,,,
58,,,
11,,,
35,,,
8,,,
25,,,
49,,,
18,,,
275,,,
20,,,
18,,,
42,,,
2,,,
28,,,
105,,,
158,,,
14,,,
20,,,
550,,,
32,,,
23,,,
25,,,
211,,,
39,,,
53,,,
83,,,
64,,,
75,,,
9,,,
26,,,
134,,,
14,,,
2,,,
11,,,
6,,,
27,,,
1,,,
5,,,
10,,,
30,,,
82,,,
16,,,
14,,,
88,,,
78,,,
740,,,
5,,,
23,,,
120,,,
17,,,
90,,,
381,,,
9,,,
30,,,
4,,,
25,,,
464,,,
23,,,
45,,,
47,,,
20,,,
131,,,
66,,,
25,,,
85,,,
37,,,
25,,,
23,,,
4,,,
19,,,
109,,,
77,,,
37,,,
7,,,
20,,,
17,,,
145,,,
57,,,
31,,,
80,,,
3,,,
28,,,
23,,,
130,,,
315,,,
21,,,
9,,,
34,,,
454,,,
18,,,
52,,,
100,,,
30,,,
7,,,
25,,,
25,,,
31,,,
42,,,
220,,,
2,,,
53,,,
14,,,
35,,,
9,,,
25,,,
52,,,
18,,,
378,,,
166,,,
816,,,
14,,,
7,,,
27,,,
6,,,
31,,,
146,,,
50,,,
25,,,
62,,,
51,,,
1,,,
63,,,
28,,,
15,,,
119,,,
70,,,
75,,,
26,,,
28,,,
85,,,
16,,,
25,,,
165,,,
75,,,
10,,,
50,,,
19,,,
15,,,
30,,,
12,,,
6,,,
3,,,
23,,,
76,,,
587,,,
18,,,
27,,,
36,,,
40,,,
58,,,
22,,,
29,,,
9,,,
60,,,
5,,,
59,,,
19,,,
7,,,
48,,,
165,,,
158,,,
9,,,
85,,,
6,,,
1562,,,
2,,,
16,,,
5,,,
29,,,
53,,,
14,,,
350,,,
15,,,
45,,,
44,,,
11,,,
222,,,
15,,,
29,,,
14,,,
90,,,
396,,,
117,,,
76,,,
25,,,
8,,,
2,,,
14,,,
125,,,
23,,,
34,,,
5,,,
11,,,
5,,,
164,,,
10,,,
6,,,
2,,,
19,,,
5,,,
9,,,
40,,,
16,,,
95,,,
15,,,
15,,,
19,,,
9,,,
128,,,
32,,,
150,,,
4,,,
23,,,
90,,,
205,,,
25,,,
20,,,
42,,,
14,,,
16,,,
30,,,
35,,,
24,,,
150,,,
160,,,
16,,,
30,,,
40,,,
107,,,
71,,,
14,,,
82,,,
50,,,
135,,,
69,,,
9,,,
24,,,
41,,,
20,,,
212,,,
171,,,
514,,,
8,,,
20,,,
1251,,,
18,,,
71,,,
31,,,
21,,,
3,,,
31,,,
15,,,
33,,,
22,,,
18,,,
6,,,
12,,,
20,,,
13,,,
19,,,
12,,,
50,,,
7,,,
23,,,
19,,,
5,,,
29,,,
296,,,
5,,,
23,,,
18,,,
13,,,
16,,,
30,,,
36,,,
not found,,,
7,,,
25,,,
38,,,
16,,,
123,,,
44,,,
15,,,
18,,,
98,,,
20,,,
13,,,
18,,,
43,,,
35,,,
2,,,
16,,,
48,,,
20,,,
32,,,
140,,,
16,,,
145,,,
5,,,
230,,,
25,,,
27,,,
82,,,
42,,,
18,,,
34,,,
15,,,
10,,,
18,,,
63,,,
42,,,
55,,,
19,,,
150,,,
26,,,
16,,,
6,,,
80,,,
29,,,
137,,,
29,,,
16,,,
28,,,
170,,,
32,,,
1,,,
192,,,
75,,,
18,,,
214,,,
30,,,
52,,,
14,,,
25,,,
188,,,
56,,,
141,,,
32,,,
139,,,
55,,,
30,,,
3,,,
3,,,
5,,,
161,,,
7,,,
14,,,
13,,,
57,,,
101,,,
57,,,
6,,,
24,,,
not found,,,
100,,,
21,,,
35,,,
25,,,
36,,,
47,,,
17,,,
31,,,
3,,,
36,,,
16,,,
13,,,
32,,,
5,,,
2,,,
50,,,
10,,,
10,,,
95,,,
46,,,
1000,,,
34,,,
284,,,
23,,,
6,,,
194,,,
19,,,
292,,,
32,,,
184,,,
3,,,
87,,,
28,,,
74,,,
not found,,,
12,,,
8,,,
49,,,
14,,,
50,,,
100,,,
67,,,
35,,,
21,,,
51,,,
85,,,
50,,,
17,,,
158,,,
30,,,
65,,,
13,,,
102,,,
423,,,
25,,,
113,,,
66,,,
1,,,
34,,,
23,,,
not found,,,
4,,,
43,,,
4,,,
36,,,
45,,,
43,,,
30,,,
102,,,
8,,,
287,,,
104,,,
21.4,,,
34,,,
25,,,
15,,,
43,,,
117,,,
22,,,
123,,,
8,,,
8,,,
82,,,
29,,,
72,,,
45,,,
8,,,
245,,,
15,,,
22,,,
41,,,
95,,,
12,,,
5,,,
22,,,
8,,,
24,,,
16,,,
18,,,
178,,,
7,,,
30,,,
81,,,
46,,,
67,,,
3,,,
13,,,
18,,,
36,,,
120,,,
8,,,
not found,,,
18,,,
91,,,
16,,,
33,,,
168,,,
6,,,
46,,,
62,,,
44,,,
27,,,
43,,,
265,,,
19,,,
18,,,
29,,,
280,,,
12,,,
29,,,
99,,,
60,,,
30,,,
43,,,
101,,,
53,,,
54,,,
1500,,,
12,,,
49,,,
100,,,
4,,,
5,,,
19,,,
77,,,
70,,,
7,,,
28,,,
80,,,
16,,,
371,,,
2,,,
12,,,
173,,,
17,,,
55,,,
23,,,
5152,,,
24,,,
3290,,,
38,,,
6,,,
135,,,
179,,,
186,,,
35,,,
14,,,
35,,,
49,,,
21,,,
74,,,
13,,,
10,,,
35,,,
19,,,
101,,,
18,,,
not found,,,
121,,,
23,,,
10,,,
70,,,
15,,,
16,,,
2172,,,
70,,,
25,,,
183,,,
15,,,
220,,,
20,,,
47,,,
35,,,
46,,,
45,,,
2,,,
25,,,
3,,,
15,,,
10,,,
35,,,
96,,,
38,,,
6,,,
4,,,
30,,,
28,,,
20,,,
34,,,
7,,,
58,,,
40,,,
18,,,
38,,,
301,,,
18,,,
9,,,
96,,,
13,,,
68,,,
14,,,
22,,,
230,,,
220,,,
13,,,
103,,,
2,,,
21,,,
5,,,
1,,,
26,,,
4,,,
16,,,
78,,,
26,,,
26,,,
395,,,
4,,,
91,,,
18,,,
30,,,
40,,,
8,,,
100,,,
52,,,
20,,,
73,,,
17,,,
20,,,
9,,,
10,,,
8,,,
8,,,
47,,,
77,,,
7,,,
8,,,
9,,,
90,,,
38,,,
10,,,
2,,,
369,,,
25,,,
20,,,
293,,,
269,,,
47,,,
150,,,
12,,,
54,,,
210,,,
20,,,
16,,,
117,,,
8,,,
22,,,
68,,,
164,,,
20,,,
10,,,
13,,,
68,,,
23,,,
35,,,
103,,,
61,,,
22,,,
47,,,
93,,,
32,,,
13,,,
47,,,
23,,,
5,,,
55,,,
81,,,
45,,,
14,,,
16,,,
33,,,
9,,,
22,,,
82,,,
23,,,
146,,,
30,,,
20,,,
14,,,
77,,,
40,,,
180,,,
29,,,
40,,,
15,,,
151,,,
90,,,
9,,,
61,,,
23,,,
39,,,
40,,,
42,,,
11,,,
18,,,
27,,,
92,,,
70,,,
53,,,
123,,,
8,,,
116,,,
60,,,
15,,,
14,,,
182,,,
16,,,
600,,,
57,,,
8,,,
24,,,
59,,,
5,,,
37,,,
36,,,
101,,,
23,,,
142,,,
31,,,
17,,,
6,,,
120,,,
26,,,
95,,,
2,,,
82,,,
39,,,
2,,,
51,,,
118,,,
not found,,,
4,,,
31,,,
29,,,
48,,,
27,,,
32,,,
10,,,
50,,,
1,,,
32,,,
51,,,
200,,,
18,,,
156,,,
30,,,
48,,,
12,,,
11,,,
88,,,
300,,,
53,,,
16,,,
7,,,
13,,,
27,,,
100,,,
27,,,
24,,,
29,,,
12,,,
70,,,
13,,,
26,,,
25,,,
49,,,
21,,,
13,,,
15,,,
130,,,
227,,,
20,,,
10,,,
97,,,
38,,,
79,,,
13,,,
6,,,
21,,,
25,,,
30,,,
100,,,
68,,,
11,,,
142,,,
39,,,
492,,,
5,,,
4,,,
79,,,
25,,,
73,,,
15,,,
2,,,
130,,,
456,,,
20,,,
350,,,
83,,,
13,,,
24,,,
1,,,
1,,,
108,,,
37,,,
11,,,
12,,,
38,,,
35,,,
32,,,
54,,,
42,,,
74,,,
88,,,
35,,,
64,,,
34,,,
64,,,
140,,,
3,,,
529,,,
302,,,
22,,,
32,,,
14,,,
28,,,
4,,,
50,,,
10,,,
15,,,
28,,,
50,,,
71,,,
27,,,
18,,,
15,,,
350,,,
14,,,
80,,,
724,,,
35,,,
30,,,
141,,,
76,,,
30,,,
4,,,
26,,,
30,,,
25,,,
109,,,
8,,,
31,,,
129,,,
40,,,
170,,,
62,,,
18,,,
15,,,
35,,,
11,,,
13,,,
10,,,
220,,,
59,,,
160,,,
7,,,
276,,,
8,,,
7,,,
21,,,
138,,,
10,,,
219,,,
520,,,
12,,,
5,,,
18,,,
24,,,
3,,,
24,,,
20,,,
3,,,
231,,,
35,,,
35,,,
84,,,
98,,,
26,,,
38,,,
9,,,
122,,,
121,,,
348,,,
1,,,
24,,,
136,,,
221,,,
55,,,
54,,,
43,,,
46,,,
616,,,
250,,,
9,,,
50,,,
60,,,
105,,,
22,,,
39,,,
59,,,
10,,,
35,,,
22,,,
47,,,
61,,,
15,,,
22,,,
15,,,
1,,,
32,,,
454,,,
411,,,
45,,,
75,,,
57,,,
38,,,
16,,,
20,,,
12,,,
6,,,
16,,,
8,,,
130,,,
1400,,,
142,,,
20,,,
8,,,
20,,,
2,,,
25,,,
69,,,
13,,,
165,,,
550,,,
72,,,
37,,,
70,,,
35,,,
14,,,
12,,,
228,,,
212,,,
22,,,
5,,,
37,,,
38,,,
14,,,
21,,,
22,,,
108,,,
26,,,
29,,,
28,,,
95,,,
27,,,
18,,,
5,,,
23,,,
58,,,
47,,,
87,,,
12,,,
65,,,
90,,,
730,,,
119,,,
3,,,
650,,,
45,,,
16,,,
65,,,
184,,,
15,,,
10,,,
4,,,
113,,,
16,,,
56,,,
35,,,
180,,,
50,,,
306,,,
154,,,
118,,,
104,,,
46,,,
25,,,
196,,,
1,,,
42,,,
285,,,
170,,,
34,,,
30,,,
21,,,
39,,,
23,,,
45,,,
13,,,
18,,,
not found,,,
6,,,
78,,,
17,,,
not found,,,
69,,,
39,,,
56,,,
31,,,
6,,,
32,,,
1000,,,
13,,,
111,,,
45,,,
27,,,
40,,,
9,,,
15,,,
15,,,
22,,,
782,,,
15,,,
105,,,
25,,,
40,,,
12,,,
114,,,
15,,,
22,,,
119,,,
10,,,
188,,,
13,,,
21,,,
10,,,
123,,,
6,,,
4,,,
6,,,
12,,,
19,,,
not found,,,
40,,,
94,,,
791,,,
5,,,
10,,,
36,,,
36,,,
105,,,
474,,,
23,,,
74,,,
3,,,
22,,,
25,,,
13,,,
22,,,
18,,,
54,,,
51,,,
67,,,
42,,,
16,,,
182,,,
12,,,
8389,,,
4,,,
not found,,,
5,,,
12,,,
100,,,
16,,,
27,,,
3,,,
2,,,
221,,,
45,,,
23,,,
1,,,
29,,,
12,,,
59,,,
16,,,
8,,,
150,,,
100,,,
58,,,
60,,,
53,,,
5,,,
70,,,
400,,,
199,,,
47,,,
85,,,
18,,,
130,,,
24,,,
15,,,
24,,,
24,,,
6,,,
19,,,
27,,,
121,,,
135,,,
3,,,
13,,,
559,,,
478,,,
61,,,
5,,,
96,,,
80,,,
6,,,
65,,,
45,,,
4,,,
85,,,
3,,,
118,,,
3,,,
67,,,
800,,,
18,,,
22,,,
48,,,
4,,,
54,,,
23,,,
51,,,
15,,,
68,,,
68,,,
16,,,
133,,,
200,,,
1200,,,
39,,,
120,,,
11,,,
110,,,
24,,,
58,,,
31,,,
174,,,
40,,,
591,,,
9,,,
20,,,
not found,,,
6,,,
156,,,
632,,,
65,,,
23,,,
45,,,
75,,,
64,,,
6,,,
12,,,
98,,,
47,,,
105,,,
10,,,
107,,,
68,,,
7,,,
324,,,
8,,,
16,,,
23,,,
not found,,,
285,,,
89,,,
17,,,
162,,,
15,,,
25,,,
199,,,
32,,,
88,,,
43,,,
136,,,
75,,,
282,,,
19,,,
258,,,
44,,,
74,,,
143,,,
12,,,
28,,,
185,,,
50,,,
14,,,
448,,,
23,,,
17,,,
16,,,
29,,,
75,,,
9,,,
23,,,
170,,,
15,,,
219,,,
17,,,
158,,,
65,,,
50,,,
14,,,
2,,,
171,,,
39,,,
1000,,,
14,,,
5,,,
50,,,
19,,,
10,,,
237,,,
28,,,
21,,,
11,,,
19,,,
44,,,
16,,,
21,,,
45,,,
14,,,
62,,,
110,,,
14,,,
63,,,
16,,,
36,,,
329,,,
11,,,
6,,,
31,,,
11,,,
9,,,
not found,,,
77,,,
6,,,
668,,,
2,,,
111,,,
15,,,
28,,,
4,,,
3,,,
14,,,
14,,,
50,,,
24,,,
10,,,
20,,,
6,,,
14,,,
14,,,
6,,,
43,,,
14,,,
25,,,
27,,,
122,,,
15,,,
349,,,
22,,,
45,,,
140,,,
18,,,
24,,,
84,,,
63,,,
18,,,
39,,,
108,,,
34,,,
14,,,
31,,,
160,,,
14,,,
not found,,,
184,,,
11,,,
56,,,
25,,,
145,,,
500,,,
24,,,
130,,,
29,,,
52,,,
61,,,
28,,,
18,,,
8,,,
12,,,
209,,,
955,,,
12,,,
83,,,
33,,,
59,,,
4,,,
5,,,
17,,,
38,,,
10,,,
210,,,
260,,,
11,,,
375,,,
26,,,
16,,,
11,,,
5,,,
29,,,
50,,,
9,,,
41,,,
22,,,
1,,,
113,,,
18,,,
8,,,
1,,,
21,,,
29,,,
57,,,
13,,,
13,,,
132,,,
43,,,
94,,,
54,,,
43,,,
22,,,
31,,,
117,,,
18,,,
1259,,,
11,,,
60,,,
80,,,
90,,,
11,,,
98,,,
21,,,
39,,,
9,,,
1,,,
52,,,
30,,,
29,,,
145,,,
39,,,
112,,,
78,,,
20,,,
13,,,
29,,,
1486,,,
43,,,
not found,,,
6,,,
105,,,
11,,,
4,,,
40,,,
65,,,
25,,,
91,,,
19,,,
20,,,
3,,,
16,,,
139,,,
38,,,
88,,,
226,,,
50,,,
106,,,
457,,,
9,,,
25,,,
8,,,
10,,,
79,,,
44,,,
139,,,
10,,,
180,,,
3,,,
16,,,
18,,,
9,,,
31,,,
63,,,
273,,,
35,,,
4,,,
45,,,
14,,,
18,,,
9,,,
859,,,
16,,,
83,,,
80,,,
39,,,
143,,,
139,,,
232,,,
26,,,
28,,,
40,,,
1,,,
105,,,
9,,,
90,,,
84,,,
1,,,
22,,,
22,,,
26,,,
33,,,
18,,,
67,,,
20,,,
35,,,
463,,,
120,,,
19,,,
38,,,
83,,,
14,,,
341,,,
10,,,
38,,,
50,,,
45,,,
62,,,
73,,,
7,,,
44,,,
264,,,
485,,,
27,,,
96,,,
47,,,
6,,,
6,,,
24,,,
13,,,
32,,,
not found,,,
29,,,
19,,,
135,,,
21,,,
25,,,
20,,,
22,,,
53,,,
11,,,
20,,,
1,,,
7,,,
32,,,
191,,,
