08-slytherin-employees,07-silvestri-employees_2017,03-gren-employees_number_2017,01-DDD-number_of_employees_2017
38,16,16,16
144,31,31,31
61,40,40,40
5,47,47,47
25,20,20,20
13,6,6,6
85,20,20,20
42,1,1,1
29,25,25,25
15,8,8,8
754,5,5,5
383,22,22,22
28,3,3,3
16,30,30,30
17,3,3,3
72,18,18,18
20,3,3,3
76,8,8,8
175,3,3,3
479,6,6,6
60,8,8,8
40,4,4,4
135,16,16,16
28,72,72,72
558,5,5,5
6,8,8,8
138,16,16,16
3,5,5,5
30,28,28,28
54,12,12,12
185,8,8,8
37,10,10,10
20,31,31,31
18,33,33,33
84,3,3,3
384,25,25,25
343,4,4,4
20,37,37,37
369,20,20,20
21,6,6,6
35,65,65,65
5,32,32,32
10,28,28,28
650,3,3,3
590,9,9,9
92,12,12,12
24,4,4,4
21,744,744,744
6428,1,1,1
11,0,0,0
13,2,2,2
28,40,40,40
47,10,10,10
88,29,29,29
7,8,8,8
4,50,50,50
1,4,4,4
49,14,14,14
32,8,8,8
458,1,1,1
418,288,288,288
274,5,5,5
229,266,266,266
20,27,27,27
491,33,33,33
25,8,8,8
14,5,5,5
37,4,4,4
48,10,10,10
64,5,5,5
207,14,14,14
80,15,15,15
34,22,22,22
31,9,9,9
7,120,120,120
54,23,23,23
321,4,4,4
198,8,8,8
58,1,1,1
637,4,4,4
73,71,71,71
10,1,1,1
26,16,16,16
17,16,16,16
79,10,10,10
49,5,5,5
10,51,51,51
458,1,1,1
6,11,11,11
190,4,4,4
8,9,9,9
28,8,8,8
15,9,9,9
9,17,17,17
14,23,23,23
"3,006",9,9,9
31,52,52,52
48,21,21,21
12,205,205,205
15,17,17,17
40,19,19,19
7,61,61,61
68,199,199,199
10,6,6,6
7,37,37,37
74,14,14,14
130,14,14,14
20,12,12,12
426,17,17,17
103,17,17,17
50,11,11,11
138,8,8,8
21,1,1,1
26,15,15,15
32,128,128,128
61,3,3,3
750,20,20,20
69,3,3,3
60,2,2,2
280,20,20,20
78,16,16,16
37,2,2,2
5,15,15,15
99,1,1,1
23,17,17,17
44,7,7,7
51,9,9,9
25,17,17,17
20,47,47,47
100,242,242,242
5,15,15,15
2,4,4,4
9,2,2,2
360,3,3,3
44,4,4,4
9,8,8,8
50,20,20,20
47,2,2,2
2100,14,14,14
17,3,3,3
32,12,12,12
96,12,12,12
5,14,14,14
4,11,11,11
36,6,6,6
72,8,8,8
400,4,4,4
189,2,2,2
40,7,7,7
277,7,7,7
16,2,2,2
26,4,4,4
9,5,5,5
52,6,6,6
20,19,19,19
"1,277",2,2,2
390,27,27,27
5,6,6,6
1174,21,21,21
527,11,11,11
37,16,16,16
918,35,35,35
12,10,10,10
12,45,45,45
11,156,156,156
23,27,27,27
50,13,13,13
11,45,45,45
50,29,29,29
68,12,12,12
57,28,28,28
82,5,5,5
22,13,13,13
50,18,18,18
4,6,6,6
33,18,18,18
59,7,7,7
47,32,32,32
54,187,187,187
30,4,4,4
not found,10,10,10
32,2,2,2
17,2,2,2
72,6,6,6
65,4,4,4
140,4,4,4
14,8,8,8
110,7,7,7
30,185,185,185
102,17,17,17
not found,80,80,80
418,9,9,9
46,6,6,6
15,5,5,5
40,27,27,27
50,26,26,26
40,2,2,2
9,3,3,3
not found,11,11,11
52,1,1,1
183,45,45,45
106,12,12,12
64,82,82,82
14,2,2,2
40,103,103,103
135,20,20,20
236,53,53,53
30,27,27,27
200,1,1,1
15,25,25,25
12,2,2,2
67,5,5,5
10,8,8,8
110,5,5,5
7,20,20,20
12,2,2,2
8,22,22,22
69,16,16,16
16,5,5,5
592,14,14,14
350,37,37,37
600,15,15,15
101,1,1,1
80,5,5,5
130,20,20,20
350,8,8,8
2,10,10,10
65,13,13,13
48,15,15,15
30,10,10,10
12,5,5,5
85,16,16,16
7,10,10,10
23,62,62,62
40,5,5,5
6,55,55,55
34,22,22,22
19,3,3,3
825,8,8,8
25,5,5,5
470,18,18,18
10,37,37,37
4,6,6,6
38,11,11,11
13,8,8,8
28,4,4,4
31,2,2,2
64,25,25,25
1,3,3,3
54,5,5,5
80,4,4,4
55,71,71,71
58,4,4,4
132,3,3,3
60,4,4,4
137,2,2,2
32,40,40,40
"1,077",4,4,4
895,27,27,27
not found,15,15,15
170,13,13,13
5,8,8,8
45,3,3,3
226,2,2,2
10,8,8,8
37,2,2,2
22,51,51,51
20,7,7,7
20,71,71,71
110,41,41,41
185,42,42,42
18,57,57,57
579,2,2,2
8,18,18,18
5,30,30,30
49,22,22,22
8,6,6,6
6,8,8,8
31,52,52,52
129,30,30,30
534,6,6,6
22,6,6,6
50,5,5,5
34,2,2,2
10,6,6,6
9,2,2,2
2,6,6,6
27,132,132,132
192,230,230,230
70,34,34,34
"1,538",30,30,30
33,14,14,14
19,6,6,6
5,7,7,7
84,15,15,15
