08-slytherin-revenue,07-silvestri-revenue_2020,03-gren-revenue_2020_eu,01-DDD-revenue_2020_euro
"6,700,000","1,830,610",1830610.0,"1,830,610"
36.1,"9,923,965",9923965.0,"9,923,965"
67.91,"3,332,661",3332661.0,"3,332,661"
37.92,"24,721,755",24721755.0,"24,721,755"
13.85,"16,006,537",16006537.0,"16,006,537"
12.64,"3,230,000",3230000.0,"3,230,000"
5.21,"8,873,180",8873180.0,"8,873,180"
1.47,"28,004,684",28004684.0,"28,004,684"
13.62,"5,743,440",5743440.0,"5,743,440"
"14,338,668","3,729,920",3729920.0,"3,729,920"
"6,851,839","7,638,731",7638731.0,"7,638,731"
"8,808,633","6,013,000",6013000.0,"6,013,000"
6.7,"3,597,000",3597000.0,"3,597,000"
30.07,"4,892,000",4892000.0,"4,892,000"
79.68,"17,575,388",17575388.0,"17,575,388"
13.45,"2,196,424",2196424.0,"2,196,424"
1.70,"6,844,818",6844818.0,"6,844,818"
14.73,"6,624,660",6624660.0,"6,624,660"
1.93,"221,393,889",221393889.0,"221,393,889"
6.56,"1,671,984",1671984.0,"1,671,984"
21.85,"22,137,000",22137000.0,"22,137,000"
"11,583,215","15,486,451",15486451.0,"15,486,451"
"30,886,935","2,016,300",2016300.0,"2,016,300"
"148,227,430","2,996,770",2996770.0,"2,996,770"
"7,065,436","1,715,334",1715334.0,"1,715,334"
13.5,"5,639,953",5639953.0,"5,639,953"
26.25,"12,789,098",12789098.0,"12,789,098"
32.98,"43,812,068",43812068.0,"43,812,068"
7.84,"2,520,013",2520013.0,"2,520,013"
4.52,"1,569,480",1569480.0,"1,569,480"
9.40,"2,027,170",2027170.0,"2,027,170"
23.05,"26,633,230",26633230.0,"26,633,230"
14.59,"29,615,571",29615571.0,"29,615,571"
6.26,"20,825,934",20825934.0,"20,825,934"
"9,008,822","2,267,760",2267760.0,"2,267,760"
"8,375,180","18,196,451",18196451.0,"18,196,451"
"21,304,174","72,044,361",72044361.0,"72,044,361"
"23,062,711","2,709,000",2709000.0,"2,709,000"
7.5,"11,499,031",11499031.0,"11,499,031"
57.65,"5,016,731",5016731.0,"5,016,731"
2.03,"66,146,911",66146911.0,"66,146,911"
3.98,"4,046,859",4046859.0,"4,046,859"
1.00,"19,446,429",19446429.0,"19,446,429"
15.70,"4,436,220",4436220.0,"4,436,220"
2.84,"6,801,734",6801734.0,"6,801,734"
10.18,"3,457,203",3457203.0,"3,457,203"
"16,136,633","4,710,733",4710733.0,"4,710,733"
"13,888,900","4,857,817",4857817.0,"4,857,817"
"5,903,800","2,805,850",2805850.0,"2,805,850"
"6,177,442","2,269,276",2269276.0,"2,269,276"
7.4,"9,391,760",9391760.0,"9,391,760"
100.98,"26,534,087",26534087.0,"26,534,087"
16.29,"8,609,941",8609941.0,"8,609,941"
7.79,"2,108,040",2108040.0,"2,108,040"
11.26,"11,124,512",11124512.0,"11,124,512"
18.21,"156,623,915",156623915.0,"156,623,915"
7.32,"22,386,000",22386000.0,"22,386,000"
"6,238,378","4,870,863",4870863.0,"4,870,863"
"6,461,790","2,407,982",2407982.0,"2,407,982"
"22,386,000","2,597,612",2597612.0,"2,597,612"
11.7,"11,586,460",11586460.0,"11,586,460"
13.65,"1,978,128",1978128.0,"1,978,128"
42.93,"4,882,837",4882837.0,"4,882,837"
2.73,"5,590,390",5590390.0,"5,590,390"
88.58,"2,238,347",2238347.0,"2,238,347"
4.55,"3,400,000",3400000.0,"3,400,000"
94.35,"18,025,740",18025740.0,"18,025,740"
5.57,"17,059,791",17059791.0,"17,059,791"
"5,189,391","15,245,617",15245617.0,"15,245,617"
"8,042,499","18,939,430",18939430.0,"18,939,430"
"7,700,000","2,458,500",2458500.0,"2,458,500"
8.3,"2,184,336",2184336.0,"2,184,336"
7.21,"2,633,664",2633664.0,"2,633,664"
8.40,"1,577,878",1577878.0,"1,577,878"
24.79,"11,087,980",11087980.0,"11,087,980"
2.87,"3,941,900",3941900.0,"3,941,900"
2.66,"6,640,842",6640842.0,"6,640,842"
4.26,"210,945,370",210945370.0,"210,945,370"
1.88,"12,682,062",12682062.0,"12,682,062"
27.96,"60,067,088",60067088.0,"60,067,088"
"121,306,296","6,739,630",6739630.0,"6,739,630"
"1,376,444,096","8,980,496",8980496.0,"8,980,496"
5.1,"1,973,775",1973775.0,"1,973,775"
7.47,"50,723,858",50723858.0,"50,723,858"
1.36,"40,305,193",40305193.0,"40,305,193"
2.55,"3,516,744",3516744.0,"3,516,744"
1.46,"10,499,782",10499782.0,"10,499,782"
7.32,"70,183,744",70183744.0,"70,183,744"
4.43,"9,022,020",9022020.0,"9,022,020"
28.30,"155,595,726",155595726.0,"155,595,726"
"11,301,520","6,315,124",6315124.0,"6,315,124"
"4,540,000","19,420,672",19420672.0,"19,420,672"
"8,809,760","103,634,000",103634000.0,"103,634,000"
6.0,"77,764,611",77764611.0,"77,764,611"
13.12,"3,916,570",3916570.0,"3,916,570"
25.60,"3,960,770",3960770.0,"3,960,770"
2.84,"1,750,466",1750466.0,"1,750,466"
2.62,"30,414,122",30414122.0,"30,414,122"
6.68,"3,924,472",3924472.0,"3,924,472"
2.99,"4,253,110",4253110.0,"4,253,110"
1.84,"4,068,621",4068621.0,"4,068,621"
"3,584,553","2,127,532",2127532.0,"2,127,532"
"7,004,555","1,662,487",1662487.0,"1,662,487"
11.8,"5,738,336",5738336.0,"5,738,336"
15.42,"57,375,000",57375000.0,"57,375,000"
3.51,"11,860,100",11860100.0,"11,860,100"
2.12,"15,646,588",15646588.0,"15,646,588"
4.38,"63,879,414",63879414.0,"63,879,414"
3.46,"19,427,000",19427000.0,"19,427,000"
22.76,"197,260,279",197260279.0,"197,260,279"
3.51,"4,105,262",4105262.0,"4,105,262"
"210,563,743","20,201,424",20201424.0,"20,201,424"
"5,820,402","7,319,870",7319870.0,"7,319,870"
"6,729,216","2,160,094",2160094.0,"2,160,094"
4.4,"6,560,962",6560962.0,"6,560,962"
39.9,"4,146,403",4146403.0,"4,146,403"
6.72,"15,874,245",15874245.0,"15,874,245"
5.37,"2,501,902",2501902.0,"2,501,902"
6.13,"7,645,003",7645003.0,"7,645,003"
1.16,"4,534,588",4534588.0,"4,534,588"
19.12,"2,565,735",2565735.0,"2,565,735"
1.57,"2,417,902",2417902.0,"2,417,902"
3.19,"2,993,310",2993310.0,"2,993,310"
4.49,"14,942,262",14942262.0,"14,942,262"
"56,018,731","4,799,358",4799358.0,"4,799,358"
"4,176,440","4,875,622",4875622.0,"4,875,622"
"5,327,671","1,851,000",1851000.0,"1,851,000"
14.0,"24,580,709",24580709.0,"24,580,709"
7.06,"2,637,501",2637501.0,"2,637,501"
1.09,"111,538,883",111538883.0,"111,538,883"
10.35,"6,788,660",6788660.0,"6,788,660"
56.10,"352,879,165",352879165.0,"352,879,165"
10.66,"18,766,625",18766625.0,"18,766,625"
1.73,"2,004,501",2004501.0,"2,004,501"
1.86,"6,515,510",6515510.0,"6,515,510"
"4,452,513","9,551,790",9551790.0,"9,551,790"
"5,926,970","2,336,243",2336243.0,"2,336,243"
