01-DDD-absolute_growth_rate_pct
"19,152.82"
"16,541.73"
"13,133.13"
"11,928.05"
"11,441.27"
"8,624.23"
"7,396.77"
"6,635.11"
"6,480.53"
"6,287.13"
"5,957.94"
"5,790.52"
"5,713.76"
"5,242.60"
"4,682.15"
"4,649.68"
"4,377.53"
"4,303.97"
"4,165.75"
"4,118.60"
"4,104.02"
"4,029.49"
"3,943.64"
"3,801.56"
"3,726.04"
"3,356.60"
"2,967.63"
"2,957.41"
"2,950.29"
"2,899.26"
"2,859.83"
"2,828.22"
"2,752.08"
"2,744.13"
"2,660.84"
"2,646.07"
"2,589.10"
"2,572.52"
"2,480.16"
"2,438.64"
"2,424.14"
"2,416.78"
"2,314.21"
"2,256.98"
"2,182.00"
"2,164.85"
"2,131.19"
"2,130.67"
"2,090.34"
"2,087.98"
"2,082.38"
"1,979.82"
"1,966.73"
"1,928.53"
"1,909.48"
"1,892.58"
"1,889.07"
"1,865.84"
"1,803.65"
"1,782.11"
"1,729.53"
"1,702.70"
"1,690.63"
"1,666.64"
"1,664.65"
"1,659.07"
"1,644.00"
"1,637.55"
"1,624.69"
"1,613.70"
"1,604.74"
"1,598.31"
"1,586.90"
"1,579.82"
"1,561.33"
"1,546.97"
"1,494.85"
"1,459.11"
"1,453.83"
"1,420.90"
"1,389.24"
"1,368.58"
"1,367.04"
"1,328.57"
"1,306.55"
"1,304.85"
"1,298.53"
"1,283.67"
"1,269.90"
"1,268.04"
"1,264.72"
"1,262.58"
"1,257.04"
"1,254.32"
"1,251.43"
"1,249.94"
"1,242.47"
"1,241.42"
"1,234.31"
"1,225.70"
"1,216.25"
"1,214.76"
"1,211.43"
"1,198.37"
"1,179.02"
"1,163.47"
"1,156.25"
"1,151.36"
"1,150.62"
"1,148.16"
"1,137.06"
"1,135.70"
"1,133.10"
"1,132.04"
"1,131.09"
"1,121.82"
"1,111.76"
"1,110.84"
"1,103.81"
"1,097.84"
"1,087.64"
"1,075.04"
"1,073.57"
"1,072.49"
"1,068.59"
"1,065.09"
"1,061.67"
"1,057.21"
"1,049.47"
"1,041.38"
"1,033.39"
"1,019.79"
"1,005.08"
"1,003.16"
991.29
988.35
975.16
969.96
968.54
964.02
954.24
949.32
941.48
938.81
937.64
935.17
927.28
927.15
921.07
914.74
909.37
908.11
904.15
897.81
888.84
886.94
884.55
882.56
880.00
867.03
866.15
866.06
847.68
842.47
842.21
834.19
825.58
824.45
823.89
812.34
811.16
808.60
797.40
792.08
790.71
789.96
787.93
786.15
785.05
784.47
783.80
780.26
765.91
764.38
763.88
761.93
758.51
753.42
750.00
744.97
744.07
739.66
736.20
731.33
731.00
727.39
722.29
721.49
718.65
717.46
713.62
710.72
710.04
708.86
708.18
708.03
707.67
707.63
698.59
698.46
696.48
695.08
693.19
693.15
693.05
687.67
683.39
682.63
681.63
680.23
679.70
678.11
675.86
675.34
673.74
673.44
665.31
662.76
661.92
660.16
656.17
655.91
655.01
651.57
651.07
650.65
645.92
641.45
640.72
639.39
635.85
635.77
634.70
633.03
631.54
629.15
628.49
627.38
626.96
625.88
624.36
623.62
612.55
611.08
608.12
608.11
607.97
605.35
604.94
601.43
601.37
598.10
590.77
586.95
586.89
581.48
580.10
579.81
579.56
578.64
576.76
575.79
573.05
569.09
566.63
566.22
564.06
563.94
561.59
556.12
555.65
555.52
554.25
552.07
551.35
550.00
548.14
548.05
546.65
546.03
539.22
538.99
538.61
529.56
527.70
527.48
526.03
525.30
524.73
523.93
520.62
517.38
517.01
515.99
515.51
514.46
513.48
513.18
509.86
507.97
505.07
502.79
502.19
499.55
498.36
493.89
491.72
488.50
488.24
487.83
487.47
486.88
486.24
486.08
485.69
483.67
482.78
481.07
479.95
479.40
478.83
478.65
474.45
474.38
473.16
471.65
471.60
470.40
470.21
469.76
469.71
468.80
468.18
467.98
465.92
465.78
462.56
461.12
460.83
459.21
458.13
456.25
455.45
452.48
452.20
450.85
449.16
447.76
446.74
444.42
443.14
442.64
441.64
439.61
439.22
438.38
435.19
433.20
432.02
431.82
430.92
427.38
427.36
425.60
425.57
421.70
420.34
420.23
420.04
418.96
418.47
417.12
416.23
415.23
411.71
411.64
411.37
406.66
404.97
404.13
403.10
402.58
402.13
400.90
399.83
399.44
398.90
398.70
398.69
398.15
396.92
396.52
394.55
394.51
393.21
390.55
390.53
389.87
389.78
389.56
388.82
385.68
385.16
383.45
381.19
380.80
380.13
378.99
375.90
375.47
375.30
373.76
373.42
373.09
372.95
371.54
369.96
368.02
367.32
367.12
366.38
365.87
365.14
364.94
364.90
362.48
362.41
361.78
361.24
361.17
361.12
360.01
359.98
359.62
359.61
358.59
358.37
357.44
356.25
356.21
355.67
355.58
355.45
353.69
351.01
350.96
350.83
350.12
347.56
347.12
344.41
343.11
342.81
342.52
340.45
339.50
339.50
338.88
338.29
337.44
337.37
337.22
336.69
333.49
331.97
331.77
331.20
331.08
329.74
329.62
329.00
328.98
328.62
328.53
327.77
326.52
326.09
325.82
325.61
325.42
325.19
324.99
324.26
322.41
322.06
320.92
319.89
319.07
318.77
318.30
318.01
317.99
317.84
317.63
316.08
315.16
314.56
313.98
312.82
309.97
309.05
308.66
308.41
308.37
307.62
306.70
306.29
306.22
305.80
305.66
304.87
304.26
303.81
303.44
303.38
302.65
302.41
301.53
301.43
301.40
300.97
297.51
297.47
297.46
297.29
297.08
297.06
296.93
296.71
295.97
295.97
293.41
291.25
290.92
290.88
288.59
288.44
288.19
