01-DDD-absolute_growth_rate_pct
"19,152.82"
287.56
287.38
287.21
286.81
285.39
284.74
284.49
284.10
284.03
283.29
283.21
283.01
282.71
282.63
281.74
281.19
280.58
280.36
279.04
278.58
275.94
275.83
274.90
274.52
274.15
273.47
273.12
273.03
272.54
272.18
272.13
271.97
271.81
271.64
270.79
270.68
270.39
268.98
268.92
268.20
268.16
268.08
268.05
267.75
267.32
266.84
265.81
264.32
263.37
263.34
262.60
261.42
260.90
260.22
260.17
259.83
259.66
259.32
259.15
258.92
258.88
258.30
258.05
257.60
257.42
257.35
257.32
256.90
255.81
255.07
254.93
254.41
254.20
254.09
253.87
253.68
253.68
253.65
253.55
253.35
253.11
251.91
251.66
251.57
251.56
251.48
250.06
249.64
249.58
248.98
248.88
248.43
247.28
247.20
247.05
246.88
246.63
245.48
245.45
245.44
244.64
243.94
243.36
243.07
242.59
242.58
242.17
241.26
241.26
241.12
240.39
240.33
240.06
239.23
239.19
238.38
237.95
237.58
237.43
236.58
236.55
236.46
235.69
235.05
234.97
234.87
234.84
234.74
234.07
234.00
233.96
233.95
233.87
233.75
233.68
233.32
233.23
233.18
232.57
231.75
231.73
231.45
231.36
231.14
231.05
231.00
230.75
230.22
230.16
230.03
229.61
229.36
229.03
228.55
228.30
228.26
227.87
226.81
226.39
226.35
226.05
225.69
225.10
225.06
224.82
224.27
223.91
223.16
223.08
222.96
222.78
222.59
222.24
221.85
221.77
221.73
221.69
221.08
220.83
220.60
220.27
219.98
219.37
219.33
218.82
218.78
218.69
218.67
218.66
217.27
217.21
217.08
216.91
216.15
216.03
215.54
215.48
215.40
215.35
215.26
215.24
215.10
214.45
213.62
213.53
213.26
213.00
212.89
212.86
212.60
212.59
212.23
212.06
211.97
211.33
210.73
210.64
209.88
209.36
209.01
208.73
208.55
208.24
208.20
207.77
207.54
206.87
206.86
206.37
206.10
205.70
205.51
205.44
204.74
203.53
202.87
202.35
202.23
201.99
201.67
201.37
201.07
200.64
200.58
200.43
200.06
199.77
199.75
199.43
199.36
199.23
198.91
198.41
198.30
198.07
198.06
197.11
196.84
195.91
195.21
194.81
194.68
194.60
194.37
193.76
193.45
193.40
192.95
192.85
192.84
192.62
192.57
192.31
190.97
190.48
190.28
190.17
190.02
189.88
189.78
189.70
188.94
188.54
188.49
188.42
188.32
188.19
187.81
187.45
187.14
186.89
186.79
186.71
186.54
186.27
185.36
185.24
184.26
184.14
183.54
183.23
183.17
182.86
182.41
182.41
182.39
182.36
182.02
181.97
181.29
181.27
180.95
180.89
180.88
180.66
180.55
180.41
180.39
180.22
179.79
179.35
179.23
179.21
178.97
178.52
178.13
178.05
177.33
177.06
176.94
176.53
176.29
175.75
175.70
175.61
175.59
175.27
175.07
175.00
174.98
174.64
174.60
174.56
174.26
174.00
173.97
173.95
173.47
173.33
173.12
172.99
172.45
172.17
172.09
172.02
172.00
171.87
171.71
171.14
170.86
170.85
170.83
170.63
170.62
170.53
170.52
170.39
169.82
169.30
168.86
168.79
168.70
168.68
168.54
168.48
168.03
168.01
167.88
167.73
167.60
167.55
167.54
167.28
167.07
166.79
166.67
166.56
166.38
166.18
166.16
166.08
165.71
165.43
165.35
165.29
164.93
164.83
164.78
164.77
164.38
163.97
163.93
163.42
163.42
163.27
162.65
162.51
162.50
162.17
161.84
161.81
161.72
161.63
161.58
161.54
161.45
161.37
161.21
161.11
160.94
160.04
159.98
159.92
159.81
159.49
159.42
159.33
158.84
158.58
158.40
158.39
157.99
157.87
157.82
157.62
157.55
157.40
157.07
156.87
156.44
156.27
155.74
155.48
155.39
155.23
155.02
154.94
154.86
154.82
154.81
154.80
154.60
