08-slytherin-founded,01-DDD-founding_year,03-gren-founding_year,07-silvestri-founding_year
2015,2015.0,2015.0,2015.0
2015,2011.0,2011.0,2011.0
2014,2010.0,2010.0,2010.0
2016,2013.0,2013.0,2013.0
2014,2014.0,2014.0,2014.0
2012,2012.0,2012.0,2012.0
2015,2010.0,2010.0,2010.0
2014,2015.0,2015.0,2015.0
2017,2009.0,2009.0,2009.0
2014,2015.0,2015.0,2015.0
2012,2014.0,2014.0,2014.0
2015,2012.0,2012.0,2012.0
2012,2016.0,2016.0,2016.0
2015,2012.0,2012.0,2012.0
2013,2014.0,2014.0,2014.0
2013,2010.0,2010.0,2010.0
2014,2016.0,2016.0,2016.0
2013,2008.0,2008.0,2008.0
2005,2012.0,2012.0,2012.0
2013,2013.0,2013.0,2013.0
2015,2015.0,2015.0,2015.0
2015,2016.0,2016.0,2016.0
2014,2004.0,2004.0,2004.0
2011,2013.0,2013.0,2013.0
2016,2010.0,2010.0,2010.0
2017,2012.0,2012.0,2012.0
2010,2013.0,2013.0,2013.0
2013,2015.0,2015.0,2015.0
2012,2016.0,2016.0,2016.0
2013,2014.0,2014.0,2014.0
2016,2014.0,2014.0,2014.0
1989,2015.0,2015.0,2015.0
2009,2016.0,2016.0,2016.0
2015,2016.0,2016.0,2016.0
2013,2014.0,2014.0,2014.0
2011,2007.0,2007.0,2007.0
2017,2013.0,2013.0,2013.0
2014,2013.0,2013.0,2013.0
2013,2015.0,2015.0,2015.0
2012,2009.0,2009.0,2009.0
2014,2016.0,2016.0,2016.0
2009,2016.0,2016.0,2016.0
1949,2010.0,2010.0,2010.0
2015,2016.0,2016.0,2016.0
2015,2016.0,2016.0,2016.0
2012,2017.0,2017.0,2017.0
2012,2002.0,2002.0,2002.0
2017,2016.0,2016.0,2016.0
2015,2017.0,2017.0,2017.0
2004,2017.0,2017.0,2017.0
2014,2012.0,2012.0,2012.0
2013,2016.0,2016.0,2016.0
2013,2002.0,2002.0,2002.0
2008,2016.0,2016.0,2016.0
2012,2013.0,2013.0,2013.0
2008,2011.0,2011.0,2011.0
2015,2013.0,2013.0,2013.0
2010,2011.0,2011.0,2011.0
2016,2011.0,2011.0,2011.0
2013,2000.0,2000.0,2000.0
2013,2015.0,2015.0,2015.0
2016,2013.0,2013.0,2013.0
2014,2011.0,2011.0,2011.0
1992,2014.0,2014.0,2014.0
2014,2013.0,2013.0,2013.0
2014,2014.0,2014.0,2014.0
2013,2007.0,2007.0,2007.0
2014,2001.0,2001.0,2001.0
1985,2015.0,2015.0,2015.0
2003,1986.0,1986.0,1986.0
2013,2006.0,2006.0,2006.0
2016,2012.0,2012.0,2012.0
2016,2006.0,2006.0,2006.0
2015,2015.0,2015.0,2015.0
2013,2009.0,2009.0,2009.0
2013,2009.0,2009.0,2009.0
2013,2011.0,2011.0,2011.0
2014,2017.0,2017.0,2017.0
2015,2011.0,2011.0,2011.0
2011,1984.0,1984.0,1984.0
1896,1994.0,1994.0,1994.0
2002,2015.0,2015.0,2015.0
2004,2014.0,2014.0,2014.0
2016,2015.0,2015.0,2015.0
2010,2006.0,2006.0,2006.0
2014,2013.0,2013.0,2013.0
2014,2011.0,2011.0,2011.0
2015,2014.0,2014.0,2014.0
2016,2008.0,2008.0,2008.0
2016,2016.0,2016.0,2016.0
2014,2002.0,2002.0,2002.0
2013,2015.0,2015.0,2015.0
2001,2016.0,2016.0,2016.0
2009,1993.0,1993.0,1993.0
2001,2015.0,2015.0,2015.0
2007,2013.0,2013.0,2013.0
2013,2010.0,2010.0,2010.0
2010,2012.0,2012.0,2012.0
2014,2009.0,2009.0,2009.0
2016,2011.0,2011.0,2011.0
2014,2014.0,2014.0,2014.0
2013,2012.0,2012.0,2012.0
2016,2017.0,2017.0,2017.0
2014,2013.0,2013.0,2013.0
2016,2013.0,2013.0,2013.0
2002,2015.0,2015.0,2015.0
2013,2014.0,2014.0,2014.0
2016,2014.0,2014.0,2014.0
2001,2008.0,2008.0,2008.0
2015,2012.0,2012.0,2012.0
2013,2010.0,2010.0,2010.0
2012,2010.0,2010.0,2010.0
2009,1998.0,1998.0,1998.0
2014,1979.0,1979.0,1979.0
2015,2016.0,2016.0,2016.0
2011,2016.0,2016.0,2016.0
2013,1952.0,1952.0,1952.0
2004,2008.0,2008.0,2008.0
2017,2016.0,2016.0,2016.0
2016,2015.0,2015.0,2015.0
2007,2016.0,2016.0,2016.0
2013,2012.0,2012.0,2012.0
2013,2014.0,2014.0,2014.0
2010,2017.0,2017.0,2017.0
2015,2009.0,2009.0,2009.0
2012,2014.0,2014.0,2014.0
2015,2001.0,2001.0,2001.0
2001,2010.0,2010.0,2010.0
2007,2002.0,2002.0,2002.0
2000,1999.0,1999.0,1999.0
2013,2008.0,2008.0,2008.0
2015,2009.0,2009.0,2009.0
2017,2011.0,2011.0,2011.0
2014,2006.0,2006.0,2006.0
2009,2012.0,2012.0,2012.0
2013,2008.0,2008.0,2008.0
2014,2014.0,2014.0,2014.0
2007,2010.0,2010.0,2010.0
2014,2017.0,2017.0,2017.0
2015,2013.0,2013.0,2013.0
2015,2013.0,2013.0,2013.0
2010,2014.0,2014.0,2014.0
2008,2013.0,2013.0,2013.0
2017,2009.0,2009.0,2009.0
2013,2011.0,2011.0,2011.0
2015,2015.0,2015.0,2015.0
2012,2012.0,2012.0,2012.0
2014,2005.0,2005.0,2005.0
2010,2016.0,2016.0,2016.0
2011,2015.0,2015.0,2015.0
2015,2010.0,2010.0,2010.0
2015,2012.0,2012.0,2012.0
2011,2014.0,2014.0,2014.0
2012,2011.0,2011.0,2011.0
2012,2015.0,2015.0,2015.0
2010,2010.0,2010.0,2010.0
2008,2014.0,2014.0,2014.0
2014,2014.0,2014.0,2014.0
2014,2016.0,2016.0,2016.0
2013,2004.0,2004.0,2004.0
2017,2012.0,2012.0,2012.0
2009,2013.0,2013.0,2013.0
2016,2000.0,2000.0,2000.0
2017,2016.0,2016.0,2016.0
2016,2016.0,2016.0,2016.0
2014,2016.0,2016.0,2016.0
2013,2010.0,2010.0,2010.0
2017,2011.0,2011.0,2011.0
2012,2015.0,2015.0,2015.0
2005,2012.0,2012.0,2012.0
2004,2006.0,2006.0,2006.0
2007,2015.0,2015.0,2015.0
2009,2011.0,2011.0,2011.0
2016,2011.0,2011.0,2011.0
2016,2013.0,2013.0,2013.0
2015,2013.0,2013.0,2013.0
2014,2012.0,2012.0,2012.0
2015,2013.0,2013.0,2013.0
2016,2011.0,2011.0,2011.0
2006,2013.0,2013.0,2013.0
2011,2015.0,2015.0,2015.0
2015,2010.0,2010.0,2010.0
2014,2016.0,2016.0,2016.0
1991,2014.0,2014.0,2014.0
2014,2014.0,2014.0,2014.0
2015,2013.0,2013.0,2013.0
2004,2016.0,2016.0,2016.0
2012,2012.0,2012.0,2012.0
2009,2016.0,2016.0,2016.0
1990,2012.0,2012.0,2012.0
2014,2008.0,2008.0,2008.0
2005,2015.0,2015.0,2015.0
2000,2012.0,2012.0,2012.0
2010,2013.0,2013.0,2013.0
2015,2008.0,2008.0,2008.0
2016,2007.0,2007.0,2007.0
2013,2012.0,2012.0,2012.0
2014,2008.0,2008.0,2008.0
2013,2017.0,2017.0,2017.0
2015,2014.0,2014.0,2014.0
2016,2013.0,2013.0,2013.0
2008,2013.0,2013.0,2013.0
2013,2013.0,2013.0,2013.0
2016,2010.0,2010.0,2010.0
2017,2013.0,2013.0,2013.0
2016,2007.0,2007.0,2007.0
2012,2017.0,2017.0,2017.0
2014,2007.0,2007.0,2007.0
2015,1997.0,1997.0,1997.0
2010,2010.0,2010.0,2010.0
2017,2014.0,2014.0,2014.0
2016,2014.0,2014.0,2014.0
2013,2013.0,2013.0,2013.0
