02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters,10-DeBiGa-headquarters
ellös,kortrijk,london,"['fort lee, new jersey']"
stockholm,brussels,london,"['united states', '(also owned studios and cinema chains throughout the uk, israel and europe)']"
gothenburg,wielsbeke,buckinghamshire,"['the bronx', 'new york city', 'new york']"
köping,brussels,ch??-ku,"['hollywood, california', 'united states']"
hestra,kortrijk,ch??-ku,"['century city, los angeles, california', 'united states']"
stockholm,leuven,ch??-ku,['united states']
halmstad,brussels,shibuya,"['new york city', 'new york', 'united states']"
höganäs,brussels,capital one tower,"['santa monica, california', 'santa monica, california']"
stockholm,brussels,minnetonka,"['santa monica', 'california', 'u.s.']"
mattighofen,brussels,sandweiler,"['philadelphia, pennsylvania', 'united states']"
stockholm,seraing,piarco,"['studio city', 'california']"
hudiksvall,louvain-la-neuve,copenhagen,['500 south buena vista street']
uppsala,turnhout,copenhagen,['letterman digital arts center']
stockholm,eeklo,"irving, texas","['medford, oregon', 'united states']"
linköping,zedelgem,toronto,"['beverly hills, california']"
malmö,brussels,hyderabad,"['melbourne', 'australia']"
uppsala,halle,santiago,"['los angeles, california']"
solna,antwerp,santiago,"['los angeles, california']"
stockholm,antwerp,beijing,['4000 warner blvd']
stockholm,brussels,beijing,"['los angeles, california']"
gothenburg,mechelen,london,"['bayonne, new jersey', 'hollywood, california']"
stockholm,hooglede,"fort lauderdale, florida","['london', 'united kingdom', 'los angeles', 'united states']"
stockholm,brussels,"san ramon, california","['edendale, california']"
malmö,zwijndrecht,"san ramon, california","['culver city, california', 'united states']"
stockholm,brussels,china resources headquarters,"['los angeles, california']"
stockholm,ghent,china resources headquarters,"['albany, georgia']"
stockholm,malle,shekou,['10202 west washington boulevard']
stockholm,brussels,shekou,"['chicago', 'los angeles']"
malung,malle,388390 greenwich st.,['century city']
jonsered,seraing,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)","['10202 west washington boulevard', 'culver city', 'california', 'u.s.']"
stockholm,liège,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)",['new york city']
stockholm,antwerp,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)",[]
malmö,brussels,"shenzhen, china (general office) cayman islands (registered office) hong kong (second office)","['los angeles', 'california', 'united states']"
ängelholm,wavre,park avenue,"['santa monica, california']"
stockholm,brussels,park avenue,"['new york, new york']"
kopparberg,brussels,park avenue,"['10202 west washington boulevard', 'culver city', 'california', 'u.s.']"
kosta,turnhout,park avenue,"['santa monica', 'california']"
halmstad,brussels,panama city,"['los angeles, california']"
järna,sint-niklaas,panama city,"['universal city, california']"
stockholm,leuven,panama city,"['beverly hills, california', 'west hollywood, california']"
stockholm,liège,panama city,['pico boulevard']
stockholm,ghent,panama city,"['minneapolis', 'united states']"
stockholm,aalst,"broomfield, colorado","['atlanta, georgia']"
stockholm,beerse,paradeplatz,['hudson street']
gothenburg,roeselare,cummins corporate office building,"['los angeles', 'california', 'united states']"
stockholm,antwerp,london,"['century city', 'los angeles', 'california', 'u.s.']"
luleå,brussels,hyderabad,[]
stockholm,brussels,"dallas, texas","['1384 broadway', 'new york', 'ny']"
stockholm,ghent,"dallas, texas","['burbank, california', 'united states']"
motala,ghent,"dallas, texas",['500 south buena vista street']
uppsala,meulebeke,kita-ku,['united states']
västerås,charleroi,kita-ku,"['los angeles', 'california', 'united states']"
stockholm,leuven,lagos,['4000 warner blvd.']
malmö,leuven,lagos,['500 south buena vista street']
gothenburg,beerse,boulevard haussmann,['walt disney studios']
solna,ostend,boulevard haussmann,[]
täby,brussels,boulevard haussmann,"['culver city, california']"
stockholm,brussels,villeneuve d'ascq,"['new york city', 'new york']"
stockholm,gerpinnes,villeneuve d'ascq,['10 universal city plaza']
gothenburg,balen,villeneuve d'ascq,"['santa monica, california', 'united states']"
vansbro,leuven,london,['utah']
uppsala,turnhout,"atlanta, georgia","['new york city', 'united states', 'toronto', 'canada']"
henån,brussels,deutsche bank twin towers,[]
kista,brussels,london,"['universal city, california']"
stockholm,liège,london,"['studio city, los angeles', 'california']"
solna,duffel,london,"['hollywood, california']"
gothenburg,brussels,"midland, michigan",['avenue of the americas']
stockholm,paal,"burnaby, british columbia",['austin studios']
stockholm,péruwelz,"burnaby, british columbia",['poverty row']
stockholm,leuven,"burnaby, british columbia","['scottsdale, arizona']"
stockholm,oostrozebeke,"ann arbor township, michigan","['los angeles, california']"
trollhättan,brussels,frisco,[]
stockholm,brussels,"wilmington, delaware","['los angeles', 'california', 'los angeles, california', 'u.s.']"
stockholm,brussels,"wilmington, delaware","['new york city, new york']"
stockholm,turnhout,st james power station,"['los angeles', 'california']"
gothenburg,tienen,san jose,"['new york city', 'new york', 'united states']"
torshälla,mechelen,san jose,['california']
stockholm,brussels,san jose,"['beverly hills, california', 'united states']"
stockholm,waregem,"ferguson, missouri","['edendale, los angeles']"
stockholm,zaventem,"ferguson, missouri","['albany, georgia']"
upplands väsby,mechelen,"ferguson, missouri","['irving, texas', 'irving, texas']"
upplands väsby,leuven,kista,"['santa monica boulevard', 'los angeles', 'studio city, los angeles, california']"
uppsala,brussels,general motors building,"['burbank', 'california', 'united states']"
stockholm,antwerp,general motors building,['united states']
orrefors,zaventem,luzhu,"['new york', 'new york']"
oskarshamn,brussels,luzhu,['500 south buena vista street']
stockholm,brussels,new york city,"['charlottesville', 'united states of america']"
malmö,brussels,new york city,"[', ', ', u.s.', ', u.s. (parent company)']"
stockholm,brussels,new york city,"['springdale, arkansas']"
förslöv,brussels,london,"['chatsworth, los angeles', 'california']"
stockholm,turnhout,london,[]
uppsala,koningshooikt,london,[]
stockholm,antwerp,london,"['sonoma county, california']"
älvsbyn,brussels,bangkok,[]
solna,gavere,"memphis, tennessee","['universal city, california', 'united states']"
solna,brussels,"memphis, tennessee","['miami', 'florida']"
stockholm,antwerp,"memphis, tennessee","['beverly hills, california', 'costa mesa, california']"
gothenburg,ghent,"memphis, tennessee",['united states']
stockholm,liège,"jacksonville, florida","['los angeles, california']"
stockholm,brussels,boston,"['beverly hills, california']"
stockholm,sofia,boston,"['nashville, tennessee']"
helsingborg,sofia,boston,['united states']
haninge,sofia,richardson,[]
gothenburg,kazanlak,richardson,"['new york city', 'new york']"
