02-GioPonSpiz-sector,05-MalPatSaj-sector
diversified industrials,commercial vehicles & trucks
conventional electricity,commercial vehicles & trucks
forestry,business support services
commercial vehicles & trucks,mobile telecommunications
commercial vehicles & trucks,exploration & production
investment services,travel & tourism
auto parts,tobacco
commercial vehicles & trucks,food products
durable household products,broadcasting & entertainment
marine transportation,food products
food products,marine transportation
restaurants & bars,distillers & vintners
clothing & accessories,pharmaceuticals
broadcasting & entertainment,marine transportation
software,mobile telecommunications
broadcasting & entertainment,commercial vehicles & trucks
software,food products
-,brewers
-,soft drinks
heavy construction,airlines
iron & steel,broadcasting & entertainment
heavy construction,full line insurance
specialty retailers,broadcasting & entertainment
software,banks
pharmaceuticals,broadcasting & entertainment
software,railroads
shipbuilding,software
broadcasting & entertainment,commercial vehicles & trucks
durable household products,electrical components & equipment
banks,broadcasting & entertainment
banks,electronic equipment
banks,diversified industrials
banks,diversified industrials
banks,mobile telecommunications
banks,airlines
textiles,food products
banks,soft drinks
broadcasting & entertainment,software
travel & tourism,publishing
food & beverage,broadcasting & entertainment
aerospace,business support services
food products,conventional electricity
auto parts,delivery services
heavy construction,banks
exploration & production,transportation services
oil & gas distribution,fixed line telecommunications
aerospace,defense
commercial vehicles & trucks,software
heavy construction,exploration & production
delivery services,software
apparel retailers,heavy construction
automobiles,heavy construction
biotechnology,internet
food products,broadcasting & entertainment
food retailers & wholesalers,pipelines
food products,marine transportation
automobiles,soft drinks
food retailers & wholesalers,broadcasting & entertainment
oil & gas distribution,brewers
conventional electricity,food products
food retailers & wholesalers,food products
fixed line telecommunications,electronic equipment
durable household products,heavy construction
heavy construction,food retailers & wholesalers
clothing & accessories,commercial vehicles & trucks
-,food products
heavy construction,food products
renewable energy equipment,transportation services
oil & gas distribution,publishing
-,broadcasting & entertainment
telecommunications equipment,broadline retailers
water,internet
auto parts,commodity chemicals
food products,brewers
oil & gas distribution,gas distribution
furnishings,pharmaceuticals
building materials & fixtures,transportation services
brewers,food products
food retailers & wholesalers,banks
conventional electricity,banks
airlines,automobiles
food products,electronic equipment
apparel retailers,publishing
aerospace,durable household products
real estate holding & development,banks
commercial vehicles & trucks,broadcasting & entertainment
clothing & accessories,business support services
apparel retailers,mobile telecommunications
banks,nondurable household products
food retailers & wholesalers,airlines
food products,commercial vehicles & trucks
recreational products,commercial vehicles & trucks
food products,publishing
brewers,transportation services
clothing & accessories,commercial vehicles & trucks
apparel retailers,food products
full line insurance,food products
software,broadcasting & entertainment
broadcasting & entertainment,financial services
hotels,banks
food retailers & wholesalers,brewers
-,transportation services
full line insurance,sports
recreational products,sports
-,sports
shipbuilding,business support services
hotels,sports
shipbuilding,sports
heavy construction,sports
recreational products,sports
travel & tourism,sports
food products,publishing
publishing,computer hardware
building materials & fixtures,marine transportation
broadcasting & entertainment,banks
broadcasting & entertainment,travel & tourism
business support services,banks
software,travel & leisure
conventional electricity,broadcasting
travel & tourism,air traffic management
integrated oil & gas,education
broadcasting & entertainment,education
hotels,banks
heavy construction,education
automobiles,research
automobiles,fixed line telecom
heavy construction,publishing
aerospace,general mining
commercial vehicles & trucks,research
oil equipment & services,media
fixed line telecommunications,ship traffic management
restaurants & bars,delivery services
internet,general retailers
building materials & fixtures,investment services
food products,education
consumer electronics,publishing
mobile telecommunications,fixed line telecom
airlines,sports
apparel retailers,conventional electricity
broadcasting & entertainment,legal
software,electricity
airlines,electricity
automobiles,education
automobiles,publishing
footwear,education
software,heavy construction
fixed line telecommunications,full line insurance
broadline retailers,banks
recreational products,real estate development
automobiles,investment services
durable household products,soft drinks
diversified industrials,travel & leisure
-,brewers
pharmaceuticals,real estate development
industrial machinery,heavy construction
transportation services,pharmaceuticals
food retailers & wholesalers,food retailers & wholesalers
mobile telecommunications,publishing
specialty retailers,education
transportation services,media
delivery services,media
railroads,education
construction & materials,sports
airlines,health
automobiles,travel & leisure
software,exploration & production
software,investment services
airlines,industrial transportation
defense,fixed line telecom
heavy construction,banks
electronic equipment,industrial metals & mining
computer services,broadcasting & entertainment
durable household products,fixed line telecom
banks,health
investment services,research
real estate management & development,research
electrical components & equipment,research
banks,hospitality
tires,travel & leisure
iron & steel,life insurance
mobile telecommunications,education
investment services,education
banks,software
brewers,broadline retailers
airlines,software
fixed line telecommunications,aerospace
aluminum,food retailers & wholesalers
broadcasting & entertainment,electronic equipment
delivery services,software
banks,broadcasting & entertainment
conventional electricity,brewers
exploration & production,brewers
exploration & production,delivery services
software,banks
banks,defense
mobile telecommunications,railroads
brewers,fixed line telecommunications
pipelines,banks
iron & steel,fixed line telecommunications
commercial vehicles & trucks,recreational services
railroads,commercial vehicles & trucks
brewers,mobile telecommunications
publishing,airlines
food retailers & wholesalers,banks
pharmaceuticals,farming & fishing
durable household products,broadcasting & entertainment
durable household products,consumer electronics
automobiles,distillers & vintners
banks,aerospace
banks,recreational products
airlines,toys
banks,apparel retailers
railroads,soft drinks
hotels,banks
retail services,railroads
food products,commercial vehicles & trucks
personal products,publishing
automobiles,electronic equipment
software,heavy construction
railroads,furnishings
media agencies,telecommunications
clothing & accessories,coal
commercial vehicles & trucks,recreational products
food retailers & wholesalers,brewers
travel & tourism,furnishings
specialty retailers,consumer electronics
food products,software
mobile telecommunications,brewers
integrated oil & gas,furnishings
exploration & production,commercial vehicles & trucks
delivery services,diversified industrials
banks,mobile telecommunications
fixed line telecommunications,travel & tourism
media agencies,broadcasting & entertainment
travel & tourism,commercial vehicles & trucks
commercial vehicles & trucks,fixed line telecommunications
exploration & production,automobiles
industrial suppliers,iron & steel
fixed line telecommunications,banks
software,specialty chemicals
software,mobile telecommunications
software,industrial machinery
airlines,commercial vehicles & trucks
consumer electronics,banks
fixed line telecommunications & mobile telecommunications,business support services
pharmaceuticals,pharmaceuticals
-,publishing
railroads,full line insurance
internet,medical equipment
software,business support services
fixed line telecommunications,food products
brewers,hotels
-,consumer electronics
mobile telecommunications,clothing & accessories
pharmaceuticals,business support services
paper,specialty retailers
industrial suppliers,containers & packaging
banks,business support services
pharmaceuticals,brewers
banks,building materials & fixtures
travel & tourism,food products
brewers,business support services
semiconductors,medical equipment
port wine,food retailers & wholesalers
software,transportation services
building materials & fixtures,food products
clothing & accessories,software
publishing,business support services
travel & tourism,food products
food products,marine transportation
food retailers & wholesalers,marine transportation
industrial suppliers,industrial machinery
software,biotechnology
delivery services,industrial machinery
food products,food products
