02-GioPonSpiz-sector,05-MalPatSaj-sector
automobiles,tobacco
automobiles,industrial suppliers
clothing & accessories,food retailers & wholesalers
recreational products,defense
building materials & fixtures,industrial suppliers
clothing & accessories,luggage
distillers & vintners,food products
recreational products,-
clothing & accessories,electronic equipment
automobiles,recreational products
beverages,drug retailers
clothing & accessories,industrial machinery
food retailers & wholesalers,automobiles
banks,electricity
business support services,consumer electronics
pharmaceuticals,iron & steel
airlines,software
recreational products,billboard
property & casualty insurance,aerospace
auto parts,industrial suppliers
automobiles,recreational products
clothing & accessories,pharmaceuticals
clothing & accessories,commercial vehicles & trucks
consumer electronics,speciality chemicals
marine transportation,nondurable household products
auto parts,food retailers & wholesalers
automobiles,medical equipment
footwear,personal products
automobiles,medical equipment
automobiles,consumer electronics
clothing & accessories,consumer electronics
recreational products,general industrials
automobiles,chemicals
automobiles,-
automobiles,defense
automobiles,software
food products,industrial machinery
automobiles,automobiles
automobiles,software
furnishings,industrial machinery
airlines,recreational products
commercial vehicles & trucks,industrial suppliers
auto parts,nondurable household products
clothing & accessories,recreational products
recreational products,forestry
commercial rail vehicles,food products
banks,"flavours, gustatory and cosmetic substances"
automobiles,full line insurance
commercial vehicles & trucks,broadline retailers
software,consumer electronics
consumer electronics,broadline retailers
nondurable household products,general industrials
auto parts,specialty retailers
telecommunications equipment,speciality chemicals
automobiles,-
durable household products,internet
defense,industrial machinery
tires,software
automobiles,travel & leisure
clothing & accessories,clothing & accessories
clothing & accessories,clothing & accessories
publishing,consumer electronics
food products,brewers
aerospace,fixed line telecommunications
automobiles,recreational products
toys,software
defense,brewers
food products,aerospace
shipbuilding,general industrials
heavy construction,durable household products
recreational products,industrial engineering
clothing & accessories,automobiles
food products,automobiles
aerospace & defense,real estate
automobiles,industrial transportation
recreational products,chemicals
automobiles,construction & materials
tires,electrical components & equipment
recreational products,brewers
clothing & accessories,personal products
airlines,durable household products
delivery services,aerospace
clothing & accessories,furnishings
recreational products,exploration & production
electrical components & equipment,financial services
broadcasting & entertainment,industrial engineering
durable household products,heavy construction
clothing & accessories,computer hardware
publishing,general industrials
clothing & accessories,durable household products
heavy construction,industrial suppliers
auto parts,electrical components & equipment
durable household products,media
clothing & accessories,food products
heavy construction,beverages
clothing & accessories,electricity
beverages,travel & leisure
oil & gas exploration & production,transportation services
consumer electronics,marine transportation
aerospace,heavy construction
footwear,financial services
clothing & accessories,airlines
telecommunications equipment,food retailers
aerospace,food products
telecommunications equipment,banks
pharmaceuticals,media
defense,media
durable household products,industrial metals & mining
gas distribution,industrial metals & mining
marine transportation,travel & leisure
real estate holding & development,industrial transportation
automobiles,media
commercial vehicles & trucks,media
recreational products,food products
auto parts,marine transportation
semiconductors,heavy construction
auto parts,software & computer
footwear,equity investment
defense,travel & leisure
-,media
recreational products,travel & tourism
automobiles,travel & leisure
marine transportation,marine transportation
clothing & accessories,banks
clothing & accessories,marine transportation
distillers & vintners,transportation services
banks,video game industry
banks,marine transportation
banks,banks
clothing & accessories,food & beverages
clothing & accessories,food retailers
clothing & accessories,transportation networking
automobiles,heavy construction
commercial vehicles & trucks,industrial parts
automobiles,media
footwear,airlines
commercial vehicles & trucks,marine transportation
recreational products,multimedia
auto parts,marine transportation
food products,research
automobiles,heavy construction
heavy construction,food & beveradges
recreational products,food & beverages
clothing & accessories,restaurants & bars
commercial vehicles & trucks,publishing
pharmaceuticals,heavy construction
recreational products,mobile telecommunications
durable household products,marine transportation
food retailers & wholesalers,exploration & production
food retailers & wholesalers,exploration & production
business support services,automobiles & parts
airlines,digital provider
airlines,media
transport,marine transportation
travel & tourism,marine transportation
alternative electricity,defense
banks,transportation services
delivery services,household goods
food retailers & wholesalers,soft drinks
automotive,heavy construction
broadline retailers,speciality chemicals
internet,heavy construction
banks,airlines
beverages,exploration & production
food retailers & wholesalers,broadcasting & entertainment
multiutilities,household goods
gambling,media
fixed line telecommunications,aluminium
travel & tourism,banks
food products,full line insurance
food retailers & wholesalers,marine transportation
brewers,marine transportation
banks,food products
travel & tourism,water
airlines,food & beverages
broadcasting & entertainment,marine transportation
medical equipment,restaurants & bars
building materials & fixtures,film production
software,brewers
transportation services,clothing & accessories
business support services,fixed line telecom.
broadline retailers,commercial refrigeration
fixed line telecommunications,airlines
food retailers & wholesalers,food retailers
travel & tourism,heavy construction
broadline retailers,electrical components
-,marine transportation
specialty retailers,travel & leisure
banks,hospitality
food retailers & wholesalers,internet
clothing & accessories,media
fixed line telecommunications,beverages
broadcasting & entertainment,food & beverages
conventional electricity,media
alternative electricity,food products
gas distribution,iron & steel
conventional electricity,media
business services,space telecommunications
full line insurance,aerospace
software,broadcasting
banks,ait traffic management
food retailers & wholesalers,broadline retailers
food products,electricity
food products,exploration & production
consumer electronics,delivery services
specialized consumer services,railway
food products,real estate holding
apparel retailers,travel & leisure
brewers,marine transportation
software,industrial transportation
broadline retailers,space
biopharmaceutical,food producers
travel & tourism,commercial vehicles
publishing,building materials & fixtures
food retailers & wholesalers,conventional electricity
semiconductors,specialty retailers
software,hotels
travel & tourism,publishing
industrial transportation,media
industrial transportation,recreational products
electrical components & equipment,software
banks,health
food products,software & computer
building materials,software
life insurance,heavy construction
fixed line telecommunications,gambling
building materials & fixtures,food products
medical equipment,household goods
mobile telecommunications,marine transportation
travel & tourism,software
food retailers & wholesalers,toys
gambling,tobacco
travel & tourism,media
software,commercial vehicles & trucks
conventional electricity,cosmetics
travel & tourism,waste management
alternative electricity,electronics
food products,food products
food retailers & wholesalers,energy investment
software,publishing
gambling,industrial metals & mining
baked goods,pharmaceuticals
life insurance,marine transportation
apparel retailers,–
banks,media
broadcasting & entertainment,soft drinks
airlines,marine transportation
pharmaceuticals,broadcasting
mobile telecommunications,beverages
paper,–
specialty retailers,software
airlines,food retailers
food retailers & wholesalers,food products
food retailers & wholesalers,distillers & vintners
broadcasting & entertainment,heavy construction
food retailers & wholesalers,wholesalers
travel & tourism,food products
publishing,restaurants & bars
fixed line telecommunications,marine transportation
beverages,beverages
broadcasting & entertainment,food products
-,beverages
heavy construction,media
broadcasting & entertainment,software
pharmaceuticals,transportation services
banks,commercial vehicles
travel & tourism,exploration & production
travel & tourism,–
life insurance,media
fixed line telecommunications,automobiles & parts
software,software
mobile telecommunications,banks
broadcasting & entertainment,marine transportation
commercial vehicles & trucks,commercial vehicles
airlines,media
broadcasting & entertainment,automobiles & parts
computer services,research
travel & tourism,mechanical equipment
brewers,exploration & production
specialty chemicals,banks
airlines,transportation services
food retailers & wholesalers,airlines
broadcasting & entertainment,food & beverages
banks,airlines
recreational services,gambling
airlines,banks
broadcasting & entertainment,recreational products
broadcasting & entertainment,fixed line telecom.
aerospace,broadband and internet
automobiles,beverages
hotels,food products
software,tobacco
brewers,type foundry
building materials & fixtures,sports
banks,beverages
automobiles,automobiles & parts
pharmaceuticals,banks
broadcasting & entertainment,hospitality
software,software & computer
restaurants & bars,mechanical equipment
food products,software & computer
broadcasting & entertainment,"oil equip., serv. & distr."
food & beverage,publishing
durable household products,alternative energy
banks,household goods
railroads,automobiles & parts
broadcasting & entertainment,research
broadcasting & entertainment,beverages
commercial vehicles & trucks,media
banks,heavy construction
software,beverages
software,automobiles & parts
internet,marine transportation
banks,"oil equip., serv. & distr."
durable household products,food & beverages
delivery services,automobiles & parts
fixed line telecommunications,media
aluminum,airlines
airlines,media
food retailers & wholesalers,full line insurance
banks,nondurable products
exploration & production,research
broadcasting & entertainment,media
travel & tourism,media
conventional electricity,aerospace & defense
software,industrial transportation
medical equipment,industrial engineering
water,food products
electronic equipment,alternative energy
banks,media
mobile telecommunications,travel & leisure
broadcasting & entertainment,food products
exploration & production,defense
brewers,construction & materials
food products,travel & leisure
software,automobiles & parts
aerospace,beverages
automobiles,marine transportation
software,marine transportation
publishing,exploration & production
gambling,biotechnology
banks,industrial metals & mining
electronic equipment,technology
clothing & accessories,food producers
distillers & vintners,mobile telecommunications
airlines,conventional electricity
real estate holding & development,fixed line telecom.
electrical components & equipment,marine transportation
broadcasting & entertainment,airlines
fixed line telecommunications,broadcasting & entertainment
consumer electronics,computer services
computer services,travel & tourism
mobile telecommunications,brewers
airlines,specialty chemicals
software,airlines
durable household products,food retailers & wholesalers
distillers & vintners,broadcasting & entertainment
media,banks
food products,recreational services
beverages,airlines
electricity,broadcasting & entertainment
travel & leisure,broadcasting & entertainment
transportation services,aerospace
marine transportation,automobiles
heavy construction,hotels
financial services,software
airlines,brewers
food retailers,building materials & fixtures
food products,banks
banks,automobiles
media,pharmaceuticals
media,broadcasting & entertainment
industrial metals & mining,software
industrial metals & mining,restaurants & bars
travel & leisure,food products
industrial transportation,broadcasting & entertainment
media,food & beverage
media,durable household products
food products,banks
marine transportation,railroads
heavy construction,broadcasting & entertainment
software & computer,broadcasting & entertainment
equity investment,commercial vehicles & trucks
travel & leisure,banks
media,software
travel & tourism,software
travel & leisure,internet
marine transportation,banks
banks,durable household products
marine transportation,delivery services
transportation services,fixed line telecommunications
video game industry,aluminum
marine transportation,airlines
banks,food retailers & wholesalers
food & beverages,banks
food retailers,exploration & production
transportation networking,broadcasting & entertainment
heavy construction,travel & tourism
industrial parts,conventional electricity
media,software
airlines,medical equipment
marine transportation,water
multimedia,electronic equipment
marine transportation,banks
research,mobile telecommunications
heavy construction,broadcasting & entertainment
food & beveradges,exploration & production
food & beverages,brewers
restaurants & bars,food products
publishing,software
heavy construction,aerospace
mobile telecommunications,automobiles
marine transportation,software
exploration & production,publishing
exploration & production,gambling
automobiles & parts,banks
digital provider,electronic equipment
media,clothing & accessories
marine transportation,distillers & vintners
marine transportation,airlines
defense,real estate holding & development
transportation services,electrical components & equipment
household goods,broadcasting & entertainment
soft drinks,fixed line telecommunications
heavy construction,consumer electronics
speciality chemicals,computer services
heavy construction,mobile telecommunications
airlines,airlines
exploration & production,software
broadcasting & entertainment,durable household products
household goods,distillers & vintners
media,food retailers & wholesalers
aluminium,food retailers & wholesalers
banks,business support services
full line insurance,airlines
marine transportation,airlines
marine transportation,transport
food products,travel & tourism
water,alternative electricity
food & beverages,banks
marine transportation,delivery services
restaurants & bars,food retailers & wholesalers
film production,automotive
brewers,broadline retailers
clothing & accessories,internet
fixed line telecom.,banks
commercial refrigeration,beverages
airlines,food retailers & wholesalers
food retailers,multiutilities
heavy construction,gambling
electrical components,fixed line telecommunications
marine transportation,travel & tourism
travel & leisure,food products
hospitality,food retailers & wholesalers
internet,brewers
clothing & accessories,banks
banks,travel & tourism
clothing & accessories,airlines
food retailers & wholesalers,broadcasting & entertainment
full line insurance,medical equipment
automobiles,building materials & fixtures
speciality chemicals,software
specialty retailers,transportation services
full line insurance,business support services
industrial machinery,broadline retailers
broadline retailers,fixed line telecommunications
fixed line telecommunications,food retailers & wholesalers
clothing & accessories,travel & tourism
automobiles,broadline retailers
food products,-
nonferrous metals,specialty retailers
automobiles,banks
publishing,food retailers & wholesalers
pharmaceuticals,clothing & accessories
broadcasting & entertainment,fixed line telecommunications
food products,broadcasting & entertainment
speciality chemicals,conventional electricity
broadcasting & entertainment,alternative electricity
pharmaceuticals,gas distribution
farming & fishing,conventional electricity
auto parts,business services
software,full line insurance
brewers,software
industrial suppliers,banks
consumer electronics,food retailers & wholesalers
personal products,food products
software,food products
industrial suppliers,consumer electronics
broadcasting & entertainment,specialized consumer services
consumer electronics,food products
heavy construction,apparel retailers
clothing & accessories,brewers
brewers,software
vaccine,broadline retailers
commercial vehicles & trucks,biopharmaceutical
broadcasting & entertainment,travel & tourism
automobiles,publishing
pharmaceuticals,food retailers & wholesalers
commercial vehicles & trucks,semiconductors
specialty retailers,software
personal products,travel & tourism
commodity chemicals,industrial transportation
recreational products,industrial transportation
business support services,electrical components & equipment
defense,banks
medical equipment,food products
vaccine,building materials
pharmaceuticals,life insurance
recreational services,fixed line telecommunications
broadcasting & entertainment,building materials & fixtures
commercial vehicles & trucks,medical equipment
banks,mobile telecommunications
airlines,travel & tourism
industrial suppliers,food retailers & wholesalers
speciality chemicals,gambling
automobiles,travel & tourism
airlines,software
-,conventional electricity
railroads,travel & tourism
banks,alternative electricity
investment services,food products
broadcasting & entertainment,food retailers & wholesalers
recreational services,software
banks,gambling
delivery services,baked goods
fixed line telecommunications,life insurance
asset managers,apparel retailers
industrial machinery,banks
delivery services,broadcasting & entertainment
industrial machinery,airlines
aerospace,pharmaceuticals
defense,mobile telecommunications
industrial machinery,paper
recreational products,specialty retailers
broadcasting & entertainment,airlines
hospitality,food retailers & wholesalers
airlines,food retailers & wholesalers
defense,broadcasting & entertainment
airlines,food retailers & wholesalers
airlines,travel & tourism
aerospace,publishing
chemical,publishing
telecommunications equipment,fixed line telecommunications
personal products,beverages
railroads,broadcasting & entertainment
business support services,-
recreational services,heavy construction
aerospace & defense,broadcasting & entertainment
aerospace,pharmaceuticals
software,banks
broadcasting & entertainment,travel & tourism
aerospace,travel & tourism
internet,life insurance
software,fixed line telecommunications
real estate services,software
software,mobile telecommunications
food retailers & wholesalers,broadcasting & entertainment
full line insurance,commercial vehicles & trucks
recreational products,business support services
durable household products,multiutilities
broadcasting & entertainment,automobiles
banks,containers & packaging
food products,aerospace
banks,oil & gas refining & marketing
delivery services,aerospace & defense
food products,auto parts
mobile telecommunications,airlines
-,airlines
marine transportation,recreational products
automobiles,aerospace
broadcasting & entertainment,aerospace
business support services,durable household products
food retailers & wholesalers,automobiles
clothing & accessories,airlines
apparel retailers,life insurance
clothing & accessories,clothing & accessories
clothing & accessories,clothing & accessories
clothing & accessories,pharmaceuticals
automobiles,petroleum products
delivery services,conventional electricity
telecommunications equipment,railroads
banks,automobiles
banks,furnishings
banks,clothing & accessories
retail,publishing
banks,furnishings
banks,full line insurance
internet,recreational products
food products,automobiles
defense,food retailers & wholesalers
software,aerospace & defense
clothing & accessories,shipbuilding
clothing & accessories,automobiles
banks,furnishings
personal products,footwear
specialized consumer services,banks
publishing,banks
personal products,banks
conventional electricity,banks
exploration & production,banks
electricity generation,automobiles
health care equipment,food products
mobile telecommunications,recreational products
specialty retailers,defense
nuclear engineering,automobiles
fixed line telecommunications,shipbuilding
broadline retailers,clothing & accessories
software,food retailers & wholesalers
internet,defense
broadcasting & entertainment,food products
biotechnology,automobiles
transportation services,footwear
banks,recreational products
computer hardware,automobiles
broadline retailer,automobiles
publishing,brewers
publishing,brewers
media agencies,brewers
clothing & accessories,brewers
diversified industrials,brewers
fixed line telecommunications,automobiles
electronic equipment,airlines
travel & tourism,clothing & accessories
clothing & accessories,publishing
delivery services,recreational products
pharmaceuticals,footwear
clothing & accessories,tires
food products,clothing & accessories
building materials & fixtures,recreational products
recreational products,clothing & accessories
broadcasting & entertainment,commercial vehicles & trucks
personal products,clothing & accessories
clothing & accessories,pharmaceuticals
automobiles,industrial engineering
personal products,auto parts
clothing & accessories,clothing & accessories
clothing & accessories,consumer electronics
software,consumer electronics
logistics,clothing & accessories
marine transportation,footwear
aerospace,food products
automobiles,clothing & accessories
recreational products,building materials & fixtures
software,airlines
tires,automobiles
software,publishing
clothing & accessories,footwear
broadcasting & entertainment,real estate holding & development
defense,recreational products
pharmaceuticals,beverages
auto parts,clothing & accessories
mobile telecommunications,durable household products
nuclear cycle,clothing & accessories
recreational products,durable household products
diversified industrials,clothing & accessories
broadcasting & entertainment,commercial vehicles & trucks
business support services,commercial vehicles & trucks
distillers & vintners,commercial vehicles & trucks
automobiles,commercial vehicles & trucks
automobiles,commercial vehicles & trucks
business support services,commercial vehicles & trucks
software,publishing
travel & tourism,furnishings
automobiles,recreational products
electrical components & equipment,toys
specialty chemicals,pharmaceuticals
specialty chemicals,recreational products
aerospace,distillers & vintners
telecommunications equipment,food products
building materials & fixtures,publishing
recreational products,recreational products
pharmaceuticals,auto parts
electrical components & equipment,recreational products
delivery services,industrial machinery
specialty retailers,recreational products
pharmaceuticals,clothing & accessories
fixed line telecommunications,food retailers & wholesalers
telecommunications equipment,food retailers & wholesalers
travel & tourism,food products
aerospace,clothing & accessories
nondurable household products,travel & tourism
banks,recreational products
specialized consumer services,auto parts
software,automobiles
software,clothing & accessories
multiutilities,industrial machinery
broadcasting & entertainment,recreational products
business support services,publishing
broadcasting & entertainment,food products
aerospace,recreational products
defense,automobiles
integrated oil & gas,auto parts
software,durable household products
water,publishing
heavy construction,recreational products
broadcasting & entertainment,footwear
nondurable household products,clothing & accessories
food products,clothing & accessories
basic resources,automobiles
banks,automobiles
specialty retailers,electronic & electrical equipment
publishing,electronic & electrical equipment
distillers & vintners,multiutilities
recreational products,alternative electricity
banks,recreational products
software,clothing & accessories
consumer electronics,clothing & accessories
transportation services,multiutilities
software,automobiles
mobile telecommunications,integrated oil & gas
marine transportation,clothing & accessories
consumer electronics,clothing & accessories
fixed line telecommunications,food retailers & wholesalers
restaurants & bars,clothing & accessories
conventional electricity,airlines
airlines,automobiles
marine transportation,publishing
durable household products,recreational products
alternative electricity,food products
software,durable household products
soft drinks,iron & steel
retail,defense
restaurants & bars,automobiles
banking,recreational products
containers & packaging,recreational products
specialty chemicals,paper
business support services,publishing
broadline retailers,clothing & accessories
industrial machinery,automobiles
industrial machinery,food products
restaurants & bars,shipbuilding
heavy construction,travel & tourism
clothing & accessories,automobiles
paper,shipbuilding
business support services,defense
exploration & production,automobiles
telecommunications equipment,property & casualty insurance
telecommunications equipment,tires
footwear,automobiles
automobiles,brewers
soft drinks,defense
financial services,automobiles
pharmaceuticals,clothing & accessories
iron & steel,recreational products
business support services,durable household products
defense,clothing & accessories
medical equipment,durable household products
alternative electricity,distillers & vintners
recreational products,recreational services
commercial vehicles & trucks,automobiles
waste & disposal services,recreational products
delivery services,recreational products
business support services,publishing
business support services,clothing & accessories
food products,automobiles
building materials & fixtures,automobiles
software,aerospace
hotels,clothing & accessories
full line insurance,clothing & accessories
publishing,auto parts
marine transportation,consumer services
commercial vehicles & trucks,recreational products
investment services,automobiles
software,iron & steel
exploration & production,mobile telecommunications
heavy construction,clothing & accessories
broadline retailers,recreational products
software,furnishings
paper,multiutilities
clothing & accessories,commercial rail vehicles
software,automobiles
recreational services,beverages
nonferrous metals,heavy construction
software,durable household products
commodity chemicals,automobiles
paper,shipbuilding
electrical components & equipment,banks
software,recreational products
food products,automobiles
automobiles,automobiles
industrial machinery,airlines
commercial vehicles & trucks,building materials & fixtures
broadline retailers,automobiles
marine transportation,automobiles
railroads,commercial vehicles & trucks
electronic equipment,clothing & accessories
brewers,clothing & accessories
airlines,clothing & accessories
exploration & production,recreational products
software,clothing & accessories
fixed line telecommunications,broadline retailers
airlines,footwear
apparel retailers,durable household products
commercial vehicles & trucks,automobiles
transportation,automobiles
airlines,automobiles
conventional electricity,auto parts
gas distribution,beverages
railroads,automobiles
conventional electricity,clothing & accessories
travel & tourism,aerospace & defense
general mining,airlines
business support services,food products
airlines,clothing & accessories
internet,clothing & accessories
recreational products,clothing & accessories
broadcasting & entertainment,clothing & accessories
financial services,clothing & accessories
travel & tourism,auto parts
food products,automobiles
distillers & vintners,automobiles
broadcasting & entertainment,clothing & accessories
exploration & production,recreational products
software,building materials & fixtures
specialty retailers,clothing & accessories
delivery services,distillers & vintners
publishing,recreational products
biotechnology,clothing & accessories
food products,automobiles
marine transportation,beverages
brewers,clothing & accessories
banks,food retailers & wholesalers
food retailers & wholesalers,banks
broadcasting & entertainment,business support services
delivery services,pharmaceuticals
broadcasting & entertainment,airlines
marine transportation,recreational products
travel & tourism,property & casualty insurance
publishing,auto parts
food products,automobiles
fixed line telecommunications,clothing & accessories
electronic equipment,clothing & accessories
broadcasting & entertainment,consumer electronics
broadline retailers,marine transportation
publishing,auto parts
exploration & production,automobiles
conventional electricity,footwear
software,automobiles
business support services,automobiles
pharmaceuticals,clothing & accessories
publishing,recreational products
full line insurance,automobiles
medical equipment,automobiles
business support services,automobiles
food products,automobiles
hotels,food products
consumer electronics,automobiles
clothing & accessories,automobiles
business support services,furnishings
specialty retailers,airlines
containers & packaging,commercial vehicles & trucks
business support services,auto parts
brewers,clothing & accessories
building materials & fixtures,recreational products
food products,commercial rail vehicles
business support services,banks
medical equipment,automobiles
food retailers & wholesalers,commercial vehicles & trucks
transportation services,software
food products,consumer electronics
software,nondurable household products
business support services,auto parts
food products,telecommunications equipment
marine transportation,automobiles
marine transportation,durable household products
industrial machinery,defense
biotechnology,tires
industrial machinery,automobiles
food products,clothing & accessories
broadline retailers,clothing & accessories
banks,publishing
industrial machinery,food products
marine transportation,aerospace
business support services,automobiles
farming & fishing,toys
railroads,defense
delivery services,food products
building materials & fixtures,shipbuilding
footwear,heavy construction
publishing,recreational products
health care providers,clothing & accessories
industrial machinery,food products
braodline retailers,aerospace & defense
business support services,automobiles
business support services,recreational products
health care providers,automobiles
industrial machinery,tires
consumer electronics,recreational products
specialty chemicals,clothing & accessories
specialty chemicals,airlines
business support services,delivery services
clothing & accessories,clothing & accessories
clothing & accessories,recreational products
clothing & accessories,electrical components & equipment
software,broadcasting & entertainment
business support services,durable household products
airlines,clothing & accessories
business support services,publishing
specialty retailers,clothing & accessories
banks,heavy construction
business support services,auto parts
clothing & accessories,durable household products
personal products,clothing & accessories
pharmaceuticals,heavy construction
industrial machinery,clothing & accessories
building materials & fixtures,beverages
pharmaceuticals,oil & gas exploration & production
business support services,consumer electronics
ocean and inland freight transportation,aerospace
building materials & fixtures,footwear
drug retailers,clothing & accessories
software,telecommunications equipment
-,aerospace
software,telecommunications equipment
recreational products,pharmaceuticals
broadcasting & entertainment,defense
publishing,durable household products
financial services,gas distribution
pharmaceuticals,marine transportation
biotechnology,real estate holding & development
financial services,automobiles
conventional electricity,commercial vehicles & trucks
recreational services,recreational products
pharmaceuticals,auto parts
pharmaceuticals,semiconductors
recreational products,auto parts
business support services,footwear
delivery services,defense
business support services,-
conventional electricity,recreational products
durable household products,automobiles
brewers,marine transportation
asset managers,clothing & accessories
logistics,clothing & accessories
banks,distillers & vintners
tobacco,banks
business support services,banks
recreational products,banks
medical equipment,clothing & accessories
apparel retailers,clothing & accessories
enterprise software,clothing & accessories
fixed line telecommunications,automobiles
aerospace,commercial vehicles & trucks
toys,automobiles
marine transportation,footwear
brewers,commercial vehicles & trucks
marine transportation,recreational products
building materials & fixtures,auto parts
industrial machinery,food products
oil equipment & services,automobiles
medical equipment,heavy construction
health care providers,recreational products
broadcasting & entertainment,clothing & accessories
aerospace,commercial vehicles & trucks
food retailers & wholesalers,pharmaceuticals
electronic equipment,recreational products
software,durable household products
broadcasting & entertainment,banks
brewers,industrial machinery
brewers,airlines
delivery services,marine transportation
banks,transportation services
defense,banks
railroads,banks
fixed line telecommunications,broadcasting & entertainment
banks,brewers
fixed line telecommunications,banks
recreational services,automobiles
commercial vehicles & trucks,publishing
mobile telecommunications,restaurants & bars
airlines,consumer electronics
banks,automobiles
farming & fishing,software
broadcasting & entertainment,pharmaceuticals
consumer electronics,delivery services
distillers & vintners,telecommunications equipment
aerospace,food products
recreational products,fixed line telecommunications
toys,conventional electricity
apparel retailers,mobile telecommunications
soft drinks,marine transportation
banks,soft drinks
railroads,exploration & production
commercial vehicles & trucks,banks
publishing,delivery services
electronic equipment,broadcasting & entertainment
heavy construction,banks
furnishings,pharmaceuticals
telecommunications,banks
coal,banks
recreational products,airlines
brewers,banks
furnishings,automobiles
consumer electronics,food retailers & wholesalers
software,automobiles
brewers,telecommunications equipment
furnishings,banks
commercial vehicles & trucks,recreational products
diversified industrials,airlines
mobile telecommunications,consumer electronics
travel & tourism,specialty chemicals
broadcasting & entertainment,brewers
commercial vehicles & trucks,apparel retailers
fixed line telecommunications,airlines
automobiles,transportation services
iron & steel,transportation services
banks,delivery services
specialty chemicals,airlines
mobile telecommunications,commercial vehicles & trucks
industrial machinery,recreational products
commercial vehicles & trucks,restaurants & bars
banks,airlines
sports,building materials & fixtures
sports,electronic equipment
sports,brewers
business support services,brewers
sports,gas distribution
sports,conventional electricity
sports,delivery services
sports,broadline retailers
sports,airlines
publishing,distillers & vintners
computer hardware,brewers
marine transportation,fixed line telecommunications
banks,banks
travel & tourism,broadline retailers
banks,brewers
travel & leisure,investment services
broadcasting,banks
air traffic management,iron & steel
education,iron & steel
education,technology hardware & equipment
banks,banks
education,banks
research,banks
fixed line telecom,banks
publishing,investment services
general mining,brewers
research,food retailers & wholesalers
media,delivery services
ship traffic management,multiutilities
delivery services,banks
general retailers,health care providers
investment services,diversified industrials
education,restaurants & bars
publishing,asset managers
fixed line telecom,publishing
sports,full line insurance
conventional electricity,-
legal,specialty finance
electricity,personal products
electricity,banks
education,investment services
publishing,publishing
education,airlines
heavy construction,clothing & accessories
full line insurance,airlines
banks,broadcasting & entertainment
real estate development,investment services
investment services,investment services
soft drinks,broadcasting & entertainment
travel & leisure,brewers
brewers,real estate holding & development
real estate development,fixed line telecommunications
heavy construction,broadcasting & entertainment
pharmaceuticals,business support services
food retailers & wholesalers,investment services
publishing,industrial machinery
education,broadcasting & entertainment
media,publishing
media,mobile telecommunications
education,banks
sports,railroads
health,airlines
travel & leisure,broadcasting & entertainment
exploration & production,airlines
investment services,recreational services
industrial transportation,delivery services
fixed line telecom,airlines
banks,banks
industrial metals & mining,banks
broadcasting & entertainment,banks
fixed line telecom,distillers & vintners
health,fixed line telecommunications
research,banks
research,banks
research,delivery services
hospitality,airlines
travel & leisure,publishing
life insurance,fixed line telecommunications
education,gambling
education,broadcasting & entertainment
software,publishing
broadline retailers,brewers
software,gambling
commercial vehicles & trucks,mobile telecommunications
business support services,electrical components & equipment
mobile telecommunications,"bus, ferry and train services"
exploration & production,banks
travel & tourism,payments industry
tobacco,recreational products
food products,life insurance
broadcasting & entertainment,food retailers & wholesalers
food products,specialty chemicals
marine transportation,brewers
distillers & vintners,transportation services
pharmaceuticals,automobiles parts
marine transportation,engineering
mobile telecommunications,industrial machinery
commercial vehicles & trucks,banks
food products,non-life insurance
brewers,restaurants & bars
soft drinks,food products
airlines,brewers
broadcasting & entertainment,specialty retailers
full line insurance,internet
broadcasting & entertainment,travel & tourism
banks,internet
broadcasting & entertainment,real estate investment and services
railroads,commercial vehicles & trucks
software,airlines
commercial vehicles & trucks,automobiles
electrical components & equipment,industrial transportation & defense
broadcasting & entertainment,marine transportation
electronic equipment,automobiles
diversified industrials,soft drinks
diversified industrials,pharmaceuticals
mobile telecommunications,internet
airlines,publishing
food products,broadcasting & entertainment
soft drinks,software
software,investment services
publishing,recreational products
broadcasting & entertainment,industrial automation
business support services,food products
conventional electricity,exploration & production
delivery services,delivery services
banks,brewers
transportation services,software
fixed line telecommunications,apparel retailers
defense,oil equipment & services
software,brewers
exploration & production,variety
software,software
heavy construction,travel & tourism
heavy construction,apparel retailers
internet,building
broadcasting & entertainment,home improvement retailers
pipelines,banks
marine transportation,datacentres
soft drinks,fixed line telecommunications
broadcasting & entertainment,food retailers & wholesalers
brewers,consumer digital services
food products,airlines
food products,business support services
electronic equipment,fixed line telecommunications
heavy construction,automobiles
food retailers & wholesalers,rental and leasing services
commercial vehicles & trucks,conventional electricity
food products,distillers & vintners
food products,airlines
transportation services,railroads
publishing,auto parts
broadcasting & entertainment,food products
broadline retailers,multiutilities
internet,semiconductors
commodity chemicals,electronic office equipment
brewers,food products
gas distribution,consumer electronics
pharmaceuticals,delivery services
transportation services,consumer digital services
food products,parking
banks,banks
banks,business support services
automobiles,heavy construction
electronic equipment,heavy construction
publishing,electrical components & equipment
durable household products,transportation services
banks,heavy construction
broadcasting & entertainment,oil equipment & services
business support services,recreational products
mobile telecommunications,diversified industrials
nondurable household products,food retailers & wholesalers
airlines,automobiles
commercial vehicles & trucks,aerospace
commercial vehicles & trucks,broadcasting & entertainment
publishing,fixed line telecommunications
transportation services,mobile telecommunications
commercial vehicles & trucks,defence & electronics
food products,financial administration
food products,delivery services
broadcasting & entertainment,software
financial services,food products
banks,airlines
brewers,banks
transportation services,computer hardware
